Southern Utah,2547,Seattle,253
15:20,2547,Seattle Deadball Team Rebound.,7,5
15:20,2547,William Powell made Free Throw.,7,6
14:53,253,Ivan Madunic made Jumper. Assisted by John Marshall.,9,6
14:33,2547,Zack Moore missed Three Point Jumper.,9,6
14:33,253,Randy Onwuasor Defensive Rebound.,9,6
14:19,253,James McGee missed Three Point Jumper.,9,6
14:19,253,John Marshall Offensive Rebound.,9,6
14:10,253,Randy Onwuasor missed Three Point Jumper.,9,6
14:10,2547,Scott Ulaneo Defensive Rebound.,9,6
13:51,2547,William Powell made Jumper.,9,8
13:51,253,Foul on Ivan Madunic.,9,8
13:51,2547,William Powell made Free Throw.,9,9
13:40,2547,Foul on Zack Moore.,9,9
13:18,253,Brayden Holker made Layup. Assisted by Will Joyce.,11,9
13:04,2547,Aaron Menzies made Layup. Assisted by Brendan Westendorf.,11,11
12:44,253,Will Joyce Turnover.,11,11
12:37,253,Foul on Will Joyce.,11,11
12:37,2547,Brendan Westendorf Turnover.,11,11
12:36,253,Will Joyce Steal.,11,11
12:14,253,James McGee missed Jumper.,11,11
12:14,253,Will Joyce Offensive Rebound.,11,11
12:11,253,Will Joyce made Jumper.,13,11
11:53,2547,Aaron Menzies made Layup. Assisted by Zack Moore.,13,13
11:53,253,Foul on Will Joyce.,13,13
11:53,2547,Official TV Timeout,13,13
11:53,2547,Aaron Menzies missed Free Throw.,13,13
11:53,253,Christian Musoko Defensive Rebound.,13,13
11:28,253,James McGee made Three Point Jumper. Assisted by Jacob Calloway.,16,13
11:12,2547,Brendan Westendorf Turnover.,16,13
11:12,2547,Foul on Brendan Westendorf.,16,13
11:01,253,Jacob Calloway made Jumper. Assisted by James McGee.,18,13
10:48,2547,Zack Moore made Three Point Jumper. Assisted by Emmanuel Chibuogwu.,18,16
10:25,253,Jacob Calloway Turnover.,18,16
10:24,2547,Morgan Means Steal.,18,16
10:10,2547,Aaron Menzies missed Jumper.,18,16
10:10,253,Randy Onwuasor Defensive Rebound.,18,16
10:03,253,Jacob Calloway missed Three Point Jumper.,18,16
10:03,2547,Emmanuel Chibuogwu Defensive Rebound.,18,16
9:51,2547,Malik Montoya Turnover.,18,16
9:20,253,Southern Utah  Turnover.,18,16
9:07,2547,Malik Montoya missed Three Point Jumper.,18,16
9:07,253,Decardo Day Defensive Rebound.,18,16
8:39,253,Randy Onwuasor Turnover.,18,16
8:39,253,Foul on Randy Onwuasor.,18,16
8:25,2547,Emmanuel Chibuogwu made Three Point Jumper. Assisted by William Powell.,18,19
7:50,253,James McGee missed Jumper.,18,19
7:50,2547,Zack Moore Defensive Rebound.,18,19
7:23,2547,Emmanuel Chibuogwu made Layup.,18,21
6:55,253,James McGee missed Three Point Jumper.,18,21
6:55,2547,Emmanuel Chibuogwu Defensive Rebound.,18,21
6:31,253,Foul on Decardo Day.,18,21
6:31,2547,Official TV Timeout,18,21
6:31,2547,Morgan Means made Free Throw.,18,22
6:31,2547,Morgan Means missed Free Throw.,18,22
6:31,253,Brayden Holker Defensive Rebound.,18,22
6:14,253,John Marshall Turnover.,18,22
6:12,2547,Brendan Westendorf Steal.,18,22
6:10,2547,Matej Kavas made Layup. Assisted by Brendan Westendorf.,18,24
5:57,253,Randy Onwuasor missed Three Point Jumper.,18,24
5:57,2547,Aaron Menzies Defensive Rebound.,18,24
5:44,253,Foul on Jacob Calloway.,18,24
5:44,2547,Aaron Menzies made Free Throw.,18,25
5:44,2547,Aaron Menzies made Free Throw.,18,26
5:15,253,Jacob Calloway made Three Point Jumper. Assisted by Randy Onwuasor.,21,26
4:59,2547,Matej Kavas missed Three Point Jumper.,21,26
4:59,253,Jacob Calloway Defensive Rebound.,21,26
4:48,253,Jacob Calloway missed Three Point Jumper.,21,26
4:48,2547,Aaron Menzies Defensive Rebound.,21,26
4:33,2547,Aaron Menzies made Layup. Assisted by Emmanuel Chibuogwu.,21,28
4:21,2547,Foul on Brendan Westendorf.,21,28
4:03,2547,Foul on Emmanuel Chibuogwu.,21,28
4:01,253,Jacob Calloway missed Jumper.,21,28
4:01,2547,Malik Montoya Defensive Rebound.,21,28
3:42,2547,Aaron Menzies Turnover.,21,28
3:42,2547,Official TV Timeout,21,28
3:14,253,Matthew Johnson made Three Point Jumper. Assisted by Randy Onwuasor.,24,28
3:06,2547,Zack Moore missed Three Point Jumper.,24,28
3:06,2547,Aaron Menzies Offensive Rebound.,24,28
2:48,253,Foul on Matthew Johnson.,24,28
2:48,2547,Malik Montoya made Free Throw.,24,29
2:48,2547,Malik Montoya made Free Throw.,24,30
2:38,253,Ivan Madunic Turnover.,24,30
2:36,2547,Zack Moore Steal.,24,30
2:28,2547,Morgan Means made Jumper.,24,32
2:08,253,Matthew Johnson missed Three Point Jumper.,24,32
2:08,2547,Seattle Defensive Rebound.,24,32
1:53,2547,William Powell made Jumper.,24,34
1:26,2547,Foul on Malik Montoya.,24,34
1:26,253,Will Joyce made Free Throw.,25,34
1:26,253,Will Joyce made Free Throw.,26,34
1:11,2547,Zack Moore made Three Point Jumper. Assisted by William Powell.,26,37
0:44,253,James McGee made Three Point Jumper. Assisted by Will Joyce.,29,37
0:40,2547,Seattle  Timeout,29,37
0:26,2547,Malik Montoya missed Three Point Jumper.,29,37
0:26,253,Southern Utah Defensive Rebound.,29,37
0:22,253,Southern Utah  Timeout,29,37
0:05,253,Matthew Johnson missed Jumper.,29,37
0:05,2547,Zack Moore Block.,29,37
0:05,2547,Seattle Defensive Rebound.,29,37
0:00,2547,End of 1st half,29,37
19:47,253,James McGee missed Three Point Jumper.,29,37
19:47,253,Randy Onwuasor Offensive Rebound.,29,37
19:43,253,Randy Onwuasor missed Jumper.,29,37
19:43,253,Ivan Madunic Offensive Rebound.,29,37
19:41,253,Ivan Madunic missed Jumper.,29,37
19:41,2547,Morgan Means Defensive Rebound.,29,37
19:23,2547,Aaron Menzies missed Jumper.,29,37
19:23,253,Randy Onwuasor Defensive Rebound.,29,37
18:59,253,Ivan Madunic missed Three Point Jumper.,29,37
18:59,2547,Emmanuel Chibuogwu Defensive Rebound.,29,37
18:39,2547,Emmanuel Chibuogwu made Three Point Jumper. Assisted by William Powell.,29,40
18:17,2547,Foul on William Powell.,29,40
18:11,253,Randy Onwuasor made Three Point Jumper. Assisted by James McGee.,32,40
17:58,2547,William Powell missed Jumper.,32,40
17:58,253,John Marshall Defensive Rebound.,32,40
17:51,253,John Marshall Turnover.,32,40
17:51,253,Foul on John Marshall.,32,40
17:36,2547,Aaron Menzies missed Layup.,32,40
17:36,2547,Aaron Menzies Offensive Rebound.,32,40
17:34,2547,Aaron Menzies made Jumper.,32,42
17:18,253,Ivan Madunic Turnover.,32,42
17:17,2547,Emmanuel Chibuogwu Steal.,32,42
17:14,2547,Morgan Means made Three Point Jumper. Assisted by Brendan Westendorf.,32,45
17:02,253,Southern Utah  Timeout,32,45
16:54,253,Randy Onwuasor missed Three Point Jumper.,32,45
16:54,2547,Emmanuel Chibuogwu Defensive Rebound.,32,45
16:43,2547,Morgan Means Turnover.,32,45
16:41,253,Randy Onwuasor Steal.,32,45
16:36,253,James McGee made Three Point Jumper. Assisted by John Marshall.,35,45
16:17,2547,Brendan Westendorf missed Three Point Jumper.,35,45
16:17,253,Southern Utah Defensive Rebound.,35,45
16:02,2547,Foul on Morgan Means.,35,45
16:02,253,James McGee made Free Throw.,36,45
16:02,253,James McGee missed Free Throw.,36,45
16:02,253,Southern Utah Deadball Team Rebound.,36,45
16:02,253,James McGee missed Free Throw.,36,45
16:02,2547,Aaron Menzies Defensive Rebound.,36,45
15:33,2547,Aaron Menzies made Jumper. Assisted by Morgan Means.,36,47
15:07,253,Randy Onwuasor missed Three Point Jumper.,36,47
15:07,2547,Malik Montoya Defensive Rebound.,36,47
14:44,2547,Morgan Means made Jumper.,36,49
14:16,253,John Marshall missed Three Point Jumper.,36,49
14:16,2547,Zack Moore Defensive Rebound.,36,49
14:07,2547,Morgan Means Turnover.,36,49
14:07,2547,Official TV Timeout,36,49
13:46,253,Decardo Day Turnover.,36,49
13:45,2547,Morgan Means Steal.,36,49
13:45,253,Foul on Randy Onwuasor.,36,49
13:35,253,Foul on Brayden Holker.,36,49
13:35,2547,Scott Ulaneo made Free Throw.,36,50
13:35,2547,Scott Ulaneo made Free Throw.,36,51
13:06,253,Randy Onwuasor missed Three Point Jumper.,36,51
13:06,253,Jacob Calloway Offensive Rebound.,36,51
13:02,253,James McGee made Three Point Jumper. Assisted by Randy Onwuasor.,39,51
12:47,253,Foul on Decardo Day.,39,51
12:39,253,Foul on Jacob Calloway.,39,51
12:39,2547,Brendan Westendorf made Free Throw.,39,52
12:39,2547,Brendan Westendorf made Free Throw.,39,53
12:34,253,Decardo Day missed Layup.,39,53
12:34,2547,William Powell Defensive Rebound.,39,53
12:32,2547,William Powell Turnover.,39,53
12:02,253,James McGee Turnover.,39,53
12:01,2547,Scott Ulaneo Steal.,39,53
11:54,2547,Malik Montoya missed Layup.,39,53
11:54,253,Southern Utah Defensive Rebound.,39,53
11:51,2547,Official TV Timeout,39,53
11:27,253,Brayden Holker made Layup. Assisted by John Marshall.,41,53
11:23,2547,Seattle  Timeout,41,53
11:05,2547,Morgan Means made Three Point Jumper. Assisted by Scott Ulaneo.,41,56
10:46,253,Jacob Calloway made Three Point Jumper. Assisted by Randy Onwuasor.,44,56
10:33,2547,Foul on Scott Ulaneo.,44,56
10:33,2547,Scott Ulaneo Turnover.,44,56
10:23,253,Randy Onwuasor missed Jumper.,44,56
10:23,2547,Brendan Westendorf Defensive Rebound.,44,56
10:05,253,Foul on Randy Onwuasor.,44,56
10:05,2547,Brendan Westendorf made Free Throw.,44,57
10:05,2547,Brendan Westendorf made Free Throw.,44,58
9:45,253,Randy Onwuasor missed Jumper.,44,58
9:45,253,Jacob Calloway Offensive Rebound.,44,58
9:41,2547,Foul on Emmanuel Chibuogwu.,44,58
9:41,253,Jacob Calloway made Free Throw.,45,58
9:41,253,Jacob Calloway made Free Throw.,46,58
9:27,2547,Brendan Westendorf missed Three Point Jumper.,46,58
9:27,253,Decardo Day Defensive Rebound.,46,58
9:11,2547,Foul on Emmanuel Chibuogwu.,46,58
9:11,253,Randy Onwuasor made Free Throw.,47,58
9:11,253,Randy Onwuasor made Free Throw.,48,58
9:02,253,Foul on Brayden Holker.,48,58
9:02,2547,Brendan Westendorf made Free Throw.,48,59
9:02,2547,Brendan Westendorf made Free Throw.,48,60
8:30,253,James McGee missed Three Point Jumper.,48,60
8:30,2547,Aaron Menzies Defensive Rebound.,48,60
8:08,2547,Aaron Menzies made Jumper.,48,62
7:47,253,Ivan Madunic missed Jumper.,48,62
7:47,2547,Brendan Westendorf Defensive Rebound.,48,62
7:33,2547,Aaron Menzies made Layup. Assisted by Brendan Westendorf.,48,64
7:23,253,Randy Onwuasor missed Three Point Jumper.,48,64
7:23,2547,Zack Moore Defensive Rebound.,48,64
7:03,2547,Brendan Westendorf made Three Point Jumper. Assisted by Aaron Menzies.,48,67
6:55,253,Southern Utah  Timeout,48,67
6:39,253,Christian Musoko made Layup. Assisted by James McGee.,50,67
6:17,2547,Aaron Menzies missed Layup.,50,67
6:17,253,Randy Onwuasor Defensive Rebound.,50,67
6:09,253,Randy Onwuasor missed Jumper.,50,67
6:09,253,Southern Utah Offensive Rebound.,50,67
6:07,253,Southern Utah  Timeout,50,67
6:00,253,John Marshall missed Three Point Jumper.,50,67
6:00,253,Will Joyce Offensive Rebound.,50,67
5:55,253,Will Joyce made Layup.,52,67
5:55,2547,Foul on Aaron Menzies.,52,67
5:55,253,Will Joyce made Free Throw.,53,67
5:32,253,Foul on Christian Musoko.,53,67
5:32,2547,Aaron Menzies missed Free Throw.,53,67
5:32,253,Will Joyce Defensive Rebound.,53,67
5:18,253,Will Joyce Turnover.,53,67
5:17,2547,Zack Moore Steal.,53,67
5:14,2547,Brendan Westendorf made Layup.,53,69
5:02,253,Christian Musoko made Jumper. Assisted by James McGee.,55,69
4:37,253,Foul on Christian Musoko.,55,69
4:37,2547,Aaron Menzies missed Free Throw.,55,69
4:37,2547,Seattle Deadball Team Rebound.,55,69
4:37,2547,Aaron Menzies missed Free Throw.,55,69
4:37,253,Jacob Calloway Defensive Rebound.,55,69
4:21,253,James McGee missed Three Point Jumper.,55,69
4:21,2547,Aaron Menzies Defensive Rebound.,55,69
4:03,2547,Aaron Menzies made Jumper. Assisted by Brendan Westendorf.,55,71
3:44,253,Jacob Calloway missed Jumper.,55,71
3:44,253,Southern Utah Offensive Rebound.,55,71
3:42,2547,Official TV Timeout,55,71
3:32,253,John Marshall made Layup.,57,71
3:12,2547,Foul on William Powell.,57,71
3:12,2547,William Powell Turnover.,57,71
3:07,253,Randy Onwuasor missed Three Point Jumper.,57,71
3:07,2547,Emmanuel Chibuogwu Defensive Rebound.,57,71
2:40,253,Foul on Christian Musoko.,57,71
2:40,2547,William Powell made Free Throw.,57,72
2:40,2547,William Powell made Free Throw.,57,73
2:33,253,James McGee made Three Point Jumper. Assisted by Randy Onwuasor.,60,73
2:24,253,Foul on Randy Onwuasor.,60,73
2:24,2547,William Powell made Free Throw.,60,74
2:24,2547,William Powell missed Free Throw.,60,74
2:24,253,Randy Onwuasor Defensive Rebound.,60,74
2:17,2547,Foul on Emmanuel Chibuogwu.,60,74
2:17,253,Randy Onwuasor made Free Throw.,61,74
2:17,253,Randy Onwuasor made Free Throw.,62,74
2:08,253,Foul on Decardo Day.,62,74
2:08,2547,Emmanuel Chibuogwu missed Free Throw.,62,74
2:08,2547,Seattle Deadball Team Rebound.,62,74
2:08,2547,Emmanuel Chibuogwu made Free Throw.,62,75
2:01,253,Matthew Johnson missed Three Point Jumper.,62,75
2:01,253,James McGee Offensive Rebound.,62,75
1:53,253,James McGee made Three Point Jumper.,65,75
1:45,253,Foul on James McGee.,65,75
1:44,2547,Morgan Means made Free Throw.,65,76
1:44,2547,Morgan Means made Free Throw.,65,77
1:33,253,Randy Onwuasor made Three Point Jumper.,68,77
1:21,253,Foul on Matthew Johnson.,68,77
1:21,2547,Brendan Westendorf made Free Throw.,68,78
1:21,2547,Brendan Westendorf made Free Throw.,68,79
1:14,253,Randy Onwuasor missed Three Point Jumper.,68,79
1:14,2547,Zack Moore Defensive Rebound.,68,79
1:11,253,Foul on Jacob Calloway.,68,79
1:11,2547,Zack Moore made Free Throw.,68,80
1:11,2547,Zack Moore made Free Throw.,68,81
1:04,253,James McGee missed Three Point Jumper.,68,81
1:04,253,Jacob Calloway Offensive Rebound.,68,81
0:58,253,Matthew Johnson made Three Point Jumper. Assisted by Jacob Calloway.,71,81
0:56,253,Foul on James McGee.,71,81
0:56,2547,Morgan Means made Free Throw.,71,82
0:56,2547,Morgan Means made Free Throw.,71,83
0:43,253,Randy Onwuasor made Jumper.,73,83
0:41,253,Foul on James McGee.,73,83
0:41,2547,William Powell made Free Throw.,73,84
0:41,2547,William Powell missed Free Throw.,73,84
0:41,253,Randy Onwuasor Defensive Rebound.,73,84
0:36,253,Randy Onwuasor missed Three Point Jumper.,73,84
0:36,253,Randy Onwuasor Offensive Rebound.,73,84
0:31,253,Randy Onwuasor missed Layup.,73,84
0:31,253,Ivan Madunic Offensive Rebound.,73,84
0:28,253,Ivan Madunic missed Two Point Tip Shot.,73,84
0:28,2547,Scott Ulaneo Defensive Rebound.,73,84
0:26,253,Foul on Jacob Calloway.,73,84
0:26,2547,Zack Moore made Free Throw.,73,85
0:26,2547,Zack Moore made Free Throw.,73,86
0:20,253,Ivan Madunic missed Three Point Jumper.,73,86
0:20,253,James McGee Offensive Rebound.,73,86
0:17,253,James McGee made Jumper.,75,86
0:15,253,Foul on Jacob Calloway.,75,86
0:15,2547,Morgan Means made Free Throw.,75,87
0:14,2547,Morgan Means missed Free Throw.,75,87
0:14,253,Randy Onwuasor Defensive Rebound.,75,87
0:08,253,Randy Onwuasor missed Three Point Jumper.,75,87
0:08,2547,Scott Ulaneo Defensive Rebound.,75,87
0:01,253,Foul on Matthew Johnson.,75,87
0:01,2547,Morgan Means made Free Throw.,75,88
0:01,2547,Morgan Means made Free Throw.,75,89
0:00,2547,End of Game,75,89
