Northwestern State,242,Rice,2466
14:58,2466,Reginald Kissoonlal made Three Point Jumper. Assisted by Bailey Walker.,5,11
14:51,242,Marcus Jackson made Three Point Jumper. Assisted by Marcus Evans.,5,14
14:33,2466,Iziahiah Sweeney missed Jumper.,5,14
14:33,2466,Reginald Kissoonlal Offensive Rebound.,5,14
14:29,2466,Reginald Kissoonlal made Jumper.,7,14
14:19,242,Marcus Jackson made Jumper.,7,16
13:59,2466,Iziahiah Sweeney Turnover.,7,16
13:58,242,Marcus Jackson Steal.,7,16
13:56,242,Marcus Jackson made Layup.,7,18
13:56,2466,Foul on Bailey Walker.,7,18
13:56,242,Marcus Jackson missed Free Throw.,7,18
13:56,2466,Reginald Kissoonlal Defensive Rebound.,7,18
13:46,2466,Josh Boyd made Layup.,9,18
13:39,242,Chad Lott made Dunk. Assisted by Ako Adams.,9,20
13:36,242,Technical Foul on Chad Lott.,9,20
13:36,2466,Reginald Kissoonlal missed Free Throw.,9,20
13:36,2466,Northwestern St Deadball Team Rebound.,9,20
13:36,2466,Reginald Kissoonlal made Free Throw.,10,20
13:11,2466,Josh Boyd Turnover.,10,20
12:50,242,Egor Koulechov Turnover.,10,20
12:45,242,Foul on Chad Lott.,10,20
12:28,2466,Josh Boyd made Three Point Jumper. Assisted by Iziahiah Sweeney.,13,20
12:08,242,Marquez Letcher-Ellis made Jumper. Assisted by Ako Adams.,13,22
11:42,2466,Reginald Kissoonlal missed Three Point Jumper.,13,22
11:42,242,Ako Adams Defensive Rebound.,13,22
11:31,242,Ako Adams made Jumper.,13,24
11:00,2466,Josh Boyd missed Three Point Jumper.,13,24
11:00,242,Connor Cashaw Defensive Rebound.,13,24
10:52,2466,Foul on Josh Boyd.,13,24
10:52,242,Official TV Timeout,13,24
10:52,242,Connor Cashaw made Free Throw.,13,25
10:52,242,Connor Cashaw missed Free Throw.,13,25
10:52,2466,Ishmael Lane Defensive Rebound.,13,25
10:28,242,Foul on Robert Martin.,13,25
10:28,2466,Devonte Hall Turnover.,13,25
10:27,242,Marquez Letcher-Ellis Steal.,13,25
10:24,242,Marquez Letcher-Ellis missed Layup.,13,25
10:24,2466,Ishmael Lane Defensive Rebound.,13,25
10:16,2466,Zeek Woodley missed Jumper.,13,25
10:16,242,Marcus Evans Defensive Rebound.,13,25
10:05,242,Marcus Evans Turnover.,13,25
10:04,2466,Devonte Hall Steal.,13,25
10:01,242,Foul on Ako Adams.,13,25
10:00,2466,Devonte Hall made Free Throw.,14,25
10:00,2466,Devonte Hall made Free Throw.,15,25
9:35,242,Marquez Letcher-Ellis made Jumper.,15,27
9:12,2466,Devonte Hall made Layup.,17,27
9:06,242,Connor Cashaw missed Jumper.,17,27
9:06,2466,Sabri Thompson Defensive Rebound.,17,27
8:49,2466,Sabri Thompson missed Three Point Jumper.,17,27
8:49,242,Marcus Evans Defensive Rebound.,17,27
8:41,242,Marcus Jackson made Three Point Jumper. Assisted by Marcus Evans.,17,30
8:31,2466,Zeek Woodley made Jumper. Assisted by Devonte Hall.,19,30
8:09,242,Robert Martin made Layup. Assisted by Marcus Evans.,19,32
7:53,2466,Zeek Woodley missed Three Point Jumper.,19,32
7:53,242,Marquez Letcher-Ellis Defensive Rebound.,19,32
7:39,242,Marquez Letcher-Ellis made Dunk. Assisted by Marcus Jackson.,19,34
7:26,2466,Devonte Hall made Jumper.,21,34
6:58,242,Marcus Jackson missed Three Point Jumper.,21,34
6:58,242,Marcus Jackson Offensive Rebound.,21,34
6:53,242,Marcus Jackson missed Jumper.,21,34
6:53,2466,Ishmael Lane Block.,21,34
6:51,2466,Sabri Thompson Defensive Rebound.,21,34
6:46,2466,Zeek Woodley made Layup. Assisted by Sabri Thompson.,23,34
6:45,242,Rice  Timeout,23,34
6:23,242,Connor Cashaw made Three Point Jumper. Assisted by Marcus Jackson.,23,37
6:13,2466,Zeek Woodley missed Jumper.,23,37
6:13,242,Marcus Evans Defensive Rebound.,23,37
6:03,242,Marcus Evans made Layup.,23,39
5:51,242,Foul on Austin Meyer.,23,39
5:51,2466,Devonte Hall made Free Throw.,24,39
5:51,2466,Devonte Hall made Free Throw.,25,39
5:35,242,Marcus Evans missed Three Point Jumper.,25,39
5:35,2466,Malik Metoyer Defensive Rebound.,25,39
5:23,242,Foul on Connor Cashaw.,25,39
5:23,2466,Josh Boyd made Free Throw.,26,39
5:23,2466,Josh Boyd made Free Throw.,27,39
5:14,242,Egor Koulechov Turnover.,27,39
4:58,2466,Reginald Kissoonlal made Three Point Jumper. Assisted by Bailey Walker.,30,39
4:31,242,Egor Koulechov Turnover.,30,39
4:09,2466,Josh Boyd made Layup.,32,39
4:09,242,Foul on Marcus Evans.,32,39
4:09,2466,Josh Boyd made Free Throw.,33,39
3:52,2466,Foul on Bailey Walker.,33,39
3:52,242,Official TV Timeout,33,39
3:47,242,Ako Adams made Three Point Jumper. Assisted by Marcus Jackson.,33,42
3:23,2466,Josh Boyd missed Layup.,33,42
3:23,242,Egor Koulechov Defensive Rebound.,33,42
3:17,2466,Foul on Iziahiah Sweeney.,33,42
3:17,242,Marquez Letcher-Ellis made Free Throw.,33,43
3:17,242,Marquez Letcher-Ellis made Free Throw.,33,44
2:56,2466,Ishmael Lane missed Jumper.,33,44
2:56,242,Marquez Letcher-Ellis Defensive Rebound.,33,44
2:48,242,Ako Adams missed Three Point Jumper.,33,44
2:48,242,Connor Cashaw Offensive Rebound.,33,44
2:25,242,Egor Koulechov missed Jumper.,33,44
2:25,2466,Ishmael Lane Defensive Rebound.,33,44
2:15,2466,Tra'von Joseph Turnover.,33,44
2:14,242,Egor Koulechov Steal.,33,44
2:08,242,Egor Koulechov made Layup. Assisted by Marquez Letcher-Ellis.,33,46
2:08,2466,Foul on Devonte Hall.,33,46
2:08,242,Egor Koulechov made Free Throw.,33,47
1:53,2466,Sabri Thompson missed Jumper.,33,47
1:53,2466,Zeek Woodley Offensive Rebound.,33,47
1:50,2466,Zeek Woodley missed Jumper.,33,47
1:50,2466,Zeek Woodley Offensive Rebound.,33,47
1:49,242,Foul on Connor Cashaw.,33,47
1:49,2466,Zeek Woodley made Free Throw.,34,47
1:49,2466,Zeek Woodley made Free Throw.,35,47
1:41,242,Egor Koulechov made Layup. Assisted by Ako Adams.,35,49
1:12,2466,Jordan Bell made Jumper.,37,49
0:54,242,Chad Lott Turnover.,37,49
0:53,2466,Zeek Woodley Steal.,37,49
0:51,2466,Zeek Woodley made Layup.,39,49
0:51,242,Foul on Chad Lott.,39,49
0:51,2466,Zeek Woodley missed Free Throw.,39,49
0:51,242,Ako Adams Defensive Rebound.,39,49
0:33,242,Marquez Letcher-Ellis made Three Point Jumper. Assisted by Egor Koulechov.,39,52
0:00,2466,Devonte Hall Turnover.,39,52
0:00,242,Ako Adams Steal.,39,52
0:00,242,End of 1st half,39,52
19:43,2466,Ishmael Lane made Layup.,41,52
19:26,242,Connor Cashaw made Jumper. Assisted by Egor Koulechov.,41,54
18:59,2466,Devonte Hall missed Jumper.,41,54
18:59,242,Connor Cashaw Defensive Rebound.,41,54
18:56,2466,Foul on Tra'von Joseph.,41,54
18:34,242,Marcus Evans made Jumper.,41,56
18:14,2466,Zeek Woodley missed Jumper.,41,56
18:14,242,Connor Cashaw Defensive Rebound.,41,56
18:08,242,Marcus Jackson made Three Point Jumper. Assisted by Connor Cashaw.,41,59
17:58,2466,Northwestern St  Timeout,41,59
17:40,2466,Zeek Woodley made Jumper.,43,59
17:18,242,Marcus Jackson missed Three Point Jumper.,43,59
17:18,2466,Ishmael Lane Defensive Rebound.,43,59
17:06,2466,Zeek Woodley Turnover.,43,59
17:05,242,Austin Meyer Steal.,43,59
17:03,242,Connor Cashaw Turnover.,43,59
17:01,2466,Tra'von Joseph Steal.,43,59
16:57,2466,Devonte Hall made Layup.,45,59
16:36,242,Marcus Evans made Jumper.,45,61
16:07,2466,Devonte Hall made Three Point Jumper.,48,61
15:46,242,Marcus Evans missed Layup.,48,61
15:46,242,Egor Koulechov Offensive Rebound.,48,61
15:45,2466,Foul on Tra'von Joseph.,48,61
15:45,242,Official TV Timeout,48,61
15:45,242,Egor Koulechov missed Free Throw.,48,61
15:45,242,Rice Deadball Team Rebound.,48,61
15:45,242,Egor Koulechov missed Free Throw.,48,61
15:45,2466,Malik Metoyer Defensive Rebound.,48,61
15:36,2466,Josh Boyd missed Jumper.,48,61
15:36,2466,Iziahiah Sweeney Offensive Rebound.,48,61
15:34,242,Foul on Marcus Evans.,48,61
15:34,2466,Iziahiah Sweeney made Free Throw.,49,61
15:34,2466,Iziahiah Sweeney made Free Throw.,50,61
15:16,242,Egor Koulechov missed Jumper.,50,61
15:16,2466,Reginald Kissoonlal Block.,50,61
15:16,242,Rice Offensive Rebound.,50,61
15:06,242,Marcus Evans made Three Point Jumper. Assisted by Chad Lott.,50,64
14:49,2466,Iziahiah Sweeney made Jumper. Assisted by Josh Boyd.,52,64
14:26,242,Marcus Evans missed Three Point Jumper.,52,64
14:26,242,Marquez Letcher-Ellis Offensive Rebound.,52,64
14:22,2466,Foul on Reginald Kissoonlal.,52,64
14:17,242,Marcus Jackson made Three Point Jumper. Assisted by Chad Lott.,52,67
14:07,2466,Josh Boyd Turnover.,52,67
14:05,242,Marquez Letcher-Ellis Steal.,52,67
14:04,242,Marquez Letcher-Ellis made Layup.,52,69
13:58,2466,Northwestern St  Timeout,52,69
13:50,2466,Tra'von Joseph made Layup.,54,69
13:39,242,Marcus Evans missed Jumper.,54,69
13:39,242,Marquez Letcher-Ellis Offensive Rebound.,54,69
13:34,242,Marquez Letcher-Ellis made Dunk.,54,71
13:20,2466,Sabri Thompson made Three Point Jumper. Assisted by Tra'von Joseph.,57,71
12:56,242,Egor Koulechov missed Jumper.,57,71
12:56,2466,Tra'von Joseph Defensive Rebound.,57,71
12:45,2466,Ishmael Lane missed Jumper.,57,71
12:45,242,Marquez Letcher-Ellis Defensive Rebound.,57,71
12:36,242,Marquez Letcher-Ellis Turnover.,57,71
12:32,242,Foul on Ako Adams.,57,71
12:32,2466,Devonte Hall missed Free Throw.,57,71
12:32,2466,Northwestern St Deadball Team Rebound.,57,71
12:32,2466,Devonte Hall made Free Throw.,58,71
12:14,242,Connor Cashaw made Three Point Jumper. Assisted by Chad Lott.,58,74
11:53,2466,Sabri Thompson missed Three Point Jumper.,58,74
11:53,242,Austin Meyer Defensive Rebound.,58,74
11:40,242,Chad Lott made Three Point Jumper. Assisted by Connor Cashaw.,58,77
11:17,242,Foul on Austin Meyer.,58,77
11:17,242,Official TV Timeout,58,77
11:17,2466,Zeek Woodley missed Free Throw.,58,77
11:17,2466,Northwestern St Deadball Team Rebound.,58,77
11:17,2466,Zeek Woodley made Free Throw.,59,77
11:08,242,Austin Meyer Turnover.,59,77
11:08,2466,Reginald Kissoonlal Steal.,59,77
11:01,242,Marquez Letcher-Ellis Defensive Rebound.,59,77
11:01,2466,Reginald Kissoonlal missed Three Point Jumper.,59,77
10:41,2466,Foul on Reginald Kissoonlal.,59,77
10:36,242,Chad Lott made Layup.,59,79
10:07,2466,Iziahiah Sweeney made Jumper.,61,79
9:51,242,Ako Adams missed Jumper.,61,79
9:51,2466,Iziahiah Sweeney Defensive Rebound.,61,79
9:39,2466,Malik Metoyer made Free Throw.,63,79
9:39,2466,Malik Metoyer made Free Throw.,62,79
9:39,242,Foul on Austin Meyer.,62,79
9:25,242,Andrew Drone made Layup. Assisted by Marcus Jackson.,63,81
9:08,2466,Josh Boyd made Layup.,65,81
8:45,242,Foul on Marquez Letcher-Ellis.,65,81
8:45,242,Marquez Letcher-Ellis Turnover.,65,81
8:40,2466,Foul on Tanner Hamilton.,65,81
8:40,2466,Tanner Hamilton Turnover.,65,81
8:28,242,Marcus Jackson made Dunk. Assisted by Connor Cashaw.,65,83
8:09,242,Foul on Ako Adams.,65,83
8:09,2466,Josh Boyd made Free Throw.,66,83
8:09,2466,Josh Boyd missed Free Throw.,66,83
8:09,242,Connor Cashaw Defensive Rebound.,66,83
7:51,242,Andrew Drone missed Jumper.,66,83
7:51,2466,Malik Metoyer Block.,66,83
7:49,2466,Malik Metoyer Defensive Rebound.,66,83
7:34,2466,Josh Boyd missed Jumper.,66,83
7:34,242,Connor Cashaw Block.,66,83
7:34,2466,Northwestern St Offensive Rebound.,66,83
7:34,242,Official TV Timeout,66,83
7:32,2466,Foul on Ishmael Lane.,66,83
7:32,2466,Ishmael Lane Turnover.,66,83
7:15,242,Egor Koulechov missed Jumper.,66,83
7:15,2466,Tra'von Joseph Defensive Rebound.,66,83
7:05,2466,Tra'von Joseph missed Three Point Jumper.,66,83
7:05,242,Egor Koulechov Defensive Rebound.,66,83
6:54,242,Marquez Letcher-Ellis Turnover.,66,83
6:53,2466,Tra'von Joseph Steal.,66,83
6:49,2466,Sabri Thompson made Layup. Assisted by Tra'von Joseph.,68,83
6:38,242,Egor Koulechov Turnover.,68,83
6:37,2466,Ishmael Lane Steal.,68,83
6:31,2466,Sabri Thompson missed Layup.,68,83
6:31,242,Marcus Jackson Defensive Rebound.,68,83
6:13,242,Marquez Letcher-Ellis made Layup. Assisted by Marcus Evans.,68,85
5:52,2466,Sabri Thompson missed Three Point Jumper.,68,85
5:52,242,Connor Cashaw Defensive Rebound.,68,85
5:30,242,Egor Koulechov missed Three Point Jumper.,68,85
5:30,2466,Ishmael Lane Defensive Rebound.,68,85
5:20,242,Foul on Marcus Evans.,68,85
5:20,2466,Devonte Hall made Free Throw.,69,85
5:20,2466,Devonte Hall made Free Throw.,70,85
5:07,242,Marcus Jackson missed Three Point Jumper.,70,85
5:07,2466,Tra'von Joseph Defensive Rebound.,70,85
4:51,2466,Zeek Woodley made Jumper. Assisted by Devonte Hall.,72,85
4:41,242,Rice  Timeout,72,85
4:16,242,Chad Lott missed Jumper.,72,85
4:16,2466,Ishmael Lane Defensive Rebound.,72,85
4:14,242,Foul on Egor Koulechov.,72,85
4:14,2466,Ishmael Lane made Free Throw.,73,85
4:14,2466,Ishmael Lane missed Free Throw.,73,85
4:14,242,Egor Koulechov Defensive Rebound.,73,85
3:50,242,Egor Koulechov made Layup.,73,87
3:37,2466,Zeek Woodley missed Jumper.,73,87
3:37,2466,Ishmael Lane Offensive Rebound.,73,87
3:32,2466,Ishmael Lane missed Jumper.,73,87
3:32,2466,Zeek Woodley Offensive Rebound.,73,87
3:30,242,Foul on Austin Meyer.,73,87
3:30,242,Official TV Timeout,73,87
3:30,2466,Zeek Woodley missed Free Throw.,73,87
3:30,2466,Northwestern St Deadball Team Rebound.,73,87
3:30,2466,Zeek Woodley made Free Throw.,74,87
3:08,242,Egor Koulechov made Layup.,74,89
2:58,2466,Sabri Thompson made Three Point Jumper. Assisted by Devonte Hall.,77,89
2:56,2466,Northwestern St  Timeout,77,89
2:56,2466,Foul on Iziahiah Sweeney.,77,89
2:56,242,Ako Adams missed Free Throw.,77,89
2:56,2466,Zeek Woodley Defensive Rebound.,77,89
2:44,2466,Zeek Woodley missed Jumper.,77,89
2:44,242,Marcus Evans Defensive Rebound.,77,89
2:37,242,Ako Adams missed Jumper.,77,89
2:37,2466,Tra'von Joseph Block.,77,89
2:37,242,Rice Offensive Rebound.,77,89
2:31,242,Foul on Marcus Evans.,77,89
2:31,242,Marquez Letcher-Ellis Turnover.,77,89
2:31,2466,Zeek Woodley Steal.,77,89
2:31,2466,Zeek Woodley made Free Throw.,78,89
2:31,2466,Zeek Woodley made Free Throw.,79,89
2:13,242,Chad Lott made Layup.,79,91
2:13,2466,Foul on Malik Metoyer.,79,91
2:13,242,Chad Lott made Free Throw.,79,92
2:01,2466,Zeek Woodley made Jumper. Assisted by Devonte Hall.,81,92
1:48,2466,Foul on Zeek Woodley.,81,92
1:48,242,Egor Koulechov missed Free Throw.,81,92
1:48,2466,Tra'von Joseph Defensive Rebound.,81,92
1:37,2466,Malik Metoyer made Jumper. Assisted by Tra'von Joseph.,83,92
1:25,242,Marcus Jackson missed Jumper.,83,92
1:25,242,Marquez Letcher-Ellis Offensive Rebound.,83,92
1:23,242,Marquez Letcher-Ellis missed Jumper.,83,92
1:23,2466,Iziahiah Sweeney Defensive Rebound.,83,92
1:17,242,Foul on Chad Lott.,83,92
1:17,2466,Devonte Hall made Free Throw.,84,92
1:17,2466,Devonte Hall made Free Throw.,85,92
0:48,242,Connor Cashaw made Jumper.,85,94
0:48,2466,Foul on Sabri Thompson.,85,94
0:48,242,Connor Cashaw made Free Throw.,85,95
0:43,2466,Devonte Hall missed Jumper.,85,95
0:43,2466,Tra'von Joseph Offensive Rebound.,85,95
0:38,2466,Tra'von Joseph made Jumper.,87,95
0:36,2466,Foul on Zeek Woodley.,87,95
0:36,242,Ako Adams missed Free Throw.,87,95
0:36,242,Rice Deadball Team Rebound.,87,95
0:36,242,Ako Adams made Free Throw.,87,96
0:31,242,Foul on Ako Adams.,87,96
0:31,2466,Josh Boyd made Free Throw.,88,96
0:31,2466,Josh Boyd made Free Throw.,89,96
0:31,2466,Josh Boyd missed Free Throw.,89,96
0:31,2466,Sabri Thompson Offensive Rebound.,89,96
0:25,2466,Josh Boyd missed Layup.,89,96
0:25,242,Marcus Jackson Defensive Rebound.,89,96
0:22,2466,Foul on Zeek Woodley.,89,96
0:22,242,Marcus Jackson missed Free Throw.,89,96
0:22,242,Rice Deadball Team Rebound.,89,96
0:22,242,Marcus Jackson made Free Throw.,89,97
0:19,2466,Devonte Hall made Jumper.,91,97
0:16,2466,Foul on Josh Boyd.,91,97
0:16,242,Connor Cashaw made Free Throw.,91,98
0:16,242,Connor Cashaw missed Free Throw.,91,98
0:16,2466,Sabri Thompson Defensive Rebound.,91,98
0:12,2466,Sabri Thompson missed Three Point Jumper.,91,98
0:12,242,Egor Koulechov Defensive Rebound.,91,98
0:09,2466,Foul on Josh Boyd.,91,98
0:09,242,Egor Koulechov made Free Throw.,91,99
0:09,242,Egor Koulechov made Free Throw.,91,100
0:03,2466,Devonte Hall made Jumper.,93,100
0:00,242,End of Game,93,100
