Longwood,2050,Ball State,2344
11:57,2344,Isaac Belton Turnover.,25,46
11:56,2050,Francis Kiapway Steal.,25,46
11:49,2050,Jeremie Tyler missed Three Point Jumper.,25,46
11:49,2344,Khris Lane Defensive Rebound.,25,46
11:36,2344,Isaac Belton Turnover.,25,46
11:34,2050,Ryan Weber Steal.,25,46
11:23,2050,Tahjai Teague made Layup.,25,48
10:55,2344,JaShaun Smith missed Jumper.,25,48
10:55,2050,Franko House Defensive Rebound.,25,48
10:44,2050,Tahjai Teague made Layup.,25,50
10:44,2050,Ball State  Timeout,25,50
10:44,2050,Official TV Timeout,25,50
10:27,2344,Khris Lane made Jumper. Assisted by Bryan Gee.,27,50
10:15,2050,Jeremie Tyler missed Three Point Jumper.,27,50
10:15,2344,Darrion Allen Defensive Rebound.,27,50
9:45,2344,Khris Lane missed Jumper.,27,50
9:45,2050,Trey Moses Defensive Rebound.,27,50
9:41,2050,Tayler Persons Turnover.,27,50
9:39,2344,Darrion Allen Steal.,27,50
9:27,2344,Darrion Allen missed Layup.,27,50
9:27,2050,Trey Moses Block.,27,50
9:26,2344,Khris Lane Offensive Rebound.,27,50
9:25,2344,Longwood  Turnover.,27,50
9:25,2050,Foul on Kyle Mallers.,27,50
9:01,2050,Jeremie Tyler missed Three Point Jumper.,27,50
9:01,2344,Chris Shields Defensive Rebound.,27,50
8:46,2344,JaShaun Smith made Layup.,29,50
8:46,2050,Foul on Ryan Weber.,29,50
8:46,2344,JaShaun Smith missed Free Throw.,29,50
8:46,2050,Trey Moses Defensive Rebound.,29,50
8:30,2050,Ryan Weber made Layup. Assisted by Trey Moses.,29,52
8:16,2344,JaShaun Smith made Layup.,31,52
8:09,2344,Foul on Obi Romeo.,31,52
8:09,2050,Trey Moses made Free Throw.,31,53
8:09,2344,Chris Shields Turnover.,31,53
8:09,2050,Trey Moses missed Free Throw.,31,53
8:09,2344,Obi Romeo Defensive Rebound.,31,53
8:09,2050,Foul on Ryan Weber.,31,53
7:47,2050,Foul on Kyle Mallers.,31,53
7:47,2050,Official TV Timeout,31,53
7:30,2344,Darrion Allen Turnover.,31,53
7:29,2050,Tayler Persons Steal.,31,53
7:26,2050,Tayler Persons Turnover.,31,53
7:10,2344,Chris Shields missed Jumper.,31,53
7:10,2050,Sean Sellers Defensive Rebound.,31,53
6:45,2050,Francis Kiapway made Three Point Jumper. Assisted by Kyle Mallers.,31,56
6:12,2344,JaShaun Smith missed Three Point Jumper.,31,56
6:12,2050,Sean Sellers Defensive Rebound.,31,56
6:00,2050,Francis Kiapway made Layup.,31,58
5:46,2344,Chris Shields missed Jumper.,31,58
5:46,2344,Obi Romeo Offensive Rebound.,31,58
5:42,2344,Obi Romeo missed Layup.,31,58
5:42,2050,Kyle Mallers Defensive Rebound.,31,58
5:27,2050,Francis Kiapway missed Three Point Jumper.,31,58
5:27,2344,JaShaun Smith Defensive Rebound.,31,58
5:20,2050,Foul on Sean Sellers.,31,58
5:20,2344,Darrion Allen made Free Throw.,32,58
5:20,2344,Darrion Allen made Free Throw.,33,58
4:53,2050,Doudou Gueye missed Jumper.,33,58
4:53,2344,JaShaun Smith Block.,33,58
4:52,2344,Longwood Defensive Rebound.,33,58
4:35,2344,Darrion Allen missed Three Point Jumper.,33,58
4:35,2050,Kyle Mallers Defensive Rebound.,33,58
4:16,2050,Francis Kiapway made Three Point Jumper.,33,61
3:47,2344,Khris Lane made Layup.,35,61
3:29,2050,Jeremie Tyler missed Layup.,35,61
3:29,2344,Khris Lane Defensive Rebound.,35,61
3:23,2344,Chris Shields made Three Point Jumper. Assisted by Isaiah Walton.,38,61
2:59,2050,Doudou Gueye missed Layup.,38,61
2:59,2344,Chris Shields Defensive Rebound.,38,61
2:49,2344,Darrion Allen missed Three Point Jumper.,38,61
2:49,2050,Doudou Gueye Defensive Rebound.,38,61
2:33,2050,Jeremie Tyler missed Three Point Jumper.,38,61
2:33,2344,Khris Lane Defensive Rebound.,38,61
2:26,2344,Longwood  Timeout,38,61
2:26,2050,Official TV Timeout,38,61
2:14,2344,Isaiah Walton Turnover.,38,61
2:12,2050,Tahjai Teague Steal.,38,61
2:07,2050,Jeremie Tyler missed Layup.,38,61
2:06,2344,Obi Romeo Block.,38,61
2:05,2344,Obi Romeo Defensive Rebound.,38,61
1:58,2344,Chris Shields made Jumper.,40,61
1:36,2050,Josh Thompson missed Layup.,40,61
1:36,2344,Obi Romeo Block.,40,61
1:34,2344,Obi Romeo Defensive Rebound.,40,61
1:28,2344,Isaac Belton missed Three Point Jumper.,40,61
1:28,2050,Jeremie Tyler Defensive Rebound.,40,61
1:16,2050,Tahjai Teague missed Dunk.,40,61
1:16,2344,Isaiah Walton Defensive Rebound.,40,61
1:06,2344,Chris Shields missed Three Point Jumper.,40,61
1:06,2050,Tahjai Teague Defensive Rebound.,40,61
0:45,2050,Doudou Gueye Turnover.,40,61
0:43,2344,Isaiah Walton Steal.,40,61
0:33,2050,Foul on Doudou Gueye.,40,61
0:33,2344,Chris Shields made Free Throw.,41,61
0:33,2344,Chris Shields missed Free Throw.,41,61
0:33,2050,Tahjai Teague Defensive Rebound.,41,61
0:24,2050,Josh Thompson Turnover.,41,61
0:23,2344,Isaiah Walton Steal.,41,61
0:21,2344,Isaiah Walton made Dunk.,43,61
0:15,2344,Foul on Isaiah Walton.,43,61
0:15,2050,Josh Thompson missed Free Throw.,43,61
0:15,2344,Chris Shields Defensive Rebound.,43,61
0:09,2344,Isaiah Walton made Jumper.,45,61
0:00,2050,End of Game,45,61
