New Mexico State,301,San Diego,166
6:26,166,New Mexico St  Turnover.,13,11
6:10,166,Foul on Johnathon Wilkins.,13,11
6:02,301,Olin Carter III missed Three Point Jumper.,13,11
6:02,166,Matt Taylor Defensive Rebound.,13,11
5:50,166,Ian Baker missed Three Point Jumper.,13,11
5:50,166,Eli Chuha Offensive Rebound.,13,11
5:47,166,Eli Chuha Turnover.,13,11
5:28,301,Juwan Gray missed Three Point Jumper.,13,11
5:28,166,Ian Baker Defensive Rebound.,13,11
5:24,166,Matt Taylor missed Jumper.,13,11
5:24,301,Brett Bailey Block.,13,11
5:23,301,Brett Bailey Defensive Rebound.,13,11
5:20,166,Foul on Johnathon Wilkins.,13,11
5:20,301,Brett Bailey made Free Throw.,13,12
5:20,301,Brett Bailey made Free Throw.,13,13
4:58,166,Ian Baker missed Jumper.,13,13
4:58,301,San Diego Defensive Rebound.,13,13
4:37,301,Olin Carter III missed Jumper.,13,13
4:37,301,Tyler Williams Offensive Rebound.,13,13
4:30,301,Tyler Williams missed Two Point Tip Shot.,13,13
4:30,166,Eli Chuha Defensive Rebound.,13,13
4:28,166,Foul on Sidy N'Dir.,13,13
4:28,166,Sidy N'Dir Turnover.,13,13
4:11,301,Olin Carter III missed Three Point Jumper.,13,13
4:11,166,Eli Chuha Defensive Rebound.,13,13
3:54,166,Sidy N'Dir missed Three Point Jumper.,13,13
3:54,301,Brett Bailey Defensive Rebound.,13,13
3:46,301,Brett Bailey missed Layup.,13,13
3:46,166,Jalyn Pennie Block.,13,13
3:43,166,Braxton Huggins Defensive Rebound.,13,13
3:39,166,Braxton Huggins missed Jumper.,13,13
3:39,166,Braxton Huggins Offensive Rebound.,13,13
3:39,301,Foul on Tyler Williams.,13,13
3:39,301,Official TV Timeout,13,13
3:38,166,Braxton Huggins missed Free Throw.,13,13
3:37,166,New Mexico St Deadball Team Rebound.,13,13
3:37,166,Braxton Huggins made Free Throw.,14,13
3:13,166,Foul on Jemerrio Jones.,14,13
3:07,301,Juwan Gray made Three Point Jumper. Assisted by Brett Bailey.,14,16
2:46,301,Foul on Nassir Barrino.,14,16
2:46,166,Jalyn Pennie made Free Throw.,15,16
2:46,166,Jalyn Pennie missed Free Throw.,15,16
2:46,301,Brett Bailey Defensive Rebound.,15,16
2:26,301,Mark Carbone made Jumper. Assisted by Brett Bailey.,15,18
2:05,166,Sidy N'Dir missed Three Point Jumper.,15,18
2:05,301,Olin Carter III Defensive Rebound.,15,18
1:52,301,San Diego  Turnover.,15,18
1:43,166,Foul on Sidy N'Dir.,15,18
1:43,166,Sidy N'Dir Turnover.,15,18
1:30,301,Mark Carbone made Three Point Jumper. Assisted by Brett Bailey.,15,21
1:21,166,Jemerrio Jones missed Three Point Jumper.,15,21
1:21,301,Nassir Barrino Defensive Rebound.,15,21
0:57,301,Juwan Gray missed Jumper.,15,21
0:57,166,Eli Chuha Defensive Rebound.,15,21
0:44,166,Jalyn Pennie made Jumper.,17,21
0:44,301,Foul on Juwan Gray.,17,21
0:44,166,Jalyn Pennie made Free Throw.,18,21
0:42,301,San Diego  Timeout,18,21
0:16,301,Brett Bailey made Jumper.,18,23
0:02,166,Ian Baker made Jumper.,20,23
0:00,301,End of 1st half,23,25
19:37,301,Brett Bailey missed Three Point Jumper.,20,23
19:37,301,Cameron Neubauer Offensive Rebound.,20,23
19:18,166,Foul on Sidy N'Dir.,20,23
19:18,301,Olin Carter III missed Free Throw.,20,23
19:18,301,San Diego Deadball Team Rebound.,20,23
19:18,301,Olin Carter III missed Free Throw.,20,23
19:18,301,San Diego Deadball Team Rebound.,20,23
19:18,301,Olin Carter III made Free Throw.,20,24
19:06,301,Foul on Tyler Williams.,20,24
19:06,166,Braxton Huggins made Free Throw.,21,24
19:06,166,Braxton Huggins made Free Throw.,22,24
18:50,301,Cameron Neubauer made Layup. Assisted by Brett Bailey.,22,26
18:25,166,Sidy N'Dir missed Three Point Jumper.,22,26
18:25,301,Tyler Williams Defensive Rebound.,22,26
18:03,301,Brett Bailey made Jumper.,22,28
18:03,166,Foul on Eli Chuha.,22,28
17:57,301,Brett Bailey made Free Throw.,22,29
17:48,166,Ian Baker Turnover.,22,29
17:47,301,Brett Bailey Steal.,22,29
17:44,166,Foul on Braxton Huggins.,22,29
17:44,301,Brett Bailey made Free Throw.,22,30
17:44,301,Brett Bailey missed Free Throw.,22,30
17:44,301,Nassir Barrino Offensive Rebound.,22,30
17:19,301,Foul on Brett Bailey.,22,30
17:19,301,Brett Bailey Turnover.,22,30
16:54,166,Braxton Huggins missed Three Point Jumper.,22,30
16:54,301,San Diego Defensive Rebound.,22,30
16:13,301,Cameron Neubauer missed Three Point Jumper.,22,30
16:13,166,Braxton Huggins Defensive Rebound.,22,30
15:43,166,Jalyn Pennie missed Three Point Jumper.,22,30
15:43,166,Eli Chuha Offensive Rebound.,22,30
15:41,166,New Mexico St  Turnover.,22,30
15:41,301,Official TV Timeout,22,30
15:16,301,Olin Carter III missed Three Point Jumper.,22,30
15:16,301,Cameron Neubauer Offensive Rebound.,22,30
15:10,301,San Diego  Turnover.,22,30
14:53,166,Foul on Johnathon Wilkins.,22,30
14:53,166,Ian Baker missed Three Point Jumper.,22,30
14:53,166,Johnathon Wilkins Offensive Rebound.,22,30
14:53,301,Foul on Cameron Neubauer.,22,30
14:41,166,Jemerrio Jones missed Jumper.,22,30
14:41,301,San Diego Defensive Rebound.,22,30
14:40,166,Foul on Matt Taylor.,22,30
14:20,301,Frank Ryder missed Jumper.,22,30
14:20,166,Johnathon Wilkins Defensive Rebound.,22,30
14:06,166,Matt Taylor made Jumper.,24,30
13:27,301,Juwan Gray missed Jumper.,24,30
13:27,166,Jermaine Haley Defensive Rebound.,24,30
13:16,166,Jermaine Haley Turnover.,24,30
13:01,301,Brett Bailey made Layup.,24,32
12:55,301,Foul on Frank Ryder.,24,32
12:47,166,Sidy N'Dir made Jumper.,26,32
12:39,301,Juwan Gray Turnover.,26,32
12:32,166,Sidy N'Dir missed Jumper.,26,32
12:32,166,Jemerrio Jones Offensive Rebound.,26,32
12:28,166,Jemerrio Jones made Jumper.,28,32
12:00,301,Olin Carter III made Three Point Jumper. Assisted by Brett Bailey.,28,35
11:43,166,Jemerrio Jones made Jumper.,30,35
11:43,166,Jemerrio Jones made Free Throw.,31,35
11:43,301,Foul on Mark Carbone.,31,35
11:43,301,Official TV Timeout,31,35
11:21,301,Cameron Neubauer missed Three Point Jumper.,31,35
11:21,166,Matt Taylor Defensive Rebound.,31,35
10:34,166,Jemerrio Jones made Layup.,33,35
10:31,301,Foul on Cameron Neubauer.,33,35
10:31,166,Jemerrio Jones missed Free Throw.,33,35
10:31,301,Brett Bailey Defensive Rebound.,33,35
10:30,301,Brett Bailey made Three Point Jumper. Assisted by Mark Carbone.,33,38
10:24,166,Eli Chuha made Layup. Assisted by Braxton Huggins.,35,38
10:06,301,Tyler Williams missed Three Point Jumper.,35,38
10:06,166,Eli Chuha Defensive Rebound.,35,38
9:41,166,Jemerrio Jones missed Jumper.,35,38
9:41,166,Jemerrio Jones Offensive Rebound.,35,38
9:38,166,Jemerrio Jones made Layup.,37,38
9:21,301,San Diego  Timeout,37,38
9:04,301,Juwan Gray missed Jumper.,37,38
9:04,166,Braxton Huggins Defensive Rebound.,37,38
9:04,301,Foul on Brett Bailey.,37,38
9:04,166,Eli Chuha missed Free Throw.,37,38
9:04,301,Brett Bailey Defensive Rebound.,37,38
9:01,301,Foul on Olin Carter III.,37,38
9:01,301,Olin Carter III Turnover.,37,38
8:10,166,Braxton Huggins missed Three Point Jumper.,37,38
8:10,301,Brett Bailey Defensive Rebound.,37,38
8:08,301,Juwan Gray made Layup. Assisted by Brett Bailey.,37,40
7:50,166,Jemerrio Jones made Jumper.,39,40
7:27,301,Official TV Timeout,39,40
7:19,301,Brett Bailey missed Jumper.,39,40
7:19,166,Jalyn Pennie Defensive Rebound.,39,40
7:17,301,Foul on Nassir Barrino.,39,40
7:17,166,Jalyn Pennie missed Free Throw.,39,40
7:17,166,New Mexico St Deadball Team Rebound.,39,40
7:17,166,Jalyn Pennie made Free Throw.,40,40
6:52,301,Olin Carter III made Layup. Assisted by Brett Bailey.,40,42
6:38,301,Foul on Mark Carbone.,40,42
6:38,166,Braxton Huggins made Free Throw.,41,42
6:38,166,Braxton Huggins made Free Throw.,42,42
6:18,301,Cameron Neubauer missed Jumper.,42,42
6:18,301,San Diego Offensive Rebound.,42,42
6:12,301,Olin Carter III missed Three Point Jumper.,42,42
6:12,166,Ian Baker Defensive Rebound.,42,42
6:08,301,Foul on Olin Carter III.,42,42
6:08,166,Ian Baker made Free Throw.,43,42
6:08,166,Ian Baker made Free Throw.,44,42
5:45,301,Brett Bailey missed Jumper.,44,42
5:45,166,Jalyn Pennie Block.,44,42
5:43,301,Brett Bailey Offensive Rebound.,44,42
5:40,301,Brett Bailey Turnover.,44,42
5:10,166,Ian Baker missed Three Point Jumper.,44,42
5:10,301,Tyler Williams Defensive Rebound.,44,42
4:59,301,Olin Carter III missed Three Point Jumper.,44,42
4:59,166,Braxton Huggins Defensive Rebound.,44,42
4:31,166,Matt Taylor made Dunk. Assisted by Jalyn Pennie.,46,42
4:11,166,Foul on Jalyn Pennie.,46,42
4:11,301,Tyler Williams made Jumper.,46,44
3:50,166,Jemerrio Jones made Jumper. Assisted by Matt Taylor.,48,44
3:50,301,Foul on Olin Carter III.,48,44
3:31,301,Official TV Timeout,48,44
3:31,166,Jemerrio Jones made Free Throw.,49,44
3:09,301,Brett Bailey made Layup. Assisted by Tyler Williams.,49,46
2:42,301,Foul on Nassir Barrino.,49,46
2:42,166,Ian Baker made Free Throw.,50,46
2:42,166,Ian Baker made Free Throw.,51,46
2:18,301,Brett Bailey made Three Point Jumper.,51,49
1:52,301,Foul on Cameron Neubauer.,51,49
1:40,166,Ian Baker made Free Throw.,52,49
1:40,166,Ian Baker made Free Throw.,53,49
1:12,301,Mark Carbone missed Three Point Jumper.,53,49
1:12,166,Matt Taylor Block.,53,49
1:09,166,Jemerrio Jones Defensive Rebound.,53,49
0:39,166,Ian Baker missed Three Point Jumper.,53,49
0:39,301,San Diego Defensive Rebound.,53,49
0:35,301,San Diego  Timeout,53,49
0:22,301,Brett Bailey Turnover.,53,49
0:21,166,Ian Baker Steal.,53,49
0:21,301,Foul on Brett Bailey.,53,49
0:21,166,Ian Baker made Free Throw.,54,49
0:21,166,Ian Baker missed Free Throw.,54,49
0:21,301,Olin Carter III Defensive Rebound.,54,49
0:09,301,Olin Carter III missed Three Point Jumper.,54,49
0:09,166,Sidy N'Dir Defensive Rebound.,54,49
0:07,301,Foul on Tyler Williams.,54,49
0:07,166,Sidy N'Dir made Free Throw.,55,49
0:07,166,Sidy N'Dir made Free Throw.,56,49
0:01,301,Brett Bailey made Dunk. Assisted by Mark Carbone.,56,51
0:00,301,End of Game,56,51
