Alexandria,Error,McNeese,2377
13:08,2377,Howard Thomas missed Layup.,14,11
13:08,-1,Gilbert Talbot Block.,14,11
13:07,-1,Evan Smith Defensive Rebound.,14,11
13:02,-1,Brandon Moss missed Layup.,14,11
13:02,2377,McNeese Defensive Rebound.,14,11
12:56,2377,Adrian Brown made Layup.,14,13
12:56,-1,Foul on Gilbert Talbot.,14,13
12:56,2377,Adrian Brown made Free Throw.,14,14
12:26,-1,Brandon Ellis missed Three Point Jumper.,14,14
12:26,2377,Jacob Ledoux Defensive Rebound.,14,14
12:15,2377,James Harvey missed Three Point Jumper.,14,14
12:15,-1,Brandon Moss Defensive Rebound.,14,14
12:06,-1,Brandon Ellis made Jumper.,16,14
11:48,2377,Foul on Jamaya Burr.,16,14
11:48,2377,Jamaya Burr Turnover.,16,14
11:48,2377,Official TV Timeout,16,14
11:36,-1,Brian Sylvester made Layup.,18,14
11:36,2377,Foul on Jamaya Burr.,18,14
11:36,-1,Brian Sylvester made Free Throw.,19,14
11:22,2377,Adrian Brown made Jumper.,19,16
11:11,-1,Hayward Register missed Three Point Jumper.,19,16
11:11,2377,Jacob Ledoux Defensive Rebound.,19,16
11:06,-1,Foul on Damian Goodwin.,19,16
10:55,2377,Jacob Ledoux Turnover.,19,16
10:53,-1,Brian Sylvester Steal.,19,16
10:41,-1,Jordin Williams made Three Point Jumper.,22,16
10:30,2377,Adrian Brown Turnover.,22,16
10:29,-1,Jordin Williams Steal.,22,16
10:18,-1,Damian Goodwin made Jumper. Assisted by Brian Sylvester.,24,16
10:02,2377,Jamaya Burr made Layup.,24,18
9:49,2377,Foul on James Harvey.,24,18
9:49,-1,Evan Smith made Free Throw.,25,18
9:49,-1,Evan Smith made Free Throw.,26,18
9:37,2377,Jarren Greenwood Turnover.,26,18
9:36,-1,Javante Walker Steal.,26,18
9:33,-1,Gilbert Talbot Steal.,26,18
9:30,-1,Hayward Register missed Three Point Jumper.,26,18
9:30,-1,Hayward Register Offensive Rebound.,26,18
9:25,-1,Hayward Register missed Jumper.,26,18
9:25,2377,Adrian Brown Defensive Rebound.,26,18
9:17,2377,Adrian Brown made Three Point Jumper. Assisted by Jarren Greenwood.,26,21
8:56,-1,Hayward Register made Layup. Assisted by Gilbert Talbot.,28,21
8:56,2377,Foul on James Harvey.,28,21
8:56,-1,Hayward Register made Free Throw.,29,21
8:46,2377,Kalob Ledoux made Three Point Jumper.,29,24
8:26,-1,Hayward Register missed Three Point Jumper.,29,24
8:26,-1,Chris Vickers Offensive Rebound.,29,24
8:24,2377,LaBarrius Hill missed Free Throw.,29,24
8:24,-1,Gilbert Talbot Defensive Rebound.,29,24
8:07,2377,Adrian Brown missed Jumper.,29,24
8:07,-1,Hayward Register Defensive Rebound.,29,24
8:01,-1,Chris Vickers missed Three Point Jumper.,29,24
8:01,2377,LaBarrius Hill Defensive Rebound.,29,24
7:52,2377,Jarren Greenwood missed Jumper.,29,24
7:52,-1,Gilbert Talbot Defensive Rebound.,29,24
7:44,-1,Brandon Moss made Dunk.,31,24
7:26,2377,Kalob Ledoux missed Three Point Jumper.,31,24
7:26,-1,Chris Vickers Defensive Rebound.,31,24
7:24,2377,Official TV Timeout,31,24
7:02,-1,Brian Sylvester made Jumper. Assisted by Gilbert Talbot.,33,24
6:37,2377,Lance Potier missed Three Point Jumper.,33,24
6:37,-1,Gilbert Talbot Defensive Rebound.,33,24
6:34,2377,Foul on Richard Laku.,33,24
6:34,-1,Gilbert Talbot made Free Throw.,34,24
6:34,-1,Gilbert Talbot made Free Throw.,35,24
6:11,2377,Lance Potier made Jumper. Assisted by Jamaya Burr.,35,26
5:57,2377,Foul on Jamaya Burr.,35,26
5:57,-1,Matthew Thomas Jr. missed Free Throw.,35,26
5:57,-1,Matthew Thomas Jr. made Free Throw.,36,26
5:43,2377,Jarren Greenwood missed Three Point Jumper.,36,26
5:43,-1,Gilbert Talbot Defensive Rebound.,36,26
5:34,-1,Jordin Williams missed Three Point Jumper.,36,26
5:34,2377,Lance Potier Defensive Rebound.,36,26
5:26,2377,Jamaya Burr missed Layup.,36,26
5:26,-1,Brian Sylvester Block.,36,26
5:26,2377,McNeese Offensive Rebound.,36,26
5:21,2377,LaBarrius Hill Turnover.,36,26
5:20,-1,Matthew Thomas Jr. Steal.,36,26
5:18,-1,Evan Smith missed Layup.,36,26
5:18,2377,Lance Potier Defensive Rebound.,36,26
5:12,2377,LaBarrius Hill made Layup.,36,28
4:41,-1,Brandon Moss made Dunk. Assisted by Matthew Thomas Jr..,38,28
4:31,2377,Lance Potier made Jumper. Assisted by Jamaya Burr.,38,30
4:08,-1,Brandon Ellis missed Three Point Jumper.,38,30
4:08,2377,Jamaya Burr Defensive Rebound.,38,30
4:01,-1,Foul on Damian Goodwin.,38,30
4:01,2377,Jamaya Burr made Free Throw.,38,31
4:01,2377,Jamaya Burr missed Free Throw.,38,31
4:01,-1,Chris Vickers Defensive Rebound.,38,31
3:50,-1,Damian Goodwin missed Layup.,38,31
3:50,-1,Chris Vickers Offensive Rebound.,38,31
3:47,-1,Chris Vickers missed Layup.,38,31
3:47,2377,Richard Laku Defensive Rebound.,38,31
3:47,-1,Foul on Evan Smith.,38,31
3:47,2377,Official TV Timeout,38,31
3:21,2377,Jarren Greenwood missed Jumper.,38,31
3:21,-1,Evan Smith Defensive Rebound.,38,31
2:57,-1,Hayward Register missed Jumper.,38,31
2:57,-1,Gilbert Talbot Offensive Rebound.,38,31
2:45,-1,Brandon Ellis missed Three Point Jumper.,38,31
2:45,-1,Chris Vickers Offensive Rebound.,38,31
2:34,2377,Jarren Greenwood missed Jumper.,38,31
2:34,-1,Brian Sylvester Defensive Rebound.,38,31
2:17,-1,Brian Sylvester made Jumper.,40,31
2:01,2377,Jamaya Burr missed Three Point Jumper.,40,31
2:01,-1,Evan Smith Defensive Rebound.,40,31
1:54,-1,Gilbert Talbot missed Layup.,40,31
1:54,2377,Lance Potier Defensive Rebound.,40,31
1:47,2377,Jarren Greenwood made Dunk. Assisted by Jamaya Burr.,40,33
1:19,2377,Foul on Jacob Ledoux.,40,33
1:19,-1,Gilbert Talbot made Free Throw.,41,33
1:19,-1,Gilbert Talbot made Free Throw.,42,33
1:00,2377,Jacob Ledoux made Jumper.,42,35
0:27,-1,Jordin Williams missed Jumper.,42,35
0:27,2377,Lance Potier Defensive Rebound.,42,35
0:00,2377,Howard Thomas made Layup. Assisted by Jacob Ledoux.,42,37
0:00,-1,Foul on Brian Sylvester.,42,37
0:00,2377,Howard Thomas made Free Throw.,42,38
0:00,2377,End of 1st half,42,38
19:32,-1,Gilbert Talbot missed Jumper.,42,38
19:32,2377,Lance Potier Defensive Rebound.,42,38
19:07,2377,Jamaya Burr missed Three Point Jumper.,42,38
19:07,-1,Hayward Register Defensive Rebound.,42,38
18:59,-1,Jordin Williams missed Three Point Jumper.,42,38
18:59,2377,LaBarrius Hill Defensive Rebound.,42,38
18:52,2377,LaBarrius Hill Turnover.,42,38
18:51,-1,Hayward Register Steal.,42,38
18:51,2377,Foul on Lance Potier.,42,38
18:51,-1,Brian Sylvester missed Free Throw.,42,38
18:51,-1,LSU-Alexandria Deadball Team Rebound.,42,38
18:51,-1,Brian Sylvester missed Free Throw.,42,38
18:51,2377,James Harvey Defensive Rebound.,42,38
18:31,-1,Foul on Brandon Ellis.,42,38
18:24,2377,LaBarrius Hill made Jumper. Assisted by Lance Potier.,42,40
18:04,-1,Brian Sylvester made Jumper.,44,40
17:56,2377,Jarren Greenwood missed Layup.,44,40
17:56,2377,Jarren Greenwood Offensive Rebound.,44,40
17:48,-1,Foul on Hayward Register.,44,40
17:43,2377,Lance Potier missed Layup.,44,40
17:43,-1,Brandon Moss Block.,44,40
17:43,2377,McNeese Offensive Rebound.,44,40
17:39,-1,Foul on Brandon Ellis.,44,40
17:39,2377,Jarren Greenwood made Free Throw.,44,41
17:39,2377,Jarren Greenwood made Free Throw.,44,42
17:27,-1,Brandon Moss missed Jumper.,44,42
17:27,2377,LaBarrius Hill Defensive Rebound.,44,42
17:12,2377,Jamaya Burr made Layup.,44,44
17:05,2377,Foul on LaBarrius Hill.,44,44
17:05,-1,Brandon Moss made Free Throw.,45,44
17:05,-1,Brandon Moss made Free Throw.,46,44
17:01,2377,James Harvey missed Three Point Jumper.,46,44
17:01,2377,LaBarrius Hill Offensive Rebound.,46,44
16:56,2377,LaBarrius Hill made Jumper.,46,46
16:35,-1,Brian Sylvester made Three Point Jumper.,49,46
16:12,2377,LaBarrius Hill made Dunk. Assisted by Jamaya Burr.,49,48
15:43,-1,Brandon Moss missed Jumper.,49,48
15:43,2377,Lance Potier Defensive Rebound.,49,48
15:34,2377,Jamaya Burr missed Layup.,49,48
15:34,-1,Brandon Ellis Defensive Rebound.,49,48
15:28,-1,Hayward Register missed Three Point Jumper.,49,48
15:28,-1,Jordin Williams Offensive Rebound.,49,48
15:20,-1,Brandon Ellis made Jumper.,51,48
15:08,2377,McNeese  Timeout,51,48
14:49,2377,James Harvey made Three Point Jumper. Assisted by Jarren Greenwood.,51,51
14:33,-1,Foul on Gilbert Talbot.,51,51
14:33,-1,Gilbert Talbot Turnover.,51,51
14:33,2377,Official TV Timeout,51,51
14:11,2377,Jarren Greenwood made Layup.,51,53
14:11,-1,Foul on Brian Sylvester.,51,53
14:11,2377,Jarren Greenwood made Free Throw.,51,54
13:48,-1,Evan Smith Turnover.,51,54
13:48,2377,Jarren Greenwood Steal.,51,54
13:48,2377,McNeese  Timeout,51,54
13:35,2377,Kalob Ledoux made Layup.,51,56
13:12,-1,Gilbert Talbot made Jumper.,53,56
12:56,-1,Foul on Gilbert Talbot.,53,56
12:50,2377,James Harvey missed Three Point Jumper.,53,56
12:50,-1,Brandon Moss Defensive Rebound.,53,56
12:39,-1,Brandon Moss missed Layup.,53,56
12:39,2377,Adrian Brown Block.,53,56
12:36,2377,James Harvey Defensive Rebound.,53,56
12:33,2377,James Harvey made Layup.,53,58
12:16,-1,Chris Vickers Turnover.,53,58
12:16,-1,LSU-Alexandria  Timeout,53,58
11:46,2377,Jamaya Burr missed Three Point Jumper.,53,58
11:46,2377,Adrian Brown Offensive Rebound.,53,58
11:43,-1,Foul on Gilbert Talbot.,53,58
11:43,-1,Foul on Gilbert Talbot.,53,58
11:43,2377,Foul on Adrian Brown.,53,58
11:43,-1,Technical Foul on Donovan Thomas.,53,58
11:43,2377,Foul on James Harvey.,53,58
11:43,-1,Technical Foul on Evan Smith.,53,58
11:43,2377,Adrian Brown made Free Throw.,53,59
11:43,2377,Adrian Brown made Free Throw.,53,60
11:43,-1,Foul on Gilbert Talbot.,53,60
11:43,-1,Chris Vickers made Free Throw.,54,60
11:43,-1,Chris Vickers made Free Throw.,55,60
11:30,-1,Evan Smith missed Layup.,55,60
11:30,2377,Adrian Brown Block.,55,60
11:27,2377,Adrian Brown Defensive Rebound.,55,60
11:11,2377,Adrian Brown Turnover.,55,60
11:09,-1,Matthew Thomas Jr. Steal.,55,60
11:02,-1,Chris Vickers made Three Point Jumper. Assisted by Matthew Thomas Jr..,58,60
10:31,2377,Jarren Greenwood missed Jumper.,58,60
10:31,-1,Brandon Moss Defensive Rebound.,58,60
10:03,-1,Evan Smith missed Three Point Jumper.,58,60
10:03,2377,Lance Potier Defensive Rebound.,58,60
10:02,-1,Foul on Brandon Moss.,58,60
10:02,2377,Lance Potier missed Free Throw.,58,60
10:02,-1,Chris Vickers Defensive Rebound.,58,60
9:42,-1,Evan Smith Turnover.,58,60
9:24,2377,Kalob Ledoux made Three Point Jumper.,58,63
9:06,-1,Damian Goodwin missed Layup.,58,63
9:06,2377,Kalob Ledoux Defensive Rebound.,58,63
8:59,2377,Kalob Ledoux Turnover.,58,63
8:59,2377,Foul on Kalob Ledoux.,58,63
8:37,-1,Brian Sylvester missed Jumper.,58,63
8:37,-1,Brandon Moss Offensive Rebound.,58,63
8:33,-1,Brandon Moss made Layup.,60,63
8:09,2377,James Harvey made Layup.,60,65
7:45,-1,Brian Sylvester missed Layup.,60,65
7:45,-1,Brandon Moss Offensive Rebound.,60,65
7:40,-1,Brandon Moss missed Layup.,60,65
7:40,-1,Brandon Moss Offensive Rebound.,60,65
7:35,2377,LaBarrius Hill Defensive Rebound.,60,65
7:32,2377,Jarren Greenwood missed Layup.,60,65
7:32,2377,Jarren Greenwood Offensive Rebound.,60,65
7:30,-1,Foul on Brian Sylvester.,60,65
7:30,2377,Official TV Timeout,60,65
7:30,2377,Jarren Greenwood missed Free Throw.,60,65
7:30,2377,McNeese Deadball Team Rebound.,60,65
7:30,2377,Jarren Greenwood made Free Throw.,60,66
7:19,-1,Brandon Moss Turnover.,60,66
7:18,2377,Jarren Greenwood Steal.,60,66
7:01,2377,Lance Potier Turnover.,60,66
6:36,-1,Jordin Williams made Layup.,62,66
6:29,2377,Jarren Greenwood Turnover.,62,66
6:28,-1,Brian Sylvester Steal.,62,66
6:21,-1,Brian Sylvester missed Jumper.,62,66
6:21,2377,Jarren Greenwood Defensive Rebound.,62,66
5:55,-1,Foul on Jordin Williams.,62,66
5:55,2377,Jarren Greenwood made Free Throw.,62,67
5:55,2377,Jarren Greenwood made Free Throw.,62,68
5:47,2377,Foul on LaBarrius Hill.,62,68
5:37,-1,Hayward Register missed Three Point Jumper.,62,68
5:37,2377,Kalob Ledoux Defensive Rebound.,62,68
5:16,2377,Kalob Ledoux made Jumper.,62,70
5:06,-1,Hayward Register missed Layup.,62,70
5:06,2377,LaBarrius Hill Block.,62,70
5:06,2377,McNeese Defensive Rebound.,62,70
4:42,2377,LaBarrius Hill missed Jumper.,62,70
4:42,-1,Evan Smith Defensive Rebound.,62,70
4:29,-1,Brandon Ellis missed Three Point Jumper.,62,70
4:29,2377,LaBarrius Hill Defensive Rebound.,62,70
4:06,2377,James Harvey missed Layup.,62,70
4:06,-1,Brian Sylvester Block.,62,70
4:04,-1,Evan Smith Defensive Rebound.,62,70
4:00,-1,Brandon Moss made Dunk. Assisted by Brian Sylvester.,64,70
3:50,2377,Jacob Ledoux Turnover.,64,70
3:31,2377,Foul on LaBarrius Hill.,64,70
3:31,-1,Brandon Moss made Free Throw.,65,70
3:31,-1,Brandon Moss made Free Throw.,66,70
3:00,2377,Kalob Ledoux missed Three Point Jumper.,66,70
3:00,-1,Matthew Thomas Jr. Defensive Rebound.,66,70
2:54,-1,Brian Sylvester Turnover.,66,70
2:41,-1,Foul on Jordin Williams.,66,70
2:41,2377,Kalob Ledoux made Free Throw.,66,71
2:41,2377,Kalob Ledoux missed Free Throw.,66,71
2:41,-1,Brandon Moss Defensive Rebound.,66,71
2:31,2377,Foul on Adrian Brown.,66,71
2:31,-1,Brian Sylvester made Free Throw.,67,71
2:31,-1,Brian Sylvester made Free Throw.,68,71
2:23,2377,Lance Potier missed Layup.,68,71
2:23,-1,Brandon Moss Defensive Rebound.,68,71
2:16,-1,Brandon Moss made Layup.,70,71
1:46,2377,Lance Potier Turnover.,70,71
1:27,-1,Chris Vickers missed Three Point Jumper.,70,71
1:27,-1,Evan Smith Offensive Rebound.,70,71
1:20,-1,Brandon Moss Turnover.,70,71
1:18,2377,James Harvey Steal.,70,71
1:15,-1,Foul on Chris Vickers.,70,71
1:15,2377,Kalob Ledoux made Free Throw.,70,72
1:15,2377,Kalob Ledoux made Free Throw.,70,73
0:51,-1,Brandon Moss Turnover.,70,73
0:50,2377,Kalob Ledoux Steal.,70,73
0:48,-1,Foul on Brian Sylvester.,70,73
0:48,2377,Jarren Greenwood made Free Throw.,70,74
0:48,2377,Jarren Greenwood made Free Throw.,70,75
0:41,2377,Foul on Kalob Ledoux.,70,75
0:41,-1,Brandon Moss made Free Throw.,71,75
0:41,-1,Brandon Moss made Free Throw.,72,75
0:23,-1,Foul on Matthew Thomas Jr..,72,75
0:23,2377,Jarren Greenwood made Free Throw.,72,76
0:23,2377,Jarren Greenwood made Free Throw.,72,77
0:15,-1,Jordin Williams missed Three Point Jumper.,72,77
0:15,2377,Jarren Greenwood Defensive Rebound.,72,77
0:06,-1,Foul on Hayward Register.,72,77
0:06,2377,Lance Potier made Free Throw.,72,78
0:06,2377,Lance Potier made Free Throw.,72,79
0:02,-1,Brandon Ellis made Three Point Jumper.,75,79
0:02,-1,Foul on Brandon Ellis.,75,79
0:02,2377,Jarren Greenwood missed Free Throw.,75,79
0:02,2377,McNeese Deadball Team Rebound.,75,79
0:02,2377,Jarren Greenwood made Free Throw.,75,80
0:00,-1,Brandon Moss made Three Point Jumper. Assisted by Jordin Williams.,78,80
0:00,2377,End of Game,78,80
