UT Arlington,2230,Fordham,250
11:17,250,Foul on Jorge Bilbao.,15,12
11:17,250,Jorge Bilbao Turnover.,15,12
11:11,2230,Antwoine Anderson made Three Point Jumper. Assisted by Joseph Chartouny.,15,15
10:41,2230,Foul on David Pekarek.,15,15
10:27,250,Erick Neal missed Three Point Jumper.,15,15
10:27,250,Jalen Jones Offensive Rebound.,15,15
10:07,250,Drew Charles made Three Point Jumper. Assisted by Erick Neal.,18,15
9:47,2230,Javontae Hawkins Turnover.,18,15
9:47,250,Kevin Hervey Steal.,18,15
9:43,250,Erick Neal Turnover.,18,15
9:43,2230,Antwoine Anderson Steal.,18,15
9:39,2230,Antwoine Anderson made Jumper.,18,17
9:16,250,Julian Harris Turnover.,18,17
9:15,2230,Antwoine Anderson Steal.,18,17
9:03,2230,David Pekarek missed Three Point Jumper.,18,17
9:03,250,Drew Charles Defensive Rebound.,18,17
8:56,2230,Foul on Prokop Slanina.,18,17
8:49,250,Kevin Hervey made Jumper. Assisted by Jalen Jones.,20,17
8:32,2230,Nemanja Zarkovic missed Three Point Jumper.,20,17
8:32,2230,Fordham Offensive Rebound.,20,17
8:22,250,Foul on Julian Harris.,20,17
8:22,2230,Joseph Chartouny made Free Throw.,20,18
8:22,2230,Joseph Chartouny made Free Throw.,20,19
8:08,250,Nathan Hawkins missed Three Point Jumper.,20,19
8:08,2230,Fordham Defensive Rebound.,20,19
7:52,2230,Nemanja Zarkovic missed Three Point Jumper.,20,19
7:52,250,Nathan Hawkins Defensive Rebound.,20,19
7:50,2230,Official TV Timeout,20,19
7:36,250,Erick Neal Turnover.,20,19
7:35,2230,Joseph Chartouny Steal.,20,19
7:16,2230,Prokop Slanina missed Three Point Jumper.,20,19
7:16,250,Jorge Bilbao Defensive Rebound.,20,19
7:05,250,Erick Neal Turnover.,20,19
6:56,2230,Christian Sengfelder missed Three Point Jumper.,20,19
6:56,250,Drew Charles Defensive Rebound.,20,19
6:34,250,Jorge Bilbao Turnover.,20,19
6:32,2230,Joseph Chartouny Steal.,20,19
6:29,2230,Joseph Chartouny Turnover.,20,19
6:07,250,Drew Charles made Three Point Jumper. Assisted by Nathan Hawkins.,23,19
5:44,2230,Antwoine Anderson missed Three Point Jumper.,23,19
5:44,250,Jorge Bilbao Defensive Rebound.,23,19
5:15,250,Drew Charles made Three Point Jumper. Assisted by Kevin Hervey.,26,19
4:54,2230,Joseph Chartouny made Three Point Jumper. Assisted by Antwoine Anderson.,26,22
4:24,2230,Foul on Prokop Slanina.,26,22
4:07,250,Jorge Bilbao made Layup. Assisted by Nathan Hawkins.,28,22
3:44,2230,Nemanja Zarkovic missed Jumper.,28,22
3:44,2230,Jesse Bunting Offensive Rebound.,28,22
3:42,2230,Jesse Bunting made Layup.,28,24
3:33,250,Drew Charles missed Three Point Jumper.,28,24
3:33,2230,Javontae Hawkins Defensive Rebound.,28,24
3:17,2230,Javontae Hawkins made Three Point Jumper. Assisted by Joseph Chartouny.,28,27
2:55,250,Kevin Hervey missed Three Point Jumper.,28,27
2:55,2230,Javontae Hawkins Defensive Rebound.,28,27
2:28,2230,Javontae Hawkins missed Three Point Jumper.,28,27
2:28,250,Kevin Hervey Defensive Rebound.,28,27
2:06,250,Erick Neal Turnover.,28,27
2:05,2230,Joseph Chartouny Steal.,28,27
2:02,2230,Nemanja Zarkovic missed Three Point Jumper.,28,27
2:02,2230,Fordham Offensive Rebound.,28,27
1:59,2230,Official TV Timeout,28,27
1:53,2230,Javontae Hawkins missed Three Point Jumper.,28,27
1:53,2230,Prokop Slanina Offensive Rebound.,28,27
1:31,2230,Joseph Chartouny missed Three Point Jumper.,28,27
1:31,250,Kaelon Wilson Defensive Rebound.,28,27
1:00,250,Kevin Hervey missed Jumper.,28,27
1:00,2230,Will Tavares Defensive Rebound.,28,27
0:59,250,Foul on Julian Harris.,28,27
0:32,2230,Foul on Prokop Slanina.,28,27
0:32,2230,Prokop Slanina Turnover.,28,27
0:22,2230,Foul on Joseph Chartouny.,28,27
0:22,250,Kevin Hervey missed Free Throw.,28,27
0:22,250,UT-Arlington Deadball Team Rebound.,28,27
0:22,250,Kevin Hervey made Free Throw.,29,27
0:03,2230,Antwoine Anderson Turnover.,29,27
0:00,2230,End of 1st half,29,27
19:43,2230,Antwoine Anderson Turnover.,29,27
19:29,2230,Foul on Prokop Slanina.,29,27
19:29,250,Kevin Hervey made Free Throw.,30,27
19:29,250,Kevin Hervey made Free Throw.,31,27
19:12,2230,Nemanja Zarkovic missed Three Point Jumper.,31,27
19:12,250,Jorge Bilbao Defensive Rebound.,31,27
18:54,250,Erick Neal Turnover.,31,27
18:52,2230,Antwoine Anderson Steal.,31,27
18:48,2230,Joseph Chartouny made Layup. Assisted by Antwoine Anderson.,31,29
18:27,250,Foul on Jalen Jones.,31,29
18:27,250,Jalen Jones Turnover.,31,29
18:02,2230,Joseph Chartouny missed Three Point Jumper.,31,29
18:02,250,Kevin Hervey Defensive Rebound.,31,29
17:47,250,Kevin Hervey missed Three Point Jumper.,31,29
17:47,250,Drew Charles Offensive Rebound.,31,29
17:43,250,Drew Charles Turnover.,31,29
17:41,2230,Javontae Hawkins Steal.,31,29
17:40,250,Foul on Erick Neal.,31,29
17:40,2230,Antwoine Anderson made Free Throw.,31,30
17:40,2230,Antwoine Anderson missed Free Throw.,31,30
17:40,250,Kevin Hervey Defensive Rebound.,31,30
17:09,250,Erick Neal missed Three Point Jumper.,31,30
17:09,250,Jalen Jones Offensive Rebound.,31,30
16:45,250,Jalen Jones missed Three Point Jumper.,31,30
16:45,2230,Javontae Hawkins Defensive Rebound.,31,30
16:35,2230,Christian Sengfelder missed Three Point Jumper.,31,30
16:35,250,Drew Charles Defensive Rebound.,31,30
16:25,2230,Foul on Christian Sengfelder.,31,30
16:12,250,Kaelon Wilson missed Three Point Jumper.,31,30
16:12,250,Jalen Jones Offensive Rebound.,31,30
16:00,250,Faith Pope missed Layup.,31,30
16:00,2230,Fordham Deadball Team Rebound.,31,30
16:00,2230,Official TV Timeout,31,30
15:31,2230,Antwoine Anderson missed Three Point Jumper.,31,30
15:31,2230,Christian Sengfelder Offensive Rebound.,31,30
15:28,2230,Christian Sengfelder made Layup.,31,32
15:12,250,UT-Arlington  Timeout,31,32
15:12,2230,Official TV Timeout,31,32
15:03,2230,Foul on Antwoine Anderson.,31,32
15:01,250,Erick Neal Turnover.,31,32
15:01,2230,Will Tavares Steal.,31,32
14:57,250,Foul on Kaelon Wilson.,31,32
14:57,2230,Javontae Hawkins made Free Throw.,31,33
14:57,2230,Javontae Hawkins made Free Throw.,31,34
14:46,250,Erick Neal missed Layup.,31,34
14:46,2230,Will Tavares Defensive Rebound.,31,34
14:37,2230,Javontae Hawkins made Layup.,31,36
14:22,2230,Foul on Javontae Hawkins.,31,36
14:22,250,Kaelon Wilson made Free Throw.,32,36
14:22,250,Kaelon Wilson made Free Throw.,33,36
13:57,2230,Antwoine Anderson made Layup.,33,38
13:40,2230,Foul on Christian Sengfelder.,33,38
13:40,250,Kevin Hervey missed Free Throw.,33,38
13:40,250,UT-Arlington Deadball Team Rebound.,33,38
13:40,250,Kevin Hervey made Free Throw.,34,38
13:17,2230,Will Tavares made Three Point Jumper. Assisted by Joseph Chartouny.,34,41
12:58,250,Erick Neal made Layup.,36,41
12:41,2230,David Pekarek made Three Point Jumper. Assisted by Joseph Chartouny.,36,44
12:28,2230,Foul on David Pekarek.,36,44
12:21,250,Erick Neal made Three Point Jumper.,39,44
11:53,2230,David Pekarek Turnover.,39,44
11:53,2230,Official TV Timeout,39,44
11:44,250,Erick Neal Turnover.,39,44
11:43,2230,Joseph Chartouny Steal.,39,44
11:29,250,Foul on Erick Neal.,39,44
11:07,2230,Will Tavares missed Three Point Jumper.,39,44
11:07,250,Erick Neal Defensive Rebound.,39,44
10:59,250,Jalen Jones made Layup. Assisted by Erick Neal.,41,44
10:28,2230,Antwoine Anderson missed Jumper.,41,44
10:28,250,Julian Harris Defensive Rebound.,41,44
10:25,250,Julian Harris Turnover.,41,44
10:12,2230,Christian Sengfelder missed Three Point Jumper.,41,44
10:12,250,Nathan Hawkins Defensive Rebound.,41,44
9:57,250,Julian Harris made Layup. Assisted by Erick Neal.,43,44
9:27,250,Foul on Erick Neal.,43,44
9:17,2230,Christian Sengfelder missed Three Point Jumper.,43,44
9:17,250,Kaelon Wilson Defensive Rebound.,43,44
9:09,250,Kevin Hervey Turnover.,43,44
9:07,2230,Joseph Chartouny Steal.,43,44
9:04,2230,Javontae Hawkins missed Jumper.,43,44
9:04,250,Kevin Hervey Defensive Rebound.,43,44
8:57,250,Erick Neal made Jumper.,45,44
8:43,2230,Javontae Hawkins made Layup. Assisted by Joseph Chartouny.,45,46
8:31,250,Erick Neal made Layup.,47,46
7:55,2230,Javontae Hawkins Turnover.,47,46
7:55,250,Drew Charles Steal.,47,46
7:34,250,Kevin Hervey missed Jumper.,47,46
7:34,250,Julian Harris Offensive Rebound.,47,46
7:29,250,Julian Harris Turnover.,47,46
7:29,2230,Antwoine Anderson Steal.,47,46
7:29,2230,Fordham  Timeout,47,46
7:29,2230,Official TV Timeout,47,46
7:04,2230,Joseph Chartouny missed Three Point Jumper.,47,46
7:04,250,Kevin Hervey Defensive Rebound.,47,46
6:51,2230,Foul on Nemanja Zarkovic.,47,46
6:51,250,DJ Bryant missed Free Throw.,47,46
6:51,2230,David Pekarek Defensive Rebound.,47,46
6:35,2230,Christian Sengfelder made Dunk. Assisted by Joseph Chartouny.,47,48
6:06,250,Kaelon Wilson made Three Point Jumper. Assisted by Jalen Jones.,50,48
5:41,2230,Antwoine Anderson made Layup.,50,50
5:21,250,Jalen Jones made Layup. Assisted by DJ Bryant.,52,50
5:10,2230,David Pekarek missed Three Point Jumper.,52,50
5:10,250,Jalen Jones Defensive Rebound.,52,50
4:45,250,Jalen Jones made Three Point Jumper. Assisted by Kaelon Wilson.,55,50
4:43,2230,Fordham  Timeout,55,50
4:25,250,Foul on Erick Neal.,55,50
4:22,2230,Nemanja Zarkovic missed Three Point Jumper.,55,50
4:22,250,Kaelon Wilson Defensive Rebound.,55,50
4:06,250,Kaelon Wilson made Layup.,57,50
3:31,2230,Christian Sengfelder made Layup. Assisted by Antwoine Anderson.,57,52
3:18,2230,Foul on Joseph Chartouny.,57,52
3:18,2230,Official TV Timeout,57,52
3:18,250,Kevin Hervey missed Free Throw.,57,52
3:18,250,UT-Arlington Deadball Team Rebound.,57,52
3:18,250,Kevin Hervey missed Free Throw.,57,52
3:18,250,UT-Arlington Deadball Team Rebound.,57,52
3:18,250,Kevin Hervey made Free Throw.,58,52
2:54,2230,Javontae Hawkins missed Jumper.,58,52
2:54,250,Jalen Jones Defensive Rebound.,58,52
2:36,250,Kevin Hervey Turnover.,58,52
2:21,2230,Antwoine Anderson made Three Point Jumper. Assisted by Joseph Chartouny.,58,55
2:01,2230,Foul on Nemanja Zarkovic.,58,55
2:01,250,Kevin Hervey made Free Throw.,59,55
2:01,250,Kevin Hervey made Free Throw.,60,55
1:41,2230,Joseph Chartouny made Three Point Jumper.,60,58
1:13,250,Jorge Bilbao Turnover.,60,58
1:12,2230,Antwoine Anderson Steal.,60,58
1:07,2230,Antwoine Anderson made Layup. Assisted by Joseph Chartouny.,60,60
1:07,250,Foul on Nathan Hawkins.,60,60
1:07,2230,Antwoine Anderson missed Free Throw.,60,60
1:07,250,Kevin Hervey Defensive Rebound.,60,60
0:41,250,Jalen Jones made Three Point Jumper. Assisted by Drew Charles.,63,60
0:21,250,Foul on Kevin Hervey.,63,60
0:21,2230,Antwoine Anderson made Free Throw.,63,61
0:21,2230,Antwoine Anderson missed Free Throw.,63,61
0:21,250,Jalen Jones Defensive Rebound.,63,61
0:17,2230,Foul on Nemanja Zarkovic.,63,61
0:17,250,Kevin Hervey made Free Throw.,64,61
0:17,250,Kevin Hervey made Free Throw.,65,61
0:10,2230,Antwoine Anderson made Layup. Assisted by Joseph Chartouny.,65,63
0:10,2230,Fordham  Timeout,65,63
0:00,2230,Foul on Antwoine Anderson.,65,63
0:00,250,Jalen Jones made Free Throw.,66,63
0:00,250,Jalen Jones made Free Throw.,67,63
0:00,2230,End of Game,66,63
