Army,2217,Fairfield,349
5:23,2217,Jerome Segura Defensive Rebound.,21,19
5:16,2217,Curtis Cobb made Layup.,21,21
5:15,349,Army  Timeout,21,21
4:58,349,Adam Roe missed Three Point Jumper.,21,21
4:58,2217,Jonathan Kasibabu Defensive Rebound.,21,21
4:41,2217,Matija Milin missed Three Point Jumper.,21,21
4:41,349,Thomas Funk Defensive Rebound.,21,21
4:35,349,Jacob Kessler made Three Point Jumper. Assisted by John Emezie.,24,21
4:19,349,Foul on John Emezie.,24,21
4:19,2217,Tyler Nelson made Free Throw.,24,22
4:19,2217,Tyler Nelson made Free Throw.,24,23
4:04,349,Jacob Kessler made Three Point Jumper. Assisted by Jordan Fox.,27,23
3:36,2217,Official TV Timeout,27,23
3:34,2217,Curtis Cobb made Three Point Jumper. Assisted by Jerome Segura.,27,26
3:15,2217,Foul on Jonathan Kasibabu.,27,26
3:01,349,John Emezie missed Three Point Jumper.,27,26
3:01,2217,Tyler Nelson Defensive Rebound.,27,26
2:48,2217,Olivier Cadieux Turnover.,27,26
2:40,349,Matthew Wilson Turnover.,27,26
2:38,2217,Amadou Sidibe Steal.,27,26
2:30,2217,Olivier Cadieux made Three Point Jumper. Assisted by Jerome Segura.,27,29
2:08,349,Jacob Kessler missed Jumper.,27,29
2:08,349,Jordan Fox Offensive Rebound.,27,29
2:01,349,Jordan Fox made Three Point Jumper. Assisted by Jacob Kessler.,30,29
1:35,2217,Jerome Segura missed Layup.,30,29
1:35,2217,Amadou Sidibe Offensive Rebound.,30,29
1:29,2217,Curtis Cobb missed Three Point Jumper.,30,29
1:29,349,Jacob Kessler Defensive Rebound.,30,29
1:20,349,Jordan Fox Turnover.,30,29
1:07,2217,Olivier Cadieux made Layup. Assisted by Amadou Sidibe.,30,31
0:52,349,Matthew Wilson Turnover.,30,31
0:26,2217,Tyler Nelson missed Three Point Jumper.,30,31
0:26,349,Thomas Funk Defensive Rebound.,30,31
0:16,349,Matthew Wilson missed Layup.,30,31
0:16,349,Jordan Fox Offensive Rebound.,30,31
0:13,349,Jordan Fox missed Layup.,30,31
0:13,349,Matthew Wilson Offensive Rebound.,30,31
0:10,349,Matthew Wilson made Layup.,32,31
0:03,2217,Jerome Segura missed Jumper.,32,31
0:03,349,Matthew Wilson Defensive Rebound.,32,31
0:00,2217,End of 1st half,32,31
19:54,349,Jordan Fox missed Three Point Jumper.,32,31
19:54,2217,Amadou Sidibe Defensive Rebound.,32,31
19:43,2217,Jerome Segura Turnover.,32,31
19:41,349,Jacob Kessler Steal.,32,31
19:34,349,Mac Hoffman made Layup. Assisted by Thomas Funk.,34,31
19:05,2217,Tyler Nelson missed Layup.,34,31
19:05,2217,Amadou Sidibe Offensive Rebound.,34,31
19:02,2217,Amadou Sidibe made Layup.,34,33
19:02,349,Foul on Mac Hoffman.,34,33
19:02,2217,Amadou Sidibe made Free Throw.,34,34
18:42,349,Thomas Funk missed Jumper.,34,34
18:42,2217,Amadou Sidibe Defensive Rebound.,34,34
18:34,2217,Matija Milin Turnover.,34,34
18:34,2217,Foul on Matija Milin.,34,34
18:12,349,Mac Hoffman missed Jumper.,34,34
18:12,2217,Amadou Sidibe Defensive Rebound.,34,34
18:06,2217,Jerome Segura Turnover.,34,34
18:05,349,John Emezie Steal.,34,34
18:02,349,John Emezie missed Layup.,34,34
18:02,2217,Jerome Segura Defensive Rebound.,34,34
17:58,349,Foul on Mac Hoffman.,34,34
17:58,2217,Fairfield  Timeout,34,34
17:38,2217,Jerome Segura made Jumper.,34,36
17:19,2217,Foul on Amadou Sidibe.,34,36
17:19,349,Matthew Wilson made Free Throw.,35,36
17:19,349,Matthew Wilson made Free Throw.,36,36
16:52,2217,Amadou Sidibe missed Layup.,36,36
16:52,2217,Curtis Cobb Offensive Rebound.,36,36
16:47,2217,Matija Milin made Three Point Jumper. Assisted by Jerome Segura.,36,39
16:27,349,Scott Mammel missed Jumper.,36,39
16:27,2217,Curtis Cobb Defensive Rebound.,36,39
16:16,2217,Curtis Cobb missed Three Point Jumper.,36,39
16:16,2217,Matija Milin Offensive Rebound.,36,39
15:54,2217,Curtis Cobb made Layup.,36,41
15:44,349,Kennedy Edwards missed Jumper.,36,41
15:44,2217,Matija Milin Defensive Rebound.,36,41
15:35,2217,Jerome Segura Turnover.,36,41
15:34,349,Matthew Wilson Steal.,36,41
15:30,349,Adam Roe made Jumper.,38,41
15:20,2217,Curtis Cobb made Three Point Jumper. Assisted by Jerome Segura.,38,44
15:06,349,Matthew Wilson made Layup. Assisted by Jordan Fox.,40,44
14:53,2217,Amadou Sidibe made Layup. Assisted by Jerome Segura.,40,46
14:38,349,Matthew Wilson made Jumper.,42,46
14:31,349,Foul on Jordan Fox.,42,46
14:31,2217,Official TV Timeout,42,46
14:29,2217,Curtis Cobb missed Jumper.,42,46
14:29,349,John Miller Defensive Rebound.,42,46
14:20,349,Richard Brown made Layup.,44,46
14:08,2217,Tyler Nelson missed Three Point Jumper.,44,46
14:08,349,Thomas Funk Defensive Rebound.,44,46
13:46,349,Jacob Kessler Turnover.,44,46
13:34,349,Foul on John Miller.,44,46
13:34,2217,Jonathan Kasibabu missed Free Throw.,44,46
13:34,2217,Fairfield Deadball Team Rebound.,44,46
13:34,2217,Jonathan Kasibabu made Free Throw.,44,47
13:08,349,John Miller made Layup. Assisted by Jordan Fox.,46,47
12:53,349,Foul on John Miller.,46,47
12:51,2217,Curtis Cobb missed Jumper.,46,47
12:51,349,Thomas Funk Defensive Rebound.,46,47
12:44,2217,Foul on Matija Milin.,46,47
12:44,349,Thomas Funk made Free Throw.,47,47
12:44,349,Thomas Funk made Free Throw.,48,47
12:21,2217,Curtis Cobb Turnover.,48,47
12:19,349,Thomas Funk Steal.,48,47
12:14,349,Thomas Funk made Jumper.,50,47
11:49,2217,Curtis Cobb missed Layup.,50,47
11:49,2217,Jonathan Kasibabu Offensive Rebound.,50,47
11:47,2217,Jonathan Kasibabu made Layup.,50,49
11:34,349,John Emezie made Three Point Jumper. Assisted by Thomas Funk.,53,49
11:17,2217,Amadou Sidibe made Layup. Assisted by Jerome Segura.,53,51
11:02,2217,Foul on Curtis Cobb.,53,51
11:02,2217,Official TV Timeout,53,51
11:02,349,Adam Roe made Free Throw.,54,51
11:02,349,Adam Roe missed Free Throw.,54,51
11:02,2217,Curtis Cobb Defensive Rebound.,54,51
10:46,2217,Tyler Nelson missed Jumper.,54,51
10:46,2217,Amadou Sidibe Offensive Rebound.,54,51
10:43,2217,Amadou Sidibe missed Two Point Tip Shot.,54,51
10:43,2217,Amadou Sidibe Offensive Rebound.,54,51
10:28,2217,Jerome Segura made Layup. Assisted by Amadou Sidibe.,54,53
10:12,349,John Miller missed Layup.,54,53
10:12,2217,Amadou Sidibe Defensive Rebound.,54,53
9:59,349,Foul on John Miller.,54,53
9:59,2217,Tyler Nelson made Free Throw.,54,54
9:59,2217,Tyler Nelson made Free Throw.,54,55
9:49,349,Jacob Kessler missed Three Point Jumper.,54,55
9:49,349,Army Offensive Rebound.,54,55
9:38,349,Matthew Wilson made Layup. Assisted by Jordan Fox.,56,55
9:14,2217,Jerome Segura Turnover.,56,55
9:12,349,Jacob Kessler Steal.,56,55
9:10,349,John Emezie made Layup. Assisted by Jacob Kessler.,58,55
8:59,2217,Jonathan Kasibabu missed Layup.,58,55
8:59,2217,Fairfield Offensive Rebound.,58,55
8:44,2217,Jerome Segura missed Jumper.,58,55
8:44,349,Adam Roe Defensive Rebound.,58,55
8:36,349,Mac Hoffman made Layup. Assisted by Thomas Funk.,60,55
8:34,349,Foul on Jacob Kessler.,60,55
8:34,2217,Jerome Segura made Free Throw.,60,56
8:34,2217,Jerome Segura made Free Throw.,60,57
8:09,349,Thomas Funk missed Layup.,60,57
8:09,2217,Amadou Sidibe Defensive Rebound.,60,57
8:00,2217,Curtis Cobb Turnover.,60,57
8:00,2217,Foul on Curtis Cobb.,60,57
7:42,349,Jacob Kessler missed Three Point Jumper.,60,57
7:42,2217,Amadou Sidibe Defensive Rebound.,60,57
7:26,349,Foul on Mac Hoffman.,60,57
7:26,2217,Official TV Timeout,60,57
7:26,2217,Jerome Segura missed Free Throw.,60,57
7:26,2217,Fairfield Deadball Team Rebound.,60,57
7:26,2217,Jerome Segura made Free Throw.,60,58
6:54,349,Adam Roe missed Three Point Jumper.,60,58
6:54,2217,Amadou Sidibe Defensive Rebound.,60,58
6:37,2217,Amadou Sidibe Turnover.,60,58
6:37,2217,Foul on Amadou Sidibe.,60,58
6:31,349,Thomas Funk made Jumper.,62,58
6:12,2217,Amadou Sidibe missed Layup.,62,58
6:12,349,Adam Roe Defensive Rebound.,62,58
6:08,2217,Foul on Curtis Cobb.,62,58
6:08,349,Adam Roe made Free Throw.,63,58
6:08,349,Adam Roe made Free Throw.,64,58
5:58,2217,Curtis Cobb missed Layup.,64,58
5:58,349,John Emezie Defensive Rebound.,64,58
5:44,349,Matthew Wilson made Layup. Assisted by John Emezie.,66,58
5:44,2217,Foul on Amadou Sidibe.,66,58
5:44,2217,Fairfield  Timeout,66,58
5:44,349,Matthew Wilson missed Free Throw.,66,58
5:44,2217,Amadou Sidibe Defensive Rebound.,66,58
5:25,2217,Amadou Sidibe made Layup.,66,60
5:09,349,Matthew Wilson made Layup.,68,60
4:40,2217,Tyler Nelson missed Three Point Jumper.,68,60
4:40,349,Jacob Kessler Defensive Rebound.,68,60
4:28,349,John Emezie made Layup. Assisted by Thomas Funk.,70,60
4:11,2217,Curtis Cobb made Three Point Jumper.,70,63
3:50,349,Matthew Wilson Turnover.,70,63
3:48,2217,Amadou Sidibe Steal.,70,63
3:40,349,Foul on Matthew Wilson.,70,63
3:40,2217,Official TV Timeout,70,63
3:40,2217,Tyler Nelson made Free Throw.,70,64
3:40,2217,Tyler Nelson made Free Throw.,70,65
3:21,349,John Emezie made Layup.,72,65
3:07,349,Foul on Jordan Fox.,72,65
3:07,2217,Curtis Cobb missed Free Throw.,72,65
3:07,2217,Fairfield Deadball Team Rebound.,72,65
3:07,2217,Curtis Cobb missed Free Throw.,72,65
3:07,349,John Emezie Defensive Rebound.,72,65
2:40,349,Matthew Wilson made Layup.,74,65
2:29,2217,Tyler Nelson missed Layup.,74,65
2:29,349,Matthew Wilson Defensive Rebound.,74,65
1:59,349,John Emezie missed Jumper.,74,65
1:59,2217,Fairfield Defensive Rebound.,74,65
1:48,2217,Curtis Cobb missed Three Point Jumper.,74,65
1:48,2217,Amadou Sidibe Offensive Rebound.,74,65
1:44,2217,Matija Milin made Three Point Jumper. Assisted by Curtis Cobb.,74,68
1:29,349,John Emezie missed Layup.,74,68
1:29,2217,Amadou Sidibe Defensive Rebound.,74,68
1:24,2217,Curtis Cobb made Three Point Jumper. Assisted by Tyler Nelson.,74,71
1:11,349,Army  Timeout,74,71
0:54,349,Matthew Wilson missed Jumper.,74,71
0:54,349,Matthew Wilson Offensive Rebound.,74,71
0:51,349,Matthew Wilson missed Layup.,74,71
0:51,2217,Curtis Cobb Defensive Rebound.,74,71
0:42,2217,Amadou Sidibe made Dunk. Assisted by Curtis Cobb.,74,73
0:00,2217,Jerome Segura missed Layup.,74,73
0:00,2217,Amadou Sidibe Offensive Rebound.,74,73
0:00,2217,Amadou Sidibe made Two Point Tip Shot.,74,75
0:00,349,Army  Timeout,74,75
0:00,2217,End of Game,74,75
