Chattanooga,338,Kennesaw State,236
9:42,338,Aubrey Williams Defensive Rebound.,19,18
9:14,338,Anthony Wilson missed Three Point Jumper.,19,18
9:14,338,Aubrey Williams Offensive Rebound.,19,18
9:10,236,Foul on Nat Dixon.,19,18
9:10,338,Aubrey Williams made Free Throw.,19,19
9:10,338,Aubrey Williams made Free Throw.,19,20
9:01,236,Casey Jones made Layup.,21,20
8:42,338,Zach Cameron made Dunk. Assisted by Anthony Wilson.,21,22
8:28,236,Foul on Justin Tuoyo.,21,22
8:28,236,Justin Tuoyo Turnover.,21,22
8:09,338,Zach Cameron missed Jumper.,21,22
8:09,236,Justin Tuoyo Block.,21,22
8:06,338,Zach Cameron Offensive Rebound.,21,22
8:00,338,Kendrick Ray made Three Point Jumper. Assisted by Anthony Wilson.,21,25
7:41,236,Johnathan Burroughs-Cook missed Three Point Jumper.,21,25
7:41,338,Anthony Wilson Defensive Rebound.,21,25
7:32,338,Foul on Kendrick Ray.,21,25
7:32,338,Kendrick Ray Turnover.,21,25
7:32,338,Official TV Timeout,21,25
7:26,236,Greg Pryor made Three Point Jumper.,24,25
6:53,338,Anthony Wilson missed Three Point Jumper.,24,25
6:53,236,Justin Tuoyo Defensive Rebound.,24,25
6:39,236,Casey Jones Turnover.,24,25
6:36,338,Josh Burnett Steal.,24,25
6:15,338,Josh Burnett Turnover.,24,25
6:13,236,Casey Jones Steal.,24,25
6:11,236,Johnathan Burroughs-Cook made Layup. Assisted by Casey Jones.,26,25
5:39,338,Kyle Clarke missed Jumper.,26,25
5:39,338,Anthony Wilson Offensive Rebound.,26,25
5:34,338,Jordan Jones made Layup. Assisted by Anthony Wilson.,26,27
5:18,236,Greg Pryor missed Jumper.,26,27
5:18,236,Greg Pryor Offensive Rebound.,26,27
5:14,236,Greg Pryor made Layup.,28,27
5:02,338,Josh Burnett missed Jumper.,28,27
5:02,338,Jordan Jones Offensive Rebound.,28,27
4:46,338,Kyle Clarke missed Layup.,28,27
4:46,338,Anthony Wilson Offensive Rebound.,28,27
4:41,338,Jordan Jones Turnover.,28,27
4:39,236,Tre' McLean Steal.,28,27
4:38,338,Foul on Jordan Jones.,28,27
4:38,236,Tre' McLean made Free Throw.,29,27
4:38,236,Tre' McLean made Free Throw.,30,27
4:35,338,Josh Burnett Turnover.,30,27
4:34,236,Makinde London Steal.,30,27
4:29,236,Makinde London missed Layup.,30,27
4:29,338,Jordan Jones Defensive Rebound.,30,27
4:12,338,Nick Masterson made Three Point Jumper. Assisted by Zach Cameron.,30,30
4:03,236,Greg Pryor missed Jumper.,30,30
4:03,236,Greg Pryor Offensive Rebound.,30,30
3:58,338,Foul on Zach Cameron.,30,30
3:58,338,Official TV Timeout,30,30
3:58,236,Greg Pryor made Free Throw.,31,30
3:58,236,Greg Pryor made Free Throw.,32,30
3:39,338,Kyle Clarke made Jumper.,32,32
3:26,236,Tre' McLean missed Layup.,32,32
3:26,338,Kyle Clarke Block.,32,32
3:24,338,Josh Burnett Defensive Rebound.,32,32
3:00,338,Jordan Jones missed Jumper.,32,32
3:00,236,Greg Pryor Defensive Rebound.,32,32
2:54,236,Greg Pryor made Jumper.,34,32
2:29,236,Foul on Rodney Chatman.,34,32
2:22,338,Nick Masterson made Three Point Jumper. Assisted by Kyle Clarke.,34,35
2:11,338,Foul on Kyle Clarke.,34,35
2:11,236,Greg Pryor missed Free Throw.,34,35
2:11,236,Chattanooga Deadball Team Rebound.,34,35
2:11,236,Greg Pryor made Free Throw.,35,35
1:45,338,Kyle Clarke made Jumper.,35,37
1:27,338,Foul on Kyle Clarke.,35,37
1:27,236,Greg Pryor made Free Throw.,36,37
1:27,236,Greg Pryor made Free Throw.,37,37
1:10,338,Kendrick Ray missed Jumper.,37,37
1:10,236,Tre' McLean Defensive Rebound.,37,37
0:55,236,Foul on Justin Tuoyo.,37,37
0:55,236,Justin Tuoyo Turnover.,37,37
0:30,338,Josh Burnett Turnover.,37,37
0:29,236,Greg Pryor Steal.,37,37
0:06,236,Greg Pryor made Three Point Jumper.,40,37
0:00,338,End of 1st half,40,37
19:48,338,Jordan Jones made Jumper. Assisted by Aubrey Williams.,40,39
19:27,236,Greg Pryor made Layup.,42,39
18:57,338,Jordan Jones made Jumper.,42,41
18:37,236,Makinde London made Three Point Jumper. Assisted by Tre' McLean.,45,41
18:10,338,Nick Masterson missed Jumper.,45,41
18:10,338,Aubrey Williams Offensive Rebound.,45,41
17:53,338,Kendrick Ray missed Jumper.,45,41
17:53,236,Justin Tuoyo Block.,45,41
17:50,236,Johnathan Burroughs-Cook Defensive Rebound.,45,41
17:34,236,Greg Pryor missed Three Point Jumper.,45,41
17:34,338,Aubrey Williams Defensive Rebound.,45,41
17:10,338,Kendrick Ray missed Jumper.,45,41
17:10,236,Makinde London Defensive Rebound.,45,41
16:58,236,Justin Tuoyo made Layup.,47,41
16:42,338,Nick Masterson missed Layup.,47,41
16:42,236,Makinde London Defensive Rebound.,47,41
16:37,236,Tre' McLean made Layup. Assisted by Makinde London.,49,41
16:15,338,Kendrick Ray missed Jumper.,49,41
16:15,236,Justin Tuoyo Defensive Rebound.,49,41
16:03,338,Foul on Aubrey Williams.,49,41
16:03,236,Johnathan Burroughs-Cook made Free Throw.,50,41
16:03,236,Johnathan Burroughs-Cook made Free Throw.,51,41
15:36,338,Jordan Jones made Layup. Assisted by Aubrey Williams.,51,43
15:26,236,Makinde London made Jumper.,53,43
14:58,338,Jordan Jones made Jumper. Assisted by Kendrick Ray.,53,45
14:46,236,Foul on Makinde London.,53,45
14:46,236,Makinde London Turnover.,53,45
14:46,338,Official TV Timeout,53,45
14:31,338,Jordan Jones missed Layup.,53,45
14:31,236,Justin Tuoyo Defensive Rebound.,53,45
14:22,236,Makinde London missed Three Point Jumper.,53,45
14:22,236,Justin Tuoyo Offensive Rebound.,53,45
14:15,236,Greg Pryor missed Three Point Jumper.,53,45
14:15,236,Makinde London Offensive Rebound.,53,45
14:10,236,Makinde London made Layup.,55,45
13:44,338,Aubrey Williams Turnover.,55,45
13:43,236,Tre' McLean Steal.,55,45
13:39,236,Greg Pryor missed Layup.,55,45
13:39,338,Aubrey Williams Defensive Rebound.,55,45
13:38,236,Foul on Makinde London.,55,45
13:23,338,Nick Masterson missed Jumper.,55,45
13:23,236,Casey Jones Defensive Rebound.,55,45
13:12,338,Foul on Nick Masterson.,55,45
12:56,236,Justin Tuoyo made Layup. Assisted by Casey Jones.,57,45
12:56,338,Foul on Aubrey Williams.,57,45
12:56,236,Justin Tuoyo made Free Throw.,58,45
12:41,338,Kyle Clarke missed Jumper.,58,45
12:41,236,Justin Tuoyo Block.,58,45
12:37,236,Chattanooga Defensive Rebound.,58,45
12:32,236,Johnathan Burroughs-Cook made Layup.,60,45
12:18,338,Anthony Wilson missed Jumper.,60,45
12:18,338,Kennesaw St Offensive Rebound.,60,45
12:10,338,Kyle Clarke made Jumper.,60,47
11:46,236,Tre' McLean missed Three Point Jumper.,60,47
11:46,338,Kennesaw St Defensive Rebound.,60,47
11:42,338,Official TV Timeout,60,47
11:17,338,Kyle Clarke missed Layup.,60,47
11:17,236,Justin Tuoyo Block.,60,47
11:14,236,Rodney Chatman Defensive Rebound.,60,47
11:10,236,Justin Tuoyo made Dunk. Assisted by Rodney Chatman.,62,47
10:50,236,Foul on Nat Dixon.,62,47
10:50,338,Aubrey Williams missed Free Throw.,62,47
10:50,338,Kennesaw St Deadball Team Rebound.,62,47
10:50,338,Aubrey Williams made Free Throw.,62,48
10:22,338,Foul on Aubrey Williams.,62,48
10:22,236,Johnathan Burroughs-Cook missed Free Throw.,62,48
10:22,236,Chattanooga Deadball Team Rebound.,62,48
10:22,236,Johnathan Burroughs-Cook made Free Throw.,63,48
10:22,236,Johnathan Burroughs-Cook made Free Throw.,64,48
10:00,338,Aubrey Williams made Layup.,64,50
10:00,236,Foul on Greg Pryor.,64,50
10:00,338,Aubrey Williams made Free Throw.,64,51
9:34,236,Justin Tuoyo missed Layup.,64,51
9:34,236,Justin Tuoyo Offensive Rebound.,64,51
9:33,338,Foul on Johannes Nielsen.,64,51
9:30,236,Casey Jones missed Layup.,64,51
9:30,338,Aubrey Williams Defensive Rebound.,64,51
9:23,338,Kyle Clarke missed Jumper.,64,51
9:23,236,Johnathan Burroughs-Cook Defensive Rebound.,64,51
9:17,338,Foul on Anthony Wilson.,64,51
9:17,236,Rodney Chatman made Free Throw.,65,51
9:17,236,Rodney Chatman missed Free Throw.,65,51
9:17,236,Casey Jones Offensive Rebound.,65,51
9:14,338,Foul on Aubrey Williams.,65,51
9:14,236,Casey Jones made Free Throw.,66,51
9:14,236,Casey Jones made Free Throw.,67,51
8:56,338,Kendrick Ray missed Jumper.,67,51
8:56,236,Tre' McLean Defensive Rebound.,67,51
8:48,236,Greg Pryor Turnover.,67,51
8:33,338,Anthony Wilson Turnover.,67,51
8:32,236,Greg Pryor Steal.,67,51
8:25,236,Casey Jones missed Layup.,67,51
8:25,236,Chattanooga Offensive Rebound.,67,51
8:13,236,Casey Jones made Jumper.,69,51
8:03,338,Kendrick Ray made Layup.,69,53
7:43,236,Casey Jones Turnover.,69,53
7:42,338,Kendrick Ray Steal.,69,53
7:40,338,Kendrick Ray Turnover.,69,53
7:38,236,Johnathan Burroughs-Cook Steal.,69,53
7:29,236,Tre' McLean made Layup.,71,53
7:24,338,Official TV Timeout,71,53
7:14,338,Josh Burnett made Layup.,71,55
6:57,236,Justin Tuoyo Turnover.,71,55
6:46,338,Kendrick Ray missed Layup.,71,55
6:46,236,Justin Tuoyo Block.,71,55
6:44,338,Anthony Wilson Offensive Rebound.,71,55
6:42,338,Anthony Wilson made Layup.,71,57
6:28,236,Johnathan Burroughs-Cook made Three Point Jumper.,74,57
6:05,338,Kendrick Ray Turnover.,74,57
6:03,236,Tre' McLean Steal.,74,57
5:53,338,Foul on Zach Cameron.,74,57
5:53,236,Justin Tuoyo missed Free Throw.,74,57
5:53,236,Chattanooga Deadball Team Rebound.,74,57
5:53,236,Justin Tuoyo made Free Throw.,75,57
5:44,338,Kendrick Ray made Three Point Jumper. Assisted by Josh Burnett.,75,60
5:34,338,Foul on Josh Burnett.,75,60
5:34,236,Makinde London made Free Throw.,76,60
5:34,236,Makinde London missed Free Throw.,76,60
5:34,338,Zach Cameron Defensive Rebound.,76,60
5:21,338,Josh Burnett missed Jumper.,76,60
5:21,338,Kennesaw St Deadball Team Rebound.,76,60
5:20,236,Foul on Johnathan Burroughs-Cook.,76,60
5:15,236,Foul on Makinde London.,76,60
5:15,338,Kendrick Ray made Free Throw.,76,61
5:15,338,Kendrick Ray made Free Throw.,76,62
4:50,338,Foul on Anthony Wilson.,76,62
4:50,236,Johnathan Burroughs-Cook made Free Throw.,77,62
4:50,236,Johnathan Burroughs-Cook missed Free Throw.,77,62
4:50,338,Josh Burnett Defensive Rebound.,77,62
4:40,338,Nick Masterson missed Three Point Jumper.,77,62
4:40,236,Justin Tuoyo Defensive Rebound.,77,62
4:28,236,Justin Tuoyo made Dunk. Assisted by Greg Pryor.,79,62
4:13,338,Kendrick Ray made Jumper.,79,64
4:04,338,Foul on Kendrick Ray.,79,64
4:04,236,Greg Pryor made Free Throw.,80,64
4:04,236,Greg Pryor made Free Throw.,81,64
3:41,338,Nick Masterson missed Three Point Jumper.,81,64
3:41,338,Kennesaw St Offensive Rebound.,81,64
3:38,338,Official TV Timeout,81,64
3:34,338,Kendrick Ray made Layup.,81,66
3:34,236,Foul on Tre' McLean.,81,66
3:34,338,Kendrick Ray made Free Throw.,81,67
3:12,236,Johnathan Burroughs-Cook missed Jumper.,81,67
3:12,236,Justin Tuoyo Offensive Rebound.,81,67
2:50,338,Foul on Johannes Nielsen.,81,67
2:50,236,Justin Tuoyo missed Free Throw.,81,67
2:50,236,Chattanooga Deadball Team Rebound.,81,67
2:50,236,Justin Tuoyo made Free Throw.,82,67
2:48,338,Johannes Nielsen Turnover.,82,67
2:29,236,Rodney Chatman made Layup.,84,67
2:06,338,Aubrey Williams missed Jumper.,84,67
2:06,236,Justin Tuoyo Defensive Rebound.,84,67
1:44,236,Justin Tuoyo made Jumper.,86,67
1:21,338,Aubrey Williams missed Jumper.,86,67
1:21,236,Greg Pryor Defensive Rebound.,86,67
0:56,236,Rodney Chatman made Layup.,88,67
0:49,338,Kendrick Ray missed Jumper.,88,67
0:49,338,Aubrey Williams Offensive Rebound.,88,67
0:46,236,Foul on Johnathan Burroughs-Cook.,88,67
0:46,338,Aubrey Williams made Free Throw.,88,68
0:46,338,Aubrey Williams made Free Throw.,88,69
0:19,236,Trayvond Massenburg missed Layup.,88,69
0:19,338,Josh Burnett Block.,88,69
0:17,338,Aubrey Williams Defensive Rebound.,88,69
0:12,338,Josh Burnett missed Layup.,88,69
0:12,338,Aubrey Williams Offensive Rebound.,88,69
0:10,338,Aubrey Williams made Layup.,88,71
0:00,338,End of Game,88,71
