Berea,Error,Eastern Kentucky,2198
10:41,-1,Dyonta Bizzle-Brown made Two Point Tip Shot.,11,16
10:27,2198,Zach Charles made Layup.,11,18
10:27,-1,Foul on Dyonta Bizzle-Brown.,11,18
10:27,2198,Official TV Timeout,11,18
10:27,2198,Zach Charles made Free Throw.,11,19
10:22,-1,Austin Glasgow Turnover.,11,19
10:21,2198,Zach Charles Steal.,11,19
10:18,2198,Foul on Zach Charles.,11,19
10:18,2198,Zach Charles Turnover.,11,19
10:00,-1,Austin Glasgow missed Three Point Jumper.,11,19
10:00,-1,Anthony Myrks-Brewer Offensive Rebound.,11,19
9:46,-1,Terique Miller missed Jumper.,11,19
9:46,2198,Nick Mayo Defensive Rebound.,11,19
9:38,2198,Jaylen Babb-Harrison missed Three Point Jumper.,11,19
9:38,2198,Nick Mayo Offensive Rebound.,11,19
9:33,2198,Nick Mayo missed Two Point Tip Shot.,11,19
9:33,2198,Dillon Avare Offensive Rebound.,11,19
9:24,-1,Foul on Gabe Hinton.,11,19
9:24,2198,Nick Mayo made Free Throw.,11,20
9:24,2198,Nick Mayo made Free Throw.,11,21
9:20,2198,Foul on Asante Gist.,11,21
9:09,-1,Lawrence Martin missed Jumper.,11,21
9:09,2198,Zach Charles Block.,11,21
9:07,2198,Asante Gist Defensive Rebound.,11,21
9:04,2198,Zach Charles Turnover.,11,21
9:02,-1,Anthony Myrks-Brewer Steal.,11,21
8:58,-1,Anthony Myrks-Brewer Turnover.,11,21
8:50,2198,Jaylen Babb-Harrison missed Jumper.,11,21
8:50,-1,Terique Miller Defensive Rebound.,11,21
8:36,-1,Lawrence Martin missed Three Point Jumper.,11,21
8:36,2198,Nick Mayo Defensive Rebound.,11,21
8:24,2198,Dillon Avare missed Three Point Jumper.,11,21
8:24,2198,Zach Charles Offensive Rebound.,11,21
8:21,2198,Zach Charles made Two Point Tip Shot.,11,23
8:06,2198,Foul on Jaylen Babb-Harrison.,11,23
8:00,-1,Anthony Myrks-Brewer made Layup.,13,23
7:40,2198,DeAndre Dishman made Jumper.,13,25
7:30,2198,Foul on Zach Charles.,13,25
7:30,2198,Official TV Timeout,13,25
7:30,-1,Anthony Myrks-Brewer made Free Throw.,14,25
7:30,-1,Anthony Myrks-Brewer made Free Throw.,15,25
7:19,2198,Foul on DeAndre Dishman.,15,25
7:19,2198,DeAndre Dishman Turnover.,15,25
7:10,-1,Nick Mccollum made Three Point Jumper. Assisted by Richard Parker.,18,25
6:51,2198,Asante Gist missed Jumper.,18,25
6:51,-1,Anthony Myrks-Brewer Defensive Rebound.,18,25
6:46,-1,Richard Parker missed Three Point Jumper.,18,25
6:46,2198,Lachlan Anderson Defensive Rebound.,18,25
6:39,2198,DeAndre Dishman Block.,18,25
6:32,2198,Asante Gist missed Three Point Jumper.,18,25
6:32,2198,Lachlan Anderson Offensive Rebound.,18,25
6:23,2198,Lachlan Anderson made Two Point Tip Shot.,18,27
6:13,2198,Foul on Dillon Avare.,18,27
6:13,-1,Stephen Butts missed Free Throw.,18,27
6:13,2198,Marlon Adams Defensive Rebound.,18,27
5:55,2198,Marlon Adams Turnover.,18,27
5:41,2198,Foul on DeAndre Dishman.,18,27
5:41,-1,Richard Parker missed Free Throw.,18,27
5:41,-1,Berea Deadball Team Rebound.,18,27
5:41,-1,Richard Parker made Free Throw.,19,27
5:29,2198,Dillon Avare made Three Point Jumper. Assisted by Asante Gist.,19,30
5:15,-1,Nick Mccollum missed Three Point Jumper.,19,30
5:15,2198,Eastern Kentucky Defensive Rebound.,19,30
4:55,2198,Lachlan Anderson missed Three Point Jumper.,19,30
4:55,-1,Dyonta Bizzle-Brown Defensive Rebound.,19,30
4:42,-1,Austin Glasgow made Jumper. Assisted by Richard Parker.,21,30
4:25,-1,Foul on Austin Glasgow.,21,30
4:20,2198,Lachlan Anderson missed Three Point Jumper.,21,30
4:20,-1,Richard Parker Defensive Rebound.,21,30
4:06,-1,Richard Parker made Three Point Jumper. Assisted by Austin Glasgow.,24,30
4:04,2198,Eastern Kentucky  Timeout,24,30
4:02,-1,Foul on Richard Parker.,24,30
3:49,2198,Jaylen Babb-Harrison missed Three Point Jumper.,24,30
3:49,2198,Dillon Avare Offensive Rebound.,24,30
3:42,2198,Nick Mayo made Jumper. Assisted by Dillon Avare.,24,32
3:41,-1,Foul on Gabe Hinton.,24,32
3:41,2198,Nick Mayo made Free Throw.,24,33
3:20,-1,Austin Glasgow made Jumper. Assisted by Terique Miller.,26,33
2:59,2198,Jaylen Babb-Harrison made Three Point Jumper. Assisted by Nick Mayo.,26,36
2:43,-1,Austin Glasgow missed Three Point Jumper.,26,36
2:43,2198,Nick Mayo Defensive Rebound.,26,36
2:38,-1,Foul on Austin Glasgow.,26,36
2:38,2198,Zach Charles made Free Throw.,26,37
2:38,2198,Zach Charles missed Free Throw.,26,37
2:38,-1,Terique Miller Defensive Rebound.,26,37
2:14,-1,Foul on Dyonta Bizzle-Brown.,26,37
2:14,-1,Dyonta Bizzle-Brown Turnover.,26,37
2:08,2198,Parker Chitty made Three Point Jumper. Assisted by Jaylen Babb-Harrison.,26,40
1:51,-1,Terique Miller Turnover.,26,40
1:50,2198,Nick Mayo Steal.,26,40
1:44,2198,Jaylen Babb-Harrison missed Three Point Jumper.,26,40
1:44,2198,Zach Charles Offensive Rebound.,26,40
1:40,2198,Zach Charles made Two Point Tip Shot.,26,42
1:22,2198,Foul on Parker Chitty.,26,42
1:22,-1,Anthony Myrks-Brewer made Free Throw.,27,42
1:22,-1,Anthony Myrks-Brewer missed Free Throw.,27,42
1:22,2198,Zach Charles Defensive Rebound.,27,42
1:10,-1,Foul on Gabe Hinton.,27,42
1:10,2198,Nick Mayo made Free Throw.,27,43
1:10,2198,Nick Mayo missed Free Throw.,27,43
1:10,2198,Jaylen Babb-Harrison Offensive Rebound.,27,43
1:10,2198,Jaylen Babb-Harrison missed Two Point Tip Shot.,27,43
1:10,2198,Marlon Adams Offensive Rebound.,27,43
1:10,2198,Marlon Adams made Two Point Tip Shot.,27,45
0:47,2198,Foul on Parker Chitty.,27,45
0:47,-1,Richard Parker made Free Throw.,28,45
0:47,-1,Richard Parker made Free Throw.,29,45
0:42,2198,Nick Mayo missed Jumper.,29,45
0:42,2198,Marlon Adams Offensive Rebound.,29,45
0:38,2198,Marlon Adams missed Two Point Tip Shot.,29,45
0:38,-1,Jacob Keibler Block.,29,45
0:36,-1,Lawrence Martin Defensive Rebound.,29,45
0:36,-1,Lawrence Martin Turnover.,29,45
0:11,-1,Foul on Stephen Butts.,29,45
0:11,2198,Nick Mayo made Free Throw.,29,46
0:11,2198,Nick Mayo made Free Throw.,29,47
0:00,-1,Stephen Butts missed Three Point Jumper.,29,47
0:00,2198,Marlon Adams Defensive Rebound.,29,47
0:00,2198,End of 1st half,29,47
19:43,2198,Foul on Asante Gist.,29,47
19:38,-1,Richard Parker missed Three Point Jumper.,29,47
19:38,2198,Zach Charles Defensive Rebound.,29,47
19:09,2198,Jaylen Babb-Harrison made Dunk. Assisted by Asante Gist.,29,49
18:50,2198,Foul on Zach Charles.,29,49
18:50,-1,Anthony Myrks-Brewer made Free Throw.,30,49
18:50,-1,Anthony Myrks-Brewer missed Free Throw.,30,49
18:50,-1,Berea Deadball Team Rebound.,30,49
18:50,-1,Anthony Myrks-Brewer made Free Throw.,31,49
18:31,-1,Foul on Anthony Myrks-Brewer.,31,49
18:31,2198,Nick Mayo made Free Throw.,31,50
18:31,2198,Nick Mayo made Free Throw.,31,51
18:23,-1,Terique Miller missed Jumper.,31,51
18:23,2198,Asante Gist Defensive Rebound.,31,51
18:18,-1,Foul on Anthony Myrks-Brewer.,31,51
18:08,2198,Asante Gist missed Three Point Jumper.,31,51
18:08,-1,Anthony Myrks-Brewer Defensive Rebound.,31,51
18:04,2198,Foul on Zach Charles.,31,51
18:00,-1,Richard Parker made Three Point Jumper. Assisted by Anthony Myrks-Brewer.,34,51
17:44,2198,Dillon Avare missed Three Point Jumper.,34,51
17:44,-1,Anthony Myrks-Brewer Defensive Rebound.,34,51
17:36,-1,Nick Mccollum missed Three Point Jumper.,34,51
17:36,-1,Anthony Myrks-Brewer Offensive Rebound.,34,51
17:08,2198,Foul on Jaylen Babb-Harrison.,34,51
16:49,-1,Foul on Stephen Butts.,34,51
16:49,-1,Stephen Butts Turnover.,34,51
16:38,2198,Nick Mayo made Three Point Jumper. Assisted by Asante Gist.,34,54
16:13,-1,Richard Parker missed Jumper.,34,54
16:13,2198,Nick Mayo Defensive Rebound.,34,54
16:08,2198,Jaylen Babb-Harrison Turnover.,34,54
16:07,-1,Anthony Myrks-Brewer Steal.,34,54
16:03,-1,Anthony Myrks-Brewer missed Jumper.,34,54
16:03,2198,Nick Mayo Defensive Rebound.,34,54
15:57,2198,Jaylen Babb-Harrison made Layup. Assisted by Nick Mayo.,34,56
15:56,-1,Foul on Nick Mccollum.,34,56
15:56,2198,Official TV Timeout,34,56
15:56,2198,Jaylen Babb-Harrison missed Free Throw.,34,56
15:56,-1,Gabe Hinton Defensive Rebound.,34,56
15:45,2198,Foul on Marlon Adams.,34,56
15:37,-1,Stephen Butts missed Three Point Jumper.,34,56
15:37,-1,Gabe Hinton Offensive Rebound.,34,56
15:33,-1,Gabe Hinton Turnover.,34,56
15:31,2198,Nick Mayo Steal.,34,56
15:26,2198,Asante Gist made Jumper.,34,58
15:04,-1,Richard Parker Turnover.,34,58
15:03,2198,Jaylen Babb-Harrison Steal.,34,58
15:00,2198,Nick Mayo made Dunk. Assisted by Jaylen Babb-Harrison.,34,60
14:51,-1,Austin Glasgow Turnover.,34,60
14:50,2198,Asante Gist Steal.,34,60
14:46,2198,Jaylen Babb-Harrison made Layup.,34,62
14:35,2198,Foul on Marlon Adams.,34,62
14:35,-1,Nick Mccollum made Free Throw.,35,62
14:35,-1,Nick Mccollum missed Free Throw.,35,62
14:35,2198,Nick Mayo Defensive Rebound.,35,62
14:34,-1,Foul on Stephen Butts.,35,62
14:21,2198,Jaylen Babb-Harrison missed Three Point Jumper.,35,62
14:21,-1,Stephen Butts Defensive Rebound.,35,62
14:11,-1,Terique Miller missed Three Point Jumper.,35,62
14:11,2198,Dillon Avare Defensive Rebound.,35,62
14:03,2198,Jaylen Babb-Harrison missed Jumper.,35,62
14:03,2198,Jaylen Babb-Harrison Offensive Rebound.,35,62
14:01,2198,Jaylen Babb-Harrison missed Two Point Tip Shot.,35,62
14:01,2198,Marlon Adams Offensive Rebound.,35,62
13:57,2198,Marlon Adams missed Two Point Tip Shot.,35,62
13:57,-1,Dyonta Bizzle-Brown Defensive Rebound.,35,62
13:32,-1,Stephen Butts made Three Point Jumper. Assisted by Anthony Myrks-Brewer.,38,62
13:15,2198,Dillon Avare made Three Point Jumper. Assisted by Parker Chitty.,38,65
13:00,2198,Foul on Nick Mayo.,38,65
13:00,-1,Dyonta Bizzle-Brown made Free Throw.,39,65
13:00,-1,Dyonta Bizzle-Brown missed Free Throw.,39,65
13:00,2198,Nick Mayo Defensive Rebound.,39,65
12:53,2198,Dillon Avare missed Three Point Jumper.,39,65
12:53,-1,Stephen Butts Defensive Rebound.,39,65
12:45,-1,Stephen Butts missed Three Point Jumper.,39,65
12:45,-1,Dyonta Bizzle-Brown Offensive Rebound.,39,65
12:41,2198,Foul on DeAndre Dishman.,39,65
12:41,-1,Dyonta Bizzle-Brown made Free Throw.,40,65
12:41,-1,Dyonta Bizzle-Brown made Free Throw.,41,65
12:32,2198,Marlon Adams made Three Point Jumper. Assisted by Nick Mayo.,41,68
12:15,-1,Lawrence Martin missed Three Point Jumper.,41,68
12:15,-1,Dyonta Bizzle-Brown Offensive Rebound.,41,68
12:10,-1,Dyonta Bizzle-Brown made Two Point Tip Shot.,43,68
11:59,-1,Foul on Anthony Myrks-Brewer.,43,68
11:59,2198,Official TV Timeout,43,68
11:38,2198,Nick Mayo made Jumper. Assisted by Parker Chitty.,43,70
11:22,-1,Dyonta Bizzle-Brown Turnover.,43,70
11:09,-1,Foul on Dyonta Bizzle-Brown.,43,70
11:09,2198,Marlon Adams missed Free Throw.,43,70
11:09,2198,Eastern Kentucky Deadball Team Rebound.,43,70
11:09,2198,Marlon Adams made Free Throw.,43,71
10:47,-1,Richard Parker missed Three Point Jumper.,43,71
10:47,-1,Gabe Hinton Offensive Rebound.,43,71
10:39,2198,Foul on Zach Charles.,43,71
10:39,-1,Lawrence Martin made Free Throw.,44,71
10:39,-1,Lawrence Martin made Free Throw.,45,71
10:29,2198,Parker Chitty made Layup.,45,73
10:08,-1,Nick Mccollum missed Three Point Jumper.,45,73
10:08,2198,Eastern Kentucky Deadball Team Rebound.,45,73
9:53,2198,Lachlan Anderson missed Three Point Jumper.,45,73
9:53,-1,Lawrence Martin Defensive Rebound.,45,73
9:42,-1,Lawrence Martin Turnover.,45,73
9:41,2198,Parker Chitty Steal.,45,73
9:39,2198,Marlon Adams made Dunk. Assisted by Lachlan Anderson.,45,75
9:25,-1,Austin Glasgow Turnover.,45,75
9:23,2198,Parker Chitty Steal.,45,75
9:21,2198,Parker Chitty Turnover.,45,75
9:04,-1,Nick Mccollum made Layup. Assisted by Anthony Myrks-Brewer.,47,75
9:04,2198,Foul on Lachlan Anderson.,47,75
9:04,-1,Nick Mccollum made Free Throw.,48,75
8:58,2198,Dillon Avare Turnover.,48,75
8:57,-1,Anthony Myrks-Brewer Steal.,48,75
8:52,-1,Anthony Myrks-Brewer made Three Point Jumper. Assisted by Richard Parker.,51,75
8:34,2198,Marlon Adams missed Three Point Jumper.,51,75
8:34,-1,Anthony Myrks-Brewer Defensive Rebound.,51,75
8:13,-1,Nick Mccollum missed Jumper.,51,75
8:13,2198,DeAndre Dishman Defensive Rebound.,51,75
8:04,-1,Foul on Richard Parker.,51,75
8:04,2198,Marlon Adams missed Free Throw.,51,75
8:04,2198,Eastern Kentucky Deadball Team Rebound.,51,75
8:04,2198,Marlon Adams made Free Throw.,51,76
7:54,2198,Foul on Lachlan Anderson.,51,76
7:54,2198,Official TV Timeout,51,76
7:54,-1,Anthony Myrks-Brewer made Free Throw.,52,76
7:54,-1,Anthony Myrks-Brewer made Free Throw.,53,76
7:42,2198,Dillon Avare made Jumper. Assisted by Marlon Adams.,53,78
7:18,-1,Richard Parker missed Jumper.,53,78
7:18,2198,Lachlan Anderson Block.,53,78
7:18,-1,Berea Offensive Rebound.,53,78
7:12,-1,Richard Parker missed Three Point Jumper.,53,78
7:12,-1,Stephen Butts Offensive Rebound.,53,78
7:01,-1,Richard Parker missed Three Point Jumper.,53,78
7:01,-1,Gabe Hinton Offensive Rebound.,53,78
6:58,2198,Foul on Dillon Avare.,53,78
6:58,-1,Gabe Hinton made Free Throw.,54,78
6:58,-1,Gabe Hinton missed Free Throw.,54,78
6:58,2198,Lachlan Anderson Defensive Rebound.,54,78
6:42,2198,DeAndre Dishman made Layup. Assisted by Parker Chitty.,54,80
6:34,-1,Terique Miller made Three Point Jumper.,57,80
6:21,-1,Foul on Austin Glasgow.,57,80
6:21,2198,Parker Chitty made Free Throw.,57,81
6:21,2198,Parker Chitty missed Free Throw.,57,81
6:21,2198,Eastern Kentucky Offensive Rebound.,57,81
6:06,2198,Daniel Parke missed Jumper.,57,81
6:06,2198,Marlon Adams Offensive Rebound.,57,81
6:05,2198,Marlon Adams missed Two Point Tip Shot.,57,81
5:49,2198,DeAndre Dishman Offensive Rebound.,57,81
5:40,2198,DeAndre Dishman made Dunk.,57,83
5:33,-1,Richard Parker missed Three Point Jumper.,57,83
5:33,2198,DeAndre Dishman Defensive Rebound.,57,83
5:28,2198,Lachlan Anderson made Three Point Jumper. Assisted by Parker Chitty.,57,86
5:22,-1,Stephen Butts made Three Point Jumper. Assisted by Austin Glasgow.,60,86
5:13,2198,Parker Chitty Turnover.,60,86
5:00,-1,Dyonta Bizzle-Brown missed Jumper.,60,86
5:00,2198,Parker Chitty Block.,60,86
4:59,2198,DeAndre Dishman Defensive Rebound.,60,86
4:53,2198,Marlon Adams missed Jumper.,60,86
4:53,-1,Dyonta Bizzle-Brown Defensive Rebound.,60,86
4:33,2198,Foul on Lachlan Anderson.,60,86
4:33,-1,Dyonta Bizzle-Brown missed Free Throw.,60,86
4:33,-1,Berea Deadball Team Rebound.,60,86
4:33,-1,Dyonta Bizzle-Brown missed Free Throw.,60,86
4:33,2198,DeAndre Dishman Defensive Rebound.,60,86
4:16,-1,Foul on Nick Mccollum.,60,86
4:16,2198,DeAndre Dishman missed Free Throw.,60,86
4:16,2198,Eastern Kentucky Deadball Team Rebound.,60,86
4:16,2198,DeAndre Dishman missed Free Throw.,60,86
4:16,2198,Daniel Parke Offensive Rebound.,60,86
4:08,-1,Foul on Lawrence Martin.,60,86
4:08,2198,Daniel Parke missed Free Throw.,60,86
4:08,2198,Eastern Kentucky Deadball Team Rebound.,60,86
4:08,2198,Daniel Parke made Free Throw.,60,87
3:55,-1,Gabe Hinton missed Layup.,60,87
3:55,2198,Marlon Adams Defensive Rebound.,60,87
3:37,2198,Official TV Timeout,60,87
3:35,2198,Parker Chitty missed Three Point Jumper.,60,87
3:35,-1,Jacob Keibler Defensive Rebound.,60,87
3:14,2198,Foul on Daniel Parke.,60,87
3:14,-1,Nick Mccollum made Free Throw.,61,87
3:14,-1,Nick Mccollum missed Free Throw.,61,87
3:14,2198,DeAndre Dishman Defensive Rebound.,61,87
3:01,2198,Kirkland Humphrey missed Three Point Jumper.,61,87
3:01,2198,DeAndre Dishman Offensive Rebound.,61,87
2:55,2198,Kirkland Humphrey made Layup. Assisted by DeAndre Dishman.,61,89
2:39,-1,Nick Mccollum Turnover.,61,89
2:37,2198,Parker Chitty Steal.,61,89
2:35,2198,DeAndre Dishman made Layup.,61,91
2:17,2198,Foul on Daniel Parke.,61,91
2:17,-1,Jacob Keibler missed Free Throw.,61,91
2:17,-1,Berea Deadball Team Rebound.,61,91
2:17,-1,Jacob Keibler made Free Throw.,62,91
1:53,2198,Parker Chitty missed Three Point Jumper.,62,91
1:53,-1,Jacob Keibler Defensive Rebound.,62,91
1:28,-1,Alex Aten made Layup. Assisted by Stephen Butts.,64,91
1:01,-1,Foul on Austin Glasgow.,64,91
1:01,2198,Parker Chitty made Free Throw.,64,92
1:01,2198,Parker Chitty missed Free Throw.,64,92
1:01,2198,Kirkland Humphrey Offensive Rebound.,64,92
1:01,2198,Kirkland Humphrey missed Two Point Tip Shot.,64,92
1:01,-1,Alex Aten Block.,64,92
1:01,-1,Lawrence Martin Defensive Rebound.,64,92
0:57,-1,Alex Aten Turnover.,64,92
0:56,2198,Kirkland Humphrey Steal.,64,92
0:43,2198,Kirkland Humphrey missed Three Point Jumper.,64,92
0:43,-1,Austin Glasgow Defensive Rebound.,64,92
0:35,-1,Stephen Butts missed Three Point Jumper.,64,92
0:35,2198,Parker Chitty Defensive Rebound.,64,92
0:00,2198,End of Game,64,92
