Campbell,2678,VMI,2097
11:46,2097,Chris Clemons missed Layup.,5,14
11:46,2097,Shane Whitfield Offensive Rebound.,5,14
11:43,2097,Shane Whitfield missed Jumper.,5,14
11:43,2678,Keith Smith Defensive Rebound.,5,14
11:33,2097,Foul on Marcus Burk.,5,14
11:33,2678,Official TV Timeout,5,14
11:33,2678,QJ Peterson made Free Throw.,5,15
11:33,2678,QJ Peterson missed Free Throw.,5,15
11:33,2097,Mogga Lado Defensive Rebound.,5,15
11:04,2097,Khadre Lane made Three Point Jumper. Assisted by Quinton Ray.,8,15
10:48,2678,QJ Peterson missed Three Point Jumper.,8,15
10:48,2097,Shane Whitfield Defensive Rebound.,8,15
10:15,2097,Campbell  Turnover.,8,15
9:55,2678,Garrett Gilkeson missed Three Point Jumper.,8,15
9:55,2097,Chris Clemons Defensive Rebound.,8,15
9:47,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,10,15
9:34,2678,Trey Chapman missed Jumper.,10,15
9:34,2097,Mogga Lado Defensive Rebound.,10,15
9:24,2678,Foul on Trey Chapman.,10,15
9:24,2097,Chris Clemons made Free Throw.,11,15
9:24,2097,Chris Clemons missed Free Throw.,11,15
9:24,2678,Garrett Gilkeson Defensive Rebound.,11,15
8:55,2678,Garrett Gilkeson made Three Point Jumper. Assisted by Julian Eleby.,11,18
8:39,2097,Shane Whitfield missed Layup.,11,18
8:39,2678,Julian Eleby Defensive Rebound.,11,18
8:27,2678,Adrian Rich missed Layup.,11,18
8:27,2678,Adrian Rich Offensive Rebound.,11,18
8:23,2678,Adrian Rich Turnover.,11,18
8:12,2097,Chris Clemons missed Jumper.,11,18
8:12,2678,Trey Chapman Defensive Rebound.,11,18
7:56,2678,Julian Eleby missed Jumper.,11,18
7:56,2097,Austin Burnette Defensive Rebound.,11,18
7:38,2097,Khadre Lane missed Three Point Jumper.,11,18
7:38,2678,Julian Eleby Defensive Rebound.,11,18
7:29,2678,Julian Eleby missed Three Point Jumper.,11,18
7:29,2678,Fred Iruafemi Offensive Rebound.,11,18
7:28,2097,Foul on Shane Whitfield.,11,18
7:28,2678,Official TV Timeout,11,18
7:22,2678,Trey Chapman missed Three Point Jumper.,11,18
7:22,2097,Austin Burnette Defensive Rebound.,11,18
6:55,2097,Austin Burnette made Three Point Jumper. Assisted by Damontez Oliver.,14,18
6:43,2678,Fred Iruafemi Turnover.,14,18
6:23,2097,Austin Burnette Turnover.,14,18
6:21,2678,Trey Chapman Steal.,14,18
6:14,2678,Austin Vereen missed Three Point Jumper.,14,18
6:14,2097,Damontez Oliver Defensive Rebound.,14,18
6:00,2678,Foul on Keith Smith.,14,18
5:56,2097,Andrew Eudy missed Jumper.,14,18
5:56,2678,Julian Eleby Defensive Rebound.,14,18
5:50,2678,Julian Eleby missed Layup.,14,18
5:50,2097,Damontez Oliver Block.,14,18
5:46,2097,Cory Gensler Defensive Rebound.,14,18
5:39,2097,Chris Clemons made Three Point Jumper.,17,18
5:31,2097,Campbell  Timeout,17,18
5:31,2678,Julian Eleby Turnover.,17,18
5:30,2097,Khadre Lane Steal.,17,18
5:23,2097,Chris Clemons made Dunk.,19,18
5:08,2678,QJ Peterson missed Three Point Jumper.,19,18
5:08,2097,Damontez Oliver Defensive Rebound.,19,18
4:57,2678,Foul on Fred Iruafemi.,19,18
4:55,2097,Shane Whitfield made Free Throw.,20,18
4:55,2097,Shane Whitfield made Free Throw.,21,18
4:47,2678,Trey Chapman missed Jumper.,21,18
4:47,2097,Chris Clemons Defensive Rebound.,21,18
4:15,2097,Chris Clemons made Three Point Jumper.,24,18
4:05,2678,Keith Smith made Three Point Jumper. Assisted by Garrett Gilkeson.,24,21
3:47,2097,Damontez Oliver made Three Point Jumper. Assisted by Cory Gensler.,27,21
2:35,2097,Andrew Eudy missed Jumper.,27,21
2:35,2678,Trey Chapman Defensive Rebound.,27,21
2:32,2678,Adrian Rich missed Jumper.,27,21
2:32,2097,Shane Whitfield Defensive Rebound.,27,21
2:15,2678,Foul on Austin Vereen.,27,21
2:11,2097,Chris Clemons missed Jumper.,27,21
2:11,2678,Austin Vereen Defensive Rebound.,27,21
2:07,2678,Austin Vereen Turnover.,27,21
2:06,2097,Shane Whitfield Steal.,27,21
2:06,2097,Shane Whitfield Turnover.,27,21
2:06,2097,Foul on Shane Whitfield.,27,21
1:55,2678,Garrett Gilkeson Turnover.,27,21
1:53,2097,Cory Gensler Steal.,27,21
1:43,2097,Andrew Eudy made Layup.,29,21
1:20,2678,Trey Chapman missed Three Point Jumper.,29,21
1:20,2097,Cory Gensler Defensive Rebound.,29,21
1:00,2097,Damontez Oliver Turnover.,29,21
1:00,2678,Austin Vereen Steal.,29,21
0:40,2678,Garrett Gilkeson missed Jumper.,29,21
0:40,2678,Austin Vereen Offensive Rebound.,29,21
0:40,2678,Austin Vereen made Layup.,29,23
0:32,2097,Andrew Eudy missed Layup.,29,23
0:32,2678,Trey Chapman Block.,29,23
0:32,2097,Damontez Oliver Offensive Rebound.,29,23
0:01,2097,Quinton Ray Turnover.,29,23
0:00,2678,End of 1st half,29,23
19:45,2097,Damontez Oliver missed Layup.,29,23
19:45,2678,Fred Iruafemi Defensive Rebound.,29,23
19:37,2678,Trey Chapman made Layup. Assisted by Julian Eleby.,29,25
19:01,2097,Chris Clemons missed Three Point Jumper.,29,25
19:01,2097,Damontez Oliver Offensive Rebound.,29,25
18:54,2097,Damontez Oliver missed Jumper.,29,25
18:54,2678,Trey Chapman Defensive Rebound.,29,25
18:46,2678,Adrian Rich made Layup.,29,27
18:32,2097,Andrew Eudy Turnover.,29,27
18:30,2678,Julian Eleby Steal.,29,27
18:13,2678,Julian Eleby Turnover.,29,27
17:53,2097,Shane Whitfield made Layup.,31,27
17:34,2678,Trey Chapman Turnover.,31,27
17:13,2097,Marcus Burk made Three Point Jumper. Assisted by Shane Whitfield.,34,27
16:53,2678,Adrian Rich missed Three Point Jumper.,34,27
16:53,2678,Fred Iruafemi Offensive Rebound.,34,27
16:39,2678,Julian Eleby made Jumper.,34,29
16:19,2097,Chris Clemons made Layup. Assisted by Andrew Eudy.,36,29
16:10,2097,Foul on Shane Whitfield.,36,29
16:08,2678,QJ Peterson missed Three Point Jumper.,36,29
16:08,2097,Andrew Eudy Defensive Rebound.,36,29
15:58,2097,Chris Clemons Turnover.,36,29
15:58,2678,Official TV Timeout,36,29
15:38,2678,QJ Peterson missed Jumper.,36,29
15:38,2097,Austin Burnette Defensive Rebound.,36,29
15:16,2097,Chris Clemons missed Three Point Jumper.,36,29
15:16,2678,Trey Chapman Defensive Rebound.,36,29
14:56,2097,Foul on Andrew Eudy.,36,29
14:56,2678,QJ Peterson made Free Throw.,36,30
14:56,2678,QJ Peterson made Free Throw.,36,31
14:35,2097,Damontez Oliver made Layup. Assisted by Andrew Eudy.,38,31
14:35,2678,Foul on Trey Chapman.,38,31
14:35,2097,Damontez Oliver missed Free Throw.,38,31
14:35,2678,VMI Deadball Team Rebound.,38,31
14:15,2678,Julian Eleby missed Jumper.,38,31
14:15,2097,Andrew Eudy Block.,38,31
14:12,2097,Damontez Oliver Defensive Rebound.,38,31
13:50,2097,Chris Clemons made Jumper. Assisted by Andrew Eudy.,40,31
13:39,2678,VMI  Timeout,40,31
13:19,2678,QJ Peterson missed Jumper.,40,31
13:19,2097,Andrew Eudy Defensive Rebound.,40,31
13:04,2097,Campbell  Timeout,40,31
12:56,2097,Chris Clemons Turnover.,40,31
12:53,2678,QJ Peterson Steal.,40,31
12:52,2678,QJ Peterson Turnover.,40,31
12:51,2097,Quinton Ray Steal.,40,31
12:31,2097,Austin Burnette made Jumper. Assisted by Quinton Ray.,42,31
12:02,2678,Keith Smith made Three Point Jumper. Assisted by Will Miller.,42,34
11:40,2097,Andrew Eudy made Jumper. Assisted by Damontez Oliver.,44,34
11:18,2678,Julian Eleby Turnover.,44,34
11:16,2097,Chris Clemons Steal.,44,34
11:13,2097,Chris Clemons missed Layup.,44,34
11:13,2678,Keith Smith Block.,44,34
11:13,2097,Campbell Offensive Rebound.,44,34
11:12,2097,Shane Whitfield made Layup. Assisted by Quinton Ray.,46,34
11:12,2678,QJ Peterson Defensive Rebound.,46,34
11:12,2678,Foul on Austin Vereen.,46,34
10:53,2678,QJ Peterson missed Jumper.,46,34
10:53,2097,Chris Clemons Defensive Rebound.,46,34
10:44,2097,Shane Whitfield missed Free Throw.,46,34
10:43,2678,QJ Peterson missed Jumper.,46,34
10:43,2097,Damontez Oliver Defensive Rebound.,46,34
10:39,2678,Foul on Austin Vereen.,46,34
10:39,2097,Shane Whitfield missed Free Throw.,46,34
10:39,2097,Campbell Deadball Team Rebound.,46,34
10:30,2097,Shane Whitfield made Free Throw.,47,34
10:26,2678,Keith Smith missed Layup.,47,34
10:26,2678,Fred Iruafemi Offensive Rebound.,47,34
10:21,2678,Fred Iruafemi missed Layup.,47,34
10:21,2097,Andrew Eudy Block.,47,34
10:18,2097,Campbell Defensive Rebound.,47,34
10:03,2097,Chris Clemons made Three Point Jumper.,50,34
9:53,2678,Julian Eleby missed Three Point Jumper.,50,34
9:53,2097,Damontez Oliver Defensive Rebound.,50,34
9:44,2097,Andrew Eudy missed Three Point Jumper.,50,34
9:44,2678,Julian Eleby Defensive Rebound.,50,34
9:32,2678,Trey Chapman made Layup. Assisted by Julian Eleby.,50,36
9:03,2097,Chris Clemons made Three Point Jumper.,53,36
8:58,2097,Foul on Khadre Lane.,53,36
8:53,2678,QJ Peterson Turnover.,53,36
8:50,2097,Cory Gensler Steal.,53,36
8:39,2097,Shane Whitfield made Layup.,55,36
8:12,2678,QJ Peterson missed Jumper.,55,36
8:12,2097,Quinton Ray Defensive Rebound.,55,36
7:50,2097,Chris Clemons missed Layup.,55,36
7:50,2678,Trey Chapman Defensive Rebound.,55,36
7:40,2678,Adrian Rich missed Jumper.,55,36
7:40,2097,Cory Gensler Defensive Rebound.,55,36
7:30,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,57,36
7:12,2678,Official TV Timeout,57,36
6:50,2678,Keith Smith missed Jumper.,57,36
6:50,2678,VMI Offensive Rebound.,57,36
6:34,2678,Trey Chapman made Layup.,57,38
6:13,2097,Shane Whitfield Turnover.,57,38
6:13,2097,Foul on Shane Whitfield.,57,38
6:10,2678,QJ Peterson Turnover.,57,38
6:08,2097,Chris Clemons Steal.,57,38
6:01,2097,Chris Clemons Turnover.,57,38
5:31,2678,QJ Peterson made Jumper.,57,40
4:53,2097,Campbell  Turnover.,57,40
4:43,2678,Trey Chapman missed Three Point Jumper.,57,40
4:43,2678,QJ Peterson Offensive Rebound.,57,40
4:37,2097,Foul on Quinton Ray.,57,40
4:37,2678,QJ Peterson missed Free Throw.,57,40
4:37,2678,VMI Deadball Team Rebound.,57,40
4:37,2678,QJ Peterson made Free Throw.,57,41
4:29,2097,Campbell  Timeout,57,41
4:20,2097,Quinton Ray Turnover.,57,41
4:20,2678,Keith Smith Steal.,57,41
4:08,2678,Keith Smith missed Three Point Jumper.,57,41
4:08,2097,Quinton Ray Defensive Rebound.,57,41
3:46,2097,Shane Whitfield missed Layup.,57,41
3:46,2678,Trey Chapman Defensive Rebound.,57,41
3:38,2678,Julian Eleby missed Three Point Jumper.,57,41
3:38,2097,Cory Gensler Block.,57,41
3:34,2678,Julian Eleby Offensive Rebound.,57,41
3:28,2678,Trey Chapman made Layup. Assisted by Julian Eleby.,57,43
3:19,2097,Chris Clemons Turnover.,57,43
3:15,2678,QJ Peterson missed Three Point Jumper.,57,43
3:15,2097,Shane Whitfield Defensive Rebound.,57,43
3:01,2678,Foul on Austin Vereen.,57,43
2:42,2097,Andrew Eudy made Dunk. Assisted by Chris Clemons.,59,43
2:36,2097,Foul on Andrew Eudy.,59,43
2:36,2678,QJ Peterson made Free Throw.,59,44
2:36,2678,QJ Peterson missed Free Throw.,59,44
2:36,2097,Cory Gensler Defensive Rebound.,59,44
2:31,2678,Foul on Austin Vereen.,59,44
2:22,2097,Shane Whitfield Turnover.,59,44
2:21,2678,Adrian Rich Steal.,59,44
2:17,2678,QJ Peterson made Jumper.,59,46
2:17,2097,Foul on Shane Whitfield.,59,46
2:17,2678,QJ Peterson made Free Throw.,59,47
1:59,2097,Andrew Eudy made Layup. Assisted by Quinton Ray.,61,47
1:59,2678,Foul on Trey Chapman.,61,47
1:59,2097,Andrew Eudy made Free Throw.,62,47
1:50,2678,Adrian Rich missed Three Point Jumper.,62,47
1:50,2097,Andrew Eudy Block.,62,47
1:45,2097,Quinton Ray Defensive Rebound.,62,47
1:37,2097,Cory Gensler made Layup. Assisted by Andrew Eudy.,64,47
1:26,2678,Adrian Rich made Three Point Jumper. Assisted by Adrian Rich.,64,50
1:17,2097,Damontez Oliver Turnover.,64,50
1:17,2678,QJ Peterson Steal.,64,50
1:08,2678,Keith Smith Turnover.,64,50
0:48,2097,Damontez Oliver Turnover.,64,50
0:48,2678,Julian Eleby Steal.,64,50
0:48,2097,Foul on Damontez Oliver.,64,50
0:48,2678,Julian Eleby made Free Throw.,64,51
0:48,2678,Julian Eleby missed Free Throw.,64,51
0:48,2097,Damontez Oliver Defensive Rebound.,64,51
0:45,2678,Foul on QJ Peterson.,64,51
0:45,2097,Cory Gensler missed Free Throw.,64,51
0:45,2678,Julian Eleby Defensive Rebound.,64,51
0:34,2097,Foul on Andrew Eudy.,64,51
0:34,2678,Trey Chapman missed Free Throw.,64,51
0:34,2097,Damontez Oliver Defensive Rebound.,64,51
0:31,2678,Foul on Julian Eleby.,64,51
0:31,2097,Damontez Oliver made Free Throw.,65,51
0:31,2097,Damontez Oliver missed Free Throw.,65,51
0:31,2678,QJ Peterson Defensive Rebound.,65,51
0:20,2678,Adrian Rich made Layup.,65,53
0:18,2678,Foul on QJ Peterson.,65,53
0:18,2097,Chris Clemons made Free Throw.,66,53
0:18,2097,Chris Clemons made Free Throw.,67,53
0:09,2678,QJ Peterson missed Three Point Jumper.,67,53
0:09,2678,Adrian Rich Offensive Rebound.,67,53
0:02,2678,Keith Smith missed Three Point Jumper.,67,53
0:02,2097,Damontez Oliver Defensive Rebound.,67,53
0:00,2678,End of Game,67,53
