Oakland,302,UC Davis,2473
10:12,302,Chima Moneke made Layup. Assisted by J.T. Adenrele.,19,19
9:56,2473,Isaiah Brock Turnover.,19,19
9:55,302,J.T. Adenrele Steal.,19,19
9:54,302,Chima Moneke Turnover.,19,19
9:44,302,Foul on Brynton Lemar.,19,19
9:36,2473,Jalen Hayes missed Layup.,19,19
9:36,302,Chima Moneke Defensive Rebound.,19,19
9:25,302,J.T. Adenrele missed Layup.,19,19
9:25,2473,Isaiah Brock Defensive Rebound.,19,19
9:03,2473,Foul on Jalen Hayes.,19,19
9:03,2473,Jalen Hayes Turnover.,19,19
8:50,302,Chima Moneke Turnover.,19,19
8:36,2473,Stevie Clark made Jumper. Assisted by Chris Palombizio.,21,19
8:11,302,Lawrence White Turnover.,21,19
8:10,2473,Sherron Dorsey-Walker Steal.,21,19
8:05,2473,Xavier Hill-Mais Turnover.,21,19
8:04,302,Lawrence White Steal.,21,19
8:01,302,Lawrence White made Layup.,21,21
7:44,2473,Xavier Hill-Mais Turnover.,21,21
7:44,302,Official TV Timeout,21,21
7:20,302,Darius Graham missed Three Point Jumper.,21,21
7:20,2473,Sherron Dorsey-Walker Defensive Rebound.,21,21
7:00,2473,Xavier Hill-Mais made Layup. Assisted by Isaiah Brock.,23,21
6:39,302,Mikey Henn made Layup. Assisted by Lawrence White.,23,23
6:30,302,Foul on Joe Mooney.,23,23
6:30,2473,Stevie Clark made Free Throw.,24,23
6:30,2473,Stevie Clark made Free Throw.,25,23
6:16,302,Chima Moneke missed Jumper.,25,23
6:16,2473,Xavier Hill-Mais Block.,25,23
6:14,2473,Brailen Neely Defensive Rebound.,25,23
5:52,2473,Brailen Neely missed Three Point Jumper.,25,23
5:52,302,UC Davis Defensive Rebound.,25,23
5:22,302,Siler Schneider missed Three Point Jumper.,25,23
5:22,2473,Oakland Deadball Team Rebound.,25,23
5:21,302,Foul on J.T. Adenrele.,25,23
5:07,2473,Stevie Clark made Three Point Jumper. Assisted by Brailen Neely.,28,23
4:44,302,Chima Moneke missed Layup.,28,23
4:44,2473,Isaiah Brock Block.,28,23
4:44,302,UC Davis Offensive Rebound.,28,23
4:41,302,Siler Schneider made Three Point Jumper. Assisted by Darius Graham.,28,26
4:29,2473,Foul on Xavier Hill-Mais.,28,26
4:29,2473,Xavier Hill-Mais Turnover.,28,26
4:11,302,Lawrence White Turnover.,28,26
3:59,302,Foul on Chima Moneke.,28,26
3:59,302,Official TV Timeout,28,26
3:59,2473,Jalen Hayes missed Free Throw.,28,26
3:59,302,J.T. Adenrele Defensive Rebound.,28,26
3:39,302,Lawrence White missed Layup.,28,26
3:39,2473,Oakland Defensive Rebound.,28,26
3:16,2473,Sherron Dorsey-Walker missed Jumper.,28,26
3:16,2473,Brad Brechting Offensive Rebound.,28,26
3:12,2473,Brad Brechting missed Two Point Tip Shot.,28,26
3:12,2473,Oakland Offensive Rebound.,28,26
3:02,302,Foul on Lawrence White.,28,26
3:02,2473,Jalen Hayes made Free Throw.,29,26
3:02,2473,Jalen Hayes missed Free Throw.,29,26
3:02,302,Chima Moneke Defensive Rebound.,29,26
2:44,2473,Foul on Brad Brechting.,29,26
2:44,302,J.T. Adenrele missed Free Throw.,29,26
2:44,302,UC Davis Deadball Team Rebound.,29,26
2:44,302,J.T. Adenrele made Free Throw.,29,27
2:25,2473,Martez Walker missed Layup.,29,27
2:25,302,Chima Moneke Block.,29,27
2:22,302,Lawrence White Defensive Rebound.,29,27
2:19,302,Siler Schneider made Layup. Assisted by Darius Graham.,29,29
2:19,2473,Foul on Isaiah Brock.,29,29
2:19,302,Siler Schneider made Free Throw.,29,30
2:02,2473,Martez Walker missed Three Point Jumper.,29,30
2:02,302,Chima Moneke Defensive Rebound.,29,30
1:54,302,Mikey Henn made Layup. Assisted by Siler Schneider.,29,32
1:40,2473,Martez Walker missed Three Point Jumper.,29,32
1:40,302,Darius Graham Defensive Rebound.,29,32
1:31,302,Siler Schneider missed Three Point Jumper.,29,32
1:31,2473,Isaiah Brock Defensive Rebound.,29,32
1:14,2473,Stevie Clark made Three Point Jumper. Assisted by Nick Daniels.,32,32
0:48,302,Chima Moneke made Jumper. Assisted by Darius Graham.,32,34
0:41,2473,Nick Daniels made Layup. Assisted by Stevie Clark.,34,34
0:17,302,Siler Schneider Turnover.,34,34
0:15,2473,Isaiah Brock Steal.,34,34
0:12,2473,Oakland  Timeout,34,34
0:05,2473,Martez Walker made Three Point Jumper. Assisted by Stevie Clark.,37,34
0:00,302,End of 1st half,37,34
19:46,2473,Isaiah Brock missed Layup.,37,34
19:46,302,Lawrence White Block.,37,34
19:45,302,Darius Graham Defensive Rebound.,37,34
19:28,302,J.T. Adenrele missed Layup.,37,34
19:28,302,J.T. Adenrele Offensive Rebound.,37,34
19:25,302,J.T. Adenrele made Layup.,37,36
19:03,2473,Sherron Dorsey-Walker missed Jumper.,37,36
19:03,302,Chima Moneke Defensive Rebound.,37,36
18:44,302,Darius Graham missed Three Point Jumper.,37,36
18:44,2473,Stevie Clark Defensive Rebound.,37,36
18:39,2473,Foul on Stevie Clark.,37,36
18:39,2473,Stevie Clark Turnover.,37,36
18:25,302,Chima Moneke Turnover.,37,36
18:22,2473,Isaiah Brock Steal.,37,36
18:20,2473,Stevie Clark missed Three Point Jumper.,37,36
18:20,302,J.T. Adenrele Defensive Rebound.,37,36
18:08,2473,Foul on Jalen Hayes.,37,36
18:08,302,Chima Moneke made Free Throw.,37,37
18:08,302,Chima Moneke made Free Throw.,37,38
17:52,2473,Martez Walker missed Three Point Jumper.,37,38
17:52,2473,Jalen Hayes Offensive Rebound.,37,38
17:47,2473,Jalen Hayes missed Jumper.,37,38
17:47,2473,Jalen Hayes Offensive Rebound.,37,38
17:28,302,Foul on Mikey Henn.,37,38
17:28,2473,Jalen Hayes missed Free Throw.,37,38
17:28,2473,Oakland Deadball Team Rebound.,37,38
17:28,2473,Jalen Hayes made Free Throw.,38,38
17:09,302,Chima Moneke missed Jumper.,38,38
17:09,2473,Isaiah Brock Defensive Rebound.,38,38
17:01,302,Foul on Chima Moneke.,38,38
17:01,2473,Jalen Hayes missed Free Throw.,38,38
17:01,2473,Oakland Deadball Team Rebound.,38,38
17:01,2473,Jalen Hayes made Free Throw.,39,38
16:45,302,Mikey Henn missed Three Point Jumper.,39,38
16:45,2473,Oakland Defensive Rebound.,39,38
16:26,302,Foul on Brynton Lemar.,39,38
16:15,2473,Stevie Clark Turnover.,39,38
16:15,302,Brynton Lemar Steal.,39,38
16:10,302,Siler Schneider missed Layup.,39,38
16:10,302,UC Davis Offensive Rebound.,39,38
15:59,302,Darius Graham made Layup.,39,40
15:35,2473,Nick Daniels missed Three Point Jumper.,39,40
15:35,2473,Jalen Hayes Offensive Rebound.,39,40
15:30,2473,Jalen Hayes missed Layup.,39,40
15:30,2473,Isaiah Brock Offensive Rebound.,39,40
15:26,2473,Isaiah Brock made Dunk.,41,40
15:00,2473,Foul on Jalen Hayes.,41,40
15:00,302,Official TV Timeout,41,40
15:00,302,Brynton Lemar missed Free Throw.,41,40
15:00,302,UC Davis Deadball Team Rebound.,41,40
15:00,302,Brynton Lemar made Free Throw.,41,41
14:29,2473,Brailen Neely missed Jumper.,41,41
14:29,2473,Jalen Hayes Offensive Rebound.,41,41
14:25,2473,Jalen Hayes missed Layup.,41,41
14:25,2473,Jalen Hayes Offensive Rebound.,41,41
14:22,2473,Jalen Hayes made Jumper.,43,41
14:09,2473,Foul on Isaiah Brock.,43,41
14:03,302,Siler Schneider missed Jumper.,43,41
14:03,302,Mikey Henn Offensive Rebound.,43,41
14:02,302,Mikey Henn made Layup.,43,43
14:02,2473,Foul on Jalen Hayes.,43,43
14:02,302,Mikey Henn missed Free Throw.,43,43
14:02,302,J.T. Adenrele Offensive Rebound.,43,43
13:48,302,Darius Graham made Jumper.,43,45
13:41,2473,Martez Walker missed Three Point Jumper.,43,45
13:41,2473,Isaiah Brock Offensive Rebound.,43,45
13:37,2473,Isaiah Brock made Layup.,45,45
13:23,302,Siler Schneider Turnover.,45,45
13:22,2473,Xavier Hill-Mais Steal.,45,45
13:16,302,Foul on Mikey Henn.,45,45
13:16,2473,Isaiah Brock made Free Throw.,46,45
13:16,2473,Isaiah Brock made Free Throw.,47,45
13:04,302,Chima Moneke Turnover.,47,45
13:03,2473,Brailen Neely Steal.,47,45
12:55,2473,Nick Daniels missed Layup.,47,45
12:55,302,Chima Moneke Defensive Rebound.,47,45
12:40,302,Brynton Lemar missed Three Point Jumper.,47,45
12:40,2473,Xavier Hill-Mais Defensive Rebound.,47,45
12:15,2473,Brailen Neely missed Three Point Jumper.,47,45
12:15,302,Brynton Lemar Defensive Rebound.,47,45
12:00,302,Brynton Lemar missed Jumper.,47,45
12:00,2473,Martez Walker Defensive Rebound.,47,45
11:52,2473,Martez Walker missed Three Point Jumper.,47,45
11:52,302,UC Davis Deadball Team Rebound.,47,45
11:51,2473,Foul on Nick Daniels.,47,45
11:51,302,Official TV Timeout,47,45
11:44,302,Joe Mooney missed Three Point Jumper.,47,45
11:44,2473,Brad Brechting Defensive Rebound.,47,45
11:12,2473,Sherron Dorsey-Walker Turnover.,47,45
11:01,302,Mikey Henn missed Three Point Jumper.,47,45
11:01,2473,Sherron Dorsey-Walker Defensive Rebound.,47,45
10:48,2473,Brad Brechting made Layup. Assisted by Sherron Dorsey-Walker.,49,45
10:31,302,Mikey Henn made Jumper. Assisted by Siler Schneider.,49,47
10:11,2473,Nick Daniels made Three Point Jumper. Assisted by Sherron Dorsey-Walker.,52,47
9:47,302,Lawrence White missed Layup.,52,47
9:47,2473,Xavier Hill-Mais Defensive Rebound.,52,47
9:25,2473,Xavier Hill-Mais Turnover.,52,47
9:23,302,Mikey Henn Steal.,52,47
9:06,302,Chima Moneke made Jumper. Assisted by Siler Schneider.,52,49
8:48,302,Foul on Siler Schneider.,52,49
8:44,2473,Stevie Clark made Free Throw.,53,49
8:44,2473,Stevie Clark made Free Throw.,54,49
8:44,2473,Oakland  Timeout,54,49
8:33,302,Chima Moneke missed Layup.,54,49
8:33,2473,Isaiah Brock Block.,54,49
8:31,2473,Xavier Hill-Mais Defensive Rebound.,54,49
8:27,2473,Stevie Clark made Jumper. Assisted by Xavier Hill-Mais.,56,49
8:09,2473,Foul on Xavier Hill-Mais.,56,49
8:09,302,J.T. Adenrele made Free Throw.,56,50
8:09,302,J.T. Adenrele made Free Throw.,56,51
7:44,2473,Xavier Hill-Mais missed Jumper.,56,51
7:44,2473,Isaiah Brock Offensive Rebound.,56,51
7:38,2473,Xavier Hill-Mais made Layup. Assisted by Isaiah Brock.,58,51
7:20,302,Chima Moneke made Layup. Assisted by Brynton Lemar.,58,53
6:52,2473,Stevie Clark Turnover.,58,53
6:52,302,Darius Graham Steal.,58,53
6:52,302,Official TV Timeout,58,53
6:46,302,Darius Graham Turnover.,58,53
6:21,2473,Nick Daniels missed Three Point Jumper.,58,53
6:21,302,Brynton Lemar Defensive Rebound.,58,53
5:56,302,Darius Graham missed Layup.,58,53
5:56,2473,Isaiah Brock Block.,58,53
5:56,302,UC Davis Offensive Rebound.,58,53
5:52,302,Darius Graham missed Jumper.,58,53
5:52,2473,Oakland Defensive Rebound.,58,53
5:26,2473,Martez Walker made Three Point Jumper. Assisted by Nick Daniels.,61,53
5:02,302,Darius Graham Turnover.,61,53
5:01,2473,Stevie Clark Steal.,61,53
4:59,2473,Stevie Clark made Layup.,63,53
4:59,302,Foul on Siler Schneider.,63,53
4:59,2473,Stevie Clark made Free Throw.,64,53
4:48,2473,Foul on Isaiah Brock.,64,53
4:48,302,Chima Moneke missed Free Throw.,64,53
4:48,302,UC Davis Deadball Team Rebound.,64,53
4:48,302,Chima Moneke made Free Throw.,64,54
4:32,2473,Nick Daniels Turnover.,64,54
4:31,302,Darius Graham Steal.,64,54
4:26,302,Darius Graham Turnover.,64,54
4:25,2473,Nick Daniels Steal.,64,54
4:15,2473,Nick Daniels made Three Point Jumper. Assisted by Jalen Hayes.,67,54
3:54,302,Brynton Lemar missed Layup.,67,54
3:54,302,UC Davis Deadball Team Rebound.,67,54
3:53,2473,Foul on Jalen Hayes.,67,54
3:53,302,Official TV Timeout,67,54
3:53,302,Brynton Lemar made Free Throw.,67,55
3:53,302,Brynton Lemar made Free Throw.,67,56
3:49,2473,Nick Daniels Turnover.,67,56
3:48,302,Darius Graham Steal.,67,56
3:47,302,UC Davis  Timeout,67,56
3:42,302,Darius Graham missed Three Point Jumper.,67,56
3:42,302,Siler Schneider Offensive Rebound.,67,56
3:33,302,Brynton Lemar made Three Point Jumper. Assisted by Darius Graham.,67,59
3:23,2473,Nick Daniels missed Layup.,67,59
3:23,302,J.T. Adenrele Block.,67,59
3:23,2473,Oakland Offensive Rebound.,67,59
3:06,302,Foul on Lawrence White.,67,59
3:06,2473,Sherron Dorsey-Walker made Free Throw.,68,59
3:06,2473,Sherron Dorsey-Walker made Free Throw.,69,59
2:54,302,Chima Moneke missed Layup.,69,59
2:54,2473,Sherron Dorsey-Walker Defensive Rebound.,69,59
2:28,2473,Stevie Clark missed Three Point Jumper.,69,59
2:28,302,Darius Graham Defensive Rebound.,69,59
2:21,302,Siler Schneider missed Layup.,69,59
2:21,2473,Stevie Clark Defensive Rebound.,69,59
1:55,302,Foul on Chima Moneke.,69,59
1:55,2473,Martez Walker made Free Throw.,70,59
1:55,2473,Martez Walker made Free Throw.,71,59
1:55,2473,Martez Walker missed Free Throw.,71,59
1:55,302,Chima Moneke Defensive Rebound.,71,59
1:45,302,Chima Moneke made Dunk. Assisted by Joe Mooney.,71,61
1:31,2473,Isaiah Brock made Dunk. Assisted by Stevie Clark.,73,61
1:25,302,Siler Schneider missed Three Point Jumper.,73,61
1:25,302,Chima Moneke Offensive Rebound.,73,61
1:21,302,Chima Moneke missed Layup.,73,61
1:21,302,Brynton Lemar Offensive Rebound.,73,61
1:17,302,Brynton Lemar missed Two Point Tip Shot.,73,61
1:17,302,Siler Schneider Offensive Rebound.,73,61
1:16,302,Siler Schneider made Layup.,73,63
1:16,302,UC Davis  Timeout,73,63
1:05,302,Foul on Lawrence White.,73,63
1:05,2473,Sherron Dorsey-Walker missed Free Throw.,73,63
1:05,302,Joe Mooney Defensive Rebound.,73,63
0:59,302,Darius Graham made Three Point Jumper.,73,66
0:57,302,UC Davis  Timeout,73,66
0:56,302,Foul on Darius Graham.,73,66
0:56,2473,Martez Walker made Free Throw.,74,66
0:56,2473,Martez Walker made Free Throw.,75,66
0:53,302,Joe Mooney missed Three Point Jumper.,75,66
0:53,2473,Xavier Hill-Mais Defensive Rebound.,75,66
0:44,302,Foul on Joe Mooney.,75,66
0:44,2473,Isaiah Brock made Free Throw.,76,66
0:44,2473,Isaiah Brock made Free Throw.,77,66
0:38,302,Darius Graham missed Three Point Jumper.,77,66
0:38,302,Chima Moneke Offensive Rebound.,77,66
0:35,302,Chima Moneke missed Layup.,77,66
0:35,2473,Stevie Clark Defensive Rebound.,77,66
0:09,2473,Stevie Clark made Layup.,79,66
0:03,302,Siler Schneider missed Layup.,79,66
0:03,2473,Isaiah Brock Defensive Rebound.,79,66
0:00,302,End of Game,79,66
