Yale,261,Vermont,43
10:20,43,Anthony Dallier Defensive Rebound.,41,55
10:19,261,Foul on Dre Wills.,41,55
9:58,43,Blake Reynolds missed Jumper.,41,55
9:58,43,Sam Downey Offensive Rebound.,41,55
9:56,261,Foul on Josh Hearlihy.,41,55
9:56,43,Sam Downey missed Free Throw.,41,55
9:56,43,Yale Deadball Team Rebound.,41,55
9:56,43,Sam Downey missed Free Throw.,41,55
9:56,261,Drew Urquhart Defensive Rebound.,41,55
9:38,43,Foul on Eric Monroe.,41,55
9:38,261,Cam Ward missed Free Throw.,41,55
9:38,43,Miye Oni Defensive Rebound.,41,55
9:27,43,Anthony Dallier made Layup. Assisted by Sam Downey.,43,55
8:56,261,Cam Ward made Three Point Jumper.,43,58
8:38,43,Miye Oni made Three Point Jumper. Assisted by Eric Monroe.,46,58
8:05,261,Ernie Duncan made Jumper.,46,60
7:56,43,Sam Downey made Jumper. Assisted by Blake Reynolds.,48,60
7:56,261,Foul on Drew Urquhart.,48,60
7:56,261,Official TV Timeout,48,60
7:56,43,Sam Downey missed Free Throw.,48,60
7:56,261,Ernie Duncan Defensive Rebound.,48,60
7:34,261,Trae Bell-Haynes Turnover.,48,60
7:33,43,Sam Downey Steal.,48,60
7:29,43,Sam Downey Turnover.,48,60
7:27,261,Ernie Duncan Steal.,48,60
7:26,261,Ernie Duncan missed Layup.,48,60
7:26,43,Anthony Dallier Defensive Rebound.,48,60
7:16,43,Blake Reynolds made Layup. Assisted by Miye Oni.,50,60
6:54,261,Anthony Lamb missed Three Point Jumper.,50,60
6:54,43,Anthony Dallier Defensive Rebound.,50,60
6:45,43,Blake Reynolds missed Three Point Jumper.,50,60
6:45,261,Ernie Duncan Defensive Rebound.,50,60
6:33,261,Vermont  Timeout,50,60
6:33,261,Official TV Timeout,50,60
6:17,43,Foul on Eric Monroe.,50,60
6:17,261,Trae Bell-Haynes made Free Throw.,50,61
6:17,261,Trae Bell-Haynes missed Free Throw.,50,61
6:17,43,Anthony Dallier Defensive Rebound.,50,61
6:02,43,Blake Reynolds made Three Point Jumper. Assisted by Miye Oni.,53,61
5:30,261,Kurt Steidl missed Layup.,53,61
5:30,43,Yale Defensive Rebound.,53,61
5:05,43,Anthony Dallier missed Three Point Jumper.,53,61
5:05,43,Sam Downey Offensive Rebound.,53,61
5:00,43,Miye Oni made Three Point Jumper. Assisted by Sam Downey.,56,61
4:27,261,Kurt Steidl missed Three Point Jumper.,56,61
4:27,43,Anthony Dallier Defensive Rebound.,56,61
4:14,43,Sam Downey missed Jumper.,56,61
4:14,261,Anthony Lamb Block.,56,61
4:14,261,Kurt Steidl Defensive Rebound.,56,61
4:13,43,Foul on Sam Downey.,56,61
4:13,261,Kurt Steidl made Free Throw.,56,62
4:13,261,Kurt Steidl made Free Throw.,56,63
4:03,43,Blake Reynolds made Jumper. Assisted by Jordan Bruner.,58,63
3:44,261,Drew Urquhart Turnover.,58,63
3:43,43,Alex Copeland Steal.,58,63
3:41,43,Alex Copeland made Layup.,60,63
3:19,261,Kurt Steidl missed Three Point Jumper.,60,63
3:19,43,Anthony Dallier Defensive Rebound.,60,63
3:18,261,Official TV Timeout,60,63
3:00,43,Alex Copeland made Jumper.,62,63
2:46,261,Anthony Lamb missed Layup.,62,63
2:46,43,Blake Reynolds Defensive Rebound.,62,63
2:28,43,Alex Copeland missed Layup.,62,63
2:28,261,Ernie Duncan Defensive Rebound.,62,63
2:02,261,Drew Urquhart missed Jumper.,62,63
2:02,43,Miye Oni Defensive Rebound.,62,63
1:46,261,Foul on Kurt Steidl.,62,63
1:46,43,Miye Oni made Free Throw.,63,63
1:46,43,Miye Oni made Free Throw.,64,63
1:46,43,Miye Oni made Free Throw.,65,63
1:29,43,Foul on Miye Oni.,65,63
1:29,261,Cam Ward missed Free Throw.,65,63
1:29,261,Vermont Deadball Team Rebound.,65,63
1:29,261,Cam Ward made Free Throw.,65,64
1:08,43,Alex Copeland Turnover.,65,64
1:08,261,Trae Bell-Haynes Steal.,65,64
0:52,43,Foul on Miye Oni.,65,64
0:52,43,Yale  Timeout,65,64
0:52,261,Dre Wills made Free Throw.,65,65
0:52,261,Dre Wills missed Free Throw.,65,65
0:52,43,Blake Reynolds Defensive Rebound.,65,65
0:29,43,Sam Downey missed Jumper.,65,65
0:29,261,Dre Wills Defensive Rebound.,65,65
0:16,261,Vermont  Timeout,65,65
0:01,261,Ernie Duncan made Layup.,65,67
0:01,43,Yale  Timeout,65,67
0:01,261,Vermont  Timeout,65,67
0:00,261,End of Game,65,67
