Reinhardt,Error,Tennessee St,2634
10:04,-1,Nehemiah Jones made Layup.,26,23
9:34,2634,Ken'Darrius Hamilton made Three Point Jumper. Assisted by Darreon Reddick.,26,26
9:17,2634,Foul on Tahjere McCall.,26,26
9:13,-1,Latroy Strong missed Jumper.,26,26
9:13,-1,Nehemiah Jones Offensive Rebound.,26,26
9:08,-1,Nehemiah Jones Turnover.,26,26
9:07,2634,Ken'Darrius Hamilton Steal.,26,26
8:48,2634,Ken'Darrius Hamilton Turnover.,26,26
8:47,-1,Latroy Strong Steal.,26,26
8:41,-1,Latroy Strong missed Layup.,26,26
8:41,-1,Reinhardt Offensive Rebound.,26,26
8:33,-1,Corey Tobin missed Three Point Jumper.,26,26
8:33,-1,Latroy Strong Offensive Rebound.,26,26
8:28,-1,Latroy Strong made Jumper.,28,26
8:14,-1,Foul on Dwight Sanders.,28,26
8:14,2634,Tahjere McCall made Free Throw.,28,27
8:14,2634,Tahjere McCall missed Free Throw.,28,27
8:14,-1,Latroy Strong Defensive Rebound.,28,27
7:59,-1,Latroy Strong missed Three Point Jumper.,28,27
7:59,2634,Tahjere McCall Defensive Rebound.,28,27
7:52,2634,Tahjere McCall made Layup.,28,29
7:44,-1,Foul on Melvin Irvin.,28,29
7:44,-1,Melvin Irvin Turnover.,28,29
7:44,2634,Official TV Timeout,28,29
7:28,2634,Delano Spencer missed Three Point Jumper.,28,29
7:28,-1,Melvin Irvin Defensive Rebound.,28,29
7:07,-1,Dwight Sanders missed Three Point Jumper.,28,29
7:07,2634,Tahjere McCall Defensive Rebound.,28,29
6:53,2634,Jordan Reed made Layup.,28,31
6:41,-1,Melvin Irvin made Layup.,30,31
6:16,2634,Wayne Martin Turnover.,30,31
6:15,-1,Nehemiah Jones Steal.,30,31
6:13,-1,Nehemiah Jones Turnover.,30,31
6:10,-1,Foul on Latroy Strong.,30,31
6:10,2634,Delano Spencer made Free Throw.,30,32
6:10,2634,Delano Spencer made Free Throw.,30,33
5:59,-1,Nehemiah Jones missed Three Point Jumper.,30,33
5:59,-1,Nehemiah Jones Offensive Rebound.,30,33
5:51,-1,Corey Tobin made Three Point Jumper. Assisted by Matt Misner.,33,33
5:26,-1,Foul on Dwight Sanders.,33,33
5:26,2634,Wayne Martin made Free Throw.,33,34
5:26,2634,Wayne Martin made Free Throw.,33,35
5:21,-1,Foul on Matt Misner.,33,35
5:21,-1,Matt Misner Turnover.,33,35
5:05,2634,Tahjere McCall made Layup.,33,37
4:52,-1,Nehemiah Jones Turnover.,33,37
4:45,2634,Foul on Jordan Reed.,33,37
4:45,2634,Jordan Reed Turnover.,33,37
4:30,-1,Matt Misner missed Jumper.,33,37
4:30,2634,Jordan Reed Defensive Rebound.,33,37
4:16,-1,Foul on Dorea Wilson.,33,37
4:16,2634,Tahjere McCall missed Free Throw.,33,37
4:16,2634,Tennessee St Deadball Team Rebound.,33,37
4:16,2634,Tahjere McCall made Free Throw.,33,38
3:59,2634,Foul on Wayne Martin.,33,38
3:59,2634,Foul on Ken'Darrius Hamilton.,33,38
3:56,-1,Foul on Nehemiah Jones.,33,38
3:56,-1,Nehemiah Jones Turnover.,33,38
3:56,2634,Official TV Timeout,33,38
3:43,2634,Armani Chaney missed Three Point Jumper.,33,38
3:43,-1,Duncan Jones Defensive Rebound.,33,38
3:14,-1,Nehemiah Jones Turnover.,33,38
3:11,2634,Ken'Darrius Hamilton Steal.,33,38
3:01,2634,Darreon Reddick missed Jumper.,33,38
3:01,2634,Ken'Darrius Hamilton Offensive Rebound.,33,38
3:01,-1,Foul on Matt Misner.,33,38
3:01,2634,Ken'Darrius Hamilton made Free Throw.,33,39
3:01,2634,Ken'Darrius Hamilton missed Free Throw.,33,39
3:01,-1,Elijah Hirsh Defensive Rebound.,33,39
2:54,2634,Foul on Tahjere McCall.,33,39
2:49,-1,Nehemiah Jones missed Three Point Jumper.,33,39
2:49,2634,Darreon Reddick Defensive Rebound.,33,39
2:39,-1,Foul on Matt Misner.,33,39
2:39,2634,Armani Chaney made Free Throw.,33,40
2:39,2634,Armani Chaney missed Free Throw.,33,40
2:39,-1,Elijah Hirsh Defensive Rebound.,33,40
2:33,-1,Duncan Jones missed Three Point Jumper.,33,40
2:33,2634,Armani Chaney Defensive Rebound.,33,40
2:30,-1,Foul on Nehemiah Jones.,33,40
2:30,2634,Armani Chaney made Free Throw.,33,41
2:30,2634,Armani Chaney made Free Throw.,33,42
2:13,-1,Justin Bridges made Three Point Jumper. Assisted by Duncan Jones.,36,42
1:48,2634,Darreon Reddick Turnover.,36,42
1:28,-1,Duncan Jones made Three Point Jumper. Assisted by Justin Bridges.,39,42
1:06,2634,Wayne Martin made Layup.,39,44
0:54,-1,Duncan Jones made Three Point Jumper. Assisted by Justin Bridges.,42,44
0:22,2634,Darreon Reddick made Three Point Jumper. Assisted by Armani Chaney.,42,47
0:05,-1,Justin Bridges made Three Point Jumper.,45,47
0:00,2634,End of 1st half,45,47
19:44,-1,Dorea Wilson missed Three Point Jumper.,45,47
19:44,2634,Jordan Reed Defensive Rebound.,45,47
19:24,-1,Foul on Duncan Jones.,45,47
19:17,2634,Tahjere McCall missed Jumper.,45,47
19:17,2634,Wayne Martin Offensive Rebound.,45,47
19:11,2634,Wayne Martin missed Jumper.,45,47
19:11,-1,Samuel Bunkley Defensive Rebound.,45,47
19:10,2634,Foul on Ken'Darrius Hamilton.,45,47
19:01,-1,Duncan Jones missed Three Point Jumper.,45,47
19:01,-1,Melvin Irvin Offensive Rebound.,45,47
19:00,2634,Foul on Wayne Martin.,45,47
19:00,-1,Melvin Irvin made Free Throw.,46,47
19:00,-1,Melvin Irvin made Free Throw.,47,47
18:46,2634,Wayne Martin made Layup.,47,49
18:37,-1,Justin Bridges Turnover.,47,49
18:36,2634,Tahjere McCall Steal.,47,49
18:35,-1,Foul on Justin Bridges.,47,49
18:26,2634,Darreon Reddick made Jumper.,47,51
18:10,2634,Foul on Ken'Darrius Hamilton.,47,51
18:10,-1,Duncan Jones made Free Throw.,48,51
18:10,-1,Duncan Jones made Free Throw.,49,51
18:04,2634,Jordan Reed Turnover.,49,51
17:50,-1,Dorea Wilson Turnover.,49,51
17:49,2634,Wayne Martin Steal.,49,51
17:45,2634,Christian Mekowulu made Layup. Assisted by Tahjere McCall.,49,53
17:45,-1,Foul on Melvin Irvin.,49,53
17:45,2634,Christian Mekowulu made Free Throw.,49,54
17:37,-1,Justin Bridges missed Layup.,49,54
17:37,2634,Christian Mekowulu Defensive Rebound.,49,54
17:27,2634,Jordan Reed missed Jumper.,49,54
17:27,-1,Melvin Irvin Defensive Rebound.,49,54
17:08,-1,Duncan Jones missed Three Point Jumper.,49,54
17:08,2634,Tahjere McCall Defensive Rebound.,49,54
17:00,-1,Foul on Justin Bridges.,49,54
16:48,2634,Delano Spencer made Three Point Jumper. Assisted by Jordan Reed.,49,57
16:38,-1,Justin Bridges missed Three Point Jumper.,49,57
16:38,2634,Jordan Reed Defensive Rebound.,49,57
16:26,2634,Tahjere McCall missed Layup.,49,57
16:26,2634,Tahjere McCall Offensive Rebound.,49,57
16:24,2634,Tahjere McCall made Layup.,49,59
16:14,-1,Reinhardt  Timeout,49,59
16:14,2634,Official TV Timeout,49,59
16:03,-1,Samuel Bunkley made Layup.,51,59
15:53,-1,Foul on Elijah Hirsh.,51,59
15:53,2634,Jordan Reed missed Free Throw.,51,59
15:53,2634,Tennessee St Deadball Team Rebound.,51,59
15:53,2634,Jordan Reed missed Free Throw.,51,59
15:53,-1,Elijah Hirsh Defensive Rebound.,51,59
15:45,-1,Samuel Bunkley missed Three Point Jumper.,51,59
15:45,2634,Tahjere McCall Defensive Rebound.,51,59
15:35,2634,Christian Mekowulu made Layup. Assisted by Tahjere McCall.,51,61
15:17,-1,Elijah Hirsh missed Jumper.,51,61
15:17,2634,Tahjere McCall Defensive Rebound.,51,61
15:07,2634,Jordan Reed missed Layup.,51,61
15:07,2634,Tennessee St Offensive Rebound.,51,61
15:03,2634,Wayne Martin made Layup. Assisted by Tahjere McCall.,51,63
14:44,-1,Elijah Hirsh missed Three Point Jumper.,51,63
14:44,2634,Tahjere McCall Defensive Rebound.,51,63
14:32,2634,Darreon Reddick Turnover.,51,63
14:12,-1,Nehemiah Jones made Jumper.,53,63
13:51,2634,Wayne Martin made Dunk. Assisted by Tahjere McCall.,53,65
13:28,2634,Foul on Tahjere McCall.,53,65
13:14,-1,Elijah Hirsh missed Jumper.,53,65
13:14,2634,Wayne Martin Defensive Rebound.,53,65
13:09,2634,Wayne Martin Turnover.,53,65
13:09,-1,Nehemiah Jones Steal.,53,65
13:04,-1,Nehemiah Jones missed Layup.,53,65
13:04,2634,Wayne Martin Block.,53,65
13:04,-1,Reinhardt Offensive Rebound.,53,65
13:04,-1,Foul on Latroy Strong.,53,65
13:04,-1,Latroy Strong Turnover.,53,65
12:50,2634,Delano Spencer made Three Point Jumper. Assisted by Ken'Darrius Hamilton.,53,68
12:33,-1,Nehemiah Jones made Layup.,55,68
12:02,2634,Armani Chaney Turnover.,55,68
12:00,-1,Latroy Strong Steal.,55,68
11:56,-1,Nehemiah Jones made Jumper.,57,68
11:32,2634,Delano Spencer missed Three Point Jumper.,57,68
11:32,2634,Jordan Reed Offensive Rebound.,57,68
11:12,-1,Foul on Elijah Hirsh.,57,68
11:12,2634,Official TV Timeout,57,68
11:12,2634,Darreon Reddick made Free Throw.,57,69
11:05,2634,Darreon Reddick made Free Throw.,57,70
10:52,-1,Melvin Irvin Turnover.,57,70
10:51,2634,Delano Spencer Steal.,57,70
10:48,-1,Foul on Dwight Sanders.,57,70
10:48,2634,Jordan Reed made Free Throw.,57,71
10:48,2634,Jordan Reed made Free Throw.,57,72
10:30,-1,Corey Tobin made Jumper.,59,72
10:19,2634,Darreon Reddick missed Three Point Jumper.,59,72
10:19,-1,Latroy Strong Defensive Rebound.,59,72
10:12,-1,Corey Tobin Turnover.,59,72
9:47,2634,Tahjere McCall Turnover.,59,72
9:28,-1,Melvin Irvin missed Jumper.,59,72
9:28,2634,Ken'Darrius Hamilton Block.,59,72
9:26,2634,Ken'Darrius Hamilton Defensive Rebound.,59,72
9:21,2634,Jordan Reed missed Layup.,59,72
9:21,2634,Darreon Reddick Offensive Rebound.,59,72
9:17,2634,Darreon Reddick made Two Point Tip Shot.,59,74
9:07,2634,Foul on Jordan Reed.,59,74
9:02,-1,Dwight Sanders Turnover.,59,74
9:01,2634,Jordan Reed Steal.,59,74
8:59,2634,Jordan Reed made Dunk.,59,76
8:50,-1,Corey Tobin missed Three Point Jumper.,59,76
8:50,-1,Dwight Sanders Offensive Rebound.,59,76
8:45,-1,Dwight Sanders Turnover.,59,76
8:44,2634,Tahjere McCall Steal.,59,76
8:41,-1,Foul on Corey Tobin.,59,76
8:41,2634,Jordan Reed made Free Throw.,59,77
8:41,2634,Jordan Reed missed Free Throw.,59,77
8:41,2634,Tahjere McCall Offensive Rebound.,59,77
8:39,-1,Foul on Latroy Strong.,59,77
8:39,2634,Tahjere McCall missed Free Throw.,59,77
8:39,2634,Tennessee St Deadball Team Rebound.,59,77
8:39,2634,Tahjere McCall missed Free Throw.,59,77
8:39,-1,Latroy Strong Defensive Rebound.,59,77
8:18,-1,Latroy Strong Turnover.,59,77
8:02,2634,Christian Mekowulu missed Jumper.,59,77
8:02,-1,Latroy Strong Defensive Rebound.,59,77
7:51,-1,Foul on Melvin Irvin.,59,77
7:51,-1,Melvin Irvin Turnover.,59,77
7:51,2634,Official TV Timeout,59,77
7:39,2634,Delano Spencer made Three Point Jumper. Assisted by Armani Chaney.,59,80
7:23,-1,Samuel Bunkley missed Three Point Jumper.,59,80
7:23,2634,Tahjere McCall Defensive Rebound.,59,80
7:02,-1,Foul on Nehemiah Jones.,59,80
7:02,2634,Tahjere McCall missed Free Throw.,59,80
7:02,2634,Tennessee St Deadball Team Rebound.,59,80
7:02,2634,Tahjere McCall made Free Throw.,59,81
6:42,-1,Latroy Strong missed Three Point Jumper.,59,81
6:42,2634,Tahjere McCall Defensive Rebound.,59,81
6:32,2634,Tahjere McCall missed Layup.,59,81
6:32,2634,Christian Mekowulu Offensive Rebound.,59,81
6:30,2634,Christian Mekowulu missed Jumper.,59,81
6:30,-1,Melvin Irvin Defensive Rebound.,59,81
6:22,-1,Dwight Sanders Turnover.,59,81
6:06,-1,Foul on Nehemiah Jones.,59,81
6:06,2634,Christian Mekowulu made Free Throw.,59,82
6:06,2634,Christian Mekowulu made Free Throw.,59,83
5:47,-1,Latroy Strong made Jumper. Assisted by Justin Bridges.,61,83
5:32,2634,Christian Mekowulu made Dunk. Assisted by Thomas Davis.,61,85
5:14,-1,Justin Bridges Turnover.,61,85
4:45,2634,Delano Spencer made Three Point Jumper. Assisted by Thomas Davis.,61,88
4:34,-1,Latroy Strong Turnover.,61,88
4:32,2634,Delano Spencer Steal.,61,88
4:23,2634,Delano Spencer Turnover.,61,88
4:22,-1,Nehemiah Jones Steal.,61,88
4:19,2634,Foul on Delano Spencer.,61,88
4:19,-1,Nehemiah Jones made Free Throw.,62,88
4:10,-1,Melvin Irvin missed Three Point Jumper.,62,88
4:10,-1,Scott Hundt Offensive Rebound.,62,88
4:05,2634,Thomas Davis made Layup.,62,90
4:02,-1,Nehemiah Jones missed Free Throw.,62,90
4:02,-1,Reinhardt Deadball Team Rebound.,62,90
3:58,2634,Jalen Duke missed Jumper.,62,90
3:58,2634,Khalill Spencer Offensive Rebound.,62,90
3:56,-1,Foul on Elijah Hirsh.,62,90
3:56,2634,Khalill Spencer missed Free Throw.,62,90
3:56,2634,Tennessee St Deadball Team Rebound.,62,90
3:56,2634,Khalill Spencer made Free Throw.,62,91
3:08,-1,Tyson Campbell missed Three Point Jumper.,62,91
3:08,2634,Thomas Davis Defensive Rebound.,62,91
2:46,2634,Samson Oyediran made Layup.,62,93
2:24,-1,Matt Misner Turnover.,62,93
2:23,2634,Khalill Spencer Steal.,62,93
2:17,2634,Jalen Duke made Jumper.,62,95
2:03,2634,Foul on Thomas Davis.,62,95
2:03,-1,Dwight Sanders missed Free Throw.,62,95
2:03,2634,Samson Oyediran Defensive Rebound.,62,95
1:49,-1,Foul on Brandon Hayes.,62,95
1:49,2634,Khalill Spencer missed Free Throw.,62,95
1:49,2634,Tennessee St Deadball Team Rebound.,62,95
1:49,2634,Khalill Spencer missed Free Throw.,62,95
1:49,-1,Matt Misner Defensive Rebound.,62,95
1:36,-1,Dwight Sanders missed Three Point Jumper.,62,95
1:36,2634,Samson Oyediran Defensive Rebound.,62,95
1:14,2634,Thomas Davis missed Layup.,62,95
1:14,2634,Samson Oyediran Offensive Rebound.,62,95
1:13,-1,Foul on Matt Misner.,62,95
1:13,2634,Samson Oyediran made Free Throw.,62,96
1:13,2634,Samson Oyediran missed Free Throw.,62,96
1:13,-1,Brandon Hayes Defensive Rebound.,62,96
1:03,-1,Tyson Campbell missed Three Point Jumper.,62,96
1:03,2634,Thomas Davis Defensive Rebound.,62,96
0:34,2634,Delano Spencer Turnover.,62,96
0:33,-1,Dwight Sanders Steal.,62,96
0:30,2634,Foul on Samson Oyediran.,62,96
0:30,-1,Dwight Sanders made Free Throw.,63,96
0:30,-1,Dwight Sanders made Free Throw.,64,96
0:00,2634,End of Game,64,96
