Georgia Southern,2515,Radford,290
11:28,290,Montae Glenn made Layup. Assisted by Devonte Boykins.,43,48
11:06,2515,Caleb Tanner missed Three Point Jumper.,43,48
11:06,290,Devonte Boykins Defensive Rebound.,43,48
10:51,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,46,48
10:35,2515,Christian Lutete made Three Point Jumper.,46,51
10:11,290,Tookie Brown missed Three Point Jumper.,46,51
10:11,290,Montae Glenn Offensive Rebound.,46,51
10:04,290,Montae Glenn made Jumper.,48,51
9:46,2515,Official TV Timeout,48,51
9:32,2515,Randy Phillips missed Layup.,48,51
9:32,2515,Ed Polite Jr. Offensive Rebound.,48,51
9:30,290,Foul on B.J. Gladden.,48,51
9:30,2515,Ed Polite Jr. missed Free Throw.,48,51
9:30,2515,Radford Deadball Team Rebound.,48,51
9:30,2515,Ed Polite Jr. made Free Throw.,48,52
9:11,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,51,52
8:39,2515,Christian Bradford missed Jumper.,51,52
8:39,290,Devonte Boykins Defensive Rebound.,51,52
8:31,290,Devonte Boykins made Three Point Jumper. Assisted by Tookie Brown.,54,52
8:10,2515,Donald Hicks missed Jumper.,54,52
8:10,2515,Christian Bradford Offensive Rebound.,54,52
8:02,2515,Christian Bradford Turnover.,54,52
7:45,290,Shawn O'Connell missed Layup.,54,52
7:45,290,Shawn O'Connell Offensive Rebound.,54,52
7:42,290,Shawn O'Connell made Layup.,56,52
7:31,290,Foul on Jake Allsmiller.,56,52
7:31,2515,Official TV Timeout,56,52
7:09,2515,Justin Cousin made Layup.,56,54
6:55,290,Tookie Brown Turnover.,56,54
6:41,2515,Justin Cousin missed Three Point Jumper.,56,54
6:41,2515,Ed Polite Jr. Offensive Rebound.,56,54
6:19,2515,Christian Bradford made Three Point Jumper. Assisted by Christian Lutete.,56,57
5:54,290,Tookie Brown made Jumper.,58,57
5:23,2515,Christian Bradford made Three Point Jumper.,58,60
5:03,290,Tookie Brown Turnover.,58,60
4:36,2515,Christian Bradford made Jumper.,58,62
4:20,290,Devonte Boykins missed Layup.,58,62
4:20,2515,Ed Polite Jr. Block.,58,62
4:19,290,Georgia Southern Offensive Rebound.,58,62
4:12,290,Jake Allsmiller made Three Point Jumper. Assisted by Devonte Boykins.,61,62
3:41,290,Foul on Ike Smith.,61,62
3:41,2515,Official TV Timeout,61,62
3:41,2515,Justin Cousin missed Free Throw.,61,62
3:41,2515,Radford Deadball Team Rebound.,61,62
3:41,2515,Justin Cousin made Free Throw.,61,63
3:27,290,Ike Smith made Jumper.,63,63
3:08,2515,Radford  Timeout,63,63
3:00,2515,Justin Cousin missed Three Point Jumper.,63,63
3:00,2515,Donald Hicks Offensive Rebound.,63,63
2:53,2515,Donald Hicks Turnover.,63,63
2:52,290,Montae Glenn Steal.,63,63
2:42,2515,Foul on Ed Polite Jr..,63,63
2:31,290,Mike Hughes missed Jumper.,63,63
2:31,2515,Justin Cousin Defensive Rebound.,63,63
2:03,290,Foul on Devonte Boykins.,63,63
2:03,2515,Christian Bradford missed Free Throw.,63,63
2:03,2515,Radford Deadball Team Rebound.,63,63
2:03,2515,Christian Bradford made Free Throw.,63,64
1:34,290,Mike Hughes missed Layup.,63,64
1:34,2515,Ed Polite Jr. Block.,63,64
1:32,2515,Ed Polite Jr. Defensive Rebound.,63,64
1:02,2515,Donald Hicks missed Jumper.,63,64
1:02,290,Shawn O'Connell Block.,63,64
1:02,2515,Radford  Turnover.,63,64
1:02,2515,Donald Hicks Offensive Rebound.,63,64
0:51,290,Tookie Brown made Layup.,65,64
0:27,2515,Justin Cousin missed Jumper.,65,64
0:27,2515,Ed Polite Jr. Offensive Rebound.,65,64
0:24,290,Georgia Southern  Timeout,65,64
0:02,2515,Ed Polite Jr. missed Three Point Jumper.,65,64
0:02,290,Mike Hughes Defensive Rebound.,65,64
0:00,2515,End of Game,65,64
