Life Pacific,Error,Southern Utah,253
10:29,253,Jacob Calloway made Layup.,10,33
10:18,-1,Juaquin Zavala Turnover.,10,33
10:10,253,Christian Musoko missed Jumper.,10,33
10:10,253,Jacob Calloway Offensive Rebound.,10,33
10:07,253,Jacob Calloway missed Jumper.,10,33
10:07,-1,Life Pacific Defensive Rebound.,10,33
9:30,-1,Juaquin Zavala made Three Point Jumper. Assisted by - Null.,13,33
9:21,253,Jacob Calloway missed Three Point Jumper.,13,33
9:21,253,Randy Onwuasor Offensive Rebound.,13,33
9:15,253,Randy Onwuasor made Layup.,13,35
9:01,-1,Edgardo Campos missed Jumper.,13,35
9:01,253,Randy Onwuasor Defensive Rebound.,13,35
8:52,253,Randy Onwuasor Turnover.,13,35
8:52,253,Foul on Randy Onwuasor.,13,35
8:43,-1,Juaquin Zavala missed Three Point Jumper.,13,35
8:43,253,Randy Onwuasor Defensive Rebound.,13,35
8:34,253,Ivan Madunic made Three Point Jumper. Assisted by Randy Onwuasor.,13,38
8:06,-1,Juaquin Zavala missed Three Point Jumper.,13,38
8:06,-1,Life Pacific Offensive Rebound.,13,38
7:57,-1,Mark Eden missed Three Point Jumper.,13,38
7:57,253,Randy Onwuasor Defensive Rebound.,13,38
7:57,253,Race Parsons missed Layup.,13,38
7:57,253,Southern Utah Offensive Rebound.,13,38
7:54,253,Race Parsons made Layup.,13,40
7:31,-1,James Noble missed Three Point Jumper.,13,40
7:31,253,John Marshall Defensive Rebound.,13,40
7:24,253,John Marshall made Layup.,13,42
7:11,-1,Edgardo Campos Turnover.,13,42
7:11,-1,Foul on Edgardo Campos.,13,42
6:47,-1,Foul on James Noble.,13,42
6:43,253,Christian Musoko made Free Throw.,13,43
6:40,253,Christian Musoko made Free Throw.,13,44
6:24,-1,Trent Rowser made Layup. Assisted by Blake Terry.,15,44
6:14,253,Randy Onwuasor missed Three Point Jumper.,15,44
6:14,-1,Trent Rowser Defensive Rebound.,15,44
6:03,-1,Juaquin Zavala missed Three Point Jumper.,15,44
6:03,253,Christian Musoko Defensive Rebound.,15,44
5:50,253,Race Parsons made Layup.,15,46
5:35,-1,Mark Eden Turnover.,15,46
5:32,-1,Foul on Blake Terry.,15,46
5:25,253,Randy Onwuasor made Free Throw.,15,47
5:20,253,Randy Onwuasor made Free Throw.,15,48
5:01,253,Foul on - Null.,15,48
5:01,-1,Hezekiah Banks missed Free Throw.,15,48
5:01,-1,Life Pacific Deadball Team Rebound.,15,48
5:01,-1,Hezekiah Banks made Free Throw.,16,48
4:57,-1,- Null missed Three Point Jumper.,16,48
4:57,253,- Null Defensive Rebound.,16,48
4:48,253,Brayden Holker missed Layup.,16,48
4:48,-1,Hezekiah Banks Block.,16,48
4:48,-1,Hezekiah Banks Offensive Rebound.,16,48
4:28,-1,Hezekiah Banks made Jumper.,18,48
4:25,253,Jacob Calloway missed Jumper.,18,48
4:25,-1,- Null Defensive Rebound.,18,48
4:16,253,Foul on Race Parsons.,18,48
4:15,253,Foul on - Null.,18,48
4:00,-1,- Null Turnover.,18,48
4:00,253,Race Parsons Steal.,18,48
4:00,253,Race Parsons Turnover.,18,48
3:53,-1,- Null missed Layup.,18,48
3:53,253,Race Parsons Defensive Rebound.,18,48
3:44,-1,Foul on - Null.,18,48
3:38,253,- Null made Free Throw.,18,49
3:13,253,- Null missed Free Throw.,18,49
3:13,-1,Hezekiah Banks Defensive Rebound.,18,49
3:03,-1,Blake Terry missed Three Point Jumper.,18,49
3:03,253,Brayden Holker Defensive Rebound.,18,49
2:59,253,- Null Turnover.,18,49
2:57,-1,- Null Steal.,18,49
2:51,-1,Trent Rowser missed Layup.,18,49
2:51,253,Jacob Calloway Defensive Rebound.,18,49
2:42,253,James McGee missed Three Point Jumper.,18,49
2:42,253,Jacob Calloway Offensive Rebound.,18,49
2:38,253,Jacob Calloway made Layup.,18,51
2:07,-1,- Null missed Layup.,18,51
2:07,253,Jacob Calloway Offensive Rebound.,18,51
1:58,-1,Foul on James Noble.,18,51
1:58,253,Race Parsons made Free Throw.,18,52
1:58,253,Race Parsons made Free Throw.,18,53
1:32,-1,- Null Turnover.,18,53
1:13,253,Ivan Madunic missed Layup.,18,53
1:13,-1,Hezekiah Banks Block.,18,53
1:13,-1,Hezekiah Banks Defensive Rebound.,18,53
1:05,253,Foul on James McGee.,18,53
1:05,-1,Blake Terry made Free Throw.,19,53
1:05,-1,Blake Terry made Free Throw.,20,53
1:05,-1,Blake Terry made Free Throw.,21,53
0:55,253,Race Parsons made Three Point Jumper. Assisted by Randy Onwuasor.,21,56
0:30,-1,Blake Terry missed Three Point Jumper.,21,56
0:30,253,Ivan Madunic Defensive Rebound.,21,56
0:23,253,Southern Utah  Timeout,21,56
0:00,253,Race Parsons missed Three Point Jumper.,21,56
0:00,253,Southern Utah Deadball Team Rebound.,21,56
0:00,253,End of 1st half,21,56
19:51,-1,Edgardo Campos missed Layup.,21,56
19:51,253,Ivan Madunic Block.,21,56
19:51,-1,Life Pacific Offensive Rebound.,21,56
19:40,-1,Edgardo Campos made Three Point Jumper. Assisted by - Null.,24,56
19:28,253,Randy Onwuasor Turnover.,24,56
19:21,-1,Edgardo Campos missed Three Point Jumper.,24,56
19:21,253,- Null Defensive Rebound.,24,56
19:13,253,Randy Onwuasor missed Layup.,24,56
19:13,253,Christian Musoko Offensive Rebound.,24,56
19:01,253,Christian Musoko made Two Point Tip Shot.,24,58
18:48,-1,Trent Rowser missed Three Point Jumper.,24,58
18:48,253,Randy Onwuasor Defensive Rebound.,24,58
18:37,253,Christian Musoko missed Jumper.,24,58
18:37,-1,Trent Rowser Defensive Rebound.,24,58
18:30,-1,Edgardo Campos made Jumper.,26,58
18:15,253,- Null missed Layup.,26,58
18:15,253,Race Parsons Offensive Rebound.,26,58
18:09,253,Ivan Madunic missed Three Point Jumper.,26,58
18:09,253,Race Parsons Offensive Rebound.,26,58
17:56,253,Ivan Madunic Turnover.,26,58
17:54,-1,Ramez Michail Steal.,26,58
17:46,-1,Blake Terry made Jumper. Assisted by Edgardo Campos.,28,58
17:27,253,Christian Musoko made Dunk. Assisted by Randy Onwuasor.,28,60
16:44,-1,- Null missed Three Point Jumper.,28,60
16:44,253,Brayden Holker Defensive Rebound.,28,60
16:43,253,Jacob Calloway missed Layup.,28,60
16:43,-1,Trent Rowser Defensive Rebound.,28,60
16:36,-1,Ramez Michail missed Jumper.,28,60
16:36,253,Jacob Calloway Defensive Rebound.,28,60
16:27,253,Jacob Calloway missed Three Point Jumper.,28,60
16:27,-1,Blake Terry Defensive Rebound.,28,60
16:14,-1,Blake Terry Turnover.,28,60
16:14,253,Randy Onwuasor Steal.,28,60
16:07,253,Brayden Holker Turnover.,28,60
16:04,253,Foul on Brayden Holker.,28,60
15:50,-1,Trent Rowser made Layup. Assisted by Blake Terry.,30,60
15:41,253,- Null made Layup.,30,62
15:20,-1,Trent Rowser missed Jumper.,30,62
15:20,253,- Null Defensive Rebound.,30,62
15:05,253,Brayden Holker missed Layup.,30,62
15:05,253,Jacob Calloway Offensive Rebound.,30,62
14:53,253,Jacob Calloway made Layup.,30,64
14:37,-1,Blake Terry missed Layup.,30,64
14:37,253,Jacob Calloway Defensive Rebound.,30,64
14:31,253,Brayden Holker missed Layup.,30,64
14:31,-1,Trent Rowser Defensive Rebound.,30,64
14:11,-1,Ramez Michail made Layup.,32,64
14:11,253,Foul on Brayden Holker.,32,64
14:11,253,Official TV Timeout,32,64
14:11,-1,Ramez Michail made Free Throw.,33,64
14:06,-1,Foul on Edgardo Campos.,33,64
14:03,253,Jacob Calloway made Free Throw.,33,65
14:00,253,Jacob Calloway made Free Throw.,33,66
13:45,-1,Edgardo Campos Turnover.,33,66
13:33,253,Ivan Madunic Turnover.,33,66
13:31,-1,- Null Steal.,33,66
13:28,-1,- Null made Layup.,35,66
13:19,-1,Foul on - Null.,35,66
13:07,253,James McGee made Three Point Jumper. Assisted by - Null.,35,69
12:48,-1,Edgardo Campos made Three Point Jumper.,38,69
12:25,253,- Null made Layup.,38,71
12:12,-1,Mark Eden made Layup.,40,71
11:51,253,Brayden Holker made Dunk. Assisted by Ivan Madunic.,40,73
11:43,253,Foul on James McGee.,40,73
11:43,253,Official TV Timeout,40,73
11:43,-1,Ramez Michail missed Three Point Jumper.,40,73
11:43,-1,Ramez Michail Offensive Rebound.,40,73
11:43,253,Foul on Brayden Holker.,40,73
11:37,-1,Edgardo Campos made Free Throw.,41,73
11:27,-1,Edgardo Campos made Free Throw.,42,73
11:27,253,Ivan Madunic Turnover.,42,73
11:27,-1,Edgardo Campos Steal.,42,73
11:27,-1,Juaquin Zavala missed Three Point Jumper.,42,73
11:27,253,- Null Defensive Rebound.,42,73
11:27,253,James McGee missed Three Point Jumper.,42,73
11:27,-1,Edgardo Campos Defensive Rebound.,42,73
11:16,-1,Edgardo Campos missed Three Point Jumper.,42,73
11:16,-1,Hezekiah Banks Defensive Rebound.,42,73
10:57,-1,Foul on Juaquin Zavala.,42,73
10:31,253,Christian Musoko missed Free Throw.,42,73
10:31,253,Southern Utah Deadball Team Rebound.,42,73
10:26,253,Christian Musoko made Free Throw.,42,74
10:21,-1,Trent Rowser missed Jumper.,42,74
10:21,253,James McGee Defensive Rebound.,42,74
10:13,253,James McGee missed Layup.,42,74
10:13,-1,Life Pacific Defensive Rebound.,42,74
9:39,253,Foul on Christian Musoko.,42,74
9:39,-1,Ramez Michail made Free Throw.,43,74
9:39,-1,Ramez Michail made Free Throw.,44,74
9:24,253,Race Parsons missed Jumper.,44,74
9:24,-1,Hezekiah Banks Defensive Rebound.,44,74
9:15,-1,Ramez Michail missed Three Point Jumper.,44,74
9:15,253,Race Parsons Defensive Rebound.,44,74
9:07,253,Christian Musoko made Dunk. Assisted by - Null.,44,76
8:49,-1,- Null Turnover.,44,76
8:47,253,- Null Steal.,44,76
8:42,-1,Foul on Trent Rowser.,44,76
8:42,253,- Null made Free Throw.,44,77
8:42,253,- Null made Free Throw.,44,78
8:33,253,Foul on - Null.,44,78
8:33,-1,Ramez Michail missed Layup.,44,78
8:33,253,Race Parsons Defensive Rebound.,44,78
8:25,-1,Foul on Hezekiah Banks.,44,78
8:25,253,- Null missed Three Point Jumper.,44,78
8:25,-1,Hezekiah Banks Defensive Rebound.,44,78
8:06,253,Foul on Race Parsons.,44,78
8:06,253,Official TV Timeout,44,78
8:06,-1,James Noble missed Free Throw.,44,78
8:06,253,Brayden Holker Defensive Rebound.,44,78
8:05,253,- Null made Layup.,44,80
7:55,-1,Foul on Ramez Michail.,44,80
7:52,253,- Null made Free Throw.,44,81
7:29,-1,Trent Rowser missed Jumper.,44,81
7:29,253,Ivan Madunic Block.,44,81
7:29,253,Ivan Madunic Defensive Rebound.,44,81
7:21,253,- Null missed Jumper.,44,81
7:21,-1,Hezekiah Banks Defensive Rebound.,44,81
6:56,253,Foul on Brayden Holker.,44,81
6:56,-1,Ramez Michail made Free Throw.,45,81
6:56,-1,Ramez Michail made Free Throw.,46,81
6:34,253,Ivan Madunic Turnover.,46,81
6:34,253,Foul on Ivan Madunic.,46,81
6:26,-1,Ramez Michail missed Jumper.,46,81
6:26,-1,Hezekiah Banks Offensive Rebound.,46,81
6:16,-1,Hezekiah Banks made Two Point Tip Shot.,48,81
6:09,253,Foul on Brayden Holker.,48,81
6:04,-1,Hezekiah Banks made Free Throw.,49,81
6:03,253,Jacob Calloway missed Three Point Jumper.,49,81
6:03,253,Jacob Calloway Offensive Rebound.,49,81
5:59,253,Jacob Calloway Turnover.,49,81
5:59,253,Foul on Jacob Calloway.,49,81
5:57,-1,Hezekiah Banks Turnover.,49,81
5:41,253,Christian Musoko missed Layup.,49,81
5:41,253,Jacob Calloway Offensive Rebound.,49,81
5:38,253,Jacob Calloway made Layup.,49,83
5:18,-1,- Null missed Three Point Jumper.,49,83
5:18,253,Jacob Calloway Defensive Rebound.,49,83
5:09,253,- Null missed Layup.,49,83
4:57,-1,Life Pacific Offensive Rebound.,49,83
4:52,253,Christian Musoko made Jumper.,49,85
4:48,253,- Null Turnover.,49,85
4:47,-1,Foul on Julian Guzman.,49,85
4:47,253,Christian Musoko made Free Throw.,49,86
4:47,253,Christian Musoko made Free Throw.,49,87
4:30,-1,Julian Guzman missed Three Point Jumper.,49,87
4:30,253,- Null Defensive Rebound.,49,87
4:15,253,Will Joyce made Layup.,49,89
4:02,-1,Ramez Michail Turnover.,49,89
4:00,253,- Null Steal.,49,89
3:56,253,James McGee missed Three Point Jumper.,49,89
3:56,253,Ivan Madunic Offensive Rebound.,49,89
3:48,253,Ivan Madunic made Layup.,49,91
3:36,-1,Trent Rowser missed Three Point Jumper.,49,91
3:36,253,- Null Defensive Rebound.,49,91
3:27,253,- Null missed Three Point Jumper.,49,91
3:27,253,Will Joyce Offensive Rebound.,49,91
3:19,253,Ivan Madunic made Layup.,49,93
2:51,-1,Ramez Michail made Layup.,51,93
2:37,253,Will Joyce missed Jumper.,51,93
2:37,253,Jacob Calloway Offensive Rebound.,51,93
2:32,253,Jacob Calloway made Layup.,51,95
2:11,-1,Edgardo Campos missed Three Point Jumper.,51,95
2:11,253,James McGee Defensive Rebound.,51,95
2:03,253,Jacob Calloway made Layup. Assisted by James McGee.,51,97
1:47,-1,Ramez Michail missed Three Point Jumper.,51,97
1:47,253,- Null Defensive Rebound.,51,97
1:41,253,Jacob Calloway made Layup.,51,99
1:21,-1,Julian Guzman made Three Point Jumper. Assisted by Edgardo Campos.,54,99
0:54,253,Jacob Calloway missed Jumper.,54,99
0:54,-1,Hezekiah Banks Defensive Rebound.,54,99
0:47,-1,- Null missed Layup.,54,99
0:47,253,James McGee Defensive Rebound.,54,99
0:23,253,Decardo Day made Layup.,54,101
0:16,-1,Hezekiah Banks made Layup. Assisted by Blake Terry.,56,101
0:10,253,Official TV Timeout,56,101
0:00,253,- Null missed Three Point Jumper.,56,101
0:00,253,Southern Utah Deadball Team Rebound.,56,101
0:00,253,End of 2nd half,56,101
