Toccoa Falls,Error,Charleston Southern,2127
6:32,-1,Kevin Cave missed Three Point Jumper.,42,86
6:32,2127,Christian Keeling Defensive Rebound.,42,86
6:23,2127,Armel Potter missed Three Point Jumper.,42,86
6:23,-1,Cameron Williams Defensive Rebound.,42,86
6:22,2127,Foul on Javis Howard.,42,86
6:22,-1,Cameron Williams missed Free Throw.,42,86
6:22,-1,Toccoa Falls Deadball Team Rebound.,42,86
6:22,-1,Cameron Williams made Free Throw.,43,86
6:17,2127,Patrick Wallace Turnover.,43,86
5:55,2127,Foul on Zach Durkee.,43,86
5:55,-1,Cameron Williams made Free Throw.,44,86
5:55,-1,Cameron Williams made Free Throw.,45,86
5:45,2127,TayVaughn Major Turnover.,45,86
5:44,-1,Daniel Fadool Steal.,45,86
5:24,2127,Foul on Antwan Maxwell.,45,86
5:24,-1,Cameron Williams made Free Throw.,46,86
5:24,-1,Cameron Williams missed Free Throw.,46,86
5:24,2127,Javis Howard Defensive Rebound.,46,86
5:10,2127,TayVaughn Major made Layup.,46,88
4:50,-1,Kevin Cave made Three Point Jumper. Assisted by Zach Barrett.,49,88
4:34,2127,TayVaughn Major Turnover.,49,88
4:32,-1,Cameron Williams Steal.,49,88
4:28,-1,Cameron Williams missed Three Point Jumper.,49,88
4:28,2127,TayVaughn Major Defensive Rebound.,49,88
4:20,2127,TayVaughn Major Turnover.,49,88
3:55,-1,Kevin Cave missed Three Point Jumper.,49,88
3:55,2127,Jordan Jones Defensive Rebound.,49,88
3:45,2127,Zach Durkee made Layup.,49,90
3:34,-1,Faizon Jackson missed Three Point Jumper.,49,90
3:34,2127,Charleston Southern Defensive Rebound.,49,90
3:30,2127,Official TV Timeout,49,90
3:16,2127,Antwan Maxwell missed Three Point Jumper.,49,90
3:16,-1,Faizon Jackson Defensive Rebound.,49,90
2:59,-1,Daniel Fadool missed Jumper.,49,90
2:59,2127,TayVaughn Major Defensive Rebound.,49,90
2:46,2127,Zach Durkee made Three Point Jumper. Assisted by Patrick Wallace.,49,93
2:26,-1,Kevin Cave Turnover.,49,93
2:09,2127,Zach Durkee Turnover.,49,93
1:56,-1,Zach Barrett Turnover.,49,93
1:55,2127,Brock Johnson Steal.,49,93
1:52,2127,Brock Johnson made Layup.,49,95
1:21,-1,Faizon Jackson made Jumper.,51,95
1:17,2127,Antwan Maxwell Turnover.,51,95
1:16,-1,Daniel Fadool Turnover.,51,95
1:15,2127,Antwan Maxwell Steal.,51,95
1:11,2127,Brock Johnson made Layup. Assisted by Antwan Maxwell.,51,97
1:02,-1,Jaylon Chefflin made Three Point Jumper. Assisted by Faizon Jackson.,54,97
0:52,2127,Zach Durkee made Layup. Assisted by Brock Johnson.,54,99
0:39,-1,Daniel Fadool Turnover.,54,99
0:39,2127,Jordan Jones Steal.,54,99
0:35,2127,TayVaughn Major made Jumper. Assisted by Brock Johnson.,54,101
0:07,-1,Jaylon Chefflin missed Three Point Jumper.,54,101
0:07,2127,Jordan Jones Defensive Rebound.,54,101
0:00,2127,End of Game,54,101
