Lipscomb,2132,Cincinnati,288
8:09,288,Foul on Kenny Cooper.,12,23
8:09,2132,Kevin Johnson made Free Throw.,12,24
8:09,2132,Kevin Johnson made Free Throw.,12,25
7:53,288,Kenny Cooper made Layup.,14,25
7:38,2132,Kevin Johnson missed Jumper.,14,25
7:38,2132,Kyle Washington Offensive Rebound.,14,25
7:35,2132,Kyle Washington missed Layup.,14,25
7:35,288,Garrison Mathews Defensive Rebound.,14,25
7:21,288,Rob Marberry made Jumper. Assisted by Kenny Cooper.,16,25
7:03,2132,Kyle Washington missed Jumper.,16,25
7:03,288,Kenny Cooper Defensive Rebound.,16,25
6:56,288,Nathan Moran made Three Point Jumper. Assisted by Kenny Cooper.,19,25
6:53,2132,Cincinnati  Timeout,19,25
6:53,2132,Official TV Timeout,19,25
6:30,2132,Kevin Johnson missed Three Point Jumper.,19,25
6:30,288,Eli Pepper Defensive Rebound.,19,25
6:19,288,Michael Buckland Turnover.,19,25
6:18,2132,Kevin Johnson Steal.,19,25
6:16,2132,Kevin Johnson made Layup.,19,27
5:50,2132,Foul on Nysier Brooks.,19,27
5:41,288,Eli Pepper missed Three Point Jumper.,19,27
5:41,288,Aaron Korn Offensive Rebound.,19,27
5:37,288,Aaron Korn made Layup.,21,27
5:19,2132,Tre Scott missed Jumper.,21,27
5:19,288,Eli Pepper Defensive Rebound.,21,27
5:11,288,Nathan Moran missed Three Point Jumper.,21,27
5:11,288,Josh Williams Offensive Rebound.,21,27
5:06,288,Josh Williams missed Layup.,21,27
5:06,2132,Tre Scott Block.,21,27
5:05,2132,Jacob Evans Defensive Rebound.,21,27
5:01,2132,Jacob Evans made Layup.,21,29
5:01,288,Foul on Aaron Korn.,21,29
5:01,2132,Jacob Evans made Free Throw.,21,30
4:47,288,Nathan Moran missed Three Point Jumper.,21,30
4:47,2132,Tre Scott Defensive Rebound.,21,30
4:36,2132,Jacob Evans missed Jumper.,21,30
4:36,288,Kenny Cooper Defensive Rebound.,21,30
4:26,288,George Brammeier missed Jumper.,21,30
4:26,2132,Tre Scott Block.,21,30
4:25,288,Lipscomb Offensive Rebound.,21,30
4:10,288,Kenny Cooper missed Three Point Jumper.,21,30
4:10,2132,Tre Scott Defensive Rebound.,21,30
4:02,2132,Jarron Cumberland missed Three Point Jumper.,21,30
4:02,2132,Tre Scott Offensive Rebound.,21,30
3:55,2132,Jarron Cumberland Turnover.,21,30
3:55,2132,Foul on Jarron Cumberland.,21,30
3:55,2132,Official TV Timeout,21,30
3:34,288,Josh Williams Turnover.,21,30
