Houston Baptist,269,Marquette,2277
8:31,269,Haanif Cheatham made Free Throw.,21,35
8:19,2277,Josh Ibarra missed Jumper.,21,35
8:19,269,Sam Hauser Defensive Rebound.,21,35
8:12,269,Haanif Cheatham missed Layup.,21,35
8:12,269,Luke Fischer Offensive Rebound.,21,35
8:09,269,Luke Fischer made Two Point Tip Shot.,21,37
7:54,2277,Asa Cantwell Turnover.,21,37
7:52,269,Sam Hauser Steal.,21,37
7:50,269,Haanif Cheatham made Layup. Assisted by Markus Howard.,21,39
7:32,2277,Asa Cantwell made Three Point Jumper. Assisted by Colter Lasher.,24,39
7:30,2277,Houston Baptist  Timeout,24,39
7:15,269,Luke Fischer made Jumper. Assisted by Haanif Cheatham.,24,41
6:58,2277,Josh Ibarra missed Jumper.,24,41
6:58,269,Sam Hauser Defensive Rebound.,24,41
6:50,269,Sam Hauser made Three Point Jumper. Assisted by Markus Howard.,24,44
6:30,2277,Josh Ibarra made Layup. Assisted by Asa Cantwell.,26,44
6:05,269,Markus Howard missed Three Point Jumper.,26,44
6:05,2277,Reveal Chukwujekwu Defensive Rebound.,26,44
5:59,2277,Reveal Chukwujekwu Turnover.,26,44
5:59,269,Duane Wilson Steal.,26,44
5:59,2277,Foul on Reveal Chukwujekwu.,26,44
5:49,269,Markus Howard Turnover.,26,44
5:28,2277,Jalon Gates missed Three Point Jumper.,26,44
5:28,269,Luke Fischer Defensive Rebound.,26,44
5:18,269,Jajuan Johnson made Three Point Jumper. Assisted by Duane Wilson.,26,47
5:06,269,Foul on Luke Fischer.,26,47
4:55,269,Foul on Katin Reinhardt.,26,47
4:42,2277,Jalon Gates missed Jumper.,26,47
4:42,269,Jajuan Johnson Block.,26,47
4:42,2277,Houston Baptist Offensive Rebound.,26,47
4:29,2277,Colter Lasher missed Jumper.,26,47
4:29,269,Matt Heldt Block.,26,47
4:26,269,Duane Wilson Defensive Rebound.,26,47
4:22,269,Jajuan Johnson made Jumper. Assisted by Duane Wilson.,26,49
4:06,2277,Reveal Chukwujekwu missed Jumper.,26,49
4:06,269,Katin Reinhardt Defensive Rebound.,26,49
3:51,269,Katin Reinhardt missed Three Point Jumper.,26,49
3:51,269,Jajuan Johnson Offensive Rebound.,26,49
3:32,269,Katin Reinhardt made Jumper. Assisted by Traci Carter.,26,51
3:11,269,Foul on Traci Carter.,26,51
3:11,269,Official TV Timeout,26,51
3:11,2277,Braxton Bonds made Free Throw.,27,51
3:11,2277,Braxton Bonds made Free Throw.,28,51
3:01,269,Andrew Rowsey missed Three Point Jumper.,28,51
3:01,269,Katin Reinhardt Offensive Rebound.,28,51
2:53,269,Katin Reinhardt Turnover.,28,51
2:43,2277,Colter Lasher Turnover.,28,51
2:29,269,Traci Carter missed Jumper.,28,51
2:29,2277,Colter Lasher Defensive Rebound.,28,51
2:15,269,Foul on Luke Fischer.,28,51
2:12,2277,Colter Lasher missed Jumper.,28,51
2:12,269,Sam Hauser Defensive Rebound.,28,51
2:05,269,Jajuan Johnson missed Three Point Jumper.,28,51
2:05,2277,Colter Lasher Defensive Rebound.,28,51
1:52,2277,Jalon Gates missed Three Point Jumper.,28,51
1:52,269,Jajuan Johnson Defensive Rebound.,28,51
1:46,269,Andrew Rowsey Turnover.,28,51
1:45,2277,Colter Lasher Steal.,28,51
1:44,2277,Braxton Bonds made Layup. Assisted by Colter Lasher.,30,51
1:43,269,Marquette  Timeout,30,51
1:19,269,Markus Howard made Three Point Jumper. Assisted by Duane Wilson.,30,54
1:08,269,Foul on Duane Wilson.,30,54
1:08,2277,William Gates Jr. made Free Throw.,31,54
1:08,2277,William Gates Jr. missed Free Throw.,31,54
1:08,269,Haanif Cheatham Defensive Rebound.,31,54
0:39,269,Duane Wilson made Dunk.,31,56
0:26,2277,Jalon Gates missed Three Point Jumper.,31,56
0:26,2277,Colter Lasher Offensive Rebound.,31,56
0:25,269,Foul on Duane Wilson.,31,56
0:25,2277,Colter Lasher made Free Throw.,32,56
0:25,2277,Colter Lasher made Free Throw.,33,56
0:10,269,Haanif Cheatham Turnover.,33,56
0:00,2277,William Gates Jr. missed Three Point Jumper.,33,56
0:00,269,Haanif Cheatham Defensive Rebound.,33,56
0:00,269,End of 1st half,33,56
19:44,269,Foul on Haanif Cheatham.,33,56
19:44,269,Markus Howard Steal.,33,56
19:43,269,Haanif Cheatham made Layup. Assisted by Sam Hauser.,33,58
19:40,2277,Asa Cantwell Turnover.,33,58
19:22,2277,Asa Cantwell made Three Point Jumper. Assisted by Braxton Bonds.,36,58
19:15,2277,Foul on Josh Ibarra.,36,58
19:15,269,Luke Fischer made Free Throw.,36,59
19:15,269,Luke Fischer missed Free Throw.,36,59
19:15,2277,Josh Ibarra Defensive Rebound.,36,59
18:55,2277,Asa Cantwell missed Three Point Jumper.,36,59
18:55,2277,Reveal Chukwujekwu Offensive Rebound.,36,59
18:55,2277,Reveal Chukwujekwu made Two Point Tip Shot.,38,59
18:41,269,Duane Wilson missed Three Point Jumper.,38,59
18:41,2277,Reveal Chukwujekwu Defensive Rebound.,38,59
18:35,2277,Braxton Bonds missed Layup.,38,59
18:35,2277,Reveal Chukwujekwu Offensive Rebound.,38,59
18:31,2277,Reveal Chukwujekwu missed Two Point Tip Shot.,38,59
18:31,269,Luke Fischer Defensive Rebound.,38,59
18:19,269,Markus Howard Turnover.,38,59
18:18,2277,Josh Ibarra Steal.,38,59
18:13,2277,Braxton Bonds missed Layup.,38,59
18:13,269,Duane Wilson Block.,38,59
18:11,2277,Asa Cantwell Offensive Rebound.,38,59
17:58,2277,Colter Lasher missed Jumper.,38,59
17:58,269,Sam Hauser Defensive Rebound.,38,59
17:43,269,Markus Howard missed Three Point Jumper.,38,59
17:43,2277,Braxton Bonds Defensive Rebound.,38,59
17:27,2277,Colter Lasher made Three Point Jumper.,41,59
17:11,269,Luke Fischer made Jumper. Assisted by Duane Wilson.,41,61
16:56,2277,Reveal Chukwujekwu Turnover.,41,61
16:55,269,Markus Howard Steal.,41,61
16:50,269,Haanif Cheatham made Three Point Jumper. Assisted by Markus Howard.,41,64
16:27,2277,Josh Ibarra made Jumper. Assisted by Colter Lasher.,43,64
16:06,269,Haanif Cheatham made Layup.,43,66
15:47,2277,Josh Ibarra missed Jumper.,43,66
15:47,269,Markus Howard Defensive Rebound.,43,66
15:41,269,Duane Wilson missed Layup.,43,66
15:40,2277,Houston Baptist Deadball Team Rebound.,43,66
15:39,269,Foul on Sam Hauser.,43,66
15:39,269,Official TV Timeout,43,66
15:29,2277,Cody Stetler missed Jumper.,43,66
15:29,269,Matt Heldt Defensive Rebound.,43,66
15:14,269,Haanif Cheatham made Three Point Jumper. Assisted by Jajuan Johnson.,43,69
14:41,2277,Alex Fountain made Jumper. Assisted by Asa Cantwell.,45,69
14:30,269,Jajuan Johnson made Jumper.,45,71
14:03,2277,Asa Cantwell made Three Point Jumper. Assisted by Braxton Bonds.,48,71
13:47,269,Traci Carter made Three Point Jumper. Assisted by Haanif Cheatham.,48,74
13:33,269,Foul on Katin Reinhardt.,48,74
13:29,2277,Braxton Bonds made Jumper. Assisted by Alex Fountain.,50,74
13:11,269,Haanif Cheatham missed Jumper.,50,74
13:11,2277,Reveal Chukwujekwu Defensive Rebound.,50,74
13:05,2277,Reveal Chukwujekwu Turnover.,50,74
12:57,269,Sam Hauser missed Three Point Jumper.,50,74
12:57,2277,Braxton Bonds Defensive Rebound.,50,74
12:48,2277,Braxton Bonds missed Layup.,50,74
12:48,2277,Cody Stetler Offensive Rebound.,50,74
12:45,2277,Cody Stetler made Two Point Tip Shot.,52,74
12:39,2277,Foul on Braxton Bonds.,52,74
12:34,269,Katin Reinhardt missed Three Point Jumper.,52,74
12:34,2277,Alex Fountain Defensive Rebound.,52,74
12:08,2277,Jalen Weber missed Jumper.,52,74
12:08,269,Sam Hauser Defensive Rebound.,52,74
11:54,269,Matt Heldt missed Jumper.,52,74
11:54,2277,Reveal Chukwujekwu Defensive Rebound.,52,74
