Florida A&amp;M,2390,Miami,50
15:37,50,Marcus Barham made Three Point Jumper. Assisted by Craig Bowman.,31,53
15:16,2390,Official TV Timeout,31,53
15:06,2390,Chris Lykes made Three Point Jumper.,31,56
14:54,2390,Foul on Chris Lykes.,31,56
14:45,50,Brendon Myles missed Jumper.,31,56
14:45,50,Florida A&M Offensive Rebound.,31,56
14:35,2390,Foul on Bruce Brown Jr..,31,56
14:34,50,Kamron Reaves Turnover.,31,56
14:33,2390,Dewan Huell Steal.,31,56
14:32,2390,Dewan Huell made Dunk.,31,58
14:05,50,Brendon Myles missed Jumper.,31,58
14:05,2390,Dewan Huell Defensive Rebound.,31,58
13:56,2390,Bruce Brown Jr. made Three Point Jumper.,31,61
13:45,50,Kamron Reaves Turnover.,31,61
13:34,2390,Ja'Quan Newton made Layup.,31,63
13:19,50,Brendon Myles Turnover.,31,63
13:04,2390,Anthony Lawrence II made Three Point Jumper.,31,66
12:54,50,Florida A&M  Timeout,31,66
12:54,2390,Official TV Timeout,31,66
12:50,50,Marcus Barham made Three Point Jumper. Assisted by Desmond Williams.,34,66
12:28,50,Foul on Isaiah Martin.,34,66
12:19,2390,Chris Lykes made Three Point Jumper.,34,69
11:52,50,Craig Bowman made Jumper.,36,69
11:41,2390,Chris Lykes Turnover.,36,69
11:40,50,Craig Bowman Steal.,36,69
11:38,50,Craig Bowman made Layup.,38,69
11:23,2390,Ja'Quan Newton Turnover.,38,69
11:22,50,Craig Bowman Steal.,38,69
11:19,50,Desmond Williams made Layup.,40,69
11:15,2390,Miami  Timeout,40,69
11:15,2390,Official TV Timeout,40,69
11:05,2390,Anthony Lawrence II missed Three Point Jumper.,40,69
11:05,50,Craig Bowman Defensive Rebound.,40,69
10:44,50,Craig Bowman Turnover.,40,69
10:43,2390,Dejan Vasiljevic Steal.,40,69
10:41,2390,Dejan Vasiljevic made Layup.,40,71
10:23,50,Marcus Barham missed Jumper.,40,71
10:23,50,Isaiah Martin Offensive Rebound.,40,71
10:19,50,Isaiah Martin missed Two Point Tip Shot.,40,71
10:19,2390,Rodney Miller Defensive Rebound.,40,71
10:13,2390,Dejan Vasiljevic made Jumper. Assisted by Ja'Quan Newton.,40,73
9:43,50,Nasir Core made Layup.,42,73
9:24,50,Foul on Desmond Williams.,42,73
9:24,2390,Anthony Lawrence II missed Free Throw.,42,73
9:24,2390,Miami Deadball Team Rebound.,42,73
9:24,2390,Anthony Lawrence II missed Free Throw.,42,73
9:24,50,Florida A&M Defensive Rebound.,42,73
9:12,50,Javonni Harrell made Layup. Assisted by Nasir Core.,44,73
8:49,2390,Chris Lykes missed Three Point Jumper.,44,73
8:49,50,Florida A&M Defensive Rebound.,44,73
8:17,50,Desmond Williams missed Three Point Jumper.,44,73
8:17,2390,Bruce Brown Jr. Defensive Rebound.,44,73
8:10,2390,Dejan Vasiljevic missed Three Point Jumper.,44,73
8:10,50,Javonni Harrell Defensive Rebound.,44,73
7:58,50,Desmond Williams missed Layup.,44,73
7:58,2390,Dejan Vasiljevic Block.,44,73
7:57,2390,Bruce Brown Jr. Defensive Rebound.,44,73
7:52,50,Foul on Marcus Barham.,44,73
7:52,2390,Official TV Timeout,44,73
7:52,2390,Ja'Quan Newton missed Free Throw.,44,73
7:52,2390,Miami Deadball Team Rebound.,44,73
7:52,2390,Ja'Quan Newton made Free Throw.,44,74
7:21,50,Nasir Core made Layup.,46,74
6:56,2390,Dewan Huell made Layup. Assisted by Bruce Brown Jr..,46,76
6:35,50,Craig Bowman missed Three Point Jumper.,46,76
6:35,2390,Bruce Brown Jr. Defensive Rebound.,46,76
6:29,2390,Bruce Brown Jr. Turnover.,46,76
6:28,50,Javonni Harrell Steal.,46,76
6:26,50,Desmond Williams made Layup. Assisted by Javonni Harrell.,48,76
6:11,50,Foul on Nasir Core.,48,76
6:11,2390,Bruce Brown Jr. missed Free Throw.,48,76
6:11,2390,Miami Deadball Team Rebound.,48,76
6:11,2390,Bruce Brown Jr. missed Free Throw.,48,76
6:11,2390,Bruce Brown Jr. Offensive Rebound.,48,76
5:46,2390,Ja'Quan Newton made Jumper.,48,78
5:20,50,Justin Ravenel missed Jumper.,48,78
5:20,2390,Miami Defensive Rebound.,48,78
4:51,2390,Ebuka Izundu made Layup. Assisted by Bruce Brown Jr..,48,80
4:38,50,Florida A&M  Timeout,48,80
4:28,50,Desmond Williams missed Layup.,48,80
4:28,2390,Dewan Huell Block.,48,80
4:27,50,Javonni Harrell Offensive Rebound.,48,80
4:26,50,Javonni Harrell missed Layup.,48,80
4:26,2390,Ebuka Izundu Defensive Rebound.,48,80
4:20,2390,Bruce Brown Jr. missed Three Point Jumper.,48,80
4:20,2390,Ebuka Izundu Offensive Rebound.,48,80
4:09,50,Foul on Javonni Harrell.,48,80
4:09,2390,Ebuka Izundu missed Free Throw.,48,80
4:09,50,Nasir Core Defensive Rebound.,48,80
3:51,50,Justin Ravenel missed Jumper.,48,80
3:51,2390,Dewan Huell Defensive Rebound.,48,80
3:44,50,Foul on Nasir Core.,48,80
3:44,2390,Official TV Timeout,48,80
3:44,2390,Ja'Quan Newton made Free Throw.,48,81
3:44,2390,Ja'Quan Newton made Free Throw.,48,82
3:19,50,Isaiah Martin made Layup. Assisted by Desmond Williams.,50,82
3:00,50,Foul on Justin Ravenel.,50,82
2:59,2390,Miami Deadball Team Rebound.,50,82
2:59,2390,Anthony Lawrence II missed Free Throw.,50,82
2:59,2390,Anthony Lawrence II missed Free Throw.,50,82
2:59,50,Florida A&M Defensive Rebound.,50,82
2:44,2390,Foul on Anthony Lawrence II.,50,82
2:44,50,Isaiah Martin made Free Throw.,51,82
2:44,50,Isaiah Martin made Free Throw.,52,82
2:34,2390,Ebuka Izundu missed Layup.,52,82
2:34,2390,Ebuka Izundu Offensive Rebound.,52,82
2:20,2390,Chris Lykes made Three Point Jumper. Assisted by Dejan Vasiljevic.,52,85
1:53,50,Kamron Reaves missed Three Point Jumper.,52,85
1:53,2390,Chris Lykes Defensive Rebound.,52,85
1:45,2390,Anthony Lawrence II made Three Point Jumper. Assisted by Chris Lykes.,52,88
1:33,2390,Foul on Dejan Vasiljevic.,52,88
1:21,50,Marcus Barham made Three Point Jumper. Assisted by Justin Ravenel.,55,88
1:10,2390,Chris Stowell missed Three Point Jumper.,55,88
1:10,50,Kamron Reaves Defensive Rebound.,55,88
0:59,50,Marcus Barham missed Three Point Jumper.,55,88
0:46,50,Isaiah Martin Offensive Rebound.,55,88
0:44,50,Isaiah Martin made Layup.,57,88
0:37,2390,Rodney Miller made Dunk. Assisted by Chris Lykes.,57,90
0:23,50,Desmond Williams missed Jumper.,57,90
0:23,2390,Anthony Lawrence II Defensive Rebound.,57,90
0:02,2390,Miami  Turnover.,57,90
0:01,50,Isaiah Martin made Dunk. Assisted by Desmond Williams.,59,90
0:00,2390,End of Game,59,90
