Brewton-Parker,Error,Troy,2653
3:08,-1,Isaiah Hicks made Three Point Jumper.,38,38
2:54,2653,Alex Hicks missed Layup.,38,38
2:54,-1,Devon White Defensive Rebound.,38,38
2:49,-1,Devon White Turnover.,38,38
2:49,2653,Kevin Baker Steal.,38,38
2:34,2653,Jordon Varnado made Layup.,38,40
2:04,-1,Isaiah Hicks missed Jumper.,38,40
2:04,2653,Jordon Varnado Defensive Rebound.,38,40
1:54,-1,Foul on Leondre Christie.,38,40
1:54,2653,Jordon Varnado made Free Throw.,38,41
1:54,2653,Jordon Varnado made Free Throw.,38,42
1:36,-1,Myles White made Jumper. Assisted by Dimychael Ross.,40,42
1:28,2653,Darian Adams missed Three Point Jumper.,40,42
1:28,2653,B.J. Miller Offensive Rebound.,40,42
1:23,2653,B.J. Miller made Layup.,40,44
1:10,-1,Myles White Turnover.,40,44
1:08,2653,B.J. Miller Steal.,40,44
1:02,2653,Javan Johnson made Dunk. Assisted by B.J. Miller.,40,46
0:36,-1,Myles White made Three Point Jumper. Assisted by Devon White.,43,46
0:30,2653,Troy  Timeout,43,46
0:06,2653,B.J. Miller Turnover.,43,46
0:00,-1,Dimychael Ross missed Three Point Jumper.,43,46
0:00,2653,Troy Deadball Team Rebound.,43,46
0:00,2653,End of 1st half,43,46
19:51,2653,Jordon Varnado made Layup. Assisted by Kevin Baker.,43,48
19:25,-1,Isaiah Hicks missed Layup.,43,48
19:25,-1,Leondre Christie Offensive Rebound.,43,48
19:24,-1,Leondre Christie made Layup.,45,48
19:10,2653,Javan Johnson made Three Point Jumper. Assisted by Wesley Person.,45,51
19:00,-1,Isaiah Hicks missed Three Point Jumper.,45,51
19:00,-1,Leondre Christie Offensive Rebound.,45,51
18:58,2653,Foul on Wesley Person.,45,51
18:53,-1,Myles White missed Three Point Jumper.,45,51
18:53,2653,Javan Johnson Defensive Rebound.,45,51
18:36,2653,Jordon Varnado Turnover.,45,51
18:36,2653,Foul on Jordon Varnado.,45,51
18:26,-1,Leondre Christie missed Three Point Jumper.,45,51
18:26,2653,Shawn Hopkins Defensive Rebound.,45,51
18:16,-1,Foul on Dimychael Ross.,45,51
18:07,2653,Wesley Person made Three Point Jumper. Assisted by Jordon Varnado.,45,54
17:53,-1,Leondre Christie made Layup.,47,54
17:30,2653,Kevin Baker missed Jumper.,47,54
17:30,-1,Dimychael Ross Defensive Rebound.,47,54
17:19,-1,Isaiah Hicks missed Three Point Jumper.,47,54
17:19,2653,Javan Johnson Defensive Rebound.,47,54
16:59,-1,Foul on Myles White.,47,54
16:54,2653,Jordon Varnado made Jumper. Assisted by Kevin Baker.,47,56
16:39,-1,Leondre Christie made Jumper.,49,56
16:28,2653,Wesley Person made Layup.,49,58
16:16,-1,Myles White Turnover.,49,58
16:16,-1,Foul on Myles White.,49,58
16:07,2653,Kevin Baker Turnover.,49,58
15:51,-1,Leondre Christie missed Jumper.,49,58
15:51,2653,Jordon Varnado Defensive Rebound.,49,58
15:43,-1,Foul on Leondre Christie.,49,58
15:43,2653,Official TV Timeout,49,58
15:39,2653,Kevin Baker missed Three Point Jumper.,49,58
15:39,2653,Darian Adams Offensive Rebound.,49,58
15:32,2653,Javan Johnson missed Three Point Jumper.,49,58
15:32,-1,Leondre Christie Defensive Rebound.,49,58
15:22,-1,Michael Volley missed Three Point Jumper.,49,58
15:22,2653,Darian Adams Defensive Rebound.,49,58
15:14,2653,Wesley Person made Three Point Jumper.,49,61
14:58,-1,Dimychael Ross missed Three Point Jumper.,49,61
14:58,2653,Troy Defensive Rebound.,49,61
14:40,2653,Wesley Person missed Three Point Jumper.,49,61
14:40,-1,Michael Volley Defensive Rebound.,49,61
14:29,2653,Foul on Kevin Baker.,49,61
14:29,-1,Brewton-Parker  Timeout,49,61
14:19,2653,Foul on Kevin Baker.,49,61
14:02,-1,Dimychael Ross missed Layup.,49,61
14:02,2653,Javan Johnson Block.,49,61
14:00,2653,Darian Adams Defensive Rebound.,49,61
13:56,2653,Wesley Person Turnover.,49,61
13:55,-1,Myles White Steal.,49,61
13:50,-1,Joseph Williams missed Layup.,49,61
13:50,2653,Darian Adams Defensive Rebound.,49,61
13:41,2653,B.J. Miller missed Layup.,49,61
13:41,2653,Javan Johnson Offensive Rebound.,49,61
13:34,2653,Wesley Person made Layup.,49,63
13:26,2653,Foul on B.J. Miller.,49,63
13:19,-1,Leondre Christie made Three Point Jumper.,52,63
12:50,2653,Jordon Varnado missed Layup.,52,63
12:50,2653,Javan Johnson Offensive Rebound.,52,63
12:47,2653,Javan Johnson missed Layup.,52,63
12:47,2653,Darian Adams Offensive Rebound.,52,63
12:45,2653,Darian Adams made Two Point Tip Shot.,52,65
12:40,-1,Dimychael Ross missed Layup.,52,65
12:40,2653,Darian Adams Block.,52,65
12:39,2653,B.J. Miller Defensive Rebound.,52,65
12:32,-1,Foul on Dimychael Ross.,52,65
12:32,2653,Darian Adams made Free Throw.,52,66
12:32,2653,Darian Adams made Free Throw.,52,67
12:20,-1,Dimychael Ross made Jumper.,54,67
12:04,2653,Jordon Varnado missed Jumper.,54,67
12:04,-1,Brewton-Parker Defensive Rebound.,54,67
11:44,-1,Dimychael Ross missed Jumper.,54,67
11:44,2653,Alex Hicks Defensive Rebound.,54,67
11:32,2653,Javan Johnson missed Jumper.,54,67
11:32,2653,Darian Adams Offensive Rebound.,54,67
11:26,2653,Shawn Hopkins made Dunk. Assisted by Darian Adams.,54,69
11:10,2653,Foul on Javan Johnson.,54,69
11:10,2653,Official TV Timeout,54,69
11:08,-1,Devon White Turnover.,54,69
11:07,2653,B.J. Miller Steal.,54,69
11:05,2653,B.J. Miller made Layup.,54,71
10:44,-1,Isaiah Hicks missed Layup.,54,71
10:44,2653,Darian Adams Defensive Rebound.,54,71
10:38,2653,Shawn Hopkins made Three Point Jumper. Assisted by Darian Adams.,54,74
10:23,-1,Isaiah Hicks missed Three Point Jumper.,54,74
10:23,-1,Devon White Offensive Rebound.,54,74
10:19,-1,Devon White missed Layup.,54,74
10:19,2653,Shawn Hopkins Block.,54,74
10:15,2653,Darian Adams Defensive Rebound.,54,74
10:13,-1,Foul on Devon White.,54,74
10:04,2653,B.J. Miller missed Jumper.,54,74
10:04,-1,Leondre Christie Defensive Rebound.,54,74
9:54,-1,Leondre Christie made Jumper.,56,74
9:41,2653,Alex Hicks made Layup.,56,76
9:24,-1,Gary Clemons made Layup.,58,76
9:13,-1,Foul on Isaiah Hicks.,58,76
9:13,2653,Alex Hicks made Free Throw.,58,77
9:13,2653,Alex Hicks made Free Throw.,58,78
9:09,-1,Isaiah Hicks missed Three Point Jumper.,58,78
9:09,-1,Leondre Christie Offensive Rebound.,58,78
9:05,-1,Myles White missed Three Point Jumper.,58,78
9:05,-1,Isaiah Hicks Offensive Rebound.,58,78
8:54,-1,Gary Clemons missed Layup.,58,78
8:54,2653,Troy Defensive Rebound.,58,78
8:34,-1,Foul on Gary Clemons.,58,78
8:34,2653,B.J. Miller made Free Throw.,58,79
8:34,2653,B.J. Miller missed Free Throw.,58,79
8:34,2653,Alex Hicks Offensive Rebound.,58,79
8:33,2653,Alex Hicks made Dunk.,58,81
8:33,-1,Foul on Myles White.,58,81
8:33,2653,Alex Hicks made Free Throw.,58,82
8:27,-1,Michael Volley missed Layup.,58,82
8:27,2653,Shawn Hopkins Defensive Rebound.,58,82
8:21,2653,Malik Burnett missed Three Point Jumper.,58,82
8:21,-1,Gary Clemons Defensive Rebound.,58,82
8:10,2653,Foul on B.J. Miller.,58,82
8:10,-1,Leondre Christie made Free Throw.,59,82
8:10,-1,Leondre Christie made Free Throw.,60,82
7:48,2653,Shawn Hopkins missed Three Point Jumper.,60,82
7:48,-1,Isaiah Hicks Defensive Rebound.,60,82
7:29,-1,Isaiah Hicks made Three Point Jumper. Assisted by Dimychael Ross.,63,82
7:12,2653,Shawn Hopkins missed Layup.,63,82
7:12,2653,Alex Hicks Offensive Rebound.,63,82
7:10,2653,Alex Hicks made Layup.,63,84
7:00,-1,Dimychael Ross missed Three Point Jumper.,63,84
7:00,2653,Javan Johnson Defensive Rebound.,63,84
6:56,-1,Foul on Dimychael Ross.,63,84
6:56,2653,Official TV Timeout,63,84
6:56,2653,Javan Johnson made Free Throw.,63,85
6:56,2653,Javan Johnson missed Free Throw.,63,85
6:56,-1,Gary Clemons Defensive Rebound.,63,85
6:49,2653,Foul on Shawn Hopkins.,63,85
6:49,-1,Gary Clemons missed Free Throw.,63,85
6:49,2653,Alex Hicks Defensive Rebound.,63,85
6:33,2653,Javan Johnson missed Layup.,63,85
6:33,-1,William Lambert Defensive Rebound.,63,85
6:20,-1,Gary Clemons missed Jumper.,63,85
6:20,2653,Malik Burnett Defensive Rebound.,63,85
6:16,-1,Foul on Leondre Christie.,63,85
6:16,2653,Malik Burnett missed Free Throw.,63,85
6:16,2653,Troy Deadball Team Rebound.,63,85
6:16,2653,Malik Burnett missed Free Throw.,63,85
6:16,-1,Isaiah Hicks Defensive Rebound.,63,85
6:16,2653,Foul on Shawn Hopkins.,63,85
6:16,-1,Isaiah Hicks made Free Throw.,64,85
6:16,-1,Isaiah Hicks made Free Throw.,65,85
6:02,2653,Alex Hicks made Three Point Jumper. Assisted by B.J. Miller.,65,88
5:48,-1,Isaiah Hicks missed Three Point Jumper.,65,88
5:48,2653,Malik Burnett Defensive Rebound.,65,88
5:39,2653,Malik Burnett made Layup.,65,90
5:39,-1,Foul on Jacob Walls.,65,90
5:39,2653,Malik Burnett missed Free Throw.,65,90
5:39,2653,Javan Johnson Offensive Rebound.,65,90
5:25,-1,Foul on William Lambert.,65,90
5:25,2653,Alex Hicks missed Free Throw.,65,90
5:25,2653,Troy Deadball Team Rebound.,65,90
5:25,2653,Alex Hicks made Free Throw.,65,91
5:15,-1,Joseph Williams missed Jumper.,65,91
5:15,-1,Gary Clemons Offensive Rebound.,65,91
5:05,2653,Foul on Javan Johnson.,65,91
5:05,-1,Joseph Williams made Free Throw.,66,91
5:05,-1,Joseph Williams missed Free Throw.,66,91
5:05,2653,Alex Hicks Defensive Rebound.,66,91
5:05,-1,Foul on William Lambert.,66,91
5:05,2653,Alex Hicks made Free Throw.,66,92
5:05,2653,Alex Hicks made Free Throw.,66,93
4:59,-1,Jacob Walls missed Three Point Jumper.,66,93
4:59,2653,Shawn Hopkins Defensive Rebound.,66,93
4:36,2653,Shawn Hopkins made Jumper.,66,95
4:06,-1,William Lambert missed Layup.,66,95
4:06,2653,Alex Hicks Block.,66,95
4:05,-1,Brewton-Parker Offensive Rebound.,66,95
4:02,-1,Gary Clemons missed Jumper.,66,95
4:02,2653,Malik Burnett Defensive Rebound.,66,95
3:53,2653,Alex Hicks made Dunk. Assisted by Malik Burnett.,66,97
3:37,-1,Joseph Williams missed Jumper.,66,97
3:37,2653,Alex Hicks Defensive Rebound.,66,97
3:26,2653,Javan Johnson made Three Point Jumper. Assisted by Malik Burnett.,66,100
3:15,-1,Jacob Walls missed Three Point Jumper.,66,100
3:15,-1,William Lambert Offensive Rebound.,66,100
3:09,2653,Foul on Alex Hicks.,66,100
3:09,2653,Official TV Timeout,66,100
3:09,-1,William Lambert missed Free Throw.,66,100
3:09,-1,Brewton-Parker Deadball Team Rebound.,66,100
3:09,-1,William Lambert missed Free Throw.,66,100
3:09,2653,Javan Johnson Defensive Rebound.,66,100
2:57,2653,Malik Burnett missed Three Point Jumper.,66,100
2:57,-1,Jeremiah Jordan Defensive Rebound.,66,100
2:44,-1,Jeremiah Jordan missed Three Point Jumper.,66,100
2:44,2653,Javan Johnson Defensive Rebound.,66,100
2:32,2653,Javan Johnson missed Three Point Jumper.,66,100
2:32,-1,William Lambert Defensive Rebound.,66,100
2:09,-1,Jacob Walls Turnover.,66,100
1:55,2653,Whit Moreman missed Layup.,66,100
1:55,-1,Joseph Williams Block.,66,100
1:54,2653,Troy Offensive Rebound.,66,100
1:46,-1,Foul on William Lambert.,66,100
1:46,2653,Darian Adams missed Free Throw.,66,100
1:46,2653,Troy Deadball Team Rebound.,66,100
1:46,2653,Darian Adams made Free Throw.,66,101
1:25,-1,William Lambert missed Layup.,66,101
1:25,2653,Shawn Hopkins Defensive Rebound.,66,101
1:18,2653,Malik Burnett made Layup. Assisted by Shawn Hopkins.,66,103
1:09,-1,Joseph Williams missed Three Point Jumper.,66,103
1:09,-1,Jeremiah Jordan Offensive Rebound.,66,103
1:01,-1,Jacob Walls missed Three Point Jumper.,66,103
1:01,-1,Jacob Walls Offensive Rebound.,66,103
0:54,-1,William Lambert missed Layup.,66,103
0:54,-1,Gary Clemons Offensive Rebound.,66,103
0:34,-1,Jacob Walls made Layup.,68,103
0:20,2653,Shawn Hopkins made Three Point Jumper. Assisted by Malik Burnett.,68,106
0:08,-1,Gary Clemons made Three Point Jumper.,71,106
0:00,2653,End of Game,71,106
