Xavier,275,Wisconsin,2752
12:12,275,Khalil Iverson Steal.,14,11
12:11,2752,Foul on J.P. Macura.,14,11
12:05,275,Khalil Iverson made Dunk. Assisted by Ethan Happ.,14,13
11:47,2752,Paul Scruggs missed Layup.,14,13
11:47,275,Ethan Happ Block.,14,13
11:44,275,D'Mitrik Trice Defensive Rebound.,14,13
11:44,2752,Foul on Kaiser Gates.,14,13
11:44,275,Official TV Timeout,14,13
11:35,275,Ethan Happ made Layup.,14,15
11:16,2752,J.P. Macura missed Three Point Jumper.,14,15
11:16,2752,Kaiser Gates Offensive Rebound.,14,15
11:11,2752,Kaiser Gates missed Layup.,14,15
11:11,2752,Tyrique Jones Offensive Rebound.,14,15
11:08,2752,Tyrique Jones made Two Point Tip Shot.,16,15
10:55,2752,Foul on Tyrique Jones.,16,15
10:55,275,Ethan Happ made Free Throw.,16,16
10:55,275,Ethan Happ made Free Throw.,16,17
10:31,2752,Kerem Kanter missed Three Point Jumper.,16,17
10:31,275,Ethan Happ Defensive Rebound.,16,17
10:00,275,Brad Davison missed Three Point Jumper.,16,17
10:00,2752,Kerem Kanter Defensive Rebound.,16,17
9:52,2752,Trevon Bluiett Turnover.,16,17
9:30,275,Brevin Pritzl missed Jumper.,16,17
9:30,2752,Trevon Bluiett Defensive Rebound.,16,17
9:18,2752,J.P. Macura made Jumper.,18,17
9:02,2752,Foul on Kerem Kanter.,18,17
8:55,275,Ethan Happ missed Jumper.,18,17
8:55,2752,Trevon Bluiett Defensive Rebound.,18,17
8:44,2752,Trevon Bluiett Turnover.,18,17
8:43,275,Ethan Happ Steal.,18,17
8:26,275,Khalil Iverson missed Three Point Jumper.,18,17
8:26,2752,Kaiser Gates Defensive Rebound.,18,17
8:16,2752,Kaiser Gates missed Three Point Jumper.,18,17
8:16,2752,Kerem Kanter Offensive Rebound.,18,17
8:06,2752,Kaiser Gates made Three Point Jumper. Assisted by J.P. Macura.,21,17
7:51,275,Brevin Pritzl made Layup. Assisted by Ethan Happ.,21,19
7:37,2752,Kaiser Gates made Three Point Jumper. Assisted by J.P. Macura.,24,19
7:11,275,Ethan Happ missed Three Point Jumper.,24,19
7:11,275,Ethan Happ Offensive Rebound.,24,19
7:07,275,Ethan Happ missed Layup.,24,19
7:07,2752,Trevon Bluiett Defensive Rebound.,24,19
7:00,275,Official TV Timeout,24,19
7:00,275,Foul on Khalil Iverson.,24,19
7:00,2752,Trevon Bluiett made Free Throw.,25,19
7:00,2752,Trevon Bluiett made Free Throw.,26,19
6:37,275,Aleem Ford missed Jumper.,26,19
6:37,2752,Kaiser Gates Defensive Rebound.,26,19
6:24,275,Foul on Charles Thomas IV.,26,19
6:24,2752,Kaiser Gates made Free Throw.,27,19
6:24,2752,Kaiser Gates made Free Throw.,28,19
6:15,275,Charles Thomas IV missed Three Point Jumper.,28,19
6:15,2752,J.P. Macura Defensive Rebound.,28,19
6:06,2752,Kaiser Gates missed Three Point Jumper.,28,19
6:06,275,Brad Davison Defensive Rebound.,28,19
5:44,275,Brad Davison made Three Point Jumper. Assisted by D'Mitrik Trice.,28,22
5:20,2752,Trevon Bluiett missed Three Point Jumper.,28,22
5:20,275,Charles Thomas IV Defensive Rebound.,28,22
5:05,2752,Foul on Tyrique Jones.,28,22
5:05,275,D'Mitrik Trice missed Free Throw.,28,22
5:05,2752,J.P. Macura Defensive Rebound.,28,22
4:53,2752,Sean O'Mara made Dunk. Assisted by J.P. Macura.,30,22
4:42,2752,Foul on J.P. Macura.,30,22
4:42,275,Ethan Happ made Free Throw.,30,23
4:42,275,Ethan Happ missed Free Throw.,30,23
4:42,2752,Kaiser Gates Defensive Rebound.,30,23
4:29,275,Foul on Ethan Happ.,30,23
4:29,2752,Sean O'Mara made Free Throw.,31,23
4:29,2752,Sean O'Mara made Free Throw.,32,23
4:04,275,Brad Davison made Jumper.,32,25
3:41,275,Foul on Brad Davison.,32,25
3:41,275,Official TV Timeout,32,25
3:41,2752,Trevon Bluiett made Free Throw.,33,25
3:41,2752,Trevon Bluiett made Free Throw.,34,25
3:40,275,Official TV Timeout,32,25
3:28,275,D'Mitrik Trice made Jumper.,34,27
3:10,2752,Trevon Bluiett Turnover.,34,27
3:09,275,Brad Davison Steal.,34,27
3:05,275,Brad Davison made Jumper.,34,29
2:49,2752,Trevon Bluiett Turnover.,34,29
2:49,275,Brad Davison Steal.,34,29
2:33,2752,Foul on Sean O'Mara.,34,29
2:33,275,Brad Davison made Free Throw.,34,30
2:33,275,Brad Davison made Free Throw.,34,31
2:21,2752,Quentin Goodin missed Three Point Jumper.,34,31
2:21,275,D'Mitrik Trice Defensive Rebound.,34,31
2:09,275,D'Mitrik Trice missed Three Point Jumper.,34,31
2:09,2752,Kaiser Gates Defensive Rebound.,34,31
1:54,2752,J.P. Macura missed Layup.,34,31
1:46,275,Wisconsin Defensive Rebound.,34,31
1:29,275,Kobe King missed Jumper.,34,31
1:29,2752,Sean O'Mara Defensive Rebound.,34,31
1:21,2752,J.P. Macura missed Three Point Jumper.,34,31
1:21,275,D'Mitrik Trice Defensive Rebound.,34,31
0:54,275,Aleem Ford made Three Point Jumper. Assisted by D'Mitrik Trice.,34,34
0:34,2752,Xavier  Timeout,34,34
0:33,2752,Trevon Bluiett missed Three Point Jumper.,34,34
0:33,275,Wisconsin Defensive Rebound.,34,34
0:01,275,D'Mitrik Trice missed Jumper.,34,34
0:01,2752,Xavier Deadball Team Rebound.,34,34
0:00,275,End of 1st half,34,34
19:46,2752,Quentin Goodin missed Layup.,34,34
19:46,2752,Tyrique Jones Offensive Rebound.,34,34
19:42,2752,Tyrique Jones missed Two Point Tip Shot.,34,34
19:42,275,Brevin Pritzl Defensive Rebound.,34,34
19:20,275,Ethan Happ made Layup.,34,36
18:52,2752,J.P. Macura made Layup. Assisted by Quentin Goodin.,36,36
18:32,275,Andy Van Vliet missed Layup.,36,36
18:32,2752,Kaiser Gates Defensive Rebound.,36,36
18:24,2752,J.P. Macura made Layup.,38,36
18:06,275,Ethan Happ made Layup.,38,38
17:44,2752,Trevon Bluiett missed Jumper.,38,38
17:44,275,Brevin Pritzl Defensive Rebound.,38,38
17:20,275,D'Mitrik Trice made Three Point Jumper. Assisted by Ethan Happ.,38,41
16:59,2752,J.P. Macura made Layup.,40,41
16:43,275,Andy Van Vliet missed Three Point Jumper.,40,41
16:43,2752,Trevon Bluiett Defensive Rebound.,40,41
16:21,2752,Tyrique Jones missed Jumper.,40,41
16:21,275,Brevin Pritzl Defensive Rebound.,40,41
16:00,2752,Foul on Kaiser Gates.,40,41
16:00,275,Official TV Timeout,40,41
16:00,275,Andy Van Vliet made Free Throw.,40,42
16:00,275,Andy Van Vliet missed Free Throw.,40,42
16:00,2752,Quentin Goodin Defensive Rebound.,40,42
15:47,2752,Naji Marshall missed Layup.,40,42
15:47,275,Khalil Iverson Block.,40,42
15:45,2752,Quentin Goodin Offensive Rebound.,40,42
15:42,2752,Trevon Bluiett made Three Point Jumper. Assisted by Quentin Goodin.,43,42
15:21,275,Foul on Brevin Pritzl.,43,42
15:21,275,Brevin Pritzl Turnover.,43,42
14:58,275,Foul on D'Mitrik Trice.,43,42
14:57,2752,Trevon Bluiett made Jumper.,45,42
14:38,275,Khalil Iverson made Dunk. Assisted by Ethan Happ.,45,44
14:21,2752,Quentin Goodin missed Jumper.,45,44
14:21,275,Khalil Iverson Defensive Rebound.,45,44
14:08,275,Brad Davison missed Three Point Jumper.,45,44
14:08,2752,J.P. Macura Defensive Rebound.,45,44
14:01,2752,J.P. Macura made Layup.,47,44
13:46,275,Khalil Iverson Turnover.,47,44
13:35,275,Foul on Brad Davison.,47,44
13:23,2752,Naji Marshall Turnover.,47,44
13:11,275,Aleem Ford missed Three Point Jumper.,47,44
13:11,2752,Trevon Bluiett Defensive Rebound.,47,44
13:03,2752,Naji Marshall missed Layup.,47,44
13:03,2752,Sean O'Mara Offensive Rebound.,47,44
12:59,2752,Sean O'Mara made Layup.,49,44
12:40,2752,Foul on Sean O'Mara.,49,44
12:40,275,Ethan Happ missed Free Throw.,49,44
12:40,275,Wisconsin Deadball Team Rebound.,49,44
12:40,275,Ethan Happ made Free Throw.,49,45
12:25,2752,J.P. Macura missed Layup.,49,45
12:25,2752,J.P. Macura Offensive Rebound.,49,45
12:22,2752,J.P. Macura made Layup.,51,45
11:55,275,Khalil Iverson Turnover.,51,45
11:54,2752,Trevon Bluiett Steal.,51,45
11:49,2752,Kaiser Gates missed Three Point Jumper.,51,45
11:49,275,Aleem Ford Defensive Rebound.,51,45
11:21,275,Official TV Timeout,51,45
11:20,275,Ethan Happ missed Jumper.,51,45
11:20,275,Khalil Iverson Offensive Rebound.,51,45
11:18,275,Khalil Iverson made Layup.,51,47
10:59,2752,Kaiser Gates made Three Point Jumper. Assisted by Paul Scruggs.,54,47
10:28,2752,Foul on Quentin Goodin.,54,47
10:13,275,Brad Davison missed Jumper.,54,47
10:13,2752,Paul Scruggs Defensive Rebound.,54,47
9:59,2752,Quentin Goodin Turnover.,54,47
9:58,275,Brevin Pritzl Steal.,54,47
9:53,275,Brevin Pritzl made Three Point Jumper. Assisted by Brad Davison.,54,50
9:34,2752,Trevon Bluiett made Jumper.,56,50
9:17,2752,Foul on Quentin Goodin.,56,50
9:09,275,Brevin Pritzl made Three Point Jumper. Assisted by Ethan Happ.,56,53
8:40,2752,Trevon Bluiett made Jumper.,58,53
8:21,2752,Foul on Kaiser Gates.,58,53
8:21,275,Ethan Happ made Free Throw.,58,54
8:21,275,Ethan Happ missed Free Throw.,58,54
8:21,2752,Tyrique Jones Defensive Rebound.,58,54
8:02,275,Foul on D'Mitrik Trice.,58,54
7:54,2752,Tyrique Jones made Jumper. Assisted by Trevon Bluiett.,60,54
7:35,275,Brevin Pritzl missed Three Point Jumper.,60,54
7:35,275,Wisconsin Deadball Team Rebound.,60,54
7:33,2752,Foul on Kaiser Gates.,60,54
7:33,275,Official TV Timeout,60,54
7:32,275,Official TV Timeout,60,54
7:14,275,Ethan Happ missed Layup.,60,54
7:14,275,Brevin Pritzl Offensive Rebound.,60,54
7:09,275,Brevin Pritzl missed Two Point Tip Shot.,60,54
7:09,2752,Tyrique Jones Defensive Rebound.,60,54
6:54,275,Foul on Aleem Ford.,60,54
6:54,2752,Tyrique Jones made Free Throw.,61,54
6:54,2752,Tyrique Jones missed Free Throw.,61,54
6:54,275,Ethan Happ Defensive Rebound.,61,54
6:41,2752,Foul on Trevon Bluiett.,61,54
6:41,275,Khalil Iverson made Free Throw.,61,55
6:41,275,Khalil Iverson made Free Throw.,61,56
6:25,275,Foul on Ethan Happ.,61,56
6:25,2752,Sean O'Mara made Free Throw.,62,56
6:25,2752,Sean O'Mara made Free Throw.,63,56
6:11,2752,Foul on J.P. Macura.,63,56
6:11,275,Brad Davison made Free Throw.,63,57
6:11,275,Brad Davison missed Free Throw.,63,57
6:11,275,Khalil Iverson Offensive Rebound.,63,57
6:03,275,Ethan Happ Turnover.,63,57
5:39,2752,Trevon Bluiett missed Jumper.,63,57
5:39,275,Wisconsin Deadball Team Rebound.,63,57
5:20,275,Ethan Happ made Layup.,63,59
4:59,2752,Foul on Sean O'Mara.,63,59
4:59,2752,Sean O'Mara Turnover.,63,59
4:38,275,Ethan Happ made Jumper.,63,61
4:12,275,Foul on Aleem Ford.,63,61
4:12,2752,Naji Marshall made Free Throw.,64,61
4:12,2752,Naji Marshall missed Free Throw.,64,61
4:12,275,Khalil Iverson Defensive Rebound.,64,61
4:01,275,Aleem Ford made Three Point Jumper. Assisted by Ethan Happ.,64,64
3:47,2752,Xavier  Timeout,64,64
3:40,275,Foul on Ethan Happ.,64,64
3:40,275,Official TV Timeout,64,64
3:40,2752,J.P. Macura missed Free Throw.,64,64
3:40,275,Aleem Ford Defensive Rebound.,64,64
3:38,2752,Foul on Tyrique Jones.,64,64
3:38,275,Aleem Ford missed Free Throw.,64,64
3:38,275,Wisconsin Deadball Team Rebound.,64,64
3:38,275,Aleem Ford missed Free Throw.,64,64
3:38,275,Alex Illikainen Offensive Rebound.,64,64
3:34,275,D'Mitrik Trice missed Three Point Jumper.,64,64
3:34,2752,Kaiser Gates Defensive Rebound.,64,64
3:14,2752,Trevon Bluiett missed Jumper.,64,64
3:14,275,Khalil Iverson Defensive Rebound.,64,64
3:01,275,Wisconsin  Timeout,64,64
2:44,275,D'Mitrik Trice made Jumper. Assisted by Ethan Happ.,64,66
2:25,275,Foul on Brad Davison.,64,66
2:25,2752,Trevon Bluiett made Free Throw.,65,66
2:25,2752,Trevon Bluiett made Free Throw.,66,66
2:25,2752,Xavier  Timeout,66,66
2:11,275,Ethan Happ missed Layup.,66,66
2:11,2752,J.P. Macura Defensive Rebound.,66,66
1:47,2752,Trevon Bluiett made Three Point Jumper. Assisted by Quentin Goodin.,69,66
1:34,275,Brad Davison missed Layup.,69,66
1:34,2752,Trevon Bluiett Block.,69,66
1:32,2752,J.P. Macura Defensive Rebound.,69,66
1:07,2752,Trevon Bluiett made Three Point Jumper. Assisted by Quentin Goodin.,72,66
0:54,275,D'Mitrik Trice missed Jumper.,72,66
0:54,2752,Tyrique Jones Defensive Rebound.,72,66
0:50,275,Foul on Khalil Iverson.,72,66
0:50,2752,Tyrique Jones made Free Throw.,73,66
0:50,2752,Tyrique Jones made Free Throw.,74,66
0:44,275,Brad Davison missed Three Point Jumper.,74,66
0:44,2752,Trevon Bluiett Defensive Rebound.,74,66
0:39,275,Foul on Khalil Iverson.,74,66
0:39,2752,Trevon Bluiett made Free Throw.,75,66
0:39,2752,Trevon Bluiett made Free Throw.,76,66
0:34,275,D'Mitrik Trice missed Jumper.,76,66
0:34,275,D'Mitrik Trice Offensive Rebound.,76,66
0:29,275,D'Mitrik Trice made Jumper.,76,68
0:21,2752,J.P. Macura made Dunk. Assisted by Quentin Goodin.,78,68
0:19,275,Aleem Ford missed Three Point Jumper.,78,68
0:19,2752,Trevon Bluiett Defensive Rebound.,78,68
0:11,275,Foul on Aleem Ford.,78,68
0:11,2752,Trevon Bluiett made Free Throw.,79,68
0:11,2752,Trevon Bluiett made Free Throw.,80,68
0:08,275,D'Mitrik Trice missed Three Point Jumper.,80,68
0:08,275,Wisconsin Deadball Team Rebound.,80,68
0:05,2752,Foul on Elias Harden.,80,68
0:05,275,Ethan Happ made Free Throw.,80,69
0:05,275,Ethan Happ made Free Throw.,80,70
0:00,275,End of Game,80,70
