Southeast Missouri State,339,Evansville,2546
4:35,339,Dru Smith made Three Point Jumper. Assisted by Duane Gibson.,17,27
4:19,2546,Foul on Denzel Mahoney.,17,27
4:19,2546,Denzel Mahoney Turnover.,17,27
4:06,2546,Foul on Milos Vranes.,17,27
4:06,339,Dalen Traore made Free Throw.,17,28
4:06,339,Dalen Traore made Free Throw.,17,29
3:50,2546,Ledarrius Brewer made Layup.,19,29
3:33,339,Evansville  Timeout,19,29
3:15,339,Ryan Taylor made Jumper.,19,31
3:00,2546,Ledarrius Brewer missed Three Point Jumper.,19,31
3:00,339,K.J. Riley Defensive Rebound.,19,31
2:44,339,Ryan Taylor missed Three Point Jumper.,19,31
2:44,339,K.J. Riley Offensive Rebound.,19,31
2:41,339,Foul on Solomon Hainna.,19,31
2:41,339,Solomon Hainna Turnover.,19,31
2:12,2546,Milos Vranes missed Three Point Jumper.,19,31
2:12,339,Dru Smith Defensive Rebound.,19,31
1:50,339,Solomon Hainna missed Layup.,19,31
1:50,2546,Isaiah Gable Defensive Rebound.,19,31
1:42,339,Foul on Solomon Hainna.,19,31
1:42,2546,Ledarrius Brewer missed Free Throw.,19,31
1:42,339,Blake Simmons Defensive Rebound.,19,31
1:19,339,Blake Simmons made Three Point Jumper. Assisted by Dru Smith.,19,34
0:55,2546,Ray Kowalski made Jumper.,21,34
0:36,2546,Foul on Ray Kowalski.,21,34
0:36,339,Solomon Hainna made Free Throw.,21,35
0:36,339,Solomon Hainna made Free Throw.,21,36
0:16,2546,Isaiah Gable missed Three Point Jumper.,21,36
0:16,339,Duane Gibson Defensive Rebound.,21,36
0:08,339,Duane Gibson missed Layup.,21,36
0:08,2546,Ledarrius Brewer Block.,21,36
0:05,2546,Ray Kowalski Defensive Rebound.,21,36
0:05,2546,Jonathan Dalton missed Three Point Jumper.,21,36
0:05,339,Blake Simmons Defensive Rebound.,21,36
0:00,339,End of 1st half,21,36
19:46,2546,Ledarrius Brewer Turnover.,21,36
19:23,339,Ryan Taylor made Three Point Jumper. Assisted by Dru Smith.,21,39
19:11,2546,Ray Kowalski Turnover.,21,39
18:47,339,Dru Smith made Layup.,21,41
18:21,2546,Foul on Jonathan Dalton.,21,41
18:21,2546,Jonathan Dalton Turnover.,21,41
17:58,339,Ryan Taylor missed Jumper.,21,41
17:58,2546,Ray Kowalski Defensive Rebound.,21,41
17:38,2546,Ledarrius Brewer missed Jumper.,21,41
17:38,339,Dalen Traore Defensive Rebound.,21,41
17:29,339,Duane Gibson missed Layup.,21,41
17:29,2546,Mark Laros Block.,21,41
17:29,339,Evansville Offensive Rebound.,21,41
17:24,339,Dru Smith Turnover.,21,41
17:22,2546,Denzel Mahoney Steal.,21,41
17:20,339,Foul on Dru Smith.,21,41
17:12,2546,Denzel Mahoney missed Jumper.,21,41
17:12,339,Dru Smith Block.,21,41
17:09,339,K.J. Riley Defensive Rebound.,21,41
16:58,339,Dru Smith made Layup.,21,43
16:47,2546,Southeast Missouri State  Timeout,21,43
16:41,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Jonathan Dalton.,24,43
16:09,339,Ryan Taylor missed Three Point Jumper.,24,43
16:09,2546,Milos Vranes Defensive Rebound.,24,43
15:59,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Jonathan Dalton.,27,43
15:39,339,Blake Simmons Turnover.,27,43
15:39,2546,Southeast Missouri State  Timeout,27,43
15:27,2546,Jonathan Dalton Turnover.,27,43
15:27,339,Ryan Taylor Steal.,27,43
15:14,2546,Foul on Milos Vranes.,27,43
15:08,339,Ryan Taylor missed Jumper.,27,43
15:08,339,Dalen Traore Offensive Rebound.,27,43
14:52,339,Dru Smith Turnover.,27,43
14:51,2546,Jonathan Dalton Steal.,27,43
14:47,2546,Jonathan Dalton made Layup.,29,43
14:24,339,Ryan Taylor missed Three Point Jumper.,29,43
14:24,2546,Ledarrius Brewer Defensive Rebound.,29,43
14:11,2546,Ledarrius Brewer missed Three Point Jumper.,29,43
14:11,2546,Milos Vranes Offensive Rebound.,29,43
14:04,2546,Milos Vranes missed Layup.,29,43
14:04,339,Dalen Traore Defensive Rebound.,29,43
14:02,2546,Foul on Milos Vranes.,29,43
13:49,339,Duane Gibson missed Jumper.,29,43
13:49,2546,Milos Vranes Defensive Rebound.,29,43
13:35,339,Foul on Blake Simmons.,29,43
13:21,2546,Denzel Mahoney missed Three Point Jumper.,29,43
13:21,2546,Jonathan Dalton Offensive Rebound.,29,43
13:17,2546,Justin Carpenter missed Layup.,29,43
13:17,339,Duane Gibson Defensive Rebound.,29,43
13:10,2546,Foul on Ledarrius Brewer.,29,43
13:10,339,Blake Simmons made Free Throw.,29,44
13:10,339,Blake Simmons made Free Throw.,29,45
13:01,2546,Ledarrius Brewer missed Three Point Jumper.,29,45
13:01,2546,Jonathan Dalton Offensive Rebound.,29,45
12:44,2546,Justin Carpenter missed Jumper.,29,45
12:44,339,Dru Smith Defensive Rebound.,29,45
12:29,339,Blake Simmons made Three Point Jumper. Assisted by Dru Smith.,29,48
12:11,339,Foul on Ryan Taylor.,29,48
11:49,2546,Mark Laros Turnover.,29,48
11:49,2546,Foul on Mark Laros.,29,48
11:22,339,Evansville  Timeout,29,48
11:22,339,Duane Gibson Turnover.,29,48
11:22,2546,Jonathan Dalton Steal.,29,48
11:21,2546,Jonathan Dalton made Layup.,31,48
11:01,2546,Foul on Ray Kowalski.,31,48
11:01,339,Ryan Taylor made Free Throw.,31,49
11:01,339,Ryan Taylor made Free Throw.,31,50
10:47,2546,Ledarrius Brewer Turnover.,31,50
10:45,339,Dru Smith Steal.,31,50
10:45,2546,Foul on Ledarrius Brewer.,31,50
10:45,339,Dru Smith made Free Throw.,31,51
10:45,339,Dru Smith missed Free Throw.,31,51
10:45,2546,Ledarrius Brewer Defensive Rebound.,31,51
10:33,2546,Ledarrius Brewer Turnover.,31,51
10:08,2546,Foul on Donnie Lewis.,31,51
10:08,339,Ryan Taylor made Free Throw.,31,52
10:08,339,Ryan Taylor made Free Throw.,31,53
9:53,339,Foul on John Hall.,31,53
9:53,2546,Mark Laros missed Free Throw.,31,53
9:53,2546,Southeast Missouri State Deadball Team Rebound.,31,53
9:53,2546,Mark Laros made Free Throw.,32,53
9:32,339,Ryan Taylor made Three Point Jumper. Assisted by Dru Smith.,32,56
9:15,2546,Ray Kowalski Turnover.,32,56
9:14,339,K.J. Riley Steal.,32,56
8:56,339,Ryan Taylor missed Three Point Jumper.,32,56
8:56,2546,Southeast Missouri State Defensive Rebound.,32,56
8:42,2546,Ray Kowalski missed Jumper.,32,56
8:42,339,John Hall Block.,32,56
8:39,339,Solomon Hainna Defensive Rebound.,32,56
8:36,2546,Foul on Daniel Simmons.,32,56
8:36,339,Dru Smith made Free Throw.,32,57
8:36,339,Dru Smith made Free Throw.,32,58
8:27,2546,Milos Vranes Turnover.,32,58
8:25,339,Solomon Hainna Steal.,32,58
8:06,339,K.J. Riley missed Three Point Jumper.,32,58
8:06,2546,Milos Vranes Defensive Rebound.,32,58
8:04,339,Foul on Solomon Hainna.,32,58
7:54,2546,Southeast Missouri State  Timeout,32,58
7:45,2546,Denzel Mahoney made Three Point Jumper. Assisted by Jonathan Dalton.,35,58
7:24,339,John Hall missed Layup.,35,58
7:24,2546,Daniel Simmons Defensive Rebound.,35,58
7:11,339,Foul on Blake Simmons.,35,58
7:00,2546,Milos Vranes made Layup.,37,58
6:39,2546,Foul on Justin Carpenter.,37,58
6:39,339,Dru Smith made Free Throw.,37,59
6:39,339,Dru Smith made Free Throw.,37,60
6:23,2546,Daniel Simmons made Jumper.,39,60
6:03,339,Blake Simmons missed Three Point Jumper.,39,60
6:03,2546,Denzel Mahoney Defensive Rebound.,39,60
5:44,2546,Denzel Mahoney missed Jumper.,39,60
5:44,2546,Milos Vranes Offensive Rebound.,39,60
5:40,339,Foul on Dru Smith.,39,60
5:40,2546,Milos Vranes missed Free Throw.,39,60
5:40,2546,Southeast Missouri State Deadball Team Rebound.,39,60
5:40,2546,Milos Vranes made Free Throw.,40,60
5:16,339,Ryan Taylor missed Jumper.,40,60
5:16,2546,Denzel Mahoney Block.,40,60
5:14,2546,Southeast Missouri State Defensive Rebound.,40,60
5:01,2546,Milos Vranes made Three Point Jumper. Assisted by Jonathan Dalton.,43,60
4:45,339,Ryan Taylor missed Three Point Jumper.,43,60
4:45,2546,Milos Vranes Defensive Rebound.,43,60
4:39,2546,Ledarrius Brewer missed Jumper.,43,60
4:39,339,Dru Smith Defensive Rebound.,43,60
4:23,339,K.J. Riley Turnover.,43,60
4:14,2546,Milos Vranes made Layup.,45,60
4:08,339,Evansville  Timeout,45,60
4:08,339,Evansville  Timeout,45,60
3:53,2546,Foul on Ledarrius Brewer.,45,60
3:53,339,Ryan Taylor made Free Throw.,45,61
3:53,339,Ryan Taylor made Free Throw.,45,62
3:38,2546,Ledarrius Brewer missed Three Point Jumper.,45,62
3:38,339,Blake Simmons Defensive Rebound.,45,62
3:08,2546,Foul on Isaiah Gable.,45,62
3:08,339,Solomon Hainna missed Free Throw.,45,62
3:08,339,Evansville Deadball Team Rebound.,45,62
3:08,339,Solomon Hainna missed Free Throw.,45,62
3:08,2546,Milos Vranes Defensive Rebound.,45,62
2:53,2546,Ledarrius Brewer missed Three Point Jumper.,45,62
2:53,339,Evansville Defensive Rebound.,45,62
2:31,339,Ryan Taylor missed Jumper.,45,62
2:31,2546,Ledarrius Brewer Defensive Rebound.,45,62
2:25,2546,Isaiah Gable made Layup.,47,62
2:08,2546,Foul on Donnie Lewis.,47,62
2:08,339,Solomon Hainna made Free Throw.,47,63
2:08,339,Solomon Hainna made Free Throw.,47,64
1:47,2546,Milos Vranes missed Three Point Jumper.,47,64
1:47,2546,Milos Vranes Offensive Rebound.,47,64
1:43,2546,Milos Vranes missed Layup.,47,64
1:43,339,Dru Smith Defensive Rebound.,47,64
1:27,2546,Foul on Ledarrius Brewer.,47,64
1:27,339,Solomon Hainna made Free Throw.,47,65
1:27,339,Solomon Hainna made Free Throw.,47,66
1:18,2546,Isaiah Gable missed Jumper.,47,66
1:18,339,Dru Smith Defensive Rebound.,47,66
1:04,339,Evansville  Timeout,47,66
0:47,339,Evan Kuhlman missed Layup.,47,66
0:47,2546,Isaiah Gable Defensive Rebound.,47,66
0:21,2546,Milos Vranes made Three Point Jumper. Assisted by Isaiah Gable.,50,66
0:00,2546,Ray Kowalski missed Three Point Jumper.,50,66
0:00,2546,Southeast Missouri State Deadball Team Rebound.,50,66
0:00,339,End of Game,50,66
