Texas Southern,194,Ohio State,2640
11:11,2640,Donte Clark Turnover.,10,14
11:01,194,C.J. Jackson missed Three Point Jumper.,10,14
11:01,194,Keita Bates-Diop Offensive Rebound.,10,14
10:53,194,Keita Bates-Diop missed Layup.,10,14
10:53,2640,Marquis Salmon Defensive Rebound.,10,14
10:51,194,Foul on Kyle Young.,10,14
10:41,2640,Donte Clark Turnover.,10,14
10:27,194,Andrew Dakich missed Jumper.,10,14
10:27,2640,Lamont Walker Defensive Rebound.,10,14
10:20,2640,Derrick Bruce missed Jumper.,10,14
10:20,194,Musa Jallow Defensive Rebound.,10,14
10:10,194,Musa Jallow made Three Point Jumper. Assisted by Andrew Dakich.,10,17
9:52,2640,Derrick Bruce made Three Point Jumper. Assisted by Robert Lewis.,13,17
9:24,194,Musa Jallow missed Three Point Jumper.,13,17
9:24,2640,Marquis Salmon Defensive Rebound.,13,17
9:06,2640,Derrick Bruce missed Three Point Jumper.,13,17
9:06,194,Jae'Sean Tate Defensive Rebound.,13,17
8:46,194,Kyle Young Turnover.,13,17
8:40,194,Foul on Andrew Dakich.,13,17
8:40,2640,Derrick Bruce made Free Throw.,14,17
8:40,2640,Derrick Bruce made Free Throw.,15,17
8:18,194,Musa Jallow missed Three Point Jumper.,15,17
8:18,194,Musa Jallow Offensive Rebound.,15,17
8:13,194,Musa Jallow made Dunk.,15,19
7:50,2640,Brian Carey Turnover.,15,19
7:45,194,Jae'Sean Tate made Layup. Assisted by C.J. Jackson.,15,21
7:22,2640,Derrick Bruce missed Jumper.,15,21
7:22,194,Jae'Sean Tate Defensive Rebound.,15,21
7:10,194,C.J. Jackson made Three Point Jumper. Assisted by Jae'Sean Tate.,15,24
7:08,194,Official TV Timeout,15,24
6:53,2640,Trayvon Reed Turnover.,15,24
6:51,194,Musa Jallow Steal.,15,24
6:39,194,C.J. Jackson missed Three Point Jumper.,15,24
6:39,194,Musa Jallow Offensive Rebound.,15,24
6:33,194,Musa Jallow made Jumper.,15,26
6:20,194,Foul on Musa Jallow.,15,26
6:07,2640,Trayvon Reed missed Three Point Jumper.,15,26
6:07,194,Jae'Sean Tate Defensive Rebound.,15,26
6:05,194,C.J. Jackson missed Three Point Jumper.,15,26
6:05,2640,Donte Clark Defensive Rebound.,15,26
5:59,2640,Donte Clark missed Three Point Jumper.,15,26
5:59,194,Micah Potter Defensive Rebound.,15,26
5:43,194,Keita Bates-Diop made Jumper.,15,28
5:29,194,Foul on Jae'Sean Tate.,15,28
5:27,2640,Trayvon Reed missed Jumper.,15,28
5:27,2640,Lamont Walker Offensive Rebound.,15,28
5:23,2640,Lamont Walker made Two Point Tip Shot.,17,28
5:04,194,Micah Potter made Layup. Assisted by C.J. Jackson.,17,30
4:43,2640,Derrick Bruce missed Three Point Jumper.,17,30
4:43,194,C.J. Jackson Defensive Rebound.,17,30
4:36,194,C.J. Jackson Turnover.,17,30
4:35,2640,Derrick Bruce Steal.,17,30
4:33,194,Foul on C.J. Jackson.,17,30
4:29,2640,Robert Lewis missed Layup.,17,30
4:29,194,Micah Potter Block.,17,30
4:27,194,Micah Potter Defensive Rebound.,17,30
4:23,194,Kam Williams made Three Point Jumper. Assisted by C.J. Jackson.,17,33
3:57,194,Foul on Musa Jallow.,17,33
3:57,194,Official TV Timeout,17,33
3:57,2640,Donte Clark made Free Throw.,18,33
3:57,2640,Donte Clark made Free Throw.,19,33
3:40,194,Andrew Dakich made Three Point Jumper. Assisted by Andre Wesson.,19,36
3:22,2640,Trayvon Reed made Dunk. Assisted by Donte Clark.,21,36
3:06,194,Andrew Dakich made Jumper.,21,38
2:42,2640,Donte Clark made Layup.,23,38
2:20,194,Micah Potter missed Layup.,23,38
2:20,2640,Donte Clark Block.,23,38
2:18,2640,Trayvon Reed Defensive Rebound.,23,38
1:59,2640,Trayvon Reed missed Jumper.,23,38
1:59,194,Keita Bates-Diop Defensive Rebound.,23,38
1:57,194,Andre Wesson Turnover.,23,38
1:57,194,Foul on Andre Wesson.,23,38
1:57,2640,Lamont Walker made Free Throw.,24,38
1:57,2640,Lamont Walker made Free Throw.,25,38
1:45,194,Micah Potter made Dunk. Assisted by Andrew Dakich.,25,40
1:17,2640,Lamont Walker missed Three Point Jumper.,25,40
1:17,2640,Trayvon Reed Offensive Rebound.,25,40
1:15,194,Foul on Keita Bates-Diop.,25,40
1:15,2640,Trayvon Reed made Free Throw.,26,40
1:15,2640,Trayvon Reed made Free Throw.,27,40
1:02,194,Micah Potter missed Jumper.,27,40
1:02,2640,Trayvon Reed Defensive Rebound.,27,40
0:52,2640,Robert Lewis Turnover.,27,40
0:52,2640,Foul on Robert Lewis.,27,40
0:40,194,Andre Wesson Turnover.,27,40
0:39,2640,Donte Clark Steal.,27,40
0:34,2640,Donte Clark missed Layup.,27,40
0:34,194,Keita Bates-Diop Block.,27,40
0:34,2640,Texas Southern Offensive Rebound.,27,40
0:30,194,Foul on Andrew Dakich.,27,40
0:30,2640,Donte Clark made Free Throw.,28,40
0:30,2640,Donte Clark made Free Throw.,29,40
0:05,194,Andre Wesson missed Three Point Jumper.,29,40
0:05,194,C.J. Jackson Offensive Rebound.,29,40
0:01,2640,Foul on Lamont Walker.,29,40
0:01,194,Micah Potter made Free Throw.,29,41
0:01,194,Micah Potter made Free Throw.,29,42
0:00,194,End of 1st half,29,42
19:40,194,Jae'Sean Tate missed Layup.,29,42
19:40,2640,Robert Lewis Block.,29,42
19:40,2640,Texas Southern Defensive Rebound.,29,42
19:25,2640,Trayvon Reed made Dunk. Assisted by Derrick Bruce.,31,42
19:03,194,C.J. Jackson missed Jumper.,31,42
19:03,194,Micah Potter Offensive Rebound.,31,42
18:59,194,Micah Potter missed Jumper.,31,42
18:59,2640,Kevin Scott Defensive Rebound.,31,42
18:45,2640,Donte Clark missed Three Point Jumper.,31,42
18:45,194,C.J. Jackson Defensive Rebound.,31,42
18:35,194,Micah Potter made Layup. Assisted by Musa Jallow.,31,44
18:10,2640,Derrick Bruce made Jumper.,33,44
17:54,194,Keita Bates-Diop made Three Point Jumper. Assisted by Micah Potter.,33,47
17:39,2640,Derrick Bruce missed Jumper.,33,47
17:39,194,Musa Jallow Defensive Rebound.,33,47
17:24,194,Jae'Sean Tate made Layup.,33,49
17:15,2640,Derrick Bruce Turnover.,33,49
17:14,194,Musa Jallow Steal.,33,49
17:12,194,Keita Bates-Diop made Layup. Assisted by Musa Jallow.,33,51
16:52,194,Foul on Musa Jallow.,33,51
16:39,2640,Trayvon Reed made Dunk. Assisted by Kevin Scott.,35,51
16:21,194,Musa Jallow missed Three Point Jumper.,35,51
16:21,2640,Trayvon Reed Defensive Rebound.,35,51
15:57,2640,Brian Carey Turnover.,35,51
15:57,194,Official TV Timeout,35,51
15:28,194,Andre Wesson Turnover.,35,51
15:25,2640,Trayvon Reed made Dunk. Assisted by Donte Clark.,37,51
15:10,194,C.J. Jackson missed Three Point Jumper.,37,51
15:10,2640,Trayvon Reed Defensive Rebound.,37,51
15:03,2640,Robert Lewis missed Jumper.,37,51
15:03,194,Jae'Sean Tate Defensive Rebound.,37,51
14:57,2640,Foul on Derrick Bruce.,37,51
14:57,194,Jae'Sean Tate missed Free Throw.,37,51
14:57,194,Ohio State Deadball Team Rebound.,37,51
14:57,194,Jae'Sean Tate made Free Throw.,37,52
14:40,2640,Kevin Scott Turnover.,37,52
14:20,194,Jae'Sean Tate missed Layup.,37,52
14:20,194,Andre Wesson Offensive Rebound.,37,52
14:17,194,Andre Wesson made Jumper.,37,54
14:02,194,Foul on Andre Wesson.,37,54
14:02,2640,Donte Clark made Free Throw.,38,54
14:02,2640,Donte Clark made Free Throw.,39,54
13:49,194,Andre Wesson missed Three Point Jumper.,39,54
13:49,2640,Derrick Bruce Defensive Rebound.,39,54
13:40,2640,Derrick Bruce made Layup.,41,54
13:39,194,Foul on Jae'Sean Tate.,41,54
13:32,194,Foul on Andrew Dakich.,41,54
13:32,2640,Donte Clark made Free Throw.,42,54
13:32,2640,Donte Clark made Free Throw.,43,54
13:14,194,Andrew Dakich Turnover.,43,54
13:09,2640,Kevin Scott Steal.,43,54
13:04,2640,Kevin Scott made Layup.,45,54
12:48,194,Kam Williams missed Three Point Jumper.,45,54
12:48,2640,Texas Southern Defensive Rebound.,45,54
12:46,194,Foul on Andre Wesson.,45,54
12:29,2640,Derrick Bruce Turnover.,45,54
12:28,194,Keita Bates-Diop Steal.,45,54
12:14,194,Kam Williams missed Jumper.,45,54
12:14,2640,Donte Clark Defensive Rebound.,45,54
12:01,2640,Donte Clark missed Jumper.,45,54
12:01,194,Kam Williams Defensive Rebound.,45,54
11:49,194,C.J. Jackson missed Three Point Jumper.,45,54
11:49,194,Andre Wesson Offensive Rebound.,45,54
11:42,194,Keita Bates-Diop missed Three Point Jumper.,45,54
11:42,2640,Lamont Walker Defensive Rebound.,45,54
11:39,194,Foul on Andre Wesson.,45,54
11:39,194,Official TV Timeout,45,54
11:15,2640,Trayvon Reed missed Jumper.,45,54
11:15,194,Keita Bates-Diop Defensive Rebound.,45,54
10:58,194,Keita Bates-Diop made Three Point Jumper. Assisted by C.J. Jackson.,45,57
10:31,2640,Robert Lewis made Three Point Jumper. Assisted by Derrick Bruce.,48,57
10:03,194,Jae'Sean Tate missed Layup.,48,57
10:03,2640,Trayvon Reed Block.,48,57
10:03,194,Ohio State Offensive Rebound.,48,57
10:03,194,Ohio State  Timeout,48,57
10:02,194,C.J. Jackson Turnover.,48,57
9:57,2640,Donte Clark made Layup. Assisted by Kevin Scott.,50,57
9:28,194,Kam Williams missed Jumper.,50,57
9:28,194,Jae'Sean Tate Offensive Rebound.,50,57
9:24,194,Jae'Sean Tate Turnover.,50,57
9:24,2640,Derrick Bruce Steal.,50,57
9:00,2640,Donte Clark made Jumper.,52,57
8:29,194,Jae'Sean Tate made Dunk. Assisted by C.J. Jackson.,52,59
8:04,2640,Donte Clark missed Three Point Jumper.,52,59
8:04,2640,Kevin Scott Offensive Rebound.,52,59
8:00,2640,Kevin Scott made Jumper.,54,59
7:43,194,Keita Bates-Diop missed Three Point Jumper.,54,59
7:43,194,Ohio State Offensive Rebound.,54,59
7:41,2640,Foul on Robert Lewis.,54,59
7:41,194,Official TV Timeout,54,59
7:33,2640,Foul on Robert Lewis.,54,59
7:20,194,C.J. Jackson missed Three Point Jumper.,54,59
7:20,2640,Robert Lewis Defensive Rebound.,54,59
6:58,2640,Robert Lewis made Three Point Jumper. Assisted by Donte Clark.,57,59
6:44,194,Keita Bates-Diop Turnover.,57,59
6:43,2640,Trayvon Reed Steal.,57,59
6:20,2640,Robert Lewis missed Three Point Jumper.,57,59
6:20,194,Keita Bates-Diop Defensive Rebound.,57,59
6:11,194,Micah Potter made Jumper. Assisted by Jae'Sean Tate.,57,61
5:55,2640,Derrick Bruce Turnover.,57,61
5:54,194,Musa Jallow Steal.,57,61
5:48,2640,Foul on Robert Lewis.,57,61
5:48,2640,Texas Southern  Timeout,57,61
5:48,194,Micah Potter made Free Throw.,57,62
5:48,194,Micah Potter made Free Throw.,57,63
5:30,2640,Trayvon Reed missed Jumper.,57,63
5:30,194,Keita Bates-Diop Defensive Rebound.,57,63
5:15,194,Keita Bates-Diop made Jumper.,57,65
4:54,2640,Kevin Scott Turnover.,57,65
4:48,194,C.J. Jackson made Layup.,57,67
4:36,2640,Donte Clark missed Three Point Jumper.,57,67
4:36,194,C.J. Jackson Defensive Rebound.,57,67
4:25,2640,Foul on Trayvon Reed.,57,67
4:25,194,Micah Potter made Free Throw.,57,68
4:25,194,Micah Potter missed Free Throw.,57,68
4:25,2640,Lamont Walker Defensive Rebound.,57,68
4:10,2640,Kevin Scott Turnover.,57,68
4:09,194,Musa Jallow Steal.,57,68
4:04,194,Jae'Sean Tate made Dunk. Assisted by C.J. Jackson.,57,70
3:55,2640,Kevin Scott Turnover.,57,70
3:55,2640,Foul on Kevin Scott.,57,70
3:55,194,Official TV Timeout,57,70
3:41,2640,Foul on Marquis Salmon.,57,70
3:41,194,Micah Potter made Free Throw.,57,71
3:41,194,Micah Potter made Free Throw.,57,72
3:20,2640,Donte Clark missed Jumper.,57,72
3:20,194,C.J. Jackson Block.,57,72
3:20,2640,Texas Southern Offensive Rebound.,57,72
3:10,2640,Derrick Bruce made Jumper.,59,72
2:56,194,Musa Jallow made Three Point Jumper. Assisted by C.J. Jackson.,59,75
2:39,2640,Kevin Scott missed Three Point Jumper.,59,75
2:39,194,Jae'Sean Tate Defensive Rebound.,59,75
2:30,2640,Foul on Donte Clark.,59,75
2:30,194,C.J. Jackson made Free Throw.,59,76
2:30,194,C.J. Jackson made Free Throw.,59,77
2:16,2640,Derrick Bruce made Three Point Jumper. Assisted by Donte Clark.,62,77
1:50,194,C.J. Jackson missed Layup.,62,77
1:50,2640,Donte Clark Defensive Rebound.,62,77
1:46,194,Foul on C.J. Jackson.,62,77
1:46,2640,Donte Clark missed Free Throw.,62,77
1:46,194,Keita Bates-Diop Defensive Rebound.,62,77
1:30,194,Jae'Sean Tate made Dunk. Assisted by Micah Potter.,62,79
1:17,2640,Donte Clark missed Three Point Jumper.,62,79
1:17,194,Keita Bates-Diop Defensive Rebound.,62,79
0:55,194,Jae'Sean Tate made Layup. Assisted by C.J. Jackson.,62,81
0:39,2640,Trayvon Reed made Dunk. Assisted by Kevin Scott.,64,81
0:25,2640,Foul on Derrick Bruce.,64,81
0:25,194,C.J. Jackson made Free Throw.,64,82
0:25,194,C.J. Jackson missed Free Throw.,64,82
0:25,2640,Trayvon Reed Defensive Rebound.,64,82
0:17,2640,Derrick Bruce Turnover.,64,82
0:00,194,End of Game,64,82
