Howard Payne,Error,Abilene Christian,2000
3:58,2000,Drake Green Defensive Rebound.,28,43
3:52,2000,Hayden Farquhar missed Three Point Jumper.,28,43
3:52,2000,Jaylen Franklin Offensive Rebound.,28,43
3:46,2000,Hayden Howell made Dunk. Assisted by Jaylen Franklin.,28,45
3:34,-1,Foul on Khyce Randall.,28,45
3:34,-1,Khyce Randall Turnover.,28,45
3:34,2000,Official TV Timeout,28,45
3:23,2000,Jaylen Franklin made Jumper.,28,47
2:53,-1,Talen Davis Turnover.,28,47
2:51,2000,Drake Green Steal.,28,47
2:48,2000,Jaylen Franklin made Layup. Assisted by Drake Green.,28,49
2:29,-1,De'Marcus Hurd made Jumper.,30,49
2:29,2000,Foul on Drake Green.,30,49
2:29,-1,De'Marcus Hurd missed Free Throw.,30,49
2:29,2000,Kolton Kohl Defensive Rebound.,30,49
2:12,2000,Tevin Foster made Layup.,30,51
1:55,-1,Shadd Cole Turnover.,30,51
1:54,2000,Jaylen Franklin Steal.,30,51
1:53,2000,Jaylen Franklin made Layup.,30,53
1:35,-1,De'Marcus Hurd missed Jumper.,30,53
1:35,2000,Jaylen Franklin Defensive Rebound.,30,53
1:28,2000,B.J. Maxwell made Layup. Assisted by Tevin Foster.,30,55
1:05,-1,Khyce Randall missed Three Point Jumper.,30,55
1:05,2000,B.J. Maxwell Defensive Rebound.,30,55
1:01,2000,Isaiah Tripp made Layup. Assisted by B.J. Maxwell.,30,57
0:59,-1,Foul on Khyce Randall.,30,57
0:59,2000,Isaiah Tripp made Free Throw.,30,58
0:52,-1,Drake Cooper missed Jumper.,30,58
0:52,2000,Trey Lenox Defensive Rebound.,30,58
0:42,2000,Kolton Kohl made Dunk. Assisted by Chase Cobb.,30,60
0:17,-1,Timothy Aguero Turnover.,30,60
0:16,2000,Isaiah Tripp Steal.,30,60
0:01,-1,Foul on Talen Davis.,30,60
0:01,2000,Isaiah Tripp made Free Throw.,30,61
0:01,2000,Isaiah Tripp made Free Throw.,30,62
0:00,2000,End of 1st half,30,62
19:51,-1,Talen Davis Turnover.,30,62
19:40,2000,Jaren Lewis Turnover.,30,62
19:39,-1,Talen Davis Steal.,30,62
19:29,-1,De'Marcus Hurd made Jumper.,32,62
19:12,2000,Tevin Foster missed Three Point Jumper.,32,62
19:12,2000,Jalone Friday Offensive Rebound.,32,62
19:07,2000,Jalone Friday made Jumper.,32,64
18:41,-1,Colton Otts missed Three Point Jumper.,32,64
18:41,2000,Isaiah Tripp Defensive Rebound.,32,64
18:35,2000,Tevin Foster made Layup. Assisted by Isaiah Tripp.,32,66
18:15,-1,De'Marcus Hurd missed Jumper.,32,66
18:15,2000,Jaren Lewis Defensive Rebound.,32,66
18:07,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,32,69
17:37,-1,Colton Otts missed Jumper.,32,69
17:37,2000,Jalone Friday Block.,32,69
17:36,2000,Jaren Lewis Defensive Rebound.,32,69
17:29,2000,Jaren Lewis made Jumper.,32,71
17:10,2000,Foul on Isaiah Tripp.,32,71
17:01,-1,Timothy Aguero missed Three Point Jumper.,32,71
17:01,2000,Drake Green Defensive Rebound.,32,71
16:38,2000,Jaylen Franklin Turnover.,32,71
16:26,-1,Khyce Randall missed Three Point Jumper.,32,71
16:26,2000,Jaren Lewis Defensive Rebound.,32,71
16:19,-1,Foul on Timothy Aguero.,32,71
16:17,2000,Drake Green made Three Point Jumper. Assisted by Jaylen Franklin.,32,74
16:01,-1,Shadd Cole Turnover.,32,74
16:01,2000,Tevin Foster Steal.,32,74
15:57,2000,Tevin Foster made Layup.,32,76
15:50,2000,Foul on Jaylen Franklin.,32,76
15:50,2000,Official TV Timeout,32,76
15:50,-1,Khyce Randall made Free Throw.,33,76
15:50,-1,Khyce Randall missed Free Throw.,33,76
15:50,2000,Jaren Lewis Defensive Rebound.,33,76
15:31,2000,Jaren Lewis missed Jumper.,33,76
15:31,2000,Jaren Lewis Offensive Rebound.,33,76
15:20,2000,B.J. Maxwell missed Three Point Jumper.,33,76
15:20,-1,Cole Bene' Defensive Rebound.,33,76
15:04,-1,Khyce Randall Turnover.,33,76
15:03,2000,Jaylen Franklin Steal.,33,76
15:02,2000,Jaylen Franklin Turnover.,33,76
15:02,2000,Foul on Jaylen Franklin.,33,76
14:41,-1,Cody Hastings Turnover.,33,76
14:40,2000,Drake Green Steal.,33,76
14:38,-1,Foul on Shadd Cole.,33,76
14:33,2000,Hayden Howell missed Dunk.,33,76
14:33,-1,Cody Hastings Defensive Rebound.,33,76
14:25,-1,Timothy Aguero missed Jumper.,33,76
14:25,2000,Jaren Lewis Block.,33,76
14:23,2000,Jaren Lewis Defensive Rebound.,33,76
14:17,2000,Jaren Lewis made Three Point Jumper. Assisted by Tevin Foster.,33,79
14:14,2000,Technical Foul on Abilene Christian.,33,79
14:14,-1,Khyce Randall made Free Throw.,34,79
13:50,-1,Joshua Taylor missed Three Point Jumper.,34,79
13:50,2000,Drake Green Defensive Rebound.,34,79
13:39,2000,B.J. Maxwell missed Jumper.,34,79
13:39,2000,Hayden Howell Offensive Rebound.,34,79
13:34,2000,Hayden Howell made Layup.,34,81
13:25,-1,Khyce Randall Turnover.,34,81
13:08,2000,Hayden Howell missed Layup.,34,81
13:08,-1,Joshua Taylor Defensive Rebound.,34,81
12:57,-1,Talen Davis missed Layup.,34,81
12:57,-1,Talen Davis Offensive Rebound.,34,81
12:54,2000,Foul on B.J. Maxwell.,34,81
12:49,-1,Khyce Randall missed Three Point Jumper.,34,81
12:49,2000,Hayden Farquhar Defensive Rebound.,34,81
12:25,-1,Foul on Cole Bene'.,34,81
12:25,2000,Jalone Friday made Free Throw.,34,82
12:25,2000,Jalone Friday made Free Throw.,34,83
12:08,2000,Foul on Tevin Foster.,34,83
12:08,-1,De'Marcus Hurd made Free Throw.,35,83
12:08,-1,De'Marcus Hurd made Free Throw.,36,83
11:58,2000,Jalone Friday made Three Point Jumper. Assisted by Tevin Foster.,36,86
11:35,-1,Joshua Taylor missed Jumper.,36,86
11:35,2000,Jalone Friday Defensive Rebound.,36,86
11:23,2000,Trey Lenox missed Three Point Jumper.,36,86
11:23,-1,De'Marcus Hurd Defensive Rebound.,36,86
11:10,2000,Foul on Trey Lenox.,36,86
11:10,2000,Official TV Timeout,36,86
10:57,-1,Joshua Taylor Turnover.,36,86
10:56,2000,Isaiah Tripp Steal.,36,86
10:54,2000,Isaiah Tripp made Layup.,36,88
10:36,-1,Khyce Randall Turnover.,36,88
10:35,2000,Trey Lenox Steal.,36,88
10:33,2000,Isaiah Tripp made Layup. Assisted by Trey Lenox.,36,90
10:15,2000,Foul on Isaiah Tripp.,36,90
10:15,-1,De'Marcus Hurd made Free Throw.,37,90
10:15,-1,De'Marcus Hurd made Free Throw.,38,90
10:05,2000,Abilene Christian  Timeout,38,90
10:05,2000,Official TV Timeout,38,90
9:53,2000,Trey Lenox Turnover.,38,90
9:36,-1,Talen Davis made Jumper.,40,90
9:11,2000,Jalone Friday missed Jumper.,40,90
9:11,-1,Khyce Randall Defensive Rebound.,40,90
9:00,-1,De'Marcus Hurd missed Three Point Jumper.,40,90
9:00,-1,Howard Payne Offensive Rebound.,40,90
8:56,-1,Shadd Cole missed Jumper.,40,90
8:56,2000,Hayden Farquhar Defensive Rebound.,40,90
8:28,-1,Foul on Shadd Cole.,40,90
8:28,2000,Hayden Farquhar made Free Throw.,40,91
8:28,2000,Hayden Farquhar made Free Throw.,40,92
8:13,2000,Foul on Trey Lenox.,40,92
8:13,-1,Khyce Randall made Free Throw.,41,92
8:13,-1,Khyce Randall made Free Throw.,42,92
8:13,-1,Khyce Randall made Free Throw.,43,92
7:47,-1,Foul on Cody Hastings.,43,92
7:47,2000,Official TV Timeout,43,92
7:47,2000,Jaren Lewis made Free Throw.,43,93
7:47,2000,Jaren Lewis made Free Throw.,43,94
7:18,-1,De'Marcus Hurd missed Three Point Jumper.,43,94
7:18,2000,Jalone Friday Defensive Rebound.,43,94
7:14,2000,Isaiah Tripp made Layup. Assisted by Jalone Friday.,43,96
7:01,-1,Howard Payne  Timeout,43,96
6:55,-1,Cody Hastings missed Three Point Jumper.,43,96
6:55,2000,Jaren Lewis Defensive Rebound.,43,96
6:34,2000,B.J. Maxwell made Jumper. Assisted by Tevin Foster.,43,98
6:06,-1,Drake Cooper Turnover.,43,98
6:04,2000,Isaiah Tripp Steal.,43,98
6:01,2000,Jaren Lewis made Layup. Assisted by Isaiah Tripp.,43,100
5:46,-1,Darren Farmer made Jumper. Assisted by Drake Cooper.,45,100
5:30,2000,Jaren Lewis Turnover.,45,100
5:22,2000,Foul on B.J. Maxwell.,45,100
5:22,-1,Khyce Randall made Free Throw.,46,100
5:22,-1,Khyce Randall made Free Throw.,47,100
5:11,2000,B.J. Maxwell made Three Point Jumper. Assisted by Chase Cobb.,47,103
5:03,-1,Darren Farmer Turnover.,47,103
4:50,-1,Foul on Cole Bene'.,47,103
4:50,2000,Tevin Foster missed Free Throw.,47,103
4:50,2000,Abilene Christian Deadball Team Rebound.,47,103
4:50,2000,Tevin Foster made Free Throw.,47,104
4:43,-1,Khyce Randall made Jumper.,49,104
4:43,2000,Foul on Chase Cobb.,49,104
4:43,-1,Khyce Randall made Free Throw.,50,104
4:17,2000,Hayden Howell made Layup. Assisted by Tevin Foster.,50,106
4:03,-1,De'Marcus Hurd missed Three Point Jumper.,50,106
4:03,2000,Hayden Howell Defensive Rebound.,50,106
3:44,2000,B.J. Maxwell made Layup.,50,108
3:35,-1,Shadd Cole missed Three Point Jumper.,50,108
3:35,-1,Timothy Aguero Offensive Rebound.,50,108
3:32,-1,Timothy Aguero made Layup.,52,108
3:19,2000,Chase Cobb missed Three Point Jumper.,52,108
3:19,-1,Shadd Cole Defensive Rebound.,52,108
3:10,2000,Foul on B.J. Maxwell.,52,108
3:10,2000,Official TV Timeout,52,108
3:10,-1,De'Marcus Hurd missed Free Throw.,52,108
3:10,-1,Howard Payne Deadball Team Rebound.,52,108
3:10,-1,De'Marcus Hurd made Free Throw.,53,108
2:42,2000,Chase Cobb missed Jumper.,53,108
2:42,-1,Timothy Aguero Defensive Rebound.,53,108
2:33,2000,Foul on Kolton Kohl.,53,108
2:33,-1,Khyce Randall missed Free Throw.,53,108
2:33,-1,Howard Payne Deadball Team Rebound.,53,108
2:33,-1,Khyce Randall made Free Throw.,54,108
2:15,2000,Kolton Kohl missed Jumper.,54,108
2:15,2000,Hayden Farquhar Offensive Rebound.,54,108
2:13,2000,Hayden Farquhar made Layup.,54,110
2:02,-1,Khyce Randall made Free Throw.,55,110
2:02,-1,Khyce Randall made Free Throw.,56,110
2:02,-1,Khyce Randall made Free Throw.,57,110
1:57,2000,Chase Cobb Turnover.,57,110
1:54,-1,Colton Otts missed Three Point Jumper.,57,110
1:54,2000,Hayden Farquhar Defensive Rebound.,57,110
1:35,-1,Foul on Timothy Aguero.,57,110
1:35,2000,B.J. Maxwell missed Free Throw.,57,110
1:35,2000,Abilene Christian Deadball Team Rebound.,57,110
1:35,2000,B.J. Maxwell missed Free Throw.,57,110
1:35,-1,Shadd Cole Defensive Rebound.,57,110
1:15,2000,Foul on Hayden Farquhar.,57,110
1:15,-1,Shadd Cole made Free Throw.,58,110
1:15,-1,Shadd Cole made Free Throw.,59,110
1:05,2000,Chase Cobb Turnover.,59,110
1:03,-1,Shadd Cole Steal.,59,110
0:57,-1,Timothy Aguero Turnover.,59,110
0:43,2000,Paul Hiepler made Layup.,59,112
0:26,-1,Khyce Randall made Three Point Jumper.,62,112
0:00,2000,End of Game,62,112
