Bethune-Cookman,249,North Texas,2065
9:30,249,Foul on Shane Temara.,14,20
9:19,249,Foul on Roosevelt Smart.,14,20
9:17,2065,Brandon Tabb missed Jumper.,14,20
9:17,249,Roosevelt Smart Defensive Rebound.,14,20
9:10,249,Michael Miller made Layup. Assisted by A.J. Lawson.,14,22
8:55,2065,Malik Maitland made Layup.,16,22
8:22,249,Ryan Woolridge missed Jumper.,16,22
8:22,2065,Soufiyane Diakite Block.,16,22
8:20,2065,Malik Maitland Defensive Rebound.,16,22
8:15,2065,Brandon Tabb missed Three Point Jumper.,16,22
8:15,2065,Ulmer Manzie Offensive Rebound.,16,22
8:10,2065,Ulmer Manzie Turnover.,16,22
7:53,249,Ryan Woolridge Turnover.,16,22
7:49,249,Official TV Timeout,16,22
7:30,2065,Malik Maitland missed Jumper.,16,22
7:30,2065,Ulmer Manzie Offensive Rebound.,16,22
7:26,2065,Ulmer Manzie missed Jumper.,16,22
7:26,249,Ryan Woolridge Defensive Rebound.,16,22
7:18,249,A.J. Lawson made Three Point Jumper. Assisted by Ryan Woolridge.,16,25
7:00,2065,Foul on Brandon Tabb.,16,25
7:00,2065,Brandon Tabb Turnover.,16,25
6:46,249,Jorden Duffy missed Three Point Jumper.,16,25
6:46,2065,Isaiah Bailey Defensive Rebound.,16,25
6:45,249,Foul on Tope Arikawe.,16,25
6:45,2065,Isaiah Bailey missed Free Throw.,16,25
6:45,249,A.J. Lawson Defensive Rebound.,16,25
6:37,249,Ryan Woolridge Turnover.,16,25
6:35,2065,Brandon Tabb Steal.,16,25
6:33,249,Foul on DJ Draper.,16,25
6:33,2065,Isaiah Bailey made Free Throw.,17,25
6:33,2065,Isaiah Bailey missed Free Throw.,17,25
6:33,249,Jorden Duffy Defensive Rebound.,17,25
6:24,249,A.J. Lawson missed Jumper.,17,25
6:24,2065,Shawntrez Davis Defensive Rebound.,17,25
6:18,2065,Isaiah Bailey made Layup.,19,25
6:18,249,Foul on A.J. Lawson.,19,25
6:18,2065,Isaiah Bailey made Free Throw.,20,25
6:05,249,Roosevelt Smart Turnover.,20,25
5:52,2065,Isaiah Bailey missed Three Point Jumper.,20,25
5:52,249,Ryan Woolridge Defensive Rebound.,20,25
5:29,249,Tope Arikawe missed Jumper.,20,25
5:29,249,Allante Holston Offensive Rebound.,20,25
5:26,249,Allante Holston missed Jumper.,20,25
5:26,2065,Jeffrey Altidort Defensive Rebound.,20,25
5:21,2065,Jeffrey Altidort missed Jumper.,20,25
5:21,2065,Shawntrez Davis Offensive Rebound.,20,25
5:19,2065,Shawntrez Davis made Dunk.,22,25
5:19,249,North Texas  Timeout,22,25
4:54,249,Roosevelt Smart made Three Point Jumper. Assisted by Michael Miller.,22,28
4:34,2065,Ulmer Manzie made Dunk. Assisted by Jeffrey Altidort.,24,28
4:08,249,Roosevelt Smart made Jumper.,24,30
3:56,2065,Brandon Tabb made Jumper.,26,30
3:42,249,Allante Holston Turnover.,26,30
3:40,2065,Armani Collins Steal.,26,30
3:37,2065,Isaiah Bailey made Dunk. Assisted by Armani Collins.,28,30
3:29,2065,Foul on Jeffrey Altidort.,28,30
3:29,249,North Texas  Timeout,28,30
3:17,249,Shane Temara made Dunk. Assisted by Michael Miller.,28,32
2:54,2065,Brandon Tabb Turnover.,28,32
2:46,249,Roosevelt Smart missed Jumper.,28,32
2:46,2065,Isaiah Bailey Defensive Rebound.,28,32
2:36,2065,Isaiah Bailey missed Three Point Jumper.,28,32
2:36,249,Michael Miller Defensive Rebound.,28,32
2:26,249,Ryan Woolridge made Layup. Assisted by Michael Miller.,28,34
2:04,2065,Brandon Tabb missed Three Point Jumper.,28,34
2:04,249,Roosevelt Smart Defensive Rebound.,28,34
1:54,249,Roosevelt Smart made Jumper.,28,36
1:30,2065,Jeffrey Altidort made Jumper.,30,36
1:07,249,Ryan Woolridge missed Three Point Jumper.,30,36
1:07,2065,Isaiah Bailey Defensive Rebound.,30,36
0:58,2065,Armani Collins missed Three Point Jumper.,30,36
0:58,249,Roosevelt Smart Defensive Rebound.,30,36
0:29,249,Shane Temara made Three Point Jumper. Assisted by Ryan Woolridge.,30,39
0:07,2065,Isaiah Bailey Turnover.,30,39
0:05,249,Roosevelt Smart Steal.,30,39
0:03,249,Roosevelt Smart made Layup.,30,41
0:03,2065,Foul on Brandon Tabb.,30,41
0:03,249,Roosevelt Smart made Free Throw.,30,42
0:01,2065,Malik Maitland made Three Point Jumper.,33,42
0:00,249,End of 1st half,33,42
19:52,249,Shane Temara missed Jumper.,33,42
19:52,2065,Soufiyane Diakite Defensive Rebound.,33,42
19:38,2065,Shawntrez Davis Turnover.,33,42
19:14,249,Shane Temara made Jumper.,33,44
19:01,2065,Brandon Tabb missed Jumper.,33,44
19:01,249,Shane Temara Defensive Rebound.,33,44
18:57,2065,Foul on Shawntrez Davis.,33,44
18:47,249,A.J. Lawson made Jumper.,33,46
18:28,2065,Shawntrez Davis made Jumper.,35,46
18:16,249,Ryan Woolridge made Layup.,35,48
17:57,2065,Isaiah Bailey Turnover.,35,48
17:57,249,Roosevelt Smart Steal.,35,48
17:41,249,Ryan Woolridge made Layup.,35,50
17:26,2065,Malik Maitland missed Three Point Jumper.,35,50
17:26,249,A.J. Lawson Defensive Rebound.,35,50
17:17,2065,Foul on Soufiyane Diakite.,35,50
17:17,249,Allante Holston made Free Throw.,35,51
17:17,249,Allante Holston made Free Throw.,35,52
16:51,2065,Soufiyane Diakite missed Jumper.,35,52
16:51,249,A.J. Lawson Block.,35,52
16:49,2065,Shawntrez Davis Offensive Rebound.,35,52
16:47,249,Foul on Allante Holston.,35,52
16:47,2065,Shawntrez Davis made Free Throw.,36,52
16:47,2065,Shawntrez Davis missed Free Throw.,36,52
16:47,249,A.J. Lawson Defensive Rebound.,36,52
16:33,249,Ryan Woolridge made Layup.,36,54
16:33,2065,Foul on Soufiyane Diakite.,36,54
16:33,249,Ryan Woolridge made Free Throw.,36,55
16:21,2065,Shawntrez Davis missed Layup.,36,55
16:21,249,A.J. Lawson Defensive Rebound.,36,55
16:18,2065,Foul on Malik Maitland.,36,55
16:18,249,Roosevelt Smart made Free Throw.,36,56
16:18,249,Roosevelt Smart made Free Throw.,36,57
16:09,249,Foul on Ryan Woolridge.,36,57
15:59,2065,Foul on Jeffrey Altidort.,36,57
15:59,2065,Jeffrey Altidort Turnover.,36,57
15:59,249,Official TV Timeout,36,57
15:39,249,A.J. Lawson missed Three Point Jumper.,36,57
15:39,249,Zachary Simmons Offensive Rebound.,36,57
15:35,2065,Foul on Malik Maitland.,36,57
15:35,249,Zachary Simmons missed Free Throw.,36,57
15:35,249,North Texas Deadball Team Rebound.,36,57
15:35,249,Zachary Simmons missed Free Throw.,36,57
15:35,2065,Bethune-Cookman Defensive Rebound.,36,57
15:35,249,Foul on A.J. Lawson.,36,57
15:29,2065,Brandon Tabb missed Three Point Jumper.,36,57
15:29,249,Michael Miller Defensive Rebound.,36,57
15:20,249,Allante Holston made Layup. Assisted by Ryan Woolridge.,36,59
15:08,2065,Malik Maitland missed Jumper.,36,59
15:08,249,Allante Holston Defensive Rebound.,36,59
15:00,249,Ryan Woolridge made Layup.,36,61
14:50,2065,Bethune-Cookman  Timeout,36,61
14:40,2065,Isaiah Bailey made Three Point Jumper. Assisted by Houston Smith.,39,61
14:27,2065,Foul on Isaiah Bailey.,39,61
14:27,249,Michael Miller missed Free Throw.,39,61
14:27,249,North Texas Deadball Team Rebound.,39,61
14:27,249,Michael Miller made Free Throw.,39,62
14:16,249,Foul on Ryan Woolridge.,39,62
14:16,249,Foul on Roosevelt Smart.,39,62
14:03,2065,Brandon Tabb made Three Point Jumper.,42,62
13:54,2065,Foul on Houston Smith.,42,62
13:54,249,Michael Miller made Free Throw.,42,63
13:54,249,Michael Miller made Free Throw.,42,64
13:44,2065,Brandon Tabb Turnover.,42,64
13:39,249,Roosevelt Smart Turnover.,42,64
13:30,249,Foul on Roosevelt Smart.,42,64
13:30,2065,Brandon Tabb made Free Throw.,43,64
13:30,2065,Brandon Tabb made Free Throw.,44,64
13:21,249,Allante Holston made Three Point Jumper. Assisted by Michael Miller.,44,67
13:11,2065,Shawntrez Davis missed Three Point Jumper.,44,67
13:11,2065,Brandon Tabb Offensive Rebound.,44,67
13:08,249,Foul on DJ Draper.,44,67
13:08,2065,Brandon Tabb made Free Throw.,45,67
13:08,2065,Brandon Tabb made Free Throw.,46,67
13:04,2065,Isaiah Bailey made Layup.,48,67
12:49,249,Zachary Simmons missed Layup.,48,67
12:49,2065,Shawntrez Davis Block.,48,67
12:47,2065,Brandon Tabb Defensive Rebound.,48,67
12:34,2065,Jeffrey Altidort made Layup.,50,67
12:11,249,Michael Miller missed Three Point Jumper.,50,67
12:11,2065,Shawntrez Davis Block.,50,67
12:11,249,North Texas Offensive Rebound.,50,67
12:02,249,Allante Holston missed Jumper.,50,67
12:02,2065,Houston Smith Block.,50,67
11:59,2065,Brandon Tabb Defensive Rebound.,50,67
11:44,2065,Brandon Tabb Turnover.,50,67
11:44,249,Official TV Timeout,50,67
11:32,249,A.J. Lawson missed Jumper.,50,67
11:32,2065,Shawntrez Davis Defensive Rebound.,50,67
11:23,2065,Jeffrey Altidort missed Jumper.,50,67
11:23,249,Shane Temara Defensive Rebound.,50,67
11:13,2065,Foul on Jeffrey Altidort.,50,67
11:13,249,Ryan Woolridge made Free Throw.,50,68
11:13,249,Ryan Woolridge missed Free Throw.,50,68
11:13,2065,Brandon Tabb Defensive Rebound.,50,68
10:58,2065,Brandon Tabb made Three Point Jumper.,53,68
10:47,249,Michael Miller missed Three Point Jumper.,53,68
10:47,2065,Shawntrez Davis Defensive Rebound.,53,68
10:31,2065,Houston Smith made Layup.,55,68
10:31,249,Foul on Shane Temara.,55,68
10:31,2065,Houston Smith made Free Throw.,56,68
10:18,249,Michael Miller Turnover.,56,68
10:06,2065,Houston Smith made Layup.,58,68
9:43,2065,Foul on Isaiah Bailey.,58,68
9:43,249,A.J. Lawson made Free Throw.,58,69
9:43,249,A.J. Lawson made Free Throw.,58,70
9:19,2065,Malik Maitland missed Three Point Jumper.,58,70
9:19,249,Shane Temara Defensive Rebound.,58,70
9:16,2065,Foul on Brandon Tabb.,58,70
9:16,249,Ryan Woolridge made Free Throw.,58,71
9:16,249,Ryan Woolridge missed Free Throw.,58,71
9:16,2065,Shawntrez Davis Defensive Rebound.,58,71
8:55,2065,Malik Maitland missed Jumper.,58,71
8:55,249,Roosevelt Smart Defensive Rebound.,58,71
8:40,249,A.J. Lawson made Three Point Jumper. Assisted by Roosevelt Smart.,58,74
8:21,249,Foul on Allante Holston.,58,74
8:21,2065,Brandon Tabb made Free Throw.,59,74
8:21,2065,Brandon Tabb made Free Throw.,60,74
8:21,2065,Brandon Tabb made Free Throw.,61,74
8:16,249,Allante Holston Turnover.,61,74
8:13,2065,Shawntrez Davis Steal.,61,74
8:11,2065,Brandon Tabb missed Jumper.,61,74
8:11,249,Ryan Woolridge Defensive Rebound.,61,74
8:03,249,Shane Temara missed Jumper.,61,74
8:03,2065,Shawntrez Davis Defensive Rebound.,61,74
7:56,2065,Isaiah Bailey missed Layup.,61,74
7:56,249,Shane Temara Defensive Rebound.,61,74
7:40,2065,Foul on Jeffrey Altidort.,61,74
7:40,249,Official TV Timeout,61,74
7:40,249,A.J. Lawson missed Free Throw.,61,74
7:40,249,North Texas Deadball Team Rebound.,61,74
7:40,249,A.J. Lawson made Free Throw.,61,75
7:20,2065,Soufiyane Diakite made Jumper.,63,75
7:10,2065,Foul on Malik Maitland.,63,75
7:10,249,Ryan Woolridge made Free Throw.,63,76
7:10,249,Ryan Woolridge missed Free Throw.,63,76
7:10,2065,Shawntrez Davis Defensive Rebound.,63,76
7:00,2065,Malik Maitland made Three Point Jumper. Assisted by Jeffrey Altidort.,66,76
6:51,249,Shane Temara missed Jumper.,66,76
6:51,249,A.J. Lawson Offensive Rebound.,66,76
6:48,249,A.J. Lawson made Layup.,66,78
6:40,2065,Shawntrez Davis missed Jumper.,66,78
6:40,249,Roosevelt Smart Defensive Rebound.,66,78
6:20,249,Shane Temara missed Three Point Jumper.,66,78
6:20,2065,Soufiyane Diakite Defensive Rebound.,66,78
6:02,2065,Shawntrez Davis missed Jumper.,66,78
6:02,2065,Soufiyane Diakite Offensive Rebound.,66,78
5:58,2065,Soufiyane Diakite made Layup.,68,78
5:45,249,North Texas  Timeout,68,78
5:28,249,A.J. Lawson Turnover.,68,78
5:16,2065,Brandon Tabb missed Jumper.,68,78
5:16,2065,Bethune-Cookman Offensive Rebound.,68,78
5:06,2065,Malik Maitland missed Three Point Jumper.,68,78
5:06,2065,Shawntrez Davis Offensive Rebound.,68,78
5:00,2065,Isaiah Bailey missed Three Point Jumper.,68,78
5:00,249,A.J. Lawson Defensive Rebound.,68,78
4:49,249,A.J. Lawson missed Jumper.,68,78
4:49,2065,Jeffrey Altidort Block.,68,78
4:47,2065,Shawntrez Davis Defensive Rebound.,68,78
4:42,2065,Jeffrey Altidort missed Three Point Jumper.,68,78
4:42,249,North Texas Defensive Rebound.,68,78
4:26,249,Ryan Woolridge missed Layup.,68,78
4:26,2065,Soufiyane Diakite Block.,68,78
4:26,249,North Texas Offensive Rebound.,68,78
4:26,2065,Foul on Isaiah Bailey.,68,78
4:26,249,Zachary Simmons made Free Throw.,68,79
4:26,249,Zachary Simmons made Free Throw.,68,80
4:09,2065,Brandon Tabb Turnover.,68,80
4:09,2065,Foul on Brandon Tabb.,68,80
3:57,249,Michael Miller missed Jumper.,68,80
3:57,2065,Soufiyane Diakite Defensive Rebound.,68,80
3:48,2065,Isaiah Bailey missed Jumper.,68,80
3:48,249,Zachary Simmons Defensive Rebound.,68,80
3:29,2065,Foul on Houston Smith.,68,80
3:29,249,Official TV Timeout,68,80
3:29,249,Roosevelt Smart made Free Throw.,68,81
3:29,249,Roosevelt Smart missed Free Throw.,68,81
3:29,2065,Soufiyane Diakite Defensive Rebound.,68,81
3:19,249,Foul on Zachary Simmons.,68,81
3:19,2065,Soufiyane Diakite made Free Throw.,69,81
3:19,2065,Soufiyane Diakite made Free Throw.,70,81
3:09,2065,Foul on Shawntrez Davis.,70,81
3:09,249,Roosevelt Smart made Free Throw.,70,82
3:09,249,Roosevelt Smart missed Free Throw.,70,82
3:09,2065,Shawntrez Davis Defensive Rebound.,70,82
2:54,2065,Malik Maitland missed Three Point Jumper.,70,82
2:54,2065,Bethune-Cookman Offensive Rebound.,70,82
2:52,249,Foul on Zachary Simmons.,70,82
2:52,2065,Shawntrez Davis missed Free Throw.,70,82
2:52,2065,Bethune-Cookman Deadball Team Rebound.,70,82
2:52,2065,Shawntrez Davis missed Free Throw.,70,82
2:52,249,Zachary Simmons Defensive Rebound.,70,82
2:22,249,Ryan Woolridge missed Jumper.,70,82
2:22,2065,Soufiyane Diakite Block.,70,82
2:22,249,Roosevelt Smart Offensive Rebound.,70,82
2:22,249,North Texas  Turnover.,70,82
2:10,2065,Houston Smith made Jumper.,72,82
2:10,249,Foul on Zachary Simmons.,72,82
2:10,2065,Houston Smith missed Free Throw.,72,82
2:10,249,A.J. Lawson Defensive Rebound.,72,82
1:44,249,A.J. Lawson missed Three Point Jumper.,72,82
1:44,2065,Houston Smith Defensive Rebound.,72,82
1:36,2065,Shawntrez Davis made Jumper. Assisted by Isaiah Bailey.,74,82
1:36,2065,Bethune-Cookman  Timeout,74,82
1:23,2065,Foul on Isaiah Bailey.,74,82
1:23,249,Roosevelt Smart made Free Throw.,74,83
1:23,249,Roosevelt Smart made Free Throw.,74,84
1:13,2065,Soufiyane Diakite Turnover.,74,84
1:12,249,Roosevelt Smart Steal.,74,84
1:09,249,Roosevelt Smart made Layup.,74,86
0:58,2065,Isaiah Bailey missed Jumper.,74,86
0:58,249,Roosevelt Smart Defensive Rebound.,74,86
0:54,2065,Foul on Isaiah Bailey.,74,86
0:54,2065,Technical Foul on Isaiah Bailey.,74,86
0:54,249,Roosevelt Smart made Free Throw.,74,87
0:54,249,Roosevelt Smart made Free Throw.,74,88
0:54,249,Roosevelt Smart made Free Throw.,74,89
0:54,249,Roosevelt Smart made Free Throw.,74,90
0:45,2065,Malik Maitland made Three Point Jumper. Assisted by Shawntrez Davis.,77,90
0:40,2065,Foul on Jeffrey Altidort.,77,90
0:40,249,Ryan Woolridge missed Free Throw.,77,90
0:40,249,North Texas Deadball Team Rebound.,77,90
0:40,249,Ryan Woolridge missed Free Throw.,77,90
0:40,2065,Soufiyane Diakite Defensive Rebound.,77,90
0:30,249,Foul on Shane Temara.,77,90
0:30,2065,Shawntrez Davis missed Free Throw.,77,90
0:30,2065,Bethune-Cookman Deadball Team Rebound.,77,90
0:30,2065,Shawntrez Davis made Free Throw.,78,90
0:00,249,End of Game,78,90
