Chicago State,305,DePaul,2130
8:23,305,Joe Hanel made Free Throw.,11,33
8:23,305,Joe Hanel made Free Throw.,11,34
8:10,2130,Brian Greene Jr. missed Layup.,11,34
8:10,305,Joe Hanel Block.,11,34
8:10,305,Tre'Darius McCallum Defensive Rebound.,11,34
7:52,305,Eli Cain missed Three Point Jumper.,11,34
7:52,305,Tre'Darius McCallum Offensive Rebound.,11,34
7:50,305,Tre'Darius McCallum made Layup.,11,36
7:50,2130,Foul on Trayvon Palmer.,11,36
7:50,305,Official TV Timeout,11,36
7:50,305,Tre'Darius McCallum made Free Throw.,11,37
7:27,2130,Delundre Dixon made Layup.,13,37
7:13,305,Devin Gage missed Jumper.,13,37
7:13,305,Tre'Darius McCallum Offensive Rebound.,13,37
7:09,305,Tre'Darius McCallum missed Jumper.,13,37
7:09,305,Tre'Darius McCallum Offensive Rebound.,13,37
7:07,305,Tre'Darius McCallum made Jumper.,13,39
7:07,2130,Foul on Joshua Batson.,13,39
7:07,305,Tre'Darius McCallum missed Free Throw.,13,39
7:07,2130,Deionte Simmons Defensive Rebound.,13,39
6:49,2130,Deionte Simmons missed Jumper.,13,39
6:49,305,Eli Cain Defensive Rebound.,13,39
6:44,305,Foul on Eli Cain.,13,39
6:44,305,Eli Cain Turnover.,13,39
6:38,305,Foul on Al Eichelberger.,13,39
6:38,2130,Deionte Simmons missed Free Throw.,13,39
6:38,305,R.J. Curington Defensive Rebound.,13,39
6:21,305,Devin Gage made Jumper.,13,41
6:08,2130,Delundre Dixon missed Three Point Jumper.,13,41
6:08,305,Al Eichelberger Defensive Rebound.,13,41
6:08,2130,Foul on Joshua Batson.,13,41
6:08,305,Al Eichelberger missed Free Throw.,13,41
6:08,2130,Deionte Simmons Defensive Rebound.,13,41
5:56,2130,Fred Sims Jr. missed Jumper.,13,41
5:56,305,Tre'Darius McCallum Defensive Rebound.,13,41
5:48,2130,Foul on Clemmye Owens V.,13,41
5:48,305,Al Eichelberger missed Free Throw.,13,41
5:48,2130,Deionte Simmons Defensive Rebound.,13,41
5:47,305,Foul on Tre'Darius McCallum.,13,41
5:47,2130,Deionte Simmons made Free Throw.,14,41
5:47,2130,Deionte Simmons made Free Throw.,15,41
5:22,305,Eli Cain made Layup.,15,43
5:04,2130,Deionte Simmons Turnover.,15,43
4:45,305,Eli Cain made Three Point Jumper. Assisted by Darrick Wood.,15,46
4:12,2130,Clemmye Owens V missed Three Point Jumper.,15,46
4:12,305,DePaul Defensive Rebound.,15,46
3:51,305,Al Eichelberger made Layup. Assisted by Billy Garrett Jr..,15,48
3:31,2130,Fred Sims Jr. made Three Point Jumper.,18,48
3:19,305,Official TV Timeout,18,48
3:08,2130,Foul on Deionte Simmons.,18,48
3:08,305,Billy Garrett Jr. made Free Throw.,18,49
3:08,305,Billy Garrett Jr. made Free Throw.,18,50
2:40,2130,Brian Greene Jr. Turnover.,18,50
2:39,305,Al Eichelberger Steal.,18,50
2:37,2130,Foul on Fred Sims Jr..,18,50
2:37,305,Brandon Cyrus made Free Throw.,18,51
2:37,305,Brandon Cyrus missed Free Throw.,18,51
2:37,2130,Delundre Dixon Defensive Rebound.,18,51
2:08,305,Foul on Billy Garrett Jr..,18,51
2:08,2130,Patrick Szpir made Free Throw.,19,51
2:08,2130,Patrick Szpir made Free Throw.,20,51
2:01,305,Darrick Wood missed Jumper.,20,51
2:01,305,Al Eichelberger Offensive Rebound.,20,51
1:57,305,Al Eichelberger made Jumper.,20,53
1:41,2130,Delundre Dixon Turnover.,20,53
1:40,305,Brandon Cyrus Steal.,20,53
1:36,305,Eli Cain missed Three Point Jumper.,20,53
1:36,305,Brandon Cyrus Offensive Rebound.,20,53
1:35,2130,Foul on Brian Greene Jr..,20,53
1:35,305,Brandon Cyrus made Free Throw.,20,54
1:35,305,Brandon Cyrus made Free Throw.,20,55
1:28,2130,Brian Greene Jr. made Layup.,22,55
1:12,305,Al Eichelberger made Layup. Assisted by Darrick Wood.,22,57
1:00,2130,Fred Sims Jr. missed Layup.,22,57
1:00,305,Brandon Cyrus Defensive Rebound.,22,57
0:55,2130,Foul on Brian Greene Jr..,22,57
0:55,305,Eli Cain made Free Throw.,22,58
0:55,305,Eli Cain missed Free Throw.,22,58
0:55,2130,Clemmye Owens V Defensive Rebound.,22,58
0:38,2130,Clemmye Owens V missed Three Point Jumper.,22,58
0:38,305,Darrick Wood Defensive Rebound.,22,58
0:28,305,Darrick Wood made Layup.,22,60
0:00,2130,Clemmye Owens V missed Layup.,22,60
0:00,2130,Patrick Szpir Offensive Rebound.,22,60
0:00,305,End of 1st half,22,60
19:55,305,Brandon Cyrus made Jumper. Assisted by Billy Garrett Jr..,22,62
19:33,2130,Fred Sims Jr. missed Layup.,22,62
19:33,305,Brandon Cyrus Defensive Rebound.,22,62
19:24,305,Eli Cain Turnover.,22,62
19:11,305,Foul on Joe Hanel.,22,62
19:11,2130,Trayvon Palmer missed Free Throw.,22,62
19:11,2130,Chicago St Deadball Team Rebound.,22,62
19:11,2130,Trayvon Palmer made Free Throw.,23,62
19:04,305,Brandon Cyrus missed Layup.,23,62
19:04,2130,Trayvon Palmer Block.,23,62
19:04,2130,Trayvon Palmer Defensive Rebound.,23,62
18:45,2130,Fred Sims Jr. made Jumper. Assisted by Brian Greene Jr..,25,62
18:36,2130,Foul on Joshua Batson.,25,62
18:21,305,Joe Hanel made Layup. Assisted by Billy Garrett Jr..,25,64
18:00,2130,Trayvon Palmer missed Layup.,25,64
18:00,2130,Patrick Szpir Offensive Rebound.,25,64
17:58,305,Foul on Eli Cain.,25,64
17:58,2130,Patrick Szpir made Free Throw.,26,64
17:58,2130,Patrick Szpir missed Free Throw.,26,64
17:58,305,Joe Hanel Defensive Rebound.,26,64
17:42,2130,Foul on Patrick Szpir.,26,64
17:42,305,Tre'Darius McCallum made Free Throw.,26,65
17:42,305,Tre'Darius McCallum made Free Throw.,26,66
17:27,2130,Fred Sims Jr. made Layup.,28,66
17:03,2130,Foul on Anthony Eaves.,28,66
16:57,305,Foul on Billy Garrett Jr..,28,66
16:57,305,Billy Garrett Jr. Turnover.,28,66
16:52,305,Foul on Joe Hanel.,28,66
16:50,2130,Trayvon Palmer made Layup. Assisted by Clemmye Owens V.,30,66
16:41,305,Levi Cook missed Layup.,30,66
16:41,2130,Trayvon Palmer Block.,30,66
16:41,2130,Trayvon Palmer Defensive Rebound.,30,66
16:35,305,Foul on Brandon Cyrus.,30,66
16:35,2130,Delundre Dixon missed Free Throw.,30,66
16:35,2130,Chicago St Deadball Team Rebound.,30,66
16:35,2130,Delundre Dixon made Free Throw.,31,66
16:31,305,Devin Gage Turnover.,31,66
16:29,2130,Clemmye Owens V Steal.,31,66
16:27,2130,Anthony Eaves missed Three Point Jumper.,31,66
16:27,305,Tre'Darius McCallum Defensive Rebound.,31,66
15:54,305,Eli Cain missed Three Point Jumper.,31,66
15:54,305,Levi Cook Offensive Rebound.,31,66
15:50,305,Levi Cook Turnover.,31,66
15:48,2130,Fred Sims Jr. Steal.,31,66
15:45,2130,Anthony Eaves missed Layup.,31,66
15:45,305,Eli Cain Block.,31,66
15:45,305,Brandon Cyrus Defensive Rebound.,31,66
15:38,305,Eli Cain made Layup. Assisted by Tre'Darius McCallum.,31,68
15:22,2130,Trayvon Palmer made Three Point Jumper. Assisted by Fred Sims Jr..,34,68
14:52,305,Tre'Darius McCallum made Three Point Jumper. Assisted by Eli Cain.,34,71
14:35,2130,Fred Sims Jr. missed Three Point Jumper.,34,71
14:35,305,Levi Cook Defensive Rebound.,34,71
14:26,2130,Foul on Delundre Dixon.,34,71
14:26,305,Official TV Timeout,34,71
14:05,305,Devin Gage made Layup.,34,73
13:45,2130,Trayvon Palmer made Jumper. Assisted by Delundre Dixon.,36,73
13:41,2130,Foul on Clemmye Owens V.,36,73
13:18,2130,Foul on Alex Dubovitskiy.,36,73
13:13,305,Tre'Darius McCallum missed Layup.,36,73
13:13,305,Al Eichelberger Offensive Rebound.,36,73
13:10,305,Al Eichelberger missed Layup.,36,73
13:10,305,Tre'Darius McCallum Offensive Rebound.,36,73
13:07,305,Tre'Darius McCallum missed Jumper.,36,73
13:07,305,DePaul Offensive Rebound.,36,73
13:05,305,Eli Cain made Three Point Jumper. Assisted by Devin Gage.,36,76
12:47,305,Foul on Darrick Wood.,36,76
12:40,2130,Delundre Dixon missed Jumper.,36,76
12:40,305,Al Eichelberger Defensive Rebound.,36,76
12:30,305,Billy Garrett Jr. Turnover.,36,76
12:29,2130,Fred Sims Jr. Steal.,36,76
12:24,2130,Fred Sims Jr. made Layup.,38,76
12:00,305,Darrick Wood Turnover.,38,76
11:59,2130,Clemmye Owens V Steal.,38,76
11:51,305,Foul on Al Eichelberger.,38,76
11:51,305,Official TV Timeout,38,76
11:51,2130,Clemmye Owens V made Free Throw.,39,76
11:51,2130,Clemmye Owens V made Free Throw.,40,76
11:45,305,Al Eichelberger made Layup. Assisted by Devin Gage.,40,78
11:28,2130,Alex Dubovitskiy missed Jumper.,40,78
11:28,305,DePaul Defensive Rebound.,40,78
11:19,305,Billy Garrett Jr. missed Three Point Jumper.,40,78
11:19,2130,Delundre Dixon Defensive Rebound.,40,78
11:12,2130,Fred Sims Jr. made Jumper. Assisted by Clemmye Owens V.,42,78
10:45,305,Darrick Wood made Three Point Jumper. Assisted by Devin Gage.,42,81
10:35,2130,Clemmye Owens V made Three Point Jumper. Assisted by Delundre Dixon.,45,81
10:23,305,Darrick Wood missed Three Point Jumper.,45,81
10:23,2130,Trayvon Palmer Defensive Rebound.,45,81
10:14,2130,Clemmye Owens V missed Jumper.,45,81
10:14,305,Darrick Wood Defensive Rebound.,45,81
10:05,305,Darrick Wood Turnover.,45,81
10:04,2130,Trayvon Palmer Steal.,45,81
10:00,2130,Fred Sims Jr. made Jumper.,47,81
9:59,305,DePaul  Timeout,47,81
9:38,305,Brandon Cyrus made Jumper. Assisted by Devin Gage.,47,83
9:20,2130,Trayvon Palmer missed Three Point Jumper.,47,83
9:20,305,Tre'Darius McCallum Defensive Rebound.,47,83
9:11,2130,Foul on Clemmye Owens V.,47,83
9:11,305,Eli Cain made Free Throw.,47,84
9:11,305,Eli Cain missed Free Throw.,47,84
9:11,2130,Trayvon Palmer Defensive Rebound.,47,84
8:50,2130,Alex Dubovitskiy Turnover.,47,84
8:29,305,Tre'Darius McCallum made Three Point Jumper. Assisted by Devin Gage.,47,87
8:11,305,Foul on Devin Gage.,47,87
8:11,2130,Delundre Dixon made Free Throw.,48,87
8:11,2130,Delundre Dixon made Free Throw.,49,87
7:59,305,Eli Cain made Layup.,49,89
7:42,2130,Clemmye Owens V made Layup.,51,89
7:20,2130,Foul on Delundre Dixon.,51,89
7:20,305,Official TV Timeout,51,89
7:20,305,Devin Gage made Free Throw.,51,90
7:20,305,Devin Gage missed Free Throw.,51,90
7:20,2130,Montana Byrd Defensive Rebound.,51,90
7:01,2130,Clemmye Owens V made Layup. Assisted by Delundre Dixon.,53,90
6:40,305,R.J. Curington made Three Point Jumper. Assisted by Eli Cain.,53,93
6:13,2130,Montana Byrd Turnover.,53,93
6:11,305,Devin Gage Steal.,53,93
6:04,305,Eli Cain made Three Point Jumper. Assisted by Devin Gage.,53,96
5:41,2130,Fred Sims Jr. missed Layup.,53,96
5:41,2130,Trayvon Palmer Offensive Rebound.,53,96
5:36,2130,Trayvon Palmer made Dunk.,55,96
5:16,2130,Foul on Montana Byrd.,55,96
5:16,305,R.J. Curington made Free Throw.,55,97
5:16,305,R.J. Curington made Free Throw.,55,98
5:01,2130,Fred Sims Jr. missed Three Point Jumper.,55,98
5:01,305,R.J. Curington Defensive Rebound.,55,98
4:57,305,R.J. Curington Turnover.,55,98
4:31,2130,Fred Sims Jr. made Jumper.,57,98
4:12,2130,Foul on Montana Byrd.,57,98
4:12,305,Levi Cook made Free Throw.,57,99
4:12,305,Levi Cook missed Free Throw.,57,99
4:12,2130,Fred Sims Jr. Defensive Rebound.,57,99
3:57,2130,Delundre Dixon made Layup.,59,99
3:43,305,Brandon Cyrus made Layup. Assisted by Levi Cook.,59,101
3:43,2130,Foul on Montana Byrd.,59,101
3:43,305,Official TV Timeout,59,101
3:43,305,Brandon Cyrus missed Free Throw.,59,101
3:43,2130,Chicago St Defensive Rebound.,59,101
3:21,2130,Montana Byrd Turnover.,59,101
3:09,305,Billy Garrett Jr. Turnover.,59,101
2:57,2130,Trayvon Palmer missed Layup.,59,101
2:57,305,Brandon Cyrus Defensive Rebound.,59,101
2:46,305,R.J. Curington missed Three Point Jumper.,59,101
2:46,305,DePaul Offensive Rebound.,59,101
2:37,305,Brandon Cyrus made Layup.,59,103
2:21,2130,Montana Byrd missed Three Point Jumper.,59,103
2:21,305,Erten Gazi Defensive Rebound.,59,103
2:05,2130,Foul on Fred Sims Jr..,59,103
2:05,305,Erten Gazi made Free Throw.,59,104
2:05,305,Erten Gazi made Free Throw.,59,105
1:54,2130,Fred Sims Jr. missed Three Point Jumper.,59,105
1:54,2130,Trayvon Palmer Offensive Rebound.,59,105
1:54,2130,Trayvon Palmer Offensive Rebound.,59,105
1:49,2130,Trayvon Palmer missed Jumper.,59,105
1:49,305,David Leitao III Defensive Rebound.,59,105
1:30,305,Erten Gazi made Jumper.,59,107
1:10,2130,Gentry Hunt missed Three Point Jumper.,59,107
1:10,2130,Gentry Hunt Offensive Rebound.,59,107
1:06,2130,Gentry Hunt made Jumper.,61,107
0:45,305,Devin Gage made Layup.,61,109
0:32,2130,Clemmye Owens V missed Three Point Jumper.,61,109
0:32,305,Erten Gazi Defensive Rebound.,61,109
0:00,305,DePaul  Turnover.,61,109
0:00,305,End of 2nd half,61,109
0:00,305,End of Game,61,109
