Kennesaw State,113,Massachusetts,338
7:45,338,Kennesaw St Deadball Team Rebound.,26,29
7:45,338,Zach Cameron made Free Throw.,27,29
7:32,113,Chris Baldwin made Layup. Assisted by Luwane Pipkins.,27,31
7:12,338,James Scott missed Three Point Jumper.,27,31
7:12,338,Johannes Nielsen Offensive Rebound.,27,31
7:08,338,Johannes Nielsen missed Layup.,27,31
7:08,113,Chris Baldwin Block.,27,31
7:03,338,Johannes Nielsen Offensive Rebound.,27,31
6:52,338,James Scott missed Layup.,27,31
6:52,113,Brison Gresham Block.,27,31
6:50,113,Brison Gresham Defensive Rebound.,27,31
6:43,113,Luwane Pipkins missed Three Point Jumper.,27,31
6:43,338,Kennesaw St Deadball Team Rebound.,27,31
6:41,113,Foul on Chris Baldwin.,27,31
6:41,338,Zach Cameron missed Free Throw.,27,31
6:41,113,Chris Baldwin Defensive Rebound.,27,31
6:25,113,Chris Baldwin missed Jumper.,27,31
6:25,338,Tyler Hooker Defensive Rebound.,27,31
6:14,338,Tyler Hooker missed Jumper.,27,31
6:14,113,Chris Baldwin Defensive Rebound.,27,31
5:56,113,Donte Clark missed Layup.,27,31
5:56,338,Johannes Nielsen Block.,27,31
5:53,113,Massachusetts Offensive Rebound.,27,31
5:51,113,Rashaan Holloway missed Layup.,27,31
5:51,338,James Scott Defensive Rebound.,27,31
5:21,338,Foul on James Scott.,27,31
5:21,338,James Scott Turnover.,27,31
5:05,113,Rashaan Holloway made Layup. Assisted by Chris Baldwin.,27,33
4:49,113,Foul on Rashaan Holloway.,27,33
4:49,338,Tyler Hooker made Free Throw.,28,33
4:49,338,Tyler Hooker made Free Throw.,29,33
4:41,113,Luwane Pipkins Turnover.,29,33
4:39,338,James Scott Steal.,29,33
4:38,338,James Scott Turnover.,29,33
4:26,113,Zach Lewis missed Jumper.,29,33
4:26,113,Malik Hines Offensive Rebound.,29,33
4:22,113,Malik Hines missed Jumper.,29,33
4:22,113,Chris Baldwin Offensive Rebound.,29,33
4:19,113,Chris Baldwin made Layup.,29,35
4:02,338,Johannes Nielsen missed Jumper.,29,35
4:02,113,Luwane Pipkins Defensive Rebound.,29,35
3:56,113,C.J. Anderson missed Layup.,29,35
3:56,113,C.J. Anderson Offensive Rebound.,29,35
3:53,113,C.J. Anderson missed Layup.,29,35
3:53,338,Johannes Nielsen Defensive Rebound.,29,35
3:46,338,Johannes Nielsen missed Layup.,29,35
3:46,113,C.J. Anderson Defensive Rebound.,29,35
3:40,113,Luwane Pipkins missed Layup.,29,35
3:40,338,Kennesaw St Defensive Rebound.,29,35
3:37,113,Official TV Timeout,29,35
3:19,338,Johannes Nielsen made Layup. Assisted by James Scott.,31,35
2:57,113,Zach Lewis missed Layup.,31,35
2:57,113,Malik Hines Offensive Rebound.,31,35
2:54,113,Malik Hines made Layup.,31,37
2:38,338,James Scott missed Jumper.,31,37
2:38,338,Aubrey Williams Offensive Rebound.,31,37
2:25,338,Kyle Clarke Turnover.,31,37
2:22,113,C.J. Anderson Steal.,31,37
2:05,113,Chris Baldwin made Jumper. Assisted by Dejon Jarreau.,31,39
1:51,338,Nick Masterson Turnover.,31,39
1:32,113,Zach Lewis made Layup.,31,41
1:19,338,Kyle Clarke missed Jumper.,31,41
1:19,113,Dejon Jarreau Block.,31,41
1:16,338,Johannes Nielsen Offensive Rebound.,31,41
1:13,338,Johannes Nielsen missed Layup.,31,41
1:13,113,Chris Baldwin Defensive Rebound.,31,41
1:10,113,Dejon Jarreau Turnover.,31,41
0:53,113,Foul on Zach Lewis.,31,41
0:53,338,Kendrick Ray made Free Throw.,32,41
0:53,338,Kendrick Ray made Free Throw.,33,41
0:38,338,Foul on Nick Masterson.,33,41
0:38,113,Foul on Malik Hines.,33,41
0:38,113,Malik Hines Turnover.,33,41
0:27,338,Kennesaw St  Timeout,33,41
0:06,338,Kendrick Ray made Layup.,35,41
0:00,113,End of 1st half,35,41
19:49,113,Luwane Pipkins missed Three Point Jumper.,35,41
19:49,113,Rashaan Holloway Offensive Rebound.,35,41
19:46,113,Rashaan Holloway made Layup.,35,43
19:46,338,Foul on Aubrey Williams.,35,43
19:46,113,Rashaan Holloway made Free Throw.,35,44
19:19,338,Kendrick Ray made Three Point Jumper. Assisted by Nick Masterson.,38,44
19:02,113,Rashaan Holloway made Layup.,38,46
19:01,338,Foul on Jordan Jones.,38,46
19:01,113,Rashaan Holloway made Free Throw.,38,47
18:49,338,Kendrick Ray Turnover.,38,47
18:46,113,Rashaan Holloway Steal.,38,47
18:40,113,Luwane Pipkins made Three Point Jumper. Assisted by Rashaan Holloway.,38,50
18:39,338,Kennesaw St  Timeout,38,50
18:29,338,Kyle Clarke missed Layup.,38,50
18:29,113,Rashaan Holloway Defensive Rebound.,38,50
18:15,113,Rashaan Holloway missed Layup.,38,50
18:15,338,Aubrey Williams Block.,38,50
18:13,113,Rashaan Holloway Offensive Rebound.,38,50
18:12,113,Seth Berger Turnover.,38,50
17:58,338,Kendrick Ray missed Three Point Jumper.,38,50
17:58,113,Luwane Pipkins Defensive Rebound.,38,50
17:52,113,Luwane Pipkins missed Three Point Jumper.,38,50
17:52,338,Nick Masterson Defensive Rebound.,38,50
17:39,338,Kendrick Ray Turnover.,38,50
17:37,113,Luwane Pipkins Steal.,38,50
17:33,113,Dejon Jarreau made Dunk. Assisted by Donte Clark.,38,52
17:12,338,Nick Masterson made Three Point Jumper. Assisted by Kendrick Ray.,41,52
17:06,113,Foul on Rashaan Holloway.,41,52
17:06,113,Rashaan Holloway Turnover.,41,52
16:45,338,Aubrey Williams missed Layup.,41,52
16:45,113,Malik Hines Defensive Rebound.,41,52
16:36,113,Seth Berger missed Layup.,41,52
16:36,338,Aubrey Williams Block.,41,52
16:33,338,Aubrey Williams Defensive Rebound.,41,52
16:26,338,Jordan Jones missed Jumper.,41,52
16:26,113,Dejon Jarreau Defensive Rebound.,41,52
16:18,113,Dejon Jarreau made Layup.,41,54
16:18,338,Foul on Jordan Jones.,41,54
16:18,113,Dejon Jarreau made Free Throw.,41,55
16:01,338,Nick Masterson missed Jumper.,41,55
16:01,338,Kendrick Ray Offensive Rebound.,41,55
15:49,338,Kendrick Ray made Layup.,43,55
15:35,113,Dejon Jarreau Turnover.,43,55
15:33,338,Aubrey Williams Steal.,43,55
15:27,338,Jordan Jones missed Layup.,43,55
15:27,113,Dejon Jarreau Block.,43,55
15:24,338,Aubrey Williams Offensive Rebound.,43,55
15:22,338,Aubrey Williams missed Jumper.,43,55
15:22,338,Kyle Clarke Offensive Rebound.,43,55
15:22,113,Foul on Chris Baldwin.,43,55
15:22,113,Official TV Timeout,43,55
15:22,338,Kyle Clarke made Free Throw.,44,55
15:22,338,Kyle Clarke made Free Throw.,45,55
15:02,113,Donte Clark missed Jumper.,45,55
15:02,338,Jordan Jones Defensive Rebound.,45,55
15:01,338,Jordan Jones Turnover.,45,55
14:54,113,Tyrn Flowers made Layup. Assisted by Malik Hines.,45,57
14:38,338,Kendrick Ray made Three Point Jumper. Assisted by Nick Masterson.,48,57
14:10,113,Donte Clark made Three Point Jumper. Assisted by Dejon Jarreau.,48,60
13:53,338,Nick Masterson made Jumper. Assisted by Kendrick Ray.,50,60
13:44,113,Dejon Jarreau missed Jumper.,50,60
13:44,338,Aubrey Williams Defensive Rebound.,50,60
13:39,113,Foul on C.J. Anderson.,50,60
13:34,113,Foul on Donte Clark.,50,60
13:34,113,Technical Foul on Donte Clark.,50,60
13:34,338,Nick Masterson missed Free Throw.,50,60
13:34,338,Kennesaw St Deadball Team Rebound.,50,60
13:34,338,Nick Masterson made Free Throw.,51,60
13:34,113,Foul on Donte Clark.,51,60
13:31,338,Kyle Clarke Turnover.,51,60
13:06,113,Luwane Pipkins missed Layup.,51,60
13:06,338,Aubrey Williams Defensive Rebound.,51,60
12:55,338,Tyler Hooker missed Layup.,51,60
12:55,338,Jordan Jones Offensive Rebound.,51,60
12:54,113,Foul on Tyrn Flowers.,51,60
12:54,338,Jordan Jones made Free Throw.,52,60
12:54,338,Jordan Jones made Free Throw.,53,60
12:43,338,Foul on Tyler Hooker.,53,60
12:27,113,Tyrn Flowers made Three Point Jumper. Assisted by Zach Lewis.,53,63
11:53,338,Aubrey Williams missed Layup.,53,63
11:53,113,Brison Gresham Block.,53,63
11:53,113,Massachusetts Deadball Team Rebound.,53,63
11:49,113,Official TV Timeout,53,63
11:36,113,Luwane Pipkins made Three Point Jumper. Assisted by Tyrn Flowers.,53,66
11:06,338,Jordan Jones made Layup. Assisted by Tyler Hooker.,55,66
10:37,113,Tyrn Flowers made Three Point Jumper. Assisted by C.J. Anderson.,55,69
10:17,338,Kendrick Ray made Three Point Jumper.,58,69
9:53,113,C.J. Anderson Turnover.,58,69
9:51,338,Aubrey Williams Steal.,58,69
9:46,338,Kendrick Ray missed Three Point Jumper.,58,69
9:46,338,Kennesaw St Deadball Team Rebound.,58,69
9:46,113,Foul on Zach Lewis.,58,69
9:46,338,Aubrey Williams made Free Throw.,59,69
9:46,338,Aubrey Williams made Free Throw.,60,69
9:38,113,Tyrn Flowers missed Three Point Jumper.,60,69
9:38,338,Aubrey Williams Defensive Rebound.,60,69
9:23,338,Kendrick Ray made Layup.,62,69
9:23,113,Foul on Dejon Jarreau.,62,69
9:23,338,Kendrick Ray made Free Throw.,63,69
9:13,113,Rashaan Holloway made Dunk. Assisted by Donte Clark.,63,71
9:00,338,Tyler Hooker missed Layup.,63,71
9:00,113,Brison Gresham Defensive Rebound.,63,71
8:55,113,Luwane Pipkins made Layup. Assisted by Donte Clark.,63,73
8:52,338,Foul on Kendrick Ray.,63,73
8:52,113,Luwane Pipkins made Free Throw.,63,74
8:26,338,Tyler Hooker Turnover.,63,74
8:06,113,Rashaan Holloway missed Jumper.,63,74
8:06,338,Aubrey Williams Defensive Rebound.,63,74
8:03,113,Foul on Luwane Pipkins.,63,74
8:03,338,Aubrey Williams made Free Throw.,64,74
8:03,338,Aubrey Williams made Free Throw.,65,74
7:44,113,Foul on Rashaan Holloway.,65,74
7:44,113,Rashaan Holloway Turnover.,65,74
7:44,113,Official TV Timeout,65,74
7:33,338,Kendrick Ray missed Jumper.,65,74
7:33,338,Aubrey Williams Offensive Rebound.,65,74
7:29,338,Kyle Clarke Turnover.,65,74
7:21,113,Brison Gresham made Dunk. Assisted by Dejon Jarreau.,65,76
7:03,113,Foul on Brison Gresham.,65,76
7:03,338,Kendrick Ray made Free Throw.,66,76
7:03,338,Kendrick Ray made Free Throw.,67,76
6:46,113,Luwane Pipkins made Three Point Jumper. Assisted by Dejon Jarreau.,67,79
6:18,338,Aubrey Williams missed Layup.,67,79
6:18,113,Brison Gresham Block.,67,79
6:15,113,Donte Clark Defensive Rebound.,67,79
6:12,113,Luwane Pipkins missed Three Point Jumper.,67,79
6:12,338,Kendrick Ray Defensive Rebound.,67,79
6:04,113,Foul on Luwane Pipkins.,67,79
6:04,338,Kendrick Ray made Free Throw.,68,79
6:04,338,Kendrick Ray made Free Throw.,69,79
5:48,338,Foul on Kyle Clarke.,69,79
5:33,338,Foul on Johannes Nielsen.,69,79
5:33,113,Dejon Jarreau made Free Throw.,69,80
5:33,113,Dejon Jarreau missed Free Throw.,69,80
5:33,338,Johannes Nielsen Defensive Rebound.,69,80
5:26,113,Foul on Brison Gresham.,69,80
5:26,338,Kendrick Ray made Free Throw.,70,80
5:26,338,Kendrick Ray made Free Throw.,71,80
5:15,113,Luwane Pipkins missed Three Point Jumper.,71,80
5:15,113,Brison Gresham Offensive Rebound.,71,80
5:10,113,Brison Gresham made Dunk.,71,82
5:02,338,Nick Masterson missed Three Point Jumper.,71,82
5:02,113,Brison Gresham Defensive Rebound.,71,82
4:54,113,Donte Clark Turnover.,71,82
4:40,338,James Scott Turnover.,71,82
4:26,113,Dejon Jarreau Turnover.,71,82
4:16,338,Kendrick Ray Turnover.,71,82
4:14,113,Luwane Pipkins Steal.,71,82
4:06,113,Dejon Jarreau missed Layup.,71,82
4:06,113,Dejon Jarreau Offensive Rebound.,71,82
4:03,113,Dejon Jarreau made Layup.,71,84
3:44,338,Kendrick Ray missed Three Point Jumper.,71,84
3:44,113,Dejon Jarreau Defensive Rebound.,71,84
3:34,113,Dejon Jarreau made Three Point Jumper. Assisted by Donte Clark.,71,87
3:08,113,Foul on Brison Gresham.,71,87
3:08,113,Official TV Timeout,71,87
3:08,338,Aubrey Williams made Free Throw.,72,87
3:08,338,Aubrey Williams made Free Throw.,73,87
2:46,113,Dejon Jarreau missed Jumper.,73,87
2:46,113,Brison Gresham Offensive Rebound.,73,87
2:42,113,Brison Gresham missed Two Point Tip Shot.,73,87
2:42,338,Nick Masterson Defensive Rebound.,73,87
2:37,338,Kendrick Ray Turnover.,73,87
2:35,113,Dejon Jarreau Steal.,73,87
2:33,113,Tyrn Flowers made Dunk. Assisted by Dejon Jarreau.,73,89
2:18,338,Aubrey Williams made Layup. Assisted by Nick Masterson.,75,89
1:56,113,Chris Baldwin missed Jumper.,75,89
1:56,338,James Scott Defensive Rebound.,75,89
1:51,338,James Scott made Layup.,77,89
1:36,113,Dejon Jarreau made Dunk.,77,91
1:35,338,Foul on Nick Masterson.,77,91
1:35,113,Dejon Jarreau made Free Throw.,77,92
1:25,338,James Scott missed Jumper.,77,92
1:25,113,Chris Baldwin Defensive Rebound.,77,92
1:00,113,Dejon Jarreau missed Three Point Jumper.,77,92
1:00,338,Johannes Nielsen Defensive Rebound.,77,92
0:54,338,Kendrick Ray missed Layup.,77,92
0:54,113,Brison Gresham Defensive Rebound.,77,92
0:41,113,Luwane Pipkins made Three Point Jumper. Assisted by Tyrn Flowers.,77,95
0:23,338,James Scott missed Three Point Jumper.,77,95
0:23,113,Tyrn Flowers Defensive Rebound.,77,95
0:00,113,End of Game,77,95
