Chattanooga,238,Vanderbilt,236
8:34,238,Clevon Brown Turnover.,19,21
8:26,236,Greg Pryor made Three Point Jumper.,22,21
8:05,238,Joe Toye missed Layup.,22,21
8:05,236,Justin Tuoyo Block.,22,21
8:05,238,Vanderbilt Offensive Rebound.,22,21
8:05,238,Jeff Roberson made Layup. Assisted by Joe Toye.,22,23
7:53,236,Greg Pryor missed Three Point Jumper.,22,23
7:52,238,Matthew Fisher-Davis Defensive Rebound.,22,23
7:44,238,Joe Toye made Layup.,22,25
7:43,236,Foul on Nat Dixon.,22,25
7:43,238,Official TV Timeout,22,25
7:43,238,Joe Toye made Free Throw.,22,26
7:24,236,Makale Foreman made Three Point Jumper. Assisted by Greg Pryor.,25,26
6:53,238,Foul on Jeff Roberson.,25,26
6:53,238,Jeff Roberson Turnover.,25,26
6:22,236,Justin Tuoyo missed Layup.,25,26
6:22,236,Justin Tuoyo Offensive Rebound.,25,26
6:22,236,Chattanooga  Turnover.,25,26
5:53,238,Luke Kornet missed Jumper.,25,26
5:53,236,Makinde London Defensive Rebound.,25,26
5:43,236,Justin Tuoyo made Layup.,27,26
5:22,238,Luke Kornet made Layup. Assisted by Payton Willis.,27,28
5:13,236,Makinde London missed Three Point Jumper.,27,28
5:13,236,Justin Tuoyo Offensive Rebound.,27,28
4:50,236,Justin Tuoyo missed Jumper.,27,28
4:50,238,Matthew Fisher-Davis Defensive Rebound.,27,28
4:48,236,Foul on Makinde London.,27,28
4:48,238,Matthew Fisher-Davis made Free Throw.,27,29
4:48,238,Matthew Fisher-Davis made Free Throw.,27,30
4:35,236,Justin Tuoyo made Dunk. Assisted by Nat Dixon.,29,30
4:12,238,Jeff Roberson missed Layup.,29,30
4:12,236,Greg Pryor Defensive Rebound.,29,30
4:00,236,Johnathan Burroughs-Cook missed Three Point Jumper.,29,30
4:00,238,Payton Willis Defensive Rebound.,29,30
3:51,238,Matthew Fisher-Davis missed Three Point Jumper.,29,30
3:51,236,Nat Dixon Defensive Rebound.,29,30
3:25,238,Foul on Matthew Fisher-Davis.,29,30
3:25,238,Official TV Timeout,29,30
3:25,236,Greg Pryor made Free Throw.,30,30
3:25,236,Greg Pryor made Free Throw.,31,30
3:10,238,Luke Kornet Turnover.,31,30
2:52,236,Tre' McLean missed Jumper.,31,30
2:52,236,Justin Tuoyo Offensive Rebound.,31,30
2:48,236,Justin Tuoyo missed Jumper.,31,30
2:48,238,Luke Kornet Block.,31,30
2:47,238,Jeff Roberson Defensive Rebound.,31,30
2:42,238,Matthew Fisher-Davis missed Three Point Jumper.,31,30
2:42,236,Chattanooga Defensive Rebound.,31,30
2:20,236,Johnathan Burroughs-Cook made Jumper.,33,30
2:01,238,Payton Willis made Layup. Assisted by Luke Kornet.,33,32
1:43,236,Tre' McLean missed Jumper.,33,32
1:43,236,Justin Tuoyo Offensive Rebound.,33,32
1:25,236,Justin Tuoyo Turnover.,33,32
1:12,238,Luke Kornet missed Three Point Jumper.,33,32
1:12,236,Greg Pryor Defensive Rebound.,33,32
0:56,236,Tre' McLean made Dunk. Assisted by Justin Tuoyo.,35,32
0:56,238,Foul on Matthew Fisher-Davis.,35,32
0:56,236,Tre' McLean made Free Throw.,36,32
0:42,238,Payton Willis made Layup. Assisted by Jeff Roberson.,36,34
0:25,236,Tre' McLean missed Jumper.,36,34
0:25,236,Justin Tuoyo Offensive Rebound.,36,34
0:22,236,Justin Tuoyo made Two Point Tip Shot.,38,34
0:16,238,Vanderbilt  Timeout,38,34
0:00,238,Matthew Fisher-Davis missed Three Point Jumper.,38,34
0:00,238,Vanderbilt Deadball Team Rebound.,38,34
0:00,238,End of 1st half,38,34
19:45,238,Riley LaChance missed Three Point Jumper.,38,34
19:45,238,Payton Willis Offensive Rebound.,38,34
19:41,238,Payton Willis made Two Point Tip Shot.,38,36
19:13,236,Johnathan Burroughs-Cook made Layup.,40,36
18:45,236,Foul on Johnathan Burroughs-Cook.,40,36
18:45,238,Luke Kornet made Free Throw.,40,37
18:45,238,Luke Kornet missed Free Throw.,40,37
18:45,236,Tre' McLean Defensive Rebound.,40,37
18:15,236,Johnathan Burroughs-Cook missed Jumper.,40,37
18:15,236,Johnathan Burroughs-Cook Offensive Rebound.,40,37
18:14,238,Foul on Payton Willis.,40,37
18:14,236,Johnathan Burroughs-Cook missed Free Throw.,40,37
18:14,236,Chattanooga Deadball Team Rebound.,40,37
18:14,236,Johnathan Burroughs-Cook made Free Throw.,41,37
17:55,238,Jeff Roberson made Jumper.,41,39
17:38,236,Casey Jones made Jumper. Assisted by Greg Pryor.,43,39
17:17,238,Matthew Fisher-Davis made Layup. Assisted by Riley LaChance.,43,41
16:54,236,Tre' McLean made Three Point Jumper. Assisted by Greg Pryor.,46,41
16:34,238,Luke Kornet made Three Point Jumper. Assisted by Riley LaChance.,46,44
16:22,236,Casey Jones made Jumper.,48,44
16:22,238,Foul on Jeff Roberson.,48,44
16:22,236,Casey Jones missed Free Throw.,48,44
16:22,238,Payton Willis Defensive Rebound.,48,44
16:08,238,Luke Kornet missed Three Point Jumper.,48,44
16:08,236,Johnathan Burroughs-Cook Defensive Rebound.,48,44
15:54,236,Johnathan Burroughs-Cook missed Layup.,48,44
15:54,236,Justin Tuoyo Offensive Rebound.,48,44
15:51,236,Justin Tuoyo made Two Point Tip Shot.,50,44
15:46,238,Vanderbilt  Timeout,50,44
15:26,238,Jeff Roberson made Jumper.,50,46
15:04,238,Foul on Matthew Fisher-Davis.,50,46
15:04,238,Official TV Timeout,50,46
14:49,236,Greg Pryor made Jumper.,52,46
14:30,236,Foul on Tre' McLean.,52,46
14:16,238,Matthew Fisher-Davis missed Layup.,52,46
14:16,236,Makinde London Defensive Rebound.,52,46
14:00,236,Nat Dixon made Layup.,54,46
13:43,238,Matthew Fisher-Davis made Jumper. Assisted by Nolan Cressler.,54,48
13:25,236,Makinde London missed Three Point Jumper.,54,48
13:25,238,Matthew Fisher-Davis Defensive Rebound.,54,48
13:03,236,Foul on Makinde London.,54,48
12:59,236,Foul on Tre' McLean.,54,48
12:59,238,Joe Toye made Free Throw.,54,49
12:59,238,Joe Toye made Free Throw.,54,50
12:45,236,Casey Jones made Jumper.,56,50
12:24,238,Foul on Joe Toye.,56,50
12:24,238,Joe Toye Turnover.,56,50
12:03,236,Johnathan Burroughs-Cook made Layup.,58,50
11:46,238,Foul on Djery Baptiste.,58,50
11:46,238,Djery Baptiste Turnover.,58,50
11:45,238,Official TV Timeout,58,50
11:32,236,Casey Jones missed Jumper.,58,50
11:32,238,Luke Kornet Defensive Rebound.,58,50
11:30,236,Foul on Justin Tuoyo.,58,50
11:10,236,Foul on Johnathan Burroughs-Cook.,58,50
11:05,236,Foul on Justin Tuoyo.,58,50
11:05,238,Matthew Fisher-Davis made Free Throw.,58,51
11:05,238,Matthew Fisher-Davis made Free Throw.,58,52
10:42,236,Casey Jones made Jumper.,60,52
10:25,238,Payton Willis Turnover.,60,52
10:04,236,Casey Jones Turnover.,60,52
10:01,236,Foul on Makale Foreman.,60,52
10:01,238,Payton Willis made Free Throw.,60,53
10:01,238,Payton Willis missed Free Throw.,60,53
10:01,236,Makinde London Defensive Rebound.,60,53
9:43,236,Greg Pryor missed Three Point Jumper.,60,53
9:43,238,Luke Kornet Defensive Rebound.,60,53
9:38,238,Luke Kornet Turnover.,60,53
9:38,236,Makinde London Steal.,60,53
9:38,238,Foul on Luke Kornet.,60,53
9:38,236,Makinde London made Free Throw.,61,53
9:38,236,Makinde London made Free Throw.,62,53
9:24,238,Joe Toye missed Layup.,62,53
9:24,236,Makinde London Block.,62,53
9:22,238,Jeff Roberson Offensive Rebound.,62,53
9:16,238,Jeff Roberson made Three Point Jumper. Assisted by Payton Willis.,62,56
8:58,236,Chattanooga  Timeout,62,56
8:42,236,Casey Jones Turnover.,62,56
8:29,238,Jeff Roberson missed Three Point Jumper.,62,56
8:29,236,Makinde London Defensive Rebound.,62,56
8:05,236,Casey Jones made Jumper. Assisted by Rodney Chatman.,64,56
7:47,236,Foul on Makinde London.,64,56
7:47,238,Official TV Timeout,64,56
7:47,238,Matthew Fisher-Davis made Free Throw.,64,57
7:47,238,Matthew Fisher-Davis made Free Throw.,64,58
7:47,238,Matthew Fisher-Davis made Free Throw.,64,59
7:31,236,Justin Tuoyo Turnover.,64,59
7:30,238,Luke Kornet Steal.,64,59
7:24,238,Matthew Fisher-Davis missed Three Point Jumper.,64,59
7:24,236,Casey Jones Defensive Rebound.,64,59
6:56,236,Tre' McLean Turnover.,64,59
6:38,236,Foul on Rodney Chatman.,64,59
6:38,238,Riley LaChance made Free Throw.,64,60
6:38,238,Riley LaChance made Free Throw.,64,61
6:16,236,Johnathan Burroughs-Cook missed Jumper.,64,61
6:16,236,Justin Tuoyo Offensive Rebound.,64,61
6:13,236,Justin Tuoyo made Two Point Tip Shot.,66,61
5:54,236,Foul on Justin Tuoyo.,66,61
5:54,238,Luke Kornet made Free Throw.,66,62
5:54,238,Luke Kornet made Free Throw.,66,63
5:33,236,Makinde London made Dunk.,68,63
5:10,238,Matthew Fisher-Davis missed Layup.,68,63
5:10,236,Tre' McLean Defensive Rebound.,68,63
4:59,236,Tre' McLean missed Three Point Jumper.,68,63
4:59,238,Joe Toye Defensive Rebound.,68,63
4:49,238,Vanderbilt  Timeout,68,63
4:34,238,Jeff Roberson missed Three Point Jumper.,68,63
4:34,238,Riley LaChance Offensive Rebound.,68,63
4:32,236,Foul on Nat Dixon.,68,63
4:32,238,Riley LaChance made Free Throw.,68,64
4:32,238,Riley LaChance made Free Throw.,68,65
4:22,238,Foul on Joe Toye.,68,65
4:22,236,Casey Jones missed Free Throw.,68,65
4:22,238,Luke Kornet Defensive Rebound.,68,65
4:02,238,Riley LaChance made Three Point Jumper. Assisted by Joe Toye.,68,68
3:40,236,Foul on Johnathan Burroughs-Cook.,68,68
3:40,236,Johnathan Burroughs-Cook Turnover.,68,68
3:40,238,Official TV Timeout,68,68
3:20,238,Riley LaChance Turnover.,68,68
3:19,236,Tre' McLean Steal.,68,68
3:18,238,Foul on Riley LaChance.,68,68
3:18,236,Tre' McLean made Free Throw.,69,68
3:18,236,Tre' McLean made Free Throw.,70,68
3:02,238,Matthew Fisher-Davis Turnover.,70,68
3:01,236,Johnathan Burroughs-Cook Steal.,70,68
2:56,236,Johnathan Burroughs-Cook missed Layup.,70,68
2:56,238,Joe Toye Defensive Rebound.,70,68
2:45,238,Joe Toye made Layup.,70,70
2:24,236,Makinde London Turnover.,70,70
2:08,238,Jeff Roberson missed Jumper.,70,70
2:08,236,Justin Tuoyo Defensive Rebound.,70,70
1:45,236,Casey Jones made Jumper. Assisted by Justin Tuoyo.,72,70
1:27,238,Luke Kornet made Three Point Jumper. Assisted by Riley LaChance.,72,73
1:12,236,Casey Jones made Jumper. Assisted by Greg Pryor.,74,73
0:50,238,Luke Kornet missed Three Point Jumper.,74,73
0:50,236,Justin Tuoyo Defensive Rebound.,74,73
0:31,236,Justin Tuoyo Turnover.,74,73
0:15,238,Matthew Fisher-Davis missed Jumper.,74,73
0:15,236,Greg Pryor Defensive Rebound.,74,73
0:10,238,Foul on Joe Toye.,74,73
0:10,238,Vanderbilt  Timeout,74,73
0:10,236,Greg Pryor missed Free Throw.,74,73
0:10,238,Jeff Roberson Defensive Rebound.,74,73
0:03,238,Luke Kornet made Three Point Jumper. Assisted by Riley LaChance.,74,76
0:03,236,Chattanooga  Timeout,74,76
0:00,238,End of Game,74,76
