Kentucky,153,North Carolina,96
3:13,153,Kenny Williams Defensive Rebound.,51,42
2:55,96,Foul on Isaac Humphries.,51,42
2:55,153,Justin Jackson made Free Throw.,51,43
2:55,153,Justin Jackson made Free Throw.,51,44
2:38,96,Malik Monk Turnover.,51,44
2:38,153,Joel Berry II Steal.,51,44
2:32,153,Joel Berry II made Layup.,51,46
2:22,96,Malik Monk made Jumper. Assisted by De'Aaron Fox.,53,46
2:10,153,Justin Jackson made Three Point Jumper.,53,49
1:50,96,Malik Monk missed Jumper.,53,49
1:50,153,Kenny Williams Block.,53,49
1:50,96,Isaac Humphries Offensive Rebound.,53,49
1:43,96,Isaac Humphries missed Layup.,53,49
1:43,96,Isaiah Briscoe Offensive Rebound.,53,49
1:43,96,Isaiah Briscoe made Layup.,55,49
1:31,153,Tony Bradley missed Layup.,55,49
1:31,96,Kentucky Defensive Rebound.,55,49
1:05,96,Malik Monk missed Jumper.,55,49
1:05,153,Nate Britt Block.,55,49
1:05,153,Joel Berry II Defensive Rebound.,55,49
0:59,153,Joel Berry II made Jumper.,55,51
0:27,96,Jump Ball won by Kentucky,55,51
0:26,96,Isaiah Briscoe missed Jumper.,55,51
0:26,96,Kentucky Offensive Rebound.,55,51
0:23,96,Kentucky  Timeout,55,51
0:04,153,Foul on Joel Berry II.,55,51
0:04,96,Malik Monk missed Free Throw.,55,51
0:04,96,Kentucky Deadball Team Rebound.,55,51
0:04,96,Malik Monk made Free Throw.,56,51
0:01,153,Nate Britt missed Layup.,56,51
0:01,96,Kentucky Defensive Rebound.,56,51
0:00,153,End of 1st half,56,51
20:00,153,Jump Ball won by North Carolina,56,51
19:53,153,Isaiah Hicks missed Jumper.,56,51
19:53,96,Wenyen Gabriel Defensive Rebound.,56,51
19:25,96,Isaiah Briscoe made Three Point Jumper. Assisted by De'Aaron Fox.,59,51
19:10,153,Justin Jackson made Jumper. Assisted by Kenny Williams.,59,53
18:43,96,Edrice Adebayo missed Jumper.,59,53
18:43,153,Isaiah Hicks Defensive Rebound.,59,53
18:39,96,Foul on Wenyen Gabriel.,59,53
18:29,153,Isaiah Hicks made Jumper. Assisted by Kenny Williams.,59,55
18:11,96,Edrice Adebayo made Dunk. Assisted by De'Aaron Fox.,61,55
17:53,153,Justin Jackson missed Three Point Jumper.,61,55
17:53,96,Edrice Adebayo Defensive Rebound.,61,55
17:44,96,Malik Monk missed Layup.,61,55
17:44,153,Kennedy Meeks Defensive Rebound.,61,55
17:30,153,Isaiah Hicks missed Jumper.,61,55
17:30,96,Edrice Adebayo Defensive Rebound.,61,55
17:20,96,Malik Monk made Layup.,63,55
17:20,153,Kennedy Meeks Defensive Rebound.,63,55
17:20,153,Foul on Isaiah Hicks.,63,55
17:20,96,Malik Monk missed Free Throw.,63,55
17:09,153,Joel Berry II missed Jumper.,63,55
17:09,153,North Carolina Offensive Rebound.,63,55
16:50,153,Joel Berry II made Jumper.,63,57
16:32,153,Foul on Joel Berry II.,63,57
16:29,96,Malik Monk missed Jumper.,63,57
16:29,96,Edrice Adebayo Offensive Rebound.,63,57
16:29,96,Edrice Adebayo missed Layup.,63,57
16:29,153,Kennedy Meeks Defensive Rebound.,63,57
16:17,96,Foul on Isaiah Briscoe.,63,57
16:17,153,Luke Maye missed Free Throw.,63,57
16:17,153,North Carolina Deadball Team Rebound.,63,57
16:17,153,Luke Maye made Free Throw.,63,58
16:07,153,Foul on Joel Berry II.,63,58
16:07,96,De'Aaron Fox made Free Throw.,64,58
16:07,96,De'Aaron Fox made Free Throw.,65,58
15:56,153,Justin Jackson made Three Point Jumper. Assisted by Kenny Williams.,65,61
15:44,96,Edrice Adebayo made Jumper.,67,61
15:29,153,Justin Jackson missed Jumper.,67,61
15:29,96,Edrice Adebayo Defensive Rebound.,67,61
15:18,96,De'Aaron Fox missed Jumper.,67,61
15:18,153,Justin Jackson Defensive Rebound.,67,61
15:13,96,Foul on Edrice Adebayo.,67,61
15:13,153,Official TV Timeout,67,61
15:04,153,Seventh Woods Turnover.,67,61
15:04,96,De'Aaron Fox Steal.,67,61
14:31,96,De'Aaron Fox missed Three Point Jumper.,67,61
14:31,153,Justin Jackson Defensive Rebound.,67,61
14:23,153,Seventh Woods Turnover.,67,61
14:23,96,Derek Willis Steal.,67,61
14:21,96,Derek Willis Turnover.,67,61
14:21,153,Justin Jackson Steal.,67,61
14:19,153,Luke Maye made Layup. Assisted by Justin Jackson.,67,63
14:01,96,De'Aaron Fox made Jumper.,69,63
13:52,153,Luke Maye missed Jumper.,69,63
13:52,153,Kennedy Meeks Offensive Rebound.,69,63
13:52,153,Kennedy Meeks made Layup.,69,65
13:42,153,Foul on Seventh Woods.,69,65
13:29,153,Foul on Kenny Williams.,69,65
13:19,96,Isaiah Briscoe made Layup.,71,65
13:09,153,Kennedy Meeks made Layup. Assisted by Justin Jackson.,71,67
13:03,96,Malik Monk made Three Point Jumper. Assisted by Isaiah Briscoe.,74,67
12:34,153,Joel Berry II made Three Point Jumper.,74,70
12:10,96,Isaiah Briscoe Turnover.,74,70
12:10,153,Luke Maye Steal.,74,70
12:04,153,Justin Jackson made Layup. Assisted by Joel Berry II.,74,72
11:39,153,Foul on Kennedy Meeks.,74,72
11:39,153,Official TV Timeout,74,72
11:31,96,Malik Monk made Jumper.,76,72
11:22,153,Nate Britt missed Three Point Jumper.,76,72
11:22,96,Isaac Humphries Defensive Rebound.,76,72
11:13,96,Malik Monk made Layup.,78,72
10:59,153,Kennedy Meeks Turnover.,78,72
10:45,96,De'Aaron Fox missed Jumper.,78,72
10:45,153,Luke Maye Defensive Rebound.,78,72
10:30,153,Joel Berry II Turnover.,78,72
10:10,96,Isaac Humphries missed Jumper.,78,72
10:10,153,Joel Berry II Defensive Rebound.,78,72
9:55,153,Luke Maye made Jumper. Assisted by Joel Berry II.,78,74
9:35,96,Malik Monk made Three Point Jumper. Assisted by Dominique Hawkins.,81,74
9:15,153,Tony Bradley missed Jumper.,81,74
9:15,96,Dominique Hawkins Defensive Rebound.,81,74
8:51,96,De'Aaron Fox missed Jumper.,81,74
8:51,96,Kentucky Offensive Rebound.,81,74
8:41,96,De'Aaron Fox missed Jumper.,81,74
8:41,96,Edrice Adebayo Offensive Rebound.,81,74
8:37,153,Foul on Joel Berry II.,81,74
8:37,96,Edrice Adebayo missed Free Throw.,81,74
8:37,96,Kentucky Offensive Rebound.,81,74
8:34,96,Malik Monk missed Jumper.,81,74
8:34,96,Isaiah Briscoe Offensive Rebound.,81,74
8:02,153,Foul on Tony Bradley.,81,74
8:02,96,Edrice Adebayo missed Free Throw.,81,74
8:02,96,Kentucky Deadball Team Rebound.,81,74
8:02,96,Edrice Adebayo made Free Throw.,82,74
7:54,153,Tony Bradley missed Dunk.,82,74
7:54,96,De'Aaron Fox Defensive Rebound.,82,74
7:47,96,De'Aaron Fox made Layup.,84,74
7:39,153,Luke Maye made Three Point Jumper. Assisted by Kenny Williams.,84,77
7:13,96,Wenyen Gabriel missed Three Point Jumper.,84,77
7:13,96,Isaac Humphries Offensive Rebound.,84,77
7:03,96,Isaac Humphries Turnover.,84,77
7:03,153,Official TV Timeout,84,77
6:55,153,Luke Maye made Three Point Jumper. Assisted by Nate Britt.,84,80
6:41,96,De'Aaron Fox missed Layup.,84,80
6:41,96,Edrice Adebayo Offensive Rebound.,84,80
6:41,96,Edrice Adebayo made Dunk.,86,80
6:24,96,Foul on Isaiah Briscoe.,86,80
6:24,153,Justin Jackson made Free Throw.,86,81
6:24,153,Justin Jackson made Free Throw.,86,82
6:14,96,De'Aaron Fox made Layup.,88,82
6:04,153,Isaiah Hicks made Layup. Assisted by Justin Jackson.,88,84
5:50,96,De'Aaron Fox made Jumper.,90,84
5:38,153,Isaiah Hicks made Jumper. Assisted by Joel Berry II.,90,86
5:24,153,Foul on Kennedy Meeks.,90,86
5:24,96,De'Aaron Fox made Free Throw.,91,86
5:24,96,De'Aaron Fox missed Free Throw.,91,86
5:24,153,Kenny Williams Defensive Rebound.,91,86
5:20,153,Justin Jackson missed Layup.,91,86
5:20,96,Wenyen Gabriel Defensive Rebound.,91,86
5:09,96,Edrice Adebayo made Dunk.,93,86
4:54,96,Foul on Edrice Adebayo.,93,86
4:54,153,Foul on Kennedy Meeks.,93,86
4:54,96,Kentucky  Timeout,93,86
4:40,153,Isaiah Hicks missed Jumper.,93,86
4:40,153,North Carolina Offensive Rebound.,93,86
4:22,153,Isaiah Hicks made Jumper. Assisted by Joel Berry II.,93,88
4:03,96,De'Aaron Fox missed Jumper.,93,88
4:03,153,Tony Bradley Defensive Rebound.,93,88
3:52,153,Joel Berry II made Three Point Jumper.,93,91
3:23,96,Malik Monk made Jumper.,95,91
3:09,96,Foul on Edrice Adebayo.,95,91
3:09,153,Official TV Timeout,95,91
3:09,153,Joel Berry II made Free Throw.,95,92
3:09,153,Joel Berry II made Free Throw.,95,93
2:54,96,Malik Monk missed Jumper.,95,93
2:54,153,Tony Bradley Defensive Rebound.,95,93
2:51,96,Foul on Isaac Humphries.,95,93
2:51,153,Tony Bradley made Free Throw.,95,94
2:51,153,Tony Bradley made Free Throw.,95,95
2:18,96,Kentucky  Turnover.,95,95
1:56,153,Luke Maye missed Three Point Jumper.,95,95
1:56,96,Isaac Humphries Defensive Rebound.,95,95
1:46,96,Wenyen Gabriel Turnover.,95,95
1:46,153,North Carolina  Timeout,95,95
1:35,153,Justin Jackson made Three Point Jumper. Assisted by Joel Berry II.,95,98
1:20,96,Malik Monk made Three Point Jumper.,98,98
1:05,153,Joel Berry II missed Jumper.,98,98
1:05,153,Isaiah Hicks Offensive Rebound.,98,98
0:44,153,Justin Jackson made Layup. Assisted by Isaiah Hicks.,98,100
0:44,96,Foul on Isaiah Briscoe.,98,100
0:44,153,Justin Jackson missed Free Throw.,98,100
0:44,153,Luke Maye Offensive Rebound.,98,100
0:26,153,Joel Berry II missed Jumper.,98,100
0:26,96,De'Aaron Fox Defensive Rebound.,98,100
0:19,96,Malik Monk made Three Point Jumper. Assisted by De'Aaron Fox.,101,100
0:06,153,Isaiah Hicks missed Jumper.,101,100
0:06,96,Wenyen Gabriel Defensive Rebound.,101,100
0:01,153,Foul on Joel Berry II.,101,100
0:01,153,North Carolina  Timeout,101,100
0:01,96,De'Aaron Fox made Free Throw.,102,100
0:01,96,De'Aaron Fox made Free Throw.,103,100
0:01,153,North Carolina  Timeout,103,100
0:01,153,Luke Maye Turnover.,103,100
0:01,96,De'Aaron Fox Steal.,103,100
0:01,96,De'Aaron Fox Turnover.,103,100
0:01,153,Kenny Williams missed Three Point Jumper.,103,100
0:01,96,Kentucky Defensive Rebound.,103,100
0:00,153,End of Game,103,100
