Wake Forest,2752,Xavier,154
15:41,154,Bryant Crawford Offensive Rebound.,45,45
15:22,154,Bryant Crawford missed Jumper.,45,45
15:22,154,John Collins Offensive Rebound.,45,45
15:19,2752,Foul on Kaiser Gates.,45,45
15:03,154,John Collins missed Jumper.,45,45
15:03,2752,RaShid Gaston Defensive Rebound.,45,45
14:50,2752,Kaiser Gates missed Three Point Jumper.,45,45
14:50,154,John Collins Defensive Rebound.,45,45
14:34,154,Foul on John Collins.,45,45
14:34,154,John Collins Turnover.,45,45
14:16,2752,J.P. Macura made Three Point Jumper. Assisted by Malcolm Bernard.,45,48
13:48,154,John Collins missed Jumper.,45,48
13:48,2752,RaShid Gaston Block.,45,48
13:48,154,John Collins Offensive Rebound.,45,48
13:46,154,John Collins missed Two Point Tip Shot.,45,48
13:46,154,Wake Forest Offensive Rebound.,45,48
13:30,154,Konstantinos Mitoglou missed Jumper.,45,48
13:30,154,Keyshawn Woods Offensive Rebound.,45,48
13:18,154,Brandon Childress missed Three Point Jumper.,45,48
13:18,2752,Malcolm Bernard Defensive Rebound.,45,48
13:07,2752,Kaiser Gates missed Three Point Jumper.,45,48
13:07,154,Konstantinos Mitoglou Defensive Rebound.,45,48
12:44,2752,Foul on Kaiser Gates.,45,48
12:21,154,John Collins made Jumper. Assisted by Keyshawn Woods.,47,48
11:59,2752,Tyrique Jones missed Jumper.,47,48
11:59,2752,Malcolm Bernard Offensive Rebound.,47,48
11:58,154,Foul on Mitchell Wilbekin.,47,48
11:58,2752,Official TV Timeout,47,48
11:54,2752,Trevon Bluiett made Three Point Jumper. Assisted by Edmond Sumner.,47,51
11:33,154,Wake Forest  Timeout,47,51
11:24,154,Mitchell Wilbekin missed Three Point Jumper.,47,51
11:24,2752,J.P. Macura Defensive Rebound.,47,51
11:18,2752,Edmond Sumner Turnover.,47,51
11:18,154,Bryant Crawford Steal.,47,51
11:13,154,Bryant Crawford made Layup.,49,51
10:59,2752,Trevon Bluiett missed Three Point Jumper.,49,51
10:59,154,Doral Moore Defensive Rebound.,49,51
10:40,2752,Foul on Tyrique Jones.,49,51
10:28,154,Bryant Crawford missed Three Point Jumper.,49,51
10:28,2752,J.P. Macura Defensive Rebound.,49,51
10:09,2752,Trevon Bluiett Turnover.,49,51
10:09,154,Mitchell Wilbekin Steal.,49,51
9:46,154,Keyshawn Woods made Jumper.,51,51
9:20,2752,Tyrique Jones made Jumper.,51,53
9:09,154,Bryant Crawford Turnover.,51,53
9:09,2752,Quentin Goodin Steal.,51,53
9:06,2752,Trevon Bluiett made Layup. Assisted by Quentin Goodin.,51,55
8:49,154,Doral Moore made Dunk. Assisted by Bryant Crawford.,53,55
8:40,2752,Trevon Bluiett Turnover.,53,55
8:40,154,Bryant Crawford Steal.,53,55
8:38,154,Bryant Crawford made Dunk.,55,55
8:06,154,Foul on Brandon Childress.,55,55
7:59,2752,RaShid Gaston missed Layup.,55,55
7:59,154,John Collins Defensive Rebound.,55,55
7:38,154,Bryant Crawford Turnover.,55,55
7:38,2752,J.P. Macura Steal.,55,55
7:34,2752,Trevon Bluiett made Layup. Assisted by J.P. Macura.,55,57
7:18,154,Bryant Crawford Turnover.,55,57
7:18,2752,Edmond Sumner Steal.,55,57
7:16,2752,Edmond Sumner made Layup. Assisted by RaShid Gaston.,55,59
7:16,154,Foul on Keyshawn Woods.,55,59
7:16,2752,Official TV Timeout,55,59
7:16,2752,Edmond Sumner made Free Throw.,55,60
6:49,154,Bryant Crawford Turnover.,55,60
6:35,2752,J.P. Macura missed Three Point Jumper.,55,60
6:35,154,Brandon Childress Defensive Rebound.,55,60
6:28,154,Konstantinos Mitoglou missed Three Point Jumper.,55,60
6:28,2752,J.P. Macura Defensive Rebound.,55,60
6:08,2752,Edmond Sumner Turnover.,55,60
6:08,154,Brandon Childress Steal.,55,60
6:04,2752,Foul on Edmond Sumner.,55,60
6:04,154,Bryant Crawford made Free Throw.,56,60
6:04,154,Bryant Crawford made Free Throw.,57,60
5:41,2752,J.P. Macura made Layup.,57,62
5:18,2752,Foul on Malcolm Bernard.,57,62
5:18,154,Brandon Childress missed Free Throw.,57,62
5:18,2752,J.P. Macura Defensive Rebound.,57,62
5:03,2752,J.P. Macura missed Three Point Jumper.,57,62
5:03,154,Wake Forest Defensive Rebound.,57,62
4:37,154,Sam Japhet-Mathias made Jumper. Assisted by Bryant Crawford.,59,62
4:16,2752,J.P. Macura missed Three Point Jumper.,59,62
4:16,154,Wake Forest Defensive Rebound.,59,62
4:02,154,Konstantinos Mitoglou missed Three Point Jumper.,59,62
4:02,154,Sam Japhet-Mathias Offensive Rebound.,59,62
3:56,154,Sam Japhet-Mathias made Dunk.,61,62
3:34,2752,Edmond Sumner missed Three Point Jumper.,61,62
3:34,154,Bryant Crawford Defensive Rebound.,61,62
3:08,154,Bryant Crawford missed Three Point Jumper.,61,62
3:08,2752,RaShid Gaston Defensive Rebound.,61,62
2:57,2752,Xavier  Timeout,61,62
2:57,2752,Official TV Timeout,61,62
2:35,2752,Malcolm Bernard missed Jumper.,61,62
2:35,154,John Collins Block.,61,62
2:35,154,John Collins Defensive Rebound.,61,62
2:08,154,John Collins missed Layup.,61,62
2:08,2752,RaShid Gaston Defensive Rebound.,61,62
1:47,2752,Edmond Sumner made Layup.,61,64
1:33,154,Brandon Childress Turnover.,61,64
1:33,2752,J.P. Macura Steal.,61,64
1:30,2752,J.P. Macura made Layup.,61,66
1:13,154,Bryant Crawford missed Layup.,61,66
1:13,2752,RaShid Gaston Block.,61,66
1:13,154,Wake Forest Offensive Rebound.,61,66
1:12,154,Wake Forest  Timeout,61,66
1:10,154,Keyshawn Woods missed Three Point Jumper.,61,66
1:10,2752,Xavier Defensive Rebound.,61,66
1:10,154,Foul on Keyshawn Woods.,61,66
0:57,154,Foul on Keyshawn Woods.,61,66
0:54,154,Foul on Bryant Crawford.,61,66
0:54,2752,Edmond Sumner missed Free Throw.,61,66
0:54,154,John Collins Defensive Rebound.,61,66
0:43,2752,Foul on Edmond Sumner.,61,66
0:43,154,Bryant Crawford made Free Throw.,62,66
0:43,154,Bryant Crawford made Free Throw.,63,66
0:40,154,Foul on Trent VanHorn.,63,66
0:40,2752,Trevon Bluiett missed Free Throw.,63,66
0:40,154,John Collins Defensive Rebound.,63,66
0:32,154,Austin Arians missed Three Point Jumper.,63,66
0:32,154,John Collins Offensive Rebound.,63,66
0:26,154,John Collins made Layup.,65,66
0:26,154,Wake Forest  Timeout,65,66
0:20,154,Foul on Brandon Childress.,65,66
0:20,2752,Trevon Bluiett made Free Throw.,65,67
0:20,2752,Trevon Bluiett made Free Throw.,65,68
0:20,2752,Xavier  Timeout,65,68
0:09,154,Bryant Crawford missed Three Point Jumper.,65,68
0:09,154,Keyshawn Woods Offensive Rebound.,65,68
0:05,154,Keyshawn Woods missed Three Point Jumper.,65,68
0:02,2752,Trevon Bluiett Defensive Rebound.,65,68
0:02,154,Foul on John Collins.,65,68
0:02,2752,Trevon Bluiett missed Free Throw.,65,68
0:00,2752,Xavier Deadball Team Rebound.,65,68
0:00,2752,Trevon Bluiett made Free Throw.,65,69
0:00,2752,End of 2nd half,65,68
