William Jessup,Error,UC Davis,302
1:02,-1,Foul on Brennan Rakoz.,27,46
1:02,302,Siler Schneider made Free Throw.,27,47
1:02,302,UC Davis  Timeout,27,47
1:02,302,Siler Schneider missed Free Throw.,27,47
1:02,-1,Carlos Jimenez Defensive Rebound.,27,47
0:46,-1,Carlos Jimenez made Three Point Jumper. Assisted by Michael Patterson.,30,47
0:30,302,Chima Moneke Turnover.,30,47
0:04,-1,Brandon Lindsey missed Three Point Jumper.,30,47
0:04,-1,Michael Patterson Offensive Rebound.,30,47
0:00,-1,Michael Patterson missed Jumper.,30,47
0:00,-1,William Jessup Deadball Team Rebound.,30,47
0:00,302,End of 1st half,30,47
19:51,302,J.T. Adenrele missed Layup.,30,47
19:51,-1,Cody Wilcox Defensive Rebound.,30,47
19:27,-1,Elijah Lewis missed Jumper.,30,47
19:27,302,J.T. Adenrele Defensive Rebound.,30,47
19:17,-1,Foul on Cody Wilcox.,30,47
19:17,302,Chima Moneke missed Free Throw.,30,47
19:17,302,UC Davis Deadball Team Rebound.,30,47
19:17,302,Chima Moneke missed Free Throw.,30,47
19:17,-1,Tahron Morrison Defensive Rebound.,30,47
19:05,-1,Tahron Morrison missed Jumper.,30,47
19:05,302,UC Davis Defensive Rebound.,30,47
18:43,302,Chima Moneke Turnover.,30,47
18:42,-1,Christopher Murry Steal.,30,47
18:33,-1,Tahron Morrison missed Jumper.,30,47
18:33,302,Chima Moneke Defensive Rebound.,30,47
18:29,-1,Foul on Elijah Lewis.,30,47
18:19,302,Foul on Mikey Henn.,30,47
18:19,302,Mikey Henn Turnover.,30,47
18:07,-1,Christopher Murry missed Jumper.,30,47
18:07,302,Lawrence White Defensive Rebound.,30,47
17:59,-1,Foul on Christopher Murry.,30,47
17:52,302,Brynton Lemar Turnover.,30,47
17:51,-1,Tahron Morrison Steal.,30,47
17:49,-1,Brandon Lindsey made Layup.,32,47
17:26,302,Lawrence White missed Layup.,32,47
17:26,302,J.T. Adenrele Offensive Rebound.,32,47
17:22,-1,Foul on Cody Wilcox.,32,47
17:22,302,J.T. Adenrele made Free Throw.,32,48
17:22,302,J.T. Adenrele made Free Throw.,32,49
17:02,-1,Tahron Morrison missed Jumper.,32,49
17:02,302,Brynton Lemar Defensive Rebound.,32,49
16:49,302,Lawrence White made Three Point Jumper. Assisted by Darius Graham.,32,52
16:31,-1,Brandon Lindsey missed Jumper.,32,52
16:31,302,J.T. Adenrele Defensive Rebound.,32,52
16:19,302,Brynton Lemar made Three Point Jumper.,32,55
15:56,302,Official TV Timeout,32,55
15:52,-1,Brandon Lindsey missed Jumper.,32,55
15:52,302,Mikey Henn Defensive Rebound.,32,55
15:27,-1,Foul on Tahron Morrison.,32,55
15:25,302,Mikey Henn made Layup. Assisted by Brynton Lemar.,32,57
15:03,-1,Brandon Lindsey Turnover.,32,57
15:02,302,Brynton Lemar Steal.,32,57
15:02,302,Brynton Lemar Turnover.,32,57
14:44,-1,Christian Jones missed Jumper.,32,57
14:44,-1,Christian Jones Offensive Rebound.,32,57
14:39,-1,Christian Jones missed Jumper.,32,57
14:39,302,Brynton Lemar Defensive Rebound.,32,57
14:33,-1,Foul on Christian Jones.,32,57
14:33,302,Brynton Lemar made Free Throw.,32,58
14:33,302,Brynton Lemar missed Free Throw.,32,58
14:33,-1,Michael Patterson Defensive Rebound.,32,58
14:16,-1,Tahron Morrison missed Three Point Jumper.,32,58
14:16,-1,Guillermo Nunez Offensive Rebound.,32,58
14:08,302,Foul on Georgi Funtarov.,32,58
14:08,-1,Tahron Morrison made Free Throw.,33,58
14:08,-1,Tahron Morrison made Free Throw.,34,58
14:08,-1,William Jessup  Timeout,34,58
13:50,302,Mikey Henn Turnover.,34,58
13:48,-1,Guillermo Nunez Steal.,34,58
13:35,-1,Guillermo Nunez missed Three Point Jumper.,34,58
13:35,-1,William Jessup Offensive Rebound.,34,58
13:13,-1,Tahron Morrison made Layup. Assisted by Michael Patterson.,36,58
12:40,302,Joe Mooney missed Jumper.,36,58
12:40,-1,Guillermo Nunez Defensive Rebound.,36,58
12:28,-1,Christian Jones made Jumper.,38,58
12:15,302,Mikey Henn Turnover.,38,58
12:15,-1,Guillermo Nunez Steal.,38,58
12:12,-1,Christian Jones made Layup. Assisted by Guillermo Nunez.,40,58
12:09,302,UC Davis  Timeout,40,58
11:48,302,Arell Hennings missed Jumper.,40,58
11:48,-1,Carlos Jimenez Block.,40,58
11:47,302,Arell Hennings Offensive Rebound.,40,58
11:43,-1,Tahron Morrison missed Three Point Jumper.,40,58
11:43,302,Joe Mooney Defensive Rebound.,40,58
11:37,302,Foul on Georgi Funtarov.,40,58
11:19,-1,Tahron Morrison made Jumper.,42,58
11:03,302,Siler Schneider made Three Point Jumper. Assisted by Joe Mooney.,42,61
10:38,-1,Christian Jones Turnover.,42,61
10:37,302,Arell Hennings Steal.,42,61
10:30,302,Joe Mooney missed Three Point Jumper.,42,61
10:30,-1,Tahron Morrison Defensive Rebound.,42,61
10:05,-1,Christian Jones Turnover.,42,61
9:59,302,Georgi Funtarov made Jumper. Assisted by Siler Schneider.,42,63
9:44,-1,Christopher Murry missed Three Point Jumper.,42,63
9:44,302,Arell Hennings Defensive Rebound.,42,63
9:37,302,Siler Schneider made Three Point Jumper. Assisted by Arell Hennings.,42,66
9:11,-1,Michael Patterson made Jumper.,44,66
8:58,302,Arell Hennings missed Three Point Jumper.,44,66
8:58,-1,Christopher Murry Defensive Rebound.,44,66
8:49,-1,Christopher Murry missed Three Point Jumper.,44,66
8:49,302,Siler Schneider Defensive Rebound.,44,66
8:39,302,Chima Moneke missed Layup.,44,66
8:39,-1,Carlos Jimenez Defensive Rebound.,44,66
8:16,-1,Christian Jones made Three Point Jumper.,47,66
7:59,-1,Foul on Michael Patterson.,47,66
7:59,302,Official TV Timeout,47,66
7:59,302,Chima Moneke made Free Throw.,47,67
7:59,302,Chima Moneke made Free Throw.,47,68
7:36,-1,Brandon Lindsey missed Layup.,47,68
7:36,302,Chima Moneke Block.,47,68
7:35,302,Siler Schneider Defensive Rebound.,47,68
7:30,302,Siler Schneider Turnover.,47,68
7:30,-1,Christopher Murry Steal.,47,68
7:29,302,Foul on Siler Schneider.,47,68
7:17,-1,Tahron Morrison missed Jumper.,47,68
7:17,-1,William Jessup Deadball Team Rebound.,47,68
7:14,302,Foul on Siler Schneider.,47,68
7:13,-1,Christopher Murry Turnover.,47,68
7:13,302,Arell Hennings Steal.,47,68
7:12,302,Arell Hennings made Layup.,47,70
6:53,-1,Brandon Lindsey missed Layup.,47,70
6:51,302,Chima Moneke Defensive Rebound.,47,70
6:42,-1,Foul on Michael Patterson.,47,70
6:42,302,Siler Schneider made Free Throw.,47,71
6:42,302,Siler Schneider made Free Throw.,47,72
6:28,-1,Brandon Lindsey Turnover.,47,72
6:27,302,Joe Mooney Steal.,47,72
6:23,302,Michael Onyebalu missed Three Point Jumper.,47,72
6:23,-1,Tahron Morrison Defensive Rebound.,47,72
6:13,-1,Christopher Murry missed Three Point Jumper.,47,72
6:13,-1,Brennan Rakoz Offensive Rebound.,47,72
6:09,-1,Brennan Rakoz made Layup.,49,72
6:08,-1,William Jessup  Timeout,49,72
5:40,302,Chima Moneke missed Layup.,49,72
5:40,302,Chima Moneke Offensive Rebound.,49,72
5:38,302,Chima Moneke made Jumper.,49,74
5:30,-1,Christopher Murry made Jumper.,51,74
5:28,302,Foul on Joe Mooney.,51,74
5:28,-1,Christopher Murry made Free Throw.,52,74
5:19,302,Mikey Henn missed Three Point Jumper.,52,74
5:19,302,Chima Moneke Offensive Rebound.,52,74
5:16,302,Chima Moneke made Layup.,52,76
5:08,-1,Christian Jones missed Three Point Jumper.,52,76
5:08,302,Chima Moneke Defensive Rebound.,52,76
4:54,302,Chima Moneke made Layup. Assisted by Arell Hennings.,52,78
4:34,-1,Michael Patterson Turnover.,52,78
4:34,302,Joe Mooney Steal.,52,78
4:33,-1,Foul on Michael Patterson.,52,78
4:33,302,Joe Mooney missed Free Throw.,52,78
4:33,-1,Christopher Murry Defensive Rebound.,52,78
4:26,-1,Michael Patterson made Dunk. Assisted by Christopher Murry.,54,78
4:09,302,Arell Hennings made Three Point Jumper. Assisted by Mikey Henn.,54,81
3:53,-1,Tahron Morrison made Jumper. Assisted by Christian Jones.,56,81
3:35,302,Georgi Funtarov missed Layup.,56,81
3:35,-1,Michael Patterson Defensive Rebound.,56,81
3:26,302,Foul on Arell Hennings.,56,81
3:26,302,Official TV Timeout,56,81
3:26,-1,Christopher Murry made Free Throw.,57,81
3:26,-1,Christopher Murry made Free Throw.,58,81
3:18,302,Mikey Henn missed Jumper.,58,81
3:18,-1,Christian Jones Defensive Rebound.,58,81
3:09,-1,Michael Patterson missed Three Point Jumper.,58,81
3:09,-1,Tahron Morrison Offensive Rebound.,58,81
3:02,-1,Tahron Morrison missed Jumper.,58,81
3:02,-1,Tahron Morrison Offensive Rebound.,58,81
3:00,-1,Tahron Morrison made Layup.,60,81
2:45,302,Joe Mooney missed Layup.,60,81
2:45,-1,Brennan Rakoz Defensive Rebound.,60,81
2:43,302,Foul on Michael Onyebalu.,60,81
2:43,-1,Brennan Rakoz missed Free Throw.,60,81
2:43,302,Mikey Henn Defensive Rebound.,60,81
2:34,302,Arell Hennings missed Layup.,60,81
2:34,-1,Tahron Morrison Block.,60,81
2:32,-1,Christian Jones Defensive Rebound.,60,81
2:29,-1,Christopher Murry missed Three Point Jumper.,60,81
2:29,-1,Michael Patterson Offensive Rebound.,60,81
2:26,-1,Michael Patterson made Layup.,62,81
2:14,302,Joe Mooney missed Three Point Jumper.,62,81
2:14,-1,Tahron Morrison Defensive Rebound.,62,81
2:06,-1,Christopher Murry missed Three Point Jumper.,62,81
2:06,302,Michael Onyebalu Defensive Rebound.,62,81
1:55,-1,Foul on Brennan Rakoz.,62,81
1:55,302,Joe Mooney made Free Throw.,62,82
1:55,302,Joe Mooney made Free Throw.,62,83
1:32,-1,Christian Jones missed Three Point Jumper.,62,83
1:32,302,UC Davis Defensive Rebound.,62,83
1:14,302,Michael Onyebalu made Jumper. Assisted by Joe Mooney.,62,85
0:50,302,Foul on Mikey Henn.,62,85
0:50,-1,Chancellor Ortega made Free Throw.,63,85
0:50,-1,Chancellor Ortega made Free Throw.,64,85
0:37,302,Arell Hennings made Layup.,64,87
0:23,-1,Carlos Jimenez missed Three Point Jumper.,64,87
0:23,302,Michael Onyebalu Defensive Rebound.,64,87
0:00,302,End of Game,64,87
