Santa Clara,265,Washington State,2541
13:45,265,Malachi Flynn Defensive Rebound.,4,12
13:38,265,KJ Langston missed Three Point Jumper.,4,12
13:38,2541,Nate Kratch Defensive Rebound.,4,12
13:20,2541,Kai Healy made Three Point Jumper. Assisted by Jarvis Pugh.,7,12
13:07,265,Josh Hawkinson made Layup. Assisted by Ike Iroegbu.,7,14
13:07,2541,Foul on Jarvis Pugh.,7,14
13:07,265,Josh Hawkinson missed Free Throw.,7,14
13:07,2541,Jared Brownridge Defensive Rebound.,7,14
12:58,2541,Jarvis Pugh made Three Point Jumper. Assisted by Jared Brownridge.,10,14
12:35,265,Robert Franks made Layup.,10,16
12:15,2541,Matt Hauser made Layup. Assisted by Jared Brownridge.,12,16
11:55,265,Charles Callison made Jumper.,12,18
11:42,265,Foul on KJ Langston.,12,18
11:42,265,Official TV Timeout,12,18
11:41,2541,Kai Healy missed Layup.,12,18
11:41,265,Robert Franks Block.,12,18
11:39,265,Robert Franks Defensive Rebound.,12,18
11:29,265,KJ Langston Turnover.,12,18
11:09,2541,Jarvis Pugh made Three Point Jumper. Assisted by Nate Kratch.,15,18
10:55,265,KJ Langston missed Jumper.,15,18
10:55,265,Robert Franks Offensive Rebound.,15,18
10:50,265,Robert Franks made Layup.,15,20
10:32,2541,Jared Brownridge made Jumper. Assisted by Kai Healy.,17,20
10:15,265,Josh Hawkinson missed Jumper.,17,20
10:15,2541,Matt Hauser Defensive Rebound.,17,20
9:46,265,Foul on Robert Franks.,17,20
9:46,2541,Matt Hauser made Free Throw.,18,20
9:46,2541,Matt Hauser made Free Throw.,19,20
9:32,265,Conor Clifford made Layup.,19,22
9:16,2541,Jared Brownridge missed Jumper.,19,22
9:16,265,Conor Clifford Defensive Rebound.,19,22
8:42,265,Ike Iroegbu missed Three Point Jumper.,19,22
8:42,2541,Nate Kratch Defensive Rebound.,19,22
8:18,2541,Jarvis Pugh missed Jumper.,19,22
8:18,2541,Nate Kratch Offensive Rebound.,19,22
8:13,2541,Jared Brownridge made Three Point Jumper. Assisted by Nate Kratch.,22,22
7:53,265,Conor Clifford made Layup. Assisted by Josh Hawkinson.,22,24
7:47,265,Foul on Conor Clifford.,22,24
7:47,265,Official TV Timeout,22,24
7:33,2541,Jared Brownridge missed Three Point Jumper.,22,24
7:33,265,Conor Clifford Defensive Rebound.,22,24
7:18,2541,Foul on Nate Kratch.,22,24
7:06,265,Conor Clifford missed Jumper.,22,24
7:06,2541,Nate Kratch Defensive Rebound.,22,24
7:00,2541,Jarvis Pugh made Three Point Jumper. Assisted by Jared Brownridge.,25,24
6:49,265,Foul on Robert Franks.,25,24
6:49,265,Robert Franks Turnover.,25,24
6:24,2541,Henrik Jadersten missed Three Point Jumper.,25,24
6:24,265,Robert Franks Defensive Rebound.,25,24
6:00,265,Charles Callison missed Jumper.,25,24
6:00,2541,Nate Kratch Defensive Rebound.,25,24
5:51,2541,Jared Brownridge Turnover.,25,24
5:49,265,Charles Callison Steal.,25,24
5:48,2541,Foul on Jared Brownridge.,25,24
5:48,265,Ike Iroegbu made Free Throw.,25,25
5:48,265,Ike Iroegbu missed Free Throw.,25,25
5:48,265,Washington St Offensive Rebound.,25,25
5:33,2541,Foul on Emmanuel Ndumanya.,25,25
5:33,265,Josh Hawkinson made Free Throw.,25,26
5:33,265,Josh Hawkinson missed Free Throw.,25,26
5:33,2541,Nate Kratch Defensive Rebound.,25,26
5:25,2541,Jared Brownridge Turnover.,25,26
5:24,265,Josh Hawkinson Steal.,25,26
5:21,265,Charles Callison made Dunk. Assisted by Josh Hawkinson.,25,28
4:59,2541,Jared Brownridge made Three Point Jumper.,28,28
4:33,265,Robert Franks Turnover.,28,28
4:09,2541,Jarvis Pugh Turnover.,28,28
3:40,265,Malachi Flynn Turnover.,28,28
3:38,2541,Jarvis Pugh Steal.,28,28
3:34,2541,Jared Brownridge missed Three Point Jumper.,28,28
3:34,2541,Matt Hauser Offensive Rebound.,28,28
3:30,2541,Matt Hauser made Jumper.,30,28
3:27,265,Official TV Timeout,30,28
3:17,2541,Foul on Henrik Jadersten.,30,28
3:17,265,Josh Hawkinson made Free Throw.,30,29
3:17,265,Josh Hawkinson made Free Throw.,30,30
2:57,2541,Henrik Jadersten missed Three Point Jumper.,30,30
2:57,2541,Santa Clara Offensive Rebound.,30,30
2:54,265,Foul on Robert Franks.,30,30
2:53,2541,Matt Hauser Turnover.,30,30
2:53,265,Charles Callison Steal.,30,30
2:20,265,KJ Langston missed Layup.,30,30
2:20,2541,Nate Kratch Defensive Rebound.,30,30
1:52,2541,Kai Healy missed Three Point Jumper.,30,30
1:52,265,Josh Hawkinson Defensive Rebound.,30,30
1:33,265,Ike Iroegbu made Layup.,30,32
1:19,2541,Nate Kratch made Jumper. Assisted by Matt Hauser.,32,32
1:02,265,Charles Callison made Layup.,32,34
0:36,2541,Jared Brownridge made Jumper.,34,34
0:27,265,Washington St  Timeout,34,34
0:05,2541,Foul on Nate Kratch.,34,34
0:05,265,Conor Clifford made Free Throw.,34,35
0:05,265,Conor Clifford made Free Throw.,34,36
0:01,2541,Matt Hauser missed Layup.,34,36
0:01,265,Josh Hawkinson Block.,34,36
0:01,2541,Santa Clara Offensive Rebound.,34,36
0:01,2541,Santa Clara  Timeout,34,36
0:01,2541,Matt Hauser Turnover.,34,36
0:01,265,Charles Callison Steal.,34,36
0:00,265,End of 1st half,34,36
19:43,2541,Nate Kratch made Layup.,36,36
19:28,265,Malachi Flynn missed Three Point Jumper.,36,36
19:28,2541,Santa Clara Deadball Team Rebound.,36,36
18:58,2541,Jared Brownridge missed Three Point Jumper.,36,36
18:58,265,Josh Hawkinson Defensive Rebound.,36,36
18:35,265,Conor Clifford missed Jumper.,36,36
18:35,2541,Nate Kratch Defensive Rebound.,36,36
18:12,2541,Matt Hauser made Jumper. Assisted by Kai Healy.,38,36
17:52,265,Charles Callison missed Three Point Jumper.,38,36
17:52,2541,Emmanuel Ndumanya Defensive Rebound.,38,36
17:32,2541,Jared Brownridge missed Layup.,38,36
17:32,2541,Emmanuel Ndumanya Offensive Rebound.,38,36
17:28,2541,Emmanuel Ndumanya made Layup.,40,36
17:27,265,Washington St  Timeout,40,36
17:19,265,Conor Clifford made Layup. Assisted by Josh Hawkinson.,40,38
17:05,2541,Matt Hauser Turnover.,40,38
17:03,265,Malachi Flynn Steal.,40,38
17:00,265,Josh Hawkinson made Layup. Assisted by Ike Iroegbu.,40,40
16:29,2541,Jared Brownridge made Three Point Jumper.,43,40
16:16,265,Ike Iroegbu missed Jumper.,43,40
16:16,2541,Kai Healy Defensive Rebound.,43,40
15:50,2541,Jared Brownridge made Three Point Jumper. Assisted by Nate Kratch.,46,40
15:24,265,Josh Hawkinson made Three Point Jumper. Assisted by Malachi Flynn.,46,43
15:11,2541,Emmanuel Ndumanya made Jumper.,48,43
15:01,265,Conor Clifford missed Layup.,48,43
15:01,2541,Kai Healy Defensive Rebound.,48,43
14:55,2541,Jared Brownridge made Three Point Jumper. Assisted by Matt Hauser.,51,43
14:30,265,Josh Hawkinson made Jumper. Assisted by Charles Callison.,51,45
14:00,2541,Nate Kratch missed Jumper.,51,45
14:00,265,Ike Iroegbu Defensive Rebound.,51,45
13:44,265,Conor Clifford missed Layup.,51,45
13:44,2541,Nate Kratch Defensive Rebound.,51,45
13:37,2541,Matt Hauser made Layup.,53,45
13:13,265,Josh Hawkinson missed Jumper.,53,45
13:13,2541,Jared Brownridge Defensive Rebound.,53,45
13:02,265,Foul on Charles Callison.,53,45
13:02,265,Official TV Timeout,53,45
12:59,2541,Henrik Jadersten Turnover.,53,45
12:35,265,Robert Franks Turnover.,53,45
12:32,2541,Nate Kratch Steal.,53,45
12:17,2541,Nate Kratch missed Jumper.,53,45
12:17,265,Washington St Defensive Rebound.,53,45
12:02,265,Malachi Flynn made Three Point Jumper. Assisted by Robert Franks.,53,48
11:34,2541,Jared Brownridge made Three Point Jumper. Assisted by Jarvis Pugh.,56,48
11:27,2541,Foul on Henrik Jadersten.,56,48
11:27,265,Official TV Timeout,56,48
11:27,265,Josh Hawkinson made Free Throw.,56,49
11:27,265,Josh Hawkinson made Free Throw.,56,50
11:00,2541,Henrik Jadersten missed Three Point Jumper.,56,50
11:00,265,Charles Callison Defensive Rebound.,56,50
10:37,265,Charles Callison made Three Point Jumper. Assisted by Malachi Flynn.,56,53
10:19,2541,Matt Hauser missed Jumper.,56,53
10:19,265,Charles Callison Defensive Rebound.,56,53
10:13,265,Charles Callison Turnover.,56,53
10:12,2541,Nate Kratch Steal.,56,53
10:09,2541,Jared Brownridge made Three Point Jumper.,59,53
9:42,265,Malachi Flynn missed Three Point Jumper.,59,53
9:42,2541,Henrik Jadersten Defensive Rebound.,59,53
9:18,2541,Matt Hauser Turnover.,59,53
9:13,265,Malachi Flynn missed Layup.,59,53
9:13,2541,Nate Kratch Defensive Rebound.,59,53
9:07,2541,Matt Hauser made Three Point Jumper. Assisted by Jared Brownridge.,62,53
8:43,265,Josh Hawkinson missed Layup.,62,53
8:43,2541,Jarvis Pugh Defensive Rebound.,62,53
8:27,2541,Matt Hauser missed Jumper.,62,53
8:27,2541,Henrik Jadersten Offensive Rebound.,62,53
8:23,2541,Henrik Jadersten made Layup.,64,53
8:15,265,Washington St  Timeout,64,53
7:52,265,KJ Langston made Layup. Assisted by Conor Clifford.,64,55
7:22,2541,Jared Brownridge missed Three Point Jumper.,64,55
7:22,265,Washington St Defensive Rebound.,64,55
6:59,265,Robert Franks missed Three Point Jumper.,64,55
6:59,265,Malachi Flynn Offensive Rebound.,64,55
6:54,265,Robert Franks missed Three Point Jumper.,64,55
6:54,2541,Kai Healy Defensive Rebound.,64,55
6:30,2541,Matt Hauser missed Jumper.,64,55
6:30,2541,Nate Kratch Offensive Rebound.,64,55
6:25,2541,Nate Kratch made Layup.,66,55
6:05,265,Ike Iroegbu missed Layup.,66,55
6:05,2541,Jared Brownridge Defensive Rebound.,66,55
5:59,2541,Matt Hauser missed Three Point Jumper.,66,55
5:59,265,KJ Langston Defensive Rebound.,66,55
5:49,265,Robert Franks made Layup. Assisted by Malachi Flynn.,66,57
5:41,265,Foul on Conor Clifford.,66,57
5:20,265,Foul on Ike Iroegbu.,66,57
5:05,2541,Jared Brownridge Turnover.,66,57
4:52,2541,Foul on Emmanuel Ndumanya.,66,57
4:47,265,Ike Iroegbu missed Jumper.,66,57
4:47,2541,Emmanuel Ndumanya Defensive Rebound.,66,57
4:38,2541,Emmanuel Ndumanya Turnover.,66,57
4:26,265,Robert Franks missed Layup.,66,57
4:26,2541,Jared Brownridge Defensive Rebound.,66,57
4:16,265,Foul on Charles Callison.,66,57
3:49,2541,Kai Healy missed Three Point Jumper.,66,57
3:49,265,KJ Langston Defensive Rebound.,66,57
3:41,265,Josh Hawkinson made Layup. Assisted by Ike Iroegbu.,66,59
3:41,2541,Foul on Nate Kratch.,66,59
3:41,265,Official TV Timeout,66,59
3:41,265,Josh Hawkinson made Free Throw.,66,60
3:18,265,Foul on Josh Hawkinson.,66,60
3:04,2541,Matt Hauser missed Three Point Jumper.,66,60
3:04,265,Malachi Flynn Defensive Rebound.,66,60
2:55,265,Josh Hawkinson made Jumper. Assisted by Ike Iroegbu.,66,62
2:22,2541,Jared Brownridge missed Three Point Jumper.,66,62
2:22,265,Charles Callison Defensive Rebound.,66,62
2:09,265,Charles Callison made Three Point Jumper. Assisted by Malachi Flynn.,66,65
1:59,2541,Santa Clara  Timeout,66,65
1:36,2541,Jared Brownridge missed Three Point Jumper.,66,65
1:36,265,Charles Callison Defensive Rebound.,66,65
1:25,265,Charles Callison made Layup.,66,67
1:11,2541,Santa Clara  Timeout,66,67
0:52,2541,Kai Healy missed Jumper.,66,67
0:52,265,Charles Callison Defensive Rebound.,66,67
0:21,265,Ike Iroegbu made Layup.,66,69
0:21,265,Washington St  Timeout,66,69
0:16,265,Foul on Ike Iroegbu.,66,69
0:15,2541,Matt Hauser Turnover.,66,69
0:15,265,Charles Callison Steal.,66,69
0:15,2541,Foul on Jarvis Pugh.,66,69
0:14,2541,Foul on Nate Kratch.,66,69
0:13,2541,Foul on Nate Kratch.,66,69
0:12,2541,Foul on Kai Healy.,66,69
0:12,265,Charles Callison missed Free Throw.,66,69
0:12,2541,Henrik Jadersten Defensive Rebound.,66,69
0:07,265,Foul on Malachi Flynn.,66,69
0:07,2541,Jarvis Pugh made Free Throw.,67,69
0:07,2541,Jarvis Pugh made Free Throw.,68,69
0:07,2541,Santa Clara  Timeout,68,69
0:06,2541,Foul on Kai Healy.,68,69
0:06,265,Charles Callison missed Free Throw.,68,69
0:06,2541,Jarvis Pugh Defensive Rebound.,68,69
0:01,2541,Jared Brownridge missed Jumper.,68,69
0:01,265,Charles Callison Block.,68,69
0:01,265,Washington St Defensive Rebound.,68,69
0:00,265,End of Game,68,69
