Northern Iowa,2294,Iowa,2460
10:41,2460,Spencer Haldeman missed Layup.,7,14
10:41,2294,Nicholas Baer Defensive Rebound.,7,14
10:32,2294,Jordan Bohannon missed Three Point Jumper.,7,14
10:32,2460,Klint Carlson Defensive Rebound.,7,14
10:18,2460,Spencer Haldeman missed Jumper.,7,14
10:18,2294,Jordan Bohannon Defensive Rebound.,7,14
10:13,2294,Dom Uhl made Layup. Assisted by Nicholas Baer.,7,16
10:12,2460,Foul on Jeremy Morgan.,7,16
10:12,2294,Official TV Timeout,7,16
10:12,2294,Dom Uhl missed Free Throw.,7,16
10:12,2460,Jordan Ashton Defensive Rebound.,7,16
9:47,2460,Jordan Ashton missed Jumper.,7,16
9:47,2294,Cordell Pemsl Defensive Rebound.,7,16
9:32,2294,Brady Ellingson Turnover.,7,16
9:04,2460,Spencer Haldeman missed Three Point Jumper.,7,16
9:04,2294,Christian Williams Defensive Rebound.,7,16
8:43,2294,Cordell Pemsl made Jumper.,7,18
8:21,2460,Wyatt Lohaus Turnover.,7,18
8:20,2294,Brady Ellingson Steal.,7,18
8:14,2294,Brady Ellingson Turnover.,7,18
8:13,2460,Spencer Haldeman Steal.,7,18
8:10,2460,Spencer Haldeman made Layup.,9,18
8:10,2294,Foul on Isaiah Moss.,9,18
8:10,2460,Spencer Haldeman made Free Throw.,10,18
7:46,2294,Cordell Pemsl Turnover.,10,18
7:46,2294,Official TV Timeout,10,18
7:32,2460,Jeremy Morgan missed Three Point Jumper.,10,18
7:32,2294,Isaiah Moss Defensive Rebound.,10,18
7:24,2294,Christian Williams missed Jumper.,10,18
7:24,2460,Jeremy Morgan Defensive Rebound.,10,18
7:11,2460,Spencer Haldeman made Three Point Jumper. Assisted by Jeremy Morgan.,13,18
6:45,2294,Isaiah Moss missed Three Point Jumper.,13,18
6:45,2460,Northern Iowa Deadball Team Rebound.,13,18
6:43,2294,Foul on Cordell Pemsl.,13,18
6:30,2460,Bennett Koch missed Layup.,13,18
6:30,2294,Iowa Defensive Rebound.,13,18
6:11,2294,Peter Jok made Layup.,13,20
5:52,2460,Bennett Koch missed Jumper.,13,20
5:52,2294,Ahmad Wagner Defensive Rebound.,13,20
5:43,2294,Ahmad Wagner made Layup. Assisted by Christian Williams.,13,22
5:19,2460,Wyatt Lohaus missed Jumper.,13,22
5:19,2294,Peter Jok Defensive Rebound.,13,22
5:04,2294,Peter Jok made Jumper.,13,24
5:01,2460,Northern Iowa  Timeout,13,24
4:42,2460,Spencer Haldeman missed Three Point Jumper.,13,24
4:42,2294,Peter Jok Defensive Rebound.,13,24
4:25,2294,Peter Jok made Three Point Jumper.,13,27
4:05,2460,Spencer Haldeman made Three Point Jumper. Assisted by Klint Carlson.,16,27
3:52,2294,Peter Jok missed Jumper.,16,27
3:52,2460,Ted Friedman Defensive Rebound.,16,27
3:51,2294,Foul on Dom Uhl.,16,27
3:51,2294,Official TV Timeout,16,27
3:40,2460,Northern Iowa  Turnover.,16,27
3:18,2294,Dom Uhl missed Jumper.,16,27
3:18,2294,Nicholas Baer Offensive Rebound.,16,27
3:13,2294,Nicholas Baer made Layup.,16,29
2:56,2460,Jeremy Morgan missed Jumper.,16,29
2:56,2460,Ted Friedman Offensive Rebound.,16,29
2:39,2294,Foul on Jordan Bohannon.,16,29
2:39,2460,Ted Friedman missed Free Throw.,16,29
2:39,2460,Northern Iowa Deadball Team Rebound.,16,29
2:39,2460,Ted Friedman missed Free Throw.,16,29
2:39,2460,Klint Carlson Offensive Rebound.,16,29
2:27,2460,Juwan McCloud missed Three Point Jumper.,16,29
2:27,2294,Dom Uhl Defensive Rebound.,16,29
2:09,2294,Dom Uhl missed Three Point Jumper.,16,29
2:09,2460,Klint Carlson Defensive Rebound.,16,29
2:00,2460,Juwan McCloud missed Three Point Jumper.,16,29
2:00,2294,Jordan Bohannon Defensive Rebound.,16,29
1:52,2294,Nicholas Baer made Three Point Jumper. Assisted by Jordan Bohannon.,16,32
1:25,2460,Juwan McCloud missed Jumper.,16,32
1:25,2294,Jordan Bohannon Defensive Rebound.,16,32
1:18,2294,Ahmad Wagner Turnover.,16,32
1:18,2460,Juwan McCloud Steal.,16,32
0:57,2460,Juwan McCloud Turnover.,16,32
0:56,2294,Nicholas Baer Steal.,16,32
0:54,2294,Foul on Nicholas Baer.,16,32
0:54,2294,Nicholas Baer Turnover.,16,32
0:28,2460,Klint Carlson missed Three Point Jumper.,16,32
0:28,2294,Dom Uhl Defensive Rebound.,16,32
0:05,2294,Peter Jok made Jumper. Assisted by Jordan Bohannon.,16,34
0:00,2294,End of 1st half,16,34
19:31,2460,Jeremy Morgan made Jumper.,18,34
19:21,2294,Isaiah Moss made Jumper. Assisted by Ahmad Wagner.,18,36
18:56,2294,Foul on Ahmad Wagner.,18,36
18:56,2460,Jeremy Morgan missed Free Throw.,18,36
18:56,2460,Northern Iowa Deadball Team Rebound.,18,36
18:56,2460,Jeremy Morgan made Free Throw.,19,36
18:47,2294,Isaiah Moss made Layup. Assisted by Jordan Bohannon.,19,38
18:47,2460,Foul on Ted Friedman.,19,38
18:47,2294,Isaiah Moss made Free Throw.,19,39
18:20,2294,Foul on Ahmad Wagner.,19,39
18:20,2460,Spencer Haldeman made Free Throw.,20,39
18:20,2460,Spencer Haldeman made Free Throw.,21,39
18:20,2460,Spencer Haldeman made Free Throw.,22,39
18:08,2460,Foul on Spencer Haldeman.,22,39
18:08,2294,Isaiah Moss made Free Throw.,22,40
18:08,2294,Isaiah Moss made Free Throw.,22,41
17:58,2460,Jeremy Morgan made Jumper.,24,41
17:36,2294,Peter Jok made Three Point Jumper.,24,44
17:19,2460,Jordan Ashton missed Jumper.,24,44
17:19,2294,Cordell Pemsl Defensive Rebound.,24,44
17:18,2460,Foul on Ted Friedman.,24,44
17:05,2294,Isaiah Moss missed Jumper.,24,44
17:05,2460,Jordan Ashton Defensive Rebound.,24,44
17:04,2294,Foul on Isaiah Moss.,24,44
16:56,2460,Spencer Haldeman missed Three Point Jumper.,24,44
16:56,2294,Cordell Pemsl Defensive Rebound.,24,44
16:49,2294,Peter Jok made Jumper.,24,46
16:37,2294,Foul on Cordell Pemsl.,24,46
16:27,2294,Foul on Isaiah Moss.,24,46
16:08,2460,Jeremy Morgan missed Three Point Jumper.,24,46
16:08,2294,Nicholas Baer Defensive Rebound.,24,46
16:03,2294,Peter Jok missed Jumper.,24,46
16:03,2294,Nicholas Baer Offensive Rebound.,24,46
15:58,2294,Jordan Bohannon made Three Point Jumper. Assisted by Nicholas Baer.,24,49
15:44,2460,Spencer Haldeman missed Layup.,24,49
15:44,2294,Iowa Defensive Rebound.,24,49
15:42,2294,Official TV Timeout,24,49
15:23,2294,Christian Williams made Layup. Assisted by Dom Uhl.,24,51
14:51,2460,Klint Carlson made Layup. Assisted by Jeremy Morgan.,26,51
14:27,2294,Jordan Bohannon missed Three Point Jumper.,26,51
14:27,2460,Jeremy Morgan Defensive Rebound.,26,51
14:18,2460,Wyatt Lohaus missed Three Point Jumper.,26,51
14:18,2294,Peter Jok Defensive Rebound.,26,51
13:48,2294,Dom Uhl missed Three Point Jumper.,26,51
13:48,2460,Jeremy Morgan Defensive Rebound.,26,51
13:42,2460,Wyatt Lohaus made Layup. Assisted by Jeremy Morgan.,28,51
13:23,2294,Nicholas Baer made Jumper.,28,53
13:13,2460,Jeremy Morgan missed Three Point Jumper.,28,53
13:13,2294,Peter Jok Defensive Rebound.,28,53
13:11,2460,Foul on Jordan Ashton.,28,53
12:56,2294,Peter Jok missed Jumper.,28,53
12:56,2460,Jeremy Morgan Block.,28,53
12:56,2294,Iowa Offensive Rebound.,28,53
12:47,2294,Peter Jok Turnover.,28,53
12:18,2460,Wyatt Lohaus missed Three Point Jumper.,28,53
12:18,2460,Klint Carlson Offensive Rebound.,28,53
12:10,2460,Jeremy Morgan Turnover.,28,53
11:46,2294,Dom Uhl missed Three Point Jumper.,28,53
11:46,2460,Jeremy Morgan Defensive Rebound.,28,53
11:39,2294,Foul on Christian Williams.,28,53
11:39,2294,Official TV Timeout,28,53
11:20,2460,Juwan McCloud missed Layup.,28,53
11:20,2294,Ahmad Wagner Defensive Rebound.,28,53
11:11,2294,Christian Williams Turnover.,28,53
10:56,2460,Klint Carlson missed Jumper.,28,53
10:56,2294,Nicholas Baer Block.,28,53
10:55,2294,Nicholas Baer Defensive Rebound.,28,53
10:49,2460,Foul on Klint Carlson.,28,53
10:49,2294,Brady Ellingson made Free Throw.,28,54
10:49,2294,Brady Ellingson made Free Throw.,28,55
10:35,2294,Foul on Brady Ellingson.,28,55
10:35,2460,Jeremy Morgan made Free Throw.,29,55
10:35,2460,Jeremy Morgan made Free Throw.,30,55
10:18,2294,Ahmad Wagner made Layup. Assisted by Isaiah Moss.,30,57
9:47,2460,Jeremy Morgan missed Jumper.,30,57
9:47,2294,Nicholas Baer Defensive Rebound.,30,57
9:36,2294,Nicholas Baer missed Three Point Jumper.,30,57
9:36,2460,Jordan Ashton Defensive Rebound.,30,57
9:14,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Jeremy Morgan.,33,57
8:50,2294,Ahmad Wagner missed Jumper.,33,57
8:50,2294,Nicholas Baer Offensive Rebound.,33,57
8:46,2294,Nicholas Baer made Layup.,33,59
8:30,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Klint Carlson.,36,59
8:27,2460,Northern Iowa  Timeout,36,59
8:27,2294,Official TV Timeout,36,59
8:13,2294,Peter Jok missed Jumper.,36,59
8:13,2460,Isaiah Brown Defensive Rebound.,36,59
8:01,2460,Juwan McCloud Turnover.,36,59
7:54,2294,Jordan Bohannon Turnover.,36,59
7:53,2460,Juwan McCloud Steal.,36,59
7:51,2460,Juwan McCloud made Layup.,38,59
7:24,2294,Cordell Pemsl made Layup. Assisted by Jordan Bohannon.,38,61
7:01,2460,Wyatt Lohaus missed Jumper.,38,61
7:01,2294,Nicholas Baer Defensive Rebound.,38,61
6:59,2460,Foul on Bennett Koch.,38,61
6:59,2294,Official TV Timeout,38,61
6:34,2294,Nicholas Baer missed Three Point Jumper.,38,61
6:34,2294,Peter Jok Offensive Rebound.,38,61
6:30,2294,Peter Jok made Layup.,38,63
6:12,2294,Foul on Peter Jok.,38,63
6:12,2460,Jeremy Morgan made Free Throw.,39,63
6:12,2460,Jeremy Morgan made Free Throw.,40,63
5:51,2460,Foul on Bennett Koch.,40,63
5:51,2294,Cordell Pemsl made Free Throw.,40,64
5:51,2294,Cordell Pemsl made Free Throw.,40,65
5:36,2460,Juwan McCloud missed Jumper.,40,65
5:36,2294,Cordell Pemsl Defensive Rebound.,40,65
5:08,2294,Peter Jok made Jumper.,40,67
4:49,2460,Jeremy Morgan missed Jumper.,40,67
4:49,2294,Nicholas Baer Block.,40,67
4:49,2460,Northern Iowa Offensive Rebound.,40,67
4:35,2460,Klint Carlson missed Three Point Jumper.,40,67
4:35,2460,Northern Iowa Deadball Team Rebound.,40,67
4:34,2460,Northern Iowa  Turnover.,40,67
4:06,2294,Jordan Bohannon missed Three Point Jumper.,40,67
4:06,2294,Ahmad Wagner Offensive Rebound.,40,67
3:35,2294,Nicholas Baer Turnover.,40,67
3:35,2294,Official TV Timeout,40,67
3:12,2460,Isaiah Brown missed Three Point Jumper.,40,67
3:12,2294,Ryan Kriener Defensive Rebound.,40,67
2:41,2294,Nicholas Baer missed Three Point Jumper.,40,67
2:41,2294,Ryan Kriener Offensive Rebound.,40,67
2:17,2294,Ryan Kriener missed Jumper.,40,67
2:17,2294,Nicholas Baer Offensive Rebound.,40,67
1:48,2294,Nicholas Baer missed Three Point Jumper.,40,67
1:48,2460,Hunter Rhodes Defensive Rebound.,40,67
1:42,2460,Isaiah Brown made Layup. Assisted by Hunter Rhodes.,42,67
1:15,2294,Jordan Bohannon missed Jumper.,42,67
1:15,2460,Luke McDonnell Defensive Rebound.,42,67
1:04,2460,Isaiah Brown missed Jumper.,42,67
1:04,2460,Luke McDonnell Offensive Rebound.,42,67
1:00,2294,Foul on Ryan Kriener.,42,67
1:00,2460,Luke McDonnell missed Free Throw.,42,67
1:00,2460,Northern Iowa Deadball Team Rebound.,42,67
1:00,2460,Luke McDonnell made Free Throw.,43,67
0:45,2294,Ryan Kriener made Layup. Assisted by Jordan Bohannon.,43,69
0:22,2460,Luke McDonnell made Three Point Jumper. Assisted by Juwan McCloud.,46,69
0:00,2294,End of Game,46,69
