Florida Gulf Coast,2325,La Salle,526
10:07,526,Zach Johnson missed Three Point Jumper.,11,21
10:07,526,Kevin Mickle Offensive Rebound.,11,21
10:02,526,Kevin Mickle Turnover.,11,21
10:02,2325,Jordan Price Steal.,11,21
9:57,2325,Pookie Powell missed Three Point Jumper.,11,21
9:57,526,Zach Johnson Defensive Rebound.,11,21
9:48,526,Rayjon Tucker made Three Point Jumper. Assisted by Zach Johnson.,14,21
9:32,2325,Pookie Powell missed Layup.,14,21
9:32,526,Zach Johnson Defensive Rebound.,14,21
9:24,526,Rayjon Tucker missed Three Point Jumper.,14,21
9:24,2325,Pookie Powell Defensive Rebound.,14,21
9:22,526,Foul on Demetris Morant.,14,21
9:08,2325,Jordan Price missed Three Point Jumper.,14,21
9:08,526,RaySean Scott Jr. Defensive Rebound.,14,21
8:37,526,Brandon Goodwin made Jumper.,16,21
8:29,526,Foul on Brandon Goodwin.,16,21
8:29,2325,B.J. Johnson made Free Throw.,16,22
8:29,2325,B.J. Johnson made Free Throw.,16,23
8:06,526,Brandon Goodwin missed Three Point Jumper.,16,23
8:06,526,Brandon Goodwin Offensive Rebound.,16,23
8:02,526,Brandon Goodwin Turnover.,16,23
7:47,2325,Official TV Timeout,16,23
7:34,2325,Johnnie Shuler made Three Point Jumper. Assisted by Jordan Price.,16,26
7:02,526,Christian Carlyle missed Jumper.,16,26
7:02,2325,Demetrius Henry Block.,16,26
7:00,2325,Cleon Roberts Defensive Rebound.,16,26
6:57,2325,Foul on Cleon Roberts.,16,26
6:57,2325,Cleon Roberts Turnover.,16,26
6:35,526,Christian Terrell made Three Point Jumper. Assisted by Brandon Goodwin.,19,26
6:28,2325,Cleon Roberts missed Three Point Jumper.,19,26
6:28,526,Rayjon Tucker Defensive Rebound.,19,26
6:12,2325,Foul on Johnnie Shuler.,19,26
6:12,526,Foul on Rayjon Tucker.,19,26
6:12,526,Technical Foul on Rayjon Tucker.,19,26
6:12,2325,Jordan Price made Free Throw.,19,27
6:12,2325,Jordan Price missed Free Throw.,19,27
6:12,526,Florida Gulf Coast Deadball Team Rebound.,19,27
6:12,526,Rayjon Tucker made Free Throw.,20,27
6:12,526,Rayjon Tucker made Free Throw.,21,27
5:58,2325,Pookie Powell made Layup.,21,29
5:55,2325,Foul on B.J. Johnson.,21,29
5:55,526,Brandon Goodwin made Free Throw.,22,29
5:55,526,Brandon Goodwin made Free Throw.,23,29
5:43,2325,Cleon Roberts made Three Point Jumper. Assisted by Amar Stukes.,23,32
5:28,526,Zach Johnson Turnover.,23,32
5:08,2325,Demetrius Henry missed Jumper.,23,32
5:08,526,Kevin Mickle Defensive Rebound.,23,32
4:44,2325,Foul on Cleon Roberts.,23,32
4:44,526,Christian Terrell missed Free Throw.,23,32
4:44,526,Florida Gulf Coast Deadball Team Rebound.,23,32
4:44,526,Christian Terrell made Free Throw.,24,32
4:25,2325,Jordan Price missed Three Point Jumper.,24,32
4:25,526,Brandon Goodwin Defensive Rebound.,24,32
4:13,526,Kevin Mickle missed Jumper.,24,32
4:13,2325,Demetrius Henry Defensive Rebound.,24,32
4:05,2325,Foul on Jordan Price.,24,32
4:05,2325,Jordan Price Turnover.,24,32
3:41,526,Reggie Reid made Layup.,26,32
3:06,2325,Amar Stukes made Layup.,26,34
2:53,526,Brandon Goodwin made Three Point Jumper. Assisted by Reggie Reid.,29,34
2:39,2325,Johnnie Shuler missed Three Point Jumper.,29,34
2:39,526,Brandon Goodwin Defensive Rebound.,29,34
2:38,2325,Foul on Saul Phiri.,29,34
2:38,2325,Official TV Timeout,29,34
2:38,526,Brandon Goodwin made Free Throw.,30,34
2:38,526,Brandon Goodwin made Free Throw.,31,34
2:25,2325,Saul Phiri missed Three Point Jumper.,31,34
2:25,2325,Johnnie Shuler Offensive Rebound.,31,34
2:13,2325,Johnnie Shuler made Three Point Jumper. Assisted by Pookie Powell.,31,37
1:52,526,Reggie Reid missed Three Point Jumper.,31,37
1:52,526,Brandon Goodwin Offensive Rebound.,31,37
1:49,526,Brandon Goodwin made Layup.,33,37
1:37,2325,Johnnie Shuler missed Three Point Jumper.,33,37
1:37,526,Christian Terrell Defensive Rebound.,33,37
1:14,526,Rayjon Tucker made Layup.,35,37
1:14,2325,Foul on Demetrius Henry.,35,37
1:14,526,Rayjon Tucker made Free Throw.,36,37
0:54,2325,Demetrius Henry Turnover.,36,37
0:53,526,Antravious Simmons Steal.,36,37
0:48,526,Christian Terrell missed Three Point Jumper.,36,37
0:48,2325,Saul Phiri Defensive Rebound.,36,37
0:26,2325,Pookie Powell missed Three Point Jumper.,36,37
0:26,2325,Saul Phiri Offensive Rebound.,36,37
0:24,2325,Saul Phiri made Layup.,36,39
0:24,526,Foul on Antravious Simmons.,36,39
0:24,2325,Saul Phiri missed Free Throw.,36,39
0:24,526,Rayjon Tucker Defensive Rebound.,36,39
0:03,526,Rayjon Tucker made Three Point Jumper. Assisted by Brandon Goodwin.,39,39
0:00,2325,End of 1st half,39,39
19:50,526,Zach Johnson missed Jumper.,39,39
19:50,526,Demetris Morant Offensive Rebound.,39,39
19:44,526,Demetris Morant missed Layup.,39,39
19:44,526,Rayjon Tucker Offensive Rebound.,39,39
19:44,2325,Foul on Jordan Price.,39,39
19:44,526,Rayjon Tucker made Free Throw.,40,39
19:44,526,Rayjon Tucker made Free Throw.,41,39
19:32,2325,Jordan Price missed Three Point Jumper.,41,39
19:32,2325,Tony Washington Offensive Rebound.,41,39
19:24,2325,Jordan Price made Layup. Assisted by Pookie Powell.,41,41
19:04,526,Demetris Morant missed Jumper.,41,41
19:04,526,Rayjon Tucker Offensive Rebound.,41,41
19:01,526,Rayjon Tucker missed Layup.,41,41
19:01,2325,B.J. Johnson Defensive Rebound.,41,41
18:56,2325,B.J. Johnson made Jumper.,41,43
18:26,526,Brandon Goodwin made Three Point Jumper. Assisted by Christian Terrell.,44,43
18:11,2325,B.J. Johnson missed Three Point Jumper.,44,43
18:11,526,Florida Gulf Coast Deadball Team Rebound.,44,43
17:55,526,Zach Johnson made Dunk.,46,43
17:34,2325,Tony Washington missed Layup.,46,43
17:34,526,Rayjon Tucker Defensive Rebound.,46,43
17:28,526,Brandon Goodwin Turnover.,46,43
17:17,2325,B.J. Johnson made Jumper. Assisted by Pookie Powell.,46,45
16:52,526,Zach Johnson Turnover.,46,45
16:51,2325,B.J. Johnson Steal.,46,45
16:28,2325,B.J. Johnson made Dunk. Assisted by Jordan Price.,46,47
16:04,526,Brandon Goodwin made Layup.,48,47
15:57,2325,Jordan Price missed Three Point Jumper.,48,47
15:57,526,Demetris Morant Defensive Rebound.,48,47
15:48,526,Christian Terrell missed Three Point Jumper.,48,47
15:48,2325,Amar Stukes Defensive Rebound.,48,47
15:42,2325,Jordan Price missed Three Point Jumper.,48,47
15:42,2325,La Salle Offensive Rebound.,48,47
15:31,2325,Jordan Price Turnover.,48,47
15:20,526,Demetris Morant made Jumper. Assisted by Zach Johnson.,50,47
15:06,2325,Pookie Powell missed Three Point Jumper.,50,47
15:06,526,Demetris Morant Defensive Rebound.,50,47
14:55,526,Demetris Morant missed Layup.,50,47
14:55,2325,Pookie Powell Defensive Rebound.,50,47
14:50,2325,B.J. Johnson made Three Point Jumper. Assisted by Pookie Powell.,50,50
14:31,526,Zach Johnson made Three Point Jumper.,53,50
14:12,2325,Pookie Powell missed Layup.,53,50
14:12,526,Demetris Morant Block.,53,50
14:12,2325,La Salle Offensive Rebound.,53,50
13:57,526,Foul on Antravious Simmons.,53,50
13:57,2325,B.J. Johnson made Free Throw.,53,51
13:57,2325,B.J. Johnson missed Free Throw.,53,51
13:57,526,RaySean Scott Jr. Defensive Rebound.,53,51
13:41,2325,Foul on Pookie Powell.,53,51
13:41,526,Reggie Reid missed Free Throw.,53,51
13:41,526,Florida Gulf Coast Deadball Team Rebound.,53,51
13:41,526,Reggie Reid made Free Throw.,54,51
13:23,2325,B.J. Johnson made Layup.,54,53
13:00,526,Rayjon Tucker Turnover.,54,53
12:57,2325,Johnnie Shuler Steal.,54,53
12:55,526,Foul on Reggie Reid.,54,53
12:55,2325,Pookie Powell made Free Throw.,54,54
12:55,2325,Pookie Powell made Free Throw.,54,55
12:42,526,Brandon Goodwin made Three Point Jumper. Assisted by Zach Johnson.,57,55
12:27,526,Foul on Demetris Morant.,57,55
12:27,2325,B.J. Johnson made Free Throw.,57,56
12:27,2325,B.J. Johnson made Free Throw.,57,57
12:11,526,Zach Johnson missed Three Point Jumper.,57,57
12:11,2325,B.J. Johnson Defensive Rebound.,57,57
11:47,2325,B.J. Johnson Turnover.,57,57
11:46,526,Christian Terrell Steal.,57,57
11:41,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,60,57
11:27,2325,Pookie Powell Turnover.,60,57
11:27,2325,Official TV Timeout,60,57
11:09,526,Brandon Goodwin missed Jumper.,60,57
11:09,2325,Demetrius Henry Block.,60,57
11:08,526,Kevin Mickle Offensive Rebound.,60,57
10:59,526,Brandon Goodwin missed Three Point Jumper.,60,57
10:59,526,Zach Johnson Offensive Rebound.,60,57
10:49,526,Demetris Morant missed Layup.,60,57
10:49,526,Demetris Morant Offensive Rebound.,60,57
10:46,526,Demetris Morant Turnover.,60,57
10:45,2325,Amar Stukes Steal.,60,57
10:34,2325,Amar Stukes Turnover.,60,57
10:25,526,Foul on Demetris Morant.,60,57
10:25,526,Demetris Morant Turnover.,60,57
10:05,2325,Amar Stukes made Layup.,60,59
9:35,526,Brandon Goodwin made Layup.,62,59
9:18,526,Foul on Brandon Goodwin.,62,59
9:18,2325,Jordan Price made Free Throw.,62,60
9:18,2325,Jordan Price made Free Throw.,62,61
8:58,2325,Foul on Johnnie Shuler.,62,61
8:42,526,Christian Terrell missed Dunk.,62,61
8:42,2325,Demetrius Henry Block.,62,61
8:40,2325,Amar Stukes Defensive Rebound.,62,61
8:36,2325,B.J. Johnson missed Three Point Jumper.,62,61
8:36,2325,Demetrius Henry Offensive Rebound.,62,61
8:29,2325,Jordan Price missed Three Point Jumper.,62,61
8:29,526,Christian Terrell Defensive Rebound.,62,61
8:18,526,Zach Johnson made Three Point Jumper. Assisted by Christian Terrell.,65,61
7:58,526,Foul on Zach Johnson.,65,61
7:58,2325,Official TV Timeout,65,61
7:43,2325,Amar Stukes missed Layup.,65,61
7:43,526,Zach Johnson Defensive Rebound.,65,61
7:36,2325,Foul on Amar Stukes.,65,61
7:35,2325,Foul on Amar Stukes.,65,61
7:35,526,Rayjon Tucker made Free Throw.,66,61
7:35,526,Rayjon Tucker made Free Throw.,67,61
7:08,2325,B.J. Johnson made Three Point Jumper. Assisted by Jordan Price.,67,64
6:36,526,Christian Terrell made Jumper.,69,64
6:17,2325,B.J. Johnson made Three Point Jumper. Assisted by Amar Stukes.,69,67
5:49,526,Rayjon Tucker made Three Point Jumper. Assisted by Brandon Goodwin.,72,67
5:24,526,Foul on Brandon Goodwin.,72,67
5:24,2325,Amar Stukes missed Free Throw.,72,67
5:24,2325,La Salle Deadball Team Rebound.,72,67
5:24,2325,Amar Stukes made Free Throw.,72,68
5:08,526,Brandon Goodwin Turnover.,72,68
4:52,526,Foul on Antravious Simmons.,72,68
4:52,2325,Demetrius Henry made Free Throw.,72,69
4:52,2325,Demetrius Henry made Free Throw.,72,70
4:30,526,Zach Johnson made Jumper.,74,70
4:16,526,Foul on Kevin Mickle.,74,70
4:16,2325,Jordan Price made Free Throw.,74,71
4:16,2325,Jordan Price made Free Throw.,74,72
4:00,526,Zach Johnson missed Layup.,74,72
4:00,2325,Jordan Price Defensive Rebound.,74,72
3:49,2325,Jordan Price Turnover.,74,72
3:49,2325,Official TV Timeout,74,72
3:25,526,Rayjon Tucker missed Three Point Jumper.,74,72
3:25,2325,Jordan Price Defensive Rebound.,74,72
3:05,2325,B.J. Johnson missed Layup.,74,72
3:05,526,Kevin Mickle Defensive Rebound.,74,72
3:00,526,Florida Gulf Coast  Timeout,74,72
3:00,2325,Official TV Timeout,74,72
2:36,526,Brandon Goodwin Turnover.,74,72
2:34,2325,Johnnie Shuler Steal.,74,72
2:15,2325,B.J. Johnson made Dunk. Assisted by Jordan Price.,74,74
1:48,526,Brandon Goodwin Turnover.,74,74
1:47,2325,B.J. Johnson Steal.,74,74
1:39,2325,La Salle  Timeout,74,74
1:31,2325,Jordan Price made Layup. Assisted by B.J. Johnson.,74,76
1:17,2325,Foul on Jordan Price.,74,76
1:17,526,Christian Terrell missed Free Throw.,74,76
1:17,526,Florida Gulf Coast Deadball Team Rebound.,74,76
1:17,526,Christian Terrell missed Free Throw.,74,76
1:17,2325,Jordan Price Defensive Rebound.,74,76
1:09,2325,La Salle  Timeout,74,76
0:48,2325,Jordan Price made Jumper.,74,78
0:48,526,Foul on Zach Johnson.,74,78
0:48,2325,Jordan Price missed Free Throw.,74,78
0:48,526,Rayjon Tucker Defensive Rebound.,74,78
0:40,2325,Foul on Amar Stukes.,74,78
0:40,526,Demetris Morant missed Free Throw.,74,78
0:40,526,Brandon Goodwin Offensive Rebound.,74,78
0:32,2325,Foul on Jordan Price.,74,78
0:32,526,Brandon Goodwin made Free Throw.,75,78
0:32,526,Brandon Goodwin made Free Throw.,76,78
0:32,526,Florida Gulf Coast  Timeout,76,78
0:29,526,Foul on Kevin Mickle.,76,78
0:29,2325,B.J. Johnson made Free Throw.,76,79
0:29,2325,B.J. Johnson made Free Throw.,76,80
0:21,2325,Foul on Demetrius Henry.,76,80
0:21,526,Zach Johnson made Free Throw.,77,80
0:21,526,Zach Johnson made Free Throw.,78,80
0:20,2325,B.J. Johnson made Free Throw.,78,81
0:20,2325,B.J. Johnson made Free Throw.,78,82
0:20,526,Foul on Brandon Goodwin.,78,80
0:08,526,Rayjon Tucker made Jumper.,80,82
0:08,526,Florida Gulf Coast  Timeout,80,82
0:08,2325,La Salle  Timeout,80,82
0:06,2325,B.J. Johnson made Dunk. Assisted by Amar Stukes.,80,84
0:02,526,Brandon Goodwin missed Three Point Jumper.,80,84
0:02,2325,Pookie Powell Defensive Rebound.,80,84
0:00,2325,End of Game,80,84
