Butler,84,Indiana,2086
19:49,2086,Foul on Tyler Wideman.,42,28
19:38,84,James Blackmon Jr. Turnover.,42,28
19:38,2086,Tyler Wideman Steal.,42,28
19:38,2086,Jump Ball won by Butler,42,28
19:24,2086,Tyler Wideman made Dunk. Assisted by Kelan Martin.,44,28
19:08,84,Robert Johnson made Layup.,44,30
18:43,2086,Kelan Martin Turnover.,44,30
18:43,84,Juwan Morgan Steal.,44,30
18:37,84,Robert Johnson made Three Point Jumper. Assisted by OG Anunoby.,44,33
18:01,84,Foul on Juwan Morgan.,44,33
18:01,2086,Andrew Chrabascz made Free Throw.,45,33
18:01,2086,Andrew Chrabascz missed Free Throw.,45,33
18:01,84,Juwan Morgan Defensive Rebound.,45,33
17:42,2086,Foul on Kamar Baldwin.,45,33
17:37,84,James Blackmon Jr. Turnover.,45,33
17:37,2086,Tyler Wideman Steal.,45,33
17:30,2086,Tyler Wideman missed Layup.,45,33
17:30,84,Juwan Morgan Defensive Rebound.,45,33
17:24,84,James Blackmon Jr. made Three Point Jumper. Assisted by Juwan Morgan.,45,36
16:59,2086,Kelan Martin missed Layup.,45,36
16:59,84,OG Anunoby Defensive Rebound.,45,36
16:53,84,Juwan Morgan missed Three Point Jumper.,45,36
16:53,2086,Kamar Baldwin Defensive Rebound.,45,36
16:44,2086,Kamar Baldwin made Three Point Jumper. Assisted by Andrew Chrabascz.,48,36
16:13,84,James Blackmon Jr. missed Three Point Jumper.,48,36
16:13,84,Juwan Morgan Offensive Rebound.,48,36
16:13,84,Juwan Morgan made Two Point Tip Shot.,48,38
15:50,2086,Kamar Baldwin made Jumper.,50,38
15:29,84,OG Anunoby made Three Point Jumper. Assisted by James Blackmon Jr..,50,41
14:57,2086,Tyler Wideman missed Jumper.,50,41
14:57,84,Robert Johnson Defensive Rebound.,50,41
14:39,84,Thomas Bryant Turnover.,50,41
14:39,84,Official TV Timeout,50,41
14:24,2086,Kelan Martin made Jumper.,52,41
14:02,84,Thomas Bryant made Layup.,52,43
13:45,2086,Kelan Martin made Three Point Jumper. Assisted by Tyler Lewis.,55,43
13:35,84,Josh Newkirk made Layup.,55,45
13:11,2086,Kelan Martin made Three Point Jumper.,58,45
13:00,84,Josh Newkirk made Layup.,58,47
12:37,2086,Kelan Martin missed Three Point Jumper.,58,47
12:37,2086,Nate Fowler Offensive Rebound.,58,47
12:29,2086,Avery Woodson missed Three Point Jumper.,58,47
12:29,84,Indiana Deadball Team Rebound.,58,47
12:27,84,Foul on Zach McRoberts.,58,47
12:23,84,Foul on Robert Johnson.,58,47
12:23,2086,Kelan Martin made Free Throw.,59,47
12:23,2086,Kelan Martin made Free Throw.,60,47
12:03,2086,Foul on Avery Woodson.,60,47
12:03,84,De'Ron Davis made Free Throw.,60,48
12:03,84,De'Ron Davis missed Free Throw.,60,48
12:03,2086,Sean McDermott Defensive Rebound.,60,48
11:49,2086,Kethan Savage made Jumper.,62,48
11:17,84,Curtis Jones missed Three Point Jumper.,62,48
11:17,84,De'Ron Davis Offensive Rebound.,62,48
11:13,84,Jump Ball won by Indiana,62,48
11:13,84,Official TV Timeout,62,48
10:56,2086,Foul on Sean McDermott.,62,48
10:56,84,De'Ron Davis missed Free Throw.,62,48
10:56,84,Indiana Deadball Team Rebound.,62,48
10:56,84,De'Ron Davis made Free Throw.,62,49
10:42,2086,Avery Woodson missed Three Point Jumper.,62,49
10:42,84,OG Anunoby Defensive Rebound.,62,49
10:34,84,James Blackmon Jr. made Three Point Jumper. Assisted by Curtis Jones.,62,52
10:16,2086,Kethan Savage missed Layup.,62,52
10:16,84,Curtis Jones Defensive Rebound.,62,52
10:10,84,Curtis Jones missed Layup.,62,52
10:10,2086,Nate Fowler Defensive Rebound.,62,52
10:03,84,Foul on De'Ron Davis.,62,52
10:03,2086,Kethan Savage missed Free Throw.,62,52
10:03,2086,Butler Deadball Team Rebound.,62,52
10:03,2086,Kethan Savage missed Free Throw.,62,52
10:03,84,OG Anunoby Defensive Rebound.,62,52
9:56,84,OG Anunoby made Layup.,62,54
9:56,2086,Foul on Nate Fowler.,62,54
9:56,84,OG Anunoby made Free Throw.,62,55
9:46,84,Foul on Robert Johnson.,62,55
9:33,2086,Andrew Chrabascz made Jumper.,64,55
9:22,84,Robert Johnson Turnover.,64,55
9:22,2086,Kelan Martin Steal.,64,55
9:14,84,Foul on Josh Newkirk.,64,55
9:14,2086,Andrew Chrabascz made Free Throw.,65,55
9:14,2086,Andrew Chrabascz made Free Throw.,66,55
8:56,84,Thomas Bryant Turnover.,66,55
8:56,2086,Tyler Lewis Steal.,66,55
8:56,2086,Jump Ball won by Butler,66,55
8:29,2086,Kamar Baldwin made Layup.,68,55
8:11,84,Josh Newkirk made Layup.,68,57
7:44,84,Foul on Josh Newkirk.,68,57
7:44,84,Official TV Timeout,68,57
7:44,2086,Kelan Martin made Free Throw.,69,57
7:44,2086,Kelan Martin made Free Throw.,70,57
7:32,84,Thomas Bryant made Layup.,70,59
7:32,2086,Foul on Tyler Wideman.,70,59
7:32,84,Thomas Bryant made Free Throw.,70,60
7:11,2086,Kamar Baldwin missed Jumper.,70,60
7:11,84,OG Anunoby Defensive Rebound.,70,60
7:02,84,Thomas Bryant made Dunk. Assisted by Devonte Green.,70,62
6:43,2086,Sean McDermott missed Three Point Jumper.,70,62
6:43,84,Josh Newkirk Defensive Rebound.,70,62
6:36,84,Jump Ball won by Indiana,70,62
6:25,84,Josh Newkirk missed Three Point Jumper.,70,62
6:25,2086,Kamar Baldwin Defensive Rebound.,70,62
6:01,2086,Kelan Martin Turnover.,70,62
5:50,84,OG Anunoby missed Three Point Jumper.,70,62
5:50,2086,Kelan Martin Defensive Rebound.,70,62
5:27,2086,Tyler Lewis made Jumper.,72,62
5:11,2086,Foul on Andrew Chrabascz.,72,62
5:11,84,James Blackmon Jr. made Free Throw.,72,63
5:11,84,James Blackmon Jr. made Free Throw.,72,64
4:50,84,Foul on Juwan Morgan.,72,64
4:50,2086,Andrew Chrabascz made Free Throw.,73,64
4:50,2086,Andrew Chrabascz missed Free Throw.,73,64
4:50,84,Juwan Morgan Defensive Rebound.,73,64
4:35,84,Thomas Bryant missed Layup.,73,64
4:35,84,Juwan Morgan Offensive Rebound.,73,64
4:35,84,Juwan Morgan made Two Point Tip Shot.,73,66
4:35,2086,Foul on Tyler Wideman.,73,66
4:35,84,Juwan Morgan missed Free Throw.,73,66
4:35,2086,Tyler Wideman Defensive Rebound.,73,66
4:10,2086,Tyler Wideman missed Jumper.,73,66
4:10,84,Thomas Bryant Defensive Rebound.,73,66
4:02,84,James Blackmon Jr. made Three Point Jumper. Assisted by Robert Johnson.,73,69
3:50,2086,Butler  Timeout,73,69
3:37,2086,Sean McDermott made Layup. Assisted by Andrew Chrabascz.,75,69
3:10,84,Thomas Bryant missed Layup.,75,69
3:10,2086,Kamar Baldwin Defensive Rebound.,75,69
3:08,84,Foul on Juwan Morgan.,75,69
3:08,84,Official TV Timeout,75,69
3:08,2086,Kamar Baldwin made Free Throw.,76,69
3:08,2086,Kamar Baldwin made Free Throw.,77,69
2:59,2086,Foul on Tyler Lewis.,77,69
2:59,84,Josh Newkirk made Free Throw.,77,70
2:59,84,Josh Newkirk made Free Throw.,77,71
2:42,2086,Sean McDermott missed Layup.,77,71
2:42,84,Thomas Bryant Defensive Rebound.,77,71
2:30,84,Josh Newkirk missed Layup.,77,71
2:30,2086,Sean McDermott Defensive Rebound.,77,71
2:03,2086,Kamar Baldwin missed Layup.,77,71
2:03,84,James Blackmon Jr. Defensive Rebound.,77,71
2:01,2086,Foul on Sean McDermott.,77,71
2:01,84,James Blackmon Jr. made Free Throw.,77,72
2:01,84,James Blackmon Jr. made Free Throw.,77,73
1:43,2086,Kelan Martin Turnover.,77,73
1:43,84,Josh Newkirk Steal.,77,73
1:27,2086,Foul on Tyler Lewis.,77,73
1:27,84,OG Anunoby made Free Throw.,77,74
1:27,84,OG Anunoby missed Free Throw.,77,74
1:27,2086,Andrew Chrabascz Defensive Rebound.,77,74
1:04,2086,Andrew Chrabascz missed Jumper.,77,74
1:04,84,OG Anunoby Block.,77,74
1:04,84,Josh Newkirk Defensive Rebound.,77,74
0:58,84,James Blackmon Jr. missed Three Point Jumper.,77,74
0:58,2086,Butler Deadball Team Rebound.,77,74
0:56,84,Foul on Thomas Bryant.,77,74
0:56,2086,Andrew Chrabascz made Free Throw.,78,74
0:56,2086,Andrew Chrabascz made Free Throw.,79,74
0:55,2086,Butler  Timeout,79,74
0:40,84,James Blackmon Jr. made Three Point Jumper. Assisted by OG Anunoby.,79,77
0:31,2086,Butler  Timeout,79,77
0:16,2086,Andrew Chrabascz missed Layup.,79,77
0:16,84,Josh Newkirk Block.,79,77
0:16,2086,Butler Offensive Rebound.,79,77
0:15,2086,Tyler Wideman made Dunk. Assisted by Tyler Lewis.,81,77
0:15,84,Indiana  Timeout,81,77
0:10,2086,Foul on Andrew Chrabascz.,81,77
0:10,84,Josh Newkirk missed Free Throw.,81,77
0:10,84,Indiana Deadball Team Rebound.,81,77
0:10,84,Josh Newkirk made Free Throw.,81,78
0:10,84,Foul on Josh Newkirk.,81,78
0:10,2086,Tyler Lewis made Free Throw.,82,78
0:10,84,Indiana  Timeout,82,78
0:10,2086,Tyler Lewis made Free Throw.,83,78
0:04,84,James Blackmon Jr. missed Layup.,83,78
0:04,84,Indiana Offensive Rebound.,83,78
0:01,84,Indiana  Timeout,83,78
0:01,84,OG Anunoby missed Three Point Jumper.,83,78
0:01,84,Indiana Offensive Rebound.,83,78
0:00,84,End of Game,83,78
