North Carolina A&amp;T,151,East Carolina,2448
11:56,151,Official TV Timeout,8,16
11:56,151,Kentrell Barkley made Free Throw.,8,17
11:56,151,Kentrell Barkley made Free Throw.,8,18
11:40,2448,Raymon Pratt missed Three Point Jumper.,8,18
11:40,151,Raquan Wilkins Defensive Rebound.,8,18
11:16,151,Raquan Wilkins made Jumper.,8,20
10:54,2448,Eliel Gonzalez missed Layup.,8,20
10:54,2448,Eliel Gonzalez Offensive Rebound.,8,20
10:52,151,Foul on Deng Riak.,8,20
10:52,2448,Eliel Gonzalez made Free Throw.,9,20
10:52,2448,Eliel Gonzalez missed Free Throw.,9,20
10:52,151,Elijah Hughes Defensive Rebound.,9,20
10:33,151,Elijah Hughes missed Three Point Jumper.,9,20
10:33,2448,North Carolina A&T Defensive Rebound.,9,20
10:29,151,Foul on Clarence Williams.,9,20
10:07,2448,Austin Williams Turnover.,9,20
10:06,151,Jabari Craig Steal.,9,20
10:03,151,Raquan Wilkins made Dunk. Assisted by Elijah Hughes.,9,22
9:45,2448,Raymon Pratt Turnover.,9,22
9:43,151,B.J. Tyson Steal.,9,22
9:37,151,Elijah Hughes missed Three Point Jumper.,9,22
9:37,2448,Donte Watson Defensive Rebound.,9,22
9:18,2448,Sam Hunt missed Three Point Jumper.,9,22
9:18,151,Elijah Hughes Defensive Rebound.,9,22
9:09,2448,Foul on Austin Williams.,9,22
9:09,151,B.J. Tyson made Free Throw.,9,23
9:09,151,B.J. Tyson made Free Throw.,9,24
8:53,2448,Donte Watson Turnover.,9,24
8:53,151,B.J. Tyson Steal.,9,24
8:52,2448,Foul on Austin Williams.,9,24
8:52,151,B.J. Tyson made Free Throw.,9,25
8:52,151,B.J. Tyson made Free Throw.,9,26
8:35,2448,Nick Reese missed Three Point Jumper.,9,26
8:35,151,Raquan Wilkins Defensive Rebound.,9,26
8:29,151,Raquan Wilkins Turnover.,9,26
8:28,2448,Austin Williams Steal.,9,26
8:26,2448,Davaris McGowens made Dunk. Assisted by Sam Hunt.,11,26
8:01,151,Clarence Williams Turnover.,11,26
7:34,2448,Nick Reese missed Jumper.,11,26
7:34,151,Andre Washington Defensive Rebound.,11,26
7:24,151,B.J. Tyson missed Jumper.,11,26
7:24,2448,Austin Williams Defensive Rebound.,11,26
7:14,151,Foul on Caleb White.,11,26
7:14,151,Official TV Timeout,11,26
7:14,2448,Davaris McGowens made Free Throw.,12,26
7:14,2448,Davaris McGowens made Free Throw.,13,26
7:03,151,Clarence Williams Turnover.,13,26
7:02,2448,Austin Williams Steal.,13,26
7:00,2448,Austin Williams missed Layup.,13,26
7:00,151,Clarence Williams Block.,13,26
6:58,151,Elijah Hughes Defensive Rebound.,13,26
6:45,151,Elijah Hughes missed Three Point Jumper.,13,26
6:45,2448,Davaris McGowens Defensive Rebound.,13,26
6:29,2448,Davaris McGowens missed Layup.,13,26
6:29,151,Andre Washington Block.,13,26
6:28,2448,Nick Reese Offensive Rebound.,13,26
6:28,151,Foul on B.J. Tyson.,13,26
6:28,2448,Davaris McGowens made Free Throw.,14,26
6:28,2448,Davaris McGowens missed Free Throw.,14,26
6:28,151,Jabari Craig Defensive Rebound.,14,26
6:15,151,B.J. Tyson Turnover.,14,26
6:14,2448,Nick Reese Steal.,14,26
5:56,2448,Amari Hamilton missed Three Point Jumper.,14,26
5:56,151,Kentrell Barkley Defensive Rebound.,14,26
5:46,151,Jabari Craig missed Jumper.,14,26
5:46,2448,Davaris McGowens Block.,14,26
5:43,2448,Nick Reese Defensive Rebound.,14,26
5:26,2448,Davaris McGowens Turnover.,14,26
5:06,151,Kentrell Barkley missed Three Point Jumper.,14,26
5:06,2448,Eliel Gonzalez Defensive Rebound.,14,26
4:42,2448,Sam Hunt made Three Point Jumper. Assisted by Eliel Gonzalez.,17,26
4:14,151,Kentrell Barkley Turnover.,17,26
4:14,2448,Sam Hunt Steal.,17,26
4:06,2448,Sam Hunt missed Three Point Jumper.,17,26
4:06,151,Deng Riak Defensive Rebound.,17,26
3:58,151,B.J. Tyson missed Layup.,17,26
3:58,2448,Nick Reese Block.,17,26
3:55,151,Jabari Craig Offensive Rebound.,17,26
3:52,151,Jabari Craig missed Dunk.,17,26
3:52,2448,Nick Reese Defensive Rebound.,17,26
3:41,2448,Eliel Gonzalez missed Layup.,17,26
3:41,151,Deng Riak Block.,17,26
3:40,151,Deng Riak Defensive Rebound.,17,26
3:37,151,Deng Riak Turnover.,17,26
3:37,2448,Eliel Gonzalez Steal.,17,26
3:20,2448,Davaris McGowens missed Layup.,17,26
3:20,151,Deng Riak Block.,17,26
3:18,2448,Davaris McGowens Offensive Rebound.,17,26
3:17,2448,Davaris McGowens missed Layup.,17,26
3:17,151,Jabari Craig Block.,17,26
3:15,151,B.J. Tyson Defensive Rebound.,17,26
3:07,151,Kentrell Barkley made Layup.,17,28
2:45,151,Foul on Deng Riak.,17,28
2:45,151,Official TV Timeout,17,28
2:45,2448,Sam Hunt missed Free Throw.,17,28
2:45,151,Clarence Williams Defensive Rebound.,17,28
2:24,151,Elijah Hughes made Three Point Jumper. Assisted by Kentrell Barkley.,17,31
1:56,2448,Sam Hunt made Three Point Jumper. Assisted by Amari Hamilton.,20,31
1:35,151,Clarence Williams missed Jumper.,20,31
1:35,151,Kentrell Barkley Offensive Rebound.,20,31
1:31,151,Kentrell Barkley made Jumper.,20,33
1:14,2448,Davaris McGowens missed Jumper.,20,33
1:14,151,Elijah Hughes Defensive Rebound.,20,33
1:07,151,Elijah Hughes Turnover.,20,33
0:56,2448,Foul on Raymon Pratt.,20,33
0:56,2448,Raymon Pratt Turnover.,20,33
0:44,151,Elijah Hughes made Jumper. Assisted by Clarence Williams.,20,35
0:28,2448,Donte Watson made Jumper. Assisted by Eliel Gonzalez.,22,35
0:25,151,East Carolina  Timeout,22,35
0:03,151,Kentrell Barkley Turnover.,22,35
0:03,2448,Raymon Pratt Steal.,22,35
0:00,151,End of 1st half,22,35
19:40,151,Clarence Williams missed Jumper.,22,35
19:40,2448,Sam Hunt Defensive Rebound.,22,35
19:13,2448,Eliel Gonzalez missed Layup.,22,35
19:13,151,Andre Washington Defensive Rebound.,22,35
19:04,151,Kentrell Barkley made Layup. Assisted by B.J. Tyson.,22,37
19:04,2448,Foul on Mike Owona.,22,37
19:04,151,Kentrell Barkley missed Free Throw.,22,37
19:04,2448,Davaris McGowens Defensive Rebound.,22,37
18:50,2448,Eliel Gonzalez missed Three Point Jumper.,22,37
18:50,151,Andre Washington Defensive Rebound.,22,37
18:41,2448,Foul on Aaron Scales.,22,37
18:41,151,Clarence Williams made Free Throw.,22,38
18:41,151,Clarence Williams missed Free Throw.,22,38
18:41,2448,Davaris McGowens Defensive Rebound.,22,38
18:40,151,Foul on Kentrell Barkley.,22,38
18:17,2448,Sam Hunt missed Three Point Jumper.,22,38
18:17,151,B.J. Tyson Defensive Rebound.,22,38
18:14,2448,Foul on James Whitaker.,22,38
18:03,151,Caleb White missed Three Point Jumper.,22,38
18:03,151,Andre Washington Offensive Rebound.,22,38
17:55,2448,Foul on Aaron Scales.,22,38
17:55,151,B.J. Tyson made Free Throw.,22,39
17:55,151,B.J. Tyson made Free Throw.,22,40
17:35,2448,Sam Hunt made Layup.,24,40
17:07,151,B.J. Tyson missed Jumper.,24,40
17:07,2448,Eliel Gonzalez Defensive Rebound.,24,40
16:56,2448,Davaris McGowens Turnover.,24,40
16:56,151,B.J. Tyson Steal.,24,40
16:52,151,Kentrell Barkley missed Layup.,24,40
16:52,151,Caleb White Offensive Rebound.,24,40
16:50,151,Caleb White made Layup.,24,42
16:38,151,Foul on Andre Washington.,24,42
16:29,2448,Eliel Gonzalez missed Layup.,24,42
16:29,151,Caleb White Defensive Rebound.,24,42
16:23,2448,Foul on Eliel Gonzalez.,24,42
16:07,151,Clarence Williams Turnover.,24,42
15:47,2448,James Whitaker made Jumper. Assisted by Eliel Gonzalez.,26,42
15:27,151,B.J. Tyson made Three Point Jumper. Assisted by Caleb White.,26,45
15:01,2448,Nick Reese Turnover.,26,45
15:01,151,Official TV Timeout,26,45
14:47,151,Caleb White missed Three Point Jumper.,26,45
14:47,2448,Aaron Scales Defensive Rebound.,26,45
14:19,2448,Sam Hunt made Layup.,28,45
13:58,151,B.J. Tyson made Jumper. Assisted by Elijah Hughes.,28,47
13:41,2448,Donte Watson missed Jumper.,28,47
13:41,151,East Carolina Defensive Rebound.,28,47
13:10,151,Jabari Craig missed Layup.,28,47
13:10,2448,James Whitaker Block.,28,47
13:08,151,Deng Riak Offensive Rebound.,28,47
13:03,151,East Carolina  Turnover.,28,47
12:49,2448,James Whitaker missed Layup.,28,47
12:49,151,Deng Riak Defensive Rebound.,28,47
12:36,151,Raquan Wilkins missed Three Point Jumper.,28,47
12:36,2448,James Whitaker Defensive Rebound.,28,47
12:11,2448,Aaron Scales Turnover.,28,47
12:10,151,Raquan Wilkins Steal.,28,47
12:07,151,Elijah Hughes missed Three Point Jumper.,28,47
12:07,151,Jabari Craig Offensive Rebound.,28,47
12:03,2448,Foul on Aaron Scales.,28,47
12:03,2448,Foul on Eliel Gonzalez.,28,47
12:03,151,Elijah Hughes missed Free Throw.,28,47
12:03,2448,Davaris McGowens Defensive Rebound.,28,47
12:03,151,Foul on Jabari Craig.,28,47
11:44,2448,Eliel Gonzalez made Layup.,30,47
11:16,151,Raquan Wilkins missed Jumper.,30,47
11:16,2448,Davaris McGowens Defensive Rebound.,30,47
10:48,2448,Eliel Gonzalez missed Layup.,30,47
10:48,2448,Donte Watson Offensive Rebound.,30,47
10:45,2448,Donte Watson made Two Point Tip Shot.,32,47
10:25,151,Deng Riak missed Jumper.,32,47
10:25,151,Jabari Craig Offensive Rebound.,32,47
10:23,2448,Foul on James Whitaker.,32,47
10:22,151,Official TV Timeout,32,47
10:22,151,Jabari Craig missed Free Throw.,32,47
10:22,2448,Davaris McGowens Defensive Rebound.,32,47
10:08,2448,Raymon Pratt missed Layup.,32,47
10:08,2448,Davaris McGowens Offensive Rebound.,32,47
10:04,2448,Davaris McGowens missed Layup.,32,47
10:04,151,Jabari Craig Defensive Rebound.,32,47
10:01,151,B.J. Tyson Turnover.,32,47
9:47,2448,Sam Hunt Turnover.,32,47
9:47,151,Deng Riak Steal.,32,47
9:22,2448,Foul on Raymon Pratt.,32,47
9:22,151,Jabari Craig made Free Throw.,32,48
9:22,151,Jabari Craig made Free Throw.,32,49
9:16,2448,Eliel Gonzalez Turnover.,32,49
9:16,151,B.J. Tyson Steal.,32,49
9:05,151,Elijah Hughes missed Jumper.,32,49
9:05,2448,Sam Hunt Defensive Rebound.,32,49
9:01,151,Foul on Elijah Hughes.,32,49
9:00,2448,Sam Hunt made Free Throw.,33,49
9:00,2448,Sam Hunt made Free Throw.,34,49
8:47,151,Foul on B.J. Tyson.,34,49
8:47,151,B.J. Tyson Turnover.,34,49
8:23,2448,Donte Watson missed Three Point Jumper.,34,49
8:23,151,Jabari Craig Defensive Rebound.,34,49
8:02,151,Elijah Hughes made Three Point Jumper. Assisted by B.J. Tyson.,34,52
7:33,2448,Amari Hamilton missed Jumper.,34,52
7:33,151,Jabari Craig Defensive Rebound.,34,52
7:15,151,Caleb White made Three Point Jumper. Assisted by Elijah Hughes.,34,55
6:55,2448,Donte Watson made Jumper. Assisted by Sam Hunt.,36,55
6:34,151,Deng Riak missed Jumper.,36,55
6:34,151,Jabari Craig Offensive Rebound.,36,55
6:31,151,Jabari Craig missed Dunk.,36,55
6:31,2448,North Carolina A&T Defensive Rebound.,36,55
6:30,151,Official TV Timeout,36,55
6:16,151,Foul on Clarence Williams.,36,55
6:05,151,Foul on Andre Washington.,36,55
6:05,2448,Mike Owona missed Free Throw.,36,55
6:05,2448,Eliel Gonzalez Offensive Rebound.,36,55
6:01,2448,Raymon Pratt made Three Point Jumper. Assisted by Donte Watson.,39,55
5:30,151,Kentrell Barkley Turnover.,39,55
5:28,2448,Raymon Pratt Steal.,39,55
5:18,2448,Amari Hamilton missed Jumper.,39,55
5:18,151,Kentrell Barkley Block.,39,55
5:14,2448,Mike Owona Offensive Rebound.,39,55
5:04,2448,Eliel Gonzalez made Layup.,41,55
4:51,151,Caleb White missed Three Point Jumper.,41,55
4:51,151,Clarence Williams Offensive Rebound.,41,55
4:50,2448,Foul on Eliel Gonzalez.,41,55
4:50,151,Clarence Williams missed Free Throw.,41,55
4:50,151,East Carolina Deadball Team Rebound.,41,55
4:50,151,Clarence Williams made Free Throw.,41,56
4:44,2448,Eliel Gonzalez made Layup.,43,56
4:44,151,Foul on Caleb White.,43,56
4:44,2448,Eliel Gonzalez missed Free Throw.,43,56
4:44,151,Caleb White Defensive Rebound.,43,56
4:43,2448,Foul on Eliel Gonzalez.,43,56
4:43,151,Caleb White made Free Throw.,43,57
4:43,151,Caleb White made Free Throw.,43,58
4:18,2448,Davaris McGowens missed Layup.,43,58
4:18,151,Jabari Craig Block.,43,58
4:17,151,Clarence Williams Defensive Rebound.,43,58
4:01,151,Clarence Williams made Jumper.,43,60
4:01,2448,Foul on Donte Watson.,43,60
4:01,151,Jabari Craig Turnover.,43,60
3:38,2448,Donte Watson missed Three Point Jumper.,43,60
3:38,2448,North Carolina A&T Offensive Rebound.,43,60
3:36,151,Official TV Timeout,43,60
3:32,2448,Amari Hamilton made Three Point Jumper. Assisted by Sam Hunt.,46,60
3:06,151,Clarence Williams missed Jumper.,46,60
3:06,151,Jabari Craig Offensive Rebound.,46,60
3:03,2448,Foul on Donte Watson.,46,60
3:03,151,Jabari Craig missed Free Throw.,46,60
3:03,151,East Carolina Deadball Team Rebound.,46,60
3:03,151,Jabari Craig made Free Throw.,46,61
2:45,2448,Raymon Pratt made Jumper.,48,61
2:11,151,B.J. Tyson missed Three Point Jumper.,48,61
2:11,2448,Donte Watson Defensive Rebound.,48,61
1:48,2448,Donte Watson missed Three Point Jumper.,48,61
1:48,151,Raquan Wilkins Defensive Rebound.,48,61
1:40,151,Caleb White Turnover.,48,61
1:30,151,Foul on Jabari Craig.,48,61
1:30,2448,Sam Hunt made Free Throw.,49,61
1:30,2448,Sam Hunt made Free Throw.,50,61
1:10,151,B.J. Tyson missed Jumper.,50,61
1:10,2448,Nick Reese Defensive Rebound.,50,61
0:57,2448,North Carolina A&T  Timeout,50,61
0:45,151,Foul on Clarence Williams.,50,61
0:45,2448,Nick Reese missed Free Throw.,50,61
0:45,2448,North Carolina A&T Deadball Team Rebound.,50,61
0:45,2448,Nick Reese made Free Throw.,51,61
0:21,151,B.J. Tyson missed Jumper.,51,61
0:21,151,Jabari Craig Offensive Rebound.,51,61
0:17,2448,Foul on Donte Watson.,51,61
0:17,151,Jabari Craig missed Free Throw.,51,61
0:17,151,East Carolina Deadball Team Rebound.,51,61
0:17,151,Jabari Craig missed Free Throw.,51,61
0:17,2448,Donte Watson Defensive Rebound.,51,61
0:11,2448,Amari Hamilton missed Three Point Jumper.,51,61
0:11,151,Clarence Williams Defensive Rebound.,51,61
0:00,151,End of Game,51,61
