Nicholls,2116,UCF,2447
18:18,2116,Nick Banyard Defensive Rebound.,34,37
18:10,2116,Matt Williams missed Jumper.,34,37
18:10,2447,Jahvaughn Powell Defensive Rebound.,34,37
18:00,2116,Foul on Chad Brown.,34,37
18:00,2447,Ja'Dante' Frye made Free Throw.,35,37
18:00,2447,Ja'Dante' Frye missed Free Throw.,35,37
18:00,2116,Nick Banyard Defensive Rebound.,35,37
17:49,2116,B.J. Taylor made Layup.,35,39
17:31,2447,Tre O'Neal made Layup.,37,39
17:18,2447,Foul on Tre O'Neal.,37,39
17:18,2116,B.J. Taylor made Free Throw.,37,40
17:18,2116,B.J. Taylor missed Free Throw.,37,40
17:18,2447,Ja'Dante' Frye Defensive Rebound.,37,40
17:07,2447,Ja'Dante' Frye Turnover.,37,40
17:06,2116,Tanksley Efianayi Steal.,37,40
17:04,2116,Tanksley Efianayi missed Layup.,37,40
17:04,2447,Tre O'Neal Defensive Rebound.,37,40
16:58,2447,Tre O'Neal made Layup.,39,40
16:52,2447,Foul on Jahvaughn Powell.,39,40
16:39,2116,B.J. Taylor missed Layup.,39,40
16:39,2116,Chad Brown Offensive Rebound.,39,40
16:36,2116,Chad Brown missed Layup.,39,40
16:36,2116,Nick Banyard Offensive Rebound.,39,40
16:34,2116,Nick Banyard missed Layup.,39,40
16:34,2447,Johnathan Bell Defensive Rebound.,39,40
16:30,2447,Johnathan Bell missed Layup.,39,40
16:30,2447,Tre O'Neal Offensive Rebound.,39,40
16:27,2447,Tre O'Neal missed Layup.,39,40
16:27,2116,Chad Brown Block.,39,40
16:26,2447,Nicholls Offensive Rebound.,39,40
16:06,2447,Ja'Dante' Frye missed Three Point Jumper.,39,40
16:06,2116,Tanksley Efianayi Defensive Rebound.,39,40
15:52,2116,Tanksley Efianayi made Three Point Jumper. Assisted by B.J. Taylor.,39,43
15:23,2447,Johnathan Bell made Layup.,41,43
15:11,2116,Matt Williams Turnover.,41,43
15:09,2447,Tre O'Neal Steal.,41,43
15:08,2447,Tre O'Neal made Layup.,43,43
15:07,2116,Official TV Timeout,43,43
14:52,2116,Matt Williams made Three Point Jumper. Assisted by Tanksley Efianayi.,43,46
14:30,2447,DeAndre Harris Turnover.,43,46
14:30,2116,Official TV Timeout,43,46
14:21,2116,B.J. Taylor Turnover.,43,46
14:21,2116,Foul on B.J. Taylor.,43,46
14:06,2447,DeAndre Harris missed Jumper.,43,46
14:06,2447,Johnathan Bell Offensive Rebound.,43,46
13:59,2447,Tre O'Neal missed Layup.,43,46
13:59,2447,Liam Thomas Offensive Rebound.,43,46
13:55,2447,Johnathan Bell missed Three Point Jumper.,43,46
13:55,2116,Tanksley Efianayi Defensive Rebound.,43,46
13:46,2116,Nick Banyard made Jumper. Assisted by Matt Williams.,43,48
13:27,2447,Tre O'Neal missed Jumper.,43,48
13:27,2116,Tanksley Efianayi Defensive Rebound.,43,48
13:13,2116,Matt Williams made Three Point Jumper.,43,51
13:10,2447,Nicholls  Timeout,43,51
12:55,2447,Ja'Dante' Frye Turnover.,43,51
12:46,2116,Tanksley Efianayi missed Dunk.,43,51
12:46,2447,DeAndre Harris Block.,43,51
12:43,2447,DeAndre Harris Defensive Rebound.,43,51
12:39,2447,Johnathan Bell missed Layup.,43,51
12:39,2116,Tacko Fall Defensive Rebound.,43,51
12:27,2447,Foul on Johnathan Bell.,43,51
12:19,2447,Foul on DeAndre Harris.,43,51
12:13,2116,B.J. Taylor missed Three Point Jumper.,43,51
12:13,2447,Johnathan Bell Defensive Rebound.,43,51
11:56,2447,DeAndre Harris made Jumper.,45,51
11:30,2116,Tanksley Efianayi made Three Point Jumper. Assisted by Nick Banyard.,45,54
11:07,2447,DeAndre Harris missed Three Point Jumper.,45,54
11:07,2116,Tacko Fall Defensive Rebound.,45,54
10:51,2116,B.J. Taylor missed Layup.,45,54
10:51,2447,Liam Thomas Block.,45,54
10:49,2447,Liam Thomas Defensive Rebound.,45,54
10:45,2447,Ja'Dante' Frye made Layup. Assisted by Jahvaughn Powell.,47,54
10:35,2447,Foul on Jahvaughn Powell.,47,54
10:34,2116,Official TV Timeout,47,54
10:18,2116,Tanksley Efianayi missed Three Point Jumper.,47,54
10:18,2447,Johnathan Bell Defensive Rebound.,47,54
10:00,2447,Johnathan Bell made Layup. Assisted by Liam Thomas.,49,54
9:42,2116,Tacko Fall made Dunk. Assisted by Nathan Laing.,49,56
9:23,2447,DeAndre Harris missed Jumper.,49,56
9:23,2116,Nick Banyard Defensive Rebound.,49,56
9:11,2116,Tacko Fall made Layup. Assisted by Nick Banyard.,49,58
8:48,2447,Ja'Dante' Frye missed Layup.,49,58
8:48,2116,Tacko Fall Defensive Rebound.,49,58
8:39,2116,Matt Williams missed Three Point Jumper.,49,58
8:39,2447,Johnathan Bell Defensive Rebound.,49,58
8:32,2447,Johnathan Bell missed Three Point Jumper.,49,58
8:32,2447,Ja'Dante' Frye Offensive Rebound.,49,58
8:26,2447,Ja'Dante' Frye missed Dunk.,49,58
8:26,2116,Tacko Fall Defensive Rebound.,49,58
8:23,2116,Matt Williams Turnover.,49,58
8:05,2447,Lafayette Rutledge missed Three Point Jumper.,49,58
8:05,2116,Nick Banyard Defensive Rebound.,49,58
7:54,2116,Nathan Laing Turnover.,49,58
7:52,2447,Ja'Dante' Frye Steal.,49,58
7:49,2447,Johnathan Bell made Layup. Assisted by Tre O'Neal.,51,58
7:35,2447,Foul on Lafayette Rutledge.,51,58
7:35,2116,Official TV Timeout,51,58
7:35,2116,Tanksley Efianayi made Free Throw.,51,59
7:35,2116,Tanksley Efianayi made Free Throw.,51,60
7:23,2116,Foul on Chad Brown.,51,60
7:14,2447,Jahvaughn Powell Turnover.,51,60
7:13,2116,Matt Williams Steal.,51,60
6:45,2116,Tanksley Efianayi missed Three Point Jumper.,51,60
6:45,2116,Nick Banyard Offensive Rebound.,51,60
6:42,2447,Foul on Johnathan Bell.,51,60
6:42,2116,Nick Banyard made Free Throw.,51,61
6:42,2116,Nick Banyard missed Free Throw.,51,61
6:42,2447,Liam Thomas Defensive Rebound.,51,61
6:28,2447,Tre O'Neal missed Jumper.,51,61
6:28,2116,Tacko Fall Defensive Rebound.,51,61
6:17,2116,Matt Williams made Three Point Jumper. Assisted by B.J. Taylor.,51,64
6:00,2447,Liam Thomas missed Three Point Jumper.,51,64
6:00,2447,Ja'Dante' Frye Offensive Rebound.,51,64
5:54,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Ja'Dante' Frye.,54,64
5:26,2116,Tacko Fall missed Layup.,54,64
5:26,2447,Liam Thomas Block.,54,64
5:25,2116,Tacko Fall Offensive Rebound.,54,64
5:21,2116,Tacko Fall made Dunk.,54,66
4:59,2447,Ja'Dante' Frye missed Jumper.,54,66
4:59,2447,Johnathan Bell Offensive Rebound.,54,66
4:57,2116,Foul on Tanksley Efianayi.,54,66
4:57,2447,Johnathan Bell made Free Throw.,55,66
4:57,2447,Johnathan Bell made Free Throw.,56,66
4:44,2116,Matt Williams Turnover.,56,66
4:30,2447,Jahvaughn Powell missed Three Point Jumper.,56,66
4:30,2116,Matt Williams Defensive Rebound.,56,66
4:07,2116,Matt Williams missed Three Point Jumper.,56,66
4:07,2447,DeAndre Harris Defensive Rebound.,56,66
3:59,2447,Jahvaughn Powell missed Three Point Jumper.,56,66
3:59,2116,B.J. Taylor Defensive Rebound.,56,66
3:52,2116,Nick Banyard missed Layup.,56,66
3:52,2116,B.J. Taylor Offensive Rebound.,56,66
3:51,2447,Foul on Jahvaughn Powell.,56,66
3:50,2116,Official TV Timeout,56,66
3:50,2116,B.J. Taylor made Free Throw.,56,67
3:50,2116,B.J. Taylor made Free Throw.,56,68
3:42,2447,Ja'Dante' Frye missed Three Point Jumper.,56,68
3:42,2116,Tacko Fall Defensive Rebound.,56,68
3:23,2116,B.J. Taylor made Layup.,56,70
3:08,2116,Foul on Tanksley Efianayi.,56,70
3:08,2447,DeAndre Harris missed Free Throw.,56,70
3:08,2116,Nick Banyard Defensive Rebound.,56,70
2:55,2116,Tanksley Efianayi made Layup. Assisted by B.J. Taylor.,56,72
2:41,2447,Nicholls  Timeout,56,72
2:31,2447,Ja'Dante' Frye missed Layup.,56,72
2:31,2116,Nick Banyard Defensive Rebound.,56,72
2:10,2116,B.J. Taylor missed Layup.,56,72
2:10,2116,Tacko Fall Offensive Rebound.,56,72
2:04,2116,Tacko Fall made Dunk. Assisted by Tanksley Efianayi.,56,74
1:48,2447,DeAndre Harris missed Layup.,56,74
1:48,2116,Tacko Fall Block.,56,74
1:46,2116,B.J. Taylor Defensive Rebound.,56,74
1:20,2116,Nick Banyard made Dunk. Assisted by Tacko Fall.,56,76
1:01,2447,Lafayette Rutledge missed Three Point Jumper.,56,76
1:01,2116,Tanksley Efianayi Defensive Rebound.,56,76
0:48,2447,Foul on DeAndre Harris.,56,76
0:48,2116,B.J. Taylor made Free Throw.,56,77
0:48,2116,B.J. Taylor made Free Throw.,56,78
0:38,2447,Stevie Repichowski missed Three Point Jumper.,56,78
0:38,2116,Djordjije Mumin Defensive Rebound.,56,78
0:20,2447,Foul on Zach Young.,56,78
0:19,2116,Nathan Laing made Free Throw.,56,79
0:19,2116,Nathan Laing made Free Throw.,56,80
0:07,2447,Zach Young missed Three Point Jumper.,56,80
0:07,2116,Nathan Laing Defensive Rebound.,56,80
0:00,2116,End of Game,56,80
