Prairie View A&amp;M,278,Fresno State,2504
4:21,2504,Daquan Cook made Free Throw.,32,31
4:07,2504,Foul on Shaquille Preston.,32,31
4:07,278,Deshon Taylor missed Free Throw.,32,31
4:07,2504,James Westbrook Defensive Rebound.,32,31
3:44,2504,Ja'Donta Blakley missed Jumper.,32,31
3:44,278,Paul Watson Defensive Rebound.,32,31
3:39,278,Paul Watson made Layup.,32,33
3:39,2504,Foul on Zachary Hamilton.,32,33
3:39,278,Official TV Timeout,32,33
3:39,278,Paul Watson made Free Throw.,32,34
3:29,2504,Daquan Cook made Jumper. Assisted by Ja'Donta Blakley.,34,34
3:06,278,Paul Watson Turnover.,34,34
3:05,2504,Zachary Hamilton Steal.,34,34
3:00,2504,Admassu Williams missed Jumper.,34,34
3:00,278,Nate Grimes Defensive Rebound.,34,34
2:48,2504,Foul on James Westbrook.,34,34
2:48,278,Johnny McWilliams made Free Throw.,34,35
2:48,278,Johnny McWilliams made Free Throw.,34,36
2:48,278,Johnny McWilliams made Free Throw.,34,37
2:18,2504,Zachary Hamilton missed Three Point Jumper.,34,37
2:18,278,Deshon Taylor Defensive Rebound.,34,37
1:59,278,Deshon Taylor missed Layup.,34,37
1:59,278,Nate Grimes Offensive Rebound.,34,37
1:57,278,Nate Grimes made Layup.,34,39
1:31,2504,Zachary Hamilton missed Layup.,34,39
1:31,2504,Shaquille Preston Offensive Rebound.,34,39
1:27,2504,Shaquille Preston missed Jumper.,34,39
1:27,278,Nate Grimes Defensive Rebound.,34,39
1:05,278,Deshon Taylor Turnover.,34,39
1:02,2504,Daquan Cook Steal.,34,39
1:01,2504,Daquan Cook Turnover.,34,39
1:00,278,Deshon Taylor Steal.,34,39
0:54,278,Jaron Hopkins made Dunk. Assisted by Deshon Taylor.,34,41
0:26,2504,Ja'Donta Blakley missed Jumper.,34,41
0:26,278,Cullen Russo Block.,34,41
0:25,2504,Admassu Williams Offensive Rebound.,34,41
0:25,278,Foul on Jaron Hopkins.,34,41
0:25,2504,Admassu Williams made Free Throw.,35,41
0:25,2504,Admassu Williams made Free Throw.,36,41
0:25,278,Fresno St  Timeout,36,41
0:00,278,End of 1st half,36,41
19:47,2504,Daquan Cook missed Jumper.,36,41
19:47,278,Fresno St Defensive Rebound.,36,41
19:34,278,Cullen Russo made Layup. Assisted by Paul Watson.,36,43
19:07,278,Foul on Paul Watson.,36,43
19:07,2504,Ja'Donta Blakley made Free Throw.,37,43
19:07,2504,Ja'Donta Blakley made Free Throw.,38,43
18:57,2504,Foul on James Westbrook.,38,43
18:55,278,Jahmel Taylor missed Three Point Jumper.,38,43
18:55,278,Paul Watson Offensive Rebound.,38,43
18:48,2504,Foul on Ja'Donta Blakley.,38,43
18:44,278,Jaron Hopkins missed Three Point Jumper.,38,43
18:44,2504,James Westbrook Defensive Rebound.,38,43
18:37,2504,James Westbrook made Layup.,40,43
18:17,278,Bryson Williams Turnover.,40,43
18:16,2504,James Westbrook Steal.,40,43
18:13,2504,James Westbrook made Three Point Jumper.,43,43
17:54,278,Foul on Paul Watson.,43,43
17:54,278,Paul Watson Turnover.,43,43
17:34,2504,Daquan Cook missed Three Point Jumper.,43,43
17:34,278,Cullen Russo Defensive Rebound.,43,43
17:25,278,Paul Watson made Three Point Jumper. Assisted by Deshon Taylor.,43,46
17:17,2504,James Westbrook made Layup.,45,46
17:08,278,Paul Watson Turnover.,45,46
17:07,2504,Daquan Cook Steal.,45,46
16:56,2504,Lavonne Davis made Layup.,47,46
16:41,2504,Foul on James Westbrook.,47,46
16:13,278,Johnny McWilliams missed Jumper.,47,46
16:13,2504,Admassu Williams Defensive Rebound.,47,46
16:05,2504,Daquan Cook made Three Point Jumper. Assisted by Ja'Donta Blakley.,50,46
15:54,2504,Foul on Ja'Donta Blakley.,50,46
15:54,278,Official TV Timeout,50,46
15:37,278,Nate Grimes made Layup.,50,48
15:08,2504,Admassu Williams made Layup. Assisted by Tevin Bellinger.,52,48
15:01,278,Nate Grimes missed Layup.,52,48
15:01,278,Nate Grimes Offensive Rebound.,52,48
14:56,278,Johnny McWilliams Turnover.,52,48
14:30,2504,Zachary Hamilton missed Jumper.,52,48
14:30,278,Deshon Taylor Defensive Rebound.,52,48
14:21,278,Nate Grimes made Layup. Assisted by Deshon Taylor.,52,50
14:16,278,Foul on Jaron Hopkins.,52,50
14:16,2504,Tevin Bellinger made Free Throw.,53,50
14:16,2504,Tevin Bellinger made Free Throw.,54,50
13:51,278,Cullen Russo missed Three Point Jumper.,54,50
13:51,2504,Tevin Bellinger Defensive Rebound.,54,50
13:44,2504,Tevin Bellinger missed Three Point Jumper.,54,50
13:44,278,Jahmel Taylor Defensive Rebound.,54,50
13:18,2504,Foul on Tevin Bellinger.,54,50
13:18,278,Cullen Russo made Free Throw.,54,51
13:10,2504,Tevin Bellinger Turnover.,54,51
13:09,278,Terrell Carter II Steal.,54,51
12:46,2504,Foul on JD Wallace.,54,51
12:32,278,Jahmel Taylor made Three Point Jumper. Assisted by Paul Watson.,54,54
12:05,2504,Zachary Hamilton Turnover.,54,54
12:05,278,Paul Watson Steal.,54,54
12:05,278,Paul Watson made Free Throw.,54,55
12:05,278,Paul Watson made Free Throw.,54,56
11:54,278,Foul on Terrell Carter II.,54,56
11:54,278,Official TV Timeout,54,56
11:40,2504,Admassu Williams made Layup. Assisted by Tevin Bellinger.,56,56
11:31,278,Jaron Hopkins Turnover.,56,56
11:28,2504,Tevin Bellinger Steal.,56,56
11:28,278,Foul on Cullen Russo.,56,56
11:27,2504,Tevin Bellinger made Free Throw.,57,56
11:27,2504,Tevin Bellinger missed Free Throw.,57,56
11:27,278,Jaron Hopkins Defensive Rebound.,57,56
11:15,278,Jahmel Taylor missed Jumper.,57,56
11:15,2504,JD Wallace Defensive Rebound.,57,56
11:01,2504,Zachary Hamilton missed Jumper.,57,56
11:01,278,Cullen Russo Defensive Rebound.,57,56
10:52,278,Paul Watson missed Layup.,57,56
10:52,2504,Evans Ganapamo Defensive Rebound.,57,56
10:26,2504,Tevin Bellinger missed Jumper.,57,56
10:26,278,Jaron Hopkins Defensive Rebound.,57,56
10:15,278,Jaron Hopkins made Jumper. Assisted by Jahmel Taylor.,57,58
9:53,2504,Daquan Cook missed Three Point Jumper.,57,58
9:53,278,Paul Watson Defensive Rebound.,57,58
9:44,278,Foul on Terrell Carter II.,57,58
9:44,278,Terrell Carter II Turnover.,57,58
9:25,2504,Tevin Bellinger made Layup.,59,58
9:25,278,Foul on Jaron Hopkins.,59,58
9:25,2504,Tevin Bellinger made Free Throw.,60,58
9:25,278,Fresno St  Timeout,60,58
9:21,2504,Foul on Admassu Williams.,60,58
9:21,278,Terrell Carter II missed Free Throw.,60,58
9:21,278,Paul Watson Offensive Rebound.,60,58
9:19,278,Paul Watson missed Layup.,60,58
9:19,2504,JD Wallace Block.,60,58
9:17,2504,James Westbrook Defensive Rebound.,60,58
8:51,2504,Prairie View  Turnover.,60,58
8:29,278,Foul on Terrell Carter II.,60,58
8:29,278,Terrell Carter II Turnover.,60,58
8:17,2504,Tevin Bellinger missed Layup.,60,58
8:17,278,Nate Grimes Defensive Rebound.,60,58
8:02,278,Deshon Taylor made Three Point Jumper.,60,61
7:46,2504,Foul on James Westbrook.,60,61
7:46,2504,James Westbrook Turnover.,60,61
7:46,278,Official TV Timeout,60,61
7:30,278,Jahmel Taylor made Layup.,60,63
7:19,2504,James Westbrook missed Three Point Jumper.,60,63
7:19,278,Johnny McWilliams Defensive Rebound.,60,63
7:06,278,Foul on Nate Grimes.,60,63
7:06,278,Nate Grimes Turnover.,60,63
6:50,2504,Ja'Donta Blakley made Layup.,62,63
6:29,278,Nate Grimes missed Jumper.,62,63
6:29,2504,Admassu Williams Defensive Rebound.,62,63
6:28,278,Foul on Paul Watson.,62,63
6:28,2504,Admassu Williams made Free Throw.,63,63
6:28,2504,Admassu Williams made Free Throw.,64,63
6:12,278,Paul Watson missed Three Point Jumper.,64,63
6:12,2504,Daquan Cook Defensive Rebound.,64,63
5:51,2504,Admassu Williams made Layup. Assisted by Ja'Donta Blakley.,66,63
5:38,278,Deshon Taylor missed Layup.,66,63
5:33,2504,JD Wallace Block.,66,63
5:33,2504,JD Wallace Defensive Rebound.,66,63
5:33,278,Technical Foul on Fresno St.,66,63
5:33,2504,Daquan Cook made Free Throw.,67,63
5:33,2504,Daquan Cook made Free Throw.,68,63
5:04,2504,Admassu Williams missed Jumper.,68,63
5:04,278,Cullen Russo Defensive Rebound.,68,63
4:42,2504,Foul on Ja'Donta Blakley.,68,63
4:42,278,Paul Watson missed Free Throw.,68,63
4:42,278,Fresno St Deadball Team Rebound.,68,63
4:42,278,Paul Watson made Free Throw.,68,64
4:42,278,Paul Watson made Free Throw.,68,65
4:21,2504,Admassu Williams made Layup. Assisted by Ja'Donta Blakley.,70,65
4:00,278,Foul on Terrell Carter II.,70,65
4:00,278,Terrell Carter II Turnover.,70,65
3:44,278,Official TV Timeout,70,65
3:32,2504,Zachary Hamilton made Three Point Jumper. Assisted by Daquan Cook.,73,65
3:24,2504,Foul on Zachary Hamilton.,73,65
3:24,278,Paul Watson made Free Throw.,73,66
3:24,278,Paul Watson made Free Throw.,73,67
3:08,2504,Zachary Hamilton missed Three Point Jumper.,73,67
3:08,278,Paul Watson Defensive Rebound.,73,67
2:52,278,Cullen Russo missed Jumper.,73,67
2:52,2504,James Westbrook Defensive Rebound.,73,67
2:30,278,Foul on Deshon Taylor.,73,67
2:30,2504,Ja'Donta Blakley made Free Throw.,74,67
2:30,2504,Ja'Donta Blakley made Free Throw.,75,67
2:20,278,Paul Watson missed Layup.,75,67
2:20,2504,JD Wallace Block.,75,67
2:20,278,Fresno St Offensive Rebound.,75,67
2:16,278,Jaron Hopkins missed Jumper.,75,67
2:16,2504,JD Wallace Block.,75,67
2:13,2504,James Westbrook Defensive Rebound.,75,67
1:58,278,Foul on Cullen Russo.,75,67
1:58,2504,Ja'Donta Blakley made Free Throw.,76,67
1:58,2504,Ja'Donta Blakley missed Free Throw.,76,67
1:58,278,Cullen Russo Defensive Rebound.,76,67
1:51,278,Jaron Hopkins missed Three Point Jumper.,76,67
1:51,2504,James Westbrook Defensive Rebound.,76,67
1:22,2504,Ja'Donta Blakley Turnover.,76,67
1:21,278,Paul Watson Steal.,76,67
1:14,278,Paul Watson missed Three Point Jumper.,76,67
1:14,278,Cullen Russo Offensive Rebound.,76,67
1:12,278,Cullen Russo made Layup.,76,69
1:12,2504,Foul on Admassu Williams.,76,69
1:12,278,Cullen Russo missed Free Throw.,76,69
1:12,2504,Admassu Williams Defensive Rebound.,76,69
1:06,2504,Admassu Williams Turnover.,76,69
1:04,278,Jaron Hopkins Steal.,76,69
1:04,278,Jaron Hopkins missed Layup.,76,69
1:04,2504,Zachary Hamilton Defensive Rebound.,76,69
1:04,278,Foul on Paul Watson.,76,69
1:04,2504,James Westbrook made Free Throw.,77,69
1:04,2504,James Westbrook made Free Throw.,78,69
0:55,2504,Foul on Zachary Hamilton.,78,69
0:55,278,Paul Watson missed Free Throw.,78,69
0:55,278,Fresno St Deadball Team Rebound.,78,69
0:55,278,Paul Watson made Free Throw.,78,70
0:55,278,Fresno St  Timeout,78,70
0:49,278,Foul on Deshon Taylor.,78,70
0:49,2504,Zachary Hamilton made Free Throw.,79,70
0:49,2504,Zachary Hamilton made Free Throw.,80,70
0:43,278,Foul on Jahmel Taylor.,80,70
0:43,2504,Daquan Cook made Free Throw.,81,70
0:43,2504,Daquan Cook made Free Throw.,82,70
0:42,278,Jaron Hopkins made Layup.,82,72
0:37,278,Jaron Hopkins made Layup.,82,74
0:37,2504,Ja'Donta Blakley Turnover.,82,74
0:35,278,Jahmel Taylor missed Three Point Jumper.,82,74
0:35,278,Cullen Russo Offensive Rebound.,82,74
0:31,278,Cullen Russo missed Jumper.,82,74
0:31,278,Fresno St Offensive Rebound.,82,74
0:22,278,Deshon Taylor missed Layup.,82,74
0:22,278,Jaron Hopkins Offensive Rebound.,82,74
0:18,278,Jaron Hopkins made Dunk.,82,76
0:18,278,Foul on Cullen Russo.,82,76
0:18,2504,Ja'Donta Blakley made Free Throw.,83,76
0:18,2504,Ja'Donta Blakley made Free Throw.,84,76
0:10,278,Jaron Hopkins missed Layup.,84,76
0:10,2504,Ja'Donta Blakley Block.,84,76
0:09,278,Paul Watson Offensive Rebound.,84,76
0:08,278,Paul Watson made Jumper.,84,78
0:08,278,Fresno St  Timeout,84,78
0:07,278,Foul on Cullen Russo.,84,78
0:07,2504,Ja'Donta Blakley missed Free Throw.,84,78
0:07,2504,Prairie View Deadball Team Rebound.,84,78
0:07,2504,Ja'Donta Blakley missed Free Throw.,84,78
0:07,278,Paul Watson Defensive Rebound.,84,78
0:01,278,Paul Watson missed Three Point Jumper.,84,78
0:01,2504,Ja'Donta Blakley Defensive Rebound.,84,78
0:00,278,End of Game,84,78
