Columbia,2603,Saint Joseph's,171
16:02,2603,Shavar Newkirk made Jumper.,33,53
15:27,171,Jake Killingsworth Turnover.,33,53
15:26,2603,Charlie Brown Steal.,33,53
15:24,2603,Nick Robinson made Dunk. Assisted by Shavar Newkirk.,33,55
15:10,171,Chris McComber made Layup. Assisted by Kendall Jackson.,35,55
15:10,2603,Foul on Nick Robinson.,35,55
15:10,2603,Official TV Timeout,35,55
15:10,171,Chris McComber missed Free Throw.,35,55
15:10,2603,Markell Lodge Defensive Rebound.,35,55
14:58,171,Foul on Chris McComber.,35,55
14:44,171,Foul on Rodney Hunter.,35,55
14:44,2603,Lamarr Kimble made Free Throw.,35,56
14:44,2603,Lamarr Kimble made Free Throw.,35,57
14:17,2603,Foul on Shavar Newkirk.,35,57
14:17,171,Chris McComber missed Free Throw.,35,57
14:17,171,Columbia Deadball Team Rebound.,35,57
14:17,171,Chris McComber made Free Throw.,36,57
14:04,2603,Charlie Brown Turnover.,36,57
13:51,171,CJ Davis missed Layup.,36,57
13:51,171,Chris McComber Offensive Rebound.,36,57
13:50,2603,Foul on Brendan Casper.,36,57
13:50,171,Chris McComber made Free Throw.,37,57
13:50,171,Chris McComber missed Free Throw.,37,57
13:50,2603,Brendan Casper Defensive Rebound.,37,57
13:23,2603,Lamarr Kimble missed Three Point Jumper.,37,57
13:23,171,Luke Petrasek Defensive Rebound.,37,57
13:09,171,Columbia  Timeout,37,57
13:00,171,Quinton Adlesh Turnover.,37,57
12:37,2603,Lamarr Kimble Turnover.,37,57
12:35,171,Quinton Adlesh Steal.,37,57
12:30,171,Jake Killingsworth made Three Point Jumper. Assisted by Quinton Adlesh.,40,57
11:58,2603,Chris Clover made Three Point Jumper. Assisted by Lamarr Kimble.,40,60
11:45,171,Luke Petrasek missed Layup.,40,60
11:45,171,Jake Killingsworth Offensive Rebound.,40,60
11:44,2603,Foul on Chris Clover.,40,60
11:44,2603,Official TV Timeout,40,60
11:42,171,CJ Davis made Jumper. Assisted by Quinton Adlesh.,42,60
11:12,2603,Shavar Newkirk missed Three Point Jumper.,42,60
11:12,171,Columbia Deadball Team Rebound.,42,60
11:11,2603,Foul on Chris Clover.,42,60
10:40,171,CJ Davis made Three Point Jumper. Assisted by Quinton Adlesh.,45,60
10:23,2603,Shavar Newkirk made Layup.,45,62
10:23,171,Foul on Quinton Adlesh.,45,62
10:23,2603,Shavar Newkirk made Free Throw.,45,63
10:12,171,Lukas Meisner Turnover.,45,63
10:11,2603,Brendan Casper Steal.,45,63
10:08,2603,Brendan Casper made Dunk.,45,65
10:02,2603,Foul on Brendan Casper.,45,65
9:43,171,Luke Petrasek missed Jumper.,45,65
9:43,2603,Javon Baumann Block.,45,65
9:42,2603,Nick Robinson Defensive Rebound.,45,65
9:38,2603,Lamarr Kimble made Layup. Assisted by Nick Robinson.,45,67
9:22,171,Mike Smith made Three Point Jumper. Assisted by Nate Hickman.,48,67
8:52,2603,Javon Baumann made Jumper. Assisted by Lamarr Kimble.,48,69
8:37,171,Quinton Adlesh missed Three Point Jumper.,48,69
8:37,171,Columbia Offensive Rebound.,48,69
8:29,171,Quinton Adlesh missed Three Point Jumper.,48,69
8:29,2603,Javon Baumann Defensive Rebound.,48,69
8:10,2603,Brendan Casper made Layup. Assisted by Shavar Newkirk.,48,71
7:39,171,Chris McComber made Layup. Assisted by Quinton Adlesh.,50,71
7:24,2603,Lamarr Kimble missed Three Point Jumper.,50,71
7:24,2603,Shavar Newkirk Offensive Rebound.,50,71
7:07,2603,Shavar Newkirk missed Three Point Jumper.,50,71
7:07,171,Nate Hickman Defensive Rebound.,50,71
6:58,171,Nate Hickman missed Three Point Jumper.,50,71
6:58,2603,Nick Robinson Defensive Rebound.,50,71
6:33,2603,Shavar Newkirk missed Three Point Jumper.,50,71
6:33,2603,Shavar Newkirk Offensive Rebound.,50,71
6:14,171,Foul on Mike Smith.,50,71
6:14,2603,Official TV Timeout,50,71
6:14,2603,Lamarr Kimble missed Free Throw.,50,71
6:14,2603,Nick Robinson Offensive Rebound.,50,71
5:55,2603,Lamarr Kimble made Layup.,50,73
5:43,2603,Foul on Charlie Brown.,50,73
5:43,171,Jake Killingsworth made Free Throw.,51,73
5:43,171,Jake Killingsworth made Free Throw.,52,73
5:21,2603,Shavar Newkirk made Layup.,52,75
5:02,171,Lukas Meisner Turnover.,52,75
4:51,2603,Charlie Brown made Three Point Jumper. Assisted by Shavar Newkirk.,52,78
4:37,171,Nate Hickman made Layup.,54,78
4:21,171,Foul on Conor Voss.,54,78
4:21,2603,Javon Baumann missed Free Throw.,54,78
4:21,171,Lukas Meisner Defensive Rebound.,54,78
4:11,171,Jake Killingsworth made Layup. Assisted by Conor Voss.,56,78
3:57,2603,Chris Clover made Jumper.,56,80
3:49,171,CJ Davis missed Layup.,56,80
3:49,2603,Javon Baumann Block.,56,80
3:49,171,Columbia Offensive Rebound.,56,80
3:49,2603,Official TV Timeout,56,80
3:41,2603,Foul on Jai Williams.,56,80
3:41,171,Patrick Tape missed Free Throw.,56,80
3:41,171,Columbia Deadball Team Rebound.,56,80
3:41,171,Patrick Tape made Free Throw.,57,80
3:23,2603,Chris Clover missed Layup.,57,80
3:23,2603,Lorenzo Edwards Offensive Rebound.,57,80
3:18,2603,Shavar Newkirk missed Three Point Jumper.,57,80
3:18,171,Patrick Tape Defensive Rebound.,57,80
3:09,171,Nate Hickman missed Three Point Jumper.,57,80
3:09,2603,Brendan Casper Defensive Rebound.,57,80
2:49,2603,Saint Joseph's  Timeout,57,80
2:49,171,Foul on Patrick Tape.,57,80
2:49,2603,Jai Williams missed Free Throw.,57,80
2:49,171,John Sica Defensive Rebound.,57,80
2:44,171,CJ Davis Turnover.,57,80
2:43,2603,Chris Clover Steal.,57,80
2:22,2603,Chris Clover made Jumper.,57,82
2:06,171,Patrick Tape made Layup.,59,82
1:47,2603,Kyle Thompson Turnover.,59,82
1:46,171,Patrick Tape Steal.,59,82
1:42,171,Peter Barba made Layup. Assisted by CJ Davis.,61,82
1:23,2603,Lorenzo Edwards Turnover.,61,82
1:21,171,CJ Davis Steal.,61,82
1:19,171,CJ Davis made Layup.,63,82
0:56,2603,Lorenzo Edwards missed Three Point Jumper.,63,82
0:56,171,Quinton Adlesh Defensive Rebound.,63,82
0:56,2603,Gerald Blount Offensive Rebound.,63,82
0:50,171,Foul on John Sica.,63,82
0:50,2603,Gerald Blount made Free Throw.,63,83
0:50,2603,Gerald Blount made Free Throw.,63,84
0:45,171,Patrick Tape missed Layup.,63,84
0:45,171,Patrick Tape Offensive Rebound.,63,84
0:34,171,Andrew Panayiotou Turnover.,63,84
0:33,2603,Lorenzo Edwards Steal.,63,84
0:16,171,Foul on John Sica.,63,84
0:16,2603,Kyle Thompson made Free Throw.,63,85
0:16,2603,Kyle Thompson missed Free Throw.,63,85
0:16,171,John Sica Defensive Rebound.,63,85
0:02,2603,Foul on Christian Vega.,63,85
0:02,171,Patrick Tape made Free Throw.,64,85
0:02,171,Patrick Tape made Free Throw.,65,85
0:00,2603,End of Game,65,85
