Howard,269,Marquette,47
14:02,47,Damon Collins Defensive Rebound.,11,10
13:55,47,James Miller missed Three Point Jumper.,11,10
13:55,269,Markus Howard Defensive Rebound.,11,10
13:38,269,Sandy Cohen III Turnover.,11,10
13:37,47,James Miller Steal.,11,10
13:33,47,James Miller missed Three Point Jumper.,11,10
13:33,269,Markus Howard Defensive Rebound.,11,10
13:30,269,Markus Howard Turnover.,11,10
13:28,47,James Miller Steal.,11,10
13:25,47,Dalique Mingo missed Jumper.,11,10
13:25,269,Markus Howard Defensive Rebound.,11,10
13:11,269,Markus Howard made Three Point Jumper. Assisted by Sandy Cohen III.,11,13
13:01,47,Howard  Timeout,11,13
12:57,47,Solomon Mangham missed Three Point Jumper.,11,13
12:57,47,Kofi Andoh Offensive Rebound.,11,13
12:23,47,Charles Williams missed Jumper.,11,13
12:23,269,Markus Howard Defensive Rebound.,11,13
12:11,269,Andrew Rowsey missed Jumper.,11,13
12:11,47,Kofi Andoh Defensive Rebound.,11,13
11:59,47,Dalique Mingo Turnover.,11,13
11:57,269,Duane Wilson Steal.,11,13
11:53,269,Duane Wilson missed Layup.,11,13
11:53,269,Matt Heldt Offensive Rebound.,11,13
11:50,269,Duane Wilson missed Jumper.,11,13
11:50,47,Charles Williams Defensive Rebound.,11,13
11:45,47,Charles Williams missed Layup.,11,13
11:45,269,Matt Heldt Defensive Rebound.,11,13
11:39,269,Duane Wilson made Layup. Assisted by Andrew Rowsey.,11,15
11:09,47,Charles Williams Turnover.,11,15
11:09,269,Katin Reinhardt Steal.,11,15
11:09,47,Foul on Michael Obindu.,11,15
11:09,269,Official TV Timeout,11,15
11:01,269,Foul on Luke Fischer.,11,15
11:01,269,Luke Fischer Turnover.,11,15
11:01,47,Howard  Turnover.,11,15
10:41,269,Andrew Rowsey made Layup. Assisted by Jajuan Johnson.,11,17
10:21,269,Foul on Traci Carter.,11,17
10:16,47,James Miller made Layup. Assisted by Damon Collins.,13,17
10:04,47,Foul on Damon Collins.,13,17
10:04,269,Jajuan Johnson missed Free Throw.,13,17
10:04,269,Marquette Deadball Team Rebound.,13,17
10:04,269,Jajuan Johnson made Free Throw.,13,18
9:44,47,James Miller missed Jumper.,13,18
9:44,269,Traci Carter Defensive Rebound.,13,18
9:31,269,Jajuan Johnson missed Three Point Jumper.,13,18
9:31,269,Luke Fischer Offensive Rebound.,13,18
9:28,269,Luke Fischer made Two Point Tip Shot.,13,20
8:57,47,James Miller missed Three Point Jumper.,13,20
8:57,47,Howard Deadball Team Rebound.,13,20
8:57,269,Foul on Andrew Rowsey.,13,20
8:37,269,Foul on Luke Fischer.,13,20
8:37,47,Cameron Lewis made Free Throw.,14,20
8:37,47,Cameron Lewis missed Free Throw.,14,20
8:37,269,Sam Hauser Defensive Rebound.,14,20
8:23,269,Jajuan Johnson missed Jumper.,14,20
8:23,47,James Miller Defensive Rebound.,14,20
7:55,47,Charles Williams Turnover.,14,20
7:55,269,Official TV Timeout,14,20
7:37,269,Markus Howard Turnover.,14,20
7:36,47,Cameron Lewis Steal.,14,20
7:28,47,James Miller missed Dunk.,14,20
7:28,269,Haanif Cheatham Defensive Rebound.,14,20
7:24,269,Haanif Cheatham made Layup.,14,22
7:10,269,Foul on Haanif Cheatham.,14,22
7:04,269,Foul on Jajuan Johnson.,14,22
6:51,47,Dalique Mingo made Jumper. Assisted by James Miller.,16,22
6:29,269,Haanif Cheatham missed Jumper.,16,22
6:29,47,Damon Collins Defensive Rebound.,16,22
6:26,47,Foul on Damon Collins.,16,22
6:26,47,Damon Collins Turnover.,16,22
6:13,269,Katin Reinhardt made Layup. Assisted by Duane Wilson.,16,24
5:40,47,Howard  Turnover.,16,24
5:34,269,Foul on Markus Howard.,16,24
5:34,269,Markus Howard Turnover.,16,24
5:18,47,Marcel Boyd Turnover.,16,24
5:17,269,Sam Hauser Steal.,16,24
5:15,47,Foul on Charles Williams.,16,24
5:15,269,Katin Reinhardt made Free Throw.,16,25
5:15,269,Katin Reinhardt made Free Throw.,16,26
4:59,269,Foul on Sam Hauser.,16,26
4:59,47,Dalique Mingo made Free Throw.,17,26
4:59,47,Dalique Mingo missed Free Throw.,17,26
4:59,269,Katin Reinhardt Defensive Rebound.,17,26
4:46,269,Katin Reinhardt missed Jumper.,17,26
4:46,47,James Miller Defensive Rebound.,17,26
4:10,47,Solomon Mangham made Three Point Jumper. Assisted by Damon Collins.,20,26
3:55,269,Sam Hauser made Three Point Jumper. Assisted by Duane Wilson.,20,29
3:20,47,Marcel Boyd missed Jumper.,20,29
3:20,269,Marquette Defensive Rebound.,20,29
3:20,269,Official TV Timeout,20,29
3:04,269,Duane Wilson missed Three Point Jumper.,20,29
3:04,47,Cameron Lewis Defensive Rebound.,20,29
2:48,47,James Miller made Layup.,22,29
2:37,269,Andrew Rowsey missed Three Point Jumper.,22,29
2:37,47,Cameron Lewis Defensive Rebound.,22,29
2:06,47,Dalique Mingo missed Layup.,22,29
2:06,269,Haanif Cheatham Defensive Rebound.,22,29
1:58,269,Katin Reinhardt made Layup. Assisted by Haanif Cheatham.,22,31
1:28,269,Foul on Haanif Cheatham.,22,31
1:28,47,James Miller missed Free Throw.,22,31
1:28,47,Howard Deadball Team Rebound.,22,31
1:28,47,James Miller missed Free Throw.,22,31
1:28,269,Sam Hauser Defensive Rebound.,22,31
1:14,269,Katin Reinhardt made Jumper. Assisted by Duane Wilson.,22,33
1:02,269,Foul on Duane Wilson.,22,33
1:02,47,Charles Williams made Free Throw.,23,33
1:02,47,Charles Williams missed Free Throw.,23,33
1:02,269,Katin Reinhardt Defensive Rebound.,23,33
0:52,47,Foul on Cameron Lewis.,23,33
0:52,269,Sam Hauser made Free Throw.,23,34
0:52,269,Sam Hauser missed Free Throw.,23,34
0:52,47,Solomon Mangham Defensive Rebound.,23,34
0:21,47,James Miller missed Jumper.,23,34
0:21,47,Howard Deadball Team Rebound.,23,34
0:21,47,Howard  Turnover.,23,34
0:21,269,Marquette  Timeout,23,34
0:00,269,Jajuan Johnson missed Three Point Jumper.,23,34
0:00,269,Katin Reinhardt Offensive Rebound.,23,34
0:00,269,End of 1st half,23,34
19:44,47,Solomon Mangham made Jumper. Assisted by James Miller.,25,34
19:16,269,Haanif Cheatham missed Three Point Jumper.,25,34
19:16,269,Haanif Cheatham Offensive Rebound.,25,34
19:07,269,Traci Carter made Three Point Jumper.,25,37
18:52,47,James Miller missed Three Point Jumper.,25,37
18:52,269,Traci Carter Defensive Rebound.,25,37
18:40,269,Jajuan Johnson made Layup. Assisted by Haanif Cheatham.,25,39
18:18,47,Damon Collins missed Jumper.,25,39
18:18,269,Jajuan Johnson Block.,25,39
18:15,47,Damon Collins Offensive Rebound.,25,39
18:13,47,Solomon Mangham missed Three Point Jumper.,25,39
18:13,269,Haanif Cheatham Defensive Rebound.,25,39
18:03,269,Jajuan Johnson missed Three Point Jumper.,25,39
18:03,47,Marcel Boyd Defensive Rebound.,25,39
17:41,269,Foul on Katin Reinhardt.,25,39
17:23,269,Foul on Luke Fischer.,25,39
17:03,47,James Miller missed Three Point Jumper.,25,39
17:03,269,Jajuan Johnson Defensive Rebound.,25,39
16:59,269,Haanif Cheatham made Layup. Assisted by Katin Reinhardt.,25,41
16:45,47,Marcel Boyd missed Dunk.,25,41
16:45,47,Marcel Boyd Offensive Rebound.,25,41
16:43,47,Marcel Boyd missed Two Point Tip Shot.,25,41
16:43,269,Sam Hauser Defensive Rebound.,25,41
16:34,269,Sam Hauser made Three Point Jumper. Assisted by Haanif Cheatham.,25,44
16:34,269,Marquette  Timeout,25,44
16:07,47,James Miller missed Jumper.,25,44
16:07,269,Traci Carter Defensive Rebound.,25,44
16:04,269,Traci Carter Turnover.,25,44
15:57,47,Foul on Damon Collins.,25,44
15:57,47,Damon Collins Turnover.,25,44
15:46,269,Katin Reinhardt missed Jumper.,25,44
15:46,269,Jajuan Johnson Offensive Rebound.,25,44
15:44,269,Jajuan Johnson made Two Point Tip Shot.,25,46
15:12,47,Ausar Madison missed Layup.,25,46
15:12,47,Charles Williams Offensive Rebound.,25,46
15:10,269,Foul on Sam Hauser.,25,46
15:10,47,Charles Williams made Free Throw.,26,46
15:10,47,Charles Williams missed Free Throw.,26,46
15:10,269,Sam Hauser Defensive Rebound.,26,46
14:52,269,Sam Hauser missed Three Point Jumper.,26,46
14:52,47,Damon Collins Defensive Rebound.,26,46
14:40,47,Solomon Mangham made Jumper.,28,46
14:27,269,Sam Hauser Turnover.,28,46
14:24,47,Marcel Boyd Steal.,28,46
14:15,47,Solomon Mangham made Jumper. Assisted by Ausar Madison.,30,46
13:52,269,Haanif Cheatham made Jumper. Assisted by Jajuan Johnson.,30,48
13:52,47,Foul on Solomon Mangham.,30,48
13:52,269,Haanif Cheatham made Free Throw.,30,49
13:30,47,James Miller Turnover.,30,49
13:30,269,Jajuan Johnson Steal.,30,49
13:28,269,Jajuan Johnson made Dunk.,30,51
13:13,269,Foul on Andrew Rowsey.,30,51
12:50,47,Damon Collins missed Jumper.,30,51
12:50,47,Dalique Mingo Offensive Rebound.,30,51
12:47,47,Dalique Mingo made Two Point Tip Shot.,32,51
12:33,269,Katin Reinhardt made Three Point Jumper. Assisted by Duane Wilson.,32,54
12:15,47,Solomon Mangham made Three Point Jumper. Assisted by Dalique Mingo.,35,54
12:01,269,Duane Wilson Turnover.,35,54
11:55,47,James Miller Turnover.,35,54
11:54,269,Luke Fischer Steal.,35,54
11:51,269,Katin Reinhardt made Three Point Jumper. Assisted by Markus Howard.,35,57
11:22,269,Foul on Luke Fischer.,35,57
11:22,269,Official TV Timeout,35,57
11:14,47,Solomon Mangham missed Jumper.,35,57
11:14,47,Howard Offensive Rebound.,35,57
10:59,47,James Miller made Layup.,37,57
10:40,269,Markus Howard made Three Point Jumper. Assisted by Katin Reinhardt.,37,60
10:24,269,Foul on Duane Wilson.,37,60
10:19,47,Solomon Mangham missed Jumper.,37,60
10:19,269,Haanif Cheatham Defensive Rebound.,37,60
10:10,269,Duane Wilson made Layup.,37,62
9:59,47,Damon Collins Turnover.,37,62
9:57,269,Duane Wilson Steal.,37,62
9:53,269,Haanif Cheatham missed Three Point Jumper.,37,62
9:53,47,Marcel Boyd Defensive Rebound.,37,62
9:29,47,Damon Collins missed Jumper.,37,62
9:29,269,Marquette Defensive Rebound.,37,62
9:20,269,Katin Reinhardt missed Jumper.,37,62
9:20,269,Matt Heldt Offensive Rebound.,37,62
9:10,269,Markus Howard missed Three Point Jumper.,37,62
9:10,47,Howard Deadball Team Rebound.,37,62
8:52,269,Foul on Duane Wilson.,37,62
8:52,47,Dalique Mingo made Free Throw.,38,62
8:52,47,Dalique Mingo made Free Throw.,39,62
8:43,47,Foul on Michael Obindu.,39,62
8:43,269,Haanif Cheatham made Free Throw.,39,63
8:43,269,Haanif Cheatham made Free Throw.,39,64
8:21,47,Charles Williams missed Jumper.,39,64
8:21,47,Kofi Andoh Offensive Rebound.,39,64
8:15,47,Tyler Stone missed Jumper.,39,64
8:15,47,Tyler Stone Offensive Rebound.,39,64
7:52,47,Dalique Mingo missed Three Point Jumper.,39,64
7:52,47,Howard Deadball Team Rebound.,39,64
7:52,269,Foul on Matt Heldt.,39,64
7:52,269,Official TV Timeout,39,64
7:52,47,Michael Obindu made Free Throw.,40,64
7:52,47,Michael Obindu missed Free Throw.,40,64
7:52,269,Sam Hauser Defensive Rebound.,40,64
7:38,47,Foul on Michael Obindu.,40,64
7:27,47,Foul on Kofi Andoh.,40,64
7:24,269,Luke Fischer made Jumper. Assisted by Traci Carter.,40,66
6:58,47,Charles Williams made Layup. Assisted by Kofi Andoh.,42,66
6:48,269,Luke Fischer missed Jumper.,42,66
6:48,47,Tyler Stone Defensive Rebound.,42,66
6:20,47,Charles Williams made Three Point Jumper.,45,66
5:56,269,Traci Carter made Layup.,45,68
5:42,269,Foul on Sam Hauser.,45,68
5:42,47,Tyler Stone missed Free Throw.,45,68
5:42,269,Jajuan Johnson Defensive Rebound.,45,68
5:32,269,Sandy Cohen III missed Layup.,45,68
5:32,47,Dalique Mingo Defensive Rebound.,45,68
5:28,47,Charles Williams missed Three Point Jumper.,45,68
5:28,47,Howard Deadball Team Rebound.,45,68
5:28,269,Foul on Traci Carter.,45,68
5:28,47,Jalen Jones made Free Throw.,46,68
5:28,47,Jalen Jones made Free Throw.,47,68
5:22,47,Foul on Charles Williams.,47,68
5:19,269,Jajuan Johnson made Jumper. Assisted by Traci Carter.,47,70
5:19,47,Foul on Jalen Jones.,47,70
5:19,269,Jajuan Johnson made Free Throw.,47,71
5:05,47,Tyler Stone missed Jumper.,47,71
5:05,269,Sandy Cohen III Defensive Rebound.,47,71
4:46,269,Sam Hauser made Three Point Jumper. Assisted by Traci Carter.,47,74
4:11,47,Ausar Madison missed Layup.,47,74
4:11,47,Michael Obindu Offensive Rebound.,47,74
4:08,47,Michael Obindu missed Two Point Tip Shot.,47,74
4:08,269,Luke Fischer Defensive Rebound.,47,74
4:01,47,Foul on Tyler Stone.,47,74
4:01,269,Jajuan Johnson made Free Throw.,47,75
4:01,269,Jajuan Johnson made Free Throw.,47,76
3:40,47,Charles Williams missed Jumper.,47,76
3:40,269,Sandy Cohen III Block.,47,76
3:38,269,Andrew Rowsey Defensive Rebound.,47,76
3:29,269,Andrew Rowsey missed Three Point Jumper.,47,76
3:29,47,Cameron Lewis Defensive Rebound.,47,76
2:57,47,Charles Williams Turnover.,47,76
2:57,269,Official TV Timeout,47,76
2:35,47,Foul on Jalen Jones.,47,76
2:35,269,Matt Heldt missed Free Throw.,47,76
2:35,269,Marquette Deadball Team Rebound.,47,76
2:35,47,Kofi Andoh Defensive Rebound.,47,76
2:10,47,Jalen Jones missed Jumper.,47,76
2:10,269,Sandy Cohen III Block.,47,76
2:08,47,Cameron Lewis Offensive Rebound.,47,76
2:04,47,Howard  Turnover.,47,76
1:53,269,Duane Wilson missed Three Point Jumper.,47,76
1:53,47,Ausar Madison Defensive Rebound.,47,76
1:31,269,Foul on Matt Heldt.,47,76
1:31,47,Kofi Andoh made Free Throw.,48,76
1:31,47,Kofi Andoh made Free Throw.,49,76
1:19,47,Foul on Kofi Andoh.,49,76
1:19,269,Matt Heldt made Free Throw.,49,77
1:19,269,Matt Heldt made Free Throw.,49,78
1:00,47,Foul on Charles Williams.,49,78
1:00,47,Charles Williams Turnover.,49,78
0:43,269,Sandy Cohen III missed Layup.,49,78
0:43,269,Matt Heldt Offensive Rebound.,49,78
0:39,269,Markus Howard made Three Point Jumper. Assisted by Matt Heldt.,49,81
0:31,269,Foul on Andrew Rowsey.,49,81
0:31,47,Kofi Andoh missed Free Throw.,49,81
0:31,47,Howard Deadball Team Rebound.,49,81
0:31,47,Kofi Andoh missed Free Throw.,49,81
0:31,269,Matt Heldt Defensive Rebound.,49,81
0:01,269,Marquette  Turnover.,49,81
0:00,269,End of Game,49,81
