UT Arlington,135,Minnesota,250
7:01,250,UT-Arlington Offensive Rebound.,20,17
7:01,135,Foul on Nate Mason.,20,17
7:01,135,Official TV Timeout,20,17
6:53,250,Drew Charles made Three Point Jumper. Assisted by Kevin Hervey.,23,17
6:32,135,Dupree McBrayer made Jumper. Assisted by Akeem Springs.,23,19
6:20,250,Jalen Jones missed Jumper.,23,19
6:20,135,Reggie Lynch Block.,23,19
6:18,135,Akeem Springs Defensive Rebound.,23,19
6:15,250,Foul on Kevin Hervey.,23,19
6:15,135,Minnesota Deadball Team Rebound.,23,19
6:15,135,Akeem Springs missed Free Throw.,23,19
6:15,135,Akeem Springs made Free Throw.,23,20
5:59,250,Erick Neal Turnover.,23,20
5:59,135,Dupree McBrayer Steal.,23,20
5:56,135,Dupree McBrayer made Dunk.,23,22
5:38,250,Kevin Hervey missed Three Point Jumper.,23,22
5:36,135,Nate Mason Defensive Rebound.,23,22
5:30,135,Jordan Murphy missed Three Point Jumper.,23,22
5:27,135,Nate Mason Offensive Rebound.,23,22
5:24,250,Foul on Drew Charles.,23,22
5:24,135,Dupree McBrayer made Free Throw.,23,23
5:24,135,Dupree McBrayer missed Free Throw.,23,23
5:24,250,Kevin Hervey Defensive Rebound.,23,23
5:11,135,Foul on Reggie Lynch.,23,23
5:11,250,Kevin Hervey made Free Throw.,24,23
5:11,250,Kevin Hervey made Free Throw.,25,23
4:57,135,Amir Coffey missed Three Point Jumper.,25,23
4:57,250,Kevin Hervey Defensive Rebound.,25,23
4:17,135,Foul on Amir Coffey.,25,23
4:17,250,Kevin Hervey made Free Throw.,26,23
4:17,250,Kevin Hervey made Free Throw.,27,23
4:10,250,Foul on DJ Bryant.,27,23
4:10,135,Minnesota Deadball Team Rebound.,27,23
4:10,135,Nate Mason missed Free Throw.,27,23
4:10,135,Nate Mason made Free Throw.,27,24
3:49,250,Julian Harris made Jumper. Assisted by Nathan Hawkins.,29,24
3:38,135,Nate Mason missed Jumper.,29,24
3:36,135,Eric Curry Offensive Rebound.,29,24
3:36,250,Official TV Timeout,29,24
3:36,250,Foul on Julian Harris.,29,24
3:36,135,Eric Curry made Free Throw.,29,25
3:36,135,Eric Curry made Free Throw.,29,26
3:16,135,Foul on Eric Curry.,29,26
3:16,250,Erick Neal missed Free Throw.,29,26
3:16,135,Jordan Murphy Defensive Rebound.,29,26
2:58,135,Ahmad Gilbert missed Three Point Jumper.,29,26
2:55,250,Erick Neal Defensive Rebound.,29,26
2:49,250,Kaelon Wilson made Three Point Jumper. Assisted by Nathan Hawkins.,32,26
2:37,135,Ahmad Gilbert made Jumper. Assisted by Nate Mason.,32,28
2:30,250,Erick Neal missed Jumper.,32,28
2:28,135,Ahmad Gilbert Defensive Rebound.,32,28
2:22,135,Ahmad Gilbert made Three Point Jumper. Assisted by Nate Mason.,32,31
2:06,135,Foul on Dupree McBrayer.,32,31
2:06,250,Kaelon Wilson made Free Throw.,33,31
2:06,250,Kaelon Wilson missed Free Throw.,33,31
2:06,135,Akeem Springs Defensive Rebound.,33,31
1:49,135,Jordan Murphy missed Jumper.,33,31
1:49,250,Faith Pope Block.,33,31
1:46,250,Erick Neal Defensive Rebound.,33,31
1:44,250,Kaelon Wilson missed Layup.,33,31
1:43,135,Eric Curry Defensive Rebound.,33,31
1:43,250,Foul on Nathan Hawkins.,33,31
1:43,135,Eric Curry made Free Throw.,33,32
1:43,135,Eric Curry made Free Throw.,33,33
1:19,250,Faith Pope Turnover.,33,33
1:19,135,Eric Curry Steal.,33,33
0:58,135,Nate Mason missed Jumper.,33,33
0:58,250,Faith Pope Block.,33,33
0:55,135,Akeem Springs Offensive Rebound.,33,33
0:53,135,Akeem Springs missed Three Point Jumper.,33,33
0:52,250,Kevin Hervey Defensive Rebound.,33,33
0:45,250,Erick Neal made Three Point Jumper.,36,33
0:35,135,Nate Mason Turnover.,36,33
0:35,250,Kaelon Wilson Steal.,36,33
0:34,250,Kaelon Wilson made Dunk.,38,33
0:28,250,Foul on Erick Neal.,38,33
0:28,135,Akeem Springs made Free Throw.,38,34
0:28,135,Akeem Springs made Free Throw.,38,35
0:01,250,Erick Neal made Three Point Jumper.,41,35
0:00,135,End of 1st half,41,35
19:49,250,Foul on Drew Charles.,41,35
19:49,135,Minnesota Deadball Team Rebound.,41,35
19:49,135,Dupree McBrayer missed Free Throw.,41,35
19:49,135,Dupree McBrayer missed Free Throw.,41,35
19:49,250,Faith Pope Defensive Rebound.,41,35
19:30,250,Jorge Bilbao missed Jumper.,41,35
19:30,135,Reggie Lynch Block.,41,35
19:28,135,Jordan Murphy Defensive Rebound.,41,35
19:21,135,Amir Coffey missed Three Point Jumper.,41,35
19:19,135,Reggie Lynch Offensive Rebound.,41,35
19:18,135,Reggie Lynch made Layup.,41,37
18:55,135,Foul on Jordan Murphy.,41,37
18:55,250,Faith Pope made Free Throw.,42,37
18:55,250,Faith Pope made Free Throw.,43,37
18:55,250,Faith Pope missed Free Throw.,43,37
18:52,250,Faith Pope Offensive Rebound.,43,37
18:50,250,Faith Pope missed Jumper.,43,37
18:47,135,Jordan Murphy Defensive Rebound.,43,37
18:37,135,Reggie Lynch made Jumper. Assisted by Dupree McBrayer.,43,39
18:08,250,Jalen Jones missed Jumper.,43,39
18:08,135,Reggie Lynch Block.,43,39
18:05,135,Amir Coffey Defensive Rebound.,43,39
17:56,135,Reggie Lynch made Jumper. Assisted by Nate Mason.,43,41
17:32,250,Drew Charles missed Jumper.,43,41
17:32,135,Dupree McBrayer Block.,43,41
17:30,135,Dupree McBrayer Defensive Rebound.,43,41
17:28,135,Amir Coffey made Dunk. Assisted by Dupree McBrayer.,43,43
17:26,250,UT-Arlington  Timeout,43,43
17:26,135,Official TV Timeout,43,43
16:54,250,Drew Charles missed Three Point Jumper.,43,43
16:53,250,Jorge Bilbao Offensive Rebound.,43,43
16:53,135,Foul on Reggie Lynch.,43,43
16:53,250,Jorge Bilbao missed Free Throw.,43,43
16:53,250,UT-Arlington Deadball Team Rebound.,43,43
16:53,250,Jorge Bilbao made Free Throw.,44,43
16:21,135,Nate Mason made Three Point Jumper. Assisted by Eric Curry.,44,46
16:03,250,Drew Charles missed Jumper.,44,46
16:01,135,Minnesota Defensive Rebound.,44,46
16:01,250,Foul on Jalen Jones.,44,46
15:51,250,Foul on Kevin Hervey.,44,46
15:51,135,Official TV Timeout,44,46
15:43,250,Foul on Julian Harris.,44,46
15:43,135,Amir Coffey made Free Throw.,44,47
15:43,135,Amir Coffey made Free Throw.,44,48
15:33,135,Foul on Nate Mason.,44,48
15:18,250,Erick Neal missed Three Point Jumper.,44,48
15:16,135,Jordan Murphy Defensive Rebound.,44,48
15:12,135,Amir Coffey Turnover.,44,48
15:03,250,Erick Neal Turnover.,44,48
15:03,135,Amir Coffey Steal.,44,48
15:00,135,Amir Coffey made Layup.,44,50
14:40,250,Kevin Hervey Turnover.,44,50
14:34,135,Dupree McBrayer made Layup. Assisted by Nate Mason.,44,52
14:15,250,Kaelon Wilson Turnover.,44,52
14:15,135,Dupree McBrayer Steal.,44,52
13:58,135,Amir Coffey made Layup.,44,54
13:43,250,Nathan Hawkins Turnover.,44,54
13:43,250,UT-Arlington  Timeout,44,54
13:43,250,Foul on DJ Bryant.,44,54
13:12,135,Amir Coffey missed Jumper.,44,54
13:10,250,Kaelon Wilson Defensive Rebound.,44,54
13:07,250,Nathan Hawkins missed Three Point Jumper.,44,54
13:06,135,Eric Curry Defensive Rebound.,44,54
13:06,250,Foul on Jorge Bilbao.,44,54
13:05,250,Nathan Hawkins missed Three Point Jumper.,44,54
12:46,135,Amir Coffey missed Three Point Jumper.,44,54
12:43,250,Kaelon Wilson Defensive Rebound.,44,54
12:37,250,Jorge Bilbao Turnover.,44,54
12:37,135,Amir Coffey Steal.,44,54
12:34,250,Foul on Nathan Hawkins.,44,54
12:34,135,Amir Coffey made Free Throw.,44,55
12:34,135,Amir Coffey made Free Throw.,44,56
12:21,250,Erick Neal missed Three Point Jumper.,44,56
12:18,250,Kaelon Wilson Offensive Rebound.,44,56
12:18,135,Foul on Ahmad Gilbert.,44,56
11:50,250,Nathan Hawkins missed Layup.,44,56
11:48,135,Ahmad Gilbert Defensive Rebound.,44,56
11:33,135,Eric Curry missed Three Point Jumper.,44,56
11:31,250,Nathan Hawkins Defensive Rebound.,44,56
11:10,250,Erick Neal missed Three Point Jumper.,44,56
11:07,135,Eric Curry Defensive Rebound.,44,56
10:57,135,Official TV Timeout,44,56
10:57,250,Foul on Erick Neal.,44,56
10:57,135,Eric Curry made Free Throw.,44,57
10:57,135,Eric Curry made Free Throw.,44,58
10:40,250,Faith Pope missed Jumper.,44,58
10:38,135,Reggie Lynch Defensive Rebound.,44,58
10:36,250,Foul on Jalen Jones.,44,58
10:36,135,Nate Mason made Free Throw.,44,59
10:36,135,Nate Mason missed Free Throw.,44,59
10:36,250,Faith Pope Defensive Rebound.,44,59
10:15,250,Jalen Jones made Jumper. Assisted by Erick Neal.,46,59
9:54,135,Akeem Springs missed Three Point Jumper.,46,59
9:53,135,Reggie Lynch Offensive Rebound.,46,59
9:53,250,Foul on Jorge Bilbao.,46,59
9:53,135,Reggie Lynch made Free Throw.,46,60
9:53,135,Reggie Lynch made Free Throw.,46,61
9:31,135,Foul on Akeem Springs.,46,61
9:22,250,Kevin Hervey Turnover.,46,61
9:22,135,Nate Mason Steal.,46,61
9:21,250,Foul on Drew Charles.,46,61
9:06,135,Eric Curry made Jumper. Assisted by Dupree McBrayer.,46,63
8:53,250,Erick Neal missed Layup.,46,63
8:50,135,Eric Curry Defensive Rebound.,46,63
8:46,135,Dupree McBrayer missed Three Point Jumper.,46,63
8:43,135,Jordan Murphy Offensive Rebound.,46,63
8:42,135,Jordan Murphy made Dunk.,46,65
8:38,250,UT-Arlington  Timeout,46,65
8:10,250,Jalen Jones made Layup.,48,65
7:59,135,Foul on Akeem Springs.,48,65
7:59,135,Akeem Springs Turnover.,48,65
7:59,135,Official TV Timeout,48,65
7:41,250,Erick Neal missed Jumper.,48,65
7:40,250,Jorge Bilbao Offensive Rebound.,48,65
7:40,135,Foul on Dupree McBrayer.,48,65
7:40,250,UT-Arlington Deadball Team Rebound.,48,65
7:40,250,Jorge Bilbao missed Free Throw.,48,65
7:40,250,Jorge Bilbao made Free Throw.,49,65
7:28,135,Nate Mason missed Three Point Jumper.,49,65
7:24,135,Reggie Lynch Offensive Rebound.,49,65
7:23,135,Reggie Lynch made Dunk.,49,67
7:07,250,Jalen Jones made Layup. Assisted by Jorge Bilbao.,51,67
6:43,250,Foul on Jorge Bilbao.,51,67
6:43,135,Jordan Murphy made Free Throw.,51,68
6:43,135,Jordan Murphy made Free Throw.,51,69
6:34,135,Foul on Jordan Murphy.,51,69
6:34,250,Kevin Hervey made Free Throw.,52,69
6:34,250,Kevin Hervey made Free Throw.,53,69
6:14,135,Dupree McBrayer missed Three Point Jumper.,53,69
6:10,250,Link Kabadyundi Defensive Rebound.,53,69
6:03,250,Erick Neal missed Three Point Jumper.,53,69
5:57,135,Minnesota Defensive Rebound.,53,69
5:57,250,Technical Foul on UT-Arlington.,53,69
5:57,135,Nate Mason made Free Throw.,53,70
5:38,135,Dupree McBrayer missed Three Point Jumper.,53,70
5:38,135,Jordan Murphy Offensive Rebound.,53,70
5:38,250,Foul on Kaelon Wilson.,53,70
5:38,135,Minnesota Deadball Team Rebound.,53,70
5:38,135,Jordan Murphy missed Free Throw.,53,70
5:38,135,Jordan Murphy made Free Throw.,53,71
5:27,135,Foul on Eric Curry.,53,71
5:27,250,Erick Neal missed Free Throw.,53,71
5:27,135,Jordan Murphy Defensive Rebound.,53,71
5:03,135,Jordan Murphy missed Jumper.,53,71
5:01,135,Jordan Murphy Offensive Rebound.,53,71
5:01,135,Jordan Murphy made Layup.,53,73
4:52,250,Jalen Jones made Layup.,55,73
4:41,135,Eric Curry made Layup. Assisted by Nate Mason.,55,75
4:35,250,Kevin Hervey made Layup. Assisted by Erick Neal.,57,75
4:12,135,Jordan Murphy missed Jumper.,57,75
4:10,250,Erick Neal Defensive Rebound.,57,75
4:04,250,Faith Pope missed Three Point Jumper.,57,75
4:02,135,Nate Mason Defensive Rebound.,57,75
3:39,135,Amir Coffey missed Jumper.,57,75
3:37,135,Amir Coffey Offensive Rebound.,57,75
3:35,135,Amir Coffey missed Layup.,57,75
3:33,250,Kevin Hervey Defensive Rebound.,57,75
3:29,250,Jalen Jones made Layup.,59,75
3:18,135,Minnesota  Timeout,59,75
2:57,135,Nate Mason made Jumper.,59,77
2:44,250,Kevin Hervey missed Jumper.,59,77
2:40,135,Jordan Murphy Defensive Rebound.,59,77
2:21,135,Dupree McBrayer made Layup. Assisted by Nate Mason.,59,79
2:08,250,Jalen Jones made Layup.,61,79
2:08,135,Foul on Amir Coffey.,61,79
2:08,250,Jalen Jones made Free Throw.,62,79
2:02,135,Eric Curry Turnover.,62,79
1:46,250,Drew Charles missed Jumper.,62,79
1:46,135,Jordan Murphy Block.,62,79
1:45,135,Nate Mason Defensive Rebound.,62,79
1:24,135,Nate Mason missed Three Point Jumper.,62,79
1:23,135,Jordan Murphy Offensive Rebound.,62,79
1:23,250,Foul on Jalen Jones.,62,79
1:23,135,Jordan Murphy made Free Throw.,62,80
1:23,135,Jordan Murphy made Free Throw.,62,81
1:07,250,Drew Charles made Three Point Jumper. Assisted by Jalen Jones.,65,81
0:59,250,Foul on Link Kabadyundi.,65,81
0:59,135,Minnesota Deadball Team Rebound.,65,81
0:59,135,Amir Coffey missed Free Throw.,65,81
0:59,135,Amir Coffey missed Free Throw.,65,81
0:59,250,Erkam Kiris Defensive Rebound.,65,81
0:42,135,Foul on Stephon Sharp.,65,81
0:42,250,UT-Arlington Deadball Team Rebound.,65,81
0:42,250,Drew Charles missed Free Throw.,65,81
0:42,250,Drew Charles missed Free Throw.,65,81
0:42,135,Darin Haugh Defensive Rebound.,65,81
0:15,135,Brady Rudrud made Three Point Jumper. Assisted by Darin Haugh.,65,84
0:06,250,DJ Bryant made Layup.,67,84
0:00,135,End of Game,67,84
