Summit,Error,Liberty,2335
19:49,2335,Myo Baxter-Bell Defensive Rebound.,21,32
19:24,2335,John Dawson missed Layup.,21,32
19:24,2335,Myo Baxter-Bell Offensive Rebound.,21,32
19:19,2335,Myo Baxter-Bell missed Layup.,21,32
19:19,2335,Myo Baxter-Bell Offensive Rebound.,21,32
19:13,2335,Myo Baxter-Bell made Layup.,21,34
19:01,-1,Donald Miller missed Jumper.,21,34
19:01,2335,John Dawson Defensive Rebound.,21,34
18:33,2335,Georgie Pacheco-Ortiz missed Jumper.,21,34
18:33,2335,Georgie Pacheco-Ortiz Offensive Rebound.,21,34
18:26,2335,Brock Gardner made Layup. Assisted by Myo Baxter-Bell.,21,36
18:12,-1,Antwan Bradley missed Jumper.,21,36
18:12,2335,Brock Gardner Defensive Rebound.,21,36
18:00,2335,Myo Baxter-Bell made Layup.,21,38
18:00,-1,Foul on Dontier Phelps.,21,38
18:00,2335,Myo Baxter-Bell made Free Throw.,21,39
17:49,-1,Dontier Phelps missed Three Point Jumper.,21,39
17:49,2335,A.C. Reid Defensive Rebound.,21,39
17:25,2335,John Dawson Turnover.,21,39
17:25,-1,Dontier Phelps Steal.,21,39
17:25,2335,Foul on Brock Gardner.,21,39
17:01,-1,Nick Peters missed Three Point Jumper.,21,39
17:01,2335,Myo Baxter-Bell Defensive Rebound.,21,39
16:44,2335,Myo Baxter-Bell made Dunk. Assisted by John Dawson.,21,41
16:39,-1,Clarks Summit  Timeout,21,41
16:39,2335,Official TV Timeout,21,41
16:28,-1,Dontier Phelps missed Layup.,21,41
16:28,2335,Brock Gardner Block.,21,41
16:27,-1,Dontier Phelps Offensive Rebound.,21,41
16:20,-1,Antwan Bradley missed Three Point Jumper.,21,41
16:20,-1,Johnathan Albury Offensive Rebound.,21,41
16:16,-1,Johnathan Albury missed Layup.,21,41
16:16,2335,Myo Baxter-Bell Defensive Rebound.,21,41
16:01,2335,John Dawson missed Layup.,21,41
16:01,-1,Dontier Phelps Defensive Rebound.,21,41
15:51,-1,Clarks Summit  Timeout,21,41
15:51,2335,Official TV Timeout,21,41
15:44,-1,Nick Peters missed Jumper.,21,41
15:44,-1,Johnathan Albury Offensive Rebound.,21,41
15:39,2335,Foul on A.C. Reid.,21,41
15:39,-1,Dontier Phelps missed Free Throw.,21,41
15:39,-1,Clarks Summit Deadball Team Rebound.,21,41
15:39,-1,Dontier Phelps missed Free Throw.,21,41
15:39,-1,Nick Peters Offensive Rebound.,21,41
15:19,-1,Kyron Jones missed Three Point Jumper.,21,41
15:19,2335,Georgie Pacheco-Ortiz Defensive Rebound.,21,41
15:04,2335,Lovell Cabbil missed Layup.,21,41
15:04,-1,Clarks Summit Defensive Rebound.,21,41
14:45,-1,Dontier Phelps missed Three Point Jumper.,21,41
14:45,2335,Lovell Cabbil Defensive Rebound.,21,41
14:31,2335,Brock Gardner made Three Point Jumper. Assisted by Myo Baxter-Bell.,21,44
14:01,-1,Nick Peters missed Three Point Jumper.,21,44
14:01,2335,Georgie Pacheco-Ortiz Defensive Rebound.,21,44
13:36,2335,Georgie Pacheco-Ortiz made Layup.,21,46
13:17,2335,Foul on Brock Gardner.,21,46
13:02,-1,Dontier Phelps made Layup.,23,46
12:53,2335,John Dawson missed Three Point Jumper.,23,46
12:53,-1,Dontier Phelps Defensive Rebound.,23,46
12:42,-1,Dwayne Felder made Three Point Jumper. Assisted by Dontier Phelps.,26,46
12:18,2335,John Dawson made Jumper. Assisted by Lovell Cabbil.,26,48
11:55,-1,Kyron Jones missed Jumper.,26,48
11:55,2335,John Dawson Defensive Rebound.,26,48
11:49,2335,Lovell Cabbil made Layup. Assisted by John Dawson.,26,50
11:41,2335,Official TV Timeout,26,50
11:15,-1,Adam Regnier missed Three Point Jumper.,26,50
11:15,2335,John Dawson Block.,26,50
11:14,2335,John Dawson Defensive Rebound.,26,50
11:08,2335,John Dawson made Layup.,26,52
10:51,-1,Dontier Phelps Turnover.,26,52
10:50,2335,Lovell Cabbil Steal.,26,52
10:47,2335,Lovell Cabbil made Layup.,26,54
10:22,-1,Adam Regnier Turnover.,26,54
10:21,2335,Brock Gardner Steal.,26,54
10:08,2335,John Dawson missed Three Point Jumper.,26,54
10:08,-1,Steven Marvin Defensive Rebound.,26,54
9:35,-1,Clarks Summit  Turnover.,26,54
9:21,2335,Ryan Hiepler missed Layup.,26,54
9:21,-1,Nick Peters Defensive Rebound.,26,54
9:02,-1,Nick Peters Turnover.,26,54
9:00,2335,Ray Chen Steal.,26,54
8:57,-1,Foul on Dwayne Felder.,26,54
8:57,2335,Brock Gardner made Free Throw.,26,55
8:57,2335,Brock Gardner made Free Throw.,26,56
8:33,-1,Kyron Jones missed Three Point Jumper.,26,56
8:33,2335,Myo Baxter-Bell Defensive Rebound.,26,56
8:15,2335,Ray Chen made Layup.,26,58
8:15,-1,Foul on Donald Miller.,26,58
8:15,2335,Ray Chen made Free Throw.,26,59
8:05,-1,Dwayne Felder Turnover.,26,59
8:03,2335,Ray Chen Steal.,26,59
7:54,2335,Georgie Pacheco-Ortiz made Layup.,26,61
7:32,-1,Dontier Phelps Turnover.,26,61
7:31,2335,Brock Gardner Steal.,26,61
7:27,2335,Brock Gardner made Layup.,26,63
7:05,-1,Dontier Phelps made Three Point Jumper. Assisted by John McCloskey.,29,63
6:46,-1,Foul on Donald Miller.,29,63
6:46,2335,Official TV Timeout,29,63
6:46,2335,Myo Baxter-Bell made Free Throw.,29,64
6:46,2335,Myo Baxter-Bell made Free Throw.,29,65
6:31,-1,Dwayne Felder Turnover.,29,65
6:31,-1,Foul on Dwayne Felder.,29,65
6:16,2335,Ray Chen missed Three Point Jumper.,29,65
6:16,-1,Clarks Summit Defensive Rebound.,29,65
5:46,-1,Dontier Phelps missed Three Point Jumper.,29,65
5:46,2335,Lovell Cabbil Defensive Rebound.,29,65
5:34,2335,Lovell Cabbil missed Jumper.,29,65
5:34,-1,Kyron Jones Defensive Rebound.,29,65
5:27,-1,Dontier Phelps missed Layup.,29,65
5:27,2335,John Dawson Defensive Rebound.,29,65
5:14,2335,John Dawson Turnover.,29,65
5:14,-1,Dontier Phelps Steal.,29,65
5:14,-1,Clarks Summit  Timeout,29,65
5:04,2335,Foul on Lovell Cabbil.,29,65
5:04,-1,Kyron Jones made Free Throw.,30,65
5:04,-1,Kyron Jones missed Free Throw.,30,65
5:04,2335,Ray Chen Defensive Rebound.,30,65
4:43,2335,Georgie Pacheco-Ortiz missed Layup.,30,65
4:43,2335,Ezra Talbert Offensive Rebound.,30,65
4:40,2335,Ezra Talbert missed Layup.,30,65
4:40,-1,Dontier Phelps Defensive Rebound.,30,65
4:32,2335,Foul on John Dawson.,30,65
4:30,-1,John McCloskey missed Three Point Jumper.,30,65
4:30,2335,Ryan Hiepler Defensive Rebound.,30,65
4:13,2335,John Dawson made Jumper.,30,67
3:58,-1,Kyron Jones made Three Point Jumper. Assisted by Dontier Phelps.,33,67
3:36,2335,John Dawson made Three Point Jumper. Assisted by Lovell Cabbil.,33,70
3:08,-1,Dontier Phelps missed Jumper.,33,70
3:08,2335,Lovell Cabbil Defensive Rebound.,33,70
2:54,2335,John Dawson made Three Point Jumper. Assisted by Lovell Cabbil.,33,73
2:31,-1,Kyron Jones missed Three Point Jumper.,33,73
2:31,2335,Ryan Hiepler Defensive Rebound.,33,73
2:28,-1,Foul on John McCloskey.,33,73
2:28,2335,Official TV Timeout,33,73
2:17,2335,Ryan Hiepler made Three Point Jumper. Assisted by Xzavier Barmore.,33,76
1:45,-1,Steven Marvin missed Jumper.,33,76
1:45,2335,Ezra Talbert Defensive Rebound.,33,76
1:24,2335,Xzavier Barmore made Jumper.,33,78
1:06,-1,John McCloskey missed Three Point Jumper.,33,78
1:06,-1,Reed Plantz Offensive Rebound.,33,78
1:00,-1,Steven Marvin missed Three Point Jumper.,33,78
1:00,2335,Xzavier Barmore Defensive Rebound.,33,78
0:48,2335,Ryan Hiepler made Three Point Jumper. Assisted by Xzavier Barmore.,33,81
0:22,-1,Adam Regnier missed Jumper.,33,81
0:22,2335,Liberty Defensive Rebound.,33,81
0:00,2335,End of Game,33,81
