Florida Atlantic,2390,Miami,2226
14:09,2226,Jailyn Ingram missed Jumper.,3,8
14:09,2390,Davon Reed Block.,3,8
14:09,2226,- Team Offensive Rebound.,3,8
14:04,2226,Adonis Filer made Three Point Jumper.,6,8
13:44,2390,Davon Reed Turnover.,6,8
13:42,2226,Jailyn Ingram Steal.,6,8
13:40,2390,Foul on Ebuka Izundu.,6,8
13:40,2226,Frank Booker made Free Throw.,7,8
13:40,2226,Frank Booker made Free Throw.,8,8
13:22,2390,Ebuka Izundu Turnover.,8,8
13:22,2390,Foul on Ebuka Izundu.,8,8
13:08,2226,Marcus Neely made Jumper.,10,8
12:41,2390,Anthony Lawrence Jr. made Three Point Jumper. Assisted by Bruce Brown.,10,11
12:14,2226,Adonis Filer missed Layup.,10,11
12:14,2390,Bruce Brown Defensive Rebound.,10,11
12:09,2390,Davon Reed missed Three Point Jumper.,10,11
12:09,2390,Dejan Vasiljevic Offensive Rebound.,10,11
12:03,2390,Dejan Vasiljevic made Layup.,10,13
11:55,2226,Adonis Filer missed Jumper.,10,13
11:55,2226,William Pfister Offensive Rebound.,10,13
11:50,2226,Marcus Neely Turnover.,10,13
11:48,2390,Davon Reed Steal.,10,13
11:47,2226,Foul on Marcus Neely.,10,13
11:47,2390,Official TV Timeout,10,13
11:47,2390,Davon Reed made Free Throw.,10,14
11:47,2390,Davon Reed made Free Throw.,10,15
11:34,2226,Gerdarius Troutman missed Jumper.,10,15
11:34,2390,Ja'Quan Newton Defensive Rebound.,10,15
11:09,2226,Foul on Jailyn Ingram.,10,15
10:58,2390,Dejan Vasiljevic missed Three Point Jumper.,10,15
10:58,2390,Anthony Lawrence Jr. Offensive Rebound.,10,15
10:50,2390,Dejan Vasiljevic missed Three Point Jumper.,10,15
10:50,2226,Marcus Neely Defensive Rebound.,10,15
10:45,2226,Marcus Neely Turnover.,10,15
10:44,2390,Anthony Lawrence Jr. Steal.,10,15
10:30,2390,Anthony Lawrence Jr. Turnover.,10,15
10:30,2390,Foul on Anthony Lawrence Jr..,10,15
10:11,2226,Adonis Filer made Layup.,12,15
9:49,2390,Kamari Murphy missed Jumper.,12,15
9:49,2226,Ronald Delph Defensive Rebound.,12,15
9:32,2226,Ronald Delph missed Jumper.,12,15
9:32,2226,- Team Offensive Rebound.,12,15
9:25,2226,Gerdarius Troutman missed Three Point Jumper.,12,15
9:25,2390,Bruce Brown Defensive Rebound.,12,15
9:11,2390,Ja'Quan Newton made Jumper.,12,17
8:48,2226,Jailyn Ingram missed Jumper.,12,17
8:48,2390,Kamari Murphy Defensive Rebound.,12,17
8:40,2390,Ja'Quan Newton Turnover.,12,17
8:23,2226,Jailyn Ingram missed Jumper.,12,17
8:23,2390,Ja'Quan Newton Defensive Rebound.,12,17
8:05,2390,Anthony Lawrence Jr. made Three Point Jumper. Assisted by Ja'Quan Newton.,12,20
7:57,2226,Florida Atlantic  Timeout,12,20
7:43,2226,Frank Booker missed Jumper.,12,20
7:43,2390,Davon Reed Block.,12,20
7:39,2390,Kamari Murphy Defensive Rebound.,12,20
7:29,2390,Kamari Murphy Turnover.,12,20
7:29,2390,Foul on Kamari Murphy.,12,20
7:21,2226,Jailyn Ingram made Layup.,14,20
7:10,2226,Foul on Frank Booker.,14,20
7:07,2390,Ja'Quan Newton made Layup.,14,22
6:37,2226,Nick Rutherford Turnover.,14,22
6:11,2226,Foul on Jailyn Ingram.,14,22
6:11,2390,Ja'Quan Newton made Free Throw.,14,23
6:11,2390,Ja'Quan Newton made Free Throw.,14,24
6:00,2390,Foul on Anthony Lawrence Jr..,14,24
6:00,2226,Jeantal Cylla made Free Throw.,15,24
6:00,2226,Jeantal Cylla missed Free Throw.,15,24
6:00,2390,Dewan Huell Defensive Rebound.,15,24
5:46,2390,Davon Reed made Three Point Jumper. Assisted by Ja'Quan Newton.,15,27
5:32,2226,Ronald Delph made Layup. Assisted by Nick Rutherford.,17,27
5:32,2390,Foul on Ja'Quan Newton.,17,27
5:32,2226,Ronald Delph made Free Throw.,18,27
5:16,2226,Foul on William Pfister.,18,27
5:16,2390,Bruce Brown made Free Throw.,18,28
5:16,2390,Bruce Brown missed Free Throw.,18,28
5:16,2226,Justin Massey Defensive Rebound.,18,28
5:02,2226,Jeantal Cylla missed Layup.,18,28
5:02,2390,Miami Defensive Rebound.,18,28
4:44,2390,Ja'Quan Newton made Jumper.,18,30
4:26,2390,Foul on Dewan Huell.,18,30
4:26,2226,Jeantal Cylla made Free Throw.,19,30
4:26,2226,Jeantal Cylla made Free Throw.,20,30
4:25,2390,Davon Reed made Three Point Jumper. Assisted by Bruce Brown.,20,33
3:52,2226,Adonis Filer Turnover.,20,33
3:51,2390,Dewan Huell Steal.,20,33
3:51,2226,Foul on Adonis Filer.,20,33
3:51,2390,Official TV Timeout,20,33
3:51,2390,Bruce Brown made Free Throw.,20,34
3:51,2390,Bruce Brown made Free Throw.,20,35
3:31,2226,Justin Massey missed Jumper.,20,35
3:31,2390,Bruce Brown Defensive Rebound.,20,35
2:53,2390,Ja'Quan Newton missed Jumper.,20,35
2:53,2226,Florida Atlantic Defensive Rebound.,20,35
2:40,2390,Foul on Bruce Brown.,20,35
2:40,2226,Adonis Filer made Free Throw.,21,35
2:40,2226,Adonis Filer made Free Throw.,22,35
2:15,2390,Dewan Huell made Jumper. Assisted by Bruce Brown.,22,37
1:48,2226,Ronald Delph missed Jumper.,22,37
1:48,2390,Dejan Vasiljevic Defensive Rebound.,22,37
1:29,2390,Dewan Huell missed Jumper.,22,37
1:29,2226,Jeantal Cylla Defensive Rebound.,22,37
1:20,2226,Adonis Filer missed Three Point Jumper.,22,37
1:20,2390,Dewan Huell Defensive Rebound.,22,37
1:03,2390,Bruce Brown made Layup.,22,39
0:46,2226,Nick Rutherford missed Three Point Jumper.,22,39
0:46,2390,Dewan Huell Defensive Rebound.,22,39
0:17,2390,Ja'Quan Newton missed Jumper.,22,39
0:17,2390,Bruce Brown Offensive Rebound.,22,39
0:11,2390,Bruce Brown missed Layup.,22,39
0:11,2226,Ronald Delph Defensive Rebound.,22,39
0:03,2390,Foul on Dewan Huell.,22,39
0:03,2226,Adonis Filer made Free Throw.,23,39
0:03,2226,Adonis Filer made Free Throw.,24,39
0:03,2390,Miami  Timeout,24,39
0:00,2390,End of 1st half,24,39
19:36,2390,Dewan Huell missed Jumper.,24,39
19:36,2226,Ronald Delph Block.,24,39
19:33,2390,Kamari Murphy Offensive Rebound.,24,39
19:33,2226,Foul on Jailyn Ingram.,24,39
19:33,2390,Kamari Murphy made Free Throw.,24,40
19:33,2390,Kamari Murphy missed Free Throw.,24,40
19:33,2226,Ronald Delph Defensive Rebound.,24,40
19:18,2226,Jailyn Ingram made Jumper.,26,40
19:18,2390,Foul on Kamari Murphy.,26,40
19:18,2226,Jailyn Ingram missed Free Throw.,26,40
19:18,2226,Nick Rutherford Offensive Rebound.,26,40
19:10,2226,Jeantal Cylla missed Three Point Jumper.,26,40
19:10,2390,Bruce Brown Defensive Rebound.,26,40
19:01,2390,Bruce Brown missed Layup.,26,40
19:01,2390,Dewan Huell Offensive Rebound.,26,40
18:59,2390,Dewan Huell missed Layup.,26,40
18:59,2226,Jeantal Cylla Defensive Rebound.,26,40
18:56,2226,Jeantal Cylla Turnover.,26,40
18:55,2390,Bruce Brown Steal.,26,40
18:50,2390,Dewan Huell made Layup. Assisted by Ja'Quan Newton.,26,42
18:33,2226,Frank Booker missed Three Point Jumper.,26,42
18:33,2390,Ja'Quan Newton Defensive Rebound.,26,42
18:19,2390,Kamari Murphy made Jumper. Assisted by Ja'Quan Newton.,26,44
18:02,2226,Nick Rutherford missed Layup.,26,44
18:02,2226,Ronald Delph Offensive Rebound.,26,44
17:59,2226,Ronald Delph made Dunk.,28,44
17:41,2390,Davon Reed made Jumper. Assisted by Ja'Quan Newton.,28,46
17:30,2390,Foul on Ja'Quan Newton.,28,46
17:30,2226,Nick Rutherford made Free Throw.,29,46
17:30,2226,Nick Rutherford made Free Throw.,30,46
17:18,2226,Foul on Nick Rutherford.,30,46
17:07,2226,Foul on Jailyn Ingram.,30,46
17:07,2390,Davon Reed made Free Throw.,30,47
17:07,2390,Davon Reed made Free Throw.,30,48
16:55,2226,Nick Rutherford missed Jumper.,30,48
16:55,2390,Dewan Huell Defensive Rebound.,30,48
16:43,2390,Bruce Brown made Jumper.,30,50
16:20,2226,Marcus Neely made Jumper. Assisted by Nick Rutherford.,32,50
15:58,2390,Dewan Huell made Dunk.,32,52
15:40,2226,Jeantal Cylla missed Jumper.,32,52
15:40,2390,Dewan Huell Block.,32,52
15:38,2390,Dewan Huell Defensive Rebound.,32,52
15:35,2390,Davon Reed missed Three Point Jumper.,32,52
15:35,2390,Bruce Brown Offensive Rebound.,32,52
15:33,2390,Bruce Brown missed Layup.,32,52
15:33,2390,Kamari Murphy Offensive Rebound.,32,52
15:32,2390,Kamari Murphy made Layup.,32,54
15:32,2226,Florida Atlantic  Timeout,32,54
15:32,2390,Official TV Timeout,32,54
15:21,2226,Justin Massey Turnover.,32,54
15:19,2390,Ja'Quan Newton Steal.,32,54
15:07,2390,Ja'Quan Newton missed Layup.,32,54
15:07,2226,Nick Rutherford Block.,32,54
15:07,2390,Miami Offensive Rebound.,32,54
15:07,2390,Official TV Timeout,32,54
15:05,2390,Dejan Vasiljevic Turnover.,32,54
15:05,2390,Foul on Dejan Vasiljevic.,32,54
14:44,2226,Adonis Filer missed Three Point Jumper.,32,54
14:44,2390,Bruce Brown Defensive Rebound.,32,54
14:25,2390,Bruce Brown missed Jumper.,32,54
14:25,2390,Dewan Huell Offensive Rebound.,32,54
14:22,2390,Dewan Huell missed Layup.,32,54
14:22,2226,Nick Rutherford Defensive Rebound.,32,54
13:54,2226,Adonis Filer missed Three Point Jumper.,32,54
13:54,2226,Marcus Neely Offensive Rebound.,32,54
13:28,2226,Marcus Neely missed Jumper.,32,54
13:28,2390,Ja'Quan Newton Defensive Rebound.,32,54
13:00,2390,Bruce Brown missed Three Point Jumper.,32,54
13:00,2390,Anthony Lawrence Jr. Offensive Rebound.,32,54
12:53,2226,Foul on William Pfister.,32,54
12:53,2390,Ebuka Izundu made Free Throw.,32,55
12:53,2390,Ebuka Izundu made Free Throw.,32,56
12:36,2226,William Pfister made Layup. Assisted by Gerdarius Troutman.,34,56
12:13,2390,Ebuka Izundu Turnover.,34,56
12:13,2390,Foul on Ebuka Izundu.,34,56
11:55,2226,Gerdarius Troutman missed Jumper.,34,56
11:55,2226,Marcus Neely Offensive Rebound.,34,56
11:53,2226,Marcus Neely made Layup.,36,56
11:31,2390,Ja'Quan Newton missed Jumper.,36,56
11:31,2390,Anthony Lawrence Jr. Offensive Rebound.,36,56
11:28,2390,Official TV Timeout,36,56
11:20,2390,Davon Reed missed Three Point Jumper.,36,56
11:20,2226,Gerdarius Troutman Defensive Rebound.,36,56
10:56,2226,Justin Massey missed Three Point Jumper.,36,56
10:56,2390,Bruce Brown Defensive Rebound.,36,56
10:43,2390,Anthony Lawrence Jr. missed Jumper.,36,56
10:43,2226,Marcus Neely Defensive Rebound.,36,56
10:18,2226,William Pfister missed Jumper.,36,56
10:18,2390,Miami Defensive Rebound.,36,56
9:57,2390,Dejan Vasiljevic missed Three Point Jumper.,36,56
9:57,2226,Marcus Neely Defensive Rebound.,36,56
9:45,2226,Marcus Neely missed Three Point Jumper.,36,56
9:45,2390,Kamari Murphy Defensive Rebound.,36,56
9:43,2226,Foul on William Pfister.,36,56
9:25,2390,Davon Reed made Three Point Jumper. Assisted by Bruce Brown.,36,59
9:05,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Justin Massey.,39,59
8:31,2390,Kamari Murphy missed Jumper.,39,59
8:31,2390,Kamari Murphy Offensive Rebound.,39,59
8:27,2390,Kamari Murphy made Dunk.,39,61
8:12,2226,Adonis Filer Turnover.,39,61
8:03,2390,Bruce Brown Turnover.,39,61
7:48,2226,Gerdarius Troutman made Jumper.,41,61
7:35,2226,Foul on William Pfister.,41,61
7:35,2390,Official TV Timeout,41,61
7:23,2390,Dewan Huell missed Jumper.,41,61
7:23,2226,Ronald Delph Defensive Rebound.,41,61
7:09,2226,Gerdarius Troutman missed Three Point Jumper.,41,61
7:09,2390,Anthony Lawrence Jr. Defensive Rebound.,41,61
7:00,2390,Davon Reed Turnover.,41,61
7:00,2226,Justin Massey Steal.,41,61
6:46,2226,Gerdarius Troutman missed Three Point Jumper.,41,61
6:46,2390,Anthony Lawrence Jr. Defensive Rebound.,41,61
6:11,2390,Davon Reed missed Three Point Jumper.,41,61
6:11,2226,Ronald Delph Defensive Rebound.,41,61
6:04,2390,Foul on Bruce Brown.,41,61
5:55,2226,Adonis Filer missed Layup.,41,61
5:55,2390,Dewan Huell Defensive Rebound.,41,61
5:49,2390,Anthony Lawrence Jr. made Three Point Jumper. Assisted by Bruce Brown.,41,64
5:33,2226,Adonis Filer made Jumper.,43,64
5:17,2390,Anthony Lawrence Jr. made Layup. Assisted by Davon Reed.,43,66
5:17,2226,Foul on Gerdarius Troutman.,43,66
5:17,2390,Anthony Lawrence Jr. made Free Throw.,43,67
4:58,2226,Frank Booker missed Jumper.,43,67
4:58,2390,Kamari Murphy Defensive Rebound.,43,67
4:47,2226,Foul on Frank Booker.,43,67
4:47,2390,Kamari Murphy missed Free Throw.,43,67
4:47,2390,Ebuka Izundu Offensive Rebound.,43,67
4:43,2390,Ebuka Izundu Turnover.,43,67
4:42,2226,William Pfister Steal.,43,67
4:22,2226,Ronald Delph missed Jumper.,43,67
4:22,2226,William Pfister Offensive Rebound.,43,67
4:15,2226,Ronald Delph made Dunk. Assisted by Nick Rutherford.,45,67
3:52,2226,Foul on Ronald Delph.,45,67
3:52,2390,Official TV Timeout,45,67
3:52,2390,Bruce Brown made Free Throw.,45,68
3:52,2390,Bruce Brown missed Free Throw.,45,68
3:52,2226,Florida Atlantic Defensive Rebound.,45,68
3:51,2390,Foul on Ebuka Izundu.,45,68
3:43,2226,Ronald Delph missed Jumper.,45,68
3:43,2390,Ebuka Izundu Defensive Rebound.,45,68
3:30,2390,Bruce Brown made Layup.,45,70
3:10,2226,Frank Booker made Layup.,47,70
2:52,2390,Bruce Brown made Layup.,47,72
2:41,2226,Nick Rutherford Turnover.,47,72
2:40,2390,Ebuka Izundu Steal.,47,72
2:34,2226,Foul on Jeantal Cylla.,47,72
2:34,2390,Kamari Murphy missed Free Throw.,47,72
2:34,2390,Miami Deadball Team Rebound.,47,72
2:34,2390,Kamari Murphy missed Free Throw.,47,72
2:34,2226,Marcus Neely Defensive Rebound.,47,72
2:09,2226,Jeantal Cylla missed Jumper.,47,72
2:09,2226,- Team Offensive Rebound.,47,72
1:52,2226,Marcus Neely made Layup. Assisted by Nick Rutherford.,49,72
1:35,2226,Foul on Marcus Neely.,49,72
1:35,2390,Anthony Lawrence Jr. missed Free Throw.,49,72
1:35,2390,Miami Deadball Team Rebound.,49,72
1:35,2390,Anthony Lawrence Jr. missed Free Throw.,49,72
1:35,2390,Miami Deadball Team Rebound.,49,72
1:35,2390,Anthony Lawrence Jr. made Free Throw.,49,73
1:16,2226,Marcus Neely made Jumper.,51,73
0:56,2390,Davon Reed made Three Point Jumper. Assisted by Bruce Brown.,51,76
0:45,2226,Frank Booker made Three Point Jumper. Assisted by Marcus Neely.,54,76
0:29,2390,Bruce Brown Turnover.,54,76
0:29,2226,Marcus Neely Steal.,54,76
0:29,2390,Foul on Anthony Lawrence Jr..,54,76
0:29,2226,Marcus Neely made Free Throw.,55,76
0:29,2226,Marcus Neely made Free Throw.,56,76
0:00,2390,End of Game,56,76
