Warren Wilson,Error,Gardner-Webb,2241
9:13,2241,Jamaal Robateau missed Three Point Jumper.,29,71
9:13,2241,Tyrell Nelson Offensive Rebound.,29,71
9:03,2241,Tyrell Nelson made Layup.,29,73
8:59,-1,Steven Horton Jr. Turnover.,29,73
8:57,2241,Laquincy Rideau Steal.,29,73
8:51,2241,Tyrell Nelson made Layup. Assisted by Laquincy Rideau.,29,75
8:27,-1,Warren Wilson  Timeout,29,75
8:26,2241,Official TV Timeout,29,75
8:21,-1,Merault Almonor Turnover.,29,75
8:09,2241,Brandon Miller made Dunk. Assisted by Laquincy Rideau.,29,77
8:01,-1,Marques Sullivan made Three Point Jumper. Assisted by Steven Horton Jr..,32,77
7:46,2241,Jamaal Robateau missed Layup.,32,77
7:46,2241,Laquincy Rideau Offensive Rebound.,32,77
7:40,-1,Foul on Merault Almonor.,32,77
7:33,2241,Tyrell Nelson Turnover.,32,77
7:33,-1,Jordan Gant Steal.,32,77
7:23,-1,Marques Sullivan made Jumper.,34,77
7:13,2241,Jamaal Robateau Turnover.,34,77
6:48,-1,Marques Sullivan Turnover.,34,77
6:44,-1,Foul on Jordan Gant.,34,77
6:38,2241,Gardner-Webb  Timeout,34,77
6:19,2241,Eric Jamison made Jumper.,34,79
6:00,-1,Steven Horton Jr. made Three Point Jumper. Assisted by Marques Sullivan.,37,79
5:40,2241,DJ Laster made Layup. Assisted by Christian Turner.,37,81
5:34,-1,Michael Pomeroy missed Three Point Jumper.,37,81
5:34,2241,Eric Jamison Defensive Rebound.,37,81
5:01,2241,Justin Jenkins made Three Point Jumper. Assisted by Christian Turner.,37,84
4:56,-1,Kenrick Nesbit made Three Point Jumper. Assisted by Michael Pomeroy.,40,84
4:49,2241,Brandon Miller made Dunk. Assisted by Justin Jenkins.,40,86
4:24,-1,Michael Pomeroy missed Three Point Jumper.,40,86
4:24,-1,Lukas Juozapavicius Offensive Rebound.,40,86
4:08,-1,Kenrick Nesbit Turnover.,40,86
3:54,-1,Foul on Kenrick Nesbit.,40,86
3:54,2241,Official TV Timeout,40,86
3:54,2241,Christian Turner made Free Throw.,40,87
3:54,2241,Christian Turner made Free Throw.,40,88
3:48,-1,Sean Gribble Turnover.,40,88
3:48,-1,Foul on Sean Gribble.,40,88
3:43,2241,Justin Jenkins missed Three Point Jumper.,40,88
3:43,2241,Eric Jamison Offensive Rebound.,40,88
3:31,-1,Foul on Michael Pomeroy.,40,88
3:31,2241,Matthew Rodden missed Free Throw.,40,88
3:31,2241,Gardner-Webb Deadball Team Rebound.,40,88
3:31,2241,Matthew Rodden missed Free Throw.,40,88
3:31,2241,Eric Jamison Offensive Rebound.,40,88
3:26,2241,Eric Jamison missed Three Point Jumper.,40,88
3:26,-1,Sean Gribble Defensive Rebound.,40,88
3:14,-1,Kenrick Nesbit Turnover.,40,88
3:14,-1,Foul on Kenrick Nesbit.,40,88
2:50,2241,Justin Jenkins missed Layup.,40,88
2:50,-1,Jaquann Lockhart Defensive Rebound.,40,88
2:34,-1,Marques Sullivan made Jumper.,42,88
2:16,2241,Christian Turner Turnover.,42,88
2:15,-1,Merault Almonor Steal.,42,88
2:11,-1,Marques Sullivan missed Three Point Jumper.,42,88
2:11,2241,Justin Jenkins Defensive Rebound.,42,88
1:59,2241,DJ Laster made Layup. Assisted by Matthew Rodden.,42,90
1:38,-1,Marques Sullivan missed Jumper.,42,90
1:38,2241,Matthew Rodden Defensive Rebound.,42,90
1:26,2241,Justin Jenkins missed Jumper.,42,90
1:26,2241,Matthew Rodden Offensive Rebound.,42,90
1:24,2241,Matthew Rodden made Jumper.,42,92
1:18,-1,Steven Horton Jr. made Jumper.,44,92
0:56,2241,Christian Turner Turnover.,44,92
0:45,2241,Foul on Matthew Rodden.,44,92
0:40,-1,Jaquann Lockhart missed Free Throw.,44,92
0:40,-1,Warren Wilson Deadball Team Rebound.,44,92
0:40,-1,Jaquann Lockhart made Free Throw.,45,92
0:30,2241,Matthew Rodden made Three Point Jumper. Assisted by Justin Jenkins.,45,95
0:18,-1,Marques Sullivan missed Three Point Jumper.,45,95
0:18,2241,DJ Laster Defensive Rebound.,45,95
0:00,2241,End of Game,45,95
