Drexel,2520,Rider,2182
10:09,2182,Rodney Williams Defensive Rebound.,18,14
9:58,2182,Rodney Williams missed Layup.,18,14
9:58,2520,Norville Carey Block.,18,14
9:56,2182,Austin Williams Offensive Rebound.,18,14
9:53,2182,Austin Williams made Layup.,20,14
9:18,2520,Norville Carey made Layup.,20,16
8:59,2182,Sammy Mojica missed Layup.,20,16
8:59,2182,Rodney Williams Offensive Rebound.,20,16
8:57,2182,Rodney Williams missed Layup.,20,16
8:57,2520,Anthony Durham Defensive Rebound.,20,16
8:51,2520,Jimmie Taylor made Three Point Jumper. Assisted by Anthony Durham.,20,19
8:38,2182,Kurk Lee made Three Point Jumper.,23,19
8:25,2182,Foul on Rodney Williams.,23,19
8:25,2520,Stevie Jordan made Free Throw.,23,20
8:25,2520,Stevie Jordan made Free Throw.,23,21
8:16,2182,Kurk Lee Turnover.,23,21
8:16,2520,Xavier Lundy Steal.,23,21
8:12,2520,Xavier Lundy missed Layup.,23,21
8:12,2520,Jimmie Taylor Offensive Rebound.,23,21
8:10,2520,Jimmie Taylor missed Layup.,23,21
8:10,2520,Anthony Durham Offensive Rebound.,23,21
8:09,2520,Anthony Durham made Layup.,23,23
7:42,2182,Miles Overton missed Jumper.,23,23
7:42,2520,Jimmie Taylor Defensive Rebound.,23,23
7:40,2520,Official TV Timeout,23,23
7:33,2520,Jimmie Taylor made Jumper.,23,25
7:16,2182,Sammy Mojica made Three Point Jumper.,26,25
6:57,2520,Xavier Lundy missed Layup.,26,25
6:57,2182,Tyshawn Myles Defensive Rebound.,26,25
6:44,2520,Foul on Stevie Jordan.,26,25
6:44,2182,Miles Overton missed Free Throw.,26,25
6:44,2182,Drexel Deadball Team Rebound.,26,25
6:44,2182,Miles Overton made Free Throw.,27,25
6:29,2520,Xavier Lundy missed Jumper.,27,25
6:29,2182,Jeremy Peck Defensive Rebound.,27,25
6:12,2182,Jeremy Peck made Three Point Jumper. Assisted by Miles Overton.,30,25
6:02,2520,Anthony Durham missed Jumper.,30,25
6:02,2182,Kurk Lee Defensive Rebound.,30,25
5:53,2182,Kurk Lee made Layup.,32,25
5:38,2520,Jimmie Taylor made Layup. Assisted by Stevie Jordan.,32,27
5:26,2182,Kurk Lee missed Jumper.,32,27
5:26,2520,Anthony Durham Defensive Rebound.,32,27
5:16,2520,Norville Carey made Jumper. Assisted by Jimmie Taylor.,32,29
5:00,2182,Miles Overton made Jumper.,34,29
4:46,2520,Stevie Jordan made Layup.,34,31
4:24,2182,Kurk Lee missed Jumper.,34,31
4:24,2182,Sammy Mojica Offensive Rebound.,34,31
4:23,2520,Foul on Anthony Durham.,34,31
4:10,2520,Foul on Xavier Lundy.,34,31
4:08,2182,Austin Williams missed Layup.,34,31
4:08,2520,Norville Carey Block.,34,31
4:06,2520,Stevie Jordan Defensive Rebound.,34,31
4:02,2520,Stevie Jordan Turnover.,34,31
4:02,2182,Jeremy Peck Steal.,34,31
3:52,2182,Miles Overton missed Jumper.,34,31
3:52,2182,Sammy Mojica Offensive Rebound.,34,31
3:50,2182,Sammy Mojica made Layup.,36,31
3:32,2520,Kealen Washington-Ives missed Three Point Jumper.,36,31
3:32,2182,Drexel Defensive Rebound.,36,31
3:28,2520,Official TV Timeout,36,31
3:12,2182,Rodney Williams made Layup. Assisted by Tyshawn Myles.,38,31
3:12,2182,Drexel  Timeout,38,31
2:49,2520,Stevie Jordan missed Three Point Jumper.,38,31
2:49,2520,Jimmie Taylor Offensive Rebound.,38,31
2:40,2520,Xavier Lundy made Layup. Assisted by Norville Carey.,38,33
2:24,2182,Miles Overton made Layup.,40,33
2:14,2520,Jimmie Taylor missed Three Point Jumper.,40,33
2:14,2182,Sammy Mojica Defensive Rebound.,40,33
2:00,2182,Kurk Lee missed Layup.,40,33
2:00,2182,Tyshawn Myles Offensive Rebound.,40,33
1:58,2182,Tyshawn Myles missed Layup.,40,33
1:58,2520,Xavier Lundy Block.,40,33
1:56,2520,Jimmie Taylor Defensive Rebound.,40,33
1:51,2520,Xavier Lundy made Three Point Jumper. Assisted by Stevie Jordan.,40,36
1:18,2182,Kurk Lee made Jumper.,42,36
0:55,2520,Xavier Lundy missed Three Point Jumper.,42,36
0:55,2182,Sammy Mojica Defensive Rebound.,42,36
0:38,2182,Kurk Lee missed Layup.,42,36
0:38,2520,Norville Carey Defensive Rebound.,42,36
0:31,2520,Stevie Jordan made Layup.,42,38
0:06,2182,Miles Overton made Three Point Jumper.,45,38
0:00,2520,Jimmie Taylor made Three Point Jumper. Assisted by Kealen Washington-Ives.,45,41
0:00,2520,End of 1st half,45,41
19:50,2182,Kari Jonsson missed Three Point Jumper.,45,41
19:50,2520,Jimmie Taylor Defensive Rebound.,45,41
19:31,2182,Foul on Kari Jonsson.,45,41
19:18,2520,Norville Carey made Jumper.,45,43
19:05,2182,Foul on Austin Williams.,45,43
19:05,2182,Austin Williams Turnover.,45,43
18:54,2520,Stevie Jordan made Jumper.,45,45
18:30,2182,Rodney Williams missed Layup.,45,45
18:30,2520,Norville Carey Defensive Rebound.,45,45
18:24,2520,Norville Carey Turnover.,45,45
18:12,2182,Kari Jonsson missed Three Point Jumper.,45,45
18:12,2182,Austin Williams Offensive Rebound.,45,45
18:01,2182,Austin Williams missed Layup.,45,45
18:01,2520,Jimmie Taylor Block.,45,45
18:00,2182,Kurk Lee Offensive Rebound.,45,45
17:47,2182,Sammy Mojica missed Layup.,45,45
17:47,2182,Rodney Williams Offensive Rebound.,45,45
17:45,2182,Rodney Williams made Dunk.,47,45
17:24,2520,Norville Carey made Layup. Assisted by Stevie Jordan.,47,47
17:24,2182,Foul on Rodney Williams.,47,47
17:24,2520,Norville Carey made Free Throw.,47,48
17:20,2182,Kari Jonsson Turnover.,47,48
17:19,2520,Stevie Jordan Steal.,47,48
17:17,2520,Stevie Jordan missed Layup.,47,48
17:17,2520,Jimmie Taylor Offensive Rebound.,47,48
17:15,2520,Jimmie Taylor made Two Point Tip Shot.,47,50
17:08,2520,Foul on Norville Carey.,47,50
16:54,2182,Austin Williams missed Layup.,47,50
16:54,2520,Xavier Lundy Defensive Rebound.,47,50
16:35,2520,Stevie Jordan Turnover.,47,50
16:34,2182,Kurk Lee Steal.,47,50
16:31,2182,Kurk Lee made Layup.,49,50
16:12,2520,Xavier Lundy made Layup. Assisted by Stevie Jordan.,49,52
15:57,2182,Kari Jonsson made Layup.,51,52
15:44,2520,Jimmie Taylor missed Three Point Jumper.,51,52
15:44,2520,Xavier Lundy Offensive Rebound.,51,52
15:40,2520,Xavier Lundy made Layup.,51,54
15:28,2182,Rodney Williams missed Layup.,51,54
15:28,2520,Kahlil Thomas Defensive Rebound.,51,54
15:20,2520,Xavier Lundy missed Three Point Jumper.,51,54
15:20,2182,Austin Williams Defensive Rebound.,51,54
15:11,2182,Sammy Mojica missed Layup.,51,54
15:11,2520,Kahlil Thomas Defensive Rebound.,51,54
15:02,2520,Stevie Jordan made Layup.,51,56
15:02,2182,Foul on Austin Williams.,51,56
15:02,2520,Official TV Timeout,51,56
15:02,2520,Stevie Jordan made Free Throw.,51,57
14:54,2182,Kurk Lee Turnover.,51,57
14:53,2520,Xavier Lundy Steal.,51,57
14:53,2520,Xavier Lundy missed Layup.,51,57
14:53,2520,Stevie Jordan Offensive Rebound.,51,57
14:51,2520,Stevie Jordan made Layup.,51,59
14:23,2182,Kurk Lee made Jumper. Assisted by Miles Overton.,53,59
13:57,2520,Tyere Marshall missed Layup.,53,59
13:57,2520,Kahlil Thomas Offensive Rebound.,53,59
13:57,2182,Foul on Tyshawn Myles.,53,59
13:57,2520,Kahlil Thomas made Free Throw.,53,60
13:57,2520,Kahlil Thomas made Free Throw.,53,61
13:45,2182,Foul on Jeremy Peck.,53,61
13:45,2182,Jeremy Peck Turnover.,53,61
13:33,2520,Kahlil Thomas missed Three Point Jumper.,53,61
13:33,2182,Sammy Mojica Defensive Rebound.,53,61
13:22,2182,Kurk Lee missed Jumper.,53,61
13:22,2520,Anthony Durham Defensive Rebound.,53,61
12:59,2520,Foul on Anthony Durham.,53,61
12:59,2520,Anthony Durham Turnover.,53,61
12:54,2520,Foul on Stevie Jordan.,53,61
12:44,2520,Foul on Tyere Marshall.,53,61
12:44,2182,Rodney Williams missed Free Throw.,53,61
12:44,2182,Drexel Deadball Team Rebound.,53,61
12:44,2182,Rodney Williams made Free Throw.,54,61
12:39,2520,Stevie Jordan made Layup.,54,63
12:14,2182,Rodney Williams made Dunk. Assisted by Kurk Lee.,56,63
11:55,2520,Jimmie Taylor missed Jumper.,56,63
11:55,2182,Kari Jonsson Defensive Rebound.,56,63
11:48,2182,Miles Overton made Jumper.,58,63
11:32,2520,Norville Carey missed Dunk.,58,63
11:32,2520,Norville Carey Offensive Rebound.,58,63
11:31,2182,Foul on Tyshawn Myles.,58,63
11:31,2520,Official TV Timeout,58,63
11:31,2520,Norville Carey made Free Throw.,58,64
11:31,2520,Norville Carey missed Free Throw.,58,64
11:31,2182,Austin Williams Defensive Rebound.,58,64
11:19,2182,Kurk Lee missed Layup.,58,64
11:19,2520,Kahlil Thomas Defensive Rebound.,58,64
10:49,2520,Kahlil Thomas missed Layup.,58,64
10:49,2182,Austin Williams Defensive Rebound.,58,64
10:23,2182,Rodney Williams Turnover.,58,64
10:22,2520,Kealen Washington-Ives Steal.,58,64
10:12,2520,Kahlil Thomas made Layup. Assisted by Kealen Washington-Ives.,58,66
10:02,2182,Rodney Williams missed Three Point Jumper.,58,66
10:02,2520,Norville Carey Defensive Rebound.,58,66
9:35,2182,Foul on Austin Williams.,58,66
9:35,2520,Norville Carey missed Free Throw.,58,66
9:35,2520,Rider Deadball Team Rebound.,58,66
9:35,2520,Norville Carey missed Free Throw.,58,66
9:35,2182,Tyshawn Myles Defensive Rebound.,58,66
9:20,2182,Miles Overton missed Three Point Jumper.,58,66
9:20,2182,Kari Jonsson Offensive Rebound.,58,66
9:13,2182,Kurk Lee missed Jumper.,58,66
9:13,2520,Rider Defensive Rebound.,58,66
8:50,2520,Norville Carey missed Layup.,58,66
8:50,2520,Kahlil Thomas Offensive Rebound.,58,66
8:49,2520,Kahlil Thomas missed Dunk.,58,66
8:49,2182,Kurk Lee Defensive Rebound.,58,66
8:32,2182,Miles Overton made Layup.,60,66
8:31,2182,Foul on Miles Overton.,60,66
8:31,2182,Technical Foul on Miles Overton.,60,66
8:31,2520,Kealen Washington-Ives made Free Throw.,60,67
8:31,2520,Kealen Washington-Ives made Free Throw.,60,68
8:13,2182,Foul on Kari Jonsson.,60,68
8:13,2520,Kealen Washington-Ives made Free Throw.,60,69
8:13,2520,Kealen Washington-Ives made Free Throw.,60,70
8:13,2182,Kari Jonsson Turnover.,60,70
8:12,2520,Kealen Washington-Ives Steal.,60,70
7:59,2520,Kealen Washington-Ives missed Three Point Jumper.,60,70
7:58,2520,Norville Carey Offensive Rebound.,60,70
7:54,2520,Norville Carey missed Layup.,60,70
7:54,2520,Stevie Jordan Offensive Rebound.,60,70
7:53,2520,Stevie Jordan made Layup.,60,72
7:41,2182,Rodney Williams made Layup. Assisted by Kari Jonsson.,62,72
7:41,2520,Foul on Norville Carey.,62,72
7:41,2520,Official TV Timeout,62,72
7:41,2182,Rodney Williams missed Free Throw.,62,72
7:41,2520,Kahlil Thomas Defensive Rebound.,62,72
7:22,2520,Stevie Jordan made Layup.,62,74
6:57,2182,Rodney Williams made Layup.,64,74
6:39,2520,Xavier Lundy Turnover.,64,74
6:33,2182,Sammy Mojica made Three Point Jumper. Assisted by Rodney Williams.,67,74
6:07,2182,Foul on Rodney Williams.,67,74
6:07,2520,Xavier Lundy missed Free Throw.,67,74
6:07,2520,Rider Deadball Team Rebound.,67,74
6:07,2520,Xavier Lundy made Free Throw.,67,75
5:48,2182,Sammy Mojica missed Three Point Jumper.,67,75
5:48,2520,Xavier Lundy Defensive Rebound.,67,75
5:46,2182,Foul on Austin Williams.,67,75
5:46,2520,Xavier Lundy made Free Throw.,67,76
5:46,2520,Xavier Lundy missed Free Throw.,67,76
5:46,2182,Kurk Lee Defensive Rebound.,67,76
5:36,2182,Kari Jonsson made Three Point Jumper. Assisted by Kurk Lee.,70,76
5:19,2520,Xavier Lundy Turnover.,70,76
5:17,2182,Sammy Mojica Steal.,70,76
5:10,2182,Sammy Mojica missed Layup.,70,76
5:10,2520,Norville Carey Defensive Rebound.,70,76
5:06,2520,Norville Carey Turnover.,70,76
5:06,2182,Sammy Mojica Steal.,70,76
5:06,2520,Rider  Timeout,70,76
5:06,2520,Official TV Timeout,70,76
4:59,2182,Kurk Lee made Layup.,72,76
4:34,2520,Xavier Lundy missed Three Point Jumper.,72,76
4:34,2520,Jimmie Taylor Offensive Rebound.,72,76
4:14,2520,Jimmie Taylor missed Three Point Jumper.,72,76
4:14,2182,Drexel Defensive Rebound.,72,76
3:59,2182,Rodney Williams missed Layup.,72,76
3:59,2182,Rodney Williams Offensive Rebound.,72,76
3:59,2520,Foul on Kahlil Thomas.,72,76
3:59,2520,Official TV Timeout,72,76
3:48,2182,Rodney Williams made Layup.,74,76
3:48,2520,Foul on Kahlil Thomas.,74,76
3:48,2182,Rodney Williams made Free Throw.,75,76
3:22,2520,Kahlil Thomas missed Layup.,75,76
3:22,2182,Kurk Lee Defensive Rebound.,75,76
3:12,2182,Kari Jonsson missed Three Point Jumper.,75,76
3:12,2520,Kahlil Thomas Defensive Rebound.,75,76
2:50,2520,Jimmie Taylor made Three Point Jumper. Assisted by Stevie Jordan.,75,79
2:40,2520,Foul on Kealen Washington-Ives.,75,79
2:40,2182,Kurk Lee made Free Throw.,76,79
2:40,2182,Kurk Lee made Free Throw.,77,79
2:28,2520,Kahlil Thomas Turnover.,77,79
2:27,2182,Sammy Mojica Steal.,77,79
2:20,2182,Kurk Lee made Layup.,79,79
1:58,2520,Stevie Jordan made Three Point Jumper. Assisted by Jimmie Taylor.,79,82
1:54,2520,Rider  Timeout,79,82
1:30,2182,Kari Jonsson missed Three Point Jumper.,79,82
1:30,2520,Norville Carey Defensive Rebound.,79,82
0:59,2520,Jimmie Taylor missed Layup.,79,82
0:59,2520,Kahlil Thomas Offensive Rebound.,79,82
0:58,2520,Kahlil Thomas made Dunk.,79,84
0:48,2182,Kari Jonsson Turnover.,79,84
0:48,2520,Norville Carey Steal.,79,84
0:44,2520,Stevie Jordan made Layup. Assisted by Norville Carey.,79,86
0:44,2182,Drexel  Timeout,79,86
0:37,2182,Kurk Lee missed Three Point Jumper.,79,86
0:37,2182,Tyshawn Myles Offensive Rebound.,79,86
0:33,2182,Tyshawn Myles missed Layup.,79,86
0:33,2182,Tyshawn Myles Offensive Rebound.,79,86
0:31,2520,Foul on Jimmie Taylor.,79,86
0:31,2182,Tyshawn Myles made Free Throw.,80,86
0:31,2182,Tyshawn Myles made Free Throw.,81,86
0:29,2182,Foul on Kurk Lee.,81,86
0:29,2520,Stevie Jordan made Free Throw.,81,87
0:29,2520,Stevie Jordan made Free Throw.,81,88
0:21,2520,Foul on Xavier Lundy.,81,88
0:21,2182,Rodney Williams made Free Throw.,82,88
0:21,2182,Rodney Williams missed Free Throw.,82,88
0:21,2520,Kahlil Thomas Defensive Rebound.,82,88
0:19,2182,Foul on John Moran.,82,88
0:19,2520,Kahlil Thomas missed Free Throw.,82,88
0:19,2520,Rider Deadball Team Rebound.,82,88
0:19,2520,Kahlil Thomas missed Free Throw.,82,88
0:19,2182,Rodney Williams Defensive Rebound.,82,88
0:10,2182,Sammy Mojica missed Three Point Jumper.,82,88
0:10,2520,Xavier Lundy Block.,82,88
0:09,2520,Kahlil Thomas Defensive Rebound.,82,88
0:09,2182,Foul on Sammy Mojica.,82,88
0:09,2520,Kahlil Thomas made Free Throw.,82,89
0:09,2520,Kahlil Thomas made Free Throw.,82,90
0:01,2182,John Moran Turnover.,82,90
0:00,2520,Xavier Lundy Steal.,82,90
0:00,2520,End of Game,82,90
