South Carolina State,2390,Miami,2569
12:57,2390,Ebuka Izundu made Jumper.,2,20
12:43,2569,Ozante Fields missed Jumper.,2,20
12:43,2390,Anthony Lawrence Jr. Defensive Rebound.,2,20
12:36,2390,Dejan Vasiljevic missed Three Point Jumper.,2,20
12:36,2390,Bruce Brown Offensive Rebound.,2,20
12:30,2390,Ebuka Izundu missed Jumper.,2,20
12:30,2390,Bruce Brown Offensive Rebound.,2,20
12:28,2390,Bruce Brown made Layup.,2,22
12:11,2569,James Richardson missed Layup.,2,22
12:11,2390,Ebuka Izundu Block.,2,22
12:09,2569,James Richardson Offensive Rebound.,2,22
12:09,2569,James Richardson Turnover.,2,22
11:55,2390,Ebuka Izundu Turnover.,2,22
11:54,2569,David Bottenberg Steal.,2,22
11:50,2569,Greg Mortimer made Jumper. Assisted by Eric Eaves.,4,22
11:32,2390,Anthony Lawrence Jr. missed Three Point Jumper.,4,22
11:32,2390,Dejan Vasiljevic Offensive Rebound.,4,22
11:18,2390,Anthony Lawrence Jr. missed Jumper.,4,22
11:18,2390,Ebuka Izundu Offensive Rebound.,4,22
11:04,2390,Dejan Vasiljevic missed Three Point Jumper.,4,22
11:04,2390,Anthony Lawrence Jr. Offensive Rebound.,4,22
10:49,2390,Kamari Murphy made Dunk. Assisted by Ja'Quan Newton.,4,24
10:13,2569,South Carolina St  Turnover.,4,24
10:09,2390,Official TV Timeout,4,24
9:54,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Ja'Quan Newton.,4,27
9:27,2569,Greg Mortimer Turnover.,4,27
9:12,2390,Ja'Quan Newton Turnover.,4,27
9:10,2569,Eric Eaves Steal.,4,27
9:07,2569,Tashombe Riley missed Jumper.,4,27
9:07,2390,Davon Reed Defensive Rebound.,4,27
8:55,2569,Foul on James Richardson.,4,27
8:38,2390,Ja'Quan Newton made Layup.,4,29
8:22,2569,Greg Mortimer missed Layup.,4,29
8:22,2569,Tashombe Riley Offensive Rebound.,4,29
8:18,2569,Tashombe Riley made Dunk.,6,29
7:55,2390,Bruce Brown missed Three Point Jumper.,6,29
7:55,2390,Kamari Murphy Offensive Rebound.,6,29
7:49,2390,Ja'Quan Newton made Three Point Jumper. Assisted by Bruce Brown.,6,32
7:34,2390,Foul on Dewan Huell.,6,32
7:34,2390,Official TV Timeout,6,32
7:17,2569,Janai Raynor Powell missed Jumper.,6,32
7:17,2390,Bruce Brown Defensive Rebound.,6,32
6:58,2390,Bruce Brown missed Jumper.,6,32
6:58,2390,Kamari Murphy Offensive Rebound.,6,32
6:55,2390,Ebuka Izundu made Dunk. Assisted by Bruce Brown.,6,34
6:31,2569,Eric Eaves made Three Point Jumper.,9,34
6:06,2390,Ebuka Izundu missed Jumper.,9,34
6:06,2390,Kamari Murphy Offensive Rebound.,9,34
6:05,2390,Kamari Murphy missed Free Throw.,9,34
6:05,2390,Miami Deadball Team Rebound.,9,34
6:05,2390,Kamari Murphy missed Free Throw.,9,34
6:05,2569,Eric Eaves Defensive Rebound.,9,34
6:05,2569,Foul on Tashombe Riley.,9,34
6:04,2569,Eric Eaves missed Jumper.,9,34
6:04,2390,Ebuka Izundu Block.,9,34
6:02,2390,Ebuka Izundu Defensive Rebound.,9,34
5:41,2390,Kamari Murphy made Layup. Assisted by Davon Reed.,9,36
5:30,2569,Damani Applewhite missed Jumper.,9,36
5:30,2390,Ebuka Izundu Block.,9,36
5:22,2569,South Carolina St Offensive Rebound.,9,36
4:59,2569,Ozante Fields Turnover.,9,36
4:57,2390,Bruce Brown Steal.,9,36
4:54,2390,Davon Reed Turnover.,9,36
4:37,2569,Eric Eaves Turnover.,9,36
4:36,2390,Davon Reed Steal.,9,36
4:36,2390,Davon Reed Turnover.,9,36
4:15,2569,Tashombe Riley made Jumper.,11,36
3:57,2569,Foul on Ozante Fields.,11,36
3:57,2390,Official TV Timeout,11,36
3:43,2390,Dejan Vasiljevic missed Three Point Jumper.,11,36
3:43,2569,Ozante Fields Defensive Rebound.,11,36
3:32,2569,Ozante Fields missed Jumper.,11,36
3:32,2390,Ja'Quan Newton Defensive Rebound.,11,36
3:07,2390,Davon Reed made Three Point Jumper.,11,39
2:52,2569,Ed Stephens made Three Point Jumper.,14,39
2:34,2390,Davon Reed Turnover.,14,39
2:11,2569,Ed Stephens missed Three Point Jumper.,14,39
2:11,2569,Tashombe Riley Offensive Rebound.,14,39
2:06,2569,Greg Mortimer missed Jumper.,14,39
2:06,2390,Bruce Brown Defensive Rebound.,14,39
1:53,2390,Dejan Vasiljevic missed Three Point Jumper.,14,39
1:53,2569,Tashombe Riley Defensive Rebound.,14,39
1:44,2390,Foul on Bruce Brown.,14,39
1:29,2390,Foul on Dejan Vasiljevic.,14,39
0:58,2569,South Carolina St  Turnover.,14,39
0:38,2390,Dejan Vasiljevic missed Layup.,14,39
0:38,2569,David Bottenberg Defensive Rebound.,14,39
0:30,2569,Janai Raynor Powell missed Layup.,14,39
0:30,2390,Rodney Miller Defensive Rebound.,14,39
0:00,2390,Anthony Lawrence Jr. made Three Point Jumper. Assisted by Bruce Brown.,14,42
0:00,2390,End of 1st half,14,42
19:47,2569,Foul on Tashombe Riley.,14,42
19:47,2390,Dewan Huell missed Free Throw.,14,42
19:47,2390,Miami Deadball Team Rebound.,14,42
19:47,2390,Dewan Huell made Free Throw.,14,43
19:24,2569,Eric Eaves made Layup.,16,43
19:00,2569,Foul on Ian Kinard.,16,43
18:44,2390,Ja'Quan Newton missed Three Point Jumper.,16,43
18:44,2390,Davon Reed Offensive Rebound.,16,43
18:39,2390,Davon Reed made Layup.,16,45
18:14,2569,Ian Kinard made Layup.,18,45
17:53,2390,Dewan Huell Turnover.,18,45
17:32,2569,Ed Stephens made Jumper.,20,45
17:10,2390,Dewan Huell made Dunk. Assisted by Ja'Quan Newton.,20,47
16:46,2569,Janai Raynor Powell Turnover.,20,47
16:45,2390,Dewan Huell Steal.,20,47
16:38,2390,Kamari Murphy made Jumper. Assisted by Davon Reed.,20,49
16:24,2569,Ian Kinard missed Three Point Jumper.,20,49
16:24,2390,Kamari Murphy Defensive Rebound.,20,49
16:14,2390,Ja'Quan Newton missed Layup.,20,49
16:14,2569,Eric Eaves Block.,20,49
16:12,2569,Janai Raynor Powell Defensive Rebound.,20,49
16:06,2569,Eric Eaves made Three Point Jumper. Assisted by Janai Raynor Powell.,23,49
15:47,2390,Ja'Quan Newton missed Jumper.,23,49
15:47,2569,Ian Kinard Defensive Rebound.,23,49
15:39,2569,Tashombe Riley missed Jumper.,23,49
15:39,2390,Kamari Murphy Defensive Rebound.,23,49
15:35,2569,Foul on Ian Kinard.,23,49
15:35,2390,Official TV Timeout,23,49
15:07,2390,Davon Reed made Three Point Jumper. Assisted by Dejan Vasiljevic.,23,52
14:58,2569,Ed Stephens missed Three Point Jumper.,23,52
14:58,2569,South Carolina St Offensive Rebound.,23,52
14:29,2569,Eric Eaves missed Three Point Jumper.,23,52
14:29,2390,Dejan Vasiljevic Defensive Rebound.,23,52
14:04,2390,Ebuka Izundu missed Jumper.,23,52
14:04,2569,Damani Applewhite Block.,23,52
14:02,2569,Tashombe Riley Defensive Rebound.,23,52
13:54,2569,Janai Raynor Powell made Three Point Jumper. Assisted by Ed Stephens.,26,52
13:26,2569,Foul on Tashombe Riley.,26,52
13:26,2390,Anthony Lawrence Jr. made Free Throw.,26,53
13:26,2390,Anthony Lawrence Jr. made Free Throw.,26,54
13:04,2569,James Richardson missed Three Point Jumper.,26,54
13:04,2390,Anthony Lawrence Jr. Defensive Rebound.,26,54
12:54,2569,Foul on Damani Applewhite.,26,54
12:54,2390,Ebuka Izundu made Free Throw.,26,55
12:54,2390,Ebuka Izundu missed Free Throw.,26,55
12:54,2569,Damani Applewhite Defensive Rebound.,26,55
12:25,2390,Foul on Anthony Lawrence Jr..,26,55
12:25,2569,Greg Mortimer made Free Throw.,27,55
12:25,2569,Greg Mortimer made Free Throw.,28,55
12:18,2390,Dejan Vasiljevic missed Three Point Jumper.,28,55
12:18,2390,Bruce Brown Offensive Rebound.,28,55
12:14,2390,Bruce Brown missed Jumper.,28,55
12:14,2569,Eric Eaves Defensive Rebound.,28,55
12:10,2390,Foul on Dejan Vasiljevic.,28,55
12:10,2569,Janai Raynor Powell missed Free Throw.,28,55
12:10,2569,South Carolina St Deadball Team Rebound.,28,55
12:10,2569,Janai Raynor Powell made Free Throw.,29,55
11:47,2390,Ebuka Izundu made Dunk. Assisted by Dejan Vasiljevic.,29,57
11:31,2569,Greg Mortimer missed Three Point Jumper.,29,57
11:31,2390,Bruce Brown Defensive Rebound.,29,57
11:13,2390,Anthony Lawrence Jr. missed Three Point Jumper.,29,57
11:13,2569,Greg Mortimer Defensive Rebound.,29,57
11:03,2569,James Richardson missed Jumper.,29,57
11:03,2390,Anthony Lawrence Jr. Defensive Rebound.,29,57
10:55,2390,Bruce Brown made Dunk. Assisted by Davon Reed.,29,59
10:34,2569,Eric Eaves made Jumper.,31,59
10:07,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Davon Reed.,31,62
9:58,2569,Eric Eaves Turnover.,31,62
9:57,2390,Davon Reed Steal.,31,62
9:53,2390,Bruce Brown made Layup. Assisted by Davon Reed.,31,64
9:42,2390,Foul on Bruce Brown.,31,64
9:42,2390,Official TV Timeout,31,64
9:31,2569,Tashombe Riley missed Jumper.,31,64
9:31,2390,Davon Reed Defensive Rebound.,31,64
9:11,2390,Davon Reed missed Three Point Jumper.,31,64
9:11,2569,Ed Stephens Defensive Rebound.,31,64
9:02,2390,Foul on Anthony Lawrence Jr..,31,64
9:02,2569,Greg Mortimer made Free Throw.,32,64
9:02,2569,Greg Mortimer made Free Throw.,33,64
8:46,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Bruce Brown.,33,67
8:28,2569,Ozante Fields missed Layup.,33,67
8:28,2390,Dewan Huell Block.,33,67
8:27,2390,Dewan Huell Defensive Rebound.,33,67
8:10,2390,Dejan Vasiljevic missed Three Point Jumper.,33,67
8:10,2390,Miami Offensive Rebound.,33,67
7:55,2390,Bruce Brown missed Three Point Jumper.,33,67
7:55,2569,James Richardson Defensive Rebound.,33,67
7:46,2569,Greg Mortimer made Jumper.,35,67
7:24,2390,Ja'Quan Newton made Jumper.,35,69
7:11,2569,Tashombe Riley made Layup. Assisted by James Richardson.,37,69
6:59,2390,Kamari Murphy Turnover.,37,69
6:58,2569,Greg Mortimer Steal.,37,69
6:52,2569,Tashombe Riley made Jumper. Assisted by Greg Mortimer.,39,69
6:44,2390,Miami  Timeout,39,69
6:44,2390,Official TV Timeout,39,69
6:34,2390,Davon Reed made Three Point Jumper. Assisted by Ja'Quan Newton.,39,72
6:17,2569,Tashombe Riley missed Jumper.,39,72
6:17,2390,Davon Reed Defensive Rebound.,39,72
6:09,2569,Foul on Greg Mortimer.,39,72
6:09,2390,Official TV Timeout,39,72
6:08,2390,Dewan Huell made Dunk. Assisted by Bruce Brown.,39,74
5:36,2569,James Richardson missed Jumper.,39,74
5:36,2569,Tashombe Riley Offensive Rebound.,39,74
5:33,2569,Tashombe Riley made Jumper.,41,74
5:11,2390,Bruce Brown missed Layup.,41,74
5:11,2569,Tashombe Riley Defensive Rebound.,41,74
4:41,2569,Greg Mortimer missed Layup.,41,74
4:41,2390,Dewan Huell Block.,41,74
4:36,2390,Dewan Huell Defensive Rebound.,41,74
4:34,2390,Bruce Brown made Dunk. Assisted by Ja'Quan Newton.,41,76
4:15,2569,James Richardson missed Jumper.,41,76
4:15,2569,Ozante Fields Offensive Rebound.,41,76
4:09,2569,Ed Stephens missed Three Point Jumper.,41,76
4:09,2569,South Carolina St Offensive Rebound.,41,76
4:08,2390,Foul on Bruce Brown.,41,76
4:08,2569,James Richardson made Free Throw.,42,76
4:08,2569,James Richardson missed Free Throw.,42,76
4:08,2390,Rodney Miller Defensive Rebound.,42,76
3:48,2390,Bruce Brown Turnover.,42,76
3:47,2569,Ian Kinard Steal.,42,76
3:44,2569,Ian Kinard missed Layup.,42,76
3:44,2569,Ian Kinard Offensive Rebound.,42,76
3:41,2569,Ian Kinard missed Layup.,42,76
3:41,2569,Ian Kinard Offensive Rebound.,42,76
3:38,2569,Ian Kinard missed Jumper.,42,76
3:38,2390,Dewan Huell Defensive Rebound.,42,76
3:14,2390,Bruce Brown Turnover.,42,76
3:13,2390,Dejan Vasiljevic made Free Throw.,42,77
3:13,2569,Foul on James Richardson.,42,76
3:13,2569,Greg Mortimer Steal.,42,76
3:13,2390,Foul on Dewan Huell.,42,76
3:13,2390,Official TV Timeout,42,76
3:13,2569,Technical Foul on James Richardson.,42,76
3:13,2390,Dejan Vasiljevic made Free Throw.,42,78
2:59,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Bruce Brown.,42,81
2:43,2569,Eric Eaves missed Jumper.,42,81
2:43,2390,Anthony Lawrence Jr. Defensive Rebound.,42,81
2:30,2390,Foul on Mike Robinson.,42,81
2:30,2390,Mike Robinson Turnover.,42,81
2:30,2569,Ed Stephens missed Jumper.,42,81
2:30,2390,Anthony Lawrence Jr. Defensive Rebound.,42,81
1:53,2390,Rodney Miller Turnover.,42,81
1:31,2569,Ed Stephens missed Layup.,42,81
1:31,2390,Anthony Lawrence Jr. Block.,42,81
1:30,2390,Chris Stowell Defensive Rebound.,42,81
1:24,2390,Mike Robinson missed Three Point Jumper.,42,81
1:24,2569,Greg Mortimer Defensive Rebound.,42,81
1:15,2569,Greg Mortimer missed Layup.,42,81
1:15,2569,Eric Eaves Offensive Rebound.,42,81
1:14,2569,Eric Eaves made Layup.,44,81
1:11,2569,Foul on David Bottenberg.,44,81
1:10,2390,Mike Robinson made Free Throw.,44,82
0:59,2390,Mike Robinson missed Free Throw.,44,82
0:51,2569,Ian Kinard Defensive Rebound.,44,82
0:50,2569,Ian Kinard missed Jumper.,44,82
0:50,2569,South Carolina St Offensive Rebound.,44,82
0:50,2569,Eric Eaves made Layup.,46,82
0:42,2390,Dejan Vasiljevic missed Jumper.,46,82
0:42,2390,Mike Robinson Offensive Rebound.,46,82
0:37,2390,Mike Robinson missed Jumper.,46,82
0:37,2569,South Carolina St Defensive Rebound.,46,82
0:02,2569,Eric Eaves missed Three Point Jumper.,46,82
0:02,2390,Chris Stowell Defensive Rebound.,46,82
0:00,2390,End of Game,46,82
