Duquesne,2523,Robert Morris,2184
14:13,2523,Clive Allen Block.,11,9
14:12,2523,Clive Allen Defensive Rebound.,11,9
14:08,2184,Foul on Mike Lewis II.,11,9
14:08,2523,Isaiah Still missed Free Throw.,11,9
14:08,2523,Robert Morris Deadball Team Rebound.,11,9
14:08,2523,Isaiah Still made Free Throw.,11,10
13:47,2184,Isiaha Mike missed Jumper.,11,10
13:47,2184,Nakye Sanders Offensive Rebound.,11,10
13:39,2184,Emile Blackman Turnover.,11,10
13:20,2523,Clive Allen made Three Point Jumper.,11,13
13:09,2184,Nakye Sanders made Layup.,13,13
13:09,2523,Foul on Braden Burke.,13,13
13:09,2184,Nakye Sanders missed Free Throw.,13,13
13:09,2184,Emile Blackman Offensive Rebound.,13,13
13:03,2184,Emile Blackman Turnover.,13,13
13:02,2523,Kavon Stewart Steal.,13,13
12:57,2523,Roberto Mantovani missed Jumper.,13,13
12:57,2523,Dachon Burke Offensive Rebound.,13,13
12:52,2184,Foul on Isiaha Mike.,13,13
12:45,2523,Kavon Stewart missed Jumper.,13,13
12:45,2184,Nakye Sanders Defensive Rebound.,13,13
12:37,2184,Mike Lewis II made Layup.,15,13
12:21,2184,Foul on Nakye Sanders.,15,13
12:20,2523,Aaron Tate Turnover.,15,13
12:05,2184,Mike Lewis II made Three Point Jumper. Assisted by Rene Castro.,18,13
11:34,2523,Kavon Stewart missed Jumper.,18,13
11:34,2184,Nakye Sanders Defensive Rebound.,18,13
11:24,2523,Foul on Dachon Burke.,18,13
11:24,2523,Official TV Timeout,18,13
11:24,2184,Mike Lewis II made Jumper. Assisted by Rene Castro.,20,13
11:11,2523,Dachon Burke made Layup.,20,15
10:35,2184,Mike Lewis II missed Three Point Jumper.,20,15
10:35,2523,Aaron Tate Defensive Rebound.,20,15
10:24,2523,Kavon Stewart made Layup.,20,17
10:08,2523,Foul on Roberto Mantovani.,20,17
10:04,2184,Tarin Smith missed Three Point Jumper.,20,17
10:04,2523,Matty McConnell Defensive Rebound.,20,17
9:58,2523,Matty McConnell missed Layup.,20,17
9:58,2184,Nakye Sanders Block.,20,17
9:57,2184,Nakye Sanders Defensive Rebound.,20,17
9:52,2184,Kale Abrahamson missed Layup.,20,17
9:52,2523,Aaron Tate Block.,20,17
9:51,2523,Matty McConnell Defensive Rebound.,20,17
9:45,2523,Billy Giles made Dunk. Assisted by Clive Allen.,20,19
9:26,2184,Tarin Smith missed Layup.,20,19
9:26,2523,Clive Allen Block.,20,19
9:25,2523,Matty McConnell Defensive Rebound.,20,19
9:21,2523,Matty McConnell missed Jumper.,20,19
9:21,2184,Nakye Sanders Defensive Rebound.,20,19
9:13,2184,Tarin Smith missed Layup.,20,19
9:13,2523,Clive Allen Defensive Rebound.,20,19
9:07,2523,Clive Allen Turnover.,20,19
9:06,2184,Rene Castro Steal.,20,19
9:00,2184,Tarin Smith missed Layup.,20,19
9:00,2523,Aaron Tate Defensive Rebound.,20,19
8:33,2523,Isaiah Still made Three Point Jumper. Assisted by Aaron Tate.,20,22
8:18,2184,Eric James made Layup.,22,22
7:51,2523,Aaron Tate made Layup. Assisted by Isaiah Still.,22,24
7:36,2184,Nakye Sanders made Layup.,24,24
7:33,2523,Foul on Billy Giles.,24,24
7:33,2523,Official TV Timeout,24,24
7:33,2184,Nakye Sanders missed Free Throw.,24,24
7:33,2523,Kavon Stewart Defensive Rebound.,24,24
7:17,2523,Braden Burke missed Layup.,24,24
7:17,2523,Dachon Burke Offensive Rebound.,24,24
7:09,2184,Foul on Tarin Smith.,24,24
7:09,2523,Billy Giles missed Free Throw.,24,24
7:09,2523,Robert Morris Deadball Team Rebound.,24,24
7:09,2523,Billy Giles missed Free Throw.,24,24
7:09,2523,Braden Burke Offensive Rebound.,24,24
7:04,2523,Billy Giles made Layup. Assisted by Braden Burke.,24,26
6:42,2184,Isiaha Mike Turnover.,24,26
6:33,2523,Clive Allen missed Three Point Jumper.,24,26
6:33,2184,Isiaha Mike Defensive Rebound.,24,26
6:21,2184,Darius Lewis Turnover.,24,26
5:57,2523,Kavon Stewart Turnover.,24,26
5:56,2184,Darius Lewis Steal.,24,26
5:55,2184,Darius Lewis Turnover.,24,26
5:54,2523,Dachon Burke Steal.,24,26
5:52,2523,Aaron Tate missed Dunk.,24,26
5:52,2184,Duquesne Defensive Rebound.,24,26
5:39,2184,Emile Blackman missed Three Point Jumper.,24,26
5:39,2523,Kavon Stewart Defensive Rebound.,24,26
5:31,2523,Clive Allen missed Three Point Jumper.,24,26
5:31,2184,Tarin Smith Defensive Rebound.,24,26
5:21,2184,Mike Lewis II missed Jumper.,24,26
5:21,2184,Nakye Sanders Offensive Rebound.,24,26
5:11,2184,Emile Blackman Turnover.,24,26
4:57,2523,Kavon Stewart missed Jumper.,24,26
4:57,2184,Emile Blackman Defensive Rebound.,24,26
4:52,2184,Tarin Smith made Layup. Assisted by Mike Lewis II.,26,26
4:52,2523,Foul on Braden Burke.,26,26
4:52,2184,Tarin Smith made Free Throw.,27,26
4:24,2523,Aaron Tate Turnover.,27,26
4:15,2184,Tarin Smith missed Layup.,27,26
4:15,2184,Nakye Sanders Offensive Rebound.,27,26
4:12,2184,Mike Lewis II missed Three Point Jumper.,27,26
4:12,2523,Clive Allen Defensive Rebound.,27,26
3:43,2523,Kavon Stewart made Jumper. Assisted by Isaiah Still.,27,28
3:35,2523,Foul on Isaiah Still.,27,28
3:35,2523,Official TV Timeout,27,28
3:35,2184,Emile Blackman made Free Throw.,28,28
3:35,2184,Emile Blackman made Free Throw.,29,28
3:19,2523,Dachon Burke missed Layup.,29,28
3:19,2184,Isiaha Mike Block.,29,28
3:17,2523,Billy Giles Offensive Rebound.,29,28
3:17,2523,Billy Giles made Layup.,29,30
3:17,2184,Foul on Mike Lewis II.,29,30
3:17,2523,Billy Giles missed Free Throw.,29,30
3:17,2184,Tarin Smith Defensive Rebound.,29,30
2:53,2184,Emile Blackman missed Three Point Jumper.,29,30
2:53,2523,Braden Burke Defensive Rebound.,29,30
2:38,2523,Isaiah Still missed Layup.,29,30
2:38,2184,Nakye Sanders Block.,29,30
2:36,2523,Isaiah Still Offensive Rebound.,29,30
2:30,2523,Isaiah Still made Layup.,29,32
2:17,2184,Tarin Smith made Jumper. Assisted by Isiaha Mike.,31,32
2:03,2523,Dachon Burke Turnover.,31,32
2:02,2184,Tarin Smith Steal.,31,32
2:00,2184,Tarin Smith missed Layup.,31,32
2:00,2523,Dachon Burke Block.,31,32
2:00,2184,Duquesne Offensive Rebound.,31,32
1:59,2184,Isiaha Mike missed Three Point Jumper.,31,32
1:59,2523,Isaiah Still Defensive Rebound.,31,32
1:49,2523,Isaiah Still missed Layup.,31,32
1:49,2184,Isiaha Mike Defensive Rebound.,31,32
1:39,2184,Emile Blackman missed Layup.,31,32
1:39,2184,Nakye Sanders Offensive Rebound.,31,32
1:37,2184,Nakye Sanders made Layup.,33,32
1:13,2184,Foul on Tarin Smith.,33,32
1:13,2523,Isaiah Still made Free Throw.,33,33
1:13,2523,Isaiah Still made Free Throw.,33,34
1:02,2184,Rene Castro missed Three Point Jumper.,33,34
1:02,2523,Dachon Burke Defensive Rebound.,33,34
1:00,2523,Robert Morris  Timeout,33,34
1:00,2184,Foul on Emile Blackman.,33,34
1:00,2523,Billy Giles missed Free Throw.,33,34
1:00,2184,Nakye Sanders Defensive Rebound.,33,34
0:43,2184,Isiaha Mike missed Jumper.,33,34
0:43,2523,Robert Morris Defensive Rebound.,33,34
0:40,2184,Foul on Emile Blackman.,33,34
0:40,2523,Dachon Burke made Free Throw.,33,35
0:40,2523,Dachon Burke missed Free Throw.,33,35
0:40,2184,Eric James Defensive Rebound.,33,35
0:32,2184,Duquesne  Timeout,33,35
0:17,2184,Isiaha Mike Turnover.,33,35
0:03,2523,Isaiah Still made Layup.,33,37
0:00,2523,End of 1st half,33,37
19:49,2523,Foul on Roberto Mantovani.,33,37
19:48,2184,Mike Lewis II missed Jumper.,33,37
19:48,2523,Isaiah Still Defensive Rebound.,33,37
19:27,2523,Isaiah Still made Three Point Jumper. Assisted by Matty McConnell.,33,40
19:08,2184,Mike Lewis II missed Jumper.,33,40
19:08,2523,Matty McConnell Defensive Rebound.,33,40
18:59,2523,Matty McConnell missed Three Point Jumper.,33,40
18:59,2523,Kavon Stewart Offensive Rebound.,33,40
18:27,2523,Matty McConnell made Jumper.,33,42
18:12,2184,Tarin Smith missed Three Point Jumper.,33,42
18:12,2523,Matty McConnell Defensive Rebound.,33,42
18:03,2523,Matty McConnell missed Three Point Jumper.,33,42
18:03,2184,Mike Lewis II Defensive Rebound.,33,42
17:57,2523,Foul on Matty McConnell.,33,42
17:57,2184,Mike Lewis II made Free Throw.,34,42
17:57,2184,Mike Lewis II made Free Throw.,35,42
17:35,2523,Matty McConnell missed Three Point Jumper.,35,42
17:35,2184,Tarin Smith Defensive Rebound.,35,42
17:15,2184,Emile Blackman Turnover.,35,42
17:14,2523,Matty McConnell Steal.,35,42
17:11,2523,Matty McConnell missed Layup.,35,42
17:11,2184,Isiaha Mike Defensive Rebound.,35,42
17:04,2184,Tarin Smith missed Layup.,35,42
17:04,2184,Nakye Sanders Offensive Rebound.,35,42
17:01,2184,Nakye Sanders made Layup.,37,42
17:01,2523,Foul on Braden Burke.,37,42
17:01,2184,Nakye Sanders missed Free Throw.,37,42
17:01,2523,Kavon Stewart Defensive Rebound.,37,42
16:58,2184,Foul on Isiaha Mike.,37,42
16:44,2184,Foul on Nakye Sanders.,37,42
16:44,2523,Kavon Stewart missed Free Throw.,37,42
16:44,2523,Robert Morris Deadball Team Rebound.,37,42
16:44,2523,Kavon Stewart missed Free Throw.,37,42
16:44,2184,Isiaha Mike Defensive Rebound.,37,42
16:31,2523,Foul on Braden Burke.,37,42
16:23,2184,Emile Blackman made Layup.,39,42
16:04,2523,Dachon Burke missed Layup.,39,42
16:04,2184,Nakye Sanders Block.,39,42
16:03,2184,Emile Blackman Defensive Rebound.,39,42
16:00,2184,Emile Blackman missed Layup.,39,42
16:00,2184,Duquesne Offensive Rebound.,39,42
15:57,2523,Official TV Timeout,39,42
15:49,2184,Isiaha Mike missed Layup.,39,42
15:49,2184,Nakye Sanders Offensive Rebound.,39,42
15:45,2523,Foul on Dachon Burke.,39,42
15:43,2523,Foul on Clive Allen.,39,42
15:42,2184,Isiaha Mike missed Jumper.,39,42
15:42,2184,Isiaha Mike Offensive Rebound.,39,42
15:35,2184,Emile Blackman made Three Point Jumper. Assisted by Nakye Sanders.,42,42
15:16,2523,Clive Allen made Jumper.,42,44
14:58,2184,Nakye Sanders made Layup. Assisted by Isiaha Mike.,44,44
14:36,2523,Dachon Burke missed Layup.,44,44
14:36,2184,Nakye Sanders Defensive Rebound.,44,44
14:18,2184,Darius Lewis Turnover.,44,44
13:55,2523,Clive Allen missed Three Point Jumper.,44,44
13:55,2523,Roberto Mantovani Offensive Rebound.,44,44
13:48,2523,Roberto Mantovani Turnover.,44,44
13:28,2184,Isiaha Mike Turnover.,44,44
13:28,2184,Foul on Isiaha Mike.,44,44
13:06,2523,Clive Allen Turnover.,44,44
12:50,2184,Jordan Robinson missed Jumper.,44,44
12:50,2184,Emile Blackman Offensive Rebound.,44,44
12:43,2184,Isiaha Mike missed Three Point Jumper.,44,44
12:43,2184,Jordan Robinson Offensive Rebound.,44,44
12:40,2523,Foul on Roberto Mantovani.,44,44
12:40,2184,Jordan Robinson missed Free Throw.,44,44
12:40,2523,Isaiah Still Defensive Rebound.,44,44
12:25,2184,Foul on Jordan Robinson.,44,44
12:14,2523,Matty McConnell made Jumper.,44,46
11:55,2184,Mike Lewis II Turnover.,44,46
11:53,2523,Matty McConnell Steal.,44,46
11:39,2523,Aaron Tate Turnover.,44,46
11:39,2523,Foul on Aaron Tate.,44,46
11:39,2523,Official TV Timeout,44,46
11:19,2184,Mike Lewis II Turnover.,44,46
11:01,2523,Kavon Stewart Turnover.,44,46
11:00,2184,Emile Blackman Steal.,44,46
10:52,2184,Tarin Smith made Layup. Assisted by Isiaha Mike.,46,46
10:30,2523,Kavon Stewart missed Three Point Jumper.,46,46
10:30,2523,Matty McConnell Offensive Rebound.,46,46
10:25,2523,Isaiah Still Turnover.,46,46
10:25,2523,Foul on Isaiah Still.,46,46
10:06,2523,Foul on Billy Giles.,46,46
10:06,2184,Nakye Sanders missed Free Throw.,46,46
10:06,2184,Duquesne Deadball Team Rebound.,46,46
10:06,2184,Nakye Sanders missed Free Throw.,46,46
10:06,2523,Billy Giles Defensive Rebound.,46,46
9:47,2523,Matty McConnell missed Layup.,46,46
9:47,2184,Nakye Sanders Block.,46,46
9:45,2184,Isiaha Mike Defensive Rebound.,46,46
9:42,2184,Isiaha Mike Turnover.,46,46
9:40,2523,Billy Giles Steal.,46,46
9:29,2184,Foul on Eric James.,46,46
9:13,2523,Clive Allen made Layup.,46,48
8:57,2523,Foul on Isaiah Still.,46,48
8:57,2184,Rene Castro made Free Throw.,47,48
8:57,2184,Rene Castro missed Free Throw.,47,48
8:57,2184,Rene Castro Offensive Rebound.,47,48
8:41,2184,Emile Blackman missed Layup.,47,48
8:41,2523,Clive Allen Block.,47,48
8:39,2523,Robert Morris Defensive Rebound.,47,48
8:21,2523,Kavon Stewart made Layup.,47,50
7:57,2184,Tarin Smith missed Jumper.,47,50
7:57,2184,Nakye Sanders Offensive Rebound.,47,50
7:46,2184,Isiaha Mike made Three Point Jumper. Assisted by Tarin Smith.,50,50
7:18,2523,Kavon Stewart missed Jumper.,50,50
7:18,2184,Duquesne Defensive Rebound.,50,50
7:14,2523,Official TV Timeout,50,50
6:52,2184,Emile Blackman Turnover.,50,50
6:52,2184,Foul on Emile Blackman.,50,50
6:38,2523,Isaiah Still missed Jumper.,50,50
6:38,2184,Nakye Sanders Defensive Rebound.,50,50
6:35,2523,Foul on Aaron Tate.,50,50
6:35,2184,Nakye Sanders missed Free Throw.,50,50
6:35,2184,Duquesne Deadball Team Rebound.,50,50
6:35,2184,Nakye Sanders made Free Throw.,51,50
6:12,2523,Kavon Stewart made Jumper.,51,52
5:52,2184,Rene Castro Turnover.,51,52
5:51,2523,Kavon Stewart Steal.,51,52
5:38,2523,Isaiah Still missed Layup.,51,52
5:38,2184,Nakye Sanders Block.,51,52
5:36,2523,Clive Allen Offensive Rebound.,51,52
5:29,2523,Isaiah Still made Three Point Jumper. Assisted by Clive Allen.,51,55
5:10,2184,Kale Abrahamson missed Three Point Jumper.,51,55
5:10,2523,Robert Morris Defensive Rebound.,51,55
4:48,2523,Matty McConnell missed Three Point Jumper.,51,55
4:48,2184,Duquesne Defensive Rebound.,51,55
4:13,2523,Foul on Matty McConnell.,51,55
4:13,2184,Tarin Smith made Free Throw.,52,55
4:13,2184,Tarin Smith missed Free Throw.,52,55
4:13,2523,Billy Giles Defensive Rebound.,52,55
3:43,2523,Billy Giles missed Layup.,52,55
3:43,2184,Tarin Smith Defensive Rebound.,52,55
3:32,2184,Mike Lewis II made Three Point Jumper. Assisted by Emile Blackman.,55,55
3:31,2184,Duquesne  Timeout,55,55
3:12,2523,Isaiah Still missed Jumper.,55,55
3:12,2184,Nakye Sanders Defensive Rebound.,55,55
2:54,2184,Emile Blackman Turnover.,55,55
2:52,2523,Billy Giles Steal.,55,55
2:34,2523,Clive Allen missed Jumper.,55,55
2:34,2184,Mike Lewis II Defensive Rebound.,55,55
2:10,2184,Mike Lewis II missed Layup.,55,55
2:10,2523,Billy Giles Block.,55,55
2:09,2184,Isiaha Mike Offensive Rebound.,55,55
2:07,2184,Isiaha Mike made Layup.,57,55
1:56,2523,Robert Morris  Timeout,57,55
1:43,2184,Foul on Nakye Sanders.,57,55
1:43,2523,Isaiah Still made Free Throw.,57,56
1:43,2523,Isaiah Still missed Free Throw.,57,56
1:43,2184,Nakye Sanders Defensive Rebound.,57,56
1:15,2184,Mike Lewis II missed Three Point Jumper.,57,56
1:15,2523,Billy Giles Defensive Rebound.,57,56
0:55,2523,Kavon Stewart made Layup.,57,58
0:55,2184,Foul on Isiaha Mike.,57,58
0:55,2523,Kavon Stewart missed Free Throw.,57,58
0:55,2184,Isiaha Mike Defensive Rebound.,57,58
0:36,2184,Duquesne  Timeout,57,58
0:30,2184,Mike Lewis II made Layup.,59,58
0:30,2184,Duquesne  Timeout,59,58
0:15,2523,Isaiah Still made Layup.,59,60
0:10,2184,Emile Blackman missed Layup.,59,60
0:10,2523,Isaiah Still Block.,59,60
0:08,2523,Clive Allen Defensive Rebound.,59,60
0:07,2184,Foul on Emile Blackman.,59,60
0:07,2523,Clive Allen made Free Throw.,59,61
0:07,2523,Clive Allen made Free Throw.,59,62
0:04,2523,Foul on Kavon Stewart.,59,62
0:04,2184,Mike Lewis II made Free Throw.,60,62
0:04,2523,Robert Morris  Timeout,60,62
0:03,2184,Foul on Tarin Smith.,60,62
0:03,2523,Clive Allen made Free Throw.,60,63
0:03,2523,Clive Allen made Free Throw.,60,64
0:00,2523,End of Game,60,64
