University of Great Falls,Error,Utah State,328
17:45,-1,Davone Oliver Jr. missed Three Point Jumper.,25,51
17:45,328,Shane Rector Defensive Rebound.,25,51
17:36,328,Shane Rector made Layup.,25,53
17:29,-1,Great Falls  Timeout,25,53
17:08,328,Foul on Alexis Dargenton.,25,53
17:08,-1,Andre Slavik missed Free Throw.,25,53
17:08,-1,Great Falls Deadball Team Rebound.,25,53
17:08,-1,Andre Slavik missed Free Throw.,25,53
17:08,328,Ngor Barnaba Defensive Rebound.,25,53
17:01,328,Koby McEwen Turnover.,25,53
17:01,-1,Andre Slavik Steal.,25,53
16:48,-1,Jared Schultz Turnover.,25,53
16:47,328,Shane Rector Steal.,25,53
16:44,328,Shane Rector made Layup.,25,55
16:11,-1,Andre Slavik missed Jumper.,25,55
16:11,328,Shane Rector Defensive Rebound.,25,55
16:01,328,Norbert Janicek made Layup. Assisted by Shane Rector.,25,57
15:53,-1,Davone Oliver Jr. missed Layup.,25,57
15:53,328,Jalen Moore Defensive Rebound.,25,57
15:47,328,Shane Rector made Layup.,25,59
15:44,-1,Great Falls  Timeout,25,59
15:44,328,Official TV Timeout,25,59
15:15,-1,Jared Schultz missed Three Point Jumper.,25,59
15:15,328,Koby McEwen Defensive Rebound.,25,59
15:10,328,Koby McEwen Turnover.,25,59
15:09,-1,Iain Carr Steal.,25,59
15:03,328,Foul on Quinn Taylor.,25,59
15:03,-1,Tymarieh Dixon made Free Throw.,26,59
15:03,-1,Tymarieh Dixon made Free Throw.,27,59
14:44,328,Koby McEwen made Layup. Assisted by Quinn Taylor.,27,61
14:28,-1,Matthew Brooks-McGregor missed Three Point Jumper.,27,61
14:28,328,Julion Pearre Defensive Rebound.,27,61
14:20,328,Julion Pearre made Jumper.,27,63
14:05,-1,Tymarieh Dixon missed Three Point Jumper.,27,63
14:05,328,Ngor Barnaba Defensive Rebound.,27,63
13:48,328,Koby McEwen Turnover.,27,63
13:46,-1,Jarred Burr Steal.,27,63
13:38,-1,Tymarieh Dixon missed Layup.,27,63
13:38,328,Ngor Barnaba Defensive Rebound.,27,63
13:16,328,Ngor Barnaba made Jumper. Assisted by Quinn Taylor.,27,65
12:53,-1,Matthew Brooks-McGregor made Layup. Assisted by Jarred Burr.,29,65
12:35,328,Julion Pearre Turnover.,29,65
12:35,-1,Matthew Brooks-McGregor Steal.,29,65
12:19,-1,Jarred Burr Turnover.,29,65
12:19,328,Quinn Taylor Steal.,29,65
12:01,328,Diogo Brito made Layup.,29,67
11:39,328,Foul on Shane Rector.,29,67
11:39,328,Official TV Timeout,29,67
11:19,-1,Treyvon Bashir made Jumper. Assisted by Jarred Burr.,31,67
11:15,328,Shane Rector Turnover.,31,67
11:15,328,Foul on Shane Rector.,31,67
11:01,-1,Matthew Brooks-McGregor missed Three Point Jumper.,31,67
11:01,328,Julion Pearre Defensive Rebound.,31,67
10:53,328,Diogo Brito missed Three Point Jumper.,31,67
10:53,328,Diogo Brito Offensive Rebound.,31,67
10:49,328,Julion Pearre missed Three Point Jumper.,31,67
10:49,-1,Treyvon Bashir Defensive Rebound.,31,67
10:17,-1,Treyvon Bashir Turnover.,31,67
10:17,328,Diogo Brito Steal.,31,67
10:13,-1,Foul on Franklin Gump.,31,67
10:13,328,Shane Rector missed Free Throw.,31,67
10:13,328,Utah State Deadball Team Rebound.,31,67
10:13,328,Shane Rector made Free Throw.,31,68
9:43,-1,Jarred Burr made Three Point Jumper. Assisted by Franklin Gump.,34,68
9:31,328,Julion Pearre made Layup.,34,70
9:03,-1,Andre Slavik made Jumper. Assisted by Jarred Burr.,36,70
8:56,328,Alexis Dargenton Turnover.,36,70
8:55,-1,Treyvon Bashir Steal.,36,70
8:50,-1,Jarred Burr missed Three Point Jumper.,36,70
8:50,328,Alexis Dargenton Defensive Rebound.,36,70
8:41,328,Jalen Moore made Jumper. Assisted by Julion Pearre.,36,72
8:15,-1,Andre Slavik missed Layup.,36,72
8:15,328,Norbert Janicek Defensive Rebound.,36,72
8:05,328,Shane Rector made Layup.,36,74
7:44,328,Foul on Norbert Janicek.,36,74
7:44,328,Official TV Timeout,36,74
7:37,-1,Tymarieh Dixon Turnover.,36,74
7:36,328,Abel Porter Steal.,36,74
7:33,-1,Foul on Jared Schultz.,36,74
7:33,328,Abel Porter made Free Throw.,36,75
7:33,328,Abel Porter missed Free Throw.,36,75
7:33,-1,Tymarieh Dixon Defensive Rebound.,36,75
7:32,328,Foul on Alexis Dargenton.,36,75
7:21,-1,Tymarieh Dixon missed Jumper.,36,75
7:21,328,Connor Garner Defensive Rebound.,36,75
7:04,328,Connor Garner made Three Point Jumper. Assisted by Abel Porter.,36,78
6:49,-1,Tymarieh Dixon made Layup.,38,78
6:31,-1,Foul on Sergio Berkley.,38,78
6:31,328,Alexis Dargenton made Free Throw.,38,79
6:31,328,Alexis Dargenton made Free Throw.,38,80
6:22,-1,Sergio Berkley missed Three Point Jumper.,38,80
6:22,-1,Tymarieh Dixon Offensive Rebound.,38,80
6:01,-1,Tymarieh Dixon made Layup. Assisted by Sergio Berkley.,40,80
5:45,328,Norbert Janicek missed Three Point Jumper.,40,80
5:45,328,Connor Garner Offensive Rebound.,40,80
5:42,328,Connor Garner Turnover.,40,80
5:35,328,Foul on Connor Garner.,40,80
5:35,-1,Tymarieh Dixon missed Free Throw.,40,80
5:35,-1,Great Falls Deadball Team Rebound.,40,80
5:35,-1,Tymarieh Dixon made Free Throw.,41,80
5:17,328,Diogo Brito missed Layup.,41,80
5:17,-1,Tymarieh Dixon Block.,41,80
5:15,-1,Jared Schultz Defensive Rebound.,41,80
5:09,-1,Davone Oliver Jr. missed Three Point Jumper.,41,80
5:09,328,Ngor Barnaba Defensive Rebound.,41,80
4:52,328,Abel Porter missed Three Point Jumper.,41,80
4:52,328,Connor Garner Offensive Rebound.,41,80
4:35,328,Quinn Taylor made Jumper. Assisted by Diogo Brito.,41,82
4:32,-1,Tymarieh Dixon Turnover.,41,82
4:31,328,Diogo Brito Steal.,41,82
4:24,328,Quinn Taylor missed Three Point Jumper.,41,82
4:24,-1,Tymarieh Dixon Defensive Rebound.,41,82
4:16,-1,Sergio Berkley made Layup. Assisted by Tymarieh Dixon.,43,82
4:05,328,Quinn Taylor missed Layup.,43,82
4:05,-1,Tymarieh Dixon Block.,43,82
4:04,-1,Matthew Brooks-McGregor Defensive Rebound.,43,82
4:01,328,Foul on Diogo Brito.,43,82
4:01,-1,Sergio Berkley made Free Throw.,44,82
4:01,-1,Sergio Berkley made Free Throw.,45,82
3:50,328,Quinn Taylor missed Jumper.,45,82
3:50,-1,Jarred Burr Defensive Rebound.,45,82
3:39,-1,Sergio Berkley missed Layup.,45,82
3:39,-1,Iain Carr Offensive Rebound.,45,82
3:35,-1,Treyvon Bashir missed Jumper.,45,82
3:35,328,Ngor Barnaba Defensive Rebound.,45,82
3:31,328,Official TV Timeout,45,82
3:16,328,Connor Garner missed Three Point Jumper.,45,82
3:16,-1,Great Falls Defensive Rebound.,45,82
3:02,328,Foul on Quinn Taylor.,45,82
3:02,-1,Andre Slavik missed Free Throw.,45,82
3:02,-1,Great Falls Deadball Team Rebound.,45,82
3:02,-1,Andre Slavik missed Free Throw.,45,82
3:02,-1,Franklin Gump Offensive Rebound.,45,82
2:59,-1,Franklin Gump made Jumper.,47,82
2:38,328,Diogo Brito missed Layup.,47,82
2:38,-1,Treyvon Bashir Defensive Rebound.,47,82
2:13,-1,Treyvon Bashir missed Three Point Jumper.,47,82
2:13,328,Diogo Brito Defensive Rebound.,47,82
2:07,328,Diogo Brito made Layup.,47,84
1:54,-1,Andre Slavik made Layup. Assisted by Jarred Burr.,49,84
1:32,328,Abel Porter missed Three Point Jumper.,49,84
1:32,-1,Great Falls Defensive Rebound.,49,84
1:12,-1,Iain Carr missed Layup.,49,84
1:12,-1,Andre Slavik Offensive Rebound.,49,84
1:09,-1,Andre Slavik made Two Point Tip Shot.,51,84
0:43,328,Quinn Taylor Turnover.,51,84
0:43,-1,Treyvon Bashir Steal.,51,84
0:31,-1,Franklin Gump missed Three Point Jumper.,51,84
0:31,-1,Jarred Burr Offensive Rebound.,51,84
0:24,-1,Franklin Gump missed Three Point Jumper.,51,84
0:24,328,Utah State Defensive Rebound.,51,84
0:00,328,End of Game,51,84
