UNC Asheville,2210,Elon,2427
13:09,2210,Dmitri Thompson Defensive Rebound.,10,6
12:44,2427,Foul on Alec Wnuk.,10,6
12:43,2210,Dainan Swoope missed Three Point Jumper.,10,6
12:43,2427,Will Weeks Defensive Rebound.,10,6
12:32,2427,Ahmad Thomas made Layup.,12,6
12:19,2427,Foul on David Robertson.,12,6
11:58,2210,Brian Dawkins missed Jumper.,12,6
11:58,2427,Will Weeks Defensive Rebound.,12,6
11:45,2427,Will Weeks Turnover.,12,6
11:45,2427,Foul on Will Weeks.,12,6
11:45,2210,Official TV Timeout,12,6
11:33,2427,Foul on Giacomo Zilli.,12,6
11:33,2210,Steven Santa Ana missed Free Throw.,12,6
11:33,2210,Elon Deadball Team Rebound.,12,6
11:33,2210,Steven Santa Ana made Free Throw.,12,7
11:18,2427,Ahmad Thomas made Jumper.,14,7
10:48,2210,Tyler Seibring Turnover.,14,7
10:48,2210,Foul on Tyler Seibring.,14,7
10:34,2427,Raekwon Miller missed Three Point Jumper.,14,7
10:34,2210,Steven Santa Ana Defensive Rebound.,14,7
10:22,2210,Luke Eddy Turnover.,14,7
10:21,2427,Raekwon Miller Steal.,14,7
10:10,2427,Raekwon Miller made Three Point Jumper. Assisted by Ahmad Thomas.,17,7
9:59,2427,Foul on Raekwon Miller.,17,7
9:59,2210,Tyler Seibring made Free Throw.,17,8
9:59,2210,Tyler Seibring made Free Throw.,17,9
9:38,2427,UNC Asheville  Timeout,17,9
9:32,2427,MaCio Teague missed Three Point Jumper.,17,9
9:32,2210,Luke Eddy Block.,17,9
9:30,2427,UNC Asheville Deadball Team Rebound.,17,9
9:29,2427,UNC Asheville  Turnover.,17,9
9:13,2210,Sheldon Eberhardt missed Three Point Jumper.,17,9
9:13,2427,Kevin Vannatta Defensive Rebound.,17,9
9:11,2210,Foul on Steven Santa Ana.,17,9
8:56,2427,Kevin Vannatta made Jumper.,19,9
8:38,2210,Tyler Seibring made Jumper. Assisted by Luke Eddy.,19,11
8:27,2427,Ahmad Thomas made Jumper.,21,11
8:19,2427,Foul on Ahmad Thomas.,21,11
8:19,2210,Luke Eddy made Free Throw.,21,12
8:19,2210,Luke Eddy made Free Throw.,21,13
7:57,2427,David Robertson made Three Point Jumper. Assisted by MaCio Teague.,24,13
7:28,2210,Karolis Kundrotas Turnover.,24,13
7:27,2427,Kevin Vannatta Steal.,24,13
7:17,2427,Ahmad Thomas Turnover.,24,13
7:17,2210,Official TV Timeout,24,13
6:55,2210,Brian Dawkins Turnover.,24,13
6:55,2427,Kevin Vannatta Steal.,24,13
6:45,2427,David Robertson missed Jumper.,24,13
6:45,2210,Brian Dawkins Defensive Rebound.,24,13
6:31,2210,Dmitri Thompson missed Jumper.,24,13
6:31,2427,Kevin Vannatta Defensive Rebound.,24,13
6:17,2427,Alec Wnuk missed Layup.,24,13
6:17,2210,Tyler Seibring Block.,24,13
6:16,2210,Tyler Seibring Defensive Rebound.,24,13
5:58,2210,Tyler Seibring made Jumper. Assisted by Sheldon Eberhardt.,24,15
5:42,2427,David Robertson made Layup.,26,15
5:28,2210,Brian Dawkins missed Three Point Jumper.,26,15
5:28,2210,Sheldon Eberhardt Offensive Rebound.,26,15
5:13,2210,Dainan Swoope made Three Point Jumper. Assisted by Dmitri Thompson.,26,18
5:12,2427,Foul on Kevin Vannatta.,26,18
5:12,2210,Dainan Swoope made Free Throw.,26,19
5:04,2427,Kevin Vannatta missed Jumper.,26,19
5:04,2210,Karolis Kundrotas Defensive Rebound.,26,19
4:43,2210,Karolis Kundrotas Turnover.,26,19
4:42,2427,Will Weeks Steal.,26,19
4:40,2427,MaCio Teague made Layup.,28,19
4:20,2210,Dmitri Thompson made Layup.,28,21
4:08,2427,MaCio Teague made Three Point Jumper. Assisted by Ahmad Thomas.,31,21
3:41,2210,Dainan Swoope missed Jumper.,31,21
3:41,2427,MaCio Teague Defensive Rebound.,31,21
3:32,2210,Foul on Dainan Swoope.,31,21
3:32,2210,Official TV Timeout,31,21
3:32,2427,Kevin Vannatta made Free Throw.,32,21
3:32,2427,Kevin Vannatta missed Free Throw.,32,21
3:32,2210,Brian Dawkins Defensive Rebound.,32,21
3:13,2210,Luke Eddy missed Three Point Jumper.,32,21
3:13,2427,MaCio Teague Defensive Rebound.,32,21
3:00,2427,Kevin Vannatta made Layup.,34,21
2:51,2210,Luke Eddy made Layup.,34,23
2:30,2427,Ahmad Thomas missed Three Point Jumper.,34,23
2:30,2210,Luke Eddy Defensive Rebound.,34,23
2:20,2210,Luke Eddy missed Jumper.,34,23
2:20,2210,Karolis Kundrotas Offensive Rebound.,34,23
2:16,2210,Karolis Kundrotas Turnover.,34,23
2:15,2427,Ahmad Thomas Steal.,34,23
1:48,2427,MaCio Teague made Jumper.,36,23
1:37,2210,Luke Eddy Turnover.,36,23
1:14,2427,David Robertson missed Layup.,36,23
1:14,2210,Tyler Seibring Block.,36,23
1:14,2427,UNC Asheville Offensive Rebound.,36,23
1:11,2427,Ahmad Thomas missed Jumper.,36,23
1:11,2210,Sheldon Eberhardt Defensive Rebound.,36,23
0:37,2210,Luke Eddy missed Three Point Jumper.,36,23
0:37,2427,Ahmad Thomas Defensive Rebound.,36,23
0:33,2210,Foul on Luke Eddy.,36,23
0:05,2210,Foul on Luke Eddy.,36,23
0:05,2427,MaCio Teague made Free Throw.,37,23
0:05,2427,MaCio Teague made Free Throw.,38,23
0:00,2210,End of 1st half,38,23
19:43,2427,Ahmad Thomas missed Jumper.,38,23
19:43,2210,Brian Dawkins Defensive Rebound.,38,23
19:27,2210,Brian Dawkins missed Jumper.,38,23
19:27,2427,Ahmad Thomas Defensive Rebound.,38,23
19:16,2427,Giacomo Zilli Turnover.,38,23
19:14,2210,Tyler Seibring Steal.,38,23
19:05,2210,Dmitri Thompson made Layup.,38,25
18:50,2427,Giacomo Zilli missed Jumper.,38,25
18:50,2210,Brian Dawkins Defensive Rebound.,38,25
18:41,2210,Dmitri Thompson missed Three Point Jumper.,38,25
18:41,2427,MaCio Teague Defensive Rebound.,38,25
18:22,2427,Kevin Vannatta missed Three Point Jumper.,38,25
18:22,2210,Luke Eddy Defensive Rebound.,38,25
18:12,2210,Tyler Seibring made Three Point Jumper. Assisted by Luke Eddy.,38,28
17:59,2427,UNC Asheville  Timeout,38,28
17:59,2210,Official TV Timeout,38,28
17:47,2427,Giacomo Zilli made Jumper.,40,28
17:28,2210,Tyler Seibring made Jumper. Assisted by Luke Eddy.,40,30
17:14,2427,Kevin Vannatta missed Layup.,40,30
17:14,2427,UNC Asheville Offensive Rebound.,40,30
16:56,2427,Ahmad Thomas missed Jumper.,40,30
16:56,2210,Tyler Seibring Defensive Rebound.,40,30
16:44,2210,Luke Eddy missed Jumper.,40,30
16:44,2210,Luke Eddy Offensive Rebound.,40,30
16:41,2210,Luke Eddy made Layup.,40,32
16:24,2427,Kevin Vannatta made Jumper.,42,32
16:12,2427,Foul on MaCio Teague.,42,32
16:12,2210,Tyler Seibring made Free Throw.,42,33
16:12,2210,Tyler Seibring missed Free Throw.,42,33
16:12,2427,Ahmad Thomas Defensive Rebound.,42,33
16:01,2427,MaCio Teague missed Three Point Jumper.,42,33
16:01,2210,Sheldon Eberhardt Defensive Rebound.,42,33
15:46,2210,Luke Eddy made Layup.,42,35
15:16,2427,Alec Wnuk missed Jumper.,42,35
15:16,2427,Kevin Vannatta Offensive Rebound.,42,35
15:13,2427,Kevin Vannatta made Layup.,44,35
15:03,2427,Foul on Kevin Vannatta.,44,35
15:03,2210,Official TV Timeout,44,35
15:00,2210,Steven Santa Ana made Layup. Assisted by Dainan Swoope.,44,37
14:49,2427,Ahmad Thomas missed Jumper.,44,37
14:49,2210,Tyler Seibring Defensive Rebound.,44,37
14:35,2427,Foul on Kevin Vannatta.,44,37
14:29,2210,Karolis Kundrotas Turnover.,44,37
14:08,2427,MaCio Teague missed Jumper.,44,37
14:08,2210,Sheldon Eberhardt Defensive Rebound.,44,37
13:42,2210,Steven Santa Ana made Three Point Jumper. Assisted by Brian Dawkins.,44,40
13:22,2210,Foul on Brian Dawkins.,44,40
13:22,2427,Will Weeks made Free Throw.,45,40
13:22,2427,Will Weeks missed Free Throw.,45,40
13:22,2210,Christian Hairston Defensive Rebound.,45,40
13:21,2427,Foul on Ahmad Thomas.,45,40
13:02,2210,Steven Santa Ana missed Three Point Jumper.,45,40
13:02,2427,MaCio Teague Defensive Rebound.,45,40
12:37,2427,Kevin Vannatta missed Jumper.,45,40
12:37,2210,Brian Dawkins Defensive Rebound.,45,40
12:24,2210,Dainan Swoope made Three Point Jumper. Assisted by Steven Santa Ana.,45,43
12:04,2427,Will Weeks made Layup. Assisted by Raekwon Miller.,47,43
12:04,2210,Foul on Dainan Swoope.,47,43
12:04,2427,Will Weeks missed Free Throw.,47,43
12:04,2210,Tyler Seibring Defensive Rebound.,47,43
11:46,2210,Dainan Swoope missed Three Point Jumper.,47,43
11:46,2427,Ahmad Thomas Defensive Rebound.,47,43
11:37,2427,Raekwon Miller missed Layup.,47,43
11:37,2210,Steven Santa Ana Defensive Rebound.,47,43
11:10,2210,Tyler Seibring missed Three Point Jumper.,47,43
11:10,2210,Tyler Seibring Offensive Rebound.,47,43
11:07,2210,Tyler Seibring made Layup.,47,45
10:47,2427,Kevin Vannatta made Jumper.,49,45
10:29,2210,Luke Eddy Turnover.,49,45
10:29,2427,MaCio Teague Steal.,49,45
10:29,2210,Foul on Luke Eddy.,49,45
10:29,2210,Official TV Timeout,49,45
10:15,2427,Kevin Vannatta made Jumper.,51,45
10:15,2210,Foul on Steven Santa Ana.,51,45
10:15,2427,Kevin Vannatta made Free Throw.,52,45
9:51,2210,Dmitri Thompson Turnover.,52,45
9:50,2427,Ahmad Thomas Steal.,52,45
9:46,2427,Raekwon Miller made Three Point Jumper. Assisted by Kevin Vannatta.,55,45
9:18,2210,Dainan Swoope missed Three Point Jumper.,55,45
9:18,2427,Kevin Vannatta Defensive Rebound.,55,45
9:10,2427,Raekwon Miller Turnover.,55,45
9:10,2427,Foul on Raekwon Miller.,55,45
8:56,2210,Sheldon Eberhardt missed Jumper.,55,45
8:56,2210,Brian Dawkins Offensive Rebound.,55,45
8:51,2210,Brian Dawkins Turnover.,55,45
8:50,2427,Will Weeks Steal.,55,45
8:27,2427,Ahmad Thomas made Jumper. Assisted by MaCio Teague.,57,45
8:19,2210,Elon  Timeout,57,45
8:19,2210,Official TV Timeout,57,45
8:05,2210,Karolis Kundrotas made Layup.,57,47
8:05,2427,Foul on Will Weeks.,57,47
8:05,2210,Karolis Kundrotas missed Free Throw.,57,47
8:05,2427,Will Weeks Defensive Rebound.,57,47
7:49,2427,Kevin Vannatta made Jumper.,59,47
7:40,2210,Dmitri Thompson made Layup.,59,49
7:40,2427,Foul on Alec Wnuk.,59,49
7:40,2210,Dmitri Thompson made Free Throw.,59,50
7:18,2427,MaCio Teague missed Jumper.,59,50
7:18,2427,Alec Wnuk Offensive Rebound.,59,50
7:14,2427,Alec Wnuk made Layup.,61,50
6:59,2427,Foul on Raekwon Miller.,61,50
6:59,2210,Sheldon Eberhardt made Free Throw.,61,51
6:59,2210,Sheldon Eberhardt missed Free Throw.,61,51
6:59,2210,Tyler Seibring Offensive Rebound.,61,51
6:55,2210,Tyler Seibring missed Three Point Jumper.,61,51
6:55,2427,MaCio Teague Defensive Rebound.,61,51
6:26,2427,MaCio Teague missed Jumper.,61,51
6:26,2427,Will Weeks Offensive Rebound.,61,51
6:05,2210,Foul on Sheldon Eberhardt.,61,51
5:56,2427,Ahmad Thomas made Jumper.,63,51
5:51,2427,Foul on Ahmad Thomas.,63,51
5:51,2210,Luke Eddy made Free Throw.,63,52
5:51,2210,Luke Eddy made Free Throw.,63,53
5:28,2427,Kevin Vannatta missed Three Point Jumper.,63,53
5:28,2210,Sheldon Eberhardt Defensive Rebound.,63,53
5:18,2210,Luke Eddy missed Three Point Jumper.,63,53
5:18,2427,Alec Wnuk Defensive Rebound.,63,53
4:50,2427,Alec Wnuk missed Jumper.,63,53
4:50,2210,Luke Eddy Defensive Rebound.,63,53
4:41,2210,Tyler Seibring made Three Point Jumper. Assisted by Luke Eddy.,63,56
4:38,2210,Elon  Timeout,63,56
4:17,2427,Kevin Vannatta missed Jumper.,63,56
4:17,2427,Alec Wnuk Offensive Rebound.,63,56
4:13,2210,Foul on Sheldon Eberhardt.,63,56
4:13,2427,Alec Wnuk made Free Throw.,64,56
4:13,2427,Alec Wnuk made Free Throw.,65,56
4:01,2210,Dmitri Thompson missed Layup.,65,56
4:01,2427,Will Weeks Block.,65,56
4:00,2210,Brian Dawkins Offensive Rebound.,65,56
4:00,2427,Foul on Will Weeks.,65,56
4:00,2210,Brian Dawkins missed Free Throw.,65,56
4:00,2210,Elon Deadball Team Rebound.,65,56
4:00,2210,Brian Dawkins made Free Throw.,65,57
3:39,2427,MaCio Teague made Layup.,67,57
3:25,2210,Steven Santa Ana missed Three Point Jumper.,67,57
3:25,2427,Raekwon Miller Defensive Rebound.,67,57
3:02,2210,Foul on Tyler Seibring.,67,57
3:02,2210,Official TV Timeout,67,57
3:02,2427,Will Weeks made Free Throw.,68,57
3:02,2427,Will Weeks made Free Throw.,69,57
2:50,2210,Steven Santa Ana made Jumper.,69,59
2:50,2427,Foul on Will Weeks.,69,59
2:50,2210,Steven Santa Ana missed Free Throw.,69,59
2:50,2427,Ahmad Thomas Defensive Rebound.,69,59
2:37,2210,Foul on Tyler Seibring.,69,59
2:37,2427,Will Weeks made Free Throw.,70,59
2:37,2427,Will Weeks missed Free Throw.,70,59
2:37,2210,Dmitri Thompson Defensive Rebound.,70,59
2:31,2427,Foul on Raekwon Miller.,70,59
2:31,2210,Luke Eddy made Free Throw.,70,60
2:31,2210,Luke Eddy made Free Throw.,70,61
2:22,2210,Foul on Dmitri Thompson.,70,61
2:22,2427,Will Weeks made Free Throw.,71,61
2:22,2427,Will Weeks made Free Throw.,72,61
2:18,2210,Steven Santa Ana missed Three Point Jumper.,72,61
2:18,2427,Kevin Vannatta Defensive Rebound.,72,61
1:49,2210,Foul on Dmitri Thompson.,72,61
1:49,2427,MaCio Teague made Free Throw.,73,61
1:49,2427,MaCio Teague made Free Throw.,74,61
1:49,2427,UNC Asheville  Timeout,74,61
1:39,2210,Tyler Seibring missed Three Point Jumper.,74,61
1:39,2210,Dainan Swoope Offensive Rebound.,74,61
1:36,2210,Luke Eddy missed Three Point Jumper.,74,61
1:36,2427,Will Weeks Defensive Rebound.,74,61
1:32,2210,Foul on Steven Santa Ana.,74,61
1:32,2427,Will Weeks made Free Throw.,75,61
1:32,2427,Will Weeks missed Free Throw.,75,61
1:32,2210,Brian Dawkins Defensive Rebound.,75,61
1:20,2210,Tyler Seibring made Layup. Assisted by Luke Eddy.,75,63
0:58,2210,Foul on Dainan Swoope.,75,63
0:58,2427,Alec Wnuk made Free Throw.,76,63
0:58,2427,Alec Wnuk missed Free Throw.,76,63
0:58,2210,Brian Dawkins Defensive Rebound.,76,63
0:44,2210,Tyler Seibring made Jumper. Assisted by Dainan Swoope.,76,65
0:44,2210,Elon  Timeout,76,65
0:40,2210,Foul on Dainan Swoope.,76,65
0:40,2427,Kevin Vannatta made Free Throw.,77,65
0:40,2427,Kevin Vannatta missed Free Throw.,77,65
0:40,2210,Dmitri Thompson Defensive Rebound.,77,65
0:31,2427,Foul on Will Weeks.,77,65
0:31,2210,Dainan Swoope made Free Throw.,77,66
0:31,2210,Dainan Swoope made Free Throw.,77,67
0:27,2427,MaCio Teague Turnover.,77,67
0:22,2210,Dainan Swoope missed Three Point Jumper.,77,67
0:22,2427,Alec Wnuk Defensive Rebound.,77,67
0:19,2210,Foul on Dmitri Thompson.,77,67
0:19,2427,Alec Wnuk missed Free Throw.,77,67
0:19,2427,UNC Asheville Deadball Team Rebound.,77,67
0:19,2427,Alec Wnuk made Free Throw.,78,67
0:12,2210,Collin Luther Turnover.,78,67
0:11,2427,Ahmad Thomas Steal.,78,67
0:00,2210,End of Game,78,67
