St. Bonaventure,2275,Hofstra,179
3:35,179,Matt Mobley Offensive Rebound.,37,34
3:32,179,Matt Mobley missed Jumper.,37,34
3:32,179,Denzel Gregg Offensive Rebound.,37,34
3:31,179,Denzel Gregg made Layup.,39,34
3:31,2275,Hofstra  Timeout,39,34
3:31,2275,Official TV Timeout,39,34
3:12,2275,Jamall Robinson missed Three Point Jumper.,39,34
3:12,179,Matt Mobley Defensive Rebound.,39,34
2:56,179,David Andoh made Jumper. Assisted by Jaylen Adams.,41,34
2:29,2275,Eli Pemberton missed Jumper.,41,34
2:29,2275,Hunter Sabety Offensive Rebound.,41,34
2:24,2275,Hunter Sabety missed Jumper.,41,34
2:24,179,Jaylen Adams Defensive Rebound.,41,34
2:07,179,Amadi Ikpeze missed Jumper.,41,34
2:07,2275,Hunter Sabety Block.,41,34
2:07,179,St. Bonaventure Offensive Rebound.,41,34
2:06,179,Denzel Gregg missed Dunk.,41,34
2:06,2275,Hunter Sabety Defensive Rebound.,41,34
2:00,2275,Deron Powers missed Layup.,41,34
2:00,179,Amadi Ikpeze Defensive Rebound.,41,34
1:38,179,Jaylen Adams made Three Point Jumper.,44,34
1:13,2275,Deron Powers Turnover.,44,34
1:11,179,Jaylen Adams Steal.,44,34
1:11,2275,Foul on Jamall Robinson.,44,34
1:11,179,Jaylen Adams made Free Throw.,45,34
1:11,179,Jaylen Adams made Free Throw.,46,34
0:55,2275,Brian Bernardi made Jumper.,46,36
0:52,179,St. Bonaventure  Timeout,46,36
0:40,179,Matt Mobley made Layup.,48,36
0:27,2275,Ty Greer missed Three Point Jumper.,48,36
0:27,179,St. Bonaventure Defensive Rebound.,48,36
0:03,179,Amadi Ikpeze Turnover.,48,36
0:02,2275,Ty Greer Turnover.,48,36
0:01,179,Jaylen Adams Steal.,48,36
0:01,179,Jaylen Adams missed Layup.,48,36
0:01,2275,Ty Greer Block.,48,36
0:01,179,Denzel Gregg Offensive Rebound.,48,36
0:01,179,Denzel Gregg Turnover.,48,36
0:00,2275,End of 1st half,48,36
19:44,179,Jaylen Adams Turnover.,48,36
19:44,2275,Brian Bernardi Steal.,48,36
19:35,2275,Eli Pemberton missed Three Point Jumper.,48,36
19:35,2275,Rokas Gustys Offensive Rebound.,48,36
19:32,179,Foul on Josh Ayeni.,48,36
19:32,179,Foul on Idris Taqqee.,48,36
19:20,2275,Rokas Gustys made Jumper.,48,38
18:57,179,Amadi Ikpeze missed Jumper.,48,38
18:57,2275,Rokas Gustys Defensive Rebound.,48,38
18:51,179,Foul on Jaylen Adams.,48,38
18:47,2275,Brian Bernardi missed Three Point Jumper.,48,38
18:47,179,Matt Mobley Defensive Rebound.,48,38
18:37,2275,Foul on Eli Pemberton.,48,38
18:24,179,Jaylen Adams made Three Point Jumper.,51,38
18:07,2275,Eli Pemberton made Layup. Assisted by Deron Powers.,51,40
17:54,179,Jaylen Adams missed Jumper.,51,40
17:54,2275,Rokas Gustys Defensive Rebound.,51,40
17:47,2275,Ty Greer made Layup. Assisted by Deron Powers.,51,42
17:29,179,Jaylen Adams missed Jumper.,51,42
17:29,2275,Deron Powers Defensive Rebound.,51,42
17:28,179,Foul on Denzel Gregg.,51,42
17:18,2275,Brian Bernardi missed Three Point Jumper.,51,42
17:18,179,Jaylen Adams Defensive Rebound.,51,42
17:08,179,Jaylen Adams missed Jumper.,51,42
17:08,2275,Ty Greer Defensive Rebound.,51,42
17:00,2275,Rokas Gustys made Dunk. Assisted by Ty Greer.,51,44
16:41,2275,Foul on Ty Greer.,51,44
16:41,179,Denzel Gregg missed Free Throw.,51,44
16:41,179,St. Bonaventure Deadball Team Rebound.,51,44
16:41,179,Denzel Gregg made Free Throw.,52,44
16:27,2275,Rokas Gustys made Layup. Assisted by Ty Greer.,52,46
16:11,179,Idris Taqqee Turnover.,52,46
16:10,2275,Rokas Gustys Steal.,52,46
16:04,179,Foul on Denzel Gregg.,52,46
16:04,2275,Eli Pemberton made Free Throw.,52,47
16:04,2275,Eli Pemberton made Free Throw.,52,48
15:45,179,Matt Mobley made Jumper.,54,48
15:31,2275,Rokas Gustys missed Jumper.,54,48
15:31,179,Jaylen Adams Block.,54,48
15:31,2275,Hofstra Offensive Rebound.,54,48
15:31,2275,Official TV Timeout,54,48
15:28,2275,Ty Greer made Three Point Jumper. Assisted by Deron Powers.,54,51
15:02,179,Matt Mobley Turnover.,54,51
15:01,2275,Rokas Gustys Steal.,54,51
14:58,2275,Ty Greer made Layup.,54,53
14:29,179,Jaylen Adams missed Jumper.,54,53
14:29,179,Amadi Ikpeze Offensive Rebound.,54,53
14:26,179,Amadi Ikpeze missed Layup.,54,53
14:26,2275,Ty Greer Defensive Rebound.,54,53
14:24,2275,Ty Greer Turnover.,54,53
14:17,179,Matt Mobley Turnover.,54,53
14:16,2275,Eli Pemberton Steal.,54,53
14:14,179,Foul on Matt Mobley.,54,53
14:14,2275,Eli Pemberton missed Free Throw.,54,53
14:14,2275,Hofstra Deadball Team Rebound.,54,53
14:14,2275,Eli Pemberton made Free Throw.,54,54
13:54,179,Jaylen Adams made Jumper.,56,54
13:35,179,Foul on Amadi Ikpeze.,56,54
13:35,2275,Deron Powers made Free Throw.,56,55
13:35,2275,Deron Powers made Free Throw.,56,56
13:17,179,Jaylen Adams missed Jumper.,56,56
13:17,179,Idris Taqqee Offensive Rebound.,56,56
13:12,179,Idris Taqqee missed Jumper.,56,56
13:12,2275,Ty Greer Defensive Rebound.,56,56
13:06,2275,Ty Greer missed Layup.,56,56
13:06,179,Matt Mobley Defensive Rebound.,56,56
12:58,179,Matt Mobley made Layup.,58,56
12:37,2275,Eli Pemberton missed Three Point Jumper.,58,56
12:37,179,Matt Mobley Defensive Rebound.,58,56
12:31,179,Matt Mobley missed Jumper.,58,56
12:31,2275,Hunter Sabety Defensive Rebound.,58,56
12:18,2275,Ty Greer missed Three Point Jumper.,58,56
12:18,179,St. Bonaventure Defensive Rebound.,58,56
12:03,2275,Foul on Hunter Sabety.,58,56
11:55,179,Matt Mobley missed Jumper.,58,56
11:55,2275,Jamall Robinson Defensive Rebound.,58,56
11:43,2275,Jamall Robinson made Three Point Jumper. Assisted by Deron Powers.,58,59
11:15,2275,Foul on Deron Powers.,58,59
11:15,2275,Technical Foul on Hofstra.,58,59
11:15,2275,Official TV Timeout,58,59
11:15,2275,Foul on Hofstra.,58,59
11:15,179,Jaylen Adams made Free Throw.,59,59
11:15,179,Jaylen Adams made Free Throw.,60,59
11:15,179,Jaylen Adams missed Free Throw.,60,59
11:15,179,St. Bonaventure Deadball Team Rebound.,60,59
11:15,179,Jaylen Adams made Free Throw.,61,59
11:03,2275,Justin Wright-Foreman missed Three Point Jumper.,61,59
11:03,179,Matt Mobley Defensive Rebound.,61,59
10:44,179,Jaylen Adams Turnover.,61,59
10:44,179,Foul on Jaylen Adams.,61,59
10:28,179,Foul on Josh Ayeni.,61,59
10:28,2275,Deron Powers missed Free Throw.,61,59
10:28,2275,Hofstra Deadball Team Rebound.,61,59
10:23,2275,Deron Powers made Free Throw.,61,60
10:18,179,Denzel Gregg missed Jumper.,61,60
10:18,2275,Brian Bernardi Defensive Rebound.,61,60
9:57,2275,Rokas Gustys made Dunk. Assisted by Deron Powers.,61,62
9:57,179,Foul on Matt Mobley.,61,62
9:57,2275,Rokas Gustys missed Free Throw.,61,62
9:57,179,Denzel Gregg Defensive Rebound.,61,62
9:40,179,Denzel Gregg Turnover.,61,62
9:38,2275,Rokas Gustys Steal.,61,62
9:29,2275,Deron Powers missed Jumper.,61,62
9:29,179,Matt Mobley Defensive Rebound.,61,62
9:23,179,Jaylen Adams Turnover.,61,62
9:21,2275,Deron Powers Steal.,61,62
9:18,2275,Deron Powers missed Layup.,61,62
9:17,179,Matt Mobley Block.,61,62
9:16,2275,Jamall Robinson Offensive Rebound.,61,62
9:14,2275,Jamall Robinson Turnover.,61,62
8:55,2275,Foul on Rokas Gustys.,61,62
8:55,179,Jaylen Adams made Free Throw.,62,62
8:55,179,Jaylen Adams made Free Throw.,63,62
8:46,2275,Eli Pemberton missed Jumper.,63,62
8:46,179,Jaylen Adams Defensive Rebound.,63,62
8:37,179,David Andoh missed Three Point Jumper.,63,62
8:37,179,Denzel Gregg Offensive Rebound.,63,62
8:30,179,Denzel Gregg Turnover.,63,62
8:30,179,Foul on Denzel Gregg.,63,62
8:04,179,Foul on Jaylen Adams.,63,62
8:04,2275,Eli Pemberton made Free Throw.,63,63
8:04,2275,Eli Pemberton made Free Throw.,63,64
7:37,179,Amadi Ikpeze missed Jumper.,63,64
7:37,2275,Brian Bernardi Defensive Rebound.,63,64
7:21,2275,Rokas Gustys made Jumper. Assisted by Justin Wright-Foreman.,63,66
7:15,2275,Foul on Eli Pemberton.,63,66
7:15,2275,Official TV Timeout,63,66
7:15,179,Matt Mobley made Free Throw.,64,66
7:15,179,Matt Mobley made Free Throw.,65,66
6:47,2275,Rokas Gustys missed Jumper.,65,66
6:47,2275,Rokas Gustys Offensive Rebound.,65,66
6:44,2275,Rokas Gustys made Two Point Tip Shot.,65,68
6:26,179,Matt Mobley made Three Point Jumper. Assisted by Idris Taqqee.,68,68
6:06,2275,Brian Bernardi made Jumper. Assisted by Ty Greer.,68,70
5:47,179,Matt Mobley Turnover.,68,70
5:27,2275,Deron Powers missed Jumper.,68,70
5:26,179,Matt Mobley Block.,68,70
5:25,2275,Justin Wright-Foreman Offensive Rebound.,68,70
5:19,2275,Brian Bernardi missed Jumper.,68,70
5:19,2275,Ty Greer Offensive Rebound.,68,70
5:15,2275,Ty Greer made Two Point Tip Shot.,68,72
5:15,2275,Hofstra  Timeout,68,72
5:02,179,Denzel Gregg missed Jumper.,68,72
5:02,2275,Ty Greer Defensive Rebound.,68,72
4:45,2275,Ty Greer Turnover.,68,72
4:43,2275,Foul on Deron Powers.,68,72
4:43,179,Jaylen Adams made Free Throw.,69,72
4:43,179,Jaylen Adams made Free Throw.,70,72
4:29,2275,Brian Bernardi missed Three Point Jumper.,70,72
4:29,179,Jaylen Adams Defensive Rebound.,70,72
4:06,179,Matt Mobley made Three Point Jumper. Assisted by Jaylen Adams.,73,72
3:39,2275,Ty Greer Turnover.,73,72
3:37,179,Idris Taqqee Steal.,73,72
3:18,179,Jaylen Adams missed Three Point Jumper.,73,72
3:18,179,David Andoh Offensive Rebound.,73,72
3:16,2275,Foul on Ty Greer.,73,72
3:16,2275,Official TV Timeout,73,72
3:16,179,Idris Taqqee made Free Throw.,74,72
3:16,179,Idris Taqqee made Free Throw.,75,72
3:00,2275,Deron Powers missed Three Point Jumper.,75,72
3:00,179,Matt Mobley Defensive Rebound.,75,72
2:40,179,Jaylen Adams made Jumper.,77,72
2:25,2275,Brian Bernardi made Three Point Jumper. Assisted by Jamall Robinson.,77,75
2:08,2275,Foul on Eli Pemberton.,77,75
2:08,179,Jaylen Adams made Free Throw.,78,75
2:08,179,Jaylen Adams made Free Throw.,79,75
1:56,2275,Deron Powers missed Layup.,79,75
1:56,179,Matt Mobley Defensive Rebound.,79,75
1:40,2275,Foul on Eli Pemberton.,79,75
1:40,179,Matt Mobley made Free Throw.,80,75
1:40,179,Matt Mobley made Free Throw.,81,75
1:24,2275,Eli Pemberton missed Jumper.,81,75
1:24,179,Matt Mobley Defensive Rebound.,81,75
1:21,2275,Foul on Rokas Gustys.,81,75
1:21,179,Matt Mobley missed Free Throw.,81,75
1:21,179,St. Bonaventure Deadball Team Rebound.,81,75
1:21,179,Matt Mobley missed Free Throw.,81,75
1:21,2275,Rokas Gustys Defensive Rebound.,81,75
1:08,2275,Deron Powers missed Jumper.,81,75
1:08,179,David Andoh Defensive Rebound.,81,75
1:07,2275,Foul on Rokas Gustys.,81,75
1:07,179,David Andoh missed Free Throw.,81,75
1:07,179,St. Bonaventure Deadball Team Rebound.,81,75
1:07,179,David Andoh missed Free Throw.,81,75
1:07,2275,Rokas Gustys Defensive Rebound.,81,75
0:55,2275,Brian Bernardi missed Three Point Jumper.,81,75
0:55,2275,Jamall Robinson Offensive Rebound.,81,75
0:48,2275,Eli Pemberton missed Three Point Jumper.,81,75
0:48,179,Idris Taqqee Block.,81,75
0:46,2275,Rokas Gustys Offensive Rebound.,81,75
0:46,179,Foul on David Andoh.,81,75
0:46,2275,Rokas Gustys missed Free Throw.,81,75
0:46,2275,Hofstra Deadball Team Rebound.,81,75
0:46,2275,Rokas Gustys missed Free Throw.,81,75
0:46,179,Matt Mobley Defensive Rebound.,81,75
0:37,179,St. Bonaventure  Timeout,81,75
0:31,179,St. Bonaventure  Timeout,81,75
0:15,179,St. Bonaventure  Turnover.,81,75
0:12,2275,Ty Greer missed Three Point Jumper.,81,75
0:12,2275,Jamall Robinson Offensive Rebound.,81,75
0:00,2275,Jamall Robinson missed Three Point Jumper.,81,75
0:00,2275,Hofstra Deadball Team Rebound.,81,75
0:00,2275,End of Game,81,75
