NJIT,135,Minnesota,2885
2:57,135,Eric Curry Defensive Rebound.,31,28
2:33,135,Akeem Springs made Layup.,31,30
2:11,2885,Osa Izevbuwa made Layup. Assisted by Tim Coleman.,33,30
1:58,2885,Foul on Taj Price.,33,30
1:58,135,Dupree McBrayer made Free Throw.,33,31
1:58,135,Dupree McBrayer made Free Throw.,33,32
1:39,135,Foul on Michael Hurt.,33,32
1:39,2885,Rob Ukawuba made Free Throw.,34,32
1:39,2885,Rob Ukawuba made Free Throw.,35,32
1:29,135,Akeem Springs missed Three Point Jumper.,35,32
1:28,135,Eric Curry Offensive Rebound.,35,32
1:28,2885,Foul on Taj Price.,35,32
1:28,135,Eric Curry made Free Throw.,35,33
1:28,135,Eric Curry made Free Throw.,35,34
1:14,2885,Osa Izevbuwa missed Three Point Jumper.,35,34
1:11,135,Akeem Springs Defensive Rebound.,35,34
0:59,135,Eric Curry missed Jumper.,35,34
0:58,2885,NJIT Defensive Rebound.,35,34
0:36,2885,Abdul Lewis missed Layup.,35,34
0:34,2885,Abdul Lewis Offensive Rebound.,35,34
0:34,2885,Abdul Lewis missed Jumper.,35,34
0:32,135,Akeem Springs Defensive Rebound.,35,34
0:28,135,Nate Mason made Three Point Jumper.,35,37
0:26,2885,NJIT  Timeout,35,37
0:02,2885,Tim Coleman missed Jumper.,35,37
0:01,135,Akeem Springs Defensive Rebound.,35,37
0:00,135,End of 1st half,35,37
19:50,135,Nate Mason missed Jumper.,35,37
19:47,2885,Abdul Lewis Defensive Rebound.,35,37
19:35,2885,Abdul Lewis Turnover.,35,37
19:21,135,Nate Mason made Jumper.,35,39
18:51,2885,Rob Ukawuba made Layup.,37,39
18:37,2885,Foul on Osa Izevbuwa.,37,39
18:32,135,Reggie Lynch missed Layup.,37,39
18:29,2885,Abdul Lewis Defensive Rebound.,37,39
18:23,2885,Rob Ukawuba made Three Point Jumper. Assisted by Damon Lynn.,40,39
18:03,135,Amir Coffey missed Jumper.,40,39
18:01,2885,Abdul Lewis Defensive Rebound.,40,39
17:58,2885,Damon Lynn missed Three Point Jumper.,40,39
17:54,135,Amir Coffey Defensive Rebound.,40,39
17:43,135,Dupree McBrayer Turnover.,40,39
17:43,2885,Osa Izevbuwa Steal.,40,39
17:27,2885,Tim Coleman Turnover.,40,39
17:12,135,Nate Mason made Three Point Jumper.,40,42
16:40,2885,Damon Lynn missed Three Point Jumper.,40,42
16:38,2885,Rob Ukawuba Offensive Rebound.,40,42
16:38,135,Foul on Jordan Murphy.,40,42
16:38,2885,Rob Ukawuba missed Free Throw.,40,42
16:38,2885,NJIT Deadball Team Rebound.,40,42
16:38,2885,Rob Ukawuba made Free Throw.,41,42
16:29,2885,Foul on Rob Ukawuba.,41,42
16:26,2885,Foul on Anthony Tarke.,41,42
16:26,135,Reggie Lynch missed Free Throw.,41,42
16:26,135,Minnesota Deadball Team Rebound.,41,42
16:26,135,Reggie Lynch missed Free Throw.,41,42
16:26,2885,Abdul Lewis Defensive Rebound.,41,42
15:59,2885,Damon Lynn made Three Point Jumper.,44,42
15:43,135,Reggie Lynch made Jumper. Assisted by Akeem Springs.,44,44
15:28,2885,Anthony Tarke made Three Point Jumper. Assisted by Damon Lynn.,47,44
15:14,135,Amir Coffey missed Three Point Jumper.,47,44
15:11,135,Amir Coffey Offensive Rebound.,47,44
15:07,135,Official TV Timeout,47,44
15:07,2885,Foul on Abdul Lewis.,47,44
15:07,135,Amir Coffey made Free Throw.,47,45
15:07,135,Amir Coffey made Free Throw.,47,46
14:47,2885,Anthony Tarke missed Jumper.,47,46
14:47,135,Reggie Lynch Block.,47,46
14:44,135,Amir Coffey Defensive Rebound.,47,46
14:27,135,Akeem Springs missed Three Point Jumper.,47,46
14:23,2885,Anthony Tarke Defensive Rebound.,47,46
14:05,2885,Abdul Lewis Turnover.,47,46
13:47,135,Reggie Lynch missed Jumper.,47,46
13:46,2885,NJIT Defensive Rebound.,47,46
13:31,2885,Tim Coleman missed Layup.,47,46
13:29,135,Bakary Konate Defensive Rebound.,47,46
13:18,135,Akeem Springs made Layup. Assisted by Dupree McBrayer.,47,48
12:59,2885,Abdul Lewis missed Jumper.,47,48
12:56,135,Bakary Konate Defensive Rebound.,47,48
12:46,135,Akeem Springs made Three Point Jumper. Assisted by Nate Mason.,47,51
12:25,2885,Rob Ukawuba made Three Point Jumper. Assisted by Tim Coleman.,50,51
12:25,2885,NJIT  Timeout,50,51
12:25,135,Official TV Timeout,50,51
12:12,135,Foul on Bakary Konate.,50,51
12:12,135,Bakary Konate Turnover.,50,51
11:59,2885,Damon Lynn missed Jumper.,50,51
11:58,135,Bakary Konate Block.,50,51
11:58,2885,NJIT Offensive Rebound.,50,51
11:58,135,Official TV Timeout,50,51
11:58,2885,Anthony Tarke made Layup. Assisted by Damon Lynn.,52,51
11:58,135,Foul on Akeem Springs.,52,51
11:58,2885,Anthony Tarke missed Free Throw.,52,51
11:58,135,Reggie Lynch Defensive Rebound.,52,51
11:45,2885,Foul on Anthony Tarke.,52,51
11:32,135,Nate Mason Turnover.,52,51
11:09,2885,Damon Lynn missed Three Point Jumper.,52,51
11:08,135,Minnesota Defensive Rebound.,52,51
10:47,135,Jordan Murphy missed Jumper.,52,51
10:46,2885,Mohamed Bendary Defensive Rebound.,52,51
10:26,2885,Damon Lynn missed Three Point Jumper.,52,51
10:23,135,Reggie Lynch Defensive Rebound.,52,51
10:14,135,Nate Mason missed Jumper.,52,51
10:13,2885,Tim Coleman Defensive Rebound.,52,51
10:13,135,Foul on Jordan Murphy.,52,51
10:00,135,Foul on Eric Curry.,52,51
9:50,2885,Mohamed Bendary made Layup. Assisted by Tim Coleman.,54,51
9:40,2885,Foul on Anthony Tarke.,54,51
9:40,135,Minnesota  Timeout,54,51
9:36,2885,Foul on Mohamed Bendary.,54,51
9:36,135,Amir Coffey made Free Throw.,54,52
9:36,135,Amir Coffey made Free Throw.,54,53
9:14,2885,Tim Coleman missed Jumper.,54,53
9:11,135,Akeem Springs Defensive Rebound.,54,53
9:11,2885,Foul on Abdul Lewis.,54,53
9:11,135,Akeem Springs made Free Throw.,54,54
9:11,135,Akeem Springs made Free Throw.,54,55
8:51,2885,Anthony Tarke made Three Point Jumper. Assisted by Mohamed Bendary.,57,55
8:35,135,Akeem Springs made Three Point Jumper. Assisted by Dupree McBrayer.,57,58
8:16,2885,Damon Lynn made Jumper.,59,58
7:58,135,Akeem Springs missed Three Point Jumper.,59,58
7:55,2885,Tim Coleman Defensive Rebound.,59,58
7:40,2885,Anthony Tarke missed Jumper.,59,58
7:40,135,Reggie Lynch Block.,59,58
7:37,2885,Anthony Tarke Offensive Rebound.,59,58
7:30,2885,Damon Lynn missed Three Point Jumper.,59,58
7:27,135,Dupree McBrayer Defensive Rebound.,59,58
7:19,135,Dupree McBrayer Turnover.,59,58
7:19,2885,Tim Coleman Steal.,59,58
7:15,2885,Tim Coleman made Layup.,61,58
6:57,135,Nate Mason made Three Point Jumper.,61,61
6:34,2885,Damon Lynn missed Jumper.,61,61
6:34,135,Reggie Lynch Block.,61,61
6:31,135,Nate Mason Defensive Rebound.,61,61
6:26,135,Reggie Lynch made Dunk. Assisted by Nate Mason.,61,63
6:00,2885,Chris Jenkins missed Three Point Jumper.,61,63
5:57,2885,Mohamed Bendary Offensive Rebound.,61,63
5:56,2885,Anthony Tarke missed Three Point Jumper.,61,63
5:54,135,Reggie Lynch Defensive Rebound.,61,63
5:52,135,Official TV Timeout,61,63
5:52,2885,Foul on Anthony Tarke.,61,63
5:52,135,Amir Coffey made Free Throw.,61,64
5:52,135,Amir Coffey made Free Throw.,61,65
5:20,2885,Damon Lynn missed Three Point Jumper.,61,65
5:18,135,Amir Coffey Defensive Rebound.,61,65
4:54,135,Amir Coffey missed Layup.,61,65
4:54,2885,NJIT Defensive Rebound.,61,65
4:30,2885,Damon Lynn made Layup.,63,65
4:15,135,Akeem Springs missed Three Point Jumper.,63,65
4:13,2885,Anthony Tarke Defensive Rebound.,63,65
4:10,135,Foul on Amir Coffey.,63,65
3:58,2885,Damon Lynn missed Three Point Jumper.,63,65
3:55,2885,NJIT Offensive Rebound.,63,65
3:55,135,Official TV Timeout,63,65
3:48,135,Foul on Jordan Murphy.,63,65
3:48,2885,Rob Ukawuba missed Free Throw.,63,65
3:48,135,Akeem Springs Defensive Rebound.,63,65
3:48,2885,Foul on Tim Coleman.,63,65
3:48,135,Minnesota Deadball Team Rebound.,63,65
3:48,135,Akeem Springs missed Free Throw.,63,65
3:48,135,Akeem Springs made Free Throw.,63,66
3:32,2885,Osa Izevbuwa missed Jumper.,63,66
3:30,135,Dupree McBrayer Defensive Rebound.,63,66
3:08,135,Reggie Lynch missed Jumper.,63,66
3:06,2885,Damon Lynn Defensive Rebound.,63,66
2:53,135,Foul on Reggie Lynch.,63,66
2:53,2885,Tim Coleman made Free Throw.,64,66
2:53,2885,Tim Coleman made Free Throw.,65,66
2:44,2885,Foul on Tim Coleman.,65,66
2:44,135,Minnesota Deadball Team Rebound.,65,66
2:44,135,Amir Coffey missed Free Throw.,65,66
2:44,135,Amir Coffey made Free Throw.,65,67
2:19,2885,Damon Lynn missed Three Point Jumper.,65,67
2:17,135,Akeem Springs Defensive Rebound.,65,67
2:02,135,Nate Mason missed Jumper.,65,67
1:59,2885,Abdul Lewis Defensive Rebound.,65,67
1:48,2885,Chris Jenkins missed Three Point Jumper.,65,67
1:45,135,Amir Coffey Defensive Rebound.,65,67
1:19,135,Nate Mason made Jumper.,65,69
1:18,2885,NJIT  Timeout,65,69
0:57,2885,Chris Jenkins missed Three Point Jumper.,65,69
0:55,135,Dupree McBrayer Defensive Rebound.,65,69
0:38,2885,Foul on Tim Coleman.,65,69
0:38,135,Dupree McBrayer made Free Throw.,65,70
0:38,135,Dupree McBrayer made Free Throw.,65,71
0:31,2885,Chris Jenkins missed Three Point Jumper.,65,71
0:30,135,Reggie Lynch Defensive Rebound.,65,71
0:30,2885,Foul on Abdul Lewis.,65,71
0:30,135,Minnesota Deadball Team Rebound.,65,71
0:30,135,Reggie Lynch missed Free Throw.,65,71
0:30,135,Reggie Lynch made Free Throw.,65,72
0:22,2885,Damon Lynn missed Three Point Jumper.,65,72
0:21,135,Amir Coffey Defensive Rebound.,65,72
0:21,2885,Foul on Tim Coleman.,65,72
0:21,135,Amir Coffey made Free Throw.,65,73
0:21,135,Amir Coffey made Free Throw.,65,74
0:13,2885,Rob Ukawuba missed Layup.,65,74
0:13,135,Reggie Lynch Block.,65,74
0:12,2885,NJIT Offensive Rebound.,65,74
0:09,2885,Osa Izevbuwa made Three Point Jumper.,68,74
0:08,2885,NJIT  Timeout,68,74
0:00,135,End of Game,68,74
