Bowling Green,339,Evansville,189
5:12,189,Wes Alcegaire Block.,23,28
5:11,339,Evansville Offensive Rebound.,23,28
5:10,339,Christian Benzon missed Layup.,23,28
5:10,189,Demajeo Wiggins Defensive Rebound.,23,28
5:06,339,Foul on Dru Smith.,23,28
5:06,189,Ismail Ali missed Free Throw.,23,28
5:06,339,Willie Wiley Defensive Rebound.,23,28
4:49,189,Foul on Dylan Frye.,23,28
4:49,339,Jaylon Brown made Free Throw.,23,29
4:49,339,Jaylon Brown made Free Throw.,23,30
4:33,189,Wes Alcegaire missed Jumper.,23,30
4:33,189,Demajeo Wiggins Offensive Rebound.,23,30
4:29,339,Foul on Dru Smith.,23,30
4:29,189,Demajeo Wiggins missed Free Throw.,23,30
4:29,189,Bowling Green Deadball Team Rebound.,23,30
4:29,189,Demajeo Wiggins missed Free Throw.,23,30
4:29,339,Willie Wiley Defensive Rebound.,23,30
4:00,339,Christian Benzon made Layup.,23,32
3:34,189,Wes Alcegaire made Layup.,25,32
3:08,339,Jaylon Brown made Layup.,25,34
2:42,189,Ismail Ali Turnover.,25,34
2:40,339,Official TV Timeout,25,34
2:23,339,Jaiveon Eaves missed Three Point Jumper.,25,34
2:23,189,Demajeo Wiggins Defensive Rebound.,25,34
2:13,189,Demajeo Wiggins Turnover.,25,34
2:12,339,David Howard Steal.,25,34
2:09,339,Jaylon Brown Turnover.,25,34
2:08,189,Ismail Ali Steal.,25,34
2:02,189,Foul on Antwon Lillard.,25,34
2:02,189,Antwon Lillard Turnover.,25,34
1:35,189,Foul on Ismail Ali.,25,34
1:35,339,Jaylon Brown made Free Throw.,25,35
1:35,339,Jaylon Brown made Free Throw.,25,36
1:06,189,Zack Denny made Jumper.,27,36
0:47,339,Willie Wiley missed Jumper.,27,36
0:47,189,Zack Denny Defensive Rebound.,27,36
0:38,339,Foul on David Howard.,27,36
0:38,189,Zack Denny made Free Throw.,28,36
0:38,189,Zack Denny made Free Throw.,29,36
0:14,339,Jaylon Brown missed Jumper.,29,36
0:14,339,Jaylon Brown Offensive Rebound.,29,36
0:10,339,Jaylon Brown made Jumper.,29,38
0:04,189,Rodrick Caldwell missed Three Point Jumper.,29,38
0:04,339,Christian Benzon Defensive Rebound.,29,38
0:00,339,End of 1st half,29,38
19:49,339,Foul on David Howard.,29,38
19:49,189,Demajeo Wiggins missed Free Throw.,29,38
19:49,189,Bowling Green Deadball Team Rebound.,29,38
19:49,189,Demajeo Wiggins made Free Throw.,30,38
19:38,339,Jaylon Brown missed Jumper.,30,38
19:38,189,Zack Denny Block.,30,38
19:36,189,Demajeo Wiggins Defensive Rebound.,30,38
19:35,189,Demajeo Wiggins Turnover.,30,38
19:35,339,Duane Gibson Steal.,30,38
19:35,189,Foul on Ismail Ali.,30,38
19:21,339,Duane Gibson missed Layup.,30,38
19:21,189,Ismail Ali Defensive Rebound.,30,38
19:20,339,Foul on Duane Gibson.,30,38
19:09,189,Zack Denny made Three Point Jumper. Assisted by Ismail Ali.,33,38
18:50,339,Ryan Taylor missed Jumper.,33,38
18:50,189,Demajeo Wiggins Defensive Rebound.,33,38
18:37,339,Foul on Ryan Taylor.,33,38
18:36,189,Zack Denny missed Jumper.,33,38
18:36,339,Jaylon Brown Defensive Rebound.,33,38
18:25,339,Dru Smith made Layup.,33,40
18:13,189,Demajeo Wiggins made Layup. Assisted by Ismail Ali.,35,40
18:13,339,Foul on Jaylon Brown.,35,40
18:13,189,Demajeo Wiggins made Free Throw.,36,40
17:45,339,Jaylon Brown missed Jumper.,36,40
17:45,189,Antwon Lillard Defensive Rebound.,36,40
17:38,339,Foul on Willie Wiley.,36,40
17:36,189,Wes Alcegaire missed Jumper.,36,40
17:36,339,Willie Wiley Block.,36,40
17:34,189,Bowling Green Offensive Rebound.,36,40
17:24,189,Wes Alcegaire made Jumper. Assisted by Zack Denny.,38,40
16:52,339,Jaylon Brown missed Layup.,38,40
16:52,189,Bowling Green Defensive Rebound.,38,40
16:35,339,Foul on Dru Smith.,38,40
16:24,189,Zack Denny made Jumper.,40,40
16:14,339,Evansville  Timeout,40,40
15:56,189,Foul on Wes Alcegaire.,40,40
15:56,339,Official TV Timeout,40,40
15:56,339,Christian Benzon made Free Throw.,40,41
15:56,339,Christian Benzon missed Free Throw.,40,41
15:56,339,Willie Wiley Offensive Rebound.,40,41
15:50,339,Jaiveon Eaves missed Jumper.,40,41
15:50,189,Bowling Green Defensive Rebound.,40,41
15:27,189,Antwon Lillard Turnover.,40,41
15:25,339,Willie Wiley Steal.,40,41
15:12,339,Christian Benzon made Layup.,40,43
14:48,189,Wes Alcegaire made Layup.,42,43
14:31,339,David Howard made Layup. Assisted by Christian Benzon.,42,45
14:06,339,Foul on Jaylon Brown.,42,45
14:06,189,Ismail Ali made Free Throw.,43,45
14:06,189,Ismail Ali missed Free Throw.,43,45
14:06,339,Willie Wiley Defensive Rebound.,43,45
13:50,339,Christian Benzon missed Layup.,43,45
13:50,189,Wes Alcegaire Defensive Rebound.,43,45
13:45,189,Ismail Ali Turnover.,43,45
13:43,339,Christian Benzon Steal.,43,45
13:43,189,Foul on Ismail Ali.,43,45
13:34,339,Willie Wiley made Jumper. Assisted by Jaylon Brown.,43,47
13:09,189,Dylan Frye missed Three Point Jumper.,43,47
13:09,339,Evansville Defensive Rebound.,43,47
12:58,189,Foul on Rodrick Caldwell.,43,47
12:34,339,Jaiveon Eaves missed Layup.,43,47
12:34,189,Demajeo Wiggins Defensive Rebound.,43,47
12:17,189,Demajeo Wiggins missed Layup.,43,47
12:17,339,Christian Benzon Defensive Rebound.,43,47
11:58,339,Jaiveon Eaves made Jumper. Assisted by Christian Benzon.,43,49
11:49,189,Bowling Green  Timeout,43,49
11:49,339,Official TV Timeout,43,49
11:35,339,Foul on Christian Benzon.,43,49
11:35,189,Rodrick Caldwell made Free Throw.,44,49
11:35,189,Rodrick Caldwell made Free Throw.,45,49
11:18,189,Foul on Rasheed Worrell.,45,49
11:18,339,Willie Wiley missed Free Throw.,45,49
11:18,339,Evansville Deadball Team Rebound.,45,49
11:18,339,Willie Wiley made Free Throw.,45,50
10:52,189,Rodrick Caldwell missed Jumper.,45,50
10:52,339,Jaylon Brown Defensive Rebound.,45,50
10:27,339,Duane Gibson missed Jumper.,45,50
10:27,189,Zack Denny Defensive Rebound.,45,50
10:14,189,Zack Denny Turnover.,45,50
10:13,339,Dalen Traore Steal.,45,50
9:46,339,Willie Wiley made Jumper. Assisted by Duane Gibson.,45,52
9:19,189,Dylan Frye made Jumper.,47,52
9:00,339,Jaylon Brown missed Jumper.,47,52
9:00,189,Zack Denny Defensive Rebound.,47,52
8:51,189,Rodrick Caldwell made Three Point Jumper. Assisted by Dylan Frye.,50,52
8:18,339,Foul on Willie Wiley.,50,52
8:18,339,Willie Wiley Turnover.,50,52
8:00,189,Ismail Ali missed Jumper.,50,52
8:00,189,Demajeo Wiggins Offensive Rebound.,50,52
7:57,339,Foul on Dalen Traore.,50,52
7:55,339,Official TV Timeout,50,52
7:55,189,Demajeo Wiggins made Free Throw.,51,52
7:55,189,Demajeo Wiggins missed Free Throw.,51,52
7:55,339,David Howard Defensive Rebound.,51,52
7:24,339,Jaylon Brown missed Jumper.,51,52
7:24,189,Demajeo Wiggins Defensive Rebound.,51,52
6:56,189,Rodrick Caldwell Turnover.,51,52
6:46,339,Foul on Jaylon Brown.,51,52
6:46,339,Jaylon Brown Turnover.,51,52
6:24,189,Ismail Ali Turnover.,51,52
6:24,339,Christian Benzon Steal.,51,52
6:12,189,Foul on Dylan Frye.,51,52
5:57,339,Ryan Taylor made Jumper. Assisted by Dru Smith.,51,54
5:29,189,Ismail Ali missed Jumper.,51,54
5:29,189,Bowling Green Offensive Rebound.,51,54
5:29,339,Foul on David Howard.,51,54
5:29,189,Demajeo Wiggins made Free Throw.,52,54
5:29,189,Demajeo Wiggins made Free Throw.,53,54
5:08,339,Christian Benzon missed Jumper.,53,54
5:08,189,Dylan Frye Defensive Rebound.,53,54
5:00,189,Dylan Frye missed Three Point Jumper.,53,54
5:00,339,Duane Gibson Defensive Rebound.,53,54
4:42,339,Ryan Taylor made Layup.,53,56
4:13,339,Foul on David Howard.,53,56
4:13,189,Demajeo Wiggins made Free Throw.,54,56
4:13,189,Demajeo Wiggins missed Free Throw.,54,56
4:13,339,Dru Smith Defensive Rebound.,54,56
4:01,339,Christian Benzon Turnover.,54,56
3:51,189,Foul on Demajeo Wiggins.,54,56
3:51,189,Demajeo Wiggins Turnover.,54,56
3:49,339,Official TV Timeout,54,56
3:35,189,Foul on Matt Fox.,54,56
3:35,339,Jaylon Brown made Free Throw.,54,57
3:35,339,Jaylon Brown made Free Throw.,54,58
3:21,189,Antwon Lillard made Three Point Jumper. Assisted by Ismail Ali.,57,58
3:07,189,Foul on Demajeo Wiggins.,57,58
3:07,339,David Howard missed Free Throw.,57,58
3:07,189,Bowling Green Defensive Rebound.,57,58
2:46,339,Foul on Duane Gibson.,57,58
2:46,189,Ismail Ali made Free Throw.,58,58
2:46,189,Ismail Ali missed Free Throw.,58,58
2:46,339,Christian Benzon Defensive Rebound.,58,58
2:32,339,David Howard missed Layup.,58,58
2:32,189,Antwon Lillard Defensive Rebound.,58,58
2:08,189,Ismail Ali Turnover.,58,58
2:06,339,Jaylon Brown Steal.,58,58
2:04,339,Jaylon Brown made Layup.,58,60
2:02,189,Foul on Ismail Ali.,58,60
2:02,339,Jaylon Brown made Free Throw.,58,61
1:41,189,Zack Denny missed Three Point Jumper.,58,61
1:41,339,Duane Gibson Defensive Rebound.,58,61
1:38,339,Duane Gibson Turnover.,58,61
1:36,189,Wes Alcegaire Steal.,58,61
1:31,189,Ismail Ali missed Layup.,58,61
1:31,339,Ryan Taylor Block.,58,61
1:28,339,Duane Gibson Defensive Rebound.,58,61
1:26,189,Foul on Ismail Ali.,58,61
1:26,339,Duane Gibson made Free Throw.,58,62
1:26,339,Duane Gibson missed Free Throw.,58,62
1:26,189,Zack Denny Defensive Rebound.,58,62
1:11,189,Antwon Lillard Turnover.,58,62
1:11,189,Bowling Green  Timeout,58,62
1:06,189,Foul on Zack Denny.,58,62
1:06,339,Jaylon Brown made Free Throw.,58,63
1:06,339,Jaylon Brown made Free Throw.,58,64
0:59,189,Rodrick Caldwell made Three Point Jumper.,61,64
0:59,189,Bowling Green  Timeout,61,64
0:56,189,Foul on Rodrick Caldwell.,61,64
0:56,339,Ryan Taylor made Free Throw.,61,65
0:56,339,Ryan Taylor made Free Throw.,61,66
0:43,189,Antwon Lillard made Three Point Jumper.,64,66
0:15,339,Jaylon Brown made Layup.,64,68
0:09,339,Foul on Duane Gibson.,64,68
0:09,189,Rodrick Caldwell made Free Throw.,65,68
0:09,189,Rodrick Caldwell missed Free Throw.,65,68
0:09,189,Bowling Green Deadball Team Rebound.,65,68
0:09,189,Rodrick Caldwell made Free Throw.,66,68
0:09,339,Evansville  Timeout,66,68
0:06,189,Foul on Wes Alcegaire.,66,68
0:05,339,Jaylon Brown made Free Throw.,66,69
0:05,339,Jaylon Brown missed Free Throw.,66,69
0:05,189,Antwon Lillard Defensive Rebound.,66,69
0:02,189,Antwon Lillard missed Three Point Jumper.,66,69
0:02,339,Christian Benzon Defensive Rebound.,66,69
0:00,339,End of Game,66,69
