Bryant,2426,Navy,2803
8:21,2803,Adam Grant made Three Point Jumper. Assisted by Bosko Kostur.,27,9
7:59,2803,Foul on Bosko Kostur.,27,9
7:59,2426,Official TV Timeout,27,9
7:59,2426,Shawn Anderson missed Free Throw.,27,9
7:59,2426,Tom Lacey Offensive Rebound.,27,9
7:45,2803,Foul on Sabastian Townes.,27,9
7:45,2426,Tom Lacey made Free Throw.,27,10
7:45,2426,Tom Lacey missed Free Throw.,27,10
7:45,2803,Gus Riley Defensive Rebound.,27,10
7:14,2803,Bryant  Turnover.,27,10
7:04,2803,Foul on Gus Riley.,27,10
7:04,2426,Evan Wieck made Free Throw.,27,11
7:04,2426,Evan Wieck made Free Throw.,27,12
6:53,2803,Marcel Pettway missed Layup.,27,12
6:53,2426,Tom Lacey Block.,27,12
6:52,2426,Hasan Abdullah Defensive Rebound.,27,12
6:48,2426,Zach Fong made Three Point Jumper. Assisted by Hasan Abdullah.,27,15
6:21,2803,Marcel Pettway made Layup. Assisted by Ikenna Ndugba.,29,15
6:01,2426,Shawn Anderson missed Jumper.,29,15
6:01,2426,Tom Lacey Offensive Rebound.,29,15
5:59,2426,Tom Lacey missed Layup.,29,15
5:59,2426,Tom Lacey Offensive Rebound.,29,15
5:55,2426,Tom Lacey made Layup.,29,17
5:41,2803,Adam Grant made Jumper.,31,17
5:25,2426,Shawn Anderson missed Three Point Jumper.,31,17
5:25,2803,Marcel Pettway Defensive Rebound.,31,17
5:18,2803,Ikenna Ndugba Turnover.,31,17
5:00,2426,George Kiernan made Three Point Jumper. Assisted by Hasan Abdullah.,31,20
4:34,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Adam Grant.,34,20
4:17,2426,Tim Abruzzo missed Three Point Jumper.,34,20
4:17,2803,Adam Grant Defensive Rebound.,34,20
4:07,2803,Nisre Zouzoua missed Three Point Jumper.,34,20
4:07,2426,George Kiernan Defensive Rebound.,34,20
4:00,2426,George Kiernan missed Three Point Jumper.,34,20
4:00,2426,Tim Abruzzo Offensive Rebound.,34,20
3:56,2426,Tim Abruzzo missed Layup.,34,20
3:56,2803,Gus Riley Defensive Rebound.,34,20
3:56,2426,Foul on Evan Wieck.,34,20
3:56,2426,Official TV Timeout,34,20
3:34,2803,Hunter Ware missed Layup.,34,20
3:34,2803,Gus Riley Offensive Rebound.,34,20
3:32,2803,Gus Riley missed Layup.,34,20
3:32,2426,Tom Lacey Defensive Rebound.,34,20
3:19,2426,Tom Lacey missed Jumper.,34,20
3:19,2803,Marcel Pettway Defensive Rebound.,34,20
3:08,2426,Foul on Zach Fong.,34,20
2:47,2803,Marcel Pettway missed Jumper.,34,20
2:47,2803,Bryant Offensive Rebound.,34,20
2:43,2803,Marcel Pettway missed Jumper.,34,20
2:43,2803,Marcel Pettway Offensive Rebound.,34,20
2:37,2803,Nisre Zouzoua missed Jumper.,34,20
2:37,2803,Marcel Pettway Offensive Rebound.,34,20
2:32,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Marcel Pettway.,37,20
2:15,2803,Foul on Ikenna Ndugba.,37,20
2:15,2426,Tim Abruzzo made Free Throw.,37,21
2:15,2426,Tim Abruzzo made Free Throw.,37,22
2:03,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Gus Riley.,40,22
2:03,2426,Foul on Hasan Abdullah.,40,22
2:03,2803,Nisre Zouzoua made Free Throw.,41,22
1:48,2426,Hasan Abdullah missed Three Point Jumper.,41,22
1:48,2803,Gus Riley Defensive Rebound.,41,22
1:38,2803,Adam Grant made Jumper.,43,22
1:21,2426,Ryan Pearson missed Three Point Jumper.,43,22
1:21,2803,Nisre Zouzoua Defensive Rebound.,43,22
1:17,2426,Foul on Tom Lacey.,43,22
1:17,2803,Nisre Zouzoua made Free Throw.,44,22
1:17,2803,Nisre Zouzoua missed Free Throw.,44,22
1:16,2426,Bryce Dulin Defensive Rebound.,44,22
1:00,2426,George Kiernan missed Three Point Jumper.,44,22
1:00,2803,Bryant Defensive Rebound.,44,22
0:45,2803,Gus Riley made Three Point Jumper. Assisted by Marcel Pettway.,47,22
0:21,2803,Foul on Gus Riley.,47,22
0:21,2426,Bryce Dulin made Free Throw.,47,23
0:21,2426,Bryce Dulin made Free Throw.,47,24
0:21,2803,Bryant  Timeout,47,24
0:09,2803,Nisre Zouzoua missed Three Point Jumper.,47,24
0:09,2803,Marcel Pettway Offensive Rebound.,47,24
0:03,2803,Marcel Pettway made Layup.,49,24
0:00,2426,Ryan Pearson missed Three Point Jumper.,49,24
0:00,2803,Bryant Defensive Rebound.,49,24
0:00,2426,End of 1st half,49,24
19:37,2426,Bryce Dulin made Three Point Jumper. Assisted by Hasan Abdullah.,49,27
19:03,2803,Adam Grant missed Jumper.,49,27
19:03,2426,Tom Lacey Defensive Rebound.,49,27
18:57,2426,Bryce Dulin made Three Point Jumper. Assisted by Hasan Abdullah.,49,30
18:35,2803,Ikenna Ndugba Turnover.,49,30
18:22,2426,Hasan Abdullah missed Three Point Jumper.,49,30
18:22,2426,Tom Lacey Offensive Rebound.,49,30
18:17,2426,Bryce Dulin missed Jumper.,49,30
18:17,2426,Tom Lacey Offensive Rebound.,49,30
18:13,2426,Tom Lacey made Layup.,49,32
18:04,2426,Foul on Tom Lacey.,49,32
17:57,2803,Adam Grant Turnover.,49,32
17:18,2803,Foul on Bosko Kostur.,49,32
17:18,2426,Zach Fong made Free Throw.,49,33
17:18,2426,Zach Fong made Free Throw.,49,34
17:18,2426,Zach Fong made Free Throw.,49,35
17:01,2426,Foul on Zach Fong.,49,35
16:47,2803,Marcel Pettway missed Layup.,49,35
16:47,2426,George Kiernan Block.,49,35
16:46,2426,Bryce Dulin Defensive Rebound.,49,35
16:41,2426,Zach Fong Turnover.,49,35
16:34,2426,Foul on Hasan Abdullah.,49,35
16:26,2803,Ikenna Ndugba Turnover.,49,35
16:24,2426,Edward Alade Steal.,49,35
16:22,2426,Bryce Dulin made Jumper. Assisted by Zach Fong.,49,37
16:20,2803,Bryant  Timeout,49,37
16:00,2803,Marcel Pettway made Layup. Assisted by Adam Grant.,51,37
15:45,2426,George Kiernan made Three Point Jumper. Assisted by Zach Fong.,51,40
15:20,2803,Hunter Ware missed Jumper.,51,40
15:20,2426,Bryce Dulin Defensive Rebound.,51,40
15:12,2426,Zach Fong missed Three Point Jumper.,51,40
15:12,2803,Hunter Ware Defensive Rebound.,51,40
15:05,2426,Foul on Hasan Abdullah.,51,40
15:05,2426,Official TV Timeout,51,40
14:58,2803,Hunter Ware missed Three Point Jumper.,51,40
14:58,2426,George Kiernan Defensive Rebound.,51,40
14:48,2426,Zach Fong Turnover.,51,40
14:47,2803,Marcel Pettway Steal.,51,40
14:44,2803,Hunter Ware missed Layup.,51,40
14:44,2426,Bryce Dulin Block.,51,40
14:44,2803,Bryant Offensive Rebound.,51,40
14:39,2803,Marcel Pettway Turnover.,51,40
14:38,2426,Nourse Fox Steal.,51,40
14:34,2426,George Kiernan made Layup.,51,42
14:14,2803,Gus Riley made Three Point Jumper. Assisted by Adam Grant.,54,42
13:56,2426,George Kiernan made Jumper. Assisted by Nourse Fox.,54,44
13:35,2803,Nisre Zouzoua missed Jumper.,54,44
13:35,2803,Marcel Pettway Offensive Rebound.,54,44
13:34,2426,Foul on George Kiernan.,54,44
13:29,2803,Adam Grant missed Three Point Jumper.,54,44
13:29,2803,Nisre Zouzoua Offensive Rebound.,54,44
13:19,2803,Nisre Zouzoua Turnover.,54,44
13:18,2426,Nourse Fox Steal.,54,44
13:16,2426,Zach Fong made Three Point Jumper. Assisted by Nourse Fox.,54,47
13:00,2803,Ikenna Ndugba Turnover.,54,47
12:40,2803,Foul on Marcel Pettway.,54,47
12:26,2803,Foul on Nisre Zouzoua.,54,47
12:26,2426,Zach Fong missed Free Throw.,54,47
12:26,2426,Navy Deadball Team Rebound.,54,47
12:26,2426,Zach Fong missed Free Throw.,54,47
12:26,2426,Edward Alade Offensive Rebound.,54,47
12:25,2803,Foul on Gus Riley.,54,47
12:20,2426,Edward Alade made Jumper. Assisted by Zach Fong.,54,49
12:20,2803,Foul on Gus Riley.,54,49
12:20,2426,Edward Alade missed Free Throw.,54,49
12:20,2803,Ikenna Ndugba Defensive Rebound.,54,49
12:00,2426,Foul on Nourse Fox.,54,49
11:52,2426,Foul on Nourse Fox.,54,49
11:52,2426,Official TV Timeout,54,49
11:52,2803,Ikenna Ndugba made Free Throw.,55,49
11:52,2803,Ikenna Ndugba made Free Throw.,56,49
11:36,2426,Tom Lacey missed Layup.,56,49
11:36,2803,Sabastian Townes Defensive Rebound.,56,49
11:22,2803,Sabastian Townes made Jumper. Assisted by Adam Grant.,58,49
11:06,2426,Bryce Dulin missed Three Point Jumper.,58,49
11:06,2426,Edward Alade Offensive Rebound.,58,49
11:02,2426,Edward Alade missed Layup.,58,49
11:02,2803,Marcel Pettway Defensive Rebound.,58,49
10:48,2803,Marcel Pettway Turnover.,58,49
10:29,2426,Bryce Dulin missed Jumper.,58,49
10:29,2803,Adam Grant Defensive Rebound.,58,49
10:20,2803,Adam Grant made Jumper.,60,49
9:58,2426,Tom Lacey made Jumper.,60,51
9:49,2803,Adam Grant missed Three Point Jumper.,60,51
9:49,2426,Zach Fong Defensive Rebound.,60,51
9:43,2426,Bryce Dulin Turnover.,60,51
9:42,2803,Adam Grant Steal.,60,51
9:37,2803,Nisre Zouzoua made Layup. Assisted by Ikenna Ndugba.,62,51
9:19,2426,Nourse Fox Turnover.,62,51
9:18,2803,Ikenna Ndugba Steal.,62,51
9:13,2803,Adam Grant made Layup. Assisted by Nisre Zouzoua.,64,51
9:07,2426,Navy  Timeout,64,51
8:52,2426,Hasan Abdullah made Jumper. Assisted by Tim Abruzzo.,64,53
8:28,2803,Sabastian Townes made Layup. Assisted by Adam Grant.,66,53
8:08,2426,Tim Abruzzo made Three Point Jumper. Assisted by George Kiernan.,66,56
7:47,2803,Ikenna Ndugba Turnover.,66,56
7:46,2426,Hasan Abdullah Steal.,66,56
7:43,2426,George Kiernan made Layup. Assisted by Tim Abruzzo.,66,58
7:39,2803,Bryant  Timeout,66,58
7:15,2803,Adam Grant missed Three Point Jumper.,66,58
7:15,2426,Tom Lacey Defensive Rebound.,66,58
7:05,2426,George Kiernan missed Three Point Jumper.,66,58
7:05,2426,Shawn Anderson Offensive Rebound.,66,58
7:00,2426,Shawn Anderson missed Layup.,66,58
7:00,2803,Marcel Pettway Defensive Rebound.,66,58
6:39,2803,Sabastian Townes Turnover.,66,58
6:39,2803,Foul on Sabastian Townes.,66,58
6:28,2426,George Kiernan missed Three Point Jumper.,66,58
6:28,2426,Tom Lacey Offensive Rebound.,66,58
6:26,2803,Foul on Bosko Kostur.,66,58
6:26,2426,Tom Lacey made Free Throw.,66,59
6:26,2426,Tom Lacey missed Free Throw.,66,59
6:26,2803,Adam Grant Defensive Rebound.,66,59
6:06,2803,Nisre Zouzoua missed Three Point Jumper.,66,59
6:06,2426,Tom Lacey Defensive Rebound.,66,59
6:04,2803,Foul on Hunter Ware.,66,59
6:04,2426,Tom Lacey missed Free Throw.,66,59
6:04,2803,Marcel Pettway Defensive Rebound.,66,59
5:35,2803,Sabastian Townes missed Jumper.,66,59
5:35,2426,Hasan Abdullah Defensive Rebound.,66,59
5:30,2803,Foul on Nisre Zouzoua.,66,59
5:30,2426,Shawn Anderson missed Free Throw.,66,59
5:30,2426,Navy Deadball Team Rebound.,66,59
5:30,2426,Shawn Anderson missed Free Throw.,66,59
5:30,2426,Tom Lacey Offensive Rebound.,66,59
5:16,2426,Bryce Dulin missed Three Point Jumper.,66,59
5:16,2803,Nisre Zouzoua Defensive Rebound.,66,59
4:59,2803,Sabastian Townes made Layup. Assisted by Marcel Pettway.,68,59
4:44,2803,Foul on Adam Grant.,68,59
4:44,2426,Shawn Anderson made Free Throw.,68,60
4:44,2426,Shawn Anderson made Free Throw.,68,61
4:26,2803,Marcel Pettway missed Jumper.,68,61
4:26,2426,Shawn Anderson Defensive Rebound.,68,61
4:21,2426,Shawn Anderson made Layup.,68,63
4:06,2803,Sabastian Townes missed Three Point Jumper.,68,63
4:06,2426,Shawn Anderson Defensive Rebound.,68,63
4:00,2426,Bryce Dulin made Layup. Assisted by Shawn Anderson.,68,65
3:40,2803,Adam Grant made Jumper. Assisted by Sabastian Townes.,70,65
3:29,2803,Foul on Ikenna Ndugba.,70,65
3:29,2426,Official TV Timeout,70,65
3:29,2426,Hasan Abdullah made Free Throw.,70,66
3:29,2426,Hasan Abdullah made Free Throw.,70,67
3:18,2803,Ikenna Ndugba Turnover.,70,67
3:17,2426,Shawn Anderson Steal.,70,67
3:14,2426,Shawn Anderson made Layup.,70,69
2:53,2426,Foul on Hasan Abdullah.,70,69
2:53,2803,Marcel Pettway missed Free Throw.,70,69
2:53,2803,Bryant Deadball Team Rebound.,70,69
2:53,2803,Marcel Pettway missed Free Throw.,70,69
2:53,2426,Tom Lacey Defensive Rebound.,70,69
2:27,2426,George Kiernan missed Three Point Jumper.,70,69
2:27,2803,Bryant Defensive Rebound.,70,69
2:05,2803,Sabastian Townes missed Layup.,70,69
2:05,2426,Shawn Anderson Defensive Rebound.,70,69
1:57,2426,Hasan Abdullah missed Jumper.,70,69
1:57,2803,Marcel Pettway Defensive Rebound.,70,69
1:43,2803,Adam Grant made Layup. Assisted by Marcel Pettway.,72,69
1:34,2426,Navy  Timeout,72,69
1:11,2803,Foul on Sabastian Townes.,72,69
1:11,2426,George Kiernan made Free Throw.,72,70
1:11,2426,George Kiernan made Free Throw.,72,71
0:58,2803,Nisre Zouzoua missed Jumper.,72,71
0:58,2426,Hasan Abdullah Defensive Rebound.,72,71
0:48,2426,Navy  Timeout,72,71
0:38,2426,Tom Lacey made Layup. Assisted by Shawn Anderson.,72,73
0:26,2803,Adam Grant made Jumper.,74,73
0:13,2426,Shawn Anderson made Layup.,74,75
0:07,2803,Nisre Zouzoua Turnover.,74,75
0:07,2803,Foul on Nisre Zouzoua.,74,75
0:07,2803,Bryant  Timeout,74,75
0:06,2426,Shawn Anderson made Free Throw.,74,76
0:06,2426,Shawn Anderson missed Free Throw.,74,76
0:06,2803,Nisre Zouzoua Defensive Rebound.,74,76
0:00,2803,Adam Grant missed Jumper.,74,76
0:00,2426,Shawn Anderson Defensive Rebound.,74,76
0:00,2426,End of Game,74,76
