Fairleigh Dickinson,194,Ohio State,161
15:13,194,Kam Williams made Three Point Jumper. Assisted by JaQuan Lyle.,34,49
14:51,194,Foul on JaQuan Lyle.,34,49
14:42,161,Darian Anderson missed Layup.,34,49
14:42,194,Trevor Thompson Defensive Rebound.,34,49
14:34,194,Andre Wesson made Layup. Assisted by JaQuan Lyle.,34,51
14:34,161,Foul on Kaleb Bishop.,34,51
14:34,194,Andre Wesson missed Free Throw.,34,51
14:34,161,Malik Miller Defensive Rebound.,34,51
14:11,161,Darnell Edge made Jumper. Assisted by Darian Anderson.,36,51
13:50,194,Kam Williams missed Three Point Jumper.,36,51
13:50,194,Jae'Sean Tate Offensive Rebound.,36,51
13:43,161,Foul on Stephan Jiggetts.,36,51
13:42,194,Trevor Thompson Turnover.,36,51
13:41,161,Darian Anderson Steal.,36,51
13:38,161,Mike Holloway made Layup. Assisted by Darian Anderson.,38,51
13:38,194,Foul on JaQuan Lyle.,38,51
13:38,161,Mike Holloway made Free Throw.,39,51
13:25,161,Foul on Darnell Edge.,39,51
13:25,194,C.J. Jackson made Free Throw.,39,52
13:25,194,C.J. Jackson made Free Throw.,39,53
13:07,194,Foul on Micah Potter.,39,53
13:00,161,Malik Miller missed Three Point Jumper.,39,53
13:00,194,Kam Williams Defensive Rebound.,39,53
12:47,194,Jae'Sean Tate made Layup. Assisted by Andre Wesson.,39,55
12:25,161,Stephan Jiggetts made Jumper.,41,55
11:55,194,Kam Williams missed Jumper.,41,55
11:55,161,Fairleigh Dickinson Defensive Rebound.,41,55
11:53,194,Foul on Micah Potter.,41,55
11:53,194,Official TV Timeout,41,55
11:32,194,Foul on Trevor Thompson.,41,55
11:32,161,Mike Holloway missed Free Throw.,41,55
11:32,161,Fairleigh Dickinson Deadball Team Rebound.,41,55
11:32,161,Mike Holloway made Free Throw.,42,55
11:13,194,Jae'Sean Tate made Layup.,42,57
11:13,161,Foul on Stephan Jiggetts.,42,57
11:13,194,Jae'Sean Tate missed Free Throw.,42,57
11:13,161,Malik Miller Defensive Rebound.,42,57
10:45,161,Stephan Jiggetts missed Three Point Jumper.,42,57
10:45,161,Mike Holloway Offensive Rebound.,42,57
10:42,161,Fairleigh Dickinson  Turnover.,42,57
10:30,194,C.J. Jackson missed Three Point Jumper.,42,57
10:30,161,Darnell Edge Defensive Rebound.,42,57
10:21,161,Stephan Jiggetts missed Three Point Jumper.,42,57
10:21,194,Trevor Thompson Defensive Rebound.,42,57
10:11,194,Andre Wesson missed Layup.,42,57
