NJIT,2349,UMass Lowell,2885
6:41,2349,Ryan Jones Defensive Rebound.,19,12
6:33,2349,Ryan Jones Turnover.,19,12
6:31,2885,Damon Lynn Steal.,19,12
6:25,2885,Osa Izevbuwa missed Three Point Jumper.,19,12
6:25,2885,Abdul Lewis Offensive Rebound.,19,12
6:11,2885,Tim Coleman missed Layup.,19,12
6:11,2349,Ryan Jones Defensive Rebound.,19,12
5:55,2885,Foul on Abdul Lewis.,19,12
5:55,2349,Dontavious Smith missed Free Throw.,19,12
5:55,2349,UMass Lowell Deadball Team Rebound.,19,12
5:55,2349,Dontavious Smith missed Free Throw.,19,12
5:55,2885,Tim Coleman Defensive Rebound.,19,12
5:31,2885,Damon Lynn missed Three Point Jumper.,19,12
5:31,2885,Mohamed Bendary Offensive Rebound.,19,12
5:26,2885,Chris Jenkins missed Three Point Jumper.,19,12
5:26,2885,Tim Coleman Offensive Rebound.,19,12
5:23,2885,Tim Coleman made Layup.,21,12
5:01,2349,UMass Lowell  Timeout,21,12
4:53,2349,Isaac White missed Three Point Jumper.,21,12
4:53,2885,Tim Coleman Defensive Rebound.,21,12
4:37,2885,Mohamed Bendary made Layup.,23,12
4:13,2885,Foul on Chris Jenkins.,23,12
4:13,2349,Jahad Thomas made Free Throw.,23,13
4:13,2349,Jahad Thomas made Free Throw.,23,14
3:54,2885,Chris Jenkins missed Three Point Jumper.,23,14
3:54,2349,Jahad Thomas Defensive Rebound.,23,14
3:48,2349,Foul on Jahad Thomas.,23,14
3:48,2349,Jahad Thomas Turnover.,23,14
3:48,2349,Official TV Timeout,23,14
3:35,2885,Tim Coleman made Layup. Assisted by Damon Lynn.,25,14
3:18,2349,Jahad Thomas missed Jumper.,25,14
3:18,2885,Shyquan Gibbs Defensive Rebound.,25,14
2:47,2885,Damon Lynn missed Three Point Jumper.,25,14
2:47,2885,Mohamed Bendary Offensive Rebound.,25,14
2:43,2885,Mohamed Bendary made Layup.,27,14
2:33,2349,Tyler Livingston missed Three Point Jumper.,27,14
2:33,2349,Jahad Thomas Offensive Rebound.,27,14
2:30,2349,Jahad Thomas missed Layup.,27,14
2:30,2885,Tim Coleman Defensive Rebound.,27,14
2:21,2885,Chris Jenkins Turnover.,27,14
2:10,2349,Ryan Jones made Layup.,27,16
1:52,2885,Damon Lynn made Three Point Jumper. Assisted by Tim Coleman.,30,16
1:35,2349,Rinardo Perry missed Jumper.,30,16
1:35,2885,Chris Jenkins Defensive Rebound.,30,16
1:13,2885,Tim Coleman made Layup.,32,16
0:57,2885,Foul on Tim Coleman.,32,16
0:57,2349,Rinardo Perry missed Free Throw.,32,16
0:57,2349,UMass Lowell Deadball Team Rebound.,32,16
0:57,2349,Rinardo Perry made Free Throw.,32,17
0:28,2885,Chris Jenkins made Three Point Jumper. Assisted by Damon Lynn.,35,17
0:04,2349,Dontavious Smith made Layup. Assisted by Matt Harris.,35,19
0:04,2885,Foul on Chris Jenkins.,35,19
0:04,2349,Dontavious Smith made Free Throw.,35,20
0:00,2349,End of 1st half,35,20
19:52,2349,Tyler Livingston missed Three Point Jumper.,35,20
19:52,2885,Tim Coleman Defensive Rebound.,35,20
19:21,2885,Tim Coleman missed Jumper.,35,20
19:21,2885,NJIT Deadball Team Rebound.,35,20
19:13,2349,Ryan Jones made Layup. Assisted by Isaac White.,35,22
18:43,2885,Rob Ukawuba made Three Point Jumper. Assisted by Damon Lynn.,38,22
18:24,2349,Ryan Jones made Three Point Jumper.,38,25
18:11,2885,Abdul Lewis missed Layup.,38,25
18:11,2349,Jahad Thomas Defensive Rebound.,38,25
17:53,2349,Isaac White made Jumper.,38,27
17:40,2885,Damon Lynn Turnover.,38,27
17:29,2349,Ryan Jones missed Layup.,38,27
17:29,2885,Rob Ukawuba Defensive Rebound.,38,27
17:28,2349,Foul on Stefan Borovac.,38,27
17:15,2349,Foul on Tyler Livingston.,38,27
17:09,2885,Rob Ukawuba missed Layup.,38,27
17:09,2349,Isaac White Defensive Rebound.,38,27
17:01,2349,Tyler Livingston made Three Point Jumper. Assisted by Stefan Borovac.,38,30
16:46,2349,Foul on Stefan Borovac.,38,30
16:43,2885,Osa Izevbuwa made Layup. Assisted by Damon Lynn.,40,30
16:22,2349,Ryan Jones made Layup.,40,32
16:22,2885,Foul on Osa Izevbuwa.,40,32
16:22,2349,Ryan Jones made Free Throw.,40,33
16:00,2885,Damon Lynn made Three Point Jumper.,43,33
15:40,2349,Matt Harris made Three Point Jumper. Assisted by Jahad Thomas.,43,36
15:22,2349,Foul on Matt Harris.,43,36
15:22,2349,Official TV Timeout,43,36
15:13,2885,Abdul Lewis made Layup. Assisted by Damon Lynn.,45,36
14:54,2349,Matt Harris made Layup.,45,38
14:54,2885,Foul on Tim Coleman.,45,38
14:54,2349,Matt Harris made Free Throw.,45,39
14:45,2885,Anthony Tarke Turnover.,45,39
14:25,2349,Matt Harris missed Layup.,45,39
14:25,2885,Tim Coleman Block.,45,39
14:23,2885,Tim Coleman Defensive Rebound.,45,39
14:12,2885,Abdul Lewis missed Jumper.,45,39
14:12,2349,Jahad Thomas Defensive Rebound.,45,39
14:04,2349,Tyler Livingston made Layup. Assisted by Isaac White.,45,41
13:36,2885,Rob Ukawuba missed Three Point Jumper.,45,41
13:36,2349,Isaac White Defensive Rebound.,45,41
13:28,2349,Isaac White made Three Point Jumper. Assisted by Matt Harris.,45,44
13:15,2885,NJIT  Timeout,45,44
13:01,2885,Osa Izevbuwa Turnover.,45,44
12:39,2349,Tyler Livingston made Layup. Assisted by Jahad Thomas.,45,46
12:23,2885,Tim Coleman made Three Point Jumper. Assisted by Abdul Lewis.,48,46
12:02,2349,Jahad Thomas made Layup. Assisted by Isaac White.,48,48
11:39,2885,Abdul Lewis made Layup. Assisted by Damon Lynn.,50,48
11:17,2349,Logan Primerano missed Jumper.,50,48
11:17,2885,Tim Coleman Defensive Rebound.,50,48
11:04,2885,Abdul Lewis made Layup. Assisted by Tim Coleman.,52,48
10:41,2885,Foul on Abdul Lewis.,52,48
10:41,2349,Official TV Timeout,52,48
10:23,2349,Tyler Livingston missed Three Point Jumper.,52,48
10:23,2885,Tim Coleman Defensive Rebound.,52,48
10:05,2885,Damon Lynn made Layup.,54,48
9:54,2349,Matt Harris made Layup.,54,50
9:54,2885,Foul on Tim Coleman.,54,50
9:54,2349,Matt Harris made Free Throw.,54,51
9:43,2885,Anthony Tarke made Dunk. Assisted by Chris Jenkins.,56,51
9:43,2349,Foul on Logan Primerano.,56,51
9:43,2885,Anthony Tarke made Free Throw.,57,51
9:27,2349,Jahad Thomas missed Jumper.,57,51
9:27,2885,NJIT Defensive Rebound.,57,51
9:17,2885,Tim Coleman missed Three Point Jumper.,57,51
9:17,2349,Ryan Jones Defensive Rebound.,57,51
9:07,2349,Jahad Thomas Turnover.,57,51
9:06,2885,Tim Coleman Steal.,57,51
8:59,2349,Foul on Matt Harris.,57,51
8:57,2885,Damon Lynn made Three Point Jumper. Assisted by Tim Coleman.,60,51
8:42,2349,Jahad Thomas made Jumper. Assisted by Dontavious Smith.,60,53
8:25,2885,Rob Ukawuba made Dunk. Assisted by Anthony Tarke.,62,53
8:15,2349,Matt Harris made Three Point Jumper. Assisted by Ryan Jones.,62,56
7:58,2885,Foul on Damon Lynn.,62,56
7:58,2885,Damon Lynn Turnover.,62,56
7:58,2349,Official TV Timeout,62,56
7:44,2349,Cameron Wolter Turnover.,62,56
7:38,2349,Foul on Cameron Wolter.,62,56
7:34,2885,Tim Coleman missed Free Throw.,62,56
7:34,2349,Logan Primerano Defensive Rebound.,62,56
7:27,2885,Foul on Chris Jenkins.,62,56
7:14,2349,Ryan Jones Turnover.,62,56
7:13,2885,Damon Lynn Steal.,62,56
7:10,2885,Damon Lynn missed Three Point Jumper.,62,56
7:10,2349,Cameron Wolter Defensive Rebound.,62,56
7:03,2349,Logan Primerano made Layup.,62,58
7:03,2885,Foul on Abdul Lewis.,62,58
7:03,2349,Logan Primerano made Free Throw.,62,59
6:48,2885,Chris Jenkins missed Three Point Jumper.,62,59
6:48,2885,Damon Lynn Offensive Rebound.,62,59
6:30,2885,Damon Lynn made Layup. Assisted by Tim Coleman.,64,59
6:17,2885,Foul on Chris Jenkins.,64,59
6:17,2349,Matt Harris made Free Throw.,64,60
6:17,2349,Matt Harris made Free Throw.,64,61
5:58,2885,Damon Lynn missed Three Point Jumper.,64,61
5:58,2349,Tyler Livingston Defensive Rebound.,64,61
5:50,2349,Ryan Jones missed Three Point Jumper.,64,61
5:50,2885,Rob Ukawuba Defensive Rebound.,64,61
5:30,2349,Foul on Matt Harris.,64,61
5:30,2885,Tim Coleman made Free Throw.,65,61
5:30,2885,Tim Coleman made Free Throw.,66,61
5:14,2349,Jahad Thomas made Layup. Assisted by Ryan Jones.,66,63
4:54,2885,Tim Coleman made Layup.,68,63
4:54,2349,Foul on Jahad Thomas.,68,63
4:54,2885,Tim Coleman missed Free Throw.,68,63
4:54,2349,Tyler Livingston Defensive Rebound.,68,63
4:35,2349,Jahad Thomas missed Layup.,68,63
4:35,2349,Tyler Livingston Offensive Rebound.,68,63
4:23,2349,Foul on Tyler Livingston.,68,63
4:23,2885,Tim Coleman made Free Throw.,69,63
4:23,2885,Tim Coleman made Free Throw.,70,63
4:12,2349,Jahad Thomas made Layup.,70,65
4:12,2349,Tyler Livingston made Two Point Tip Shot.,70,67
3:47,2885,Damon Lynn missed Three Point Jumper.,70,67
3:47,2885,Rob Ukawuba Offensive Rebound.,70,67
3:42,2885,Rob Ukawuba Turnover.,70,67
3:42,2349,Official TV Timeout,70,67
3:24,2349,Matt Harris made Layup.,70,69
3:24,2885,Foul on Tim Coleman.,70,69
3:24,2349,Matt Harris made Free Throw.,70,70
3:16,2349,Foul on Ryan Jones.,70,70
3:16,2885,Damon Lynn missed Free Throw.,70,70
3:16,2885,NJIT Deadball Team Rebound.,70,70
3:16,2885,Damon Lynn made Free Throw.,71,70
2:58,2885,Foul on Rob Ukawuba.,71,70
2:58,2349,Jahad Thomas made Free Throw.,71,71
2:58,2349,Jahad Thomas made Free Throw.,71,72
2:40,2885,Rob Ukawuba missed Layup.,71,72
2:40,2885,NJIT Offensive Rebound.,71,72
2:35,2885,Damon Lynn missed Three Point Jumper.,71,72
2:35,2349,Logan Primerano Defensive Rebound.,71,72
2:30,2885,Foul on Shyquan Gibbs.,71,72
2:30,2349,Ryan Jones made Free Throw.,71,73
2:30,2349,Ryan Jones made Free Throw.,71,74
2:14,2885,Damon Lynn missed Three Point Jumper.,71,74
2:14,2885,Abdul Lewis Offensive Rebound.,71,74
2:14,2885,Abdul Lewis made Layup.,73,74
2:14,2349,Foul on Tyler Livingston.,73,74
2:14,2885,Abdul Lewis made Free Throw.,74,74
1:53,2349,Matt Harris missed Jumper.,74,74
1:53,2885,Tim Coleman Defensive Rebound.,74,74
1:29,2885,Damon Lynn missed Three Point Jumper.,74,74
1:29,2885,Anthony Tarke Offensive Rebound.,74,74
1:26,2885,NJIT  Timeout,74,74
1:04,2885,Rob Ukawuba missed Layup.,74,74
1:04,2349,Ryan Jones Defensive Rebound.,74,74
0:41,2349,Matt Harris missed Jumper.,74,74
0:41,2885,Anthony Tarke Defensive Rebound.,74,74
0:36,2885,NJIT  Timeout,74,74
0:23,2885,Damon Lynn missed Three Point Jumper.,74,74
0:23,2885,Rob Ukawuba Offensive Rebound.,74,74
0:20,2349,Foul on Ryan Jones.,74,74
0:20,2885,Rob Ukawuba missed Free Throw.,74,74
0:20,2885,NJIT Deadball Team Rebound.,74,74
0:20,2885,Rob Ukawuba made Free Throw.,75,74
0:04,2349,Ryan Jones missed Layup.,75,74
0:04,2349,Stefan Borovac Offensive Rebound.,75,74
