West Virginia,258,Virginia,277
13:59,277,Daxter Miles Jr. made Layup. Assisted by Nathan Adrian.,6,12
13:51,277,Foul on Tarik Phillip.,6,12
13:35,258,Kyle Guy made Jumper.,6,14
13:13,258,Foul on Kyle Guy.,6,14
13:09,277,Jevon Carter missed Three Point Jumper.,6,14
13:09,258,Kyle Guy Defensive Rebound.,6,14
12:40,258,Mamadi Diakite made Dunk. Assisted by London Perrantes.,6,16
12:16,277,Teyvon Myers missed Jumper.,6,16
12:16,258,London Perrantes Defensive Rebound.,6,16
12:07,277,Foul on Tarik Phillip.,6,16
12:07,258,Marial Shayok missed Free Throw.,6,16
12:07,258,Virginia Deadball Team Rebound.,6,16
12:07,258,Marial Shayok made Free Throw.,6,17
11:49,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Teyvon Myers.,9,17
11:15,258,Ty Jerome missed Three Point Jumper.,9,17
11:15,277,West Virginia Deadball Team Rebound.,9,17
11:12,258,Official TV Timeout,9,17
10:47,277,Teyvon Myers made Jumper.,11,17
10:31,258,Isaiah Wilkins Turnover.,11,17
10:14,277,Daxter Miles Jr. Turnover.,11,17
9:53,258,London Perrantes Turnover.,11,17
9:42,277,Esa Ahmad missed Jumper.,11,17
9:42,258,Virginia Defensive Rebound.,11,17
9:24,258,Marial Shayok made Jumper. Assisted by Darius Thompson.,11,19
9:06,277,Brandon Watkins made Jumper. Assisted by Jevon Carter.,13,19
8:31,258,Marial Shayok missed Jumper.,13,19
8:31,258,Jack Salt Offensive Rebound.,13,19
8:28,277,Foul on Brandon Watkins.,13,19
8:12,258,Darius Thompson missed Three Point Jumper.,13,19
8:12,277,Esa Ahmad Defensive Rebound.,13,19
7:44,277,Elijah Macon missed Jumper.,13,19
7:44,258,Jack Salt Block.,13,19
7:44,258,Isaiah Wilkins Defensive Rebound.,13,19
7:34,258,Devon Hall made Jumper.,13,21
7:25,277,West Virginia  Timeout,13,21
7:25,258,Official TV Timeout,13,21
7:18,277,Esa Ahmad missed Layup.,13,21
7:18,258,Jack Salt Defensive Rebound.,13,21
7:15,277,Foul on Sagaba Konate.,13,21
7:15,258,Jack Salt missed Free Throw.,13,21
7:15,277,Sagaba Konate Defensive Rebound.,13,21
7:03,277,Teyvon Myers Turnover.,13,21
6:55,258,Devon Hall Turnover.,13,21
6:55,277,Jevon Carter Steal.,13,21
6:52,277,Jevon Carter made Layup.,15,21
6:52,258,Foul on Darius Thompson.,15,21
6:52,277,Jevon Carter made Free Throw.,16,21
6:43,258,Devon Hall made Layup. Assisted by Isaiah Wilkins.,16,23
6:15,277,Jevon Carter missed Three Point Jumper.,16,23
6:15,277,Esa Ahmad Offensive Rebound.,16,23
6:10,258,Foul on Jack Salt.,16,23
6:06,277,Teyvon Myers missed Layup.,16,23
6:06,258,Isaiah Wilkins Block.,16,23
6:06,277,Esa Ahmad Offensive Rebound.,16,23
5:51,277,Brandon Watkins made Layup. Assisted by Jevon Carter.,18,23
5:27,258,London Perrantes missed Jumper.,18,23
5:27,277,Brandon Watkins Defensive Rebound.,18,23
5:08,277,Teyvon Myers missed Layup.,18,23
5:08,258,Marial Shayok Defensive Rebound.,18,23
4:52,258,Marial Shayok missed Layup.,18,23
4:52,258,Marial Shayok Offensive Rebound.,18,23
4:48,258,Marial Shayok missed Layup.,18,23
4:48,258,Mamadi Diakite Offensive Rebound.,18,23
4:47,277,Foul on Jevon Carter.,18,23
4:47,258,Mamadi Diakite missed Free Throw.,18,23
4:47,277,Brandon Watkins Defensive Rebound.,18,23
4:37,258,Foul on Jarred Reuter.,18,23
4:27,277,Daxter Miles Jr. made Jumper. Assisted by Nathan Adrian.,20,23
3:51,258,Marial Shayok missed Layup.,20,23
3:51,277,Nathan Adrian Defensive Rebound.,20,23
3:26,277,Nathan Adrian missed Three Point Jumper.,20,23
3:26,258,Kyle Guy Defensive Rebound.,20,23
3:15,258,Darius Thompson Turnover.,20,23
3:15,277,Brandon Watkins Steal.,20,23
3:06,277,Jevon Carter missed Jumper.,20,23
3:06,277,Esa Ahmad Offensive Rebound.,20,23
3:06,277,Esa Ahmad made Two Point Tip Shot.,22,23
3:01,258,Virginia  Timeout,22,23
3:01,258,Official TV Timeout,22,23
2:45,258,London Perrantes missed Three Point Jumper.,22,23
2:45,258,Virginia Deadball Team Rebound.,22,23
2:42,277,Foul on Daxter Miles Jr.. (Daxter Miles Jr. ejected for Flagrant 2 Foul.),22,23
2:42,258,Isaiah Wilkins missed Free Throw.,22,23
2:42,258,Virginia Deadball Team Rebound.,22,23
2:42,258,Isaiah Wilkins missed Free Throw.,22,23
2:37,258,London Perrantes missed Three Point Jumper.,22,23
2:37,277,West Virginia Defensive Rebound.,22,23
2:05,277,Jevon Carter missed Jumper.,22,23
2:05,277,Elijah Macon Offensive Rebound.,22,23
1:38,277,Teyvon Myers missed Jumper.,22,23
1:38,277,Nathan Adrian Offensive Rebound.,22,23
1:31,277,Jevon Carter missed Three Point Jumper.,22,23
1:31,258,Isaiah Wilkins Defensive Rebound.,22,23
1:10,258,Foul on Marial Shayok.,22,23
1:10,258,Marial Shayok Turnover.,22,23
0:53,277,Esa Ahmad missed Jumper.,22,23
0:53,258,Mamadi Diakite Defensive Rebound.,22,23
0:33,258,Devon Hall Turnover.,22,23
0:33,277,Jevon Carter Steal.,22,23
0:27,277,Teyvon Myers made Jumper.,24,23
0:03,258,Jack Salt made Layup. Assisted by Mamadi Diakite.,24,25
0:00,258,End of 1st half,24,25
20:00,277,Jump Ball won by West Virginia,24,25
19:49,277,Nathan Adrian missed Three Point Jumper.,24,25
19:49,258,Isaiah Wilkins Defensive Rebound.,24,25
19:22,258,Isaiah Wilkins made Three Point Jumper. Assisted by Jack Salt.,24,28
19:05,258,Foul on Jack Salt.,24,28
19:05,277,Nathan Adrian made Free Throw.,25,28
19:05,277,Nathan Adrian made Free Throw.,26,28
18:46,258,Darius Thompson Turnover.,26,28
18:34,277,Elijah Macon made Jumper. Assisted by Nathan Adrian.,28,28
18:05,258,Devon Hall missed Jumper.,28,28
18:05,277,Jevon Carter Defensive Rebound.,28,28
17:37,277,Tarik Phillip missed Jumper.,28,28
17:37,258,Jack Salt Defensive Rebound.,28,28
17:05,258,London Perrantes made Jumper.,28,30
17:05,277,Foul on Elijah Macon.,28,30
17:05,258,London Perrantes made Free Throw.,28,31
16:51,258,Foul on Devon Hall.,28,31
16:34,277,Brandon Watkins made Layup. Assisted by Nathan Adrian.,30,31
16:21,277,Foul on Nathan Adrian.,30,31
16:18,258,London Perrantes missed Three Point Jumper.,30,31
16:18,277,Lamont West Defensive Rebound.,30,31
16:08,277,Jevon Carter Turnover.,30,31
15:40,258,Marial Shayok missed Three Point Jumper.,30,31
15:40,277,Jevon Carter Defensive Rebound.,30,31
15:31,277,West Virginia  Timeout,30,31
15:13,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,33,31
15:01,258,London Perrantes Turnover.,33,31
15:01,277,Jevon Carter Steal.,33,31
14:57,277,Jevon Carter made Layup.,35,31
14:35,258,Marial Shayok made Jumper.,35,33
14:15,277,Teyvon Myers missed Jumper.,35,33
14:15,258,Marial Shayok Defensive Rebound.,35,33
14:04,258,Kyle Guy made Three Point Jumper. Assisted by London Perrantes.,35,36
13:44,277,Tarik Phillip missed Jumper.,35,36
13:44,277,Tarik Phillip Offensive Rebound.,35,36
13:41,277,Tarik Phillip made Layup.,37,36
13:17,277,Foul on Jevon Carter.,37,36
13:17,258,Official TV Timeout,37,36
12:55,258,Kyle Guy made Jumper.,37,38
12:46,258,Foul on Kyle Guy.,37,38
12:26,277,Esa Ahmad Turnover.,37,38
12:26,258,Mamadi Diakite Steal.,37,38
12:25,277,Foul on Esa Ahmad.,37,38
12:21,277,Foul on Jevon Carter.,37,38
12:03,258,Kyle Guy Turnover.,37,38
12:03,277,Esa Ahmad Steal.,37,38
11:54,277,Tarik Phillip made Layup. Assisted by Teyvon Myers.,39,38
11:47,258,Marial Shayok Turnover.,39,38
11:47,277,Nathan Adrian Steal.,39,38
11:43,277,Teyvon Myers missed Layup.,39,38
11:43,258,London Perrantes Block.,39,38
11:43,258,Mamadi Diakite Defensive Rebound.,39,38
11:32,258,Kyle Guy missed Three Point Jumper.,39,38
11:32,277,West Virginia Defensive Rebound.,39,38
11:27,258,Official TV Timeout,39,38
11:13,277,Nathan Adrian missed Three Point Jumper.,39,38
11:13,258,Isaiah Wilkins Defensive Rebound.,39,38
10:56,258,London Perrantes missed Three Point Jumper.,39,38
10:56,277,Esa Ahmad Defensive Rebound.,39,38
10:38,258,Foul on Darius Thompson.,39,38
10:38,277,Tarik Phillip missed Free Throw.,39,38
10:38,277,West Virginia Deadball Team Rebound.,39,38
10:38,277,Tarik Phillip missed Free Throw.,39,38
10:38,258,Devon Hall Defensive Rebound.,39,38
10:29,258,Darius Thompson made Dunk. Assisted by London Perrantes.,39,40
9:57,277,Nathan Adrian made Jumper.,41,40
9:23,258,Isaiah Wilkins made Jumper.,41,42
8:59,258,Foul on Devon Hall.,41,42
8:59,277,Esa Ahmad made Free Throw.,42,42
8:59,277,Esa Ahmad made Free Throw.,43,42
8:49,258,London Perrantes Turnover.,43,42
8:49,277,Teyvon Myers Steal.,43,42
8:43,258,Foul on Mamadi Diakite.,43,42
8:43,277,Teyvon Myers made Free Throw.,44,42
8:43,277,Teyvon Myers made Free Throw.,45,42
8:33,258,Darius Thompson missed Layup.,45,42
8:33,258,Isaiah Wilkins Offensive Rebound.,45,42
8:33,258,Isaiah Wilkins missed Two Point Tip Shot.,45,42
8:33,277,Nathan Adrian Defensive Rebound.,45,42
8:26,277,Teyvon Myers Turnover.,45,42
8:00,258,Darius Thompson made Three Point Jumper. Assisted by London Perrantes.,45,45
7:38,258,Official TV Timeout,45,45
7:29,277,Jevon Carter missed Three Point Jumper.,45,45
7:29,258,Isaiah Wilkins Defensive Rebound.,45,45
7:24,258,Jump Ball won by Virginia,45,45
7:07,258,London Perrantes missed Jumper.,45,45
7:07,258,Isaiah Wilkins Offensive Rebound.,45,45
7:07,258,Isaiah Wilkins made Two Point Tip Shot.,45,47
6:47,277,Esa Ahmad missed Jumper.,45,47
6:47,258,Isaiah Wilkins Defensive Rebound.,45,47
6:22,258,Darius Thompson made Dunk. Assisted by London Perrantes.,45,49
5:58,277,West Virginia  Timeout,45,49
5:56,258,Foul on Ty Jerome.,45,49
5:56,277,Jevon Carter made Free Throw.,46,49
5:56,277,Jevon Carter made Free Throw.,47,49
5:32,258,Mamadi Diakite missed Layup.,47,49
5:32,277,Tarik Phillip Defensive Rebound.,47,49
5:23,277,Lamont West made Layup. Assisted by Tarik Phillip.,49,49
5:13,277,Foul on Tarik Phillip.,49,49
5:05,258,Darius Thompson Turnover.,49,49
5:05,277,Brandon Watkins Steal.,49,49
4:37,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,52,49
4:05,258,Ty Jerome made Jumper. Assisted by London Perrantes.,52,51
3:38,258,Foul on London Perrantes.,52,51
3:38,258,Official TV Timeout,52,51
3:38,277,Tarik Phillip missed Free Throw.,52,51
3:38,277,West Virginia Deadball Team Rebound.,52,51
3:38,277,Tarik Phillip made Free Throw.,53,51
3:12,258,London Perrantes made Three Point Jumper. Assisted by Devon Hall.,53,54
2:48,277,Lamont West missed Three Point Jumper.,53,54
2:48,258,London Perrantes Defensive Rebound.,53,54
2:25,258,Ty Jerome missed Three Point Jumper.,53,54
2:25,277,Lamont West Defensive Rebound.,53,54
2:08,277,Nathan Adrian made Layup. Assisted by Tarik Phillip.,55,54
1:51,258,Virginia  Timeout,55,54
1:44,277,Foul on Esa Ahmad.,55,54
1:44,258,Darius Thompson made Free Throw.,55,55
1:44,258,Darius Thompson missed Free Throw.,55,55
1:44,277,Esa Ahmad Defensive Rebound.,55,55
1:30,277,Esa Ahmad made Three Point Jumper. Assisted by Jevon Carter.,58,55
1:02,258,Darius Thompson missed Three Point Jumper.,58,55
1:02,277,West Virginia Defensive Rebound.,58,55
0:32,277,Tarik Phillip made Layup.,60,55
0:29,258,London Perrantes missed Three Point Jumper.,60,55
0:29,277,Jevon Carter Block.,60,55
0:29,277,Nathan Adrian Defensive Rebound.,60,55
0:27,258,Foul on Devon Hall.,60,55
0:27,258,Virginia  Timeout,60,55
0:27,277,Nathan Adrian made Free Throw.,61,55
0:27,277,Nathan Adrian made Free Throw.,62,55
0:18,258,London Perrantes missed Three Point Jumper.,62,55
0:18,277,Esa Ahmad Defensive Rebound.,62,55
0:15,258,Foul on Devon Hall.,62,55
0:15,277,Esa Ahmad made Free Throw.,63,55
0:15,277,Esa Ahmad made Free Throw.,64,55
0:11,258,Darius Thompson missed Three Point Jumper.,64,55
0:11,258,Marial Shayok Offensive Rebound.,64,55
0:07,258,Marial Shayok made Jumper.,64,57
0:05,258,Foul on London Perrantes.,64,57
0:05,277,Jevon Carter made Free Throw.,65,57
0:05,277,Jevon Carter made Free Throw.,66,57
0:00,258,End of Game,66,57
