Buffalo,179,St. Bonaventure,2084
12:38,179,Idris Taqqee Offensive Rebound.,8,12
12:23,179,Josh Ayeni missed Layup.,8,12
12:23,2084,Raheem Johnson Block.,8,12
12:18,179,David Andoh Offensive Rebound.,8,12
12:17,179,David Andoh missed Layup.,8,12
12:17,2084,Dontay Caruthers Block.,8,12
12:16,179,St. Bonaventure Offensive Rebound.,8,12
12:12,179,Matt Mobley missed Jumper.,8,12
12:12,2084,Davonta Jordan Defensive Rebound.,8,12
12:09,179,Foul on Jaylen Adams.,8,12
12:01,2084,Nick Perkins missed Layup.,8,12
12:01,179,Josh Ayeni Defensive Rebound.,8,12
11:41,179,Josh Ayeni missed Jumper.,8,12
11:41,2084,Dontay Caruthers Defensive Rebound.,8,12
11:32,2084,Dontay Caruthers made Layup.,10,12
11:07,179,Idris Taqqee made Jumper. Assisted by Matt Mobley.,10,14
10:52,2084,Nick Perkins made Three Point Jumper. Assisted by Dontay Caruthers.,13,14
10:30,179,Josh Ayeni made Jumper. Assisted by Matt Mobley.,13,16
10:11,2084,Nick Perkins Turnover.,13,16
10:11,179,Official TV Timeout,13,16
10:03,179,Josh Ayeni Turnover.,13,16
10:01,2084,Dontay Caruthers Steal.,13,16
9:58,2084,Raheem Johnson made Dunk. Assisted by Dontay Caruthers.,15,16
9:46,179,Jaylen Adams missed Jumper.,15,16
9:46,179,Idris Taqqee Offensive Rebound.,15,16
9:42,179,Idris Taqqee missed Jumper.,15,16
9:42,179,Denzel Gregg Offensive Rebound.,15,16
9:37,179,Denzel Gregg missed Two Point Tip Shot.,15,16
9:37,2084,Blake Hamilton Defensive Rebound.,15,16
9:30,2084,Raheem Johnson made Layup. Assisted by Davonta Jordan.,17,16
9:08,179,Jaylen Adams missed Three Point Jumper.,17,16
9:08,2084,Willie Conner Defensive Rebound.,17,16
8:59,2084,Willie Conner missed Three Point Jumper.,17,16
8:59,179,Jaylen Adams Defensive Rebound.,17,16
8:52,2084,Foul on Davonta Jordan.,17,16
8:52,179,Jaylen Adams made Free Throw.,17,17
8:52,179,Jaylen Adams made Free Throw.,17,18
8:31,2084,Willie Conner Turnover.,17,18
8:22,2084,Foul on Nick Perkins.,17,18
8:22,179,Denzel Gregg made Free Throw.,17,19
8:22,179,Denzel Gregg made Free Throw.,17,20
8:06,2084,Davonta Jordan missed Layup.,17,20
8:06,179,Idris Taqqee Defensive Rebound.,17,20
8:00,179,Idris Taqqee made Layup.,17,22
7:46,179,Foul on Idris Taqqee.,17,22
7:46,179,Official TV Timeout,17,22
7:46,2084,Willie Conner made Free Throw.,18,22
7:46,2084,Willie Conner made Free Throw.,19,22
7:46,2084,Willie Conner made Free Throw.,20,22
7:30,179,Matt Mobley made Three Point Jumper. Assisted by Jaylen Adams.,20,25
7:11,2084,Blake Hamilton missed Jumper.,20,25
7:11,179,Denzel Gregg Defensive Rebound.,20,25
7:01,2084,Foul on Raheem Johnson.,20,25
7:01,179,Matt Mobley made Free Throw.,20,26
7:01,179,Matt Mobley made Free Throw.,20,27
6:48,2084,Blake Hamilton missed Three Point Jumper.,20,27
6:48,2084,Willie Conner Offensive Rebound.,20,27
6:41,2084,Blake Hamilton missed Three Point Jumper.,20,27
6:41,179,Idris Taqqee Defensive Rebound.,20,27
6:36,179,Idris Taqqee Turnover.,20,27
6:35,2084,Dontay Caruthers Steal.,20,27
6:33,2084,Dontay Caruthers missed Layup.,20,27
6:33,2084,Davonta Jordan Offensive Rebound.,20,27
6:27,2084,Blake Hamilton missed Layup.,20,27
6:27,2084,David Kadiri Offensive Rebound.,20,27
6:24,179,Foul on Denzel Gregg.,20,27
6:24,2084,David Kadiri missed Free Throw.,20,27
6:24,2084,Buffalo Deadball Team Rebound.,20,27
6:24,2084,David Kadiri missed Free Throw.,20,27
6:24,179,Matt Mobley Defensive Rebound.,20,27
6:10,179,Josh Ayeni made Jumper. Assisted by Jaylen Adams.,20,29
5:42,2084,Willie Conner made Three Point Jumper. Assisted by Dontay Caruthers.,23,29
5:30,179,Jaylen Adams made Layup.,23,31
4:55,2084,Davonta Jordan missed Three Point Jumper.,23,31
4:55,2084,Willie Conner Offensive Rebound.,23,31
4:47,2084,Willie Conner Turnover.,23,31
4:24,179,David Andoh made Jumper. Assisted by Jaylen Adams.,23,33
3:59,2084,Davonta Jordan Turnover.,23,33
3:42,179,Jaylen Adams made Three Point Jumper. Assisted by Matt Mobley.,23,36
3:23,2084,Willie Conner made Three Point Jumper. Assisted by Davonta Jordan.,26,36
3:12,179,Josh Ayeni made Jumper. Assisted by Jaylen Adams.,26,38
3:08,2084,Buffalo  Timeout,26,38
3:08,179,Official TV Timeout,26,38
2:54,2084,Nick Perkins made Jumper. Assisted by Blake Hamilton.,28,38
2:41,179,Jaylen Adams made Three Point Jumper.,28,41
2:20,2084,Blake Hamilton made Three Point Jumper. Assisted by Davonta Jordan.,31,41
1:56,179,Idris Taqqee missed Layup.,31,41
1:52,2084,Blake Hamilton Defensive Rebound.,31,41
1:49,2084,Blake Hamilton missed Jumper.,31,41
1:49,2084,Raheem Johnson Offensive Rebound.,31,41
1:46,2084,Raheem Johnson made Layup.,33,41
1:35,179,Jaylen Adams made Three Point Jumper.,33,44
1:14,2084,Nick Perkins made Jumper.,35,44
1:12,179,St. Bonaventure  Timeout,35,44
0:52,179,Josh Ayeni missed Jumper.,35,44
0:52,179,Idris Taqqee Offensive Rebound.,35,44
0:46,179,Idris Taqqee made Layup.,35,46
0:29,2084,Dontay Caruthers Turnover.,35,46
0:05,2084,Foul on Davonta Jordan.,35,46
0:05,179,Idris Taqqee made Free Throw.,35,47
0:05,179,Idris Taqqee made Free Throw.,35,48
0:00,179,End of 1st half,35,48
19:46,179,Matt Mobley missed Layup.,35,48
19:46,179,Josh Ayeni Offensive Rebound.,35,48
19:44,179,Josh Ayeni made Layup.,35,50
19:25,2084,Dontay Caruthers missed Layup.,35,50
19:25,2084,Ikenna Smart Offensive Rebound.,35,50
19:21,2084,Ikenna Smart made Layup.,37,50
19:06,179,Jaylen Adams Turnover.,37,50
18:50,2084,Nick Perkins missed Three Point Jumper.,37,50
18:50,179,Jaylen Adams Defensive Rebound.,37,50
18:36,2084,Foul on Ikenna Smart.,37,50
18:36,179,Denzel Gregg made Free Throw.,37,51
18:36,179,Denzel Gregg missed Free Throw.,37,51
18:36,2084,Nick Perkins Defensive Rebound.,37,51
18:11,2084,Blake Hamilton missed Jumper.,37,51
18:11,2084,Nick Perkins Offensive Rebound.,37,51
18:06,2084,Nick Perkins made Layup.,39,51
17:54,179,Matt Mobley Turnover.,39,51
17:53,2084,Ikenna Smart Steal.,39,51
17:49,2084,Willie Conner missed Layup.,39,51
17:49,179,Jaylen Adams Defensive Rebound.,39,51
17:41,179,Denzel Gregg missed Layup.,39,51
17:41,179,St. Bonaventure Offensive Rebound.,39,51
17:37,179,Jaylen Adams missed Three Point Jumper.,39,51
17:37,179,Amadi Ikpeze Offensive Rebound.,39,51
17:30,179,Amadi Ikpeze missed Jumper.,39,51
17:30,2084,Buffalo Defensive Rebound.,39,51
17:04,2084,Dontay Caruthers Turnover.,39,51
17:03,179,Jaylen Adams Steal.,39,51
16:59,179,Idris Taqqee made Layup. Assisted by Denzel Gregg.,39,53
16:40,179,Foul on Matt Mobley.,39,53
16:40,2084,Willie Conner missed Free Throw.,39,53
16:40,2084,Buffalo Deadball Team Rebound.,39,53
16:40,2084,Willie Conner made Free Throw.,40,53
16:19,179,Matt Mobley made Layup.,40,55
15:58,2084,Nick Perkins made Jumper. Assisted by Willie Conner.,42,55
15:40,179,Jaylen Adams missed Three Point Jumper.,42,55
15:40,2084,Davonta Jordan Defensive Rebound.,42,55
15:29,2084,Raheem Johnson made Layup. Assisted by Davonta Jordan.,44,55
15:16,179,Denzel Gregg missed Jumper.,44,55
15:16,2084,Raheem Johnson Defensive Rebound.,44,55
14:59,2084,Raheem Johnson Turnover.,44,55
14:57,179,Amadi Ikpeze Steal.,44,55
14:50,179,Jaylen Adams Turnover.,44,55
14:46,2084,Nick Perkins Steal.,44,55
14:45,2084,Willie Conner missed Layup.,44,55
14:45,2084,Raheem Johnson Offensive Rebound.,44,55
14:33,2084,Raheem Johnson made Two Point Tip Shot.,46,55
14:11,179,Matt Mobley Turnover.,46,55
14:10,2084,Willie Conner Steal.,46,55
14:09,179,Foul on Jaylen Adams.,46,55
14:09,179,Official TV Timeout,46,55
13:54,2084,David Kadiri Turnover.,46,55
13:38,179,Josh Ayeni missed Jumper.,46,55
13:38,2084,Blake Hamilton Defensive Rebound.,46,55
13:29,2084,Blake Hamilton made Three Point Jumper.,49,55
13:03,179,David Andoh made Layup.,49,57
12:40,2084,Blake Hamilton missed Three Point Jumper.,49,57
12:40,2084,David Kadiri Offensive Rebound.,49,57
12:28,179,Foul on Josh Ayeni.,49,57
12:28,2084,Blake Hamilton missed Free Throw.,49,57
12:28,2084,Buffalo Deadball Team Rebound.,49,57
12:28,2084,Blake Hamilton made Free Throw.,50,57
12:17,2084,Foul on Blake Hamilton.,50,57
12:00,2084,Foul on Dontay Caruthers.,50,57
12:00,179,Josh Ayeni made Free Throw.,50,58
12:00,179,Josh Ayeni missed Free Throw.,50,58
12:00,2084,Ikenna Smart Defensive Rebound.,50,58
11:37,2084,Nick Perkins made Three Point Jumper. Assisted by Davonta Jordan.,53,58
11:24,179,David Andoh made Layup.,53,60
11:04,179,Official TV Timeout,53,60
10:56,2084,Willie Conner missed Three Point Jumper.,53,60
10:56,2084,Ikenna Smart Offensive Rebound.,53,60
10:40,2084,Blake Hamilton missed Jumper.,53,60
10:40,179,Josh Ayeni Defensive Rebound.,53,60
10:34,179,Josh Ayeni Turnover.,53,60
10:34,2084,Dontay Caruthers Steal.,53,60
10:33,2084,Nick Perkins made Jumper. Assisted by Dontay Caruthers.,55,60
10:17,179,Denzel Gregg made Dunk. Assisted by Jaylen Adams.,55,62
10:06,2084,Blake Hamilton made Jumper.,57,62
9:54,179,David Andoh made Three Point Jumper. Assisted by Jaylen Adams.,57,65
9:30,2084,Nick Perkins missed Three Point Jumper.,57,65
9:30,2084,Willie Conner Offensive Rebound.,57,65
9:09,2084,Foul on Blake Hamilton.,57,65
9:09,2084,Blake Hamilton Turnover.,57,65
8:59,179,Denzel Gregg made Dunk. Assisted by Jaylen Adams.,57,67
8:44,2084,Willie Conner made Three Point Jumper. Assisted by Davonta Jordan.,60,67
8:19,2084,Foul on Davonta Jordan.,60,67
8:19,179,Matt Mobley missed Free Throw.,60,67
8:19,179,St. Bonaventure Deadball Team Rebound.,60,67
8:19,179,Matt Mobley missed Free Throw.,60,67
8:19,2084,Davonta Jordan Defensive Rebound.,60,67
8:12,2084,Davonta Jordan Turnover.,60,67
8:11,179,Denzel Gregg Steal.,60,67
8:09,179,Matt Mobley missed Three Point Jumper.,60,67
8:09,2084,Dontay Caruthers Defensive Rebound.,60,67
8:02,2084,Davonta Jordan made Dunk. Assisted by Dontay Caruthers.,62,67
7:47,179,Jaylen Adams Turnover.,62,67
7:47,2084,David Kadiri Steal.,62,67
7:46,179,Foul on David Andoh.,62,67
7:46,179,Official TV Timeout,62,67
7:36,2084,Davonta Jordan Turnover.,62,67
7:34,179,Idris Taqqee Steal.,62,67
7:08,179,Jaylen Adams missed Jumper.,62,67
7:08,179,Denzel Gregg Offensive Rebound.,62,67
7:07,179,Denzel Gregg Turnover.,62,67
6:46,2084,Davonta Jordan missed Layup.,62,67
6:46,179,Denzel Gregg Block.,62,67
6:45,179,David Andoh Defensive Rebound.,62,67
6:29,2084,Foul on Nick Perkins.,62,67
6:29,179,Denzel Gregg made Free Throw.,62,68
6:29,179,Denzel Gregg made Free Throw.,62,69
6:18,2084,Willie Conner missed Three Point Jumper.,62,69
6:18,179,Idris Taqqee Defensive Rebound.,62,69
5:58,179,David Andoh missed Three Point Jumper.,62,69
5:58,179,St. Bonaventure Offensive Rebound.,62,69
5:51,2084,Foul on Dontay Caruthers.,62,69
5:51,179,Jaylen Adams made Free Throw.,62,70
5:51,179,Jaylen Adams missed Free Throw.,62,70
5:51,2084,Blake Hamilton Defensive Rebound.,62,70
5:39,2084,Willie Conner missed Layup.,62,70
5:39,179,Matt Mobley Defensive Rebound.,62,70
5:30,179,Foul on Jaylen Adams.,62,70
5:30,179,Jaylen Adams Turnover.,62,70
5:23,2084,Davonta Jordan Turnover.,62,70
5:22,179,Jaylen Adams Steal.,62,70
5:19,179,Jaylen Adams made Layup.,62,72
4:54,2084,Blake Hamilton made Jumper.,64,72
4:22,179,Denzel Gregg made Layup.,64,74
4:22,2084,Foul on Davonta Jordan.,64,74
4:22,179,Denzel Gregg missed Free Throw.,64,74
4:22,179,Denzel Gregg Offensive Rebound.,64,74
4:12,179,Jaylen Adams made Layup.,64,76
3:53,2084,Blake Hamilton made Three Point Jumper.,67,76
3:39,179,Denzel Gregg made Dunk. Assisted by Jaylen Adams.,67,78
3:36,2084,Buffalo  Timeout,67,78
3:36,179,Official TV Timeout,67,78
3:26,2084,Nick Perkins made Dunk. Assisted by Davonta Jordan.,69,78
3:08,179,David Andoh missed Jumper.,69,78
3:08,2084,Davonta Jordan Defensive Rebound.,69,78
2:58,2084,Blake Hamilton Turnover.,69,78
2:58,179,Official TV Timeout,69,78
2:53,2084,Foul on Dontay Caruthers.,69,78
2:53,179,Jaylen Adams made Free Throw.,69,79
2:53,179,Jaylen Adams made Free Throw.,69,80
2:43,2084,Blake Hamilton made Layup.,71,80
2:42,179,Foul on Denzel Gregg.,71,80
2:42,2084,Blake Hamilton made Free Throw.,72,80
2:16,179,Jaylen Adams made Three Point Jumper.,72,83
1:53,2084,David Kadiri missed Layup.,72,83
1:53,179,Denzel Gregg Block.,72,83
1:53,2084,Buffalo Offensive Rebound.,72,83
1:47,2084,Nick Perkins made Three Point Jumper. Assisted by Blake Hamilton.,75,83
1:14,179,David Andoh missed Layup.,75,83
1:14,179,David Andoh Offensive Rebound.,75,83
1:13,179,David Andoh Turnover.,75,83
1:02,2084,Willie Conner Turnover.,75,83
0:55,179,Matt Mobley Turnover.,75,83
0:54,2084,Davonta Jordan Steal.,75,83
0:52,2084,Davonta Jordan made Three Point Jumper.,78,83
0:51,2084,Buffalo  Timeout,78,83
0:49,2084,Foul on David Kadiri.,78,83
0:49,179,Jaylen Adams made Free Throw.,78,84
0:49,179,Jaylen Adams missed Free Throw.,78,84
0:49,2084,Blake Hamilton Defensive Rebound.,78,84
0:41,2084,Blake Hamilton missed Layup.,78,84
0:41,179,Denzel Gregg Block.,78,84
0:40,2084,Buffalo Offensive Rebound.,78,84
0:35,2084,Nick Perkins made Three Point Jumper. Assisted by Blake Hamilton.,81,84
0:32,2084,Foul on Willie Conner.,81,84
0:32,179,Matt Mobley made Free Throw.,81,85
0:32,179,Matt Mobley made Free Throw.,81,86
0:25,2084,Blake Hamilton made Three Point Jumper.,84,86
0:24,2084,Buffalo  Timeout,84,86
0:22,2084,Foul on Davonta Jordan.,84,86
0:22,179,Idris Taqqee made Free Throw.,84,87
0:22,179,Idris Taqqee made Free Throw.,84,88
0:22,179,St. Bonaventure  Timeout,84,88
0:14,2084,James Jones Turnover.,84,88
0:14,179,St. Bonaventure  Timeout,84,88
0:12,2084,Foul on Nick Perkins.,84,88
0:12,179,Idris Taqqee made Free Throw.,84,89
0:12,179,Idris Taqqee made Free Throw.,84,90
0:07,2084,Nick Perkins missed Three Point Jumper.,84,90
0:07,2084,Dontay Caruthers Offensive Rebound.,84,90
0:03,2084,Blake Hamilton missed Three Point Jumper.,84,90
0:03,179,St. Bonaventure Defensive Rebound.,84,90
0:00,179,Foul on Josh Ayeni.,84,90
0:00,179,End of Game,84,90
