Pacific,2239,CS Fullerton,279
9:56,2239,Austen Awosika missed Jumper.,61,46
9:56,279,D.J. Ursery Defensive Rebound.,61,46
9:40,279,D.J. Ursery Turnover.,61,46
9:39,2239,Austen Awosika Steal.,61,46
9:36,2239,Lionheart Leslie made Layup. Assisted by Austen Awosika.,61,48
9:23,279,Pacific  Timeout,61,48
9:03,279,Ray Bowles missed Three Point Jumper.,61,48
9:03,279,Pacific Offensive Rebound.,61,48
8:36,2239,Foul on Tre Coggins.,61,48
8:36,279,David Taylor missed Free Throw.,61,48
8:36,279,Pacific Deadball Team Rebound.,61,48
8:36,279,David Taylor missed Free Throw.,61,48
8:36,2239,Arkim Robertson Defensive Rebound.,61,48
8:15,2239,Lionheart Leslie made Jumper.,61,50
7:45,279,Jack Williams missed Jumper.,61,50
7:45,279,Jack Williams Offensive Rebound.,61,50
7:36,279,Jack Williams Turnover.,61,50
7:35,2239,Lionheart Leslie Steal.,61,50
7:34,279,Foul on Ray Bowles.,61,50
7:34,2239,Official TV Timeout,61,50
7:34,2239,Jackson Rowe made Free Throw.,61,51
7:34,2239,Jackson Rowe made Free Throw.,61,52
7:14,279,Ray Bowles missed Jumper.,61,52
7:14,279,Tonko Vuko Offensive Rebound.,61,52
7:09,279,Jack Williams missed Jumper.,61,52
7:09,2239,Arkim Robertson Defensive Rebound.,61,52
7:05,279,Foul on Jack Williams.,61,52
7:05,2239,Arkim Robertson missed Free Throw.,61,52
7:05,2239,CS Fullerton Deadball Team Rebound.,61,52
7:05,2239,Arkim Robertson missed Free Throw.,61,52
7:05,2239,Arkim Robertson Offensive Rebound.,61,52
7:02,2239,Arkim Robertson made Jumper.,61,54
6:27,279,D.J. Ursery made Jumper. Assisted by Ray Bowles.,63,54
6:17,2239,Tre Coggins made Layup. Assisted by Lionheart Leslie.,63,56
6:17,279,Foul on Ray Bowles.,63,56
6:17,2239,Tre Coggins made Free Throw.,63,57
6:13,279,Pacific  Timeout,63,57
6:01,2239,Foul on Lionheart Leslie.,63,57
6:01,279,K.J. Smith made Free Throw.,64,57
6:01,279,K.J. Smith made Free Throw.,65,57
5:50,2239,Tre Coggins made Three Point Jumper.,65,60
5:16,279,Tonko Vuko Turnover.,65,60
5:15,2239,Arkim Robertson Steal.,65,60
5:06,2239,Foul on Lionheart Leslie.,65,60
5:06,2239,Lionheart Leslie Turnover.,65,60
4:45,279,Jack Williams made Jumper. Assisted by K.J. Smith.,67,60
4:28,2239,Austen Awosika made Layup. Assisted by Kyle Allman.,67,62
4:28,279,Foul on K.J. Smith.,67,62
4:28,2239,Austen Awosika missed Free Throw.,67,62
4:28,2239,CS Fullerton Deadball Team Rebound.,67,62
4:28,279,Foul on Jack Williams.,67,62
4:28,2239,Jackson Rowe made Free Throw.,67,63
4:28,2239,Jackson Rowe made Free Throw.,67,64
4:15,2239,Foul on Jamal Smith.,67,64
4:15,279,David Taylor made Free Throw.,68,64
4:15,279,David Taylor missed Free Throw.,68,64
4:15,2239,Arkim Robertson Defensive Rebound.,68,64
4:01,2239,Kyle Allman made Jumper. Assisted by Austen Awosika.,68,66
3:41,279,Ray Bowles made Jumper.,70,66
3:41,2239,Foul on Tre Coggins.,70,66
3:41,2239,Official TV Timeout,70,66
3:41,279,Ray Bowles made Free Throw.,71,66
3:34,279,Foul on David Taylor.,71,66
3:34,2239,Tre Coggins made Free Throw.,71,67
3:34,2239,Tre Coggins made Free Throw.,71,68
3:25,279,Ray Bowles Turnover.,71,68
3:13,2239,Tre Coggins missed Jumper.,71,68
3:13,2239,Jackson Rowe Offensive Rebound.,71,68
3:08,2239,Jackson Rowe made Layup.,71,70
2:41,2239,Foul on Arkim Robertson.,71,70
2:41,279,Ray Bowles made Free Throw.,72,70
2:41,279,Ray Bowles made Free Throw.,73,70
2:33,279,Foul on Ray Bowles.,73,70
2:33,2239,Kyle Allman made Free Throw.,73,71
2:33,2239,Kyle Allman made Free Throw.,73,72
2:32,279,David Taylor Turnover.,73,72
2:21,2239,Arkim Robertson Turnover.,73,72
2:19,279,Tonko Vuko Turnover.,73,72
2:06,2239,Tre Coggins missed Jumper.,73,72
2:06,2239,Tre Coggins Offensive Rebound.,73,72
1:59,2239,Kyle Allman made Layup.,73,74
1:46,2239,Foul on Kyle Allman.,73,74
1:46,279,K.J. Smith made Free Throw.,74,74
1:46,279,K.J. Smith made Free Throw.,75,74
1:26,2239,Lionheart Leslie made Jumper.,75,76
0:52,279,Ray Bowles missed Jumper.,75,76
0:52,2239,Tre Coggins Defensive Rebound.,75,76
0:21,2239,Tre Coggins missed Three Point Jumper.,75,76
0:21,279,Pacific Deadball Team Rebound.,75,76
0:20,279,Pacific  Timeout,75,76
0:11,279,Ray Bowles made Layup.,77,76
0:11,2239,CS Fullerton  Timeout,77,76
0:03,279,Foul on K.J. Smith.,77,76
0:03,2239,Lionheart Leslie made Free Throw.,77,77
0:03,2239,Lionheart Leslie made Free Throw.,77,78
0:00,2239,End of Game,77,78
