California Merced,Error,Sacramento State,16
0:56,16,Justin Strings missed Three Point Jumper.,29,43
0:56,-1,Cole Taira Defensive Rebound.,29,43
0:37,-1,Derek E'denchukwu Turnover.,29,43
0:08,-1,Foul on Cole Taira.,29,43
0:08,16,Joshua Patton missed Free Throw.,29,43
0:08,16,Sacramento St Deadball Team Rebound.,29,43
0:08,16,Joshua Patton missed Free Throw.,29,43
0:08,-1,Frederick Steen Defensive Rebound.,29,43
0:01,-1,Sean Rodriguez missed Jumper.,29,43
0:01,16,Justin Strings Defensive Rebound.,29,43
0:00,16,End of 1st half,29,43
19:33,-1,Ronnie Kozak Turnover.,29,43
19:30,16,Nick Hornsby Steal.,29,43
19:04,16,Eric Stuteville missed Jumper.,29,43
19:04,16,Nick Hornsby Offensive Rebound.,29,43
19:01,16,Nick Hornsby made Layup.,29,45
18:29,-1,Aaron Laflin missed Jumper.,29,45
18:29,16,Marcus Graves Defensive Rebound.,29,45
18:18,16,Justin Strings made Three Point Jumper. Assisted by Marcus Graves.,29,48
17:51,-1,Andrew Williams missed Three Point Jumper.,29,48
17:51,16,Justin Strings Defensive Rebound.,29,48
17:28,-1,Foul on Ryan Haywood.,29,48
17:28,16,Eric Stuteville missed Free Throw.,29,48
17:28,16,Sacramento St Deadball Team Rebound.,29,48
17:28,16,Eric Stuteville missed Free Throw.,29,48
17:28,-1,Ronnie Kozak Defensive Rebound.,29,48
17:14,-1,Cole Taira made Three Point Jumper.,32,48
16:53,16,Eric Stuteville made Layup. Assisted by Marcus Graves.,32,50
16:45,-1,UC Merced  Timeout,32,50
16:41,-1,Ryan Haywood made Three Point Jumper. Assisted by Cole Taira.,35,50
16:38,16,Justin Strings made Jumper.,35,52
15:53,-1,Ryan Haywood missed Three Point Jumper.,35,52
15:53,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,35,52
15:24,16,Justin Strings missed Three Point Jumper.,35,52
15:24,16,Nick Hornsby Offensive Rebound.,35,52
15:20,16,Nick Hornsby missed Layup.,35,52
15:20,16,Eric Stuteville Offensive Rebound.,35,52
15:18,16,Official TV Timeout,35,52
15:04,16,Justin Strings missed Jumper.,35,52
15:04,-1,Derek E'denchukwu Defensive Rebound.,35,52
14:54,-1,Derek E'denchukwu made Layup.,37,52
14:54,16,Foul on Eric Stuteville.,37,52
14:54,-1,Derek E'denchukwu made Free Throw.,38,52
14:40,16,Marcus Graves made Jumper. Assisted by Grant Dressler.,38,54
14:20,-1,Derek E'denchukwu made Jumper. Assisted by Cole Taira.,40,54
14:13,-1,Foul on Ronnie Kozak.,40,54
14:12,16,Justin Strings made Jumper. Assisted by Marcus Graves.,40,56
14:03,-1,Andrew Williams missed Layup.,40,56
14:03,16,Eric Stuteville Block.,40,56
14:02,16,Marcus Graves Defensive Rebound.,40,56
13:58,16,Grant Dressler missed Dunk.,40,56
13:58,16,Justin Strings Offensive Rebound.,40,56
13:54,-1,Foul on Ronnie Kozak.,40,56
13:54,16,Justin Strings made Free Throw.,40,57
13:54,16,Justin Strings missed Free Throw.,40,57
13:54,-1,Derek E'denchukwu Defensive Rebound.,40,57
13:45,-1,Cole Taira Turnover.,40,57
13:20,16,Grant Dressler Turnover.,40,57
13:19,-1,Cole Taira Steal.,40,57
13:16,16,Foul on Marcus Graves.,40,57
13:16,-1,Cole Taira made Free Throw.,41,57
13:16,-1,Cole Taira made Free Throw.,42,57
13:06,-1,Foul on Derek E'denchukwu.,42,57
13:06,16,Joshua Patton made Free Throw.,42,58
13:06,16,Joshua Patton made Free Throw.,42,59
12:58,-1,Ryan Haywood Turnover.,42,59
12:57,16,Jeff Wu Steal.,42,59
12:49,-1,Foul on Andrew Williams.,42,59
12:49,16,Joshua Patton missed Free Throw.,42,59
12:49,16,Sacramento St Deadball Team Rebound.,42,59
12:49,16,Joshua Patton made Free Throw.,42,60
12:41,-1,Sean Rodriguez missed Jumper.,42,60
12:41,16,Joshua Patton Defensive Rebound.,42,60
12:20,16,Marcus Graves made Jumper.,42,62
11:46,-1,Ryan Haywood missed Jumper.,42,62
11:46,16,Marcus Graves Defensive Rebound.,42,62
11:39,16,Jeff Wu missed Three Point Jumper.,42,62
11:39,-1,Derek E'denchukwu Defensive Rebound.,42,62
11:20,-1,Aaron Laflin missed Jumper.,42,62
11:20,16,Joshua Patton Defensive Rebound.,42,62
11:12,16,Marcus Graves made Layup.,42,64
10:48,-1,Aaron Laflin missed Layup.,42,64
10:48,16,Jeff Wu Defensive Rebound.,42,64
10:29,16,Joshua Patton Turnover.,42,64
10:29,16,Official TV Timeout,42,64
10:02,-1,Cole Taira missed Jumper.,42,64
10:02,16,Jeff Wu Block.,42,64
10:00,16,Chibueze Jacobs Defensive Rebound.,42,64
9:49,16,Foul on Eric Stuteville.,42,64
9:49,16,Eric Stuteville Turnover.,42,64
9:30,-1,Ronnie Kozak made Layup. Assisted by Derek E'denchukwu.,44,64
8:59,-1,Foul on Cole Taira.,44,64
8:59,16,Jeff Wu missed Free Throw.,44,64
8:59,16,Sacramento St Deadball Team Rebound.,44,64
8:59,16,Jeff Wu missed Free Throw.,44,64
8:59,16,Justin Strings Offensive Rebound.,44,64
8:56,-1,Derek E'denchukwu Defensive Rebound.,44,65
8:56,16,Justin Strings made Free Throw.,44,65
8:56,16,Justin Strings missed Free Throw.,44,65
8:39,-1,Ryan Haywood missed Three Point Jumper.,44,65
8:39,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,44,65
8:25,16,Eric Stuteville made Layup. Assisted by Justin Strings.,44,67
8:06,-1,Cole Taira missed Jumper.,44,67
8:06,16,Chibueze Jacobs Defensive Rebound.,44,67
7:41,16,Justin Strings missed Three Point Jumper.,44,67
7:41,16,Eric Stuteville Offensive Rebound.,44,67
7:41,-1,Foul on Ronnie Kozak.,44,67
7:41,16,Official TV Timeout,44,67
7:41,16,Eric Stuteville missed Free Throw.,44,67
7:41,16,Sacramento St Deadball Team Rebound.,44,67
7:41,16,Eric Stuteville made Free Throw.,44,68
7:16,-1,Branson Garcia made Three Point Jumper. Assisted by Cole Taira.,47,68
6:59,-1,Foul on Branson Garcia.,47,68
6:59,16,Justin Strings made Free Throw.,47,69
6:59,16,Justin Strings missed Free Throw.,47,69
6:59,-1,Aaron Laflin Defensive Rebound.,47,69
6:54,16,Foul on Justin Strings.,47,69
6:47,16,Foul on Jiday Ugbaja.,47,69
6:44,-1,Andrew Williams missed Three Point Jumper.,47,69
6:44,16,Jiday Ugbaja Defensive Rebound.,47,69
6:07,16,Joshua Patton Turnover.,47,69
5:44,-1,Derek E'denchukwu made Layup.,49,69
5:17,16,Joshua Patton missed Layup.,49,69
5:17,-1,Aaron Laflin Block.,49,69
5:15,-1,Derek E'denchukwu Defensive Rebound.,49,69
5:06,-1,Derek E'denchukwu missed Jumper.,49,69
5:06,16,Nick Hornsby Defensive Rebound.,49,69
4:42,16,Marcus Graves Turnover.,49,69
4:40,-1,Aaron Laflin Steal.,49,69
4:37,-1,Aaron Laflin made Layup.,51,69
4:16,16,Justin Strings missed Jumper.,51,69
4:16,16,Joshua Patton Offensive Rebound.,51,69
4:11,-1,UC Merced  Timeout,51,69
4:07,16,Justin Strings missed Layup.,51,69
4:07,16,Nick Hornsby Offensive Rebound.,51,69
4:04,16,Nick Hornsby made Layup.,51,71
3:50,16,Foul on Izayah Mauriohoohoo-Le'Afa.,51,71
3:45,-1,Aaron Laflin missed Three Point Jumper.,51,71
3:45,16,Justin Strings Defensive Rebound.,51,71
3:38,16,Nick Hornsby made Layup. Assisted by Marcus Graves.,51,73
3:19,16,Foul on Trevis Jackson.,51,73
3:19,-1,Derek E'denchukwu missed Free Throw.,51,73
3:19,-1,UC Merced Deadball Team Rebound.,51,73
3:19,-1,Derek E'denchukwu made Free Throw.,52,73
3:04,16,Nick Hornsby made Jumper.,52,75
2:41,-1,Sean Rodriguez missed Jumper.,52,75
2:41,16,Trevis Jackson Defensive Rebound.,52,75
2:34,16,Marcus Graves made Layup. Assisted by Trevis Jackson.,52,77
2:33,16,Sacramento St  Timeout,52,77
2:12,-1,Sean Rodriguez missed Jumper.,52,77
2:12,16,Grant Dressler Defensive Rebound.,52,77
1:50,16,Grant Dressler missed Three Point Jumper.,52,77
1:50,16,Nick Hornsby Offensive Rebound.,52,77
1:35,16,Matt Battaglia missed Three Point Jumper.,52,77
1:35,-1,Aaron Laflin Defensive Rebound.,52,77
1:24,-1,Cole Taira missed Jumper.,52,77
1:24,16,Grant Dressler Defensive Rebound.,52,77
0:57,16,James Herrick made Jumper. Assisted by Trevis Jackson.,52,79
0:39,-1,Branson Garcia missed Jumper.,52,79
0:39,16,Nick Hornsby Defensive Rebound.,52,79
0:09,16,James Herrick made Jumper. Assisted by Trevis Jackson.,52,81
0:00,-1,Branson Garcia missed Three Point Jumper.,52,81
0:00,-1,Derek E'denchukwu Offensive Rebound.,52,81
0:00,-1,Derek E'denchukwu made Jumper.,54,81
0:00,16,End of Game,52,81
