Rice,2641,Texas Tech,242
3:45,2641,Zach Smith made Free Throw.,76,76
3:45,2641,Zach Smith made Free Throw.,76,77
3:27,242,Foul on Marquez Letcher-Ellis.,76,77
3:27,242,Marquez Letcher-Ellis Turnover.,76,77
2:58,2641,Justin Gray made Jumper.,76,79
2:39,242,Marcus Evans missed Three Point Jumper.,76,79
2:39,242,Corey Douglas Offensive Rebound.,76,79
2:31,2641,Foul on Keenan Evans.,76,79
2:31,242,Egor Koulechov made Free Throw.,77,79
2:31,242,Egor Koulechov made Free Throw.,78,79
2:08,2641,Keenan Evans Turnover.,78,79
2:06,242,Connor Cashaw Steal.,78,79
2:00,242,Marcus Evans made Layup.,80,79
2:00,2641,Foul on Devon Thomas.,80,79
2:00,242,Marcus Evans made Free Throw.,81,79
1:46,2641,Anthony Livingston missed Three Point Jumper.,81,79
1:46,242,Connor Cashaw Defensive Rebound.,81,79
1:18,242,Marcus Evans missed Three Point Jumper.,81,79
1:18,242,Corey Douglas Offensive Rebound.,81,79
1:09,242,Rice  Timeout,81,79
1:09,2641,Foul on Devon Thomas.,81,79
1:09,242,Marcus Evans made Free Throw.,82,79
1:09,242,Marcus Evans missed Free Throw.,82,79
1:09,2641,Anthony Livingston Defensive Rebound.,82,79
0:58,2641,Texas Tech  Timeout,82,79
0:42,2641,Justin Gray missed Three Point Jumper.,82,79
0:42,242,Marcus Evans Defensive Rebound.,82,79
0:34,2641,Foul on Devon Thomas.,82,79
0:34,242,Marcus Evans made Free Throw.,83,79
0:34,242,Rice  Timeout,83,79
0:34,242,Marcus Evans made Free Throw.,84,79
0:25,2641,Keenan Evans missed Three Point Jumper.,84,79
0:25,2641,Justin Gray Offensive Rebound.,84,79
0:20,2641,Keenan Evans made Three Point Jumper. Assisted by Devon Thomas.,84,82
0:17,2641,Texas Tech  Timeout,84,82
0:13,2641,Foul on Zach Smith.,84,82
0:13,242,Connor Cashaw missed Free Throw.,84,82
0:13,242,Rice Deadball Team Rebound.,84,82
0:13,242,Connor Cashaw missed Free Throw.,84,82
0:13,2641,Zach Smith Defensive Rebound.,84,82
0:02,242,Foul on Marcus Evans.,84,82
0:02,2641,Anthony Livingston made Free Throw.,84,83
0:02,2641,Anthony Livingston made Free Throw.,84,84
0:02,2641,Anthony Livingston made Free Throw.,84,85
0:02,242,Rice  Timeout,84,85
0:00,2641,End of Game,84,85
