Chicago State,2710,Western Illinois,2130
16:59,2130,Trayvon Palmer Defensive Rebound.,41,40
16:51,2710,Foul on C.J. Duff.,41,40
16:45,2130,Fred Sims Jr. missed Jumper.,41,40
16:45,2710,Jabari Sandifer Defensive Rebound.,41,40
16:24,2130,Foul on Joshua Batson.,41,40
16:13,2710,Mike Miklusak made Jumper. Assisted by Garret Covington.,41,42
15:49,2130,Fred Sims Jr. missed Jumper.,41,42
15:49,2710,Brandon Gilbeck Defensive Rebound.,41,42
15:30,2710,Mike Miklusak missed Three Point Jumper.,41,42
15:30,2130,Patrick Szpir Defensive Rebound.,41,42
15:13,2130,Fred Sims Jr. made Jumper.,43,42
14:49,2130,Foul on Fred Sims Jr..,43,42
14:49,2710,Official TV Timeout,43,42
14:49,2710,Garret Covington made Free Throw.,43,43
14:49,2710,Garret Covington made Free Throw.,43,44
14:27,2130,Clemmye Owens V missed Jumper.,43,44
14:27,2710,Brandon Gilbeck Block.,43,44
14:25,2130,Chicago St Offensive Rebound.,43,44
14:18,2130,Deionte Simmons made Jumper. Assisted by Glen Burns.,45,44
13:53,2710,Jabari Sandifer missed Jumper.,45,44
13:53,2710,C.J. Duff Offensive Rebound.,45,44
13:42,2130,Foul on Deionte Simmons.,45,44
13:42,2710,Garret Covington made Free Throw.,45,45
13:42,2710,Garret Covington made Free Throw.,45,46
13:24,2130,Clemmye Owens V made Three Point Jumper. Assisted by Glen Burns.,48,46
13:01,2130,Foul on Deionte Simmons.,48,46
13:01,2710,C.J. Duff made Free Throw.,48,47
13:01,2710,C.J. Duff made Free Throw.,48,48
12:43,2130,Glen Burns made Three Point Jumper. Assisted by Delundre Dixon.,51,48
12:23,2130,Foul on Clemmye Owens V.,51,48
12:10,2710,Garret Covington made Jumper.,51,50
11:43,2130,Delundre Dixon missed Jumper.,51,50
11:43,2710,Mike Miklusak Defensive Rebound.,51,50
11:24,2710,Garret Covington Turnover.,51,50
11:24,2710,Official TV Timeout,51,50
11:09,2130,Delundre Dixon missed Jumper.,51,50
11:09,2710,Brandon Gilbeck Block.,51,50
11:07,2130,Delundre Dixon Offensive Rebound.,51,50
11:05,2130,Trayvon Palmer missed Jumper.,51,50
11:05,2710,Garret Covington Defensive Rebound.,51,50
10:44,2710,Brandon Gilbeck missed Jumper.,51,50
10:44,2710,Delo Bruster Offensive Rebound.,51,50
10:35,2710,Foul on Mike Miklusak.,51,50
10:34,2130,Trayvon Palmer missed Jumper.,51,50
10:34,2710,Brandon Gilbeck Block.,51,50
10:31,2710,Garret Covington Defensive Rebound.,51,50
10:30,2130,Foul on Clemmye Owens V.,51,50
10:30,2710,Garret Covington made Free Throw.,51,51
10:30,2710,Garret Covington made Free Throw.,51,52
10:18,2130,Glen Burns Turnover.,51,52
10:01,2710,C.J. Duff missed Three Point Jumper.,51,52
10:01,2130,Glen Burns Defensive Rebound.,51,52
9:50,2130,Clemmye Owens V made Three Point Jumper. Assisted by Glen Burns.,54,52
9:34,2710,Jabari Sandifer Turnover.,54,52
9:20,2130,Trayvon Palmer made Jumper. Assisted by Fred Sims Jr..,56,52
9:17,2710,Western Illinois  Timeout,56,52
9:09,2710,Garret Covington made Layup.,56,54
9:09,2130,Foul on Glen Burns.,56,54
9:09,2710,Garret Covington made Free Throw.,56,55
8:56,2130,Fred Sims Jr. missed Jumper.,56,55
8:56,2710,Brandon Gilbeck Defensive Rebound.,56,55
8:43,2710,Brandon Gilbeck missed Jumper.,56,55
8:43,2130,Trayvon Palmer Defensive Rebound.,56,55
8:21,2130,Fred Sims Jr. missed Jumper.,56,55
8:21,2130,Chicago St Offensive Rebound.,56,55
8:20,2710,Foul on Garret Covington.,56,55
8:12,2130,Delundre Dixon missed Three Point Jumper.,56,55
8:12,2130,Glen Burns Offensive Rebound.,56,55
8:08,2710,Foul on Garret Covington.,56,55
8:08,2130,Glen Burns missed Free Throw.,56,55
8:08,2130,Chicago St Deadball Team Rebound.,56,55
8:08,2130,Glen Burns made Free Throw.,57,55
7:50,2710,Garret Covington made Three Point Jumper. Assisted by C.J. Duff.,57,58
7:22,2710,Official TV Timeout,57,58
7:16,2130,Delundre Dixon made Jumper.,59,58
6:45,2130,Foul on Delundre Dixon.,59,58
6:45,2710,Mike Miklusak made Free Throw.,59,59
6:45,2710,Mike Miklusak made Free Throw.,59,60
6:25,2130,Delundre Dixon made Three Point Jumper. Assisted by Trayvon Palmer.,62,60
5:57,2710,Jabari Sandifer missed Layup.,62,60
5:57,2130,Trayvon Palmer Block.,62,60
5:57,2130,Chicago St Defensive Rebound.,62,60
5:44,2130,Fred Sims Jr. missed Jumper.,62,60
5:44,2710,James Claar Defensive Rebound.,62,60
5:20,2710,James Claar missed Jumper.,62,60
5:20,2130,Trayvon Palmer Defensive Rebound.,62,60
5:06,2130,Chicago St  Timeout,62,60
4:57,2130,Fred Sims Jr. made Jumper.,64,60
4:33,2710,Jabari Sandifer Turnover.,64,60
4:33,2710,Foul on Jabari Sandifer.,64,60
4:17,2130,Glen Burns missed Jumper.,64,60
4:17,2130,Trayvon Palmer Offensive Rebound.,64,60
4:17,2710,Foul on Mike Miklusak.,64,60
4:17,2130,Trayvon Palmer missed Free Throw.,64,60
4:17,2710,Garret Covington Defensive Rebound.,64,60
4:08,2710,Western Illinois  Timeout,64,60
3:50,2710,Mike Miklusak made Three Point Jumper. Assisted by Garret Covington.,64,63
3:24,2130,Trayvon Palmer made Jumper.,66,63
3:06,2710,Jabari Sandifer made Layup. Assisted by C.J. Duff.,66,65
2:52,2710,Foul on Mike Miklusak.,66,65
2:52,2130,Trayvon Palmer missed Free Throw.,66,65
2:52,2710,James Claar Defensive Rebound.,66,65
2:27,2710,C.J. Duff missed Jumper.,66,65
2:27,2710,Dalan Ancrum Offensive Rebound.,66,65
2:23,2710,Dalan Ancrum missed Jumper.,66,65
2:23,2710,Garret Covington Offensive Rebound.,66,65
2:08,2710,Garret Covington missed Three Point Jumper.,66,65
2:08,2130,Delundre Dixon Defensive Rebound.,66,65
1:46,2130,Fred Sims Jr. made Three Point Jumper.,69,65
1:16,2710,Garret Covington made Three Point Jumper. Assisted by Dalan Ancrum.,69,68
1:14,2710,Western Illinois  Timeout,69,68
0:53,2710,Foul on James Claar.,69,68
0:53,2130,Trayvon Palmer made Free Throw.,70,68
0:53,2130,Trayvon Palmer missed Free Throw.,70,68
0:53,2710,Garret Covington Defensive Rebound.,70,68
0:47,2130,Foul on Glen Burns.,70,68
