Mt. St. Mary's,2352,Loyola (MD),116
15:22,2352,Official TV Timeout,38,38
15:20,116,Elijah Long Turnover.,38,38
15:07,2352,Andre Walker Turnover.,38,38
14:52,116,Elijah Long made Jumper.,40,38
14:40,116,Foul on Miles Wilson.,40,38
14:23,116,Foul on Khalid Nwandu.,40,38
14:09,2352,Andre Walker missed Layup.,40,38
14:09,116,Mawdo Sallah Block.,40,38
14:07,116,Junior Robinson Defensive Rebound.,40,38
14:02,116,Miles Wilson missed Layup.,40,38
14:02,2352,Andre Walker Block.,40,38
14:00,2352,Chancellor Barnard Defensive Rebound.,40,38
13:47,2352,Foul on Chancellor Barnard.,40,38
13:47,2352,Chancellor Barnard Turnover.,40,38
13:40,116,Junior Robinson missed Layup.,40,38
13:40,116,Mawdo Sallah Offensive Rebound.,40,38
13:37,116,Mawdo Sallah missed Two Point Tip Shot.,40,38
13:37,2352,Loyola (MD) Defensive Rebound.,40,38
13:37,116,Foul on Mawdo Sallah.,40,38
13:22,2352,Jarred Jones made Layup.,40,40
13:00,2352,Foul on Chancellor Barnard.,40,40
13:00,116,Elijah Long missed Free Throw.,40,40
13:00,116,Mt. St. Mary's Deadball Team Rebound.,40,40
13:00,116,Elijah Long made Free Throw.,41,40
12:41,2352,Nevell Provo made Jumper.,41,42
12:23,116,Ryan Gomes missed Jumper.,41,42
12:23,116,Chris Wray Offensive Rebound.,41,42
12:16,116,Miles Wilson missed Three Point Jumper.,41,42
12:16,2352,Nevell Provo Defensive Rebound.,41,42
12:08,116,Foul on Elijah Long.,41,42
12:05,2352,James Fives missed Three Point Jumper.,41,42
12:05,116,Elijah Long Defensive Rebound.,41,42
11:46,116,Junior Robinson made Three Point Jumper.,44,42
11:26,2352,Official TV Timeout,44,42
11:20,116,Foul on Elijah Long.,44,42
11:20,2352,Jarred Jones made Free Throw.,44,43
11:20,2352,Jarred Jones made Free Throw.,44,44
10:59,116,Miles Wilson missed Layup.,44,44
10:59,2352,James Fives Defensive Rebound.,44,44
10:49,2352,Cam Gregory made Layup. Assisted by Jarred Jones.,44,46
10:30,116,Junior Robinson missed Three Point Jumper.,44,46
10:30,2352,Andre Walker Defensive Rebound.,44,46
10:24,2352,Andre Walker Turnover.,44,46
10:23,116,Miles Wilson Steal.,44,46
10:20,116,Miles Wilson Turnover.,44,46
10:01,2352,James Fives missed Layup.,44,46
10:01,2352,James Fives Offensive Rebound.,44,46
9:58,116,Foul on Greg Alexander.,44,46
9:58,2352,James Fives made Free Throw.,44,47
9:58,2352,James Fives missed Free Throw.,44,47
9:58,116,Chris Wray Defensive Rebound.,44,47
9:38,116,Chris Wray made Layup.,46,47
9:14,2352,Jarred Jones missed Jumper.,46,47
9:14,116,Mawdo Sallah Defensive Rebound.,46,47
9:04,116,Foul on Chris Wray.,46,47
9:04,116,Chris Wray Turnover.,46,47
8:34,116,Foul on Ryan Gomes.,46,47
8:34,2352,Andre Walker made Free Throw.,46,48
8:34,2352,Andre Walker made Free Throw.,46,49
8:12,2352,Foul on Cam Gregory.,46,49
8:12,116,Ryan Gomes made Free Throw.,47,49
8:12,116,Ryan Gomes missed Free Throw.,47,49
8:12,2352,Cam Gregory Defensive Rebound.,47,49
7:42,2352,Andre Walker missed Three Point Jumper.,47,49
7:42,2352,Cam Gregory Offensive Rebound.,47,49
7:25,2352,Cam Gregory made Layup.,47,51
7:24,116,Foul on Ryan Gomes.,47,51
7:24,2352,Official TV Timeout,47,51
7:24,2352,Cam Gregory made Free Throw.,47,52
7:06,116,Chris Wray Turnover.,47,52
7:05,2352,Cam Gregory Steal.,47,52
6:52,2352,Andre Walker missed Layup.,47,52
6:52,116,Mawdo Sallah Block.,47,52
6:51,116,Chris Wray Defensive Rebound.,47,52
6:45,2352,Foul on Andre Walker.,47,52
6:45,116,Junior Robinson made Free Throw.,48,52
6:45,116,Junior Robinson made Free Throw.,49,52
6:32,2352,Chancellor Barnard made Dunk. Assisted by Cam Gregory.,49,54
6:13,116,Elijah Long made Layup.,51,54
6:13,2352,Foul on Cam Gregory.,51,54
6:13,116,Elijah Long made Free Throw.,52,54
5:44,2352,Nevell Provo missed Three Point Jumper.,52,54
5:44,116,Mt. St. Mary's Deadball Team Rebound.,52,54
5:27,116,Junior Robinson made Layup.,54,54
5:03,2352,Jarred Jones Turnover.,54,54
5:02,116,Greg Alexander Steal.,54,54
4:59,116,Junior Robinson made Layup. Assisted by Greg Alexander.,56,54
4:51,116,Foul on Chris Wray.,56,54
4:51,2352,Chancellor Barnard missed Free Throw.,56,54
4:51,2352,Loyola (MD) Deadball Team Rebound.,56,54
4:51,2352,Chancellor Barnard made Free Throw.,56,55
4:29,116,Elijah Long Turnover.,56,55
4:28,2352,Jarred Jones Steal.,56,55
4:26,2352,Jarred Jones made Layup.,56,57
4:08,116,Mawdo Sallah missed Layup.,56,57
4:07,2352,Andre Walker Block.,56,57
4:06,116,Mawdo Sallah Offensive Rebound.,56,57
4:04,116,Mt. St. Mary's  Timeout,56,57
4:03,116,Chris Wray Turnover.,56,57
3:48,2352,Nevell Provo Turnover.,56,57
3:48,2352,Official TV Timeout,56,57
3:36,116,Mawdo Sallah missed Layup.,56,57
3:36,2352,James Fives Defensive Rebound.,56,57
3:31,116,Foul on Junior Robinson.,56,57
3:31,2352,Nevell Provo made Free Throw.,56,58
3:31,2352,Nevell Provo made Free Throw.,56,59
3:02,116,Greg Alexander missed Three Point Jumper.,56,59
3:00,116,Chris Wray Offensive Rebound.,56,59
2:59,2352,Foul on Chancellor Barnard.,56,59
2:59,116,Chris Wray missed Free Throw.,56,59
2:59,116,Mt. St. Mary's Deadball Team Rebound.,56,59
2:59,116,Chris Wray missed Free Throw.,56,59
2:59,2352,Jarred Jones Defensive Rebound.,56,59
2:40,2352,Andre Walker missed Three Point Jumper.,56,59
2:40,116,Elijah Long Defensive Rebound.,56,59
2:20,2352,Foul on Nevell Provo.,56,59
2:20,116,Elijah Long missed Free Throw.,56,59
2:20,116,Mt. St. Mary's Deadball Team Rebound.,56,59
2:20,116,Elijah Long made Free Throw.,57,59
1:53,2352,James Fives missed Layup.,57,59
1:53,2352,Nevell Provo Offensive Rebound.,57,59
1:49,2352,Nevell Provo Turnover.,57,59
1:35,116,Elijah Long Turnover.,57,59
1:20,2352,Loyola (MD)  Timeout,57,59
1:14,2352,Nevell Provo Turnover.,57,59
1:01,116,Greg Alexander missed Three Point Jumper.,57,59
1:01,2352,Andre Walker Defensive Rebound.,57,59
0:34,116,Foul on Junior Robinson.,57,59
0:34,2352,Andre Walker made Free Throw.,57,60
0:34,116,Mt. St. Mary's  Timeout,57,60
0:34,2352,Andre Walker made Free Throw.,57,61
0:25,116,Junior Robinson Turnover.,57,61
0:24,2352,Jarred Jones Steal.,57,61
0:21,116,Foul on Junior Robinson.,57,61
0:21,2352,Andre Walker made Free Throw.,57,62
0:21,2352,Andre Walker made Free Throw.,57,63
0:15,116,Elijah Long missed Layup.,57,63
0:15,2352,Andre Walker Defensive Rebound.,57,63
0:13,116,Foul on Khalid Nwandu.,57,63
0:13,2352,Andre Walker missed Free Throw.,57,63
0:13,2352,Loyola (MD) Deadball Team Rebound.,57,63
0:13,2352,Andre Walker made Free Throw.,57,64
0:10,116,Elijah Long missed Three Point Jumper.,57,64
0:10,2352,James Fives Defensive Rebound.,57,64
0:00,2352,End of Game,57,64
