Arkansas State,2628,TCU,2032
10:00,2032,C.J. Foster made Two Point Tip Shot.,42,47
9:38,2628,Jaylen Fisher made Layup. Assisted by Vladimir Brodziansky.,42,49
9:19,2628,Foul on Kenrich Williams.,42,49
9:19,2032,Devin Carter missed Free Throw.,42,49
9:19,2032,Arkansas St Deadball Team Rebound.,42,49
9:19,2032,Devin Carter made Free Throw.,43,49
9:19,2032,Devin Carter missed Free Throw.,43,49
9:19,2628,Brandon Parrish Defensive Rebound.,43,49
8:59,2628,Vladimir Brodziansky made Jumper. Assisted by Michael Williams.,43,51
8:44,2032,C.J. Foster made Three Point Jumper. Assisted by Rashad Lindsey.,46,51
8:24,2628,Michael Williams made Three Point Jumper. Assisted by Jaylen Fisher.,46,54
8:03,2032,Devin Carter made Three Point Jumper. Assisted by Deven Simms.,49,54
7:41,2628,Brandon Parrish missed Three Point Jumper.,49,54
7:41,2628,Desmond Bane Offensive Rebound.,49,54
7:39,2628,Desmond Bane made Layup.,49,56
7:08,2628,Official TV Timeout,49,56
7:04,2032,Devin Carter missed Three Point Jumper.,49,56
7:04,2628,Brandon Parrish Defensive Rebound.,49,56
6:56,2628,Jaylen Fisher Turnover.,49,56
6:55,2032,C.J. Foster Steal.,49,56
6:40,2032,Rashad Lindsey made Layup. Assisted by Tamas Bruce.,51,56
6:18,2628,Jaylen Fisher missed Three Point Jumper.,51,56
6:18,2032,Deven Simms Defensive Rebound.,51,56
6:08,2032,Tamas Bruce missed Layup.,51,56
6:08,2032,Tamas Bruce Offensive Rebound.,51,56
6:05,2032,Tamas Bruce missed Layup.,51,56
6:05,2628,Vladimir Brodziansky Block.,51,56
6:04,2628,Vladimir Brodziansky Defensive Rebound.,51,56
5:58,2628,Michael Williams made Three Point Jumper. Assisted by Alex Robinson.,51,59
5:33,2628,Foul on Alex Robinson.,51,59
5:33,2032,Deven Simms missed Free Throw.,51,59
5:33,2628,Kenrich Williams Defensive Rebound.,51,59
5:17,2628,Alex Robinson Turnover.,51,59
5:16,2032,Deven Simms Steal.,51,59
5:15,2032,Salif Boudie Turnover.,51,59
5:15,2628,Alex Robinson Steal.,51,59
4:47,2628,JD Miller missed Three Point Jumper.,51,59
4:46,2628,Kenrich Williams made Free Throw.,51,61
4:46,2628,Kenrich Williams Offensive Rebound.,51,59
4:46,2032,Foul on Devin Carter.,51,59
4:46,2628,Kenrich Williams made Free Throw.,51,60
4:32,2032,Devin Carter made Three Point Jumper. Assisted by C.J. Foster.,54,61
4:13,2628,Kenrich Williams made Three Point Jumper. Assisted by JD Miller.,54,64
3:57,2032,Deven Simms missed Layup.,54,64
3:57,2628,JD Miller Defensive Rebound.,54,64
3:27,2628,Jaylen Fisher missed Layup.,54,64
3:27,2628,Kenrich Williams Offensive Rebound.,54,64
3:26,2628,Kenrich Williams made Two Point Tip Shot.,54,66
3:10,2032,Donte Thomas missed Layup.,54,66
3:10,2628,Vladimir Brodziansky Block.,54,66
3:09,2628,Jaylen Fisher Defensive Rebound.,54,66
3:09,2628,Official TV Timeout,54,66
2:59,2628,Jaylen Fisher made Jumper.,54,68
2:45,2032,Rashad Lindsey missed Three Point Jumper.,54,68
2:45,2628,Kenrich Williams Defensive Rebound.,54,68
2:17,2628,Vladimir Brodziansky made Layup. Assisted by Michael Williams.,54,70
2:03,2032,Devin Carter missed Three Point Jumper.,54,70
2:03,2628,Vladimir Brodziansky Defensive Rebound.,54,70
1:36,2628,Jaylen Fisher missed Jumper.,54,70
1:36,2032,Donte Thomas Defensive Rebound.,54,70
1:31,2032,Deven Simms missed Layup.,54,70
1:31,2628,JD Miller Defensive Rebound.,54,70
1:23,2032,Foul on Rashad Lindsey.,54,70
1:23,2628,Michael Williams made Free Throw.,54,71
1:23,2628,Michael Williams made Free Throw.,54,72
1:10,2032,Donte Thomas missed Layup.,54,72
1:10,2628,Kenrich Williams Defensive Rebound.,54,72
0:42,2628,Vladimir Brodziansky made Dunk. Assisted by Jaylen Fisher.,54,74
0:32,2032,Deven Simms missed Three Point Jumper.,54,74
0:32,2628,Vladimir Brodziansky Defensive Rebound.,54,74
0:10,2628,Jaylen Fisher made Three Point Jumper.,54,77
0:03,2032,Rashad Lindsey missed Three Point Jumper.,54,77
0:02,2628,Kenrich Williams Defensive Rebound.,54,77
0:00,2628,End of Game,54,77
