Maine,150,Duke,311
19:49,150,Jayson Tatum made Free Throw.,32,47
19:49,150,Jayson Tatum made Free Throw.,32,48
19:34,311,Andrew Fleming made Layup. Assisted by Wesley Myers.,34,48
19:19,311,Foul on Ilija Stojiljkovic.,34,48
19:19,150,Amile Jefferson made Free Throw.,34,49
19:19,150,Amile Jefferson made Free Throw.,34,50
18:57,311,Ilija Stojiljkovic made Three Point Jumper. Assisted by Ryan Bernstein.,37,50
18:35,150,Chase Jeter Turnover.,37,50
18:35,311,Ilija Stojiljkovic Steal.,37,50
18:28,311,Andrew Fleming missed Dunk.,37,50
18:28,150,Luke Kennard Defensive Rebound.,37,50
18:15,150,Jayson Tatum missed Jumper.,37,50
18:15,150,Amile Jefferson Offensive Rebound.,37,50
18:15,150,Amile Jefferson missed Two Point Tip Shot.,37,50
18:15,311,Wesley Myers Defensive Rebound.,37,50
18:06,311,Ilija Stojiljkovic missed Layup.,37,50
18:06,150,Jayson Tatum Defensive Rebound.,37,50
17:42,150,Marques Bolden missed Layup.,37,50
17:42,311,Ilija Stojiljkovic Defensive Rebound.,37,50
17:25,311,Wesley Myers missed Three Point Jumper.,37,50
17:25,150,Luke Kennard Defensive Rebound.,37,50
17:01,311,Foul on Ryan Bernstein.,37,50
17:01,150,Luke Kennard made Three Point Jumper. Assisted by Matt Jones.,37,53
16:41,311,Ilker Er missed Three Point Jumper.,37,53
16:41,150,Amile Jefferson Defensive Rebound.,37,53
16:37,311,Foul on Marko Pirovic.,37,53
16:13,150,Luke Kennard made Three Point Jumper.,37,56
16:00,311,Maine  Timeout,37,56
15:56,311,Wesley Myers missed Layup.,37,56
15:56,150,Marques Bolden Block.,37,56
15:56,150,Luke Kennard Defensive Rebound.,37,56
15:46,311,Jump Ball won by Maine,37,56
15:46,150,Javin DeLaurier Turnover.,37,56
15:46,311,Ryan Bernstein Steal.,37,56
15:46,150,Official TV Timeout,37,56
15:43,311,Wesley Myers missed Jumper.,37,56
15:43,150,Javin DeLaurier Defensive Rebound.,37,56
15:12,150,Amile Jefferson Turnover.,37,56
14:55,311,Jaquan McKennon Turnover.,37,56
14:55,150,Javin DeLaurier Steal.,37,56
14:30,150,Luke Kennard missed Three Point Jumper.,37,56
14:30,150,Marques Bolden Offensive Rebound.,37,56
14:30,150,Marques Bolden made Two Point Tip Shot.,37,58
14:08,311,Vincent Eze missed Layup.,37,58
14:08,150,Amile Jefferson Defensive Rebound.,37,58
13:45,150,Matt Jones missed Layup.,37,58
13:45,150,Marques Bolden Offensive Rebound.,37,58
13:41,150,Marques Bolden made Layup.,37,60
13:23,311,Dennis Ashley made Jumper.,39,60
13:04,150,Marques Bolden missed Jumper.,39,60
13:04,150,Duke Offensive Rebound.,39,60
12:55,150,Luke Kennard made Jumper.,39,62
12:55,311,Foul on Dennis Ashley.,39,62
12:55,150,Luke Kennard made Free Throw.,39,63
12:36,311,Dennis Ashley missed Three Point Jumper.,39,63
12:36,150,Luke Kennard Defensive Rebound.,39,63
12:20,150,Matt Jones made Three Point Jumper. Assisted by Amile Jefferson.,39,66
12:07,311,Wesley Myers missed Jumper.,39,66
12:07,150,Matt Jones Defensive Rebound.,39,66
11:44,150,Luke Kennard made Layup.,39,68
11:42,311,Maine  Timeout,39,68
11:18,311,Andrew Fleming missed Jumper.,39,68
11:18,150,Matt Jones Defensive Rebound.,39,68
10:50,150,Matt Jones missed Three Point Jumper.,39,68
10:50,150,Javin DeLaurier Offensive Rebound.,39,68
10:45,311,Foul on Andrew Fleming.,39,68
10:45,150,Javin DeLaurier missed Free Throw.,39,68
10:45,150,Duke Deadball Team Rebound.,39,68
10:45,150,Javin DeLaurier made Free Throw.,39,69
10:36,311,Ryan Bernstein missed Three Point Jumper.,39,69
10:36,150,Antonio Vrankovic Defensive Rebound.,39,69
10:20,150,Foul on Amile Jefferson.,39,69
10:20,150,Amile Jefferson Turnover.,39,69
10:11,311,Wesley Myers made Jumper.,41,69
9:56,150,Amile Jefferson made Dunk.,41,71
9:40,311,Dennis Ashley missed Three Point Jumper.,41,71
9:40,150,Luke Kennard Defensive Rebound.,41,71
9:27,150,Antonio Vrankovic made Dunk. Assisted by Amile Jefferson.,41,73
9:07,311,Dennis Ashley missed Three Point Jumper.,41,73
9:07,150,Matt Jones Defensive Rebound.,41,73
8:57,150,Amile Jefferson made Layup. Assisted by Matt Jones.,41,75
8:57,311,Foul on Andrew Fleming.,41,75
8:57,150,Amile Jefferson made Free Throw.,41,76
8:49,311,Vincent Eze made Jumper. Assisted by Ryan Bernstein.,43,76
8:28,150,Matt Jones missed Jumper.,43,76
8:28,150,Antonio Vrankovic Offensive Rebound.,43,76
8:28,150,Antonio Vrankovic made Two Point Tip Shot.,43,78
8:11,311,Marko Pirovic missed Three Point Jumper.,43,78
8:11,150,Jack White Defensive Rebound.,43,78
7:50,150,Luke Kennard made Jumper.,43,80
7:35,150,Foul on Antonio Vrankovic.,43,80
7:35,150,Official TV Timeout,43,80
7:35,311,Vincent Eze missed Free Throw.,43,80
7:35,311,Maine Deadball Team Rebound.,43,80
7:35,311,Vincent Eze made Free Throw.,44,80
7:11,311,Foul on Vincent Eze.,44,80
7:11,150,Chase Jeter missed Free Throw.,44,80
7:11,311,Ryan Bernstein Defensive Rebound.,44,80
7:09,311,Austin Howard missed Three Point Jumper.,44,80
7:09,311,Danny Evans Offensive Rebound.,44,80
6:56,311,Vincent Eze made Layup. Assisted by Austin Howard.,46,80
6:32,150,Luke Kennard made Jumper. Assisted by Antonio Vrankovic.,46,82
6:10,150,Foul on Matt Jones.,46,82
6:02,311,Marko Pirovic missed Three Point Jumper.,46,82
6:02,150,Jack White Defensive Rebound.,46,82
5:34,150,Javin DeLaurier made Layup. Assisted by Chase Jeter.,46,84
5:33,150,Duke  Timeout,46,84
5:25,311,Wesley Myers made Three Point Jumper.,49,84
5:04,150,Chase Jeter made Layup. Assisted by Antonio Vrankovic.,49,86
4:44,311,Ilker Er missed Three Point Jumper.,49,86
4:44,311,Vincent Eze Offensive Rebound.,49,86
4:37,311,Vincent Eze Turnover.,49,86
4:37,150,Javin DeLaurier Steal.,49,86
4:21,150,Foul on Chase Jeter.,49,86
4:21,150,Chase Jeter Turnover.,49,86
4:08,311,Dennis Ashley missed Three Point Jumper.,49,86
4:08,150,Javin DeLaurier Defensive Rebound.,49,86
3:49,150,Amile Jefferson made Jumper.,49,88
3:36,311,Vincent Eze missed Layup.,49,88
3:36,150,Antonio Vrankovic Block.,49,88
3:36,311,Maine Offensive Rebound.,49,88
3:33,150,Official TV Timeout,49,88
3:33,311,Andrew Fleming missed Dunk.,49,88
3:33,311,Andrew Fleming Offensive Rebound.,49,88
3:33,311,Andrew Fleming missed Two Point Tip Shot.,49,88
3:33,150,Jack White Defensive Rebound.,49,88
3:30,311,Foul on Andrew Fleming.,49,88
3:30,150,Jack White made Free Throw.,49,89
3:30,150,Jack White made Free Throw.,49,90
2:58,311,Dennis Ashley missed Layup.,49,90
2:58,150,Amile Jefferson Defensive Rebound.,49,90
2:32,150,Antonio Vrankovic made Layup. Assisted by Amile Jefferson.,49,92
2:12,311,Wesley Myers made Three Point Jumper. Assisted by Dennis Ashley.,52,92
2:07,311,Maine  Timeout,52,92
1:43,150,Antonio Vrankovic made Jumper. Assisted by Nick Pagliuca.,52,94
1:24,150,Foul on Javin DeLaurier.,52,94
1:21,311,Garvey Melmed made Three Point Jumper. Assisted by C.J. Ward.,55,94
0:58,150,Chase Jeter Turnover.,55,94
0:48,311,C.J. Ward missed Three Point Jumper.,55,94
0:48,150,Antonio Vrankovic Defensive Rebound.,55,94
0:24,150,Antonio Vrankovic missed Jumper.,55,94
0:24,311,Andrew Fleming Defensive Rebound.,55,94
0:17,311,C.J. Ward missed Layup.,55,94
0:17,150,Jack White Block.,55,94
0:17,311,Maine Offensive Rebound.,55,94
0:14,311,Dennis Ashley missed Three Point Jumper.,55,94
0:14,150,Jack White Defensive Rebound.,55,94
0:00,150,End of Game,55,94
